# Gene Family	SampleDe_Novo_Purine_Biosynthesis_Abundance-CPM
UniRef50_UPI00037A72C6: hypothetical protein, partial|unclassified	987.464
UniRef50_UPI000249020F: phosphoribosylglycinamide formyltransferase	974.711
UniRef50_UPI000249020F: phosphoribosylglycinamide formyltransferase|unclassified	974.711
UniRef50_UPI0003B62E7F: phosphoribosylglycinamide formyltransferase	974.478
UniRef50_UPI0003B62E7F: phosphoribosylglycinamide formyltransferase|unclassified	974.478
UniRef50_A5M5J7: Phosphoribosylformylglycinamidine synthase, putative	958.921
UniRef50_A5M5J7: Phosphoribosylformylglycinamidine synthase, putative|unclassified	958.921
UniRef50_Q7UPZ8: Phosphoribosylamine--glycine ligase	957.058
UniRef50_Q7UPZ8: Phosphoribosylamine--glycine ligase|unclassified	957.058
UniRef50_R6Y9T5	956.058
UniRef50_R6Y9T5|unclassified	956.058
UniRef50_Q58033: N5-carboxyaminoimidazole ribonucleotide mutase	951.712
UniRef50_Q58033: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	951.712
UniRef50_Q8TIS9: Phosphoribosylaminoimidazole-succinocarboxamide synthase	947.37
UniRef50_Q8TIS9: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	947.37
UniRef50_P11908: Ribose-phosphate pyrophosphokinase 2	946.908
UniRef50_P11908: Ribose-phosphate pyrophosphokinase 2|unclassified	946.908
UniRef50_UPI0003A983A5: amidophosphoribosyltransferase	944.962
UniRef50_UPI0003A983A5: amidophosphoribosyltransferase|unclassified	944.962
UniRef50_Q4JXF0: Phosphoribosylformylglycinamidine synthase 2	942.295
UniRef50_Q4JXF0: Phosphoribosylformylglycinamidine synthase 2|unclassified	942.295
UniRef50_W4UL87	935.886
UniRef50_W4UL87|unclassified	935.886
UniRef50_UPI00024910E6: phosphoribosylamine--glycine ligase	932.496
UniRef50_UPI00024910E6: phosphoribosylamine--glycine ligase|unclassified	932.496
UniRef50_Q7NIR9: Phosphoribosylformylglycinamidine synthase 2	930.862
UniRef50_Q7NIR9: Phosphoribosylformylglycinamidine synthase 2|unclassified	930.862
UniRef50_R5CF03: Phosphoribosylformylglycinamidine synthase eukaryotes and proteobacteria	928.741
UniRef50_R5CF03: Phosphoribosylformylglycinamidine synthase eukaryotes and proteobacteria|unclassified	928.741
UniRef50_Q58339: Adenylosuccinate lyase	928.246
UniRef50_Q58339: Adenylosuccinate lyase|unclassified	928.246
UniRef50_UPI000380D7B1: amidophosphoribosyltransferase	921.512
UniRef50_UPI000380D7B1: amidophosphoribosyltransferase|unclassified	921.512
UniRef50_UPI000255C828: phosphoribosylamine--glycine ligase	921.238
UniRef50_UPI000255C828: phosphoribosylamine--glycine ligase|unclassified	921.238
UniRef50_M7AIF2	920.871
UniRef50_M7AIF2|unclassified	920.871
UniRef50_L8E3C5: Phosphoribosylformylglycinamidine synthase 1	917.444
UniRef50_L8E3C5: Phosphoribosylformylglycinamidine synthase 1|unclassified	917.444
UniRef50_UPI0003B52E8B: IMP cyclohydrolase	904.775
UniRef50_UPI0003B52E8B: IMP cyclohydrolase|unclassified	904.775
UniRef50_W1XPM2	901.393
UniRef50_W1XPM2|unclassified	901.393
UniRef50_E3YH88: Phosphoribosylformylglycinamidine synthase II (Fragment)	900.741
UniRef50_E3YH88: Phosphoribosylformylglycinamidine synthase II (Fragment)|unclassified	900.741
UniRef50_P0CQ36: Phosphoribosylaminoimidazole carboxylase	897.837
UniRef50_P0CQ36: Phosphoribosylaminoimidazole carboxylase|unclassified	897.837
UniRef50_Q0IDE8: Bifunctional purine biosynthesis protein PurH	890.895
UniRef50_Q0IDE8: Bifunctional purine biosynthesis protein PurH|unclassified	890.895
UniRef50_Q8YR06: Phosphoribosylformylglycinamidine synthase 2	888.004
UniRef50_Q8YR06: Phosphoribosylformylglycinamidine synthase 2|unclassified	888.004
UniRef50_X8C5R0: AIR synthase related , C-terminal domain protein	881.541
UniRef50_X8C5R0: AIR synthase related , C-terminal domain protein|unclassified	881.541
UniRef50_Q92210: Phosphoribosylaminoimidazole carboxylase	881.451
UniRef50_Q92210: Phosphoribosylaminoimidazole carboxylase|unclassified	881.451
UniRef50_Q895U7: Phosphoribosylaminoimidazole-succinocarboxamide synthase	878.128
UniRef50_Q895U7: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	878.128
UniRef50_B2IU46: Phosphoribosylformylglycinamidine synthase 2	875.81
UniRef50_B2IU46: Phosphoribosylformylglycinamidine synthase 2|unclassified	875.81
UniRef50_O14228: Probable phosphoribosylformylglycinamidine synthase	867.524
UniRef50_O14228: Probable phosphoribosylformylglycinamidine synthase|unclassified	867.524
UniRef50_X1P3D8: Marine sediment metagenome DNA, contig: S06H3_S22873 (Fragment)	851.046
UniRef50_X1P3D8: Marine sediment metagenome DNA, contig: S06H3_S22873 (Fragment)|unclassified	851.046
UniRef50_Q03E76: Phosphoribosylaminoimidazole-succinocarboxamide synthase	850.456
UniRef50_Q03E76: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	850.456
UniRef50_B0C6R3: Phosphoribosylformylglycinamidine synthase 2	846.866
UniRef50_B0C6R3: Phosphoribosylformylglycinamidine synthase 2|unclassified	846.866
UniRef50_X0VZY3: Marine sediment metagenome DNA, contig: S01H1_S23136 (Fragment)	846.003
UniRef50_X0VZY3: Marine sediment metagenome DNA, contig: S01H1_S23136 (Fragment)|unclassified	846.003
UniRef50_D2YK48: Phosphoribosylformylglycinamidine synthase	842.545
UniRef50_D2YK48: Phosphoribosylformylglycinamidine synthase|unclassified	842.545
UniRef50_UPI0003F4A35E: hypothetical protein TREMEDRAFT_74449	838.651
UniRef50_UPI0003F4A35E: hypothetical protein TREMEDRAFT_74449|unclassified	838.651
UniRef50_UPI000470C31E: phosphoribosylglycinamide formyltransferase	832.143
UniRef50_UPI000470C31E: phosphoribosylglycinamide formyltransferase|unclassified	832.143
UniRef50_UPI00041171F0: hypothetical protein	821.45
UniRef50_UPI00041171F0: hypothetical protein|unclassified	821.45
UniRef50_UPI00024870CC: phosphoribosylaminoimidazole carboxylase ATPase subunit, partial	820.489
UniRef50_UPI00024870CC: phosphoribosylaminoimidazole carboxylase ATPase subunit, partial|unclassified	820.489
UniRef50_UPI0002883A7C: phosphoribosylaminoimidazole carboxylase	819.824
UniRef50_UPI0002883A7C: phosphoribosylaminoimidazole carboxylase|unclassified	819.824
UniRef50_J9CBN6: Phosphoribosylformylglycinamidine synthase	809.646
UniRef50_J9CBN6: Phosphoribosylformylglycinamidine synthase|unclassified	809.646
UniRef50_UPI0003D79383: phosphoribosylaminoimidazolecarboxamide formyltransferase, partial	809.216
UniRef50_UPI0003D79383: phosphoribosylaminoimidazolecarboxamide formyltransferase, partial|unclassified	809.216
UniRef50_UPI0003EA935D: PREDICTED: amidophosphoribosyltransferase 1, chloroplastic-like	805.679
UniRef50_UPI0003EA935D: PREDICTED: amidophosphoribosyltransferase 1, chloroplastic-like|unclassified	805.679
UniRef50_Q6ACE5: Phosphoribosylaminoimidazole-succinocarboxamide synthase	805.16
UniRef50_Q6ACE5: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	805.16
UniRef50_Q7UKJ8: Bifunctional purine biosynthesis protein PurH	804.607
UniRef50_Q7UKJ8: Bifunctional purine biosynthesis protein PurH|unclassified	804.607
UniRef50_Q9RHX4: Phosphoribosylamine--glycine ligase	804.407
UniRef50_Q9RHX4: Phosphoribosylamine--glycine ligase|unclassified	804.407
UniRef50_P21264: Phosphoribosylaminoimidazole carboxylase	804.185
UniRef50_P21264: Phosphoribosylaminoimidazole carboxylase|unclassified	804.185
UniRef50_O74197: Phosphoribosylaminoimidazole carboxylase	801.035
UniRef50_O74197: Phosphoribosylaminoimidazole carboxylase|unclassified	801.035
UniRef50_R0NF22	800.548
UniRef50_R0NF22|unclassified	800.548
UniRef50_UPI0003C8E201: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like isoform X1	798.879
UniRef50_UPI0003C8E201: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like isoform X1|unclassified	798.879
UniRef50_X1HEG5: Marine sediment metagenome DNA, contig: S03H2_L06248 (Fragment)	797.212
UniRef50_X1HEG5: Marine sediment metagenome DNA, contig: S03H2_L06248 (Fragment)|unclassified	797.212
UniRef50_Q54GJ2: Bifunctional purine biosynthetic protein purD	796.558
UniRef50_Q54GJ2: Bifunctional purine biosynthetic protein purD|unclassified	796.558
UniRef50_O59619: Phosphoribosylformylglycinamidine synthase 1	795.208
UniRef50_O59619: Phosphoribosylformylglycinamidine synthase 1|unclassified	795.208
UniRef50_P22102: Trifunctional purine biosynthetic protein adenosine-3	794.932
UniRef50_P22102: Trifunctional purine biosynthetic protein adenosine-3|unclassified	794.932
UniRef50_Q7UJ19: Phosphoribosylaminoimidazole-succinocarboxamide synthase	794.089
UniRef50_Q7UJ19: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	794.089
UniRef50_UPI00047074BE: amidophosphoribosyltransferase, partial	792.809
UniRef50_UPI00047074BE: amidophosphoribosyltransferase, partial|unclassified	792.809
UniRef50_F9Q581: DJ-1/PfpI domain protein	792.692
UniRef50_F9Q581: DJ-1/PfpI domain protein|unclassified	792.692
UniRef50_UPI00036BB6AB: phosphoribosylaminoimidazole synthetase	792.331
UniRef50_UPI00036BB6AB: phosphoribosylaminoimidazole synthetase|unclassified	792.331
UniRef50_R5T4X1	791.995
UniRef50_R5T4X1|unclassified	791.995
UniRef50_UPI000471CC16: hypothetical protein, partial	790.949
UniRef50_UPI000471CC16: hypothetical protein, partial|unclassified	790.949
UniRef50_UPI000360A0FF: phosphoribosylglycinamide synthetase	790.16
UniRef50_UPI000360A0FF: phosphoribosylglycinamide synthetase|unclassified	790.16
UniRef50_UPI0004561459: hypothetical protein PFL1_03129	789.37
UniRef50_UPI0004561459: hypothetical protein PFL1_03129|unclassified	789.37
UniRef50_UPI0002197895: phosphoribosylaminoimidazole carboxylase	788.083
UniRef50_UPI0002197895: phosphoribosylaminoimidazole carboxylase|unclassified	788.083
UniRef50_UPI0002627EC1: phosphoribosylglycinamide formyltransferase	784.582
UniRef50_UPI0002627EC1: phosphoribosylglycinamide formyltransferase|unclassified	784.582
UniRef50_T0M486	784.243
UniRef50_T0M486|unclassified	784.243
UniRef50_UPI0003826F97: hypothetical protein, partial	781.94
UniRef50_UPI0003826F97: hypothetical protein, partial|unclassified	781.94
UniRef50_R7CEG4: PurL	779.707
UniRef50_R7CEG4: PurL|unclassified	779.707
UniRef50_UPI0003B43A41: adenylosuccinate lyase	777.537
UniRef50_UPI0003B43A41: adenylosuccinate lyase|unclassified	777.537
UniRef50_Q8EZT7: Phosphoribosylamine--glycine ligase	777.145
UniRef50_Q8EZT7: Phosphoribosylamine--glycine ligase|unclassified	777.145
UniRef50_Q64737: Trifunctional purine biosynthetic protein adenosine-3	775.092
UniRef50_Q64737: Trifunctional purine biosynthetic protein adenosine-3|unclassified	775.092
UniRef50_P21108: Ribose-phosphate pyrophosphokinase 3	768.168
UniRef50_P21108: Ribose-phosphate pyrophosphokinase 3|unclassified	768.168
UniRef50_W4TPW6: Phosphoribosylformylglycinamidine synthase	766.757
UniRef50_W4TPW6: Phosphoribosylformylglycinamidine synthase|unclassified	766.757
UniRef50_Q9RXT4: Phosphoribosylformylglycinamidine synthase 2	764.776
UniRef50_Q9RXT4: Phosphoribosylformylglycinamidine synthase 2|unclassified	764.776
UniRef50_UPI000289E84C: phosphoribosylglycinamide formyltransferase	764.044
UniRef50_UPI000289E84C: phosphoribosylglycinamide formyltransferase|unclassified	764.044
UniRef50_UPI000463587C: hypothetical protein, partial	758.459
UniRef50_UPI000463587C: hypothetical protein, partial|unclassified	758.459
UniRef50_UPI000479D147: phosphoribosylformylglycinamidine synthase	755.858
UniRef50_UPI000479D147: phosphoribosylformylglycinamidine synthase|unclassified	755.858
UniRef50_Q9PQV0: Ribose-phosphate pyrophosphokinase	752.728
UniRef50_Q9PQV0: Ribose-phosphate pyrophosphokinase|unclassified	752.728
UniRef50_P38972: Phosphoribosylformylglycinamidine synthase	750.525
UniRef50_P38972: Phosphoribosylformylglycinamidine synthase|unclassified	750.525
UniRef50_UPI00046EBA89: hypothetical protein, partial	750.428
UniRef50_UPI00046EBA89: hypothetical protein, partial|unclassified	750.428
UniRef50_UPI000368ACE9: MULTISPECIES: hypothetical protein	744.464
UniRef50_UPI000368ACE9: MULTISPECIES: hypothetical protein|unclassified	744.464
UniRef50_Q59A32: Trifunctional purine biosynthetic protein adenosine-3	744.327
UniRef50_Q59A32: Trifunctional purine biosynthetic protein adenosine-3|unclassified	744.327
UniRef50_R5DCJ5	743.067
UniRef50_R5DCJ5|unclassified	743.067
UniRef50_UPI0004728FF0: hypothetical protein	742.779
UniRef50_UPI0004728FF0: hypothetical protein|unclassified	742.779
UniRef50_UPI00046F841A: hypothetical protein	739.257
UniRef50_UPI00046F841A: hypothetical protein|unclassified	739.257
UniRef50_UPI00024850D2: phosphoribosylamine--glycine ligase, partial	737.435
UniRef50_UPI00024850D2: phosphoribosylamine--glycine ligase, partial|unclassified	737.435
UniRef50_UPI00025585D7: phosphoribosylaminoimidazole synthetase, partial	733.112
UniRef50_UPI00025585D7: phosphoribosylaminoimidazole synthetase, partial|unclassified	733.112
UniRef50_Q7VF52: Phosphoribosylformylglycinamidine synthase 2	731.581
UniRef50_Q7VF52: Phosphoribosylformylglycinamidine synthase 2|unclassified	731.581
UniRef50_UPI00036104BC: hypothetical protein, partial	730.332
UniRef50_UPI00036104BC: hypothetical protein, partial|unclassified	730.332
UniRef50_Q8CL01	730.137
UniRef50_Q8CL01|unclassified	730.137
UniRef50_Q9X0X2: Phosphoribosylformylglycinamidine synthase 1	728.813
UniRef50_Q9X0X2: Phosphoribosylformylglycinamidine synthase 1|unclassified	728.813
UniRef50_X1SMV9: Marine sediment metagenome DNA, contig: S12H4_S00128 (Fragment)	726.835
UniRef50_X1SMV9: Marine sediment metagenome DNA, contig: S12H4_S00128 (Fragment)|unclassified	726.835
UniRef50_K1RXQ6: Phosphoribosylformylglycinamidine synthase (Fragment)	725.923
UniRef50_K1RXQ6: Phosphoribosylformylglycinamidine synthase (Fragment)|unclassified	725.923
UniRef50_A8F8I3: Phosphoribosylformylglycinamidine synthase 2	723.661
UniRef50_A8F8I3: Phosphoribosylformylglycinamidine synthase 2|unclassified	723.661
UniRef50_UPI000225BEFC: phosphoribosylformylglycinamidine synthase component II, partial	723.244
UniRef50_UPI000225BEFC: phosphoribosylformylglycinamidine synthase component II, partial|unclassified	723.244
UniRef50_UPI0003675E21: hypothetical protein	719.835
UniRef50_UPI0003675E21: hypothetical protein|unclassified	719.835
UniRef50_UPI0003786CBE: hypothetical protein	719.328
UniRef50_UPI0003786CBE: hypothetical protein|unclassified	719.328
UniRef50_G6C3Z9	717.18
UniRef50_G6C3Z9|unclassified	717.18
UniRef50_UPI0003662138: hypothetical protein	716.34
UniRef50_UPI0003662138: hypothetical protein|unclassified	716.34
UniRef50_B2GF71: Phosphoribosylaminoimidazole-succinocarboxamide synthase	711.607
UniRef50_B2GF71: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	711.607
UniRef50_Q67KF8: Phosphoribosylformylglycinamidine synthase 2	710.864
UniRef50_Q67KF8: Phosphoribosylformylglycinamidine synthase 2|unclassified	710.864
UniRef50_UPI0004729427: hypothetical protein	708.956
UniRef50_UPI0004729427: hypothetical protein|unclassified	708.956
UniRef50_X1TVW2: Marine sediment metagenome DNA, contig: S12H4_S01112 (Fragment)	707.911
UniRef50_X1TVW2: Marine sediment metagenome DNA, contig: S12H4_S01112 (Fragment)|unclassified	707.911
UniRef50_UPI00047D49D9: phosphoribosylaminoimidazolecarboxamide formyltransferase	707.195
UniRef50_UPI00047D49D9: phosphoribosylaminoimidazolecarboxamide formyltransferase|unclassified	707.195
UniRef50_Q9EWS0: Putative ribose-phosphate pyrophosphokinase	706.026
UniRef50_Q9EWS0: Putative ribose-phosphate pyrophosphokinase|unclassified	706.026
UniRef50_N1MAH2	703.291
UniRef50_N1MAH2|unclassified	703.291
UniRef50_Q18CW0: Bifunctional purine biosynthesis protein PurH	702.925
UniRef50_Q18CW0: Bifunctional purine biosynthesis protein PurH|unclassified	702.925
UniRef50_Q72RT5: Bifunctional purine biosynthesis protein PurH	702.074
UniRef50_Q72RT5: Bifunctional purine biosynthesis protein PurH|unclassified	702.074
UniRef50_Q7VLK6: Phosphoribosylaminoimidazole carboxylase ATPase subunit	701.751
UniRef50_Q7VLK6: Phosphoribosylaminoimidazole carboxylase ATPase subunit|unclassified	701.751
UniRef50_Q44678: N5-carboxyaminoimidazole ribonucleotide synthase	698.031
UniRef50_Q44678: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	698.031
UniRef50_R5H9Q7: Putative phosphoribosylformylglycinamidine synthase	697.805
UniRef50_R5H9Q7: Putative phosphoribosylformylglycinamidine synthase|unclassified	697.805
UniRef50_R0Q365	697.238
UniRef50_R0Q365|unclassified	697.238
UniRef50_S5Z4P8	693.209
UniRef50_S5Z4P8|unclassified	693.209
UniRef50_H7PP70	693.007
UniRef50_H7PP70|unclassified	693.007
UniRef50_UPI0004231022: phosphoribosylamine--glycine ligase	692.755
UniRef50_UPI0004231022: phosphoribosylamine--glycine ligase|unclassified	692.755
UniRef50_Q89W81: Putative phosphoribosylaminoimidazole-succinocarboxamide synthase B	691.552
UniRef50_Q89W81: Putative phosphoribosylaminoimidazole-succinocarboxamide synthase B|unclassified	691.552
UniRef50_UPI0001A43532: adenylosuccinate lyase, partial	690.756
UniRef50_UPI0001A43532: adenylosuccinate lyase, partial|unclassified	690.756
UniRef50_O58056: Phosphoribosylglycinamide formyltransferase 2	689.291
UniRef50_O58056: Phosphoribosylglycinamide formyltransferase 2|unclassified	689.291
UniRef50_X8FK53: AIR synthase related , C-terminal domain protein	688.849
UniRef50_X8FK53: AIR synthase related , C-terminal domain protein|unclassified	688.849
UniRef50_X1H5X0: Marine sediment metagenome DNA, contig: S03H2_S15522	683.845
UniRef50_X1H5X0: Marine sediment metagenome DNA, contig: S03H2_S15522|unclassified	683.845
UniRef50_UPI0004731DEA: hypothetical protein, partial	683.123
UniRef50_UPI0004731DEA: hypothetical protein, partial|unclassified	683.123
UniRef50_A0A011MMB2	682.032
UniRef50_A0A011MMB2|unclassified	682.032
UniRef50_Q54QE4: Bifunctional purine synthesis protein purC/E	678.342
UniRef50_Q54QE4: Bifunctional purine synthesis protein purC/E|unclassified	678.342
UniRef50_H1QEQ5: Phosphoribosylaminoimidazole-succinocarboxamide synthase (Fragment)	677.515
UniRef50_H1QEQ5: Phosphoribosylaminoimidazole-succinocarboxamide synthase (Fragment)|unclassified	677.515
UniRef50_X1E847: Marine sediment metagenome DNA, contig: S01H4_S22892 (Fragment)	676.253
UniRef50_X1E847: Marine sediment metagenome DNA, contig: S01H4_S22892 (Fragment)|unclassified	676.253
UniRef50_Q3JNS9	673.797
UniRef50_Q3JNS9|unclassified	673.797
UniRef50_Q5ZI49: Ribose-phosphate pyrophosphokinase 2	673.791
UniRef50_Q5ZI49: Ribose-phosphate pyrophosphokinase 2|unclassified	673.791
UniRef50_UPI00044163EA: phosphoribosylformylglycinamidin	670.463
UniRef50_UPI00044163EA: phosphoribosylformylglycinamidin|unclassified	670.463
UniRef50_Q75JN8: Ribose-phosphate pyrophosphokinase B	665.175
UniRef50_Q75JN8: Ribose-phosphate pyrophosphokinase B|unclassified	665.175
UniRef50_P20772: Bifunctional purine biosynthetic protein ADE1	659.298
UniRef50_P20772: Bifunctional purine biosynthetic protein ADE1|unclassified	659.298
UniRef50_UPI0003B78305: hypothetical protein	656.077
UniRef50_UPI0003B78305: hypothetical protein|unclassified	656.077
UniRef50_M7ASW2	652.493
UniRef50_M7ASW2|unclassified	652.493
UniRef50_A3PAY7: Bifunctional purine biosynthesis protein PurH	651.161
UniRef50_A3PAY7: Bifunctional purine biosynthesis protein PurH|unclassified	651.161
UniRef50_X0UM07: Marine sediment metagenome DNA, contig: S01H1_L09577 (Fragment)	649.135
UniRef50_X0UM07: Marine sediment metagenome DNA, contig: S01H1_L09577 (Fragment)|unclassified	649.135
UniRef50_UPI000371008D: phosphoribosylaminoimidazole synthetase	647.473
UniRef50_UPI000371008D: phosphoribosylaminoimidazole synthetase|unclassified	647.473
UniRef50_UPI00047BCDD0: phosphoribosylglycinamide formyltransferase	644.736
UniRef50_UPI00047BCDD0: phosphoribosylglycinamide formyltransferase|unclassified	644.736
UniRef50_Q46I59: Phosphoribosylformylglycinamidine synthase 2	643.889
UniRef50_Q46I59: Phosphoribosylformylglycinamidine synthase 2|unclassified	643.889
UniRef50_UPI00021962F6: phosphoribosylamine--glycine ligase, partial	643.832
UniRef50_UPI00021962F6: phosphoribosylamine--glycine ligase, partial|unclassified	643.832
UniRef50_UPI000440C8CA: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like	642.197
UniRef50_UPI000440C8CA: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like|unclassified	642.197
UniRef50_T1DG32: Phosphoribosylformylglycinamidine synthase (Fragment)	640.607
UniRef50_T1DG32: Phosphoribosylformylglycinamidine synthase (Fragment)|unclassified	640.607
UniRef50_T1CNG8: Phosphoribosylformylglycinamidine (FGAM) synthase (Fragment)	638.578
UniRef50_T1CNG8: Phosphoribosylformylglycinamidine (FGAM) synthase (Fragment)|unclassified	638.578
UniRef50_Q04EU0: Phosphoribosylaminoimidazole-succinocarboxamide synthase	636.541
UniRef50_Q04EU0: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	636.541
UniRef50_T0LIW8	636.481
UniRef50_T0LIW8|unclassified	636.481
UniRef50_UPI00039D909E: phosphoribosylglycinamide formyltransferase	634.518
UniRef50_UPI00039D909E: phosphoribosylglycinamide formyltransferase|unclassified	634.518
UniRef50_Q981B9: Phosphoribosylglycinamide formyltransferase 2	632.384
UniRef50_Q981B9: Phosphoribosylglycinamide formyltransferase 2|unclassified	632.384
UniRef50_P52201: Adenylosuccinate lyase (Fragment)	630.012
UniRef50_P52201: Adenylosuccinate lyase (Fragment)|unclassified	630.012
UniRef50_UPI000477A7D6: phosphoribosylglycinamide formyltransferase	627.786
UniRef50_UPI000477A7D6: phosphoribosylglycinamide formyltransferase|unclassified	627.786
UniRef50_J3KXD3	624.566
UniRef50_J3KXD3|unclassified	624.566
UniRef50_UPI00037EDDCE: phosphoribosylformylglycinamidine synthase	623.646
UniRef50_UPI00037EDDCE: phosphoribosylformylglycinamidine synthase|unclassified	623.646
UniRef50_T4IBX1	623.557
UniRef50_T4IBX1|unclassified	623.557
UniRef50_Q0I808: Phosphoribosylaminoimidazole-succinocarboxamide synthase	615.939
UniRef50_Q0I808: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	615.939
UniRef50_UPI00037ADAF5: MULTISPECIES: hypothetical protein	613.875
UniRef50_UPI00037ADAF5: MULTISPECIES: hypothetical protein|unclassified	613.875
UniRef50_T1AQZ2: Phosphoribosylformylglycinamidine synthase (Fragment)	611.834
UniRef50_T1AQZ2: Phosphoribosylformylglycinamidine synthase (Fragment)|unclassified	611.834
UniRef50_UPI0002B44F2C: PREDICTED: adenylosuccinate lyase-like	610.222
UniRef50_UPI0002B44F2C: PREDICTED: adenylosuccinate lyase-like|unclassified	610.222
UniRef50_UPI0003B69561: IMP cyclohydrolase	609.283
UniRef50_UPI0003B69561: IMP cyclohydrolase|unclassified	609.283
UniRef50_UPI000255BBBE: phosphoribosylaminoimidazole carboxylase ATPase subunit	607.148
UniRef50_UPI000255BBBE: phosphoribosylaminoimidazole carboxylase ATPase subunit|unclassified	607.148
UniRef50_C1GER0: Phosphoribosylformylglycinamidine synthase	606.693
UniRef50_C1GER0: Phosphoribosylformylglycinamidine synthase|unclassified	606.693
UniRef50_Q72UH8: Phosphoribosylaminoimidazole-succinocarboxamide synthase	604.911
UniRef50_Q72UH8: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	604.911
UniRef50_UPI0003B37356: phosphoribosylaminoimidazole carboxylase, partial	601.93
UniRef50_UPI0003B37356: phosphoribosylaminoimidazole carboxylase, partial|unclassified	601.93
UniRef50_UPI00040BF3FB: phosphoribosylglycinamide formyltransferase	600.375
UniRef50_UPI00040BF3FB: phosphoribosylglycinamide formyltransferase|unclassified	600.375
UniRef50_UPI0003B42546: hypothetical protein	599.656
UniRef50_UPI0003B42546: hypothetical protein|unclassified	599.656
UniRef50_UPI0003B5DAFF: phosphoribosylformylglycinamidine synthase, partial	599.139
UniRef50_UPI0003B5DAFF: phosphoribosylformylglycinamidine synthase, partial|unclassified	599.139
UniRef50_B2KCE9: Phosphoribosylaminoimidazole-succinocarboxamide synthase	598.786
UniRef50_B2KCE9: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	598.786
UniRef50_UPI00029A9C91: phosphoribosylaminoimidazole carboxylase ATPase subunit, partial	597.04
UniRef50_UPI00029A9C91: phosphoribosylaminoimidazole carboxylase ATPase subunit, partial|unclassified	597.04
UniRef50_UPI0004735BD0: phosphoribosylaminoimidazolecarboxamide formyltransferase, partial	594.661
UniRef50_UPI0004735BD0: phosphoribosylaminoimidazolecarboxamide formyltransferase, partial|unclassified	594.661
UniRef50_Q8F242: Phosphoribosylformylglycinamidine cyclo-ligase	592.624
UniRef50_Q8F242: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	592.624
UniRef50_UPI00037C3EFF: hypothetical protein, partial	591.447
UniRef50_UPI00037C3EFF: hypothetical protein, partial|unclassified	591.447
UniRef50_F2EQU4	589.736
UniRef50_F2EQU4|unclassified	589.736
UniRef50_UPI00046FF028: hypothetical protein	586.103
UniRef50_UPI00046FF028: hypothetical protein|unclassified	586.103
UniRef50_H8PGB9: PurF (Fragment)	582.475
UniRef50_H8PGB9: PurF (Fragment)|unclassified	582.475
UniRef50_Q4EAS0: Phosphoribosylformylglycinamidine synthase I	582.167
UniRef50_Q4EAS0: Phosphoribosylformylglycinamidine synthase I|unclassified	582.167
UniRef50_UPI000366B4C0: hypothetical protein	581.437
UniRef50_UPI000366B4C0: hypothetical protein|unclassified	581.437
UniRef50_UPI0004735BBE: phosphoribosylamine--glycine ligase, partial	580.367
UniRef50_UPI0004735BBE: phosphoribosylamine--glycine ligase, partial|unclassified	580.367
UniRef50_UPI00024910E9: phosphoribosylaminoimidazole synthetase	578.91
UniRef50_UPI00024910E9: phosphoribosylaminoimidazole synthetase|unclassified	578.91
UniRef50_Q7V0C7: Phosphoribosylaminoimidazole-succinocarboxamide synthase	577.803
UniRef50_Q7V0C7: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	577.803
UniRef50_T0NPG4	575.084
UniRef50_T0NPG4|unclassified	575.084
UniRef50_A0A011NUN7: N5-carboxyaminoimidazole ribonucleotide synthase	571.966
UniRef50_A0A011NUN7: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	571.966
UniRef50_X0SH70: Marine sediment metagenome DNA, contig: S01H1_L04076 (Fragment)	571.128
UniRef50_X0SH70: Marine sediment metagenome DNA, contig: S01H1_L04076 (Fragment)|unclassified	571.128
UniRef50_UPI0003B2E976: phosphoribosylamine--glycine ligase	568.984
UniRef50_UPI0003B2E976: phosphoribosylamine--glycine ligase|unclassified	568.984
UniRef50_P38025: Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic	565.777
UniRef50_P38025: Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic|unclassified	565.777
UniRef50_UPI00046FD571: hypothetical protein, partial	565.605
UniRef50_UPI00046FD571: hypothetical protein, partial|unclassified	565.605
UniRef50_R6HC13: Phosphoribosylformylglycinamidine synthase	564.294
