# Gene Family	SampleDe_Novo_Purine_Biosynthesis_Abundance-RPKs
UniRef50_UPI000479919E: phosphoribosylaminoimidazolecarboxamide formyltransferase|unclassified	310.3190325925
UniRef50_Q5HQ98: Phosphoribosylglycinamide formyltransferase	306.8761265454
UniRef50_Q5HQ98: Phosphoribosylglycinamide formyltransferase|unclassified	306.8761265454
UniRef50_Q8DIA7: Phosphoribosylformylglycinamidine synthase 2	306.3506164300
UniRef50_Q8DIA7: Phosphoribosylformylglycinamidine synthase 2|unclassified	306.3506164300
UniRef50_R7BWX1: Phosphoribosylformylglycinamidine synthase	306.2095582198
UniRef50_R7BWX1: Phosphoribosylformylglycinamidine synthase|unclassified	306.2095582198
UniRef50_UPI000361F695: hypothetical protein	302.1400160780
UniRef50_UPI000361F695: hypothetical protein|unclassified	302.1400160780
UniRef50_Q88U30: Phosphoribosylamine--glycine ligase	301.0222675701
UniRef50_Q88U30: Phosphoribosylamine--glycine ligase|unclassified	301.0222675701
UniRef50_Q8KBV8: Phosphoribosylamine--glycine ligase	299.6606453741
UniRef50_Q8KBV8: Phosphoribosylamine--glycine ligase|unclassified	299.6606453741
UniRef50_UPI0003B3A193: adenylosuccinate lyase, partial	299.6457882666
UniRef50_UPI0003B3A193: adenylosuccinate lyase, partial|unclassified	299.6457882666
UniRef50_U7US52	297.8826382651
UniRef50_U7US52|unclassified	297.8826382651
UniRef50_UPI00035DD30D: hypothetical protein, partial	297.6760654114
UniRef50_UPI00035DD30D: hypothetical protein, partial|unclassified	297.6760654114
UniRef50_Q8TX83: Phosphoribosylaminoimidazole-succinocarboxamide synthase	297.2092869722
UniRef50_Q8TX83: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	297.2092869722
UniRef50_Q9PN47: Phosphoribosylamine--glycine ligase	297.1534327288
UniRef50_Q9PN47: Phosphoribosylamine--glycine ligase|unclassified	297.1534327288
UniRef50_Q05728: Phosphoribosylformylglycinamidine cyclo-ligase, chloroplastic	296.8605139926
UniRef50_Q05728: Phosphoribosylformylglycinamidine cyclo-ligase, chloroplastic|unclassified	296.8605139926
UniRef50_UPI000475C24E: phosphoribosylaminoimidazole carboxylase	296.5784905365
UniRef50_UPI000475C24E: phosphoribosylaminoimidazole carboxylase|unclassified	296.5784905365
UniRef50_A8FM07: Bifunctional purine biosynthesis protein PurH	296.1798479076
UniRef50_A8FM07: Bifunctional purine biosynthesis protein PurH|unclassified	296.1798479076
UniRef50_UPI00047A10FA: phosphoribosylformylglycinamidine synthase	295.0487304473
UniRef50_UPI00047A10FA: phosphoribosylformylglycinamidine synthase|unclassified	295.0487304473
UniRef50_U4PZA5	292.5825645765
UniRef50_U4PZA5|unclassified	292.5825645765
UniRef50_C3PF03: Bifunctional purine biosynthesis protein PurH	292.3674095196
UniRef50_C3PF03: Bifunctional purine biosynthesis protein PurH|unclassified	292.3674095196
UniRef50_UPI0001D2F0A7: phosphoribosylamine/glycine ligase	291.4731306955
UniRef50_UPI0001D2F0A7: phosphoribosylamine/glycine ligase|unclassified	291.4731306955
UniRef50_UPI000370F07C: hypothetical protein	291.4225164478
UniRef50_UPI000370F07C: hypothetical protein|unclassified	291.4225164478
UniRef50_D0W7T2	291.2551771341
UniRef50_D0W7T2|unclassified	291.2551771341
UniRef50_A0A030PRI4	288.8284507200
UniRef50_A0A030PRI4|unclassified	288.8284507200
UniRef50_O58583	288.1812007394
UniRef50_O58583|unclassified	288.1812007394
UniRef50_UPI00020D9C13: phosphoribosylaminoimidazole carboxylase ATPase subunit	288.0279925877
UniRef50_UPI00020D9C13: phosphoribosylaminoimidazole carboxylase ATPase subunit|unclassified	288.0279925877
UniRef50_Q98I23: Putative phosphoribosylaminoimidazole-succinocarboxamide synthase 2	287.6665736116
UniRef50_Q98I23: Putative phosphoribosylaminoimidazole-succinocarboxamide synthase 2|unclassified	287.6665736116
UniRef50_UPI0003716807: hypothetical protein	286.9502525960
UniRef50_UPI0003716807: hypothetical protein|unclassified	286.9502525960
UniRef50_Q88U22: Phosphoribosylaminoimidazole-succinocarboxamide synthase	286.8416523111
UniRef50_Q88U22: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	286.8416523111
UniRef50_P15567: Phosphoribosylaminoimidazole carboxylase	286.4449932855
UniRef50_P15567: Phosphoribosylaminoimidazole carboxylase|unclassified	286.4449932855
UniRef50_UPI00037A72C6: hypothetical protein, partial	285.8509331103
UniRef50_UPI00037A72C6: hypothetical protein, partial|unclassified	285.8509331103
UniRef50_UPI000249020F: phosphoribosylglycinamide formyltransferase	282.1592303465
UniRef50_UPI000249020F: phosphoribosylglycinamide formyltransferase|unclassified	282.1592303465
UniRef50_UPI0003B62E7F: phosphoribosylglycinamide formyltransferase	282.0915958587
UniRef50_UPI0003B62E7F: phosphoribosylglycinamide formyltransferase|unclassified	282.0915958587
UniRef50_A5M5J7: Phosphoribosylformylglycinamidine synthase, putative	277.5883785483
UniRef50_A5M5J7: Phosphoribosylformylglycinamidine synthase, putative|unclassified	277.5883785483
UniRef50_Q7UPZ8: Phosphoribosylamine--glycine ligase	277.0490577642
UniRef50_Q7UPZ8: Phosphoribosylamine--glycine ligase|unclassified	277.0490577642
UniRef50_R6Y9T5	276.7596141820
UniRef50_R6Y9T5|unclassified	276.7596141820
UniRef50_Q58033: N5-carboxyaminoimidazole ribonucleotide mutase	275.5014661057
UniRef50_Q58033: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	275.5014661057
UniRef50_Q8TIS9: Phosphoribosylaminoimidazole-succinocarboxamide synthase	274.2444354432
UniRef50_Q8TIS9: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	274.2444354432
UniRef50_P11908: Ribose-phosphate pyrophosphokinase 2	274.1107349036
UniRef50_P11908: Ribose-phosphate pyrophosphokinase 2|unclassified	274.1107349036
UniRef50_UPI0003A983A5: amidophosphoribosyltransferase	273.5474607743
UniRef50_UPI0003A983A5: amidophosphoribosyltransferase|unclassified	273.5474607743
UniRef50_Q4JXF0: Phosphoribosylformylglycinamidine synthase 2	272.7753299987
UniRef50_Q4JXF0: Phosphoribosylformylglycinamidine synthase 2|unclassified	272.7753299987
UniRef50_W4UL87	270.9202110561
UniRef50_W4UL87|unclassified	270.9202110561
UniRef50_UPI00024910E6: phosphoribosylamine--glycine ligase	269.9387082720
UniRef50_UPI00024910E6: phosphoribosylamine--glycine ligase|unclassified	269.9387082720
UniRef50_Q7NIR9: Phosphoribosylformylglycinamidine synthase 2	269.4657324825
UniRef50_Q7NIR9: Phosphoribosylformylglycinamidine synthase 2|unclassified	269.4657324825
UniRef50_R5CF03: Phosphoribosylformylglycinamidine synthase eukaryotes and proteobacteria	268.8518937835
UniRef50_R5CF03: Phosphoribosylformylglycinamidine synthase eukaryotes and proteobacteria|unclassified	268.8518937835
UniRef50_Q58339: Adenylosuccinate lyase	268.7085584147
UniRef50_Q58339: Adenylosuccinate lyase|unclassified	268.7085584147
UniRef50_UPI000380D7B1: amidophosphoribosyltransferase	266.7590403141
UniRef50_UPI000380D7B1: amidophosphoribosyltransferase|unclassified	266.7590403141
UniRef50_UPI000255C828: phosphoribosylamine--glycine ligase	266.6797856155
UniRef50_UPI000255C828: phosphoribosylamine--glycine ligase|unclassified	266.6797856155
UniRef50_M7AIF2	266.5734937324
UniRef50_M7AIF2|unclassified	266.5734937324
UniRef50_L8E3C5: Phosphoribosylformylglycinamidine synthase 1	265.5813940252
UniRef50_L8E3C5: Phosphoribosylformylglycinamidine synthase 1|unclassified	265.5813940252
UniRef50_UPI0003B52E8B: IMP cyclohydrolase	261.9140125272
UniRef50_UPI0003B52E8B: IMP cyclohydrolase|unclassified	261.9140125272
UniRef50_W1XPM2	260.9350356545
UniRef50_W1XPM2|unclassified	260.9350356545
UniRef50_E3YH88: Phosphoribosylformylglycinamidine synthase II (Fragment)	260.7464494689
UniRef50_E3YH88: Phosphoribosylformylglycinamidine synthase II (Fragment)|unclassified	260.7464494689
UniRef50_P0CQ36: Phosphoribosylaminoimidazole carboxylase	259.9055630525
UniRef50_P0CQ36: Phosphoribosylaminoimidazole carboxylase|unclassified	259.9055630525
UniRef50_Q0IDE8: Bifunctional purine biosynthesis protein PurH	257.8959842350
UniRef50_Q0IDE8: Bifunctional purine biosynthesis protein PurH|unclassified	257.8959842350
UniRef50_Q8YR06: Phosphoribosylformylglycinamidine synthase 2	257.0591761626
UniRef50_Q8YR06: Phosphoribosylformylglycinamidine synthase 2|unclassified	257.0591761626
UniRef50_X8C5R0: AIR synthase related , C-terminal domain protein	255.1881766220
UniRef50_X8C5R0: AIR synthase related , C-terminal domain protein|unclassified	255.1881766220
UniRef50_Q92210: Phosphoribosylaminoimidazole carboxylase	255.1623005459
UniRef50_Q92210: Phosphoribosylaminoimidazole carboxylase|unclassified	255.1623005459
UniRef50_Q895U7: Phosphoribosylaminoimidazole-succinocarboxamide synthase	254.2002190528
UniRef50_Q895U7: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	254.2002190528
UniRef50_B2IU46: Phosphoribosylformylglycinamidine synthase 2	253.5291620924
UniRef50_B2IU46: Phosphoribosylformylglycinamidine synthase 2|unclassified	253.5291620924
UniRef50_O14228: Probable phosphoribosylformylglycinamidine synthase	251.1306419733
UniRef50_O14228: Probable phosphoribosylformylglycinamidine synthase|unclassified	251.1306419733
UniRef50_X1P3D8: Marine sediment metagenome DNA, contig: S06H3_S22873 (Fragment)	246.3607122926
UniRef50_X1P3D8: Marine sediment metagenome DNA, contig: S06H3_S22873 (Fragment)|unclassified	246.3607122926
UniRef50_Q03E76: Phosphoribosylaminoimidazole-succinocarboxamide synthase	246.1897879106
UniRef50_Q03E76: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	246.1897879106
UniRef50_B0C6R3: Phosphoribosylformylglycinamidine synthase 2	245.1506544040
UniRef50_B0C6R3: Phosphoribosylformylglycinamidine synthase 2|unclassified	245.1506544040
UniRef50_X0VZY3: Marine sediment metagenome DNA, contig: S01H1_S23136 (Fragment)	244.9008213303
UniRef50_X0VZY3: Marine sediment metagenome DNA, contig: S01H1_S23136 (Fragment)|unclassified	244.9008213303
UniRef50_D2YK48: Phosphoribosylformylglycinamidine synthase	243.8998115798
UniRef50_D2YK48: Phosphoribosylformylglycinamidine synthase|unclassified	243.8998115798
UniRef50_UPI0003F4A35E: hypothetical protein TREMEDRAFT_74449	242.7725250028
UniRef50_UPI0003F4A35E: hypothetical protein TREMEDRAFT_74449|unclassified	242.7725250028
UniRef50_UPI000470C31E: phosphoribosylglycinamide formyltransferase	240.8887104020
UniRef50_UPI000470C31E: phosphoribosylglycinamide formyltransferase|unclassified	240.8887104020
UniRef50_UPI00041171F0: hypothetical protein	237.7933186801
UniRef50_UPI00041171F0: hypothetical protein|unclassified	237.7933186801
UniRef50_UPI00024870CC: phosphoribosylaminoimidazole carboxylase ATPase subunit, partial	237.5151249824
UniRef50_UPI00024870CC: phosphoribosylaminoimidazole carboxylase ATPase subunit, partial|unclassified	237.5151249824
UniRef50_UPI0002883A7C: phosphoribosylaminoimidazole carboxylase	237.3223997132
UniRef50_UPI0002883A7C: phosphoribosylaminoimidazole carboxylase|unclassified	237.3223997132
UniRef50_J9CBN6: Phosphoribosylformylglycinamidine synthase	234.3762321361
UniRef50_J9CBN6: Phosphoribosylformylglycinamidine synthase|unclassified	234.3762321361
UniRef50_UPI0003D79383: phosphoribosylaminoimidazolecarboxamide formyltransferase, partial	234.2517309512
UniRef50_UPI0003D79383: phosphoribosylaminoimidazolecarboxamide formyltransferase, partial|unclassified	234.2517309512
UniRef50_UPI0003EA935D: PREDICTED: amidophosphoribosyltransferase 1, chloroplastic-like	233.2276652883
UniRef50_UPI0003EA935D: PREDICTED: amidophosphoribosyltransferase 1, chloroplastic-like|unclassified	233.2276652883
UniRef50_Q6ACE5: Phosphoribosylaminoimidazole-succinocarboxamide synthase	233.0776973358
UniRef50_Q6ACE5: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	233.0776973358
UniRef50_Q7UKJ8: Bifunctional purine biosynthesis protein PurH	232.9175040476
UniRef50_Q7UKJ8: Bifunctional purine biosynthesis protein PurH|unclassified	232.9175040476
UniRef50_Q9RHX4: Phosphoribosylamine--glycine ligase	232.8596588106
UniRef50_Q9RHX4: Phosphoribosylamine--glycine ligase|unclassified	232.8596588106
UniRef50_P21264: Phosphoribosylaminoimidazole carboxylase	232.7952178469
UniRef50_P21264: Phosphoribosylaminoimidazole carboxylase|unclassified	232.7952178469
UniRef50_O74197: Phosphoribosylaminoimidazole carboxylase	231.8833765445
UniRef50_O74197: Phosphoribosylaminoimidazole carboxylase|unclassified	231.8833765445
UniRef50_R0NF22	231.7425958883
UniRef50_R0NF22|unclassified	231.7425958883
UniRef50_UPI0003C8E201: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like isoform X1	231.2594491194
UniRef50_UPI0003C8E201: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like isoform X1|unclassified	231.2594491194
UniRef50_X1HEG5: Marine sediment metagenome DNA, contig: S03H2_L06248 (Fragment)	230.7768532265
UniRef50_X1HEG5: Marine sediment metagenome DNA, contig: S03H2_L06248 (Fragment)|unclassified	230.7768532265
UniRef50_Q54GJ2: Bifunctional purine biosynthetic protein purD	230.5874960889
UniRef50_Q54GJ2: Bifunctional purine biosynthetic protein purD|unclassified	230.5874960889
UniRef50_O59619: Phosphoribosylformylglycinamidine synthase 1	230.1967908027
UniRef50_O59619: Phosphoribosylformylglycinamidine synthase 1|unclassified	230.1967908027
UniRef50_P22102: Trifunctional purine biosynthetic protein adenosine-3	230.1167566492
UniRef50_P22102: Trifunctional purine biosynthetic protein adenosine-3|unclassified	230.1167566492
UniRef50_Q7UJ19: Phosphoribosylaminoimidazole-succinocarboxamide synthase	229.8728119084
UniRef50_Q7UJ19: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	229.8728119084
UniRef50_UPI00047074BE: amidophosphoribosyltransferase, partial	229.5023093354
UniRef50_UPI00047074BE: amidophosphoribosyltransferase, partial|unclassified	229.5023093354
UniRef50_F9Q581: DJ-1/PfpI domain protein	229.4683751722
UniRef50_F9Q581: DJ-1/PfpI domain protein|unclassified	229.4683751722
UniRef50_UPI00036BB6AB: phosphoribosylaminoimidazole synthetase	229.3638192287
UniRef50_UPI00036BB6AB: phosphoribosylaminoimidazole synthetase|unclassified	229.3638192287
UniRef50_R5T4X1	229.2664626397
UniRef50_R5T4X1|unclassified	229.2664626397
UniRef50_UPI000471CC16: hypothetical protein, partial	228.9638505028
UniRef50_UPI000471CC16: hypothetical protein, partial|unclassified	228.9638505028
UniRef50_UPI000360A0FF: phosphoribosylglycinamide synthetase	228.7352162448
UniRef50_UPI000360A0FF: phosphoribosylglycinamide synthetase|unclassified	228.7352162448
UniRef50_UPI0004561459: hypothetical protein PFL1_03129	228.5067663765
UniRef50_UPI0004561459: hypothetical protein PFL1_03129|unclassified	228.5067663765
UniRef50_UPI0002197895: phosphoribosylaminoimidazole carboxylase	228.1340587784
UniRef50_UPI0002197895: phosphoribosylaminoimidazole carboxylase|unclassified	228.1340587784
UniRef50_UPI0002627EC1: phosphoribosylglycinamide formyltransferase	227.1205611818
UniRef50_UPI0002627EC1: phosphoribosylglycinamide formyltransferase|unclassified	227.1205611818
UniRef50_T0M486	227.0225889375
UniRef50_T0M486|unclassified	227.0225889375
UniRef50_UPI0003826F97: hypothetical protein, partial	226.3557868410
UniRef50_UPI0003826F97: hypothetical protein, partial|unclassified	226.3557868410
UniRef50_R7CEG4: PurL	225.7094907594
UniRef50_R7CEG4: PurL|unclassified	225.7094907594
UniRef50_UPI0003B43A41: adenylosuccinate lyase	225.0813672180
UniRef50_UPI0003B43A41: adenylosuccinate lyase|unclassified	225.0813672180
UniRef50_Q8EZT7: Phosphoribosylamine--glycine ligase	224.9677904711
UniRef50_Q8EZT7: Phosphoribosylamine--glycine ligase|unclassified	224.9677904711
UniRef50_Q64737: Trifunctional purine biosynthetic protein adenosine-3	224.3734692133
UniRef50_Q64737: Trifunctional purine biosynthetic protein adenosine-3|unclassified	224.3734692133
UniRef50_P21108: Ribose-phosphate pyrophosphokinase 3	222.3692488238
UniRef50_P21108: Ribose-phosphate pyrophosphokinase 3|unclassified	222.3692488238
UniRef50_W4TPW6: Phosphoribosylformylglycinamidine synthase	221.9606012887
UniRef50_W4TPW6: Phosphoribosylformylglycinamidine synthase|unclassified	221.9606012887
UniRef50_Q9RXT4: Phosphoribosylformylglycinamidine synthase 2	221.3872511511
UniRef50_Q9RXT4: Phosphoribosylformylglycinamidine synthase 2|unclassified	221.3872511511
UniRef50_UPI000289E84C: phosphoribosylglycinamide formyltransferase	221.1752763731
UniRef50_UPI000289E84C: phosphoribosylglycinamide formyltransferase|unclassified	221.1752763731
UniRef50_UPI000463587C: hypothetical protein, partial	219.5586531882
UniRef50_UPI000463587C: hypothetical protein, partial|unclassified	219.5586531882
UniRef50_UPI000479D147: phosphoribosylformylglycinamidine synthase	218.8054940125
UniRef50_UPI000479D147: phosphoribosylformylglycinamidine synthase|unclassified	218.8054940125
UniRef50_Q9PQV0: Ribose-phosphate pyrophosphokinase	217.8996282031
UniRef50_Q9PQV0: Ribose-phosphate pyrophosphokinase|unclassified	217.8996282031
UniRef50_P38972: Phosphoribosylformylglycinamidine synthase	217.2618106876
UniRef50_P38972: Phosphoribosylformylglycinamidine synthase|unclassified	217.2618106876
UniRef50_UPI00046EBA89: hypothetical protein, partial	217.2337799076
UniRef50_UPI00046EBA89: hypothetical protein, partial|unclassified	217.2337799076
UniRef50_UPI000368ACE9: MULTISPECIES: hypothetical protein	215.5072375625
UniRef50_UPI000368ACE9: MULTISPECIES: hypothetical protein|unclassified	215.5072375625
UniRef50_Q59A32: Trifunctional purine biosynthetic protein adenosine-3	215.4676822232
UniRef50_Q59A32: Trifunctional purine biosynthetic protein adenosine-3|unclassified	215.4676822232
UniRef50_R5DCJ5	215.1028448011
UniRef50_R5DCJ5|unclassified	215.1028448011
UniRef50_UPI0004728FF0: hypothetical protein	215.0194604007
UniRef50_UPI0004728FF0: hypothetical protein|unclassified	215.0194604007
UniRef50_UPI00046F841A: hypothetical protein	213.9999602180
UniRef50_UPI00046F841A: hypothetical protein|unclassified	213.9999602180
UniRef50_UPI00024850D2: phosphoribosylamine--glycine ligase, partial	213.4724000358
UniRef50_UPI00024850D2: phosphoribosylamine--glycine ligase, partial|unclassified	213.4724000358
UniRef50_UPI00025585D7: phosphoribosylaminoimidazole synthetase, partial	212.2210443521
UniRef50_UPI00025585D7: phosphoribosylaminoimidazole synthetase, partial|unclassified	212.2210443521
UniRef50_Q7VF52: Phosphoribosylformylglycinamidine synthase 2	211.7779779473
UniRef50_Q7VF52: Phosphoribosylformylglycinamidine synthase 2|unclassified	211.7779779473
UniRef50_UPI00036104BC: hypothetical protein, partial	211.4164083456
UniRef50_UPI00036104BC: hypothetical protein, partial|unclassified	211.4164083456
UniRef50_Q8CL01	211.3600470824
UniRef50_Q8CL01|unclassified	211.3600470824
UniRef50_Q9X0X2: Phosphoribosylformylglycinamidine synthase 1	210.9766823116
UniRef50_Q9X0X2: Phosphoribosylformylglycinamidine synthase 1|unclassified	210.9766823116
UniRef50_X1SMV9: Marine sediment metagenome DNA, contig: S12H4_S00128 (Fragment)	210.4040370435
UniRef50_X1SMV9: Marine sediment metagenome DNA, contig: S12H4_S00128 (Fragment)|unclassified	210.4040370435
UniRef50_K1RXQ6: Phosphoribosylformylglycinamidine synthase (Fragment)	210.1400695138
UniRef50_K1RXQ6: Phosphoribosylformylglycinamidine synthase (Fragment)|unclassified	210.1400695138
UniRef50_A8F8I3: Phosphoribosylformylglycinamidine synthase 2	209.4853548317
UniRef50_A8F8I3: Phosphoribosylformylglycinamidine synthase 2|unclassified	209.4853548317
UniRef50_UPI000225BEFC: phosphoribosylformylglycinamidine synthase component II, partial	209.3644297242
UniRef50_UPI000225BEFC: phosphoribosylformylglycinamidine synthase component II, partial|unclassified	209.3644297242
UniRef50_UPI0003675E21: hypothetical protein	208.3776364713
UniRef50_UPI0003675E21: hypothetical protein|unclassified	208.3776364713
UniRef50_UPI0003786CBE: hypothetical protein	208.2308827508
UniRef50_UPI0003786CBE: hypothetical protein|unclassified	208.2308827508
UniRef50_G6C3Z9	207.6092173003
UniRef50_G6C3Z9|unclassified	207.6092173003
UniRef50_UPI0003662138: hypothetical protein	207.3658675739
UniRef50_UPI0003662138: hypothetical protein|unclassified	207.3658675739
UniRef50_B2GF71: Phosphoribosylaminoimidazole-succinocarboxamide synthase	205.9957441727
UniRef50_B2GF71: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	205.9957441727
UniRef50_Q67KF8: Phosphoribosylformylglycinamidine synthase 2	205.7807796416
UniRef50_Q67KF8: Phosphoribosylformylglycinamidine synthase 2|unclassified	205.7807796416
UniRef50_UPI0004729427: hypothetical protein	205.2284545851
UniRef50_UPI0004729427: hypothetical protein|unclassified	205.2284545851
UniRef50_X1TVW2: Marine sediment metagenome DNA, contig: S12H4_S01112 (Fragment)	204.9258609241
UniRef50_X1TVW2: Marine sediment metagenome DNA, contig: S12H4_S01112 (Fragment)|unclassified	204.9258609241
UniRef50_UPI00047D49D9: phosphoribosylaminoimidazolecarboxamide formyltransferase	204.7187709499
UniRef50_UPI00047D49D9: phosphoribosylaminoimidazolecarboxamide formyltransferase|unclassified	204.7187709499
UniRef50_Q9EWS0: Putative ribose-phosphate pyrophosphokinase	204.3803293708
UniRef50_Q9EWS0: Putative ribose-phosphate pyrophosphokinase|unclassified	204.3803293708
UniRef50_N1MAH2	203.5884041617
UniRef50_N1MAH2|unclassified	203.5884041617
UniRef50_Q18CW0: Bifunctional purine biosynthesis protein PurH	203.4825198341
UniRef50_Q18CW0: Bifunctional purine biosynthesis protein PurH|unclassified	203.4825198341
UniRef50_Q72RT5: Bifunctional purine biosynthesis protein PurH	203.2363778406
UniRef50_Q72RT5: Bifunctional purine biosynthesis protein PurH|unclassified	203.2363778406
UniRef50_Q7VLK6: Phosphoribosylaminoimidazole carboxylase ATPase subunit	203.1426031974
UniRef50_Q7VLK6: Phosphoribosylaminoimidazole carboxylase ATPase subunit|unclassified	203.1426031974
UniRef50_Q44678: N5-carboxyaminoimidazole ribonucleotide synthase	202.0659409274
UniRef50_Q44678: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	202.0659409274
UniRef50_R5H9Q7: Putative phosphoribosylformylglycinamidine synthase	202.0004252797
UniRef50_R5H9Q7: Putative phosphoribosylformylglycinamidine synthase|unclassified	202.0004252797
UniRef50_R0Q365	201.8363150710
UniRef50_R0Q365|unclassified	201.8363150710
UniRef50_S5Z4P8	200.6699307024
UniRef50_S5Z4P8|unclassified	200.6699307024
UniRef50_H7PP70	200.6115410310
UniRef50_H7PP70|unclassified	200.6115410310
UniRef50_UPI0004231022: phosphoribosylamine--glycine ligase	200.5386430575
UniRef50_UPI0004231022: phosphoribosylamine--glycine ligase|unclassified	200.5386430575
UniRef50_Q89W81: Putative phosphoribosylaminoimidazole-succinocarboxamide synthase B	200.1902702619
UniRef50_Q89W81: Putative phosphoribosylaminoimidazole-succinocarboxamide synthase B|unclassified	200.1902702619
UniRef50_UPI0001A43532: adenylosuccinate lyase, partial	199.9599048387
UniRef50_UPI0001A43532: adenylosuccinate lyase, partial|unclassified	199.9599048387
UniRef50_O58056: Phosphoribosylglycinamide formyltransferase 2	199.5357411336
UniRef50_O58056: Phosphoribosylglycinamide formyltransferase 2|unclassified	199.5357411336
UniRef50_X8FK53: AIR synthase related , C-terminal domain protein	199.4080159262
UniRef50_X8FK53: AIR synthase related , C-terminal domain protein|unclassified	199.4080159262
UniRef50_X1H5X0: Marine sediment metagenome DNA, contig: S03H2_S15522	197.9594047045
UniRef50_X1H5X0: Marine sediment metagenome DNA, contig: S03H2_S15522|unclassified	197.9594047045
UniRef50_UPI0004731DEA: hypothetical protein, partial	197.7504533769
UniRef50_UPI0004731DEA: hypothetical protein, partial|unclassified	197.7504533769
UniRef50_A0A011MMB2	197.4343713235
UniRef50_A0A011MMB2|unclassified	197.4343713235
UniRef50_Q54QE4: Bifunctional purine synthesis protein purC/E	196.3662697059
UniRef50_Q54QE4: Bifunctional purine synthesis protein purC/E|unclassified	196.3662697059
UniRef50_H1QEQ5: Phosphoribosylaminoimidazole-succinocarboxamide synthase (Fragment)	196.1269418524
UniRef50_H1QEQ5: Phosphoribosylaminoimidazole-succinocarboxamide synthase (Fragment)|unclassified	196.1269418524
UniRef50_X1E847: Marine sediment metagenome DNA, contig: S01H4_S22892 (Fragment)	195.7615438961
UniRef50_X1E847: Marine sediment metagenome DNA, contig: S01H4_S22892 (Fragment)|unclassified	195.7615438961
UniRef50_Q3JNS9	195.0507351211
UniRef50_Q3JNS9|unclassified	195.0507351211
UniRef50_Q5ZI49: Ribose-phosphate pyrophosphokinase 2	195.0487823453
UniRef50_Q5ZI49: Ribose-phosphate pyrophosphokinase 2|unclassified	195.0487823453
UniRef50_UPI00044163EA: phosphoribosylformylglycinamidin	194.0856176181
UniRef50_UPI00044163EA: phosphoribosylformylglycinamidin|unclassified	194.0856176181
UniRef50_Q75JN8: Ribose-phosphate pyrophosphokinase B	192.5547541208
UniRef50_Q75JN8: Ribose-phosphate pyrophosphokinase B|unclassified	192.5547541208
UniRef50_P20772: Bifunctional purine biosynthetic protein ADE1	190.8533889460
UniRef50_P20772: Bifunctional purine biosynthetic protein ADE1|unclassified	190.8533889460
UniRef50_UPI0003B78305: hypothetical protein	189.9211228925
UniRef50_UPI0003B78305: hypothetical protein|unclassified	189.9211228925
UniRef50_M7ASW2	188.8835201278
UniRef50_M7ASW2|unclassified	188.8835201278
UniRef50_A3PAY7: Bifunctional purine biosynthesis protein PurH	188.4980093571
UniRef50_A3PAY7: Bifunctional purine biosynthesis protein PurH|unclassified	188.4980093571
UniRef50_X0UM07: Marine sediment metagenome DNA, contig: S01H1_L09577 (Fragment)	187.9114211976
UniRef50_X0UM07: Marine sediment metagenome DNA, contig: S01H1_L09577 (Fragment)|unclassified	187.9114211976
UniRef50_UPI000371008D: phosphoribosylaminoimidazole synthetase	187.4302551945
UniRef50_UPI000371008D: phosphoribosylaminoimidazole synthetase|unclassified	187.4302551945
UniRef50_UPI00047BCDD0: phosphoribosylglycinamide formyltransferase	186.6381694188
UniRef50_UPI00047BCDD0: phosphoribosylglycinamide formyltransferase|unclassified	186.6381694188
UniRef50_Q46I59: Phosphoribosylformylglycinamidine synthase 2	186.3927977202
UniRef50_Q46I59: Phosphoribosylformylglycinamidine synthase 2|unclassified	186.3927977202
UniRef50_UPI00021962F6: phosphoribosylamine--glycine ligase, partial	186.3763639377
UniRef50_UPI00021962F6: phosphoribosylamine--glycine ligase, partial|unclassified	186.3763639377
UniRef50_UPI000440C8CA: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like	185.9030926029
UniRef50_UPI000440C8CA: PREDICTED: trifunctional purine biosynthetic protein adenosine-3-like|unclassified	185.9030926029
UniRef50_T1DG32: Phosphoribosylformylglycinamidine synthase (Fragment)	185.4428135642
UniRef50_T1DG32: Phosphoribosylformylglycinamidine synthase (Fragment)|unclassified	185.4428135642
UniRef50_T1CNG8: Phosphoribosylformylglycinamidine (FGAM) synthase (Fragment)	184.8553261460
UniRef50_T1CNG8: Phosphoribosylformylglycinamidine (FGAM) synthase (Fragment)|unclassified	184.8553261460
UniRef50_Q04EU0: Phosphoribosylaminoimidazole-succinocarboxamide synthase	184.2656649099
UniRef50_Q04EU0: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	184.2656649099
UniRef50_T0LIW8	184.2484171464
UniRef50_T0LIW8|unclassified	184.2484171464
