# Gene Family	SampleBacterial_Chemotaxis_Abundance-RPKs
UniRef50_S6Q1B7: Methyl-accepting chemotaxis protein (Fragment)	117.3349622373
UniRef50_S6Q1B7: Methyl-accepting chemotaxis protein (Fragment)|unclassified	117.3349622373
UniRef50_I3D7Z4: Putative D-galactose-binding periplasmic protein	116.9107309310
UniRef50_I3D7Z4: Putative D-galactose-binding periplasmic protein|unclassified	116.9107309310
UniRef50_P62638: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon	116.5884990575
UniRef50_P62638: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon|unclassified	116.5884990575
UniRef50_N7P4E7	116.2645330672
UniRef50_N7P4E7|unclassified	116.2645330672
UniRef50_UPI00046C9FAA: hypothetical protein	116.0962931621
UniRef50_UPI00046C9FAA: hypothetical protein|unclassified	116.0962931621
UniRef50_C3IAA1: Methyl-accepting chemotaxis protein	115.8122625264
UniRef50_C3IAA1: Methyl-accepting chemotaxis protein|unclassified	115.8122625264
UniRef50_UPI000369AFDD: hypothetical protein	115.7560716606
UniRef50_UPI000369AFDD: hypothetical protein|unclassified	115.7560716606
UniRef50_UPI00016A3E4D: methyl-accepting chemotaxis domain protein, partial	115.5783826888
UniRef50_UPI00016A3E4D: methyl-accepting chemotaxis domain protein, partial|unclassified	115.5783826888
UniRef50_UPI00047A9343: chemotaxis protein	115.3809577010
UniRef50_UPI00047A9343: chemotaxis protein|unclassified	115.3809577010
UniRef50_Q07SD5: Probable chemoreceptor glutamine deamidase CheD	115.1427155672
UniRef50_Q07SD5: Probable chemoreceptor glutamine deamidase CheD|unclassified	115.1427155672
UniRef50_H7DCH7: Chemotaxis protein CheA (Fragment)	115.0114680661
UniRef50_H7DCH7: Chemotaxis protein CheA (Fragment)|unclassified	115.0114680661
UniRef50_Q2INL1: Chemotaxis response regulator protein-glutamate methylesterase 2	114.3771406977
UniRef50_Q2INL1: Chemotaxis response regulator protein-glutamate methylesterase 2|unclassified	114.3771406977
UniRef50_UPI00035D0C8E: hypothetical protein, partial	114.0514476304
UniRef50_UPI00035D0C8E: hypothetical protein, partial|unclassified	114.0514476304
UniRef50_UPI000475E032: hypothetical protein	113.9462090116
UniRef50_UPI000475E032: hypothetical protein|unclassified	113.9462090116
UniRef50_UPI0003B41289: chemotaxis protein CheY	112.3952984581
UniRef50_UPI0003B41289: chemotaxis protein CheY|unclassified	112.3952984581
UniRef50_UPI00047DE0FD: hypothetical protein	112.1830348501
UniRef50_UPI00047DE0FD: hypothetical protein|unclassified	112.1830348501
UniRef50_K2SN40	112.1061360059
UniRef50_K2SN40|unclassified	112.1061360059
UniRef50_UPI00037C406E: hypothetical protein	112.0189838312
UniRef50_UPI00037C406E: hypothetical protein|unclassified	112.0189838312
UniRef50_UPI000462E8BD: hypothetical protein, partial	111.8305443394
UniRef50_UPI000462E8BD: hypothetical protein, partial|unclassified	111.8305443394
UniRef50_P62644: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon	111.8175620582
UniRef50_P62644: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon|unclassified	111.8175620582
UniRef50_UPI0003B56187: histidine kinase	111.7718174228
UniRef50_UPI0003B56187: histidine kinase|unclassified	111.7718174228
UniRef50_UPI0003635640: hypothetical protein	111.6354818536
UniRef50_UPI0003635640: hypothetical protein|unclassified	111.6354818536
UniRef50_UPI0003815DCD: hypothetical protein	111.4882278257
UniRef50_UPI0003815DCD: hypothetical protein|unclassified	111.4882278257
UniRef50_UPI0004771E01: hypothetical protein	110.9707768995
UniRef50_UPI0004771E01: hypothetical protein|unclassified	110.9707768995
UniRef50_A5G222: Probable chemoreceptor glutamine deamidase CheD	110.8663561381
UniRef50_A5G222: Probable chemoreceptor glutamine deamidase CheD|unclassified	110.8663561381
UniRef50_UPI00035EA63D: hypothetical protein	110.8387031016
UniRef50_UPI00035EA63D: hypothetical protein|unclassified	110.8387031016
UniRef50_UPI000475A0A0: hypothetical protein	110.6187978481
UniRef50_UPI000475A0A0: hypothetical protein|unclassified	110.6187978481
UniRef50_I3D7L5: Putative D-galactose-binding periplasmic protein	110.4434404396
UniRef50_I3D7L5: Putative D-galactose-binding periplasmic protein|unclassified	110.4434404396
UniRef50_UPI0004096E73: hypothetical protein	110.2587494520
UniRef50_UPI0004096E73: hypothetical protein|unclassified	110.2587494520
UniRef50_UPI00041AE3E7: chemotaxis protein CheA	109.9904239194
UniRef50_UPI00041AE3E7: chemotaxis protein CheA|unclassified	109.9904239194
UniRef50_UPI00046D8102: chemotaxis protein CheW	109.9849621219
UniRef50_UPI00046D8102: chemotaxis protein CheW|unclassified	109.9849621219
UniRef50_UPI00036195A4: hypothetical protein	108.9282944728
UniRef50_UPI00036195A4: hypothetical protein|unclassified	108.9282944728
UniRef50_UPI0003772512: hypothetical protein	108.7352830600
UniRef50_UPI0003772512: hypothetical protein|unclassified	108.7352830600
UniRef50_UPI000363A2BE: hypothetical protein	108.3545136032
UniRef50_UPI000363A2BE: hypothetical protein|unclassified	108.3545136032
UniRef50_UPI0003B2FE42: chemotaxis protein CheY	108.2704241293
UniRef50_UPI0003B2FE42: chemotaxis protein CheY|unclassified	108.2704241293
UniRef50_F2AHK1	108.0822611313
UniRef50_F2AHK1|unclassified	108.0822611313
UniRef50_UPI0002376299: membrane protein	107.9825249465
UniRef50_UPI0002376299: membrane protein|unclassified	107.9825249465
UniRef50_UPI00037107B0: hypothetical protein	107.3189480359
UniRef50_UPI00037107B0: hypothetical protein|unclassified	107.3189480359
UniRef50_UPI000369C4CE: hypothetical protein	106.6662142293
UniRef50_UPI000369C4CE: hypothetical protein|unclassified	106.6662142293
UniRef50_UPI00036DD363: hypothetical protein	106.5951220561
UniRef50_UPI00036DD363: hypothetical protein|unclassified	106.5951220561
UniRef50_UPI00037C44A2: hypothetical protein	106.5220978711
UniRef50_UPI00037C44A2: hypothetical protein|unclassified	106.5220978711
UniRef50_UPI0004158277: flagellar motor switch protein FliM	106.4874709040
UniRef50_UPI0004158277: flagellar motor switch protein FliM|unclassified	106.4874709040
UniRef50_UPI00034D2FF1: hypothetical protein	106.3298426031
UniRef50_UPI00034D2FF1: hypothetical protein|unclassified	106.3298426031
UniRef50_UPI000473232A: chemotaxis protein, partial	106.2190011659
UniRef50_UPI000473232A: chemotaxis protein, partial|unclassified	106.2190011659
UniRef50_UPI0003711A75: MULTISPECIES: hypothetical protein	106.1679527365
UniRef50_UPI0003711A75: MULTISPECIES: hypothetical protein|unclassified	106.1679527365
UniRef50_V6UUD6: Methyl-accepting chemotaxis protein (Fragment)	105.8829772991
UniRef50_V6UUD6: Methyl-accepting chemotaxis protein (Fragment)|unclassified	105.8829772991
UniRef50_Q45047: Chemotaxis response regulator protein-glutamate methylesterase	105.5950609190
UniRef50_Q45047: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	105.5950609190
UniRef50_D9SKT7: Putative galactoside ABC transporter	105.5590280864
UniRef50_D9SKT7: Putative galactoside ABC transporter|unclassified	105.5590280864
UniRef50_A4BED7	105.4297012149
UniRef50_A4BED7|unclassified	105.4297012149
UniRef50_F3K925	105.1159946328
UniRef50_F3K925|unclassified	105.1159946328
UniRef50_UPI0002DB4E3C: hypothetical protein	104.9604742657
UniRef50_UPI0002DB4E3C: hypothetical protein|unclassified	104.9604742657
UniRef50_UPI00046A2423: chemotaxis protein CheA	104.9091231042
UniRef50_UPI00046A2423: chemotaxis protein CheA|unclassified	104.9091231042
UniRef50_UPI0003B44C4A: chemotaxis protein	104.8910487281
UniRef50_UPI0003B44C4A: chemotaxis protein|unclassified	104.8910487281
UniRef50_UPI00030A8164: hypothetical protein	104.8591226811
UniRef50_UPI00030A8164: hypothetical protein|unclassified	104.8591226811
UniRef50_K8BAI4	104.7454334179
UniRef50_K8BAI4|unclassified	104.7454334179
UniRef50_Q1CX06: Chemotaxis response regulator protein-glutamate methylesterase 4	104.2537894331
UniRef50_Q1CX06: Chemotaxis response regulator protein-glutamate methylesterase 4|unclassified	104.2537894331
UniRef50_Q2RRX2: Chemotaxis response regulator protein-glutamate methylesterase 3	104.1379418659
UniRef50_Q2RRX2: Chemotaxis response regulator protein-glutamate methylesterase 3|unclassified	104.1379418659
UniRef50_UPI000465FCE3: chemotaxis protein, partial	104.1079010933
UniRef50_UPI000465FCE3: chemotaxis protein, partial|unclassified	104.1079010933
UniRef50_UPI00047167DA: hypothetical protein	103.8857967783
UniRef50_UPI00047167DA: hypothetical protein|unclassified	103.8857967783
UniRef50_Q5WFS5: Chemoreceptor glutamine deamidase CheD	103.8362105260
UniRef50_Q5WFS5: Chemoreceptor glutamine deamidase CheD|unclassified	103.8362105260
UniRef50_UPI00047A6054: hypothetical protein	103.8090645133
UniRef50_UPI00047A6054: hypothetical protein|unclassified	103.8090645133
UniRef50_UPI0003B72E2F: chemotaxis protein CheR	103.6946287862
UniRef50_UPI0003B72E2F: chemotaxis protein CheR|unclassified	103.6946287862
UniRef50_UPI00037014EA: hypothetical protein	103.5761614418
UniRef50_UPI00037014EA: hypothetical protein|unclassified	103.5761614418
UniRef50_UPI0003795D3A: hypothetical protein, partial	103.4364154219
UniRef50_UPI0003795D3A: hypothetical protein, partial|unclassified	103.4364154219
UniRef50_UPI00035F65B3: hypothetical protein	102.8962954564
UniRef50_UPI00035F65B3: hypothetical protein|unclassified	102.8962954564
UniRef50_UPI000380EFE1: hypothetical protein, partial	102.8936211357
UniRef50_UPI000380EFE1: hypothetical protein, partial|unclassified	102.8936211357
UniRef50_UPI00036818E1: hypothetical protein	102.5537343398
UniRef50_UPI00036818E1: hypothetical protein|unclassified	102.5537343398
UniRef50_UPI00036D2ED6: hypothetical protein, partial	102.3966786831
UniRef50_UPI00036D2ED6: hypothetical protein, partial|unclassified	102.3966786831
UniRef50_UPI00037924D3: hypothetical protein	102.0655586604
UniRef50_UPI00037924D3: hypothetical protein|unclassified	102.0655586604
UniRef50_UPI00016A5425: methyl-accepting chemotaxis protein, partial	102.0568394308
UniRef50_UPI00016A5425: methyl-accepting chemotaxis protein, partial|unclassified	102.0568394308
UniRef50_UPI00038224BE: hypothetical protein	101.3914111239
UniRef50_UPI00038224BE: hypothetical protein|unclassified	101.3914111239
UniRef50_W9T8H7: Two-component response regulator	101.2626372399
UniRef50_W9T8H7: Two-component response regulator|unclassified	101.2626372399
UniRef50_F7YV75: CheC domain protein	101.0310962483
UniRef50_F7YV75: CheC domain protein|unclassified	101.0310962483
UniRef50_B1KS90: Chemotaxis protein CheX	100.1997651879
UniRef50_B1KS90: Chemotaxis protein CheX|unclassified	100.1997651879
UniRef50_UPI00040DED80: hypothetical protein	100.1335785931
UniRef50_UPI00040DED80: hypothetical protein|unclassified	100.1335785931
UniRef50_UPI000360808C: hypothetical protein, partial	99.9734245984
UniRef50_UPI000360808C: hypothetical protein, partial|unclassified	99.9734245984
UniRef50_UPI0003786D5B: membrane protein, partial	99.7866607086
UniRef50_UPI0003786D5B: membrane protein, partial|unclassified	99.7866607086
UniRef50_UPI0004705A62: hypothetical protein, partial	99.6494241249
UniRef50_UPI0004705A62: hypothetical protein, partial|unclassified	99.6494241249
UniRef50_UPI0004655CAA: hypothetical protein	99.4001396644
UniRef50_UPI0004655CAA: hypothetical protein|unclassified	99.4001396644
UniRef50_Q89T55: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon	99.3505397817
UniRef50_Q89T55: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon|unclassified	99.3505397817
UniRef50_UPI0002630332: methyl-accepting chemotaxis sensory transducer with Cache sensor, partial	99.0965590354
UniRef50_UPI0002630332: methyl-accepting chemotaxis sensory transducer with Cache sensor, partial|unclassified	99.0965590354
UniRef50_D4E6B6	98.7974273522
UniRef50_D4E6B6|unclassified	98.7974273522
UniRef50_Q2C3I6: Putative methyl-accepting chemotaxis protein	98.7543846391
UniRef50_Q2C3I6: Putative methyl-accepting chemotaxis protein|unclassified	98.7543846391
UniRef50_UPI000225BDAF: flagellar motor switch protein FliG	98.4801023913
UniRef50_UPI000225BDAF: flagellar motor switch protein FliG|unclassified	98.4801023913
UniRef50_UPI00029A7679: histidine kinase	97.7180861815
UniRef50_UPI00029A7679: histidine kinase|unclassified	97.7180861815
UniRef50_E8ZRN9: Chemotaxis protein CheX	97.4954731539
UniRef50_E8ZRN9: Chemotaxis protein CheX|unclassified	97.4954731539
UniRef50_C0RMD7: Rhizopine-binding protein	97.1866553920
UniRef50_C0RMD7: Rhizopine-binding protein|unclassified	97.1866553920
UniRef50_UPI0001911792: hypothetical protein, partial	96.8007734030
UniRef50_UPI0001911792: hypothetical protein, partial|unclassified	96.8007734030
UniRef50_K8DU64	96.5835760817
UniRef50_K8DU64|unclassified	96.5835760817
UniRef50_UPI0003630216: hypothetical protein, partial	96.3137723618
UniRef50_UPI0003630216: hypothetical protein, partial|unclassified	96.3137723618
UniRef50_A0A030ZIX3	96.3110590499
UniRef50_A0A030ZIX3|unclassified	96.3110590499
UniRef50_F3GI79: Chemotaxis sensory transducer	96.2557385557
UniRef50_F3GI79: Chemotaxis sensory transducer|unclassified	96.2557385557
UniRef50_UPI00029A5D02: aerotaxis sensor receptor protein	96.1249019538
UniRef50_UPI00029A5D02: aerotaxis sensor receptor protein|unclassified	96.1249019538
UniRef50_Q4ZYD2: Probable chemoreceptor glutamine deamidase CheD	95.7068972388
UniRef50_Q4ZYD2: Probable chemoreceptor glutamine deamidase CheD|unclassified	95.7068972388
UniRef50_UPI0003643826: hypothetical protein	95.6563232181
UniRef50_UPI0003643826: hypothetical protein|unclassified	95.6563232181
UniRef50_W9T0A1	95.4901689437
UniRef50_W9T0A1|unclassified	95.4901689437
UniRef50_UPI0003640F4D: hypothetical protein	94.9393518816
UniRef50_UPI0003640F4D: hypothetical protein|unclassified	94.9393518816
UniRef50_F3H9G7: Periplasmic binding protein/LacI transcriptional regulator	94.7473183720
UniRef50_F3H9G7: Periplasmic binding protein/LacI transcriptional regulator|unclassified	94.7473183720
UniRef50_UPI00045E5D5A: chemotaxis protein CheA	94.7178612899
UniRef50_UPI00045E5D5A: chemotaxis protein CheA|unclassified	94.7178612899
UniRef50_K8AJN1	94.6199453520
UniRef50_K8AJN1|unclassified	94.6199453520
UniRef50_UPI00025579C9: chemotaxis-specific methylesterase	94.3307589240
UniRef50_UPI00025579C9: chemotaxis-specific methylesterase|unclassified	94.3307589240
UniRef50_UPI000376E0A7: hypothetical protein	94.3052325660
UniRef50_UPI000376E0A7: hypothetical protein|unclassified	94.3052325660
UniRef50_E8WTG7: Inhibitor of MCP methylation-like protein	93.3571642150
UniRef50_E8WTG7: Inhibitor of MCP methylation-like protein|unclassified	93.3571642150
UniRef50_UPI0003622B8C: hypothetical protein, partial	93.2811579446
UniRef50_UPI0003622B8C: hypothetical protein, partial|unclassified	93.2811579446
UniRef50_UPI000464A91B: chemotaxis protein, partial	92.9710709208
UniRef50_UPI000464A91B: chemotaxis protein, partial|unclassified	92.9710709208
UniRef50_UPI000471175A: hypothetical protein	92.8839164768
UniRef50_UPI000471175A: hypothetical protein|unclassified	92.8839164768
UniRef50_UPI0003641B04: hypothetical protein	92.7983364918
UniRef50_UPI0003641B04: hypothetical protein|unclassified	92.7983364918
UniRef50_B9JQE2: D-ribose-binding periplasmic protein	92.4442468516
UniRef50_B9JQE2: D-ribose-binding periplasmic protein|unclassified	92.4442468516
UniRef50_UPI00047CA15C: chemotaxis protein CheR	92.3225187373
UniRef50_UPI00047CA15C: chemotaxis protein CheR|unclassified	92.3225187373
UniRef50_UPI0003714522: methyltransferase, partial	92.2821811433
UniRef50_UPI0003714522: methyltransferase, partial|unclassified	92.2821811433
UniRef50_UPI00037201FA: hypothetical protein	92.0279684944
UniRef50_UPI00037201FA: hypothetical protein|unclassified	92.0279684944
UniRef50_UPI00036C0BD9: hypothetical protein	91.8326567240
UniRef50_UPI00036C0BD9: hypothetical protein|unclassified	91.8326567240
UniRef50_UPI0002197CDD: methyl-accepting chemotaxis protein, partial	91.8184768577
UniRef50_UPI0002197CDD: methyl-accepting chemotaxis protein, partial|unclassified	91.8184768577
UniRef50_UPI000374D511: hypothetical protein	91.7871757575
UniRef50_UPI000374D511: hypothetical protein|unclassified	91.7871757575
UniRef50_UPI00046D69F0: hypothetical protein	91.7018992676
UniRef50_UPI00046D69F0: hypothetical protein|unclassified	91.7018992676
UniRef50_Q2IQ87: Chemotaxis response regulator protein-glutamate methylesterase 3	91.6327547139
UniRef50_Q2IQ87: Chemotaxis response regulator protein-glutamate methylesterase 3|unclassified	91.6327547139
UniRef50_UPI000399F766: methyl-accepting chemotaxis protein	91.1496718964
UniRef50_UPI000399F766: methyl-accepting chemotaxis protein|unclassified	91.1496718964
UniRef50_UPI00030AD9CB: hypothetical protein	91.1495876749
UniRef50_UPI00030AD9CB: hypothetical protein|unclassified	91.1495876749
UniRef50_UPI00037BB00B: hypothetical protein	90.1953760043
UniRef50_UPI00037BB00B: hypothetical protein|unclassified	90.1953760043
UniRef50_UPI0003B55BDE: chemotaxis protein CheW	89.9793895900
UniRef50_UPI0003B55BDE: chemotaxis protein CheW|unclassified	89.9793895900
UniRef50_UPI00037BB32E: hypothetical protein	89.0250295880
UniRef50_UPI00037BB32E: hypothetical protein|unclassified	89.0250295880
UniRef50_UPI000382A84D: hypothetical protein	88.9893265238
UniRef50_UPI000382A84D: hypothetical protein|unclassified	88.9893265238
UniRef50_UPI00035F73C3: hypothetical protein	88.8236687230
UniRef50_UPI00035F73C3: hypothetical protein|unclassified	88.8236687230
UniRef50_K8B7H2	88.0739062258
UniRef50_K8B7H2|unclassified	88.0739062258
UniRef50_UPI00036D7F42: hypothetical protein	88.0504884409
UniRef50_UPI00036D7F42: hypothetical protein|unclassified	88.0504884409
UniRef50_UPI00047EB3FF: hypothetical protein	87.7332783526
UniRef50_UPI00047EB3FF: hypothetical protein|unclassified	87.7332783526
UniRef50_UPI000368D664: hypothetical protein	87.3912207247
UniRef50_UPI000368D664: hypothetical protein|unclassified	87.3912207247
UniRef50_Q2W5V5: Chemotaxis response regulator protein-glutamate methylesterase 2	87.3137597617
UniRef50_Q2W5V5: Chemotaxis response regulator protein-glutamate methylesterase 2|unclassified	87.3137597617
UniRef50_UPI000465A157: chemotaxis protein	87.2685978833
UniRef50_UPI000465A157: chemotaxis protein|unclassified	87.2685978833
UniRef50_Q2ILG8: Chemotaxis response regulator protein-glutamate methylesterase 6	86.9666987852
UniRef50_Q2ILG8: Chemotaxis response regulator protein-glutamate methylesterase 6|unclassified	86.9666987852
UniRef50_UPI000360251C: hypothetical protein	86.9383059090
UniRef50_UPI000360251C: hypothetical protein|unclassified	86.9383059090
UniRef50_Q31F68: Probable chemoreceptor glutamine deamidase CheD	86.4134473792
UniRef50_Q31F68: Probable chemoreceptor glutamine deamidase CheD|unclassified	86.4134473792
UniRef50_Q3SVA1: Chemotaxis response regulator protein-glutamate methylesterase	86.3816480955
UniRef50_Q3SVA1: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	86.3816480955
UniRef50_UPI0003185E38: chemotaxis protein	86.2211633173
UniRef50_UPI0003185E38: chemotaxis protein|unclassified	86.2211633173
UniRef50_Y0KX78: Membrane protein (Fragment)	86.1914269267
UniRef50_Y0KX78: Membrane protein (Fragment)|unclassified	86.1914269267
UniRef50_UPI00037AAF39: hypothetical protein	86.1686853766
UniRef50_UPI00037AAF39: hypothetical protein|unclassified	86.1686853766
UniRef50_A1WZ13: Probable chemoreceptor glutamine deamidase CheD	86.1394270960
UniRef50_A1WZ13: Probable chemoreceptor glutamine deamidase CheD|unclassified	86.1394270960
UniRef50_UPI00039C9872: chemotaxis protein	86.0218469921
UniRef50_UPI00039C9872: chemotaxis protein|unclassified	86.0218469921
UniRef50_N6U1H2	85.2088428072
UniRef50_N6U1H2|unclassified	85.2088428072
UniRef50_UPI000379A4AF: hypothetical protein	85.1962815044
UniRef50_UPI000379A4AF: hypothetical protein|unclassified	85.1962815044
UniRef50_UPI00031AFED1: hypothetical protein	85.0608780685
UniRef50_UPI00031AFED1: hypothetical protein|unclassified	85.0608780685
UniRef50_UPI0002EDEF3A: chemotaxis protein	84.9273868775
UniRef50_UPI0002EDEF3A: chemotaxis protein|unclassified	84.9273868775
UniRef50_UPI000467B29B: chemotaxis protein CheD	84.8424307982
UniRef50_UPI000467B29B: chemotaxis protein CheD|unclassified	84.8424307982
UniRef50_UPI00035F34EA: hypothetical protein	84.7931122624
UniRef50_UPI00035F34EA: hypothetical protein|unclassified	84.7931122624
UniRef50_Q9UYF7: Probable chemoreceptor glutamine deamidase CheD	84.7722806167
UniRef50_Q9UYF7: Probable chemoreceptor glutamine deamidase CheD|unclassified	84.7722806167
UniRef50_K2SVE0	84.4935292464
UniRef50_K2SVE0|unclassified	84.4935292464
UniRef50_J5PMX8: ABC transporter solute-binding protein	84.4671179726
UniRef50_J5PMX8: ABC transporter solute-binding protein|unclassified	84.4671179726
UniRef50_UPI00036C3941: chemotaxis protein, partial	84.4419159041
UniRef50_UPI00036C3941: chemotaxis protein, partial|unclassified	84.4419159041
UniRef50_UPI000368889F: hypothetical protein	84.2675563041
UniRef50_UPI000368889F: hypothetical protein|unclassified	84.2675563041
UniRef50_UPI0003B74E46: flagellar motor switch protein FliM	84.2552432710
UniRef50_UPI0003B74E46: flagellar motor switch protein FliM|unclassified	84.2552432710
UniRef50_Q3BU83: Putative methyl-accepting chemotaxis protein	84.1015973073
UniRef50_Q3BU83: Putative methyl-accepting chemotaxis protein|unclassified	84.1015973073
UniRef50_O58225	83.9476338600
UniRef50_O58225|unclassified	83.9476338600
UniRef50_UPI00035E0BF1: hypothetical protein	83.8302744554
UniRef50_UPI00035E0BF1: hypothetical protein|unclassified	83.8302744554
UniRef50_UPI000361F3C8: hypothetical protein	83.8049149277
UniRef50_UPI000361F3C8: hypothetical protein|unclassified	83.8049149277
UniRef50_L8JG62: Methyl-accepting chemotaxis protein I (Serine chemoreceptor protein)	83.5453002509
UniRef50_L8JG62: Methyl-accepting chemotaxis protein I (Serine chemoreceptor protein)|unclassified	83.5453002509
UniRef50_UPI000474E959: hypothetical protein	83.5319576088
UniRef50_UPI000474E959: hypothetical protein|unclassified	83.5319576088
UniRef50_Q2IQR1: Probable chemoreceptor glutamine deamidase CheD 2	83.1817253923
UniRef50_Q2IQR1: Probable chemoreceptor glutamine deamidase CheD 2|unclassified	83.1817253923
UniRef50_UPI0003761224: membrane protein	83.1308967492
UniRef50_UPI0003761224: membrane protein|unclassified	83.1308967492
UniRef50_UPI0003B562CA: chemotaxis protein, partial	83.0807410223
UniRef50_UPI0003B562CA: chemotaxis protein, partial|unclassified	83.0807410223
UniRef50_A0A023X8X0	82.3390083789
UniRef50_A0A023X8X0|unclassified	82.3390083789
UniRef50_UPI0003715078: methyl-accepting chemotaxis protein, partial	82.1432611920
UniRef50_UPI0003715078: methyl-accepting chemotaxis protein, partial|unclassified	82.1432611920
UniRef50_UPI000379FC50: hypothetical protein	82.0965229499
UniRef50_UPI000379FC50: hypothetical protein|unclassified	82.0965229499
UniRef50_UPI0003B53F07: methyl-accepting chemotaxis protein	81.8932773525
UniRef50_UPI0003B53F07: methyl-accepting chemotaxis protein|unclassified	81.8932773525
UniRef50_UPI0003B38A3F: methyl-accepting chemotaxis protein	81.7716958497
UniRef50_UPI0003B38A3F: methyl-accepting chemotaxis protein|unclassified	81.7716958497
UniRef50_UPI0003B72531: chemotaxis protein, partial	81.6908445858
UniRef50_UPI0003B72531: chemotaxis protein, partial|unclassified	81.6908445858
UniRef50_F2AG66	81.6600178415
UniRef50_F2AG66|unclassified	81.6600178415
UniRef50_UPI000368123D: hypothetical protein	81.6554851030
UniRef50_UPI000368123D: hypothetical protein|unclassified	81.6554851030
UniRef50_UPI0004122224: chemotaxis protein CheA	81.2253949214
UniRef50_UPI0004122224: chemotaxis protein CheA|unclassified	81.2253949214
UniRef50_UPI00047262F8: hypothetical protein	81.0601541740
UniRef50_UPI00047262F8: hypothetical protein|unclassified	81.0601541740
UniRef50_UPI0004674CEA: hypothetical protein	80.8102112024
UniRef50_UPI0004674CEA: hypothetical protein|unclassified	80.8102112024
UniRef50_V4QXG2	80.7956658961
UniRef50_V4QXG2|unclassified	80.7956658961
UniRef50_UPI00035F3784: hypothetical protein	80.4105514498
UniRef50_UPI00035F3784: hypothetical protein|unclassified	80.4105514498
UniRef50_E8WKX1: Inhibitor of MCP methylation CheC-like protein	79.9472091362
UniRef50_E8WKX1: Inhibitor of MCP methylation CheC-like protein|unclassified	79.9472091362
UniRef50_V8Q9L7	79.8033538073
UniRef50_V8Q9L7|unclassified	79.8033538073
UniRef50_UPI000462977B: histidine kinase	79.7480418422
UniRef50_UPI000462977B: histidine kinase|unclassified	79.7480418422
UniRef50_UPI0004795D88: chemotaxis protein CheY	79.5876699586
UniRef50_UPI0004795D88: chemotaxis protein CheY|unclassified	79.5876699586
UniRef50_Q88MS8: Probable biofilm formation methyltransferase WspC	79.5674819594
UniRef50_Q88MS8: Probable biofilm formation methyltransferase WspC|unclassified	79.5674819594
UniRef50_UPI0004713E5E: chemotaxis protein	79.3170291228
UniRef50_UPI0004713E5E: chemotaxis protein|unclassified	79.3170291228
UniRef50_A0A011NIH2	79.0941242602
UniRef50_A0A011NIH2|unclassified	79.0941242602
UniRef50_UPI0002F915B7: hypothetical protein	79.0261447353
UniRef50_UPI0002F915B7: hypothetical protein|unclassified	79.0261447353
UniRef50_UPI000225AF48: CheA kinase	78.8642588045
UniRef50_UPI000225AF48: CheA kinase|unclassified	78.8642588045
UniRef50_UPI0002260818: chemotaxis protein cheA, partial	78.7647163246
UniRef50_UPI0002260818: chemotaxis protein cheA, partial|unclassified	78.7647163246
UniRef50_UPI000366D43D: hypothetical protein, partial	78.4862194074
UniRef50_UPI000366D43D: hypothetical protein, partial|unclassified	78.4862194074
UniRef50_Q3J1W3: Chemotaxis response regulator protein-glutamate methylesterase 2	78.4349092742
UniRef50_Q3J1W3: Chemotaxis response regulator protein-glutamate methylesterase 2|unclassified	78.4349092742
UniRef50_UPI0003609E89: hypothetical protein	77.8599028754
UniRef50_UPI0003609E89: hypothetical protein|unclassified	77.8599028754
UniRef50_UPI00046ECE50: hypothetical protein, partial	77.7947061036
UniRef50_UPI00046ECE50: hypothetical protein, partial|unclassified	77.7947061036
UniRef50_Q7NSI9: Probable chemoreceptor glutamine deamidase CheD 2	77.7114900904
UniRef50_Q7NSI9: Probable chemoreceptor glutamine deamidase CheD 2|unclassified	77.7114900904
UniRef50_M7FVW2: Methyl-accepting chemotaxis domain protein	77.6423651718
UniRef50_M7FVW2: Methyl-accepting chemotaxis domain protein|unclassified	77.6423651718
UniRef50_UPI00037F3429: hypothetical protein	77.5483758458
UniRef50_UPI00037F3429: hypothetical protein|unclassified	77.5483758458
UniRef50_UPI0002F277A1: chemotaxis protein CheW	77.1960473518
UniRef50_UPI0002F277A1: chemotaxis protein CheW|unclassified	77.1960473518
UniRef50_Q74F83: Probable chemoreceptor glutamine deamidase CheD 1	77.1646213397
UniRef50_Q74F83: Probable chemoreceptor glutamine deamidase CheD 1|unclassified	77.1646213397
UniRef50_F9B288: Methyl-accepting chemotaxis domain protein	77.1613362717
UniRef50_F9B288: Methyl-accepting chemotaxis domain protein|unclassified	77.1613362717
UniRef50_UPI0003674A10: hypothetical protein	76.7571356620
UniRef50_UPI0003674A10: hypothetical protein|unclassified	76.7571356620
UniRef50_B9KPX1: Periplasmic binding protein/LacI transcriptional regulator	76.6019260115
UniRef50_B9KPX1: Periplasmic binding protein/LacI transcriptional regulator|unclassified	76.6019260115
UniRef50_V6URR9	75.8425983514
UniRef50_V6URR9|unclassified	75.8425983514
UniRef50_UPI00042011EB: chemotaxis protein	75.2263245500
