# Gene Family	SampleCoenzyme_A_Biosynthesis_Abundance-RPKs
UniRef50_B0C321: Aspartate 1-decarboxylase|unclassified	361.6736592077
UniRef50_Q6FF48: Dephospho-CoA kinase	360.0733129706
UniRef50_Q6FF48: Dephospho-CoA kinase|unclassified	360.0733129706
UniRef50_Q21CL5: Dephospho-CoA kinase	358.9082460734
UniRef50_Q21CL5: Dephospho-CoA kinase|unclassified	358.9082460734
UniRef50_E1NQ21: DNA / pantothenate metabolism flavoprotein	358.1155975967
UniRef50_E1NQ21: DNA / pantothenate metabolism flavoprotein|unclassified	358.1155975967
UniRef50_X1NVD8: Marine sediment metagenome DNA, contig: S06H3_L07703 (Fragment)	356.0724145205
UniRef50_X1NVD8: Marine sediment metagenome DNA, contig: S06H3_L07703 (Fragment)|unclassified	356.0724145205
UniRef50_A7ZEL6: 3-methyl-2-oxobutanoate hydroxymethyltransferase	352.9062379677
UniRef50_A7ZEL6: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	352.9062379677
UniRef50_A0PV50: Pantothenate synthetase	352.3398284911
UniRef50_A0PV50: Pantothenate synthetase|unclassified	352.3398284911
UniRef50_W8EVC3: Phosphopantothenoylcysteine decarboxylase/Phosphopantothenoylcysteine synthetase	352.2168631180
UniRef50_W8EVC3: Phosphopantothenoylcysteine decarboxylase/Phosphopantothenoylcysteine synthetase|unclassified	352.2168631180
UniRef50_R7ZEI7	351.2639304144
UniRef50_R7ZEI7|unclassified	351.2639304144
UniRef50_UPI0003B40124: peptidase ClpP	350.5322888840
UniRef50_UPI0003B40124: peptidase ClpP|unclassified	350.5322888840
UniRef50_Q8UJC4: Dephospho-CoA kinase	346.8423460349
UniRef50_Q8UJC4: Dephospho-CoA kinase|unclassified	346.8423460349
UniRef50_P38674: Ketol-acid reductoisomerase, mitochondrial	344.5845608283
UniRef50_P38674: Ketol-acid reductoisomerase, mitochondrial|unclassified	344.5845608283
UniRef50_R6H6W6	343.8116482928
UniRef50_R6H6W6|unclassified	343.8116482928
UniRef50_W4VEQ9: Phosphopantothenoylcysteine decarboxylase	342.0015460949
UniRef50_W4VEQ9: Phosphopantothenoylcysteine decarboxylase|unclassified	342.0015460949
UniRef50_V7Z4F2	340.9048493158
UniRef50_V7Z4F2|unclassified	340.9048493158
UniRef50_UPI0002492F90: DNA/pantothenate metabolism flavoprotein	339.4822561720
UniRef50_UPI0002492F90: DNA/pantothenate metabolism flavoprotein|unclassified	339.4822561720
UniRef50_A9AWY7: Phosphopantetheine adenylyltransferase	339.1659623809
UniRef50_A9AWY7: Phosphopantetheine adenylyltransferase|unclassified	339.1659623809
UniRef50_Z2DT62	339.1450540745
UniRef50_Z2DT62|unclassified	339.1450540745
UniRef50_Q2GC60: Dephospho-CoA kinase	338.7931782990
UniRef50_Q2GC60: Dephospho-CoA kinase|unclassified	338.7931782990
UniRef50_A2BMY4: 3-methyl-2-oxobutanoate hydroxymethyltransferase	338.3398688366
UniRef50_A2BMY4: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	338.3398688366
UniRef50_Q8EPE7: Dephospho-CoA kinase	338.2871947909
UniRef50_Q8EPE7: Dephospho-CoA kinase|unclassified	338.2871947909
UniRef50_A0QA93: Pantothenate synthetase	337.8762021301
UniRef50_A0QA93: Pantothenate synthetase|unclassified	337.8762021301
UniRef50_Q2KUM5: Dephospho-CoA kinase	337.1342406389
UniRef50_Q2KUM5: Dephospho-CoA kinase|unclassified	337.1342406389
UniRef50_X0SZK1: Marine sediment metagenome DNA, contig: S01H1_L08091 (Fragment)	336.4105817196
UniRef50_X0SZK1: Marine sediment metagenome DNA, contig: S01H1_L08091 (Fragment)|unclassified	336.4105817196
UniRef50_A6TMH9: 3-methyl-2-oxobutanoate hydroxymethyltransferase	335.7560712070
UniRef50_A6TMH9: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	335.7560712070
UniRef50_C0QHN3: Pantothenate synthetase	332.5283219759
UniRef50_C0QHN3: Pantothenate synthetase|unclassified	332.5283219759
UniRef50_B7JBM8: 3-methyl-2-oxobutanoate hydroxymethyltransferase	332.1255971488
UniRef50_B7JBM8: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	332.1255971488
UniRef50_Q65G95: Dephospho-CoA kinase	331.8058597861
UniRef50_Q65G95: Dephospho-CoA kinase|unclassified	331.8058597861
UniRef50_H1D850	329.6557713762
UniRef50_H1D850|unclassified	329.6557713762
UniRef50_Q7NZ19: Phosphopantetheine adenylyltransferase	329.5514327910
UniRef50_Q7NZ19: Phosphopantetheine adenylyltransferase|unclassified	329.5514327910
UniRef50_Q5WEG9: Dephospho-CoA kinase	329.3355767109
UniRef50_Q5WEG9: Dephospho-CoA kinase|unclassified	329.3355767109
UniRef50_UPI000464C0FA: hypothetical protein	328.9028151942
UniRef50_UPI000464C0FA: hypothetical protein|unclassified	328.9028151942
UniRef50_UPI000464FA83: hypothetical protein	328.3772494242
UniRef50_UPI000464FA83: hypothetical protein|unclassified	328.3772494242
UniRef50_UPI000475FCA2: dephospho-CoA kinase	328.0297545460
UniRef50_UPI000475FCA2: dephospho-CoA kinase|unclassified	328.0297545460
UniRef50_UPI000464B825: hypothetical protein	326.8881990717
UniRef50_UPI000464B825: hypothetical protein|unclassified	326.8881990717
UniRef50_O34661: Probable 2-dehydropantoate 2-reductase	326.3890948867
UniRef50_O34661: Probable 2-dehydropantoate 2-reductase|unclassified	326.3890948867
UniRef50_UPI00036BB46E: hypothetical protein	326.0930901109
UniRef50_UPI00036BB46E: hypothetical protein|unclassified	326.0930901109
UniRef50_Q50178: Dephospho-CoA kinase	326.0498183593
UniRef50_Q50178: Dephospho-CoA kinase|unclassified	326.0498183593
UniRef50_UPI0002376224: 2-dehydropantoate 2-reductase	326.0422472315
UniRef50_UPI0002376224: 2-dehydropantoate 2-reductase|unclassified	326.0422472315
UniRef50_UPI00037329F8: hypothetical protein	321.7982328952
UniRef50_UPI00037329F8: hypothetical protein|unclassified	321.7982328952
UniRef50_Q8D2A5: 3-methyl-2-oxobutanoate hydroxymethyltransferase	321.6816512979
UniRef50_Q8D2A5: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	321.6816512979
UniRef50_B8D8Z5: Pantothenate synthetase	321.0125727459
UniRef50_B8D8Z5: Pantothenate synthetase|unclassified	321.0125727459
UniRef50_Q1IHA5: 3-methyl-2-oxobutanoate hydroxymethyltransferase	319.2516335538
UniRef50_Q1IHA5: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	319.2516335538
UniRef50_UPI0003829186: hypothetical protein	318.1141841427
UniRef50_UPI0003829186: hypothetical protein|unclassified	318.1141841427
UniRef50_Q5FIV9: Dephospho-CoA kinase	317.4185174705
UniRef50_Q5FIV9: Dephospho-CoA kinase|unclassified	317.4185174705
UniRef50_UPI00047DD39E: hypothetical protein	316.3276476253
UniRef50_UPI00047DD39E: hypothetical protein|unclassified	316.3276476253
UniRef50_UPI00037D82FA: hypothetical protein	314.5079274546
UniRef50_UPI00037D82FA: hypothetical protein|unclassified	314.5079274546
UniRef50_Q3ABL6: Dephospho-CoA kinase	314.3440274840
UniRef50_Q3ABL6: Dephospho-CoA kinase|unclassified	314.3440274840
UniRef50_C0QRI3: Aspartate 1-decarboxylase	314.1081040482
UniRef50_C0QRI3: Aspartate 1-decarboxylase|unclassified	314.1081040482
UniRef50_Q21UD7: Dephospho-CoA kinase	312.7683376871
UniRef50_Q21UD7: Dephospho-CoA kinase|unclassified	312.7683376871
UniRef50_Q5H0A5: ATPases involved in chromosome partitioning	312.3444797823
UniRef50_Q5H0A5: ATPases involved in chromosome partitioning|unclassified	312.3444797823
UniRef50_B7GZ77: Type III pantothenate kinase	312.3118538513
UniRef50_B7GZ77: Type III pantothenate kinase|unclassified	312.3118538513
UniRef50_Q5LWR2: Pantothenate synthetase	312.0105562007
UniRef50_Q5LWR2: Pantothenate synthetase|unclassified	312.0105562007
UniRef50_Q0APX5: Type III pantothenate kinase	311.5845716510
UniRef50_Q0APX5: Type III pantothenate kinase|unclassified	311.5845716510
UniRef50_Q729A4: Pantothenate synthetase	307.9126341014
UniRef50_Q729A4: Pantothenate synthetase|unclassified	307.9126341014
UniRef50_UPI0003655E7A: hypothetical protein	305.4609528144
UniRef50_UPI0003655E7A: hypothetical protein|unclassified	305.4609528144
UniRef50_UPI000262AF49: phosphopantothenoylcysteine decarboxylase	304.8757072270
UniRef50_UPI000262AF49: phosphopantothenoylcysteine decarboxylase|unclassified	304.8757072270
UniRef50_Q5NLB9: Type III pantothenate kinase	304.7281336717
UniRef50_Q5NLB9: Type III pantothenate kinase|unclassified	304.7281336717
UniRef50_Q892J5: Dephospho-CoA kinase	304.2251051164
UniRef50_Q892J5: Dephospho-CoA kinase|unclassified	304.2251051164
UniRef50_Q1DAN8: Pantothenate synthetase	304.0663490954
UniRef50_Q1DAN8: Pantothenate synthetase|unclassified	304.0663490954
UniRef50_Q3B3J7: Dephospho-CoA kinase	303.9491558187
UniRef50_Q3B3J7: Dephospho-CoA kinase|unclassified	303.9491558187
UniRef50_A0A011RRB6: 2-dehydropantoate 2-reductase	302.3306031357
UniRef50_A0A011RRB6: 2-dehydropantoate 2-reductase|unclassified	302.3306031357
UniRef50_Q83EA4: Aspartate 1-decarboxylase	301.0668099657
UniRef50_Q83EA4: Aspartate 1-decarboxylase|unclassified	301.0668099657
UniRef50_B0S9J5: Phosphopantetheine adenylyltransferase	301.0220691735
UniRef50_B0S9J5: Phosphopantetheine adenylyltransferase|unclassified	301.0220691735
UniRef50_UPI00046E8A88: transcriptional regulator	300.9654515144
UniRef50_UPI00046E8A88: transcriptional regulator|unclassified	300.9654515144
UniRef50_Q8FUA6: Pantothenate synthetase	297.5300365461
UniRef50_Q8FUA6: Pantothenate synthetase|unclassified	297.5300365461
UniRef50_B8HAB6: Phosphopantetheine adenylyltransferase	296.5271585120
UniRef50_B8HAB6: Phosphopantetheine adenylyltransferase|unclassified	296.5271585120
UniRef50_B0SAC5: 3-methyl-2-oxobutanoate hydroxymethyltransferase	296.0871917046
UniRef50_B0SAC5: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	296.0871917046
UniRef50_B2JKK7: Type III pantothenate kinase	295.9485121414
UniRef50_B2JKK7: Type III pantothenate kinase|unclassified	295.9485121414
UniRef50_UPI00047DE2ED: transcriptional regulator	294.6743738406
UniRef50_UPI00047DE2ED: transcriptional regulator|unclassified	294.6743738406
UniRef50_UPI0004692F2D: phosphopantothenoylcysteine decarboxylase	292.6131057479
UniRef50_UPI0004692F2D: phosphopantothenoylcysteine decarboxylase|unclassified	292.6131057479
UniRef50_V7K8M3	292.0444144411
UniRef50_V7K8M3|unclassified	292.0444144411
UniRef50_UPI00034C90BD: phosphopantothenoylcysteine decarboxylase	291.1912104951
UniRef50_UPI00034C90BD: phosphopantothenoylcysteine decarboxylase|unclassified	291.1912104951
UniRef50_Q5NL15: Pantothenate synthetase	290.3910636619
UniRef50_Q5NL15: Pantothenate synthetase|unclassified	290.3910636619
UniRef50_A1AW70: 3-methyl-2-oxobutanoate hydroxymethyltransferase	290.2737872073
UniRef50_A1AW70: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	290.2737872073
UniRef50_Q8RFE4: Type III pantothenate kinase	288.9649234831
UniRef50_Q8RFE4: Type III pantothenate kinase|unclassified	288.9649234831
UniRef50_Q8RGX1: Phosphopantetheine adenylyltransferase	287.3792330327
UniRef50_Q8RGX1: Phosphopantetheine adenylyltransferase|unclassified	287.3792330327
UniRef50_G2USV3	286.8652852541
UniRef50_G2USV3|unclassified	286.8652852541
UniRef50_Q31FF6: Pantothenate synthetase	286.4725089902
UniRef50_Q31FF6: Pantothenate synthetase|unclassified	286.4725089902
UniRef50_Q87AA7: Dephospho-CoA kinase	286.1224470797
UniRef50_Q87AA7: Dephospho-CoA kinase|unclassified	286.1224470797
UniRef50_Q6AJH7: Phosphopantetheine adenylyltransferase	285.5755621727
UniRef50_Q6AJH7: Phosphopantetheine adenylyltransferase|unclassified	285.5755621727
UniRef50_UPI00026240FC: 2-dehydropantoate 2-reductase	285.3743161446
UniRef50_UPI00026240FC: 2-dehydropantoate 2-reductase|unclassified	285.3743161446
UniRef50_B3DYW1: Phosphopantetheine adenylyltransferase	284.5460634571
UniRef50_B3DYW1: Phosphopantetheine adenylyltransferase|unclassified	284.5460634571
UniRef50_UPI00036BF7E6: hypothetical protein	281.4393334719
UniRef50_UPI00036BF7E6: hypothetical protein|unclassified	281.4393334719
UniRef50_Q47VS4: Dephospho-CoA kinase	279.5368682032
UniRef50_Q47VS4: Dephospho-CoA kinase|unclassified	279.5368682032
UniRef50_UPI00046A13DD: hypothetical protein	277.8270905684
UniRef50_UPI00046A13DD: hypothetical protein|unclassified	277.8270905684
UniRef50_A8F4E1: Phosphopantetheine adenylyltransferase	277.7282158893
UniRef50_A8F4E1: Phosphopantetheine adenylyltransferase|unclassified	277.7282158893
UniRef50_UPI0002DCEE9A: hypothetical protein	277.1997132499
UniRef50_UPI0002DCEE9A: hypothetical protein|unclassified	277.1997132499
UniRef50_Q5WGA4: Pantothenate synthetase	275.8180168947
UniRef50_Q5WGA4: Pantothenate synthetase|unclassified	275.8180168947
UniRef50_Q9K857: Dephospho-CoA kinase	274.3471360572
UniRef50_Q9K857: Dephospho-CoA kinase|unclassified	274.3471360572
UniRef50_A7HXM4: Phosphopantetheine adenylyltransferase	274.2424260134
UniRef50_A7HXM4: Phosphopantetheine adenylyltransferase|unclassified	274.2424260134
UniRef50_UPI000371EADD: hypothetical protein	274.2371915142
UniRef50_UPI000371EADD: hypothetical protein|unclassified	274.2371915142
UniRef50_B0S218: Type III pantothenate kinase	273.5583163373
UniRef50_B0S218: Type III pantothenate kinase|unclassified	273.5583163373
UniRef50_Q5JCY6: 3-methyl-2-oxobutanoate hydroxymethyltransferase	273.3418110874
UniRef50_Q5JCY6: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	273.3418110874
UniRef50_W1VF03: Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase (Fragment)	273.2401195239
UniRef50_W1VF03: Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase (Fragment)|unclassified	273.2401195239
UniRef50_Q3JRC4: SRM102	272.1742329838
UniRef50_Q3JRC4: SRM102|unclassified	272.1742329838
UniRef50_UPI00046F40DA: phosphopantothenoylcysteine decarboxylase	270.0369114337
UniRef50_UPI00046F40DA: phosphopantothenoylcysteine decarboxylase|unclassified	270.0369114337
UniRef50_B1L8P0: Aspartate 1-decarboxylase	269.6964154503
UniRef50_B1L8P0: Aspartate 1-decarboxylase|unclassified	269.6964154503
UniRef50_UPI000366852E: hypothetical protein	269.6547667144
UniRef50_UPI000366852E: hypothetical protein|unclassified	269.6547667144
UniRef50_UPI0004288AEC: phosphopantetheine adenylyltransferase	269.2303027130
UniRef50_UPI0004288AEC: phosphopantetheine adenylyltransferase|unclassified	269.2303027130
UniRef50_B3QNZ9: Phosphopantetheine adenylyltransferase	266.6883561165
UniRef50_B3QNZ9: Phosphopantetheine adenylyltransferase|unclassified	266.6883561165
UniRef50_A0M4U6: Phosphopantetheine adenylyltransferase	266.0377107971
UniRef50_A0M4U6: Phosphopantetheine adenylyltransferase|unclassified	266.0377107971
UniRef50_Q0IC75: 3-methyl-2-oxobutanoate hydroxymethyltransferase	265.4032723059
UniRef50_Q0IC75: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	265.4032723059
UniRef50_UPI0003B4A9AB: phosphopantothenoylcysteine decarboxylase	264.1854318957
UniRef50_UPI0003B4A9AB: phosphopantothenoylcysteine decarboxylase|unclassified	264.1854318957
UniRef50_UPI00047174F7: phosphopantetheine adenylyltransferase	264.1322139582
UniRef50_UPI00047174F7: phosphopantetheine adenylyltransferase|unclassified	264.1322139582
UniRef50_Q8YW62: Dephospho-CoA kinase	263.8963988136
UniRef50_Q8YW62: Dephospho-CoA kinase|unclassified	263.8963988136
UniRef50_UPI00030CED5C: hypothetical protein	263.0428097371
UniRef50_UPI00030CED5C: hypothetical protein|unclassified	263.0428097371
UniRef50_B1Y6R5: Type III pantothenate kinase	262.9917765196
UniRef50_B1Y6R5: Type III pantothenate kinase|unclassified	262.9917765196
UniRef50_A0L7P3: Type III pantothenate kinase	261.5515660960
UniRef50_A0L7P3: Type III pantothenate kinase|unclassified	261.5515660960
UniRef50_B1ZWG7: Phosphopantetheine adenylyltransferase	261.4362779558
UniRef50_B1ZWG7: Phosphopantetheine adenylyltransferase|unclassified	261.4362779558
UniRef50_Q6ALV3: Pantothenate synthetase	255.9516130130
UniRef50_Q6ALV3: Pantothenate synthetase|unclassified	255.9516130130
UniRef50_M7ADF1: DNA / pantothenate metabolism flavofamily protein	253.2806012520
UniRef50_M7ADF1: DNA / pantothenate metabolism flavofamily protein|unclassified	253.2806012520
UniRef50_A0JR91: Pantothenate synthetase	251.3247528053
UniRef50_A0JR91: Pantothenate synthetase|unclassified	251.3247528053
UniRef50_UPI00031B3AB5: hypothetical protein	249.5977190491
UniRef50_UPI00031B3AB5: hypothetical protein|unclassified	249.5977190491
UniRef50_Q9CHQ8: Dephospho-CoA kinase	247.8929684523
UniRef50_Q9CHQ8: Dephospho-CoA kinase|unclassified	247.8929684523
UniRef50_A4SG25: Pantothenate synthetase	246.8320304201
UniRef50_A4SG25: Pantothenate synthetase|unclassified	246.8320304201
UniRef50_Q82WR4: Dephospho-CoA kinase	246.5071598721
UniRef50_Q82WR4: Dephospho-CoA kinase|unclassified	246.5071598721
UniRef50_UPI00047448E9: pantoate--beta-alanine ligase	245.6728759952
UniRef50_UPI00047448E9: pantoate--beta-alanine ligase|unclassified	245.6728759952
UniRef50_Q1CUH1: Ketol-acid reductoisomerase	245.4495176491
UniRef50_Q1CUH1: Ketol-acid reductoisomerase|unclassified	245.4495176491
UniRef50_UPI000476FCA5: pantoate--beta-alanine ligase	245.2647637654
UniRef50_UPI000476FCA5: pantoate--beta-alanine ligase|unclassified	245.2647637654
UniRef50_Q0ADS3: Pantothenate synthetase	244.2862417647
UniRef50_Q0ADS3: Pantothenate synthetase|unclassified	244.2862417647
UniRef50_UPI000288AFEF: 3-methyl-2-oxobutanoate hydroxymethyltransferase	243.5754039330
UniRef50_UPI000288AFEF: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	243.5754039330
UniRef50_UPI000477EDDF: 3-methyl-2-oxobutanoate hydroxymethyltransferase	242.9127165386
UniRef50_UPI000477EDDF: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	242.9127165386
UniRef50_Q28W00: Dephospho-CoA kinase	242.4309162299
UniRef50_Q28W00: Dephospho-CoA kinase|unclassified	242.4309162299
UniRef50_UPI0002FDFCB5: 2-dehydropantoate 2-reductase	241.6365179593
UniRef50_UPI0002FDFCB5: 2-dehydropantoate 2-reductase|unclassified	241.6365179593
UniRef50_UPI0004741A03: hypothetical protein, partial	239.8386520196
UniRef50_UPI0004741A03: hypothetical protein, partial|unclassified	239.8386520196
UniRef50_Q8YX96: Putative 2-dehydropantoate 2-reductase	239.3301835484
UniRef50_Q8YX96: Putative 2-dehydropantoate 2-reductase|unclassified	239.3301835484
UniRef50_Q9Y7B6: 3-methyl-2-oxobutanoate hydroxymethyltransferase	238.1343217272
UniRef50_Q9Y7B6: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	238.1343217272
UniRef50_UPI00016C6A76: coenzyme A biosynthesis bifunctional protein	238.0853796095
UniRef50_UPI00016C6A76: coenzyme A biosynthesis bifunctional protein|unclassified	238.0853796095
UniRef50_UPI0002003512: phosphopantothenoylcysteine decarboxylase	235.9432063973
UniRef50_UPI0002003512: phosphopantothenoylcysteine decarboxylase|unclassified	235.9432063973
UniRef50_Q6A7Q4: Phosphopantetheine adenylyltransferase	235.9261247261
UniRef50_Q6A7Q4: Phosphopantetheine adenylyltransferase|unclassified	235.9261247261
UniRef50_UPI000371368C: hypothetical protein, partial	235.7531206785
UniRef50_UPI000371368C: hypothetical protein, partial|unclassified	235.7531206785
UniRef50_Q211R2: Pantothenate synthetase	235.1980052503
UniRef50_Q211R2: Pantothenate synthetase|unclassified	235.1980052503
UniRef50_UPI0004708566: hypothetical protein	235.1146912186
UniRef50_UPI0004708566: hypothetical protein|unclassified	235.1146912186
UniRef50_Q55515: Dephospho-CoA kinase	234.0275924389
UniRef50_Q55515: Dephospho-CoA kinase|unclassified	234.0275924389
UniRef50_Q3JVA1	233.0250388802
UniRef50_Q3JVA1|unclassified	233.0250388802
UniRef50_A1SR02: Phosphopantetheine adenylyltransferase	232.7540786864
UniRef50_A1SR02: Phosphopantetheine adenylyltransferase|unclassified	232.7540786864
UniRef50_Q9ZKY6: Type III pantothenate kinase	232.2830778166
UniRef50_Q9ZKY6: Type III pantothenate kinase|unclassified	232.2830778166
UniRef50_UPI0003734BE4: hypothetical protein	231.2666604768
UniRef50_UPI0003734BE4: hypothetical protein|unclassified	231.2666604768
UniRef50_UPI00047C4C3E: phosphopantothenoylcysteine decarboxylase	229.1325815480
UniRef50_UPI00047C4C3E: phosphopantothenoylcysteine decarboxylase|unclassified	229.1325815480
UniRef50_Q4FLZ4: Phosphopantetheine adenylyltransferase	228.8805485865
UniRef50_Q4FLZ4: Phosphopantetheine adenylyltransferase|unclassified	228.8805485865
UniRef50_UPI000289D429: dephospho-CoA kinase	227.9247802580
UniRef50_UPI000289D429: dephospho-CoA kinase|unclassified	227.9247802580
UniRef50_UPI00041BA387: pantothenate kinase	226.6384140973
UniRef50_UPI00041BA387: pantothenate kinase|unclassified	226.6384140973
UniRef50_UPI0003822A6B: hypothetical protein, partial	225.3593886447
UniRef50_UPI0003822A6B: hypothetical protein, partial|unclassified	225.3593886447
UniRef50_Q3AGR0: Dephospho-CoA kinase	224.6958199544
UniRef50_Q3AGR0: Dephospho-CoA kinase|unclassified	224.6958199544
UniRef50_A0A024J727: Similar to Saccharomyces cerevisiae YBR176W ECM31 Ketopantoate hydroxymethyltransferase, required for pantothenic acid biosynthesis	223.3546799970
UniRef50_A0A024J727: Similar to Saccharomyces cerevisiae YBR176W ECM31 Ketopantoate hydroxymethyltransferase, required for pantothenic acid biosynthesis|unclassified	223.3546799970
UniRef50_P58897: Dephospho-CoA kinase	222.7512257783
UniRef50_P58897: Dephospho-CoA kinase|unclassified	222.7512257783
UniRef50_T2S8G5	221.4810554397
UniRef50_T2S8G5|unclassified	221.4810554397
UniRef50_R5QWE7	220.7540151578
UniRef50_R5QWE7|unclassified	220.7540151578
UniRef50_UPI0003790FE4: hypothetical protein	220.4843527411
UniRef50_UPI0003790FE4: hypothetical protein|unclassified	220.4843527411
UniRef50_UPI00035E6F78: hypothetical protein	220.3186933924
UniRef50_UPI00035E6F78: hypothetical protein|unclassified	220.3186933924
UniRef50_O66614: Phosphopantetheine adenylyltransferase	219.0881234716
UniRef50_O66614: Phosphopantetheine adenylyltransferase|unclassified	219.0881234716
UniRef50_UPI000299E4F2: 3-methyl-2-oxobutanoate hydroxymethyltransferase	215.8383727978
UniRef50_UPI000299E4F2: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	215.8383727978
UniRef50_Q8RHR7: Dephospho-CoA kinase	214.6335661833
UniRef50_Q8RHR7: Dephospho-CoA kinase|unclassified	214.6335661833
UniRef50_UPI00039E1318: peptidase ClpP	214.4855964565
UniRef50_UPI00039E1318: peptidase ClpP|unclassified	214.4855964565
UniRef50_UPI00037DBD0B: hypothetical protein, partial	213.3901459096
UniRef50_UPI00037DBD0B: hypothetical protein, partial|unclassified	213.3901459096
UniRef50_UPI00036457AD: hypothetical protein	213.1569737954
UniRef50_UPI00036457AD: hypothetical protein|unclassified	213.1569737954
UniRef50_Q6NEB7: 3-methyl-2-oxobutanoate hydroxymethyltransferase	213.0079297059
UniRef50_Q6NEB7: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	213.0079297059
UniRef50_A9A2T9: 3-methyl-2-oxobutanoate hydroxymethyltransferase	212.5911292145
UniRef50_A9A2T9: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	212.5911292145
UniRef50_UPI0000F2F390: transcriptional regulator	212.4178360046
UniRef50_UPI0000F2F390: transcriptional regulator|unclassified	212.4178360046
UniRef50_UPI00046E3B33: hypothetical protein	211.5634038500
UniRef50_UPI00046E3B33: hypothetical protein|unclassified	211.5634038500
UniRef50_B9L0J2: Type III pantothenate kinase	211.1944156021
UniRef50_B9L0J2: Type III pantothenate kinase|unclassified	211.1944156021
UniRef50_UPI00041BE458: hypothetical protein	209.8215114935
UniRef50_UPI00041BE458: hypothetical protein|unclassified	209.8215114935
UniRef50_B0REL6: Phosphopantetheine adenylyltransferase	209.3705113040
UniRef50_B0REL6: Phosphopantetheine adenylyltransferase|unclassified	209.3705113040
UniRef50_A0A011PFC0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	209.0156752593
UniRef50_A0A011PFC0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	209.0156752593
UniRef50_UPI000252C89A: PREDICTED: phosphopantetheine adenylyltransferase-like	208.8595062477
UniRef50_UPI000252C89A: PREDICTED: phosphopantetheine adenylyltransferase-like|unclassified	208.8595062477
UniRef50_Q2SBL9: Dephospho-CoA kinase	207.9200913909
UniRef50_Q2SBL9: Dephospho-CoA kinase|unclassified	207.9200913909
UniRef50_UPI00035D828B: phosphopantothenoylcysteine decarboxylase, partial	207.5212673059
UniRef50_UPI00035D828B: phosphopantothenoylcysteine decarboxylase, partial|unclassified	207.5212673059
UniRef50_A9ETA6: Pantothenate synthetase	206.9307880613
UniRef50_A9ETA6: Pantothenate synthetase|unclassified	206.9307880613
UniRef50_A0L3M5: Pantothenate synthetase	206.6143105589
UniRef50_A0L3M5: Pantothenate synthetase|unclassified	206.6143105589
UniRef50_UPI0003B67069: phosphopantetheine adenylyltransferase	206.2278645978
UniRef50_UPI0003B67069: phosphopantetheine adenylyltransferase|unclassified	206.2278645978
UniRef50_UPI00037CF016: hypothetical protein, partial	205.8387687797
UniRef50_UPI00037CF016: hypothetical protein, partial|unclassified	205.8387687797
UniRef50_UPI0003B69117: phosphopantothenoylcysteine decarboxylase, partial	205.5293328956
UniRef50_UPI0003B69117: phosphopantothenoylcysteine decarboxylase, partial|unclassified	205.5293328956
UniRef50_UPI0002BB18C1: dephospho-CoA kinase	205.3746695397
UniRef50_UPI0002BB18C1: dephospho-CoA kinase|unclassified	205.3746695397
UniRef50_Q7UM39: 3-methyl-2-oxobutanoate hydroxymethyltransferase	203.0790287022
UniRef50_Q7UM39: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	203.0790287022
UniRef50_O59115	202.2172987566
UniRef50_O59115|unclassified	202.2172987566
UniRef50_UPI00041A142E: phosphopantetheine adenylyltransferase	201.2340258272
UniRef50_UPI00041A142E: phosphopantetheine adenylyltransferase|unclassified	201.2340258272
UniRef50_UPI00041F4A93: pantoate--beta-alanine ligase	201.0661420596
UniRef50_UPI00041F4A93: pantoate--beta-alanine ligase|unclassified	201.0661420596
UniRef50_Q2ILC5: Dephospho-CoA kinase	200.3959172299
UniRef50_Q2ILC5: Dephospho-CoA kinase|unclassified	200.3959172299
UniRef50_A0A023HV52: Phosphopantothenoylcysteine synthase/decarboxylase (Dfp)	199.4268872089
UniRef50_A0A023HV52: Phosphopantothenoylcysteine synthase/decarboxylase (Dfp)|unclassified	199.4268872089
UniRef50_B1WSW1: Aspartate 1-decarboxylase	197.4399344388
UniRef50_B1WSW1: Aspartate 1-decarboxylase|unclassified	197.4399344388
UniRef50_Q7MS38: Type III pantothenate kinase	197.2978262047
