# Gene Family	SampleCoenzyme_A_Biosynthesis_Abundance-CPM
UniRef50_Q31FF6: Pantothenate synthetase|unclassified	746.822
UniRef50_Q87AA7: Dephospho-CoA kinase	745.909
UniRef50_Q87AA7: Dephospho-CoA kinase|unclassified	745.909
UniRef50_Q6AJH7: Phosphopantetheine adenylyltransferase	744.484
UniRef50_Q6AJH7: Phosphopantetheine adenylyltransferase|unclassified	744.484
UniRef50_UPI00026240FC: 2-dehydropantoate 2-reductase	743.959
UniRef50_UPI00026240FC: 2-dehydropantoate 2-reductase|unclassified	743.959
UniRef50_B3DYW1: Phosphopantetheine adenylyltransferase	741.8
UniRef50_B3DYW1: Phosphopantetheine adenylyltransferase|unclassified	741.8
UniRef50_UPI00036BF7E6: hypothetical protein	733.701
UniRef50_UPI00036BF7E6: hypothetical protein|unclassified	733.701
UniRef50_Q47VS4: Dephospho-CoA kinase	728.741
UniRef50_Q47VS4: Dephospho-CoA kinase|unclassified	728.741
UniRef50_UPI00046A13DD: hypothetical protein	724.284
UniRef50_UPI00046A13DD: hypothetical protein|unclassified	724.284
UniRef50_A8F4E1: Phosphopantetheine adenylyltransferase	724.026
UniRef50_A8F4E1: Phosphopantetheine adenylyltransferase|unclassified	724.026
UniRef50_UPI0002DCEE9A: hypothetical protein	722.648
UniRef50_UPI0002DCEE9A: hypothetical protein|unclassified	722.648
UniRef50_Q5WGA4: Pantothenate synthetase	719.046
UniRef50_Q5WGA4: Pantothenate synthetase|unclassified	719.046
UniRef50_Q9K857: Dephospho-CoA kinase	715.212
UniRef50_Q9K857: Dephospho-CoA kinase|unclassified	715.212
UniRef50_A7HXM4: Phosphopantetheine adenylyltransferase	714.939
UniRef50_A7HXM4: Phosphopantetheine adenylyltransferase|unclassified	714.939
UniRef50_UPI000371EADD: hypothetical protein	714.925
UniRef50_UPI000371EADD: hypothetical protein|unclassified	714.925
UniRef50_B0S218: Type III pantothenate kinase	713.155
UniRef50_B0S218: Type III pantothenate kinase|unclassified	713.155
UniRef50_Q5JCY6: 3-methyl-2-oxobutanoate hydroxymethyltransferase	712.591
UniRef50_Q5JCY6: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	712.591
UniRef50_W1VF03: Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase (Fragment)	712.326
UniRef50_W1VF03: Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase (Fragment)|unclassified	712.326
UniRef50_Q3JRC4: SRM102	709.547
UniRef50_Q3JRC4: SRM102|unclassified	709.547
UniRef50_UPI00046F40DA: phosphopantothenoylcysteine decarboxylase	703.975
UniRef50_UPI00046F40DA: phosphopantothenoylcysteine decarboxylase|unclassified	703.975
UniRef50_B1L8P0: Aspartate 1-decarboxylase	703.087
UniRef50_B1L8P0: Aspartate 1-decarboxylase|unclassified	703.087
UniRef50_UPI000366852E: hypothetical protein	702.979
UniRef50_UPI000366852E: hypothetical protein|unclassified	702.979
UniRef50_UPI0004288AEC: phosphopantetheine adenylyltransferase	701.872
UniRef50_UPI0004288AEC: phosphopantetheine adenylyltransferase|unclassified	701.872
UniRef50_B3QNZ9: Phosphopantetheine adenylyltransferase	695.245
UniRef50_B3QNZ9: Phosphopantetheine adenylyltransferase|unclassified	695.245
UniRef50_A0M4U6: Phosphopantetheine adenylyltransferase	693.549
UniRef50_A0M4U6: Phosphopantetheine adenylyltransferase|unclassified	693.549
UniRef50_Q0IC75: 3-methyl-2-oxobutanoate hydroxymethyltransferase	691.895
UniRef50_Q0IC75: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	691.895
UniRef50_UPI0003B4A9AB: phosphopantothenoylcysteine decarboxylase	688.72
UniRef50_UPI0003B4A9AB: phosphopantothenoylcysteine decarboxylase|unclassified	688.72
UniRef50_UPI00047174F7: phosphopantetheine adenylyltransferase	688.582
UniRef50_UPI00047174F7: phosphopantetheine adenylyltransferase|unclassified	688.582
UniRef50_Q8YW62: Dephospho-CoA kinase	687.967
UniRef50_Q8YW62: Dephospho-CoA kinase|unclassified	687.967
UniRef50_UPI00030CED5C: hypothetical protein	685.742
UniRef50_UPI00030CED5C: hypothetical protein|unclassified	685.742
UniRef50_B1Y6R5: Type III pantothenate kinase	685.609
UniRef50_B1Y6R5: Type III pantothenate kinase|unclassified	685.609
UniRef50_A0L7P3: Type III pantothenate kinase	681.854
UniRef50_A0L7P3: Type III pantothenate kinase|unclassified	681.854
UniRef50_B1ZWG7: Phosphopantetheine adenylyltransferase	681.553
UniRef50_B1ZWG7: Phosphopantetheine adenylyltransferase|unclassified	681.553
UniRef50_Q6ALV3: Pantothenate synthetase	667.255
UniRef50_Q6ALV3: Pantothenate synthetase|unclassified	667.255
UniRef50_M7ADF1: DNA / pantothenate metabolism flavofamily protein	660.292
UniRef50_M7ADF1: DNA / pantothenate metabolism flavofamily protein|unclassified	660.292
UniRef50_A0JR91: Pantothenate synthetase	655.193
UniRef50_A0JR91: Pantothenate synthetase|unclassified	655.193
UniRef50_UPI00031B3AB5: hypothetical protein	650.691
UniRef50_UPI00031B3AB5: hypothetical protein|unclassified	650.691
UniRef50_Q9CHQ8: Dephospho-CoA kinase	646.247
UniRef50_Q9CHQ8: Dephospho-CoA kinase|unclassified	646.247
UniRef50_A4SG25: Pantothenate synthetase	643.481
UniRef50_A4SG25: Pantothenate synthetase|unclassified	643.481
UniRef50_Q82WR4: Dephospho-CoA kinase	642.634
UniRef50_Q82WR4: Dephospho-CoA kinase|unclassified	642.634
UniRef50_UPI00047448E9: pantoate--beta-alanine ligase	640.459
UniRef50_UPI00047448E9: pantoate--beta-alanine ligase|unclassified	640.459
UniRef50_Q1CUH1: Ketol-acid reductoisomerase	639.877
UniRef50_Q1CUH1: Ketol-acid reductoisomerase|unclassified	639.877
UniRef50_UPI000476FCA5: pantoate--beta-alanine ligase	639.395
UniRef50_UPI000476FCA5: pantoate--beta-alanine ligase|unclassified	639.395
UniRef50_Q0ADS3: Pantothenate synthetase	636.844
UniRef50_Q0ADS3: Pantothenate synthetase|unclassified	636.844
UniRef50_UPI000288AFEF: 3-methyl-2-oxobutanoate hydroxymethyltransferase	634.991
UniRef50_UPI000288AFEF: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	634.991
UniRef50_UPI000477EDDF: 3-methyl-2-oxobutanoate hydroxymethyltransferase	633.263
UniRef50_UPI000477EDDF: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	633.263
UniRef50_Q28W00: Dephospho-CoA kinase	632.007
UniRef50_Q28W00: Dephospho-CoA kinase|unclassified	632.007
UniRef50_UPI0002FDFCB5: 2-dehydropantoate 2-reductase	629.936
UniRef50_UPI0002FDFCB5: 2-dehydropantoate 2-reductase|unclassified	629.936
UniRef50_UPI0004741A03: hypothetical protein, partial	625.249
UniRef50_UPI0004741A03: hypothetical protein, partial|unclassified	625.249
UniRef50_Q8YX96: Putative 2-dehydropantoate 2-reductase	623.924
UniRef50_Q8YX96: Putative 2-dehydropantoate 2-reductase|unclassified	623.924
UniRef50_Q9Y7B6: 3-methyl-2-oxobutanoate hydroxymethyltransferase	620.806
UniRef50_Q9Y7B6: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	620.806
UniRef50_UPI00016C6A76: coenzyme A biosynthesis bifunctional protein	620.679
UniRef50_UPI00016C6A76: coenzyme A biosynthesis bifunctional protein|unclassified	620.679
UniRef50_UPI0002003512: phosphopantothenoylcysteine decarboxylase	615.094
UniRef50_UPI0002003512: phosphopantothenoylcysteine decarboxylase|unclassified	615.094
UniRef50_Q6A7Q4: Phosphopantetheine adenylyltransferase	615.05
UniRef50_Q6A7Q4: Phosphopantetheine adenylyltransferase|unclassified	615.05
UniRef50_UPI000371368C: hypothetical protein, partial	614.599
UniRef50_UPI000371368C: hypothetical protein, partial|unclassified	614.599
UniRef50_Q211R2: Pantothenate synthetase	613.151
UniRef50_Q211R2: Pantothenate synthetase|unclassified	613.151
UniRef50_UPI0004708566: hypothetical protein	612.934
UniRef50_UPI0004708566: hypothetical protein|unclassified	612.934
UniRef50_Q55515: Dephospho-CoA kinase	610.1
UniRef50_Q55515: Dephospho-CoA kinase|unclassified	610.1
UniRef50_Q3JVA1	607.487
UniRef50_Q3JVA1|unclassified	607.487
UniRef50_A1SR02: Phosphopantetheine adenylyltransferase	606.78
UniRef50_A1SR02: Phosphopantetheine adenylyltransferase|unclassified	606.78
UniRef50_Q9ZKY6: Type III pantothenate kinase	605.552
UniRef50_Q9ZKY6: Type III pantothenate kinase|unclassified	605.552
UniRef50_UPI0003734BE4: hypothetical protein	602.903
UniRef50_UPI0003734BE4: hypothetical protein|unclassified	602.903
UniRef50_UPI00047C4C3E: phosphopantothenoylcysteine decarboxylase	597.339
UniRef50_UPI00047C4C3E: phosphopantothenoylcysteine decarboxylase|unclassified	597.339
UniRef50_Q4FLZ4: Phosphopantetheine adenylyltransferase	596.682
UniRef50_Q4FLZ4: Phosphopantetheine adenylyltransferase|unclassified	596.682
UniRef50_UPI000289D429: dephospho-CoA kinase	594.19
UniRef50_UPI000289D429: dephospho-CoA kinase|unclassified	594.19
UniRef50_UPI00041BA387: pantothenate kinase	590.837
UniRef50_UPI00041BA387: pantothenate kinase|unclassified	590.837
UniRef50_UPI0003822A6B: hypothetical protein, partial	587.503
UniRef50_UPI0003822A6B: hypothetical protein, partial|unclassified	587.503
UniRef50_Q3AGR0: Dephospho-CoA kinase	585.773
UniRef50_Q3AGR0: Dephospho-CoA kinase|unclassified	585.773
UniRef50_A0A024J727: Similar to Saccharomyces cerevisiae YBR176W ECM31 Ketopantoate hydroxymethyltransferase, required for pantothenic acid biosynthesis	582.276
UniRef50_A0A024J727: Similar to Saccharomyces cerevisiae YBR176W ECM31 Ketopantoate hydroxymethyltransferase, required for pantothenic acid biosynthesis|unclassified	582.276
UniRef50_P58897: Dephospho-CoA kinase	580.703
UniRef50_P58897: Dephospho-CoA kinase|unclassified	580.703
UniRef50_T2S8G5	577.392
UniRef50_T2S8G5|unclassified	577.392
UniRef50_R5QWE7	575.497
UniRef50_R5QWE7|unclassified	575.497
UniRef50_UPI0003790FE4: hypothetical protein	574.794
UniRef50_UPI0003790FE4: hypothetical protein|unclassified	574.794
UniRef50_UPI00035E6F78: hypothetical protein	574.362
UniRef50_UPI00035E6F78: hypothetical protein|unclassified	574.362
UniRef50_O66614: Phosphopantetheine adenylyltransferase	571.154
UniRef50_O66614: Phosphopantetheine adenylyltransferase|unclassified	571.154
UniRef50_UPI000299E4F2: 3-methyl-2-oxobutanoate hydroxymethyltransferase	562.682
UniRef50_UPI000299E4F2: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	562.682
UniRef50_Q8RHR7: Dephospho-CoA kinase	559.541
UniRef50_Q8RHR7: Dephospho-CoA kinase|unclassified	559.541
UniRef50_UPI00039E1318: peptidase ClpP	559.155
UniRef50_UPI00039E1318: peptidase ClpP|unclassified	559.155
UniRef50_UPI00037DBD0B: hypothetical protein, partial	556.299
UniRef50_UPI00037DBD0B: hypothetical protein, partial|unclassified	556.299
UniRef50_UPI00036457AD: hypothetical protein	555.691
UniRef50_UPI00036457AD: hypothetical protein|unclassified	555.691
UniRef50_Q6NEB7: 3-methyl-2-oxobutanoate hydroxymethyltransferase	555.303
UniRef50_Q6NEB7: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	555.303
UniRef50_A9A2T9: 3-methyl-2-oxobutanoate hydroxymethyltransferase	554.216
UniRef50_A9A2T9: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	554.216
UniRef50_UPI0000F2F390: transcriptional regulator	553.764
UniRef50_UPI0000F2F390: transcriptional regulator|unclassified	553.764
UniRef50_UPI00046E3B33: hypothetical protein	551.537
UniRef50_UPI00046E3B33: hypothetical protein|unclassified	551.537
UniRef50_B9L0J2: Type III pantothenate kinase	550.575
UniRef50_B9L0J2: Type III pantothenate kinase|unclassified	550.575
UniRef50_UPI00041BE458: hypothetical protein	546.996
UniRef50_UPI00041BE458: hypothetical protein|unclassified	546.996
UniRef50_B0REL6: Phosphopantetheine adenylyltransferase	545.82
UniRef50_B0REL6: Phosphopantetheine adenylyltransferase|unclassified	545.82
UniRef50_A0A011PFC0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	544.895
UniRef50_A0A011PFC0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	544.895
UniRef50_UPI000252C89A: PREDICTED: phosphopantetheine adenylyltransferase-like	544.488
UniRef50_UPI000252C89A: PREDICTED: phosphopantetheine adenylyltransferase-like|unclassified	544.488
UniRef50_Q2SBL9: Dephospho-CoA kinase	542.039
UniRef50_Q2SBL9: Dephospho-CoA kinase|unclassified	542.039
UniRef50_UPI00035D828B: phosphopantothenoylcysteine decarboxylase, partial	540.999
UniRef50_UPI00035D828B: phosphopantothenoylcysteine decarboxylase, partial|unclassified	540.999
UniRef50_A9ETA6: Pantothenate synthetase	539.46
UniRef50_A9ETA6: Pantothenate synthetase|unclassified	539.46
UniRef50_A0L3M5: Pantothenate synthetase	538.635
UniRef50_A0L3M5: Pantothenate synthetase|unclassified	538.635
UniRef50_UPI0003B67069: phosphopantetheine adenylyltransferase	537.627
UniRef50_UPI0003B67069: phosphopantetheine adenylyltransferase|unclassified	537.627
UniRef50_UPI00037CF016: hypothetical protein, partial	536.613
UniRef50_UPI00037CF016: hypothetical protein, partial|unclassified	536.613
UniRef50_UPI0003B69117: phosphopantothenoylcysteine decarboxylase, partial	535.806
UniRef50_UPI0003B69117: phosphopantothenoylcysteine decarboxylase, partial|unclassified	535.806
UniRef50_UPI0002BB18C1: dephospho-CoA kinase	535.403
UniRef50_UPI0002BB18C1: dephospho-CoA kinase|unclassified	535.403
UniRef50_Q7UM39: 3-methyl-2-oxobutanoate hydroxymethyltransferase	529.419
UniRef50_Q7UM39: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	529.419
UniRef50_O59115	527.172
UniRef50_O59115|unclassified	527.172
UniRef50_UPI00041A142E: phosphopantetheine adenylyltransferase	524.609
UniRef50_UPI00041A142E: phosphopantetheine adenylyltransferase|unclassified	524.609
UniRef50_UPI00041F4A93: pantoate--beta-alanine ligase	524.171
UniRef50_UPI00041F4A93: pantoate--beta-alanine ligase|unclassified	524.171
UniRef50_Q2ILC5: Dephospho-CoA kinase	522.424
UniRef50_Q2ILC5: Dephospho-CoA kinase|unclassified	522.424
UniRef50_A0A023HV52: Phosphopantothenoylcysteine synthase/decarboxylase (Dfp)	519.898
UniRef50_A0A023HV52: Phosphopantothenoylcysteine synthase/decarboxylase (Dfp)|unclassified	519.898
UniRef50_B1WSW1: Aspartate 1-decarboxylase	514.718
UniRef50_B1WSW1: Aspartate 1-decarboxylase|unclassified	514.718
UniRef50_Q7MS38: Type III pantothenate kinase	514.347
UniRef50_Q7MS38: Type III pantothenate kinase|unclassified	514.347
UniRef50_C1B8J8	510.384
UniRef50_C1B8J8|unclassified	510.384
UniRef50_Q67R57: Dephospho-CoA kinase	509.968
UniRef50_Q67R57: Dephospho-CoA kinase|unclassified	509.968
UniRef50_UPI000479149E: Clp protease ClpB	509.422
UniRef50_UPI000479149E: Clp protease ClpB|unclassified	509.422
UniRef50_Q31RL4: Dephospho-CoA kinase	503.883
UniRef50_Q31RL4: Dephospho-CoA kinase|unclassified	503.883
UniRef50_O25502: Dephospho-CoA kinase	500.784
UniRef50_O25502: Dephospho-CoA kinase|unclassified	500.784
UniRef50_W5X9J0: 3-methyl-2-oxobutanoate hydroxymethyltransferase	498.709
UniRef50_W5X9J0: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	498.709
UniRef50_UPI0002629A4C: 3-methyl-2-oxobutanoate hydroxymethyltransferase	496.503
UniRef50_UPI0002629A4C: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	496.503
UniRef50_UPI00047A020C: phosphopantothenoylcysteine decarboxylase	495.22
UniRef50_UPI00047A020C: phosphopantothenoylcysteine decarboxylase|unclassified	495.22
UniRef50_UPI00047AA55A: phosphopantetheine adenylyltransferase	495.179
UniRef50_UPI00047AA55A: phosphopantetheine adenylyltransferase|unclassified	495.179
UniRef50_UPI00038234B4: hypothetical protein	495.179
UniRef50_UPI00038234B4: hypothetical protein|unclassified	495.179
UniRef50_Q7VK57: Pantothenate synthetase	494.27
UniRef50_Q7VK57: Pantothenate synthetase|unclassified	494.27
UniRef50_Q5X597: Dephospho-CoA kinase	486.792
UniRef50_Q5X597: Dephospho-CoA kinase|unclassified	486.792
UniRef50_W5X9F3: Pantothenate synthetase	486.495
UniRef50_W5X9F3: Pantothenate synthetase|unclassified	486.495
UniRef50_A9KEG8: Pantothenate synthetase	483.539
UniRef50_A9KEG8: Pantothenate synthetase|unclassified	483.539
UniRef50_B2RL67: Phosphopantetheine adenylyltransferase	475.443
UniRef50_B2RL67: Phosphopantetheine adenylyltransferase|unclassified	475.443
UniRef50_X8DBB1: DNA / pantothenate metabolism flavofamily protein	471.519
UniRef50_X8DBB1: DNA / pantothenate metabolism flavofamily protein|unclassified	471.519
UniRef50_UPI0003726DEE: hypothetical protein, partial	471.317
UniRef50_UPI0003726DEE: hypothetical protein, partial|unclassified	471.317
UniRef50_UPI0004642F0B: hypothetical protein, partial	469.659
UniRef50_UPI0004642F0B: hypothetical protein, partial|unclassified	469.659
UniRef50_UPI00040FB7E5: pantoate--beta-alanine ligase	468.247
UniRef50_UPI00040FB7E5: pantoate--beta-alanine ligase|unclassified	468.247
UniRef50_Q39R83: Dephospho-CoA kinase	468.027
UniRef50_Q39R83: Dephospho-CoA kinase|unclassified	468.027
UniRef50_UPI00030716BD: hypothetical protein	466.257
UniRef50_UPI00030716BD: hypothetical protein|unclassified	466.257
UniRef50_C0QU76: Type III pantothenate kinase	466.063
UniRef50_C0QU76: Type III pantothenate kinase|unclassified	466.063
UniRef50_Q6G5A8: Dephospho-CoA kinase	465.496
UniRef50_Q6G5A8: Dephospho-CoA kinase|unclassified	465.496
UniRef50_UPI0003B57CAF: dephospho-CoA kinase	464.724
UniRef50_UPI0003B57CAF: dephospho-CoA kinase|unclassified	464.724
UniRef50_Q04EI9: Phosphopantetheine adenylyltransferase	464.392
UniRef50_Q04EI9: Phosphopantetheine adenylyltransferase|unclassified	464.392
UniRef50_A0M787: Pantothenate synthetase	463.689
UniRef50_A0M787: Pantothenate synthetase|unclassified	463.689
UniRef50_UPI00037AEDEA: hypothetical protein	462.033
UniRef50_UPI00037AEDEA: hypothetical protein|unclassified	462.033
UniRef50_UPI0003B5A645: pantoate--beta-alanine ligase	459.867
UniRef50_UPI0003B5A645: pantoate--beta-alanine ligase|unclassified	459.867
UniRef50_Q83GK7: 3-methyl-2-oxobutanoate hydroxymethyltransferase	446.793
UniRef50_Q83GK7: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	446.793
UniRef50_Q0S2H3: Ketol-acid reductoisomerase	444.92
UniRef50_Q0S2H3: Ketol-acid reductoisomerase|unclassified	444.92
UniRef50_B7V1A6: Ketol-acid reductoisomerase	443.26
UniRef50_B7V1A6: Ketol-acid reductoisomerase|unclassified	443.26
UniRef50_UPI0002BA0D25: pantothenate kinase, partial	441.12
UniRef50_UPI0002BA0D25: pantothenate kinase, partial|unclassified	441.12
UniRef50_C4RR26	440.76
UniRef50_C4RR26|unclassified	440.76
UniRef50_UPI0003B70281: pantothenate kinase	440.679
UniRef50_UPI0003B70281: pantothenate kinase|unclassified	440.679
UniRef50_Q5GML6	440.658
UniRef50_Q5GML6|unclassified	440.658
UniRef50_UPI0003F8F05F: 2-dehydropantoate 2-reductase	440.105
UniRef50_UPI0003F8F05F: 2-dehydropantoate 2-reductase|unclassified	440.105
UniRef50_A5CX20: 3-methyl-2-oxobutanoate hydroxymethyltransferase	438.822
UniRef50_A5CX20: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	438.822
UniRef50_Q9EYU1: Aspartate 1-decarboxylase 1	436.692
UniRef50_Q9EYU1: Aspartate 1-decarboxylase 1|unclassified	436.692
UniRef50_UPI0003723586: hypothetical protein, partial	436.44
UniRef50_UPI0003723586: hypothetical protein, partial|unclassified	436.44
UniRef50_UPI0004738F87: 3-methyl-2-oxobutanoate hydroxymethyltransferase, partial	433.11
UniRef50_UPI0004738F87: 3-methyl-2-oxobutanoate hydroxymethyltransferase, partial|unclassified	433.11
UniRef50_UPI000470F53C: hypothetical protein, partial	432.928
UniRef50_UPI000470F53C: hypothetical protein, partial|unclassified	432.928
UniRef50_Q0S9V1	430.907
UniRef50_Q0S9V1|unclassified	430.907
UniRef50_Q7MAP3: Pantothenate synthetase	430.132
UniRef50_Q7MAP3: Pantothenate synthetase|unclassified	430.132
UniRef50_UPI000410BBF3: transcriptional regulator	428.943
UniRef50_UPI000410BBF3: transcriptional regulator|unclassified	428.943
UniRef50_Q0ANX4: Pantothenate synthetase	428.897
UniRef50_Q0ANX4: Pantothenate synthetase|unclassified	428.897
UniRef50_UPI0002F606A9: hypothetical protein	427.791
UniRef50_UPI0002F606A9: hypothetical protein|unclassified	427.791
UniRef50_Q72M00: Ketol-acid reductoisomerase	427.116
UniRef50_Q72M00: Ketol-acid reductoisomerase|unclassified	427.116
UniRef50_Q5GT26: Dephospho-CoA kinase	426.776
UniRef50_Q5GT26: Dephospho-CoA kinase|unclassified	426.776
UniRef50_Q7UTQ8: Pantothenate synthetase	425.898
UniRef50_Q7UTQ8: Pantothenate synthetase|unclassified	425.898
UniRef50_Q88WV3: Dephospho-CoA kinase	424.046
UniRef50_Q88WV3: Dephospho-CoA kinase|unclassified	424.046
UniRef50_UPI000301EB97: hypothetical protein	422.706
UniRef50_UPI000301EB97: hypothetical protein|unclassified	422.706
UniRef50_B2UND0: Pantothenate synthetase	415.343
UniRef50_B2UND0: Pantothenate synthetase|unclassified	415.343
UniRef50_W5X504	414.964
UniRef50_W5X504|unclassified	414.964
UniRef50_UPI00036E06F9: hypothetical protein	412.479
UniRef50_UPI00036E06F9: hypothetical protein|unclassified	412.479
UniRef50_A6GVV3: Pantothenate synthetase	408.212
UniRef50_A6GVV3: Pantothenate synthetase|unclassified	408.212
UniRef50_Q9RU74: Ketol-acid reductoisomerase	406.138
UniRef50_Q9RU74: Ketol-acid reductoisomerase|unclassified	406.138
UniRef50_UPI00047BE678: dephospho-CoA kinase	405.548
UniRef50_UPI00047BE678: dephospho-CoA kinase|unclassified	405.548
UniRef50_Q02VX0: Phosphopantetheine adenylyltransferase	404.263
UniRef50_Q02VX0: Phosphopantetheine adenylyltransferase|unclassified	404.263
UniRef50_UPI0002192302: phosphopantetheine adenylyltransferase	403.341
UniRef50_UPI0002192302: phosphopantetheine adenylyltransferase|unclassified	403.341
UniRef50_UPI000366FFC6: hypothetical protein	400.421
UniRef50_UPI000366FFC6: hypothetical protein|unclassified	400.421
UniRef50_O82357: 3-methyl-2-oxobutanoate hydroxymethyltransferase 1, mitochondrial	399.103
UniRef50_O82357: 3-methyl-2-oxobutanoate hydroxymethyltransferase 1, mitochondrial|unclassified	399.103
UniRef50_UPI00047210B0: hypothetical protein, partial	398.496
UniRef50_UPI00047210B0: hypothetical protein, partial|unclassified	398.496
UniRef50_UPI0004034437: pantothenate synthetase	398.359
UniRef50_UPI0004034437: pantothenate synthetase|unclassified	398.359
UniRef50_Q1QDX4: Type III pantothenate kinase	390.16
UniRef50_Q1QDX4: Type III pantothenate kinase|unclassified	390.16
UniRef50_Q2S2P6: Pantothenate synthetase	389.456
UniRef50_Q2S2P6: Pantothenate synthetase|unclassified	389.456
UniRef50_Q0BU46: Pantothenate synthetase	388.791
UniRef50_Q0BU46: Pantothenate synthetase|unclassified	388.791
UniRef50_Q6AFJ7: Phosphopantetheine adenylyltransferase	387.39
UniRef50_Q6AFJ7: Phosphopantetheine adenylyltransferase|unclassified	387.39
UniRef50_Q67JI5: Type III pantothenate kinase 1	385.008
UniRef50_Q67JI5: Type III pantothenate kinase 1|unclassified	385.008
UniRef50_UPI0004665C1B: 2-dehydropantoate 2-reductase	384.851
UniRef50_UPI0004665C1B: 2-dehydropantoate 2-reductase|unclassified	384.851
UniRef50_UPI0004133718: phosphopantetheine adenylyltransferase	383.093
UniRef50_UPI0004133718: phosphopantetheine adenylyltransferase|unclassified	383.093
UniRef50_UPI000473E074: potassium ABC transporter ATPase, partial	380.965
UniRef50_UPI000473E074: potassium ABC transporter ATPase, partial|unclassified	380.965
UniRef50_Q3YSS7: Type III pantothenate kinase	380.419
UniRef50_Q3YSS7: Type III pantothenate kinase|unclassified	380.419
UniRef50_O67619: Putative 2-dehydropantoate 2-reductase	380.243
UniRef50_O67619: Putative 2-dehydropantoate 2-reductase|unclassified	380.243
UniRef50_UPI0004728F68: pantoate--beta-alanine ligase	378.419
UniRef50_UPI0004728F68: pantoate--beta-alanine ligase|unclassified	378.419
UniRef50_UPI000473BC5D: transcriptional regulator, partial	378.201
UniRef50_UPI000473BC5D: transcriptional regulator, partial|unclassified	378.201
UniRef50_Q2GG34: Dephospho-CoA kinase	377.722
UniRef50_Q2GG34: Dephospho-CoA kinase|unclassified	377.722
UniRef50_Q5X1M7: Pantothenate synthetase	376.587
UniRef50_Q5X1M7: Pantothenate synthetase|unclassified	376.587
UniRef50_X1EYN3: Marine sediment metagenome DNA, contig: S03H2_L07151 (Fragment)	376.5
UniRef50_X1EYN3: Marine sediment metagenome DNA, contig: S03H2_L07151 (Fragment)|unclassified	376.5
UniRef50_Q5P9T3: Pantothenate synthetase	375.907
UniRef50_Q5P9T3: Pantothenate synthetase|unclassified	375.907
UniRef50_UPI00036A1DF4: hypothetical protein	375.64
UniRef50_UPI00036A1DF4: hypothetical protein|unclassified	375.64
UniRef50_UPI0002375706: pantoate--beta-alanine ligase, partial	374.585
UniRef50_UPI0002375706: pantoate--beta-alanine ligase, partial|unclassified	374.585
UniRef50_Q2GJ76: Type III pantothenate kinase	374.43
UniRef50_Q2GJ76: Type III pantothenate kinase|unclassified	374.43
UniRef50_Q9X1A7: Dephospho-CoA kinase	373.854
UniRef50_Q9X1A7: Dephospho-CoA kinase|unclassified	373.854
UniRef50_Q0C347: Pantothenate synthetase	373.777
UniRef50_Q0C347: Pantothenate synthetase|unclassified	373.777
UniRef50_UPI00037C06CA: MULTISPECIES: hypothetical protein	372.097
UniRef50_UPI00037C06CA: MULTISPECIES: hypothetical protein|unclassified	372.097
UniRef50_Q9ABG6: Putative 2-dehydropantoate 2-reductase	371.281
UniRef50_Q9ABG6: Putative 2-dehydropantoate 2-reductase|unclassified	371.281
UniRef50_I0FDQ1	369.345
UniRef50_I0FDQ1|unclassified	369.345
UniRef50_Q9M315: 3-methyl-2-oxobutanoate hydroxymethyltransferase 2, mitochondrial	367.368
UniRef50_Q9M315: 3-methyl-2-oxobutanoate hydroxymethyltransferase 2, mitochondrial|unclassified	367.368
UniRef50_Q9RT73: Dephospho-CoA kinase	365.496
UniRef50_Q9RT73: Dephospho-CoA kinase|unclassified	365.496
UniRef50_W5XHG8: Type III pantothenate kinase	364.965
UniRef50_W5XHG8: Type III pantothenate kinase|unclassified	364.965
UniRef50_UPI0002001152: dephospho-CoA kinase	361.605
UniRef50_UPI0002001152: dephospho-CoA kinase|unclassified	361.605
UniRef50_F3MS95: Phosphopantothenoylcysteine decarboxylase	360.619
UniRef50_F3MS95: Phosphopantothenoylcysteine decarboxylase|unclassified	360.619
UniRef50_Q5PB43: Dephospho-CoA kinase	360.55
UniRef50_Q5PB43: Dephospho-CoA kinase|unclassified	360.55
UniRef50_UPI000289E01A: 2-dehydropantoate 2-reductase	360.222
UniRef50_UPI000289E01A: 2-dehydropantoate 2-reductase|unclassified	360.222
UniRef50_X1HXX7: Marine sediment metagenome DNA, contig: S03H2_S13726	358.999
