# Gene Family	SampleCobalamin_synthesis_Abundance-CPM
UniRef50_UPI0004730EF3: hypothetical protein, partial	655.232
UniRef50_UPI0004730EF3: hypothetical protein, partial|unclassified	655.232
UniRef50_A0YRV1	651.876
UniRef50_A0YRV1|unclassified	651.876
UniRef50_UPI00036F39F5: hypothetical protein	649.782
UniRef50_UPI00036F39F5: hypothetical protein|unclassified	649.782
UniRef50_O26880: Probable cobyric acid synthase	642.692
UniRef50_O26880: Probable cobyric acid synthase|unclassified	642.692
UniRef50_Q3ZWJ9: Cobyrinic acid A,C-diamide synthase	638.199
UniRef50_Q3ZWJ9: Cobyrinic acid A,C-diamide synthase|unclassified	638.199
UniRef50_S8CFE7	632.987
UniRef50_S8CFE7|unclassified	632.987
UniRef50_UPI00045EC3F1: phosphoglycerate mutase	629.321
UniRef50_UPI00045EC3F1: phosphoglycerate mutase|unclassified	629.321
UniRef50_UPI00035D5076: hypothetical protein	623.51
UniRef50_UPI00035D5076: hypothetical protein|unclassified	623.51
UniRef50_A0A011QV32: Cobalt-precorrin-2 C(20)-methyltransferase	622.159
UniRef50_A0A011QV32: Cobalt-precorrin-2 C(20)-methyltransferase|unclassified	622.159
UniRef50_Q3ZX56: Cobalamin biosynthesis protein CobD	617.804
UniRef50_Q3ZX56: Cobalamin biosynthesis protein CobD|unclassified	617.804
UniRef50_UPI0004729C5B: hypothetical protein	616.124
UniRef50_UPI0004729C5B: hypothetical protein|unclassified	616.124
UniRef50_UPI0003754100: hypothetical protein, partial	610.647
UniRef50_UPI0003754100: hypothetical protein, partial|unclassified	610.647
UniRef50_Q8DLT8: Tll0390 protein	606.182
UniRef50_Q8DLT8: Tll0390 protein|unclassified	606.182
UniRef50_UPI0003B70E0E: cobalamin biosynthesis protein CobD	599.898
UniRef50_UPI0003B70E0E: cobalamin biosynthesis protein CobD|unclassified	599.898
UniRef50_UPI000473DC49: cobinamide kinase, partial	598.758
UniRef50_UPI000473DC49: cobinamide kinase, partial|unclassified	598.758
UniRef50_F3FCM3: Cobalt-precorrin-6A synthase	596.561
UniRef50_F3FCM3: Cobalt-precorrin-6A synthase|unclassified	596.561
UniRef50_UPI00046A37E8: L-threonine-O-3-phosphate decarboxylase	596.291
UniRef50_UPI00046A37E8: L-threonine-O-3-phosphate decarboxylase|unclassified	596.291
UniRef50_B9TMK7	596.078
UniRef50_B9TMK7|unclassified	596.078
UniRef50_Q3MEA9: Cobalt-precorrin-5B C(1)-methyltransferase	594.285
UniRef50_Q3MEA9: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	594.285
UniRef50_UPI00046771E7: precorrin-6A reductase, partial	590.415
UniRef50_UPI00046771E7: precorrin-6A reductase, partial|unclassified	590.415
UniRef50_UPI00046C9A83: hypothetical protein	589.137
UniRef50_UPI00046C9A83: hypothetical protein|unclassified	589.137
UniRef50_C5TC33: Conserved hypothetical nitroreductase	587.853
UniRef50_C5TC33: Conserved hypothetical nitroreductase|unclassified	587.853
UniRef50_E7DRS8: Cobyrinic acid a,c-diamide synthase (Fragment)	586.781
UniRef50_E7DRS8: Cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	586.781
UniRef50_L8E3H5: Cobyric acid synthase	584.158
UniRef50_L8E3H5: Cobyric acid synthase|unclassified	584.158
UniRef50_UPI00036F4527: hypothetical protein	582.653
UniRef50_UPI00036F4527: hypothetical protein|unclassified	582.653
UniRef50_T1A7I7: Cobalamin (Vitamin B12) biosynthesis CbiG protein (Fragment)	580.858
UniRef50_T1A7I7: Cobalamin (Vitamin B12) biosynthesis CbiG protein (Fragment)|unclassified	580.858
UniRef50_B8CJ38: Cobalamin synthase	578.887
UniRef50_B8CJ38: Cobalamin synthase|unclassified	578.887
UniRef50_UPI0004137466: precorrin-6x reductase	578.85
UniRef50_UPI0004137466: precorrin-6x reductase|unclassified	578.85
UniRef50_UPI00047A0973: hypothetical protein	577.976
UniRef50_UPI00047A0973: hypothetical protein|unclassified	577.976
UniRef50_UPI00040781F7: cobalt-precorrin-6A synthase	577.57
UniRef50_UPI00040781F7: cobalt-precorrin-6A synthase|unclassified	577.57
UniRef50_UPI000476ED7C: cobalamin biosynthesis protein CobQ	577.197
UniRef50_UPI000476ED7C: cobalamin biosynthesis protein CobQ|unclassified	577.197
UniRef50_A4VJ43: Alpha-ribazole-5'-phosphate phosphatase	577.049
UniRef50_A4VJ43: Alpha-ribazole-5'-phosphate phosphatase|unclassified	577.049
UniRef50_UPI000463A8A6: hypothetical protein	576.846
UniRef50_UPI000463A8A6: hypothetical protein|unclassified	576.846
UniRef50_K1USG7: Protein containing Cobalamin (Vitamin B12) biosynthesis CbiG, core domain protein (Fragment)	576.23
UniRef50_K1USG7: Protein containing Cobalamin (Vitamin B12) biosynthesis CbiG, core domain protein (Fragment)|unclassified	576.23
UniRef50_UPI000255E297: cobinamide adenolsyltransferase	574.177
UniRef50_UPI000255E297: cobinamide adenolsyltransferase|unclassified	574.177
UniRef50_Q47T68: Cobyrinic acid A,C-diamide synthase	572.529
UniRef50_Q47T68: Cobyrinic acid A,C-diamide synthase|unclassified	572.529
UniRef50_A7NH10: Cobyric acid synthase	562.151
UniRef50_A7NH10: Cobyric acid synthase|unclassified	562.151
UniRef50_B8I0Q1: Cobalt-precorrin-5B C(1)-methyltransferase	560.63
UniRef50_B8I0Q1: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	560.63
UniRef50_Q8YZS8: Cobalamin synthase	556.689
UniRef50_Q8YZS8: Cobalamin synthase|unclassified	556.689
UniRef50_UPI00046EBF69: cobyrinic acid a,c-diamide synthase, partial	553.403
UniRef50_UPI00046EBF69: cobyrinic acid a,c-diamide synthase, partial|unclassified	553.403
UniRef50_UPI0001B41156: cobyrinic acid a,c-diamide synthase	550.376
UniRef50_UPI0001B41156: cobyrinic acid a,c-diamide synthase|unclassified	550.376
UniRef50_UPI0003B79DBB: precorrin-2 C20-methyltransferase	547.755
UniRef50_UPI0003B79DBB: precorrin-2 C20-methyltransferase|unclassified	547.755
UniRef50_UPI00036555E4: hypothetical protein, partial	547.178
UniRef50_UPI00036555E4: hypothetical protein, partial|unclassified	547.178
UniRef50_UPI00037007E7: hypothetical protein	546.656
UniRef50_UPI00037007E7: hypothetical protein|unclassified	546.656
UniRef50_UPI0004789FB6: hypothetical protein	546.03
UniRef50_UPI0004789FB6: hypothetical protein|unclassified	546.03
UniRef50_UPI00016C0C9D: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	545.873
UniRef50_UPI00016C0C9D: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	545.873
UniRef50_UPI0003B4819B: sirohydrochlorin cobaltochelatase	545.8
UniRef50_UPI0003B4819B: sirohydrochlorin cobaltochelatase|unclassified	545.8
UniRef50_B0K2K2: Cobalamin synthase	545.493
UniRef50_B0K2K2: Cobalamin synthase|unclassified	545.493
UniRef50_UPI00046FA216: precorrin-2 C20-methyltransferase, partial	544.841
UniRef50_UPI00046FA216: precorrin-2 C20-methyltransferase, partial|unclassified	544.841
UniRef50_UPI0004741BDC: hypothetical protein, partial	543.601
UniRef50_UPI0004741BDC: hypothetical protein, partial|unclassified	543.601
UniRef50_UPI00047343CF: hypothetical protein, partial	541.911
UniRef50_UPI00047343CF: hypothetical protein, partial|unclassified	541.911
UniRef50_Q7NF32: Cobyrinic acid A,C-diamide synthase	540.175
UniRef50_Q7NF32: Cobyrinic acid A,C-diamide synthase|unclassified	540.175
UniRef50_B9KVR5: Cobyrinate a,c-diamide synthase / hydrogenobyrinic acid a,c-diamide synthase (Glutamine-hydrolysing)	539.889
UniRef50_B9KVR5: Cobyrinate a,c-diamide synthase / hydrogenobyrinic acid a,c-diamide synthase (Glutamine-hydrolysing)|unclassified	539.889
UniRef50_UPI000369ACA1: hypothetical protein, partial	538.701
UniRef50_UPI000369ACA1: hypothetical protein, partial|unclassified	538.701
UniRef50_X8AQP7: Putative cobyric acid synthase	537.635
UniRef50_X8AQP7: Putative cobyric acid synthase|unclassified	537.635
UniRef50_UPI0003B3D07E: precorrin-2 C20-methyltransferase	536.772
UniRef50_UPI0003B3D07E: precorrin-2 C20-methyltransferase|unclassified	536.772
UniRef50_J2PY77: Cobalamin biosynthesis protein CbiG (Fragment)	535.274
UniRef50_J2PY77: Cobalamin biosynthesis protein CbiG (Fragment)|unclassified	535.274
UniRef50_UPI00036C7232: hypothetical protein, partial	532.508
UniRef50_UPI00036C7232: hypothetical protein, partial|unclassified	532.508
UniRef50_Q75FR2: Cobalamin biosynthesis protein CobD	532.222
UniRef50_Q75FR2: Cobalamin biosynthesis protein CobD|unclassified	532.222
UniRef50_UPI0004732669: cobalamin biosynthesis protein, partial	532.149
UniRef50_UPI0004732669: cobalamin biosynthesis protein, partial|unclassified	532.149
UniRef50_Q2RJI7: Cobalt-precorrin-5B C(1)-methyltransferase	532.039
UniRef50_Q2RJI7: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	532.039
UniRef50_UPI0003B4DC9F: precorrin-3B C17-methyltransferase	531.329
UniRef50_UPI0003B4DC9F: precorrin-3B C17-methyltransferase|unclassified	531.329
UniRef50_L8DTD8: Cobalt-precorrin-6A reductase	531.083
UniRef50_L8DTD8: Cobalt-precorrin-6A reductase|unclassified	531.083
UniRef50_M4TXA0	529.737
UniRef50_M4TXA0|unclassified	529.737
UniRef50_Q9KG31: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	527.193
UniRef50_Q9KG31: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	527.193
UniRef50_UPI00046476D7: cobalamin biosynthesis protein CbiG	526.449
UniRef50_UPI00046476D7: cobalamin biosynthesis protein CbiG|unclassified	526.449
UniRef50_UPI00046EB2F2: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	526.416
UniRef50_UPI00046EB2F2: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	526.416
UniRef50_UPI00037176FC: hypothetical protein	524.907
UniRef50_UPI00037176FC: hypothetical protein|unclassified	524.907
UniRef50_A2BXM3: Cobyric acid synthase	523.646
UniRef50_A2BXM3: Cobyric acid synthase|unclassified	523.646
UniRef50_A4XAM8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	521.422
UniRef50_A4XAM8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	521.422
UniRef50_O26329: Cobalt-precorrin-8X methylmutase	519.864
UniRef50_O26329: Cobalt-precorrin-8X methylmutase|unclassified	519.864
UniRef50_V6US79: Alpha-ribazole-5'-phosphate phosphatase (Fragment)	519.794
UniRef50_V6US79: Alpha-ribazole-5'-phosphate phosphatase (Fragment)|unclassified	519.794
UniRef50_Q1AYB7: Cobalt-precorrin-5B C(1)-methyltransferase	519.148
UniRef50_Q1AYB7: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	519.148
UniRef50_W1WC32: Cobyrinic Acid a,c-diamide synthase (Fragment)	519.105
UniRef50_W1WC32: Cobyrinic Acid a,c-diamide synthase (Fragment)|unclassified	519.105
UniRef50_UPI0003193F3A: hypothetical protein	518.698
UniRef50_UPI0003193F3A: hypothetical protein|unclassified	518.698
UniRef50_UPI0004687010: MULTISPECIES: histidine phosphatase	517.327
UniRef50_UPI0004687010: MULTISPECIES: histidine phosphatase|unclassified	517.327
UniRef50_UPI0004676505: hypothetical protein	517.278
UniRef50_UPI0004676505: hypothetical protein|unclassified	517.278
UniRef50_UPI000373ADCF: precorrin-2 C20-methyltransferase, partial	516.847
UniRef50_UPI000373ADCF: precorrin-2 C20-methyltransferase, partial|unclassified	516.847
UniRef50_A1VP90: Cobalt-precorrin-5B C(1)-methyltransferase	514.882
UniRef50_A1VP90: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	514.882
UniRef50_Q8XWS4: Cobalamin synthase	514.523
UniRef50_Q8XWS4: Cobalamin synthase|unclassified	514.523
UniRef50_UPI0004689B67: L-threonine-O-3-phosphate decarboxylase	512.083
UniRef50_UPI0004689B67: L-threonine-O-3-phosphate decarboxylase|unclassified	512.083
UniRef50_A2BS60: Cobyric acid synthase	511.115
UniRef50_A2BS60: Cobyric acid synthase|unclassified	511.115
UniRef50_UPI000475B09C: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	510.275
UniRef50_UPI000475B09C: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	510.275
UniRef50_C3JCJ9: Phosphoglycerate mutase family protein	509.026
UniRef50_C3JCJ9: Phosphoglycerate mutase family protein|unclassified	509.026
UniRef50_UPI00047020D9: hypothetical protein	508.586
UniRef50_UPI00047020D9: hypothetical protein|unclassified	508.586
UniRef50_A5FRG9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	506.814
UniRef50_A5FRG9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	506.814
UniRef50_A0A023RUZ1: Fructose-2,6-bisphosphatase	506.393
UniRef50_A0A023RUZ1: Fructose-2,6-bisphosphatase|unclassified	506.393
UniRef50_UPI00038033AE: hypothetical protein	506.238
UniRef50_UPI00038033AE: hypothetical protein|unclassified	506.238
UniRef50_R0F3V4: Cobyrinic acid a,c-diamide synthase (Fragment)	505.207
UniRef50_R0F3V4: Cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	505.207
UniRef50_UPI00046D580F: cobyrinic acid ac-diamide synthase	501.734
UniRef50_UPI00046D580F: cobyrinic acid ac-diamide synthase|unclassified	501.734
UniRef50_UPI0003763C5C: hypothetical protein	501.533
UniRef50_UPI0003763C5C: hypothetical protein|unclassified	501.533
UniRef50_UPI000402AAA5: cobyrinic acid a,c-diamide synthase	501.514
UniRef50_UPI000402AAA5: cobyrinic acid a,c-diamide synthase|unclassified	501.514
UniRef50_UPI0003782EC8: hypothetical protein	500.341
UniRef50_UPI0003782EC8: hypothetical protein|unclassified	500.341
UniRef50_B8G7Y8: Cobyric acid synthase	495.876
UniRef50_B8G7Y8: Cobyric acid synthase|unclassified	495.876
UniRef50_UPI00037B0FC4: hypothetical protein	495.814
UniRef50_UPI00037B0FC4: hypothetical protein|unclassified	495.814
UniRef50_UPI00047DC972: cobalamin biosynthesis protein CobD	495.17
UniRef50_UPI00047DC972: cobalamin biosynthesis protein CobD|unclassified	495.17
UniRef50_Q72EC8: Sirohydrochlorin cobaltochelatase CbiKP	492.635
UniRef50_Q72EC8: Sirohydrochlorin cobaltochelatase CbiKP|unclassified	492.635
UniRef50_UPI000380345B: hypothetical protein	492.609
UniRef50_UPI000380345B: hypothetical protein|unclassified	492.609
UniRef50_UPI00047ED25C: hypothetical protein	488.759
UniRef50_UPI00047ED25C: hypothetical protein|unclassified	488.759
UniRef50_UPI00046423E2: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	487.776
UniRef50_UPI00046423E2: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	487.776
UniRef50_P61985: Cobalt-precorrin-5B C(1)-methyltransferase	486.781
UniRef50_P61985: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	486.781
UniRef50_E9S5Q0	486.582
UniRef50_E9S5Q0|unclassified	486.582
UniRef50_Q24Q31: Cobalt-precorrin-5B C(1)-methyltransferase	486.096
UniRef50_Q24Q31: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	486.096
UniRef50_UPI000470146A: hypothetical protein, partial	485.857
UniRef50_UPI000470146A: hypothetical protein, partial|unclassified	485.857
UniRef50_UPI00037BF0B4: hypothetical protein	485.022
UniRef50_UPI00037BF0B4: hypothetical protein|unclassified	485.022
UniRef50_A6LVU2: Cobalt-precorrin-5B C(1)-methyltransferase	482.237
UniRef50_A6LVU2: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	482.237
UniRef50_UPI0003B31178: cobyric acid synthase	481.659
UniRef50_UPI0003B31178: cobyric acid synthase|unclassified	481.659
UniRef50_A1S3L4: Cobalamin synthase	479.739
UniRef50_A1S3L4: Cobalamin synthase|unclassified	479.739
UniRef50_UPI000378D9D6: MULTISPECIES: adenosylcobinamide kinase	478.69
UniRef50_UPI000378D9D6: MULTISPECIES: adenosylcobinamide kinase|unclassified	478.69
UniRef50_UPI0004714542: hypothetical protein, partial	478.353
UniRef50_UPI0004714542: hypothetical protein, partial|unclassified	478.353
UniRef50_UPI000464718A: cobalamin synthase	477.478
UniRef50_UPI000464718A: cobalamin synthase|unclassified	477.478
UniRef50_X8ATG8: CobQ/CobB/MinD/ParA nucleotide binding domain protein	476.887
UniRef50_X8ATG8: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	476.887
UniRef50_A0A011MPM5	476.356
UniRef50_A0A011MPM5|unclassified	476.356
UniRef50_UPI000473162D: hypothetical protein, partial	475.993
UniRef50_UPI000473162D: hypothetical protein, partial|unclassified	475.993
UniRef50_B8HS30: Cobalt-precorrin-5B C(1)-methyltransferase	475.9
UniRef50_B8HS30: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	475.9
UniRef50_UPI00037480B0: hypothetical protein	474.033
UniRef50_UPI00037480B0: hypothetical protein|unclassified	474.033
UniRef50_G7TCX0: Phosphoglycerate-bisphosphoglycerate mutase	471.938
UniRef50_G7TCX0: Phosphoglycerate-bisphosphoglycerate mutase|unclassified	471.938
UniRef50_A5VM95: Phosphoglycerate mutase	471.742
UniRef50_A5VM95: Phosphoglycerate mutase|unclassified	471.742
UniRef50_Q6ALU7: Cobalamin biosynthesis protein CobD	469.715
UniRef50_Q6ALU7: Cobalamin biosynthesis protein CobD|unclassified	469.715
UniRef50_UPI00037D235A: hypothetical protein, partial	467.777
UniRef50_UPI00037D235A: hypothetical protein, partial|unclassified	467.777
UniRef50_UPI0004690124: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase, partial	466.322
UniRef50_UPI0004690124: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase, partial|unclassified	466.322
UniRef50_UPI0004785AC2: hypothetical protein	465.755
UniRef50_UPI0004785AC2: hypothetical protein|unclassified	465.755
UniRef50_D8JKG7: Fructose-2,6-bisphosphatase	465.384
UniRef50_D8JKG7: Fructose-2,6-bisphosphatase|unclassified	465.384
UniRef50_UPI0003B32207: adenosylcobinamide kinase	465.116
UniRef50_UPI0003B32207: adenosylcobinamide kinase|unclassified	465.116
UniRef50_UPI0004735C22: hypothetical protein, partial	464.993
UniRef50_UPI0004735C22: hypothetical protein, partial|unclassified	464.993
UniRef50_Q0TRK3: Cobalamin synthase	464.73
UniRef50_Q0TRK3: Cobalamin synthase|unclassified	464.73
UniRef50_F0Q116: Cobalamin synthesis G domain-containing protein	463.08
UniRef50_F0Q116: Cobalamin synthesis G domain-containing protein|unclassified	463.08
UniRef50_UPI000470F1D6: hypothetical protein, partial	462.964
UniRef50_UPI000470F1D6: hypothetical protein, partial|unclassified	462.964
UniRef50_UPI000395AE1B: hypothetical protein, partial	459.365
UniRef50_UPI000395AE1B: hypothetical protein, partial|unclassified	459.365
UniRef50_UPI000473367F: cobalt-precorrin-6A synthase, partial	459.181
UniRef50_UPI000473367F: cobalt-precorrin-6A synthase, partial|unclassified	459.181
UniRef50_UPI000371761C: hypothetical protein	457.419
UniRef50_UPI000371761C: hypothetical protein|unclassified	457.419
UniRef50_Q46I27: Cobalt-precorrin-5B C(1)-methyltransferase	454.548
UniRef50_Q46I27: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	454.548
UniRef50_UPI00047310F5: precorrin-6x reductase, partial	454.467
UniRef50_UPI00047310F5: precorrin-6x reductase, partial|unclassified	454.467
UniRef50_Q58181: Probable cobalt-precorrin-2 C(20)-methyltransferase	453.688
UniRef50_Q58181: Probable cobalt-precorrin-2 C(20)-methyltransferase|unclassified	453.688
UniRef50_G5PAB4: Cobyrinic acid A,C-diamide synthase	452.762
UniRef50_G5PAB4: Cobyrinic acid A,C-diamide synthase|unclassified	452.762
UniRef50_Q47FE4: Cobalt-precorrin-5B C(1)-methyltransferase	448.314
UniRef50_Q47FE4: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	448.314
UniRef50_Q3A7A3: Cobyrinic acid A,C-diamide synthase	447.231
UniRef50_Q3A7A3: Cobyrinic acid A,C-diamide synthase|unclassified	447.231
UniRef50_UPI000395A928: aminotransferase, partial	446.413
UniRef50_UPI000395A928: aminotransferase, partial|unclassified	446.413
UniRef50_A6TJE5: Cobalt-precorrin-5B C(1)-methyltransferase	446.144
UniRef50_A6TJE5: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	446.144
UniRef50_UPI000378D25B: hypothetical protein	445.485
UniRef50_UPI000378D25B: hypothetical protein|unclassified	445.485
UniRef50_UPI00047E817E: cobalamin biosynthesis protein CobQ	445.336
UniRef50_UPI00047E817E: cobalamin biosynthesis protein CobQ|unclassified	445.336
UniRef50_R7ELN3	444.938
UniRef50_R7ELN3|unclassified	444.938
UniRef50_F3SJK5: Cobalamin biosynthesis protein CbiG	444.558
UniRef50_F3SJK5: Cobalamin biosynthesis protein CbiG|unclassified	444.558
UniRef50_A0A011QT94	443.997
UniRef50_A0A011QT94|unclassified	443.997
UniRef50_Q89Q53: BluF protein	442.976
UniRef50_Q89Q53: BluF protein|unclassified	442.976
UniRef50_W4UBU5: Cobyric acid synthase	442.614
UniRef50_W4UBU5: Cobyric acid synthase|unclassified	442.614
UniRef50_X8F2W9: Putative adenosylcobyric acid synthase	439.362
UniRef50_X8F2W9: Putative adenosylcobyric acid synthase|unclassified	439.362
UniRef50_H6CQY5	439.268
UniRef50_H6CQY5|unclassified	439.268
UniRef50_UPI00037812FE: hypothetical protein	437.164
UniRef50_UPI00037812FE: hypothetical protein|unclassified	437.164
UniRef50_A0A011NZH9: Cobalt-precorrin-6A synthase	436.017
UniRef50_A0A011NZH9: Cobalt-precorrin-6A synthase|unclassified	436.017
UniRef50_A4FW46: Probable cobyrinic acid A,C-diamide synthase	435.508
UniRef50_A4FW46: Probable cobyrinic acid A,C-diamide synthase|unclassified	435.508
UniRef50_Q8EXQ7: Adenosylcobalamin biosynthesis bifunctional protein CobDQ	435.502
UniRef50_Q8EXQ7: Adenosylcobalamin biosynthesis bifunctional protein CobDQ|unclassified	435.502
UniRef50_Q891S7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	434.383
UniRef50_Q891S7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	434.383
UniRef50_A0A059KFX3: Phosphoglycerate mutase	433.877
UniRef50_A0A059KFX3: Phosphoglycerate mutase|unclassified	433.877
UniRef50_Q8FNQ2: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	432.94
UniRef50_Q8FNQ2: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	432.94
UniRef50_Q88M93: Cobalamin synthase	428.716
UniRef50_Q88M93: Cobalamin synthase|unclassified	428.716
UniRef50_Q82AM7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	427.234
UniRef50_Q82AM7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	427.234
UniRef50_Q04NF4: Cobalt-precorrin-5B C(1)-methyltransferase	426.916
UniRef50_Q04NF4: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	426.916
UniRef50_B7VPZ9	426.157
UniRef50_B7VPZ9|unclassified	426.157
UniRef50_UPI000361C3A4: hypothetical protein	426.041
UniRef50_UPI000361C3A4: hypothetical protein|unclassified	426.041
UniRef50_Q30US7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	425.975
UniRef50_Q30US7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	425.975
UniRef50_B7VPD4: Fructose-2,6-bisphosphatase	425.498
UniRef50_B7VPD4: Fructose-2,6-bisphosphatase|unclassified	425.498
UniRef50_Q7MTE1: Phosphoglycerate mutase family protein	425.411
UniRef50_Q7MTE1: Phosphoglycerate mutase family protein|unclassified	425.411
UniRef50_W0YMK6	424.481
UniRef50_W0YMK6|unclassified	424.481
UniRef50_UPI00035C674D: hypothetical protein, partial	424.327
UniRef50_UPI00035C674D: hypothetical protein, partial|unclassified	424.327
UniRef50_A9B732: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	424.195
UniRef50_A9B732: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	424.195
UniRef50_UPI000393FCDD: cobalamin biosynthesis protein CbiG	423.47
UniRef50_UPI000393FCDD: cobalamin biosynthesis protein CbiG|unclassified	423.47
UniRef50_UPI00029A9DE5: cobyrinic acid a,c-diamide synthase	423.072
UniRef50_UPI00029A9DE5: cobyrinic acid a,c-diamide synthase|unclassified	423.072
UniRef50_UPI000468F97A: adenosylcobinamide kinase	416.172
UniRef50_UPI000468F97A: adenosylcobinamide kinase|unclassified	416.172
UniRef50_UPI0003B6FC5B: cobalt-precorrin-6A synthase	414.407
UniRef50_UPI0003B6FC5B: cobalt-precorrin-6A synthase|unclassified	414.407
UniRef50_UPI000364D3A1: hypothetical protein	414.037
UniRef50_UPI000364D3A1: hypothetical protein|unclassified	414.037
UniRef50_E7DRT4: Cobyrinic acid a,c-diamide synthase (Fragment)	413.454
UniRef50_E7DRT4: Cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	413.454
UniRef50_P73423: Cobalt-precorrin-5B C(1)-methyltransferase	413.064
UniRef50_P73423: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	413.064
UniRef50_Q57908: Probable cobyric acid synthase	411.755
UniRef50_Q57908: Probable cobyric acid synthase|unclassified	411.755
UniRef50_UPI000395A02E: cobalamin biosynthesis protein CobD, partial	410.819
UniRef50_UPI000395A02E: cobalamin biosynthesis protein CobD, partial|unclassified	410.819
UniRef50_UPI0001DD0B99: aminotransferase	410.264
UniRef50_UPI0001DD0B99: aminotransferase|unclassified	410.264
UniRef50_Q9XDM4: L-threonine kinase	409.405
UniRef50_Q9XDM4: L-threonine kinase|unclassified	409.405
UniRef50_P61984: Cobalt-precorrin-5B C(1)-methyltransferase	408.085
UniRef50_P61984: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	408.085
UniRef50_T3Y202: Cobalamin synthesis G family protein	408.068
UniRef50_T3Y202: Cobalamin synthesis G family protein|unclassified	408.068
UniRef50_UPI00035C450D: hypothetical protein, partial	406.054
UniRef50_UPI00035C450D: hypothetical protein, partial|unclassified	406.054
UniRef50_Q9RYR8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	404.966
UniRef50_Q9RYR8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	404.966
UniRef50_UPI0003B767CB: cobalt-precorrin-6A synthase	403.897
UniRef50_UPI0003B767CB: cobalt-precorrin-6A synthase|unclassified	403.897
UniRef50_UPI0002EAD653: hypothetical protein	402.604
UniRef50_UPI0002EAD653: hypothetical protein|unclassified	402.604
UniRef50_UPI0004737402: cobinamide kinase, partial	400.245
UniRef50_UPI0004737402: cobinamide kinase, partial|unclassified	400.245
UniRef50_A9GM39: Cobalamin biosynthesis protein CobD	398.583
UniRef50_A9GM39: Cobalamin biosynthesis protein CobD|unclassified	398.583
UniRef50_X8FDP0: CobQ/CobB/MinD/ParA nucleotide binding domain protein	396.397
UniRef50_X8FDP0: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	396.397
UniRef50_Q0TRK1: Phosphoglycerate mutase family protein	394.313
UniRef50_Q0TRK1: Phosphoglycerate mutase family protein|unclassified	394.313
UniRef50_UPI00047413E0: cobalamin synthase, partial	394.215
