# Gene Family	SampleCobalamin_synthesis_Abundance-RPKs
UniRef50_UPI0001B41156: cobyrinic acid a,c-diamide synthase|unclassified	159.9370098863
UniRef50_UPI0003B79DBB: precorrin-2 C20-methyltransferase	159.1754708249
UniRef50_UPI0003B79DBB: precorrin-2 C20-methyltransferase|unclassified	159.1754708249
UniRef50_UPI00036555E4: hypothetical protein, partial	159.0075375805
UniRef50_UPI00036555E4: hypothetical protein, partial|unclassified	159.0075375805
UniRef50_UPI00037007E7: hypothetical protein	158.8560109786
UniRef50_UPI00037007E7: hypothetical protein|unclassified	158.8560109786
UniRef50_UPI0004789FB6: hypothetical protein	158.6740442912
UniRef50_UPI0004789FB6: hypothetical protein|unclassified	158.6740442912
UniRef50_UPI00016C0C9D: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	158.6283867189
UniRef50_UPI00016C0C9D: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	158.6283867189
UniRef50_UPI0003B4819B: sirohydrochlorin cobaltochelatase	158.6071756350
UniRef50_UPI0003B4819B: sirohydrochlorin cobaltochelatase|unclassified	158.6071756350
UniRef50_B0K2K2: Cobalamin synthase	158.5180714583
UniRef50_B0K2K2: Cobalamin synthase|unclassified	158.5180714583
UniRef50_UPI00046FA216: precorrin-2 C20-methyltransferase, partial	158.3286392336
UniRef50_UPI00046FA216: precorrin-2 C20-methyltransferase, partial|unclassified	158.3286392336
UniRef50_UPI0004741BDC: hypothetical protein, partial	157.9681956077
UniRef50_UPI0004741BDC: hypothetical protein, partial|unclassified	157.9681956077
UniRef50_UPI00047343CF: hypothetical protein, partial	157.4771006339
UniRef50_UPI00047343CF: hypothetical protein, partial|unclassified	157.4771006339
UniRef50_Q7NF32: Cobyrinic acid A,C-diamide synthase	156.9724993531
UniRef50_Q7NF32: Cobyrinic acid A,C-diamide synthase|unclassified	156.9724993531
UniRef50_B9KVR5: Cobyrinate a,c-diamide synthase / hydrogenobyrinic acid a,c-diamide synthase (Glutamine-hydrolysing)	156.8894898962
UniRef50_B9KVR5: Cobyrinate a,c-diamide synthase / hydrogenobyrinic acid a,c-diamide synthase (Glutamine-hydrolysing)|unclassified	156.8894898962
UniRef50_UPI000369ACA1: hypothetical protein, partial	156.5442545268
UniRef50_UPI000369ACA1: hypothetical protein, partial|unclassified	156.5442545268
UniRef50_X8AQP7: Putative cobyric acid synthase	156.2345224162
UniRef50_X8AQP7: Putative cobyric acid synthase|unclassified	156.2345224162
UniRef50_UPI0003B3D07E: precorrin-2 C20-methyltransferase	155.9837279195
UniRef50_UPI0003B3D07E: precorrin-2 C20-methyltransferase|unclassified	155.9837279195
UniRef50_J2PY77: Cobalamin biosynthesis protein CbiG (Fragment)	155.5483888062
UniRef50_J2PY77: Cobalamin biosynthesis protein CbiG (Fragment)|unclassified	155.5483888062
UniRef50_UPI00036C7232: hypothetical protein, partial	154.7447421209
UniRef50_UPI00036C7232: hypothetical protein, partial|unclassified	154.7447421209
UniRef50_Q75FR2: Cobalamin biosynthesis protein CobD	154.6614048202
UniRef50_Q75FR2: Cobalamin biosynthesis protein CobD|unclassified	154.6614048202
UniRef50_UPI0004732669: cobalamin biosynthesis protein, partial	154.6403518270
UniRef50_UPI0004732669: cobalamin biosynthesis protein, partial|unclassified	154.6403518270
UniRef50_Q2RJI7: Cobalt-precorrin-5B C(1)-methyltransferase	154.6081822664
UniRef50_Q2RJI7: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	154.6081822664
UniRef50_UPI0003B4DC9F: precorrin-3B C17-methyltransferase	154.4021356343
UniRef50_UPI0003B4DC9F: precorrin-3B C17-methyltransferase|unclassified	154.4021356343
UniRef50_L8DTD8: Cobalt-precorrin-6A reductase	154.3304709223
UniRef50_L8DTD8: Cobalt-precorrin-6A reductase|unclassified	154.3304709223
UniRef50_M4TXA0	153.9392637570
UniRef50_M4TXA0|unclassified	153.9392637570
UniRef50_Q9KG31: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	153.2000780384
UniRef50_Q9KG31: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	153.2000780384
UniRef50_UPI00046476D7: cobalamin biosynthesis protein CbiG	152.9839393361
UniRef50_UPI00046476D7: cobalamin biosynthesis protein CbiG|unclassified	152.9839393361
UniRef50_UPI00046EB2F2: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	152.9744118483
UniRef50_UPI00046EB2F2: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	152.9744118483
UniRef50_UPI00037176FC: hypothetical protein	152.5358498253
UniRef50_UPI00037176FC: hypothetical protein|unclassified	152.5358498253
UniRef50_A2BXM3: Cobyric acid synthase	152.1694860103
UniRef50_A2BXM3: Cobyric acid synthase|unclassified	152.1694860103
UniRef50_A4XAM8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	151.5231356935
UniRef50_A4XAM8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	151.5231356935
UniRef50_O26329: Cobalt-precorrin-8X methylmutase	151.0704637228
UniRef50_O26329: Cobalt-precorrin-8X methylmutase|unclassified	151.0704637228
UniRef50_V6US79: Alpha-ribazole-5'-phosphate phosphatase (Fragment)	151.0499855134
UniRef50_V6US79: Alpha-ribazole-5'-phosphate phosphatase (Fragment)|unclassified	151.0499855134
UniRef50_Q1AYB7: Cobalt-precorrin-5B C(1)-methyltransferase	150.8622216247
UniRef50_Q1AYB7: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	150.8622216247
UniRef50_W1WC32: Cobyrinic Acid a,c-diamide synthase (Fragment)	150.8498890136
UniRef50_W1WC32: Cobyrinic Acid a,c-diamide synthase (Fragment)|unclassified	150.8498890136
UniRef50_UPI0003193F3A: hypothetical protein	150.7315325966
UniRef50_UPI0003193F3A: hypothetical protein|unclassified	150.7315325966
UniRef50_UPI0004687010: MULTISPECIES: histidine phosphatase	150.3331230571
UniRef50_UPI0004687010: MULTISPECIES: histidine phosphatase|unclassified	150.3331230571
UniRef50_UPI0004676505: hypothetical protein	150.3187393356
UniRef50_UPI0004676505: hypothetical protein|unclassified	150.3187393356
UniRef50_UPI000373ADCF: precorrin-2 C20-methyltransferase, partial	150.1937001354
UniRef50_UPI000373ADCF: precorrin-2 C20-methyltransferase, partial|unclassified	150.1937001354
UniRef50_A1VP90: Cobalt-precorrin-5B C(1)-methyltransferase	149.6226459338
UniRef50_A1VP90: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	149.6226459338
UniRef50_Q8XWS4: Cobalamin synthase	149.5182004717
UniRef50_Q8XWS4: Cobalamin synthase|unclassified	149.5182004717
UniRef50_UPI0004689B67: L-threonine-O-3-phosphate decarboxylase	148.8091747448
UniRef50_UPI0004689B67: L-threonine-O-3-phosphate decarboxylase|unclassified	148.8091747448
UniRef50_A2BS60: Cobyric acid synthase	148.5279830577
UniRef50_A2BS60: Cobyric acid synthase|unclassified	148.5279830577
UniRef50_UPI000475B09C: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	148.2838458159
UniRef50_UPI000475B09C: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	148.2838458159
UniRef50_C3JCJ9: Phosphoglycerate mutase family protein	147.9209306952
UniRef50_C3JCJ9: Phosphoglycerate mutase family protein|unclassified	147.9209306952
UniRef50_UPI00047020D9: hypothetical protein	147.7929099743
UniRef50_UPI00047020D9: hypothetical protein|unclassified	147.7929099743
UniRef50_A5FRG9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	147.2780366040
UniRef50_A5FRG9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	147.2780366040
UniRef50_A0A023RUZ1: Fructose-2,6-bisphosphatase	147.1558362964
UniRef50_A0A023RUZ1: Fructose-2,6-bisphosphatase|unclassified	147.1558362964
UniRef50_UPI00038033AE: hypothetical protein	147.1107355541
UniRef50_UPI00038033AE: hypothetical protein|unclassified	147.1107355541
UniRef50_R0F3V4: Cobyrinic acid a,c-diamide synthase (Fragment)	146.8109695929
UniRef50_R0F3V4: Cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	146.8109695929
UniRef50_UPI00046D580F: cobyrinic acid ac-diamide synthase	145.8019432789
UniRef50_UPI00046D580F: cobyrinic acid ac-diamide synthase|unclassified	145.8019432789
UniRef50_UPI0003763C5C: hypothetical protein	145.7432683405
UniRef50_UPI0003763C5C: hypothetical protein|unclassified	145.7432683405
UniRef50_UPI000402AAA5: cobyrinic acid a,c-diamide synthase	145.7379951179
UniRef50_UPI000402AAA5: cobyrinic acid a,c-diamide synthase|unclassified	145.7379951179
UniRef50_UPI0003782EC8: hypothetical protein	145.3970957803
UniRef50_UPI0003782EC8: hypothetical protein|unclassified	145.3970957803
UniRef50_B8G7Y8: Cobyric acid synthase	144.0996078724
UniRef50_B8G7Y8: Cobyric acid synthase|unclassified	144.0996078724
UniRef50_UPI00037B0FC4: hypothetical protein	144.0814748679
UniRef50_UPI00037B0FC4: hypothetical protein|unclassified	144.0814748679
UniRef50_UPI00047DC972: cobalamin biosynthesis protein CobD	143.8943645241
UniRef50_UPI00047DC972: cobalamin biosynthesis protein CobD|unclassified	143.8943645241
UniRef50_Q72EC8: Sirohydrochlorin cobaltochelatase CbiKP	143.1577869007
UniRef50_Q72EC8: Sirohydrochlorin cobaltochelatase CbiKP|unclassified	143.1577869007
UniRef50_UPI000380345B: hypothetical protein	143.1500480584
UniRef50_UPI000380345B: hypothetical protein|unclassified	143.1500480584
UniRef50_UPI00047ED25C: hypothetical protein	142.0313974329
UniRef50_UPI00047ED25C: hypothetical protein|unclassified	142.0313974329
UniRef50_UPI00046423E2: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	141.7455627211
UniRef50_UPI00046423E2: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	141.7455627211
UniRef50_P61985: Cobalt-precorrin-5B C(1)-methyltransferase	141.4565112293
UniRef50_P61985: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	141.4565112293
UniRef50_E9S5Q0	141.3987071629
UniRef50_E9S5Q0|unclassified	141.3987071629
UniRef50_Q24Q31: Cobalt-precorrin-5B C(1)-methyltransferase	141.2573745692
UniRef50_Q24Q31: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	141.2573745692
UniRef50_UPI000470146A: hypothetical protein, partial	141.1879234375
UniRef50_UPI000470146A: hypothetical protein, partial|unclassified	141.1879234375
UniRef50_UPI00037BF0B4: hypothetical protein	140.9453255142
UniRef50_UPI00037BF0B4: hypothetical protein|unclassified	140.9453255142
UniRef50_A6LVU2: Cobalt-precorrin-5B C(1)-methyltransferase	140.1359543618
UniRef50_A6LVU2: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	140.1359543618
UniRef50_UPI0003B31178: cobyric acid synthase	139.9682056520
UniRef50_UPI0003B31178: cobyric acid synthase|unclassified	139.9682056520
UniRef50_A1S3L4: Cobalamin synthase	139.4101496472
UniRef50_A1S3L4: Cobalamin synthase|unclassified	139.4101496472
UniRef50_UPI000378D9D6: MULTISPECIES: adenosylcobinamide kinase	139.1053079496
UniRef50_UPI000378D9D6: MULTISPECIES: adenosylcobinamide kinase|unclassified	139.1053079496
UniRef50_UPI0004714542: hypothetical protein, partial	139.0073089555
UniRef50_UPI0004714542: hypothetical protein, partial|unclassified	139.0073089555
UniRef50_UPI000464718A: cobalamin synthase	138.7531835008
UniRef50_UPI000464718A: cobalamin synthase|unclassified	138.7531835008
UniRef50_X8ATG8: CobQ/CobB/MinD/ParA nucleotide binding domain protein	138.5813782559
UniRef50_X8ATG8: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	138.5813782559
UniRef50_A0A011MPM5	138.4271790665
UniRef50_A0A011MPM5|unclassified	138.4271790665
UniRef50_UPI000473162D: hypothetical protein, partial	138.3216353455
UniRef50_UPI000473162D: hypothetical protein, partial|unclassified	138.3216353455
UniRef50_B8HS30: Cobalt-precorrin-5B C(1)-methyltransferase	138.2946829900
UniRef50_B8HS30: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	138.2946829900
UniRef50_UPI00037480B0: hypothetical protein	137.7519086412
UniRef50_UPI00037480B0: hypothetical protein|unclassified	137.7519086412
UniRef50_G7TCX0: Phosphoglycerate-bisphosphoglycerate mutase	137.1432420320
UniRef50_G7TCX0: Phosphoglycerate-bisphosphoglycerate mutase|unclassified	137.1432420320
UniRef50_A5VM95: Phosphoglycerate mutase	137.0862202493
UniRef50_A5VM95: Phosphoglycerate mutase|unclassified	137.0862202493
UniRef50_Q6ALU7: Cobalamin biosynthesis protein CobD	136.4973021770
UniRef50_Q6ALU7: Cobalamin biosynthesis protein CobD|unclassified	136.4973021770
UniRef50_UPI00037D235A: hypothetical protein, partial	135.9340697701
UniRef50_UPI00037D235A: hypothetical protein, partial|unclassified	135.9340697701
UniRef50_UPI0004690124: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase, partial	135.5112336745
UniRef50_UPI0004690124: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase, partial|unclassified	135.5112336745
UniRef50_UPI0004785AC2: hypothetical protein	135.3464120418
UniRef50_UPI0004785AC2: hypothetical protein|unclassified	135.3464120418
UniRef50_D8JKG7: Fructose-2,6-bisphosphatase	135.2387690717
UniRef50_D8JKG7: Fructose-2,6-bisphosphatase|unclassified	135.2387690717
UniRef50_UPI0003B32207: adenosylcobinamide kinase	135.1608487423
UniRef50_UPI0003B32207: adenosylcobinamide kinase|unclassified	135.1608487423
UniRef50_UPI0004735C22: hypothetical protein, partial	135.1249110660
UniRef50_UPI0004735C22: hypothetical protein, partial|unclassified	135.1249110660
UniRef50_Q0TRK3: Cobalamin synthase	135.0485700718
UniRef50_Q0TRK3: Cobalamin synthase|unclassified	135.0485700718
UniRef50_F0Q116: Cobalamin synthesis G domain-containing protein	134.5689987295
UniRef50_F0Q116: Cobalamin synthesis G domain-containing protein|unclassified	134.5689987295
UniRef50_UPI000470F1D6: hypothetical protein, partial	134.5353742243
UniRef50_UPI000470F1D6: hypothetical protein, partial|unclassified	134.5353742243
UniRef50_UPI000395AE1B: hypothetical protein, partial	133.4895624048
UniRef50_UPI000395AE1B: hypothetical protein, partial|unclassified	133.4895624048
UniRef50_UPI000473367F: cobalt-precorrin-6A synthase, partial	133.4359635090
UniRef50_UPI000473367F: cobalt-precorrin-6A synthase, partial|unclassified	133.4359635090
UniRef50_UPI000371761C: hypothetical protein	132.9240732729
UniRef50_UPI000371761C: hypothetical protein|unclassified	132.9240732729
UniRef50_Q46I27: Cobalt-precorrin-5B C(1)-methyltransferase	132.0897434976
UniRef50_Q46I27: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	132.0897434976
UniRef50_UPI00047310F5: precorrin-6x reductase, partial	132.0662714405
UniRef50_UPI00047310F5: precorrin-6x reductase, partial|unclassified	132.0662714405
UniRef50_Q58181: Probable cobalt-precorrin-2 C(20)-methyltransferase	131.8397467268
UniRef50_Q58181: Probable cobalt-precorrin-2 C(20)-methyltransferase|unclassified	131.8397467268
UniRef50_G5PAB4: Cobyrinic acid A,C-diamide synthase	131.5708073656
UniRef50_G5PAB4: Cobyrinic acid A,C-diamide synthase|unclassified	131.5708073656
UniRef50_Q47FE4: Cobalt-precorrin-5B C(1)-methyltransferase	130.2781078472
UniRef50_Q47FE4: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	130.2781078472
UniRef50_Q3A7A3: Cobyrinic acid A,C-diamide synthase	129.9634085448
UniRef50_Q3A7A3: Cobyrinic acid A,C-diamide synthase|unclassified	129.9634085448
UniRef50_UPI000395A928: aminotransferase, partial	129.7256563064
UniRef50_UPI000395A928: aminotransferase, partial|unclassified	129.7256563064
UniRef50_A6TJE5: Cobalt-precorrin-5B C(1)-methyltransferase	129.6475668049
UniRef50_A6TJE5: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	129.6475668049
UniRef50_UPI000378D25B: hypothetical protein	129.4559553360
UniRef50_UPI000378D25B: hypothetical protein|unclassified	129.4559553360
UniRef50_UPI00047E817E: cobalamin biosynthesis protein CobQ	129.4128974046
UniRef50_UPI00047E817E: cobalamin biosynthesis protein CobQ|unclassified	129.4128974046
UniRef50_R7ELN3	129.2969937617
UniRef50_R7ELN3|unclassified	129.2969937617
UniRef50_F3SJK5: Cobalamin biosynthesis protein CbiG	129.1868031562
UniRef50_F3SJK5: Cobalamin biosynthesis protein CbiG|unclassified	129.1868031562
UniRef50_A0A011QT94	129.0235830455
UniRef50_A0A011QT94|unclassified	129.0235830455
UniRef50_Q89Q53: BluF protein	128.7271092942
UniRef50_Q89Q53: BluF protein|unclassified	128.7271092942
UniRef50_W4UBU5: Cobyric acid synthase	128.6217795456
UniRef50_W4UBU5: Cobyric acid synthase|unclassified	128.6217795456
UniRef50_X8F2W9: Putative adenosylcobyric acid synthase	127.6768950176
UniRef50_X8F2W9: Putative adenosylcobyric acid synthase|unclassified	127.6768950176
UniRef50_H6CQY5	127.6493260786
UniRef50_H6CQY5|unclassified	127.6493260786
UniRef50_UPI00037812FE: hypothetical protein	127.0380640602
UniRef50_UPI00037812FE: hypothetical protein|unclassified	127.0380640602
UniRef50_A0A011NZH9: Cobalt-precorrin-6A synthase	126.7048016703
UniRef50_A0A011NZH9: Cobalt-precorrin-6A synthase|unclassified	126.7048016703
UniRef50_A4FW46: Probable cobyrinic acid A,C-diamide synthase	126.5567946031
UniRef50_A4FW46: Probable cobyrinic acid A,C-diamide synthase|unclassified	126.5567946031
UniRef50_Q8EXQ7: Adenosylcobalamin biosynthesis bifunctional protein CobDQ	126.5550677973
UniRef50_Q8EXQ7: Adenosylcobalamin biosynthesis bifunctional protein CobDQ|unclassified	126.5550677973
UniRef50_Q891S7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	126.2298908148
UniRef50_Q891S7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	126.2298908148
UniRef50_A0A059KFX3: Phosphoglycerate mutase	126.0828448958
UniRef50_A0A059KFX3: Phosphoglycerate mutase|unclassified	126.0828448958
UniRef50_Q8FNQ2: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	125.8105983068
UniRef50_Q8FNQ2: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	125.8105983068
UniRef50_Q88M93: Cobalamin synthase	124.5829545294
UniRef50_Q88M93: Cobalamin synthase|unclassified	124.5829545294
UniRef50_Q82AM7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	124.1523375900
UniRef50_Q82AM7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	124.1523375900
UniRef50_Q04NF4: Cobalt-precorrin-5B C(1)-methyltransferase	124.0600393401
UniRef50_Q04NF4: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	124.0600393401
UniRef50_B7VPZ9	123.8393282888
UniRef50_B7VPZ9|unclassified	123.8393282888
UniRef50_UPI000361C3A4: hypothetical protein	123.8058866812
UniRef50_UPI000361C3A4: hypothetical protein|unclassified	123.8058866812
UniRef50_Q30US7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	123.7864532396
UniRef50_Q30US7: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	123.7864532396
UniRef50_B7VPD4: Fructose-2,6-bisphosphatase	123.6479388119
UniRef50_B7VPD4: Fructose-2,6-bisphosphatase|unclassified	123.6479388119
UniRef50_Q7MTE1: Phosphoglycerate mutase family protein	123.6226569485
UniRef50_Q7MTE1: Phosphoglycerate mutase family protein|unclassified	123.6226569485
UniRef50_W0YMK6	123.3525432797
UniRef50_W0YMK6|unclassified	123.3525432797
UniRef50_UPI00035C674D: hypothetical protein, partial	123.3077702004
UniRef50_UPI00035C674D: hypothetical protein, partial|unclassified	123.3077702004
UniRef50_A9B732: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	123.2693709951
UniRef50_A9B732: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	123.2693709951
UniRef50_UPI000393FCDD: cobalamin biosynthesis protein CbiG	123.0585923910
UniRef50_UPI000393FCDD: cobalamin biosynthesis protein CbiG|unclassified	123.0585923910
UniRef50_UPI00029A9DE5: cobyrinic acid a,c-diamide synthase	122.9428478485
UniRef50_UPI00029A9DE5: cobyrinic acid a,c-diamide synthase|unclassified	122.9428478485
UniRef50_UPI000468F97A: adenosylcobinamide kinase	120.9377953269
UniRef50_UPI000468F97A: adenosylcobinamide kinase|unclassified	120.9377953269
UniRef50_UPI0003B6FC5B: cobalt-precorrin-6A synthase	120.4248673677
UniRef50_UPI0003B6FC5B: cobalt-precorrin-6A synthase|unclassified	120.4248673677
UniRef50_UPI000364D3A1: hypothetical protein	120.3173317852
UniRef50_UPI000364D3A1: hypothetical protein|unclassified	120.3173317852
UniRef50_E7DRT4: Cobyrinic acid a,c-diamide synthase (Fragment)	120.1479212745
UniRef50_E7DRT4: Cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	120.1479212745
UniRef50_P73423: Cobalt-precorrin-5B C(1)-methyltransferase	120.0346330949
UniRef50_P73423: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	120.0346330949
UniRef50_Q57908: Probable cobyric acid synthase	119.6544381181
UniRef50_Q57908: Probable cobyric acid synthase|unclassified	119.6544381181
UniRef50_UPI000395A02E: cobalamin biosynthesis protein CobD, partial	119.3823435479
UniRef50_UPI000395A02E: cobalamin biosynthesis protein CobD, partial|unclassified	119.3823435479
UniRef50_UPI0001DD0B99: aminotransferase	119.2210233415
UniRef50_UPI0001DD0B99: aminotransferase|unclassified	119.2210233415
UniRef50_Q9XDM4: L-threonine kinase	118.9713647807
UniRef50_Q9XDM4: L-threonine kinase|unclassified	118.9713647807
UniRef50_P61984: Cobalt-precorrin-5B C(1)-methyltransferase	118.5877614341
UniRef50_P61984: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	118.5877614341
UniRef50_T3Y202: Cobalamin synthesis G family protein	118.5829606246
UniRef50_T3Y202: Cobalamin synthesis G family protein|unclassified	118.5829606246
UniRef50_UPI00035C450D: hypothetical protein, partial	117.9974991977
UniRef50_UPI00035C450D: hypothetical protein, partial|unclassified	117.9974991977
UniRef50_Q9RYR8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	117.6813788772
UniRef50_Q9RYR8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	117.6813788772
UniRef50_UPI0003B767CB: cobalt-precorrin-6A synthase	117.3706920742
UniRef50_UPI0003B767CB: cobalt-precorrin-6A synthase|unclassified	117.3706920742
UniRef50_UPI0002EAD653: hypothetical protein	116.9949295948
UniRef50_UPI0002EAD653: hypothetical protein|unclassified	116.9949295948
UniRef50_UPI0004737402: cobinamide kinase, partial	116.3096355409
UniRef50_UPI0004737402: cobinamide kinase, partial|unclassified	116.3096355409
UniRef50_A9GM39: Cobalamin biosynthesis protein CobD	115.8265717725
UniRef50_A9GM39: Cobalamin biosynthesis protein CobD|unclassified	115.8265717725
UniRef50_X8FDP0: CobQ/CobB/MinD/ParA nucleotide binding domain protein	115.1912585824
UniRef50_X8FDP0: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	115.1912585824
UniRef50_Q0TRK1: Phosphoglycerate mutase family protein	114.5858617011
UniRef50_Q0TRK1: Phosphoglycerate mutase family protein|unclassified	114.5858617011
UniRef50_UPI00047413E0: cobalamin synthase, partial	114.5572057171
UniRef50_UPI00047413E0: cobalamin synthase, partial|unclassified	114.5572057171
UniRef50_G8QGW8: Cobalamin biosynthesis protein CbiG	114.1245968893
UniRef50_G8QGW8: Cobalamin biosynthesis protein CbiG|unclassified	114.1245968893
UniRef50_A0LCC7: Cobalamin (Vitamin B12) biosynthesis CbiG protein	114.0460264193
UniRef50_A0LCC7: Cobalamin (Vitamin B12) biosynthesis CbiG protein|unclassified	114.0460264193
UniRef50_L8DTC5: C-diamide synthase	113.8060836144
UniRef50_L8DTC5: C-diamide synthase|unclassified	113.8060836144
UniRef50_Q6I855: Cobyrinic acid a,c-diamide synthase (Fragment)	113.2518180286
UniRef50_Q6I855: Cobyrinic acid a,c-diamide synthase (Fragment)|unclassified	113.2518180286
UniRef50_A2BTY3: Cobalt-precorrin-5B C(1)-methyltransferase	113.1908689167
UniRef50_A2BTY3: Cobalt-precorrin-5B C(1)-methyltransferase|unclassified	113.1908689167
UniRef50_UPI000372D48D: hypothetical protein	112.6515660999
UniRef50_UPI000372D48D: hypothetical protein|unclassified	112.6515660999
UniRef50_C8SXJ4: Cobalamin biosynthesis protein CbiG	112.6316529379
UniRef50_C8SXJ4: Cobalamin biosynthesis protein CbiG|unclassified	112.6316529379
UniRef50_UPI00047A8639: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	111.6925441954
UniRef50_UPI00047A8639: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	111.6925441954
UniRef50_UPI000367F24A: hypothetical protein	111.6223925277
UniRef50_UPI000367F24A: hypothetical protein|unclassified	111.6223925277
UniRef50_Q58246	111.5759488850
UniRef50_Q58246|unclassified	111.5759488850
UniRef50_UPI0003B39F61: cobalamin biosynthesis protein CobD	111.4563066844
UniRef50_UPI0003B39F61: cobalamin biosynthesis protein CobD|unclassified	111.4563066844
UniRef50_UPI000473B850: hypothetical protein, partial	110.9626736265
UniRef50_UPI000473B850: hypothetical protein, partial|unclassified	110.9626736265
UniRef50_UPI000255E29A: cobalamin biosynthesis protein	110.3802879157
UniRef50_UPI000255E29A: cobalamin biosynthesis protein|unclassified	110.3802879157
UniRef50_UPI000473447E: hypothetical protein, partial	110.2365662684
UniRef50_UPI000473447E: hypothetical protein, partial|unclassified	110.2365662684
UniRef50_UPI0003B4BE96: cobalt-precorrin-6x reductase	110.1804011089
UniRef50_UPI0003B4BE96: cobalt-precorrin-6x reductase|unclassified	110.1804011089
UniRef50_UPI0003B4EBEF: adenosylcobinamide kinase	109.9222017329
UniRef50_UPI0003B4EBEF: adenosylcobinamide kinase|unclassified	109.9222017329
UniRef50_Q04PD9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	109.6254258717
UniRef50_Q04PD9: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	109.6254258717
UniRef50_UPI0004051507: phosphoglycerate mutase	109.4759892381
UniRef50_UPI0004051507: phosphoglycerate mutase|unclassified	109.4759892381
UniRef50_Q9KCI0: Cobyric acid synthase	109.4103307690
UniRef50_Q9KCI0: Cobyric acid synthase|unclassified	109.4103307690
UniRef50_X7VDA3: CobQ/CobB/MinD/ParA nucleotide binding domain protein	109.1667615692
UniRef50_X7VDA3: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	109.1667615692
UniRef50_Q72M35: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	109.0910554540
UniRef50_Q72M35: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	109.0910554540
UniRef50_UPI000471DA2C: hypothetical protein, partial	108.9545981266
UniRef50_UPI000471DA2C: hypothetical protein, partial|unclassified	108.9545981266
UniRef50_UPI000366D514: hypothetical protein	108.2049745525
UniRef50_UPI000366D514: hypothetical protein|unclassified	108.2049745525
UniRef50_Q8PY67: Cobalamin biosynthesis protein G	107.5200348572
UniRef50_Q8PY67: Cobalamin biosynthesis protein G|unclassified	107.5200348572
