# Gene Family	SampleCopper_homeostasis_Abundance-CPM
UniRef50_UPI00046E68CC: alcohol dehydrogenase	458.146
UniRef50_UPI00046E68CC: alcohol dehydrogenase|unclassified	458.146
UniRef50_UPI00025585B4: multicopper oxidase type 3, partial	457.659
UniRef50_UPI00025585B4: multicopper oxidase type 3, partial|unclassified	457.659
UniRef50_UPI0003B5A6A2: alcohol dehydrogenase	456.212
UniRef50_UPI0003B5A6A2: alcohol dehydrogenase|unclassified	456.212
UniRef50_UPI0003A70F0F: hypothetical protein	455.462
UniRef50_UPI0003A70F0F: hypothetical protein|unclassified	455.462
UniRef50_UPI00036BFCE5: hypothetical protein	454.775
UniRef50_UPI00036BFCE5: hypothetical protein|unclassified	454.775
UniRef50_UPI00046BD9B1	451.659
UniRef50_UPI00046BD9B1|unclassified	451.659
UniRef50_UPI00036B5C63: hypothetical protein	450.275
UniRef50_UPI00036B5C63: hypothetical protein|unclassified	450.275
UniRef50_I1XTE5: TPR-repeat-containing protein	449.793
UniRef50_I1XTE5: TPR-repeat-containing protein|unclassified	449.793
UniRef50_Q5QZP2: Cytochrome c-type biogenesis protein CcmH	448.835
UniRef50_Q5QZP2: Cytochrome c-type biogenesis protein CcmH|unclassified	448.835
UniRef50_UPI00046E9194: cytochrome C	448.82
UniRef50_UPI00046E9194: cytochrome C|unclassified	448.82
UniRef50_UPI0003650B63: hypothetical protein	448.658
UniRef50_UPI0003650B63: hypothetical protein|unclassified	448.658
UniRef50_UPI000464ACD6: hypothetical protein	448.358
UniRef50_UPI000464ACD6: hypothetical protein|unclassified	448.358
UniRef50_A3SRV9	448.048
UniRef50_A3SRV9|unclassified	448.048
UniRef50_UPI000471C2D7: hypothetical protein	447.062
UniRef50_UPI000471C2D7: hypothetical protein|unclassified	447.062
UniRef50_UPI00036935B0: hypothetical protein	446.598
UniRef50_UPI00036935B0: hypothetical protein|unclassified	446.598
UniRef50_UPI0003B7B79E: ATPase	446.484
UniRef50_UPI0003B7B79E: ATPase|unclassified	446.484
UniRef50_UPI00046625EE: cytochrome C	445.093
UniRef50_UPI00046625EE: cytochrome C|unclassified	445.093
UniRef50_UPI00047719C7: hypothetical protein	444.118
UniRef50_UPI00047719C7: hypothetical protein|unclassified	444.118
UniRef50_UPI0004789237: copper oxidase	443.693
UniRef50_UPI0004789237: copper oxidase|unclassified	443.693
UniRef50_UPI00046DB7BF: hypothetical protein	443.365
UniRef50_UPI00046DB7BF: hypothetical protein|unclassified	443.365
UniRef50_UPI0004666B9E: metal ABC transporter ATPase	442.839
UniRef50_UPI0004666B9E: metal ABC transporter ATPase|unclassified	442.839
UniRef50_D7ADU3: Menaquinol oxidoreductase complex Cbc6, cytochrome c subunit, putative, 10 heme-binding sites	441.7
UniRef50_D7ADU3: Menaquinol oxidoreductase complex Cbc6, cytochrome c subunit, putative, 10 heme-binding sites|unclassified	441.7
UniRef50_A1S255: Cytochrome c-type biogenesis protein CcmH	441.576
UniRef50_A1S255: Cytochrome c-type biogenesis protein CcmH|unclassified	441.576
UniRef50_UPI0004765858: bilirubin oxidase	440.756
UniRef50_UPI0004765858: bilirubin oxidase|unclassified	440.756
UniRef50_X1V3H3: Marine sediment metagenome DNA, contig: S12H4_S08025 (Fragment)	440.699
UniRef50_X1V3H3: Marine sediment metagenome DNA, contig: S12H4_S08025 (Fragment)|unclassified	440.699
UniRef50_X2N8X8	438.292
UniRef50_X2N8X8|unclassified	438.292
UniRef50_S6P7L2: Lead uptake protein	438.287
UniRef50_S6P7L2: Lead uptake protein|unclassified	438.287
UniRef50_K2BYC1	437.042
UniRef50_K2BYC1|unclassified	437.042
UniRef50_A7HRN2: Cytochrome C biogenesis protein	434.845
UniRef50_A7HRN2: Cytochrome C biogenesis protein|unclassified	434.845
UniRef50_UPI000479AD8C: hypothetical protein	434.175
UniRef50_UPI000479AD8C: hypothetical protein|unclassified	434.175
UniRef50_UPI000381CB3D: hypothetical protein	434.029
UniRef50_UPI000381CB3D: hypothetical protein|unclassified	434.029
UniRef50_UPI000470A880: hypothetical protein	432.368
UniRef50_UPI000470A880: hypothetical protein|unclassified	432.368
UniRef50_UPI00040677FA: ATPase	432.058
UniRef50_UPI00040677FA: ATPase|unclassified	432.058
UniRef50_UPI000370F3B4: cytochrome C	431.217
UniRef50_UPI000370F3B4: cytochrome C|unclassified	431.217
UniRef50_UPI0004682BD6: cupredoxin	430.976
UniRef50_UPI0004682BD6: cupredoxin|unclassified	430.976
UniRef50_K2JQE7: Heavy metal resistance-like protein	429.953
UniRef50_K2JQE7: Heavy metal resistance-like protein|unclassified	429.953
UniRef50_E7EQQ2: WND/140 kDa	428.734
UniRef50_E7EQQ2: WND/140 kDa|unclassified	428.734
UniRef50_UPI0002192802: cation transport ATPase, partial	428.681
UniRef50_UPI0002192802: cation transport ATPase, partial|unclassified	428.681
UniRef50_UPI000377ED42: hypothetical protein	426.018
UniRef50_UPI000377ED42: hypothetical protein|unclassified	426.018
UniRef50_UPI00029A162E: cytochrome c class I, partial	424.863
UniRef50_UPI00029A162E: cytochrome c class I, partial|unclassified	424.863
UniRef50_UPI00016A6AAA: copper resistance D domain protein, partial	423.081
UniRef50_UPI00016A6AAA: copper resistance D domain protein, partial|unclassified	423.081
UniRef50_B6JFF3: Cytochrome C biogenesis protein	422.506
UniRef50_B6JFF3: Cytochrome C biogenesis protein|unclassified	422.506
UniRef50_W1V9K6: Copper-exporting ATPase	422.063
UniRef50_W1V9K6: Copper-exporting ATPase|unclassified	422.063
UniRef50_K2AH89	420.005
UniRef50_K2AH89|unclassified	420.005
UniRef50_F9HZV7	417.327
UniRef50_F9HZV7|unclassified	417.327
UniRef50_UPI000304D965: hypothetical protein	417.172
UniRef50_UPI000304D965: hypothetical protein|unclassified	417.172
UniRef50_UPI000464AC63: carbonate dehydratase	416.521
UniRef50_UPI000464AC63: carbonate dehydratase|unclassified	416.521
UniRef50_A0A011Q9T1: Putative bifunctional cbb3-type cytochrome c oxidase subunit II/cytochrome c	416.231
UniRef50_A0A011Q9T1: Putative bifunctional cbb3-type cytochrome c oxidase subunit II/cytochrome c|unclassified	416.231
UniRef50_UPI00022609BA: copper resistance B, partial	413.41
UniRef50_UPI00022609BA: copper resistance B, partial|unclassified	413.41
UniRef50_UPI0004653FE4: cytochrome C	411.597
UniRef50_UPI0004653FE4: cytochrome C|unclassified	411.597
UniRef50_D4GJB5: CcmH	410.468
UniRef50_D4GJB5: CcmH|unclassified	410.468
UniRef50_UPI00047B6D9B: hypothetical protein, partial	410.002
UniRef50_UPI00047B6D9B: hypothetical protein, partial|unclassified	410.002
UniRef50_UPI00035DA755: hypothetical protein	409.667
UniRef50_UPI00035DA755: hypothetical protein|unclassified	409.667
UniRef50_UPI0003621C8C: hypothetical protein	409.234
UniRef50_UPI0003621C8C: hypothetical protein|unclassified	409.234
UniRef50_UPI0004726917: copper resistance protein CopB	406.826
UniRef50_UPI0004726917: copper resistance protein CopB|unclassified	406.826
UniRef50_Q4LAB2: Staphylococcus haemolyticus JCSC1435 DNA, complete genome	405.56
UniRef50_Q4LAB2: Staphylococcus haemolyticus JCSC1435 DNA, complete genome|unclassified	405.56
UniRef50_G9YHC5	405.307
UniRef50_G9YHC5|unclassified	405.307
UniRef50_UPI0004163828: hypothetical protein	404.02
UniRef50_UPI0004163828: hypothetical protein|unclassified	404.02
UniRef50_UPI000349B5D5: hypothetical protein	402.681
UniRef50_UPI000349B5D5: hypothetical protein|unclassified	402.681
UniRef50_UPI00047184DB: cytochrome C	402.656
UniRef50_UPI00047184DB: cytochrome C|unclassified	402.656
UniRef50_T2RGH6: Putative membrane protein	400.795
UniRef50_T2RGH6: Putative membrane protein|unclassified	400.795
UniRef50_UPI00036CD073: hypothetical protein	399.979
UniRef50_UPI00036CD073: hypothetical protein|unclassified	399.979
UniRef50_W1XME0: Copper-translocating P-type ATPase (Fragment)	398.27
UniRef50_W1XME0: Copper-translocating P-type ATPase (Fragment)|unclassified	398.27
UniRef50_UPI00037E56F3: hypothetical protein	397.509
UniRef50_UPI00037E56F3: hypothetical protein|unclassified	397.509
UniRef50_Q2T8D4: RC180	397.386
UniRef50_Q2T8D4: RC180|unclassified	397.386
UniRef50_UPI00047C963E: cytochrome C	396.649
UniRef50_UPI00047C963E: cytochrome C|unclassified	396.649
UniRef50_Q88FX8: Nicotinate dehydrogenase subunit B	396.074
UniRef50_Q88FX8: Nicotinate dehydrogenase subunit B|unclassified	396.074
UniRef50_M9R7T8: Cytochrome c-type biogenesis protein CcmH	395.43
UniRef50_M9R7T8: Cytochrome c-type biogenesis protein CcmH|unclassified	395.43
UniRef50_UPI00046AA3BF: hypothetical protein	395.057
UniRef50_UPI00046AA3BF: hypothetical protein|unclassified	395.057
UniRef50_A4ADY4	394.873
UniRef50_A4ADY4|unclassified	394.873
UniRef50_UPI0002196E93: uracil phosphoribosyltransferase	391.199
UniRef50_UPI0002196E93: uracil phosphoribosyltransferase|unclassified	391.199
UniRef50_Q2VZG9: Cytochrome c-type biogenesis protein cycL	390.254
UniRef50_Q2VZG9: Cytochrome c-type biogenesis protein cycL|unclassified	390.254
UniRef50_X5UUS8	388.696
UniRef50_X5UUS8|unclassified	388.696
UniRef50_F2P6I0: Cytochrome c-type biogenesis protein CcmI	387.185
UniRef50_F2P6I0: Cytochrome c-type biogenesis protein CcmI|unclassified	387.185
UniRef50_UPI0004655A9A: multicopper oxidase	386.856
UniRef50_UPI0004655A9A: multicopper oxidase|unclassified	386.856
UniRef50_G4A2P5: TPR-repeat-containing protein	385.799
UniRef50_G4A2P5: TPR-repeat-containing protein|unclassified	385.799
UniRef50_B9M2J6	384.582
UniRef50_B9M2J6|unclassified	384.582
UniRef50_UPI000365F44C: hypothetical protein, partial	381.939
UniRef50_UPI000365F44C: hypothetical protein, partial|unclassified	381.939
UniRef50_W6VW83: Cytochrome C biogenesis protein	381.674
UniRef50_W6VW83: Cytochrome C biogenesis protein|unclassified	381.674
UniRef50_UPI0002F0EFB5: hypothetical protein	380.328
UniRef50_UPI0002F0EFB5: hypothetical protein|unclassified	380.328
UniRef50_UPI0003C7FE12: cytochrome C biogenesis protein	380.315
UniRef50_UPI0003C7FE12: cytochrome C biogenesis protein|unclassified	380.315
UniRef50_U4Q5S2: Cytochrome c-type biogenesis protein, cycL	379.928
UniRef50_U4Q5S2: Cytochrome c-type biogenesis protein, cycL|unclassified	379.928
UniRef50_UPI00017458C4: multicopper oxidase, type 3	379.8
UniRef50_UPI00017458C4: multicopper oxidase, type 3|unclassified	379.8
UniRef50_N9D323	379.606
UniRef50_N9D323|unclassified	379.606
UniRef50_UPI0003B33944: ATPase	378.459
UniRef50_UPI0003B33944: ATPase|unclassified	378.459
UniRef50_UPI00040A4C56: hypothetical protein	377.609
UniRef50_UPI00040A4C56: hypothetical protein|unclassified	377.609
UniRef50_B3E4S4	377.396
UniRef50_B3E4S4|unclassified	377.396
UniRef50_UPI0003B3F198: copper resistance protein C	376.715
UniRef50_UPI0003B3F198: copper resistance protein C|unclassified	376.715
UniRef50_UPI00034D0FED: hypothetical protein	376.556
UniRef50_UPI00034D0FED: hypothetical protein|unclassified	376.556
UniRef50_UPI0004683CEE: hypothetical protein	374.491
UniRef50_UPI0004683CEE: hypothetical protein|unclassified	374.491
UniRef50_Q0VRB2: Cytochrome C biogenesis protein	374.469
UniRef50_Q0VRB2: Cytochrome C biogenesis protein|unclassified	374.469
UniRef50_W7WJ92: Outer membrane efflux protein	373.327
UniRef50_W7WJ92: Outer membrane efflux protein|unclassified	373.327
UniRef50_C7JFL9: Cytochrome c-type biogenesis protein CycH	373.042
UniRef50_C7JFL9: Cytochrome c-type biogenesis protein CycH|unclassified	373.042
UniRef50_UPI0003B6EB20: copper resistance protein CopB	372.959
UniRef50_UPI0003B6EB20: copper resistance protein CopB|unclassified	372.959
UniRef50_UPI0003F08CF3: PREDICTED: copper-transporting ATPase 1-like	372.591
UniRef50_UPI0003F08CF3: PREDICTED: copper-transporting ATPase 1-like|unclassified	372.591
UniRef50_UPI0003B69D20: copper oxidase	371.888
UniRef50_UPI0003B69D20: copper oxidase|unclassified	371.888
UniRef50_UPI0003761BBD: hypothetical protein	371.482
UniRef50_UPI0003761BBD: hypothetical protein|unclassified	371.482
UniRef50_G5QVE0: Putative transcriptional regulator	370.726
UniRef50_G5QVE0: Putative transcriptional regulator|unclassified	370.726
UniRef50_UPI000371D15E: hypothetical protein	368.937
UniRef50_UPI000371D15E: hypothetical protein|unclassified	368.937
UniRef50_UPI0003634E59: hypothetical protein	368.011
UniRef50_UPI0003634E59: hypothetical protein|unclassified	368.011
UniRef50_UPI00047111FF: hypothetical protein, partial	367.403
UniRef50_UPI00047111FF: hypothetical protein, partial|unclassified	367.403
UniRef50_UPI0003B32FF2: cytochrome C	367.289
UniRef50_UPI0003B32FF2: cytochrome C|unclassified	367.289
UniRef50_UPI00046640B3: hypothetical protein, partial	365.989
UniRef50_UPI00046640B3: hypothetical protein, partial|unclassified	365.989
UniRef50_UPI000379CCA0: hypothetical protein	365.707
UniRef50_UPI000379CCA0: hypothetical protein|unclassified	365.707
UniRef50_UPI0003621F01: hypothetical protein	363.363
UniRef50_UPI0003621F01: hypothetical protein|unclassified	363.363
UniRef50_UPI0003B62024: copper-binding protein	362.312
UniRef50_UPI0003B62024: copper-binding protein|unclassified	362.312
UniRef50_UPI000373C694: hypothetical protein	361.794
UniRef50_UPI000373C694: hypothetical protein|unclassified	361.794
UniRef50_UPI000474B45D: carbonate dehydratase	361.047
UniRef50_UPI000474B45D: carbonate dehydratase|unclassified	361.047
UniRef50_UPI0003820345: hypothetical protein	360.753
UniRef50_UPI0003820345: hypothetical protein|unclassified	360.753
UniRef50_UPI0003B71C04: copper amine oxidase	359.707
UniRef50_UPI0003B71C04: copper amine oxidase|unclassified	359.707
UniRef50_I9LEY2: Cytochrome C biogenesis protein	359.7
UniRef50_I9LEY2: Cytochrome C biogenesis protein|unclassified	359.7
UniRef50_T0D1Z1	359.448
UniRef50_T0D1Z1|unclassified	359.448
UniRef50_F8G268	359.186
UniRef50_F8G268|unclassified	359.186
UniRef50_A7HDP9	358.669
UniRef50_A7HDP9|unclassified	358.669
UniRef50_UPI00036D7893: hypothetical protein	358.556
UniRef50_UPI00036D7893: hypothetical protein|unclassified	358.556
UniRef50_UPI0004773F07: ATPase P	357.416
UniRef50_UPI0004773F07: ATPase P|unclassified	357.416
UniRef50_B7KNH6: YHS domain protein	357.075
UniRef50_B7KNH6: YHS domain protein|unclassified	357.075
UniRef50_UPI00047C00F8: hypothetical protein	357.035
UniRef50_UPI00047C00F8: hypothetical protein|unclassified	357.035
UniRef50_UPI0003B47455: hypothetical protein	355.302
UniRef50_UPI0003B47455: hypothetical protein|unclassified	355.302
UniRef50_UPI00037FF34B: hypothetical protein	355.137
UniRef50_UPI00037FF34B: hypothetical protein|unclassified	355.137
UniRef50_G0A4R3	354.634
UniRef50_G0A4R3|unclassified	354.634
UniRef50_UPI000478AA23: ATPase	354.476
UniRef50_UPI000478AA23: ATPase|unclassified	354.476
UniRef50_UPI00047B97C1: hypothetical protein	354.358
UniRef50_UPI00047B97C1: hypothetical protein|unclassified	354.358
UniRef50_M9FM06	353.305
UniRef50_M9FM06|unclassified	353.305
UniRef50_UPI0003EB3BEA: hypothetical protein	353.158
UniRef50_UPI0003EB3BEA: hypothetical protein|unclassified	353.158
UniRef50_UPI00034A3276: hypothetical protein	351.867
UniRef50_UPI00034A3276: hypothetical protein|unclassified	351.867
UniRef50_Q1LP85	350.422
UniRef50_Q1LP85|unclassified	350.422
UniRef50_R9N829: Cd2+/Zn2+-exporting ATPase	349.812
UniRef50_R9N829: Cd2+/Zn2+-exporting ATPase|unclassified	349.812
UniRef50_X7YP27: Heavy metal translocating P-type ATPase domain protein	349.336
UniRef50_X7YP27: Heavy metal translocating P-type ATPase domain protein|unclassified	349.336
UniRef50_UPI000467A181: MULTISPECIES: copper resistance protein	347.486
UniRef50_UPI000467A181: MULTISPECIES: copper resistance protein|unclassified	347.486
UniRef50_Q39UH8: Cytochrome c	345.963
UniRef50_Q39UH8: Cytochrome c|unclassified	345.963
UniRef50_UPI000185145A: putative copper-transporting ATPase, partial	345.335
UniRef50_UPI000185145A: putative copper-transporting ATPase, partial|unclassified	345.335
UniRef50_B3GCW1: PpcS (Fragment)	344.373
UniRef50_B3GCW1: PpcS (Fragment)|unclassified	344.373
UniRef50_V4QYY0: Transcriptional regulator	343.451
UniRef50_V4QYY0: Transcriptional regulator|unclassified	343.451
UniRef50_Q2S7L1: Predicted metal-binding protein	342.739
UniRef50_Q2S7L1: Predicted metal-binding protein|unclassified	342.739
UniRef50_UPI0003B60832: oxidase	342.231
UniRef50_UPI0003B60832: oxidase|unclassified	342.231
UniRef50_D6DFY7	342.173
UniRef50_D6DFY7|unclassified	342.173
UniRef50_G0ES57: Metal-binding protein	341.543
UniRef50_G0ES57: Metal-binding protein|unclassified	341.543
UniRef50_UPI00045E9A63: hypothetical protein	340.95
UniRef50_UPI00045E9A63: hypothetical protein|unclassified	340.95
UniRef50_E6RPF2: Cytochrome c-type biogenesis protein CcmH	339.961
UniRef50_E6RPF2: Cytochrome c-type biogenesis protein CcmH|unclassified	339.961
UniRef50_UPI000378F946: hypothetical protein	339.139
UniRef50_UPI000378F946: hypothetical protein|unclassified	339.139
UniRef50_T0YB45: Heavy metal translocating P-type ATPase (Fragment)	337.636
UniRef50_T0YB45: Heavy metal translocating P-type ATPase (Fragment)|unclassified	337.636
UniRef50_R0ES78: Multicopper oxidase, type 3 (Fragment)	337.581
UniRef50_R0ES78: Multicopper oxidase, type 3 (Fragment)|unclassified	337.581
UniRef50_UPI00036DF689: hypothetical protein	337.036
UniRef50_UPI00036DF689: hypothetical protein|unclassified	337.036
UniRef50_UPI0003B36EB0: cystathionine gamma-lyase	336.848
UniRef50_UPI0003B36EB0: cystathionine gamma-lyase|unclassified	336.848
UniRef50_N9VMW5	336.827
UniRef50_N9VMW5|unclassified	336.827
UniRef50_UPI00037DBEF2: hypothetical protein	336.521
UniRef50_UPI00037DBEF2: hypothetical protein|unclassified	336.521
UniRef50_B4ULB1	336.514
UniRef50_B4ULB1|unclassified	336.514
UniRef50_D4YH92	336.008
UniRef50_D4YH92|unclassified	336.008
UniRef50_A4G950	334.496
UniRef50_A4G950|unclassified	334.496
UniRef50_B3PDD6	334.457
UniRef50_B3PDD6|unclassified	334.457
UniRef50_UPI00036B88EE: hypothetical protein	334.052
UniRef50_UPI00036B88EE: hypothetical protein|unclassified	334.052
UniRef50_UPI000363A6D0: hypothetical protein	333.909
UniRef50_UPI000363A6D0: hypothetical protein|unclassified	333.909
UniRef50_UPI00037A3258: hypothetical protein	333.119
UniRef50_UPI00037A3258: hypothetical protein|unclassified	333.119
UniRef50_X0P800: CopG protein	332.808
UniRef50_X0P800: CopG protein|unclassified	332.808
UniRef50_UPI00047C5459: ATPase	332.27
UniRef50_UPI00047C5459: ATPase|unclassified	332.27
UniRef50_U3PRM5: Copper-exporting P-type ATPaseA (Fragment)	332.229
UniRef50_U3PRM5: Copper-exporting P-type ATPaseA (Fragment)|unclassified	332.229
UniRef50_UPI0004773BF2: hypothetical protein	332.098
UniRef50_UPI0004773BF2: hypothetical protein|unclassified	332.098
UniRef50_UPI000345DFA9: alcohol dehydrogenase	331.268
UniRef50_UPI000345DFA9: alcohol dehydrogenase|unclassified	331.268
UniRef50_UPI0004671E08: hypothetical protein	329.329
UniRef50_UPI0004671E08: hypothetical protein|unclassified	329.329
UniRef50_H1LIW4	329.285
UniRef50_H1LIW4|unclassified	329.285
UniRef50_K2KDN6: Cytochrome c-type biogenesis protein CcmH	328.78
UniRef50_K2KDN6: Cytochrome c-type biogenesis protein CcmH|unclassified	328.78
UniRef50_UPI000472D3A6: alcohol dehydrogenase	328.032
UniRef50_UPI000472D3A6: alcohol dehydrogenase|unclassified	328.032
UniRef50_A1TN56	327.879
UniRef50_A1TN56|unclassified	327.879
UniRef50_UPI00035C4F7A: hypothetical protein	327.446
UniRef50_UPI00035C4F7A: hypothetical protein|unclassified	327.446
UniRef50_R8ZDD2	327.415
UniRef50_R8ZDD2|unclassified	327.415
UniRef50_P18398: Nitrogen fixation protein FixI	327.04
UniRef50_P18398: Nitrogen fixation protein FixI|unclassified	327.04
UniRef50_UPI000474DF09: hypothetical protein	326.778
UniRef50_UPI000474DF09: hypothetical protein|unclassified	326.778
UniRef50_UPI00036AA4A2: hypothetical protein	326.257
UniRef50_UPI00036AA4A2: hypothetical protein|unclassified	326.257
UniRef50_UPI000478D964: hypothetical protein	326.165
UniRef50_UPI000478D964: hypothetical protein|unclassified	326.165
UniRef50_X7TE69: Putative membrane protein (Fragment)	323.812
UniRef50_X7TE69: Putative membrane protein (Fragment)|unclassified	323.812
UniRef50_UPI00021928B8: copper-translocating P-type ATPase, partial	322.712
UniRef50_UPI00021928B8: copper-translocating P-type ATPase, partial|unclassified	322.712
UniRef50_UPI0003774EFD: hypothetical protein	322.599
UniRef50_UPI0003774EFD: hypothetical protein|unclassified	322.599
UniRef50_T5LER9	321.024
UniRef50_T5LER9|unclassified	321.024
UniRef50_UPI000363D787: hypothetical protein, partial	320.165
UniRef50_UPI000363D787: hypothetical protein, partial|unclassified	320.165
UniRef50_UPI000471D1C5: hypothetical protein, partial	319.807
UniRef50_UPI000471D1C5: hypothetical protein, partial|unclassified	319.807
UniRef50_UPI0003668F04: hypothetical protein	318.849
UniRef50_UPI0003668F04: hypothetical protein|unclassified	318.849
UniRef50_B4UKI4: Fibronectin, type III	318.133
UniRef50_B4UKI4: Fibronectin, type III|unclassified	318.133
UniRef50_UPI0004699F5C: hypothetical protein	317.058
UniRef50_UPI0004699F5C: hypothetical protein|unclassified	317.058
UniRef50_W5XBR4: Putative L-threonine 3-dehydrogenase	316.518
UniRef50_W5XBR4: Putative L-threonine 3-dehydrogenase|unclassified	316.518
UniRef50_Q6G492: Cytochrome c-type biogenesis protein cycl	316.079
UniRef50_Q6G492: Cytochrome c-type biogenesis protein cycl|unclassified	316.079
UniRef50_A0YX21	315.459
UniRef50_A0YX21|unclassified	315.459
UniRef50_Q6D5Z8: Cytochrome C-type biogenesis protein	315.442
UniRef50_Q6D5Z8: Cytochrome C-type biogenesis protein|unclassified	315.442
UniRef50_UPI0003D2DA07: cytochrome c	315.045
UniRef50_UPI0003D2DA07: cytochrome c|unclassified	315.045
UniRef50_G2T933	314.524
UniRef50_G2T933|unclassified	314.524
UniRef50_UPI00016A9BBD: heavy metal sensor signal transduction histidine kinase, partial	313.835
UniRef50_UPI00016A9BBD: heavy metal sensor signal transduction histidine kinase, partial|unclassified	313.835
UniRef50_UPI00046AF1B3: hypothetical protein	313.456
UniRef50_UPI00046AF1B3: hypothetical protein|unclassified	313.456
UniRef50_X8B1P3: Putative OXIDASE domain protein	312.623
UniRef50_X8B1P3: Putative OXIDASE domain protein|unclassified	312.623
UniRef50_W1JRE4: Cytochrome c-type biogenesis protein cycH (Fragment)	312.485
UniRef50_W1JRE4: Cytochrome c-type biogenesis protein cycH (Fragment)|unclassified	312.485
UniRef50_I8T1D7: Putative exported protein	312.212
UniRef50_I8T1D7: Putative exported protein|unclassified	312.212
UniRef50_UPI000472493F: hypothetical protein	312.21
UniRef50_UPI000472493F: hypothetical protein|unclassified	312.21
UniRef50_X8A5T8: Cytochrome c oxidase caa3 assembly factor family protein	311.213
UniRef50_X8A5T8: Cytochrome c oxidase caa3 assembly factor family protein|unclassified	311.213
UniRef50_UPI00016A2917: heavy metal translocating P-type ATPase, partial	310.841
UniRef50_UPI00016A2917: heavy metal translocating P-type ATPase, partial|unclassified	310.841
UniRef50_UPI000478885D: copper resistance protein	309.505
UniRef50_UPI000478885D: copper resistance protein|unclassified	309.505
UniRef50_UPI0004677062: hypothetical protein	308.348
UniRef50_UPI0004677062: hypothetical protein|unclassified	308.348
UniRef50_W7PZY0: Metal-binding protein	308.189
UniRef50_W7PZY0: Metal-binding protein|unclassified	308.189
UniRef50_Q9ZM69: Copper-transporting ATPase	307.523
UniRef50_Q9ZM69: Copper-transporting ATPase|unclassified	307.523
UniRef50_UPI0004737CF0: hypothetical protein, partial	307.345
UniRef50_UPI0004737CF0: hypothetical protein, partial|unclassified	307.345
UniRef50_X0E0T9: Multicopper oxidase	306.56
UniRef50_X0E0T9: Multicopper oxidase|unclassified	306.56
UniRef50_UPI00047438CC: hypothetical protein, partial	306.392
UniRef50_UPI00047438CC: hypothetical protein, partial|unclassified	306.392
UniRef50_UPI0002F684DC: hypothetical protein	305.698
UniRef50_UPI0002F684DC: hypothetical protein|unclassified	305.698
UniRef50_Q9CCL1: Probable cation-transporting P-type ATPase C	305.485
UniRef50_Q9CCL1: Probable cation-transporting P-type ATPase C|unclassified	305.485
UniRef50_H0C1B5: Multicopper oxidase type 3	305.156
UniRef50_H0C1B5: Multicopper oxidase type 3|unclassified	305.156
UniRef50_K1ZST8	305.131
UniRef50_K1ZST8|unclassified	305.131
UniRef50_G7KDC7: Heavy metal P-type ATPase	304.965
UniRef50_G7KDC7: Heavy metal P-type ATPase|unclassified	304.965
UniRef50_UPI000349F41D: hypothetical protein	304.491
UniRef50_UPI000349F41D: hypothetical protein|unclassified	304.491
UniRef50_T0YRC1: ErfK/YbiS/YcfS/YnhG family protein (Fragment)	303.042
UniRef50_T0YRC1: ErfK/YbiS/YcfS/YnhG family protein (Fragment)|unclassified	303.042
UniRef50_A2SD17	301.877
UniRef50_A2SD17|unclassified	301.877
UniRef50_UPI00037F3E03: hypothetical protein	300.972
UniRef50_UPI00037F3E03: hypothetical protein|unclassified	300.972
UniRef50_A0A022GRG0: Alcohol dehydrogenase	299.68
UniRef50_A0A022GRG0: Alcohol dehydrogenase|unclassified	299.68
UniRef50_UPI0003B79E51: ATPase P	298.497
UniRef50_UPI0003B79E51: ATPase P|unclassified	298.497
UniRef50_UPI0004677679: hypothetical protein, partial	297.881
UniRef50_UPI0004677679: hypothetical protein, partial|unclassified	297.881
UniRef50_E1SMG1: Cytochrome c-type biogenesis protein CcmI	297.722
UniRef50_E1SMG1: Cytochrome c-type biogenesis protein CcmI|unclassified	297.722
UniRef50_I6ZFS3: Metal-binding protein	296.375
UniRef50_I6ZFS3: Metal-binding protein|unclassified	296.375
UniRef50_UPI00046FF101: metal ABC transporter ATPase	296.212
UniRef50_UPI00046FF101: metal ABC transporter ATPase|unclassified	296.212
UniRef50_UPI00032A2485: PREDICTED: cytochrome c-type biogenesis protein CcmH-like	295.99
UniRef50_UPI00032A2485: PREDICTED: cytochrome c-type biogenesis protein CcmH-like|unclassified	295.99
UniRef50_UPI00046340B9: copper oxidase	295.254
UniRef50_UPI00046340B9: copper oxidase|unclassified	295.254
UniRef50_S6CES4: Cytochrome c-type biogenesis protein CcmH	294.669
UniRef50_S6CES4: Cytochrome c-type biogenesis protein CcmH|unclassified	294.669
UniRef50_UPI0004734409: ATPase P	291.826
UniRef50_UPI0004734409: ATPase P|unclassified	291.826
UniRef50_UPI00036EC875: hypothetical protein, partial	291.455
UniRef50_UPI00036EC875: hypothetical protein, partial|unclassified	291.455
UniRef50_UPI00046F5B37: alcohol dehydrogenase, partial	289.595
UniRef50_UPI00046F5B37: alcohol dehydrogenase, partial|unclassified	289.595
UniRef50_UPI0003B4C1E9: cadmium transporter	289.254
UniRef50_UPI0003B4C1E9: cadmium transporter|unclassified	289.254
UniRef50_Q2BJC0: Cytochrome c-type biogenesis protein CycL	288.174
UniRef50_Q2BJC0: Cytochrome c-type biogenesis protein CycL|unclassified	288.174
UniRef50_UPI000377B8A5: hypothetical protein	288.14
UniRef50_UPI000377B8A5: hypothetical protein|unclassified	288.14
UniRef50_W1XP69: Lead, cadmium, zinc and mercury-transporting ATPase protein (Fragment)	286.705
