# Gene Family	SampleCopper_homeostasis_Abundance-RPKs
UniRef50_A0A022GRG0: Alcohol dehydrogenase|unclassified	81.6447178969
UniRef50_UPI0003B79E51: ATPase P	81.3223555987
UniRef50_UPI0003B79E51: ATPase P|unclassified	81.3223555987
UniRef50_UPI0004677679: hypothetical protein, partial	81.1545210749
UniRef50_UPI0004677679: hypothetical protein, partial|unclassified	81.1545210749
UniRef50_E1SMG1: Cytochrome c-type biogenesis protein CcmI	81.1112245858
UniRef50_E1SMG1: Cytochrome c-type biogenesis protein CcmI|unclassified	81.1112245858
UniRef50_I6ZFS3: Metal-binding protein	80.7440825525
UniRef50_I6ZFS3: Metal-binding protein|unclassified	80.7440825525
UniRef50_UPI00046FF101: metal ABC transporter ATPase	80.6996787115
UniRef50_UPI00046FF101: metal ABC transporter ATPase|unclassified	80.6996787115
UniRef50_UPI00032A2485: PREDICTED: cytochrome c-type biogenesis protein CcmH-like	80.6393795158
UniRef50_UPI00032A2485: PREDICTED: cytochrome c-type biogenesis protein CcmH-like|unclassified	80.6393795158
UniRef50_UPI00046340B9: copper oxidase	80.4388586422
UniRef50_UPI00046340B9: copper oxidase|unclassified	80.4388586422
UniRef50_S6CES4: Cytochrome c-type biogenesis protein CcmH	80.2794074601
UniRef50_S6CES4: Cytochrome c-type biogenesis protein CcmH|unclassified	80.2794074601
UniRef50_UPI0004734409: ATPase P	79.5049844732
UniRef50_UPI0004734409: ATPase P|unclassified	79.5049844732
UniRef50_UPI00036EC875: hypothetical protein, partial	79.4037144317
UniRef50_UPI00036EC875: hypothetical protein, partial|unclassified	79.4037144317
UniRef50_UPI00046F5B37: alcohol dehydrogenase, partial	78.8969280531
UniRef50_UPI00046F5B37: alcohol dehydrogenase, partial|unclassified	78.8969280531
UniRef50_UPI0003B4C1E9: cadmium transporter	78.8042540593
UniRef50_UPI0003B4C1E9: cadmium transporter|unclassified	78.8042540593
UniRef50_Q2BJC0: Cytochrome c-type biogenesis protein CycL	78.5097853396
UniRef50_Q2BJC0: Cytochrome c-type biogenesis protein CycL|unclassified	78.5097853396
UniRef50_UPI000377B8A5: hypothetical protein	78.5007894599
UniRef50_UPI000377B8A5: hypothetical protein|unclassified	78.5007894599
UniRef50_W1XP69: Lead, cadmium, zinc and mercury-transporting ATPase protein (Fragment)	78.1096529476
UniRef50_W1XP69: Lead, cadmium, zinc and mercury-transporting ATPase protein (Fragment)|unclassified	78.1096529476
UniRef50_UPI00047BD8AE: ATPase	77.8065866231
UniRef50_UPI00047BD8AE: ATPase|unclassified	77.8065866231
UniRef50_UPI0003B45253: hypothetical protein	77.7662059382
UniRef50_UPI0003B45253: hypothetical protein|unclassified	77.7662059382
UniRef50_Q2ILQ2: Cytochrome c like protein	77.6539135999
UniRef50_Q2ILQ2: Cytochrome c like protein|unclassified	77.6539135999
UniRef50_UPI0002484B95: cation-transporting ATPase, partial	77.2167279078
UniRef50_UPI0002484B95: cation-transporting ATPase, partial|unclassified	77.2167279078
UniRef50_UPI00047A3D11: hypothetical protein	77.1397198476
UniRef50_UPI00047A3D11: hypothetical protein|unclassified	77.1397198476
UniRef50_UPI000470092B: plastocyanin	77.1309452867
UniRef50_UPI000470092B: plastocyanin|unclassified	77.1309452867
UniRef50_Q4FRF2: Possible cytochrome c-type biogenesis protein	77.0388140639
UniRef50_Q4FRF2: Possible cytochrome c-type biogenesis protein|unclassified	77.0388140639
UniRef50_A6F8R7: Putative cytochrome c-type biogenesis protein	76.9371387534
UniRef50_A6F8R7: Putative cytochrome c-type biogenesis protein|unclassified	76.9371387534
UniRef50_Q487H9: Cytochrome c-type biogenesis protein CcmH	76.8644742739
UniRef50_Q487H9: Cytochrome c-type biogenesis protein CcmH|unclassified	76.8644742739
UniRef50_V9R6A2: Metal-binding protein	76.5197189540
UniRef50_V9R6A2: Metal-binding protein|unclassified	76.5197189540
UniRef50_UPI00047AC441: hypothetical protein	76.4252041815
UniRef50_UPI00047AC441: hypothetical protein|unclassified	76.4252041815
UniRef50_F7Y8J2: Cytochrome c-type biogenesis protein CcmI	75.9627185238
UniRef50_F7Y8J2: Cytochrome c-type biogenesis protein CcmI|unclassified	75.9627185238
UniRef50_UPI000237CA68: bilirubin oxidase	75.9414278748
UniRef50_UPI000237CA68: bilirubin oxidase|unclassified	75.9414278748
UniRef50_S3DJ08: Cytochrome c-type biogenesis protein CcmI	75.7464242393
UniRef50_S3DJ08: Cytochrome c-type biogenesis protein CcmI|unclassified	75.7464242393
UniRef50_Q2SE56: Cytochrome C biogenesis protein, CcmH family	75.4517978120
UniRef50_Q2SE56: Cytochrome C biogenesis protein, CcmH family|unclassified	75.4517978120
UniRef50_UPI0004039DA8: cytochrome C	75.3546101045
UniRef50_UPI0004039DA8: cytochrome C|unclassified	75.3546101045
UniRef50_I0I4T0: Putative metal-binding protein	75.2360403303
UniRef50_I0I4T0: Putative metal-binding protein|unclassified	75.2360403303
UniRef50_UPI0001D2F1D1: cytochrome C biogenesis protein	75.1706978309
UniRef50_UPI0001D2F1D1: cytochrome C biogenesis protein|unclassified	75.1706978309
UniRef50_X1G5Q3: Marine sediment metagenome DNA, contig: S03H2_L03291 (Fragment)	75.0453256018
UniRef50_X1G5Q3: Marine sediment metagenome DNA, contig: S03H2_L03291 (Fragment)|unclassified	75.0453256018
UniRef50_UPI000345A820: hypothetical protein	74.5627385729
UniRef50_UPI000345A820: hypothetical protein|unclassified	74.5627385729
UniRef50_UPI00036C8042: hypothetical protein	74.5117161602
UniRef50_UPI00036C8042: hypothetical protein|unclassified	74.5117161602
UniRef50_F0E698	74.4863687463
UniRef50_F0E698|unclassified	74.4863687463
UniRef50_UPI0002195609: penicillinase repressor	74.3576422531
UniRef50_UPI0002195609: penicillinase repressor|unclassified	74.3576422531
UniRef50_UPI00046FDE9D: hypothetical protein	74.2591806707
UniRef50_UPI00046FDE9D: hypothetical protein|unclassified	74.2591806707
UniRef50_A6SWI1	74.2206132568
UniRef50_A6SWI1|unclassified	74.2206132568
UniRef50_N0GKM8: Ccmi3 protein	74.1962737457
UniRef50_N0GKM8: Ccmi3 protein|unclassified	74.1962737457
UniRef50_Q0VLZ4: Predicted metal-binding protein	73.7800488100
UniRef50_Q0VLZ4: Predicted metal-binding protein|unclassified	73.7800488100
UniRef50_UPI0004644CCB: copper resistance protein CopB, partial	73.7230007894
UniRef50_UPI0004644CCB: copper resistance protein CopB, partial|unclassified	73.7230007894
UniRef50_F2ILZ5: Lead, cadmium, zinc and mercury transporting ATPase	73.5574140465
UniRef50_F2ILZ5: Lead, cadmium, zinc and mercury transporting ATPase|unclassified	73.5574140465
UniRef50_E6WSG4: Cytochrome c biogenesis protein	73.5367910208
UniRef50_E6WSG4: Cytochrome c biogenesis protein|unclassified	73.5367910208
UniRef50_UPI00039A6BA2: cytochrome C	73.4836709876
UniRef50_UPI00039A6BA2: cytochrome C|unclassified	73.4836709876
UniRef50_A0A024ELR2	73.3966797865
UniRef50_A0A024ELR2|unclassified	73.3966797865
UniRef50_UPI0004648F97: hypothetical protein	73.0950833948
UniRef50_UPI0004648F97: hypothetical protein|unclassified	73.0950833948
UniRef50_UPI0002377A57: Bcr/CflA subfamily drug resistance transporter, partial	72.3108412290
UniRef50_UPI0002377A57: Bcr/CflA subfamily drug resistance transporter, partial|unclassified	72.3108412290
UniRef50_UPI000262CE3B: copper-binding protein	72.2610808085
UniRef50_UPI000262CE3B: copper-binding protein|unclassified	72.2610808085
UniRef50_UPI000478AB80: hypothetical protein	72.1062664084
UniRef50_UPI000478AB80: hypothetical protein|unclassified	72.1062664084
UniRef50_E3HKU4	72.0900629289
UniRef50_E3HKU4|unclassified	72.0900629289
UniRef50_A5G518	71.8537145214
UniRef50_A5G518|unclassified	71.8537145214
UniRef50_M4Z6R5: Cytochrome c-type biogenesis protein CcmH	71.7315978538
UniRef50_M4Z6R5: Cytochrome c-type biogenesis protein CcmH|unclassified	71.7315978538
UniRef50_D3PPY1: Cytochrome C biogenesis protein	71.6461586427
UniRef50_D3PPY1: Cytochrome C biogenesis protein|unclassified	71.6461586427
UniRef50_UPI0003820A95: hypothetical protein	71.4436569232
UniRef50_UPI0003820A95: hypothetical protein|unclassified	71.4436569232
UniRef50_UPI0001BF5FCE: hypothetical protein SMAC_09913	71.3457890786
UniRef50_UPI0001BF5FCE: hypothetical protein SMAC_09913|unclassified	71.3457890786
UniRef50_X8AY97: Putative metal cation transporting P-type ATPase ctpG	71.3379918405
UniRef50_X8AY97: Putative metal cation transporting P-type ATPase ctpG|unclassified	71.3379918405
UniRef50_R6L6S9	71.1800215643
UniRef50_R6L6S9|unclassified	71.1800215643
UniRef50_Q9S7J8: Copper-transporting ATPase RAN1	71.1649032962
UniRef50_Q9S7J8: Copper-transporting ATPase RAN1|unclassified	71.1649032962
UniRef50_UPI00036C5040: hypothetical protein	71.0741422263
UniRef50_UPI00036C5040: hypothetical protein|unclassified	71.0741422263
UniRef50_B2IGU0: Cytochrome C biogenesis protein	70.8669670655
UniRef50_B2IGU0: Cytochrome C biogenesis protein|unclassified	70.8669670655
UniRef50_UPI0002EE061A: hypothetical protein	70.8029889949
UniRef50_UPI0002EE061A: hypothetical protein|unclassified	70.8029889949
UniRef50_UPI0001DD06BA: putative oxidase	70.7768473602
UniRef50_UPI0001DD06BA: putative oxidase|unclassified	70.7768473602
UniRef50_U1CRI4	70.5545203363
UniRef50_U1CRI4|unclassified	70.5545203363
UniRef50_UPI00034C3282: hypothetical protein	70.4104347452
UniRef50_UPI00034C3282: hypothetical protein|unclassified	70.4104347452
UniRef50_A4BU56	70.3571815720
UniRef50_A4BU56|unclassified	70.3571815720
UniRef50_UPI0003641597: hypothetical protein	70.3404138482
UniRef50_UPI0003641597: hypothetical protein|unclassified	70.3404138482
UniRef50_Q0FAP1: Cytochrome c maturation protein, CcmH	70.2281648184
UniRef50_Q0FAP1: Cytochrome c maturation protein, CcmH|unclassified	70.2281648184
UniRef50_UPI00046538BB: hypothetical protein, partial	70.2062069354
UniRef50_UPI00046538BB: hypothetical protein, partial|unclassified	70.2062069354
UniRef50_UPI00046806B8: cytochrome Cbb3	70.0478366773
UniRef50_UPI00046806B8: cytochrome Cbb3|unclassified	70.0478366773
UniRef50_UPI00036C1A15: hypothetical protein	69.9560092383
UniRef50_UPI00036C1A15: hypothetical protein|unclassified	69.9560092383
UniRef50_C2MCY9	69.8673235634
UniRef50_C2MCY9|unclassified	69.8673235634
UniRef50_B8JFF6: Cytochrome C family protein	69.7293948295
UniRef50_B8JFF6: Cytochrome C family protein|unclassified	69.7293948295
UniRef50_UPI0003B47E10: cytochrome C	69.6919642653
UniRef50_UPI0003B47E10: cytochrome C|unclassified	69.6919642653
UniRef50_R1H624	69.5687441093
UniRef50_R1H624|unclassified	69.5687441093
UniRef50_H1DBB7	69.5036721846
UniRef50_H1DBB7|unclassified	69.5036721846
UniRef50_B4SKD3	69.4348350640
UniRef50_B4SKD3|unclassified	69.4348350640
UniRef50_UPI00046EE221: hypothetical protein	69.4004924796
UniRef50_UPI00046EE221: hypothetical protein|unclassified	69.4004924796
UniRef50_UPI00039558BF: copper tolerance protein, partial	69.3910076131
UniRef50_UPI00039558BF: copper tolerance protein, partial|unclassified	69.3910076131
UniRef50_UPI000368BB41: hypothetical protein	69.0599546562
UniRef50_UPI000368BB41: hypothetical protein|unclassified	69.0599546562
UniRef50_I4EAN2: Predicted metal-binding protein	68.7719316336
UniRef50_I4EAN2: Predicted metal-binding protein|unclassified	68.7719316336
UniRef50_B0SK03	68.6116052331
UniRef50_B0SK03|unclassified	68.6116052331
UniRef50_UPI0002D3E883: hypothetical protein	68.5611679469
UniRef50_UPI0002D3E883: hypothetical protein|unclassified	68.5611679469
UniRef50_UPI00035C2FE4: copper oxidase	68.4917665749
UniRef50_UPI00035C2FE4: copper oxidase|unclassified	68.4917665749
UniRef50_J7QM57: Cytochrome C biogenesis protein	68.2851704259
UniRef50_J7QM57: Cytochrome C biogenesis protein|unclassified	68.2851704259
UniRef50_UPI000316DA18: hypothetical protein	68.2562178559
UniRef50_UPI000316DA18: hypothetical protein|unclassified	68.2562178559
UniRef50_X5VSP2	68.1815072494
UniRef50_X5VSP2|unclassified	68.1815072494
UniRef50_UPI0004708580: hypothetical protein	68.1231880312
UniRef50_UPI0004708580: hypothetical protein|unclassified	68.1231880312
UniRef50_Q2IE27: Cytochrome c family protein	67.9987928225
UniRef50_Q2IE27: Cytochrome c family protein|unclassified	67.9987928225
UniRef50_H2FYR1	67.8548255047
UniRef50_H2FYR1|unclassified	67.8548255047
UniRef50_F8FV47	67.7920953550
UniRef50_F8FV47|unclassified	67.7920953550
UniRef50_B1XJL2	67.6514349889
UniRef50_B1XJL2|unclassified	67.6514349889
UniRef50_UPI00037959E9: hypothetical protein	67.6142699905
UniRef50_UPI00037959E9: hypothetical protein|unclassified	67.6142699905
UniRef50_A8LTE1: Cytochrome c biogenesis protein	67.5534676769
UniRef50_A8LTE1: Cytochrome c biogenesis protein|unclassified	67.5534676769
UniRef50_UPI00047CC63D: peptidase	67.3036803178
UniRef50_UPI00047CC63D: peptidase|unclassified	67.3036803178
UniRef50_UPI0004659ECC: hypothetical protein, partial	67.1149919686
UniRef50_UPI0004659ECC: hypothetical protein, partial|unclassified	67.1149919686
UniRef50_I4CVH2: Metal-binding protein	67.0554026086
UniRef50_I4CVH2: Metal-binding protein|unclassified	67.0554026086
UniRef50_A0A051CX18	66.9352792580
UniRef50_A0A051CX18|unclassified	66.9352792580
UniRef50_UPI0003682580: membrane protein	66.7440150824
UniRef50_UPI0003682580: membrane protein|unclassified	66.7440150824
UniRef50_R4XR27: CopG protein	66.7368761739
UniRef50_R4XR27: CopG protein|unclassified	66.7368761739
UniRef50_B4UK96	66.6814440450
UniRef50_B4UK96|unclassified	66.6814440450
UniRef50_Q9SH30: Probable copper-transporting ATPase HMA5	66.1676133415
UniRef50_Q9SH30: Probable copper-transporting ATPase HMA5|unclassified	66.1676133415
UniRef50_UPI00046F0FEA: hypothetical protein, partial	66.1312251762
UniRef50_UPI00046F0FEA: hypothetical protein, partial|unclassified	66.1312251762
UniRef50_I3TV32	65.8444563668
UniRef50_I3TV32|unclassified	65.8444563668
UniRef50_UPI0003B2F804: bilirubin oxidase	65.8309494918
UniRef50_UPI0003B2F804: bilirubin oxidase|unclassified	65.8309494918
UniRef50_B8JGW4: Cytochrome c family protein	65.8195492938
UniRef50_B8JGW4: Cytochrome c family protein|unclassified	65.8195492938
UniRef50_UPI000467F958: hypothetical protein, partial	65.7029704808
UniRef50_UPI000467F958: hypothetical protein, partial|unclassified	65.7029704808
UniRef50_UPI0003FAB388: hypothetical protein	65.5356265836
UniRef50_UPI0003FAB388: hypothetical protein|unclassified	65.5356265836
UniRef50_J8V7F2	65.4605259983
UniRef50_J8V7F2|unclassified	65.4605259983
UniRef50_UPI00037E7A2D: hypothetical protein	65.2108891175
UniRef50_UPI00037E7A2D: hypothetical protein|unclassified	65.2108891175
UniRef50_UPI00045E75FC: hypothetical protein	65.1258730359
UniRef50_UPI00045E75FC: hypothetical protein|unclassified	65.1258730359
UniRef50_UPI0003B64023: copper-exporting ATPase	65.1221452680
UniRef50_UPI0003B64023: copper-exporting ATPase|unclassified	65.1221452680
UniRef50_G2SHP0	65.1017069587
UniRef50_G2SHP0|unclassified	65.1017069587
UniRef50_B5EC07: Cytochrome c	65.0613761896
UniRef50_B5EC07: Cytochrome c|unclassified	65.0613761896
UniRef50_S2RTB2: Heavy metal translocating P-type ATPase	64.9578475296
UniRef50_S2RTB2: Heavy metal translocating P-type ATPase|unclassified	64.9578475296
UniRef50_K9XUT7	64.4098888008
UniRef50_K9XUT7|unclassified	64.4098888008
UniRef50_R6K1T7	64.3846521434
UniRef50_R6K1T7|unclassified	64.3846521434
UniRef50_UPI0001A96CDA: cation-transporting ATPase	64.1107223933
UniRef50_UPI0001A96CDA: cation-transporting ATPase|unclassified	64.1107223933
UniRef50_W0SFE2	64.0593357487
UniRef50_W0SFE2|unclassified	64.0593357487
UniRef50_UPI0004626AFB: copper oxidase, partial	64.0054576025
UniRef50_UPI0004626AFB: copper oxidase, partial|unclassified	64.0054576025
UniRef50_M9IWX6: Tat (Twin-arginine translocation) pathway signal sequence domain protein	63.8918305376
UniRef50_M9IWX6: Tat (Twin-arginine translocation) pathway signal sequence domain protein|unclassified	63.8918305376
UniRef50_B8JAA6: Cytochrome c family protein	63.8629562454
UniRef50_B8JAA6: Cytochrome c family protein|unclassified	63.8629562454
UniRef50_C7JFM0: Cytochrome c-type biogenesis protein CycL	63.7621156780
UniRef50_C7JFM0: Cytochrome c-type biogenesis protein CycL|unclassified	63.7621156780
UniRef50_UPI0003820F68: hypothetical protein, partial	63.6493609263
UniRef50_UPI0003820F68: hypothetical protein, partial|unclassified	63.6493609263
UniRef50_UPI00042948EC: MULTISPECIES: copper resistance protein	63.6062893483
UniRef50_UPI00042948EC: MULTISPECIES: copper resistance protein|unclassified	63.6062893483
UniRef50_E2ZUQ3	63.4077002829
UniRef50_E2ZUQ3|unclassified	63.4077002829
UniRef50_O67205	63.3154393320
UniRef50_O67205|unclassified	63.3154393320
UniRef50_L2EVM8	63.1612427542
UniRef50_L2EVM8|unclassified	63.1612427542
UniRef50_U7RFY2	63.1497923568
UniRef50_U7RFY2|unclassified	63.1497923568
UniRef50_B8E867	63.1227824484
UniRef50_B8E867|unclassified	63.1227824484
UniRef50_UPI0001C379C3: cadmium-translocating P-type ATPase	62.6828390740
UniRef50_UPI0001C379C3: cadmium-translocating P-type ATPase|unclassified	62.6828390740
UniRef50_B0UVU8	62.5552165440
UniRef50_B0UVU8|unclassified	62.5552165440
UniRef50_UPI0003FB2EBF: hypothetical protein	62.1806971742
UniRef50_UPI0003FB2EBF: hypothetical protein|unclassified	62.1806971742
UniRef50_B5EHF0: Cytochrome c	62.1803083801
UniRef50_B5EHF0: Cytochrome c|unclassified	62.1803083801
UniRef50_V5TXH4	62.1212655714
UniRef50_V5TXH4|unclassified	62.1212655714
UniRef50_H9WPW7	62.0341428871
UniRef50_H9WPW7|unclassified	62.0341428871
UniRef50_K8DCT2	61.9986896365
UniRef50_K8DCT2|unclassified	61.9986896365
UniRef50_A0A031GZD6: CycL protein	61.5329105819
UniRef50_A0A031GZD6: CycL protein|unclassified	61.5329105819
UniRef50_A4VHY3: Predicted metal-binding protein	61.4304976823
UniRef50_A4VHY3: Predicted metal-binding protein|unclassified	61.4304976823
UniRef50_V5DVB7	61.3632816336
UniRef50_V5DVB7|unclassified	61.3632816336
UniRef50_J9GSB4: Heavy metal translocating P-type ATPase (Fragment)	61.2442954040
UniRef50_J9GSB4: Heavy metal translocating P-type ATPase (Fragment)|unclassified	61.2442954040
UniRef50_UPI0004713F98: cytochrome C	61.2219082806
UniRef50_UPI0004713F98: cytochrome C|unclassified	61.2219082806
UniRef50_UPI000312DDE7: hypothetical protein	61.0853889591
UniRef50_UPI000312DDE7: hypothetical protein|unclassified	61.0853889591
UniRef50_UPI0003773685: hypothetical protein	61.0617793554
UniRef50_UPI0003773685: hypothetical protein|unclassified	61.0617793554
UniRef50_UPI0003A2B68C: transporter	61.0022299586
UniRef50_UPI0003A2B68C: transporter|unclassified	61.0022299586
UniRef50_UPI00038081CE: hypothetical protein	60.9635280757
UniRef50_UPI00038081CE: hypothetical protein|unclassified	60.9635280757
UniRef50_A7IFV7: Tetratricopeptide TPR_4	60.9625076125
UniRef50_A7IFV7: Tetratricopeptide TPR_4|unclassified	60.9625076125
UniRef50_H1RRK9: Twin-arginine translocation pathway signal	60.8057039036
UniRef50_H1RRK9: Twin-arginine translocation pathway signal|unclassified	60.8057039036
UniRef50_UPI00047BC46B: penicillinase repressor	60.7660843413
UniRef50_UPI00047BC46B: penicillinase repressor|unclassified	60.7660843413
UniRef50_R7EIJ5	60.4941758117
UniRef50_R7EIJ5|unclassified	60.4941758117
UniRef50_A5G7Y3	60.4534494845
UniRef50_A5G7Y3|unclassified	60.4534494845
UniRef50_K8FFN7	60.4425157612
UniRef50_K8FFN7|unclassified	60.4425157612
UniRef50_UPI0003662F20: hypothetical protein	60.4220064712
UniRef50_UPI0003662F20: hypothetical protein|unclassified	60.4220064712
UniRef50_D4X6Q3	59.9911920053
UniRef50_D4X6Q3|unclassified	59.9911920053
UniRef50_K9YBW5	59.9119882781
UniRef50_K9YBW5|unclassified	59.9119882781
UniRef50_UPI00039E69F7: multidrug transporter	59.5897713254
UniRef50_UPI00039E69F7: multidrug transporter|unclassified	59.5897713254
UniRef50_UPI000471F435: hypothetical protein, partial	59.4234406077
UniRef50_UPI000471F435: hypothetical protein, partial|unclassified	59.4234406077
UniRef50_UPI0003680FE3: hypothetical protein	59.2041055325
UniRef50_UPI0003680FE3: hypothetical protein|unclassified	59.2041055325
UniRef50_K2AF18	59.1366712727
UniRef50_K2AF18|unclassified	59.1366712727
UniRef50_F2EPV4: Cytochrome c-type biogenesis protein CcmI	59.0923150111
UniRef50_F2EPV4: Cytochrome c-type biogenesis protein CcmI|unclassified	59.0923150111
UniRef50_UPI00035D60D6: hypothetical protein	58.9428443941
UniRef50_UPI00035D60D6: hypothetical protein|unclassified	58.9428443941
UniRef50_UPI000365DCFC: hypothetical protein	58.9149968784
UniRef50_UPI000365DCFC: hypothetical protein|unclassified	58.9149968784
UniRef50_UPI000380DFC9: hypothetical protein, partial	58.8814100445
UniRef50_UPI000380DFC9: hypothetical protein, partial|unclassified	58.8814100445
UniRef50_B1XVV4: Cytochrome c-type biogenesis protein CcmI	58.5899473944
UniRef50_B1XVV4: Cytochrome c-type biogenesis protein CcmI|unclassified	58.5899473944
UniRef50_Q6XCG9: Uvs016	58.5752653616
UniRef50_Q6XCG9: Uvs016|unclassified	58.5752653616
UniRef50_C7RVX5	58.5440378200
UniRef50_C7RVX5|unclassified	58.5440378200
UniRef50_D5BXR8: Cytochrome C biogenesis protein	58.4448087273
UniRef50_D5BXR8: Cytochrome C biogenesis protein|unclassified	58.4448087273
UniRef50_UPI000262A87D: heavy metal sensor histidine kinase	58.3046061506
UniRef50_UPI000262A87D: heavy metal sensor histidine kinase|unclassified	58.3046061506
UniRef50_UPI0004670CB3: hypothetical protein, partial	58.2231601390
UniRef50_UPI0004670CB3: hypothetical protein, partial|unclassified	58.2231601390
UniRef50_A0A023NP74: Cytochrome C biogenesis protein	58.1959608663
UniRef50_A0A023NP74: Cytochrome C biogenesis protein|unclassified	58.1959608663
UniRef50_UPI0003B4658C: hypothetical protein	58.1443560202
UniRef50_UPI0003B4658C: hypothetical protein|unclassified	58.1443560202
UniRef50_UPI000395ADFB: hypothetical protein, partial	58.1068513773
UniRef50_UPI000395ADFB: hypothetical protein, partial|unclassified	58.1068513773
UniRef50_O30047	58.0127228884
UniRef50_O30047|unclassified	58.0127228884
UniRef50_UPI0003B4526C: cytochrome C biogenesis protein	57.9306675864
UniRef50_UPI0003B4526C: cytochrome C biogenesis protein|unclassified	57.9306675864
UniRef50_UPI000416A8DF: cytochrome C	57.8608168358
UniRef50_UPI000416A8DF: cytochrome C|unclassified	57.8608168358
UniRef50_G7ZIT1	57.8052893016
UniRef50_G7ZIT1|unclassified	57.8052893016
UniRef50_F0G668: Copper resistance D domain-containing protein (Fragment)	57.6836650444
UniRef50_F0G668: Copper resistance D domain-containing protein (Fragment)|unclassified	57.6836650444
UniRef50_A8RK97: SilP (Fragment)	57.4653478193
UniRef50_A8RK97: SilP (Fragment)|unclassified	57.4653478193
UniRef50_C0B0R1: Copper resistance protein D	57.4599509347
UniRef50_C0B0R1: Copper resistance protein D|unclassified	57.4599509347
UniRef50_UPI00036B6931: hypothetical protein	57.4566341710
UniRef50_UPI00036B6931: hypothetical protein|unclassified	57.4566341710
UniRef50_UPI0003B6DA72: cytochrome C	57.4547196535
UniRef50_UPI0003B6DA72: cytochrome C|unclassified	57.4547196535
UniRef50_W4HLJ9	57.3925960168
UniRef50_W4HLJ9|unclassified	57.3925960168
UniRef50_UPI000426E0D8: hypothetical protein	57.0968476775
UniRef50_UPI000426E0D8: hypothetical protein|unclassified	57.0968476775
UniRef50_UPI0002FE521F: hypothetical protein	56.9329965433
UniRef50_UPI0002FE521F: hypothetical protein|unclassified	56.9329965433
UniRef50_UPI0004786584: hypothetical protein	56.8290764266
UniRef50_UPI0004786584: hypothetical protein|unclassified	56.8290764266
UniRef50_M1RUI6	56.7830220956
UniRef50_M1RUI6|unclassified	56.7830220956
UniRef50_UPI00034A53CB: hypothetical protein	56.7073425611
UniRef50_UPI00034A53CB: hypothetical protein|unclassified	56.7073425611
UniRef50_G4SWG9: Cytochrome C biogenesis protein	56.5958769304
UniRef50_G4SWG9: Cytochrome C biogenesis protein|unclassified	56.5958769304
UniRef50_UPI0003748545: hypothetical protein	56.5222881663
UniRef50_UPI0003748545: hypothetical protein|unclassified	56.5222881663
UniRef50_UPI0004715B49: hypothetical protein	56.4416473079
UniRef50_UPI0004715B49: hypothetical protein|unclassified	56.4416473079
UniRef50_I8U7W0: Formate-dependent nitrite reductase complex subunit NrfF	56.3864039701
UniRef50_I8U7W0: Formate-dependent nitrite reductase complex subunit NrfF|unclassified	56.3864039701
UniRef50_K9XZE2	56.2610103550
UniRef50_K9XZE2|unclassified	56.2610103550
UniRef50_A5IG52: C-type cytochrome biogenesis protein CcmH	55.9844385539
UniRef50_A5IG52: C-type cytochrome biogenesis protein CcmH|unclassified	55.9844385539
UniRef50_D5TB06: Cytochrome c-type biogenesis protein CcmH	55.7725203845
UniRef50_D5TB06: Cytochrome c-type biogenesis protein CcmH|unclassified	55.7725203845
UniRef50_UPI0004657460: hypothetical protein	55.6326980839
UniRef50_UPI0004657460: hypothetical protein|unclassified	55.6326980839
UniRef50_UPI0003123521: hypothetical protein	55.3237665748
UniRef50_UPI0003123521: hypothetical protein|unclassified	55.3237665748
UniRef50_UPI00035D9A8A: hypothetical protein, partial	55.2928514715
UniRef50_UPI00035D9A8A: hypothetical protein, partial|unclassified	55.2928514715
UniRef50_UPI0004722BEF: C cytochrome	55.1832468777
UniRef50_UPI0004722BEF: C cytochrome|unclassified	55.1832468777
UniRef50_A1K9R0: Putativemetal ion efflux outer membrane protein	55.1688129045
UniRef50_A1K9R0: Putativemetal ion efflux outer membrane protein|unclassified	55.1688129045
UniRef50_C4ZNI3	55.1409410924
UniRef50_C4ZNI3|unclassified	55.1409410924
UniRef50_W4T183	55.1145569926
UniRef50_W4T183|unclassified	55.1145569926
UniRef50_UPI0004704519: hypothetical protein	55.0857619909
UniRef50_UPI0004704519: hypothetical protein|unclassified	55.0857619909
UniRef50_UPI000468FB56: ATPase, partial	55.0112740765
UniRef50_UPI000468FB56: ATPase, partial|unclassified	55.0112740765
UniRef50_M3DUP3: CopG protein	54.9207014695
UniRef50_M3DUP3: CopG protein|unclassified	54.9207014695
UniRef50_C7RW16	54.8722693617
UniRef50_C7RW16|unclassified	54.8722693617
UniRef50_B3T6D0: Putative YHS domain protein	54.8370968778
UniRef50_B3T6D0: Putative YHS domain protein|unclassified	54.8370968778
UniRef50_A0A023VBL0: Cytochrome C biogenesis protein	54.8032743869
UniRef50_A0A023VBL0: Cytochrome C biogenesis protein|unclassified	54.8032743869
UniRef50_S3E0I5: Cytochrome C biogenesis protein	54.7915146677
UniRef50_S3E0I5: Cytochrome C biogenesis protein|unclassified	54.7915146677
UniRef50_UPI00047BBC71: hypothetical protein, partial	54.6501679837
UniRef50_UPI00047BBC71: hypothetical protein, partial|unclassified	54.6501679837
UniRef50_A7HBD0: Cytochrome C family protein	54.6360533223
UniRef50_A7HBD0: Cytochrome C family protein|unclassified	54.6360533223
UniRef50_X7ZF08: Cytochrome c oxidase caa3 assembly factor family protein	54.3990100621
UniRef50_X7ZF08: Cytochrome c oxidase caa3 assembly factor family protein|unclassified	54.3990100621
