# Gene Family	SampleArginine_Biosynthesis_extended_Abundance-RPKs
UniRef50_Q59928: Acetylornithine aminotransferase	454.9918915918
UniRef50_Q59928: Acetylornithine aminotransferase|unclassified	454.9918915918
UniRef50_Q8EVF5: Ornithine carbamoyltransferase, catabolic	453.9278820843
UniRef50_Q8EVF5: Ornithine carbamoyltransferase, catabolic|unclassified	453.9278820843
UniRef50_Q8G5F0: Arginine biosynthesis bifunctional protein ArgJ	452.4099351456
UniRef50_Q8G5F0: Arginine biosynthesis bifunctional protein ArgJ|unclassified	452.4099351456
UniRef50_P36839: Acetylornithine aminotransferase	451.2014112158
UniRef50_P36839: Acetylornithine aminotransferase|unclassified	451.2014112158
UniRef50_UPI000473F7AC: argininosuccinate synthase, partial	450.7635887684
UniRef50_UPI000473F7AC: argininosuccinate synthase, partial|unclassified	450.7635887684
UniRef50_UPI0003713B0C: hypothetical protein	445.9189510118
UniRef50_UPI0003713B0C: hypothetical protein|unclassified	445.9189510118
UniRef50_H4FCK9	445.7520132001
UniRef50_H4FCK9|unclassified	445.7520132001
UniRef50_Q8DHN4: Arginine biosynthesis bifunctional protein ArgJ	440.2448868838
UniRef50_Q8DHN4: Arginine biosynthesis bifunctional protein ArgJ|unclassified	440.2448868838
UniRef50_B0TL87: Acetylglutamate kinase	440.0986448473
UniRef50_B0TL87: Acetylglutamate kinase|unclassified	440.0986448473
UniRef50_Q97GH6: Arginine biosynthesis bifunctional protein ArgJ 1	439.5824499065
UniRef50_Q97GH6: Arginine biosynthesis bifunctional protein ArgJ 1|unclassified	439.5824499065
UniRef50_B0JXE8: N-acetyl-gamma-glutamyl-phosphate reductase	438.6624703642
UniRef50_B0JXE8: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	438.6624703642
UniRef50_UPI000289F77E: N-acetyl-gamma-glutamyl-phosphate reductase, partial	438.4645291929
UniRef50_UPI000289F77E: N-acetyl-gamma-glutamyl-phosphate reductase, partial|unclassified	438.4645291929
UniRef50_UPI0004743212: argininosuccinate synthase, partial	436.6110115319
UniRef50_UPI0004743212: argininosuccinate synthase, partial|unclassified	436.6110115319
UniRef50_Q8KA25: Succinyl-diaminopimelate desuccinylase	436.0973564715
UniRef50_Q8KA25: Succinyl-diaminopimelate desuccinylase|unclassified	436.0973564715
UniRef50_Q97GH9: Acetylornithine aminotransferase	430.3316285236
UniRef50_Q97GH9: Acetylornithine aminotransferase|unclassified	430.3316285236
UniRef50_Q4FRK9: N-acetyl-gamma-glutamyl-phosphate reductase	430.2622797033
UniRef50_Q4FRK9: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	430.2622797033
UniRef50_A1BG31: Argininosuccinate lyase	429.7333517722
UniRef50_A1BG31: Argininosuccinate lyase|unclassified	429.7333517722
UniRef50_A0LUC3: Acetylglutamate kinase	429.2321423360
UniRef50_A0LUC3: Acetylglutamate kinase|unclassified	429.2321423360
UniRef50_O27322: Argininosuccinate synthase	426.5097334908
UniRef50_O27322: Argininosuccinate synthase|unclassified	426.5097334908
UniRef50_Q0C4M2: Ornithine carbamoyltransferase	426.4798806595
UniRef50_Q0C4M2: Ornithine carbamoyltransferase|unclassified	426.4798806595
UniRef50_B8HGC5: Acetylglutamate kinase	424.7834396978
UniRef50_B8HGC5: Acetylglutamate kinase|unclassified	424.7834396978
UniRef50_Q7VFF8: Argininosuccinate lyase	424.1319714500
UniRef50_Q7VFF8: Argininosuccinate lyase|unclassified	424.1319714500
UniRef50_UPI00046FFC89: N-acetylglutamate synthase	423.3147825928
UniRef50_UPI00046FFC89: N-acetylglutamate synthase|unclassified	423.3147825928
UniRef50_UPI000473DE2A: argininosuccinate lyase, partial	422.4389980243
UniRef50_UPI000473DE2A: argininosuccinate lyase, partial|unclassified	422.4389980243
UniRef50_UPI000473C8FF: hypothetical protein, partial	421.8771300233
UniRef50_UPI000473C8FF: hypothetical protein, partial|unclassified	421.8771300233
UniRef50_A3DL27: Ornithine carbamoyltransferase	420.6504164648
UniRef50_A3DL27: Ornithine carbamoyltransferase|unclassified	420.6504164648
UniRef50_Q828A3: Acetylornithine aminotransferase	420.4117409161
UniRef50_Q828A3: Acetylornithine aminotransferase|unclassified	420.4117409161
UniRef50_P62061: Arginine biosynthesis bifunctional protein ArgJ	417.7768721594
UniRef50_P62061: Arginine biosynthesis bifunctional protein ArgJ|unclassified	417.7768721594
UniRef50_A1B0E7: Acetylglutamate kinase	416.1977012237
UniRef50_A1B0E7: Acetylglutamate kinase|unclassified	416.1977012237
UniRef50_Q9CC12: Acetylornithine aminotransferase	413.6715510777
UniRef50_Q9CC12: Acetylornithine aminotransferase|unclassified	413.6715510777
UniRef50_UPI00046CC059: acetylornithine aminotransferase	413.4076799830
UniRef50_UPI00046CC059: acetylornithine aminotransferase|unclassified	413.4076799830
UniRef50_Q9JW21: Amino-acid acetyltransferase	412.9357599099
UniRef50_Q9JW21: Amino-acid acetyltransferase|unclassified	412.9357599099
UniRef50_Q2RRM4: N-acetyl-gamma-glutamyl-phosphate reductase	411.2841177314
UniRef50_Q2RRM4: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	411.2841177314
UniRef50_UPI0003B56EAA: N-acetyltransferase GCN5	411.1645120309
UniRef50_UPI0003B56EAA: N-acetyltransferase GCN5|unclassified	411.1645120309
UniRef50_O08319: Arginine biosynthesis bifunctional protein ArgJ	410.7332622538
UniRef50_O08319: Arginine biosynthesis bifunctional protein ArgJ|unclassified	410.7332622538
UniRef50_Q71Z76: N-acetyl-gamma-glutamyl-phosphate reductase	410.1126515672
UniRef50_Q71Z76: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	410.1126515672
UniRef50_UPI00036EE739: acetylornithine aminotransferase, partial	409.6327722989
UniRef50_UPI00036EE739: acetylornithine aminotransferase, partial|unclassified	409.6327722989
UniRef50_Q8CUM9: Acetylornithine aminotransferase	409.1884583198
UniRef50_Q8CUM9: Acetylornithine aminotransferase|unclassified	409.1884583198
UniRef50_UPI0001BCEE1D: peptide transporter	404.7141693530
UniRef50_UPI0001BCEE1D: peptide transporter|unclassified	404.7141693530
UniRef50_Q5QX02: N-acetyl-gamma-glutamyl-phosphate reductase	403.6786335216
UniRef50_Q5QX02: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	403.6786335216
UniRef50_V4QZ53	402.1812120547
UniRef50_V4QZ53|unclassified	402.1812120547
UniRef50_UPI0003B46AF6: succinyl-diaminopimelate desuccinylase, partial	402.0879943479
UniRef50_UPI0003B46AF6: succinyl-diaminopimelate desuccinylase, partial|unclassified	402.0879943479
UniRef50_UPI0003A6F8C4: hypothetical protein	400.6251740645
UniRef50_UPI0003A6F8C4: hypothetical protein|unclassified	400.6251740645
UniRef50_UPI00044199D7: PREDICTED: acetylglutamate kinase, chloroplastic-like	400.2376629613
UniRef50_UPI00044199D7: PREDICTED: acetylglutamate kinase, chloroplastic-like|unclassified	400.2376629613
UniRef50_A0RUE9: Ornithine carbamoyltransferase	398.7156759568
UniRef50_A0RUE9: Ornithine carbamoyltransferase|unclassified	398.7156759568
UniRef50_UPI00023756D4: N-acetyl-gamma-glutamyl-phosphate reductase, partial	395.0076553091
UniRef50_UPI00023756D4: N-acetyl-gamma-glutamyl-phosphate reductase, partial|unclassified	395.0076553091
UniRef50_UPI0002556085: N-acetylglutamate synthase	394.4932286214
UniRef50_UPI0002556085: N-acetylglutamate synthase|unclassified	394.4932286214
UniRef50_UPI0002E88C65: acetylornithine aminotransferase	394.2490033407
UniRef50_UPI0002E88C65: acetylornithine aminotransferase|unclassified	394.2490033407
UniRef50_UPI00029AE890: succinyl-diaminopimelate desuccinylase	389.2358798568
UniRef50_UPI00029AE890: succinyl-diaminopimelate desuccinylase|unclassified	389.2358798568
UniRef50_A7H771: Argininosuccinate lyase	388.8225049841
UniRef50_A7H771: Argininosuccinate lyase|unclassified	388.8225049841
UniRef50_Q8PK25: N-acetylornithine carbamoyltransferase	384.9665931307
UniRef50_Q8PK25: N-acetylornithine carbamoyltransferase|unclassified	384.9665931307
UniRef50_Q882K8: Acetylornithine aminotransferase 2	384.7470969365
UniRef50_Q882K8: Acetylornithine aminotransferase 2|unclassified	384.7470969365
UniRef50_UPI0003B4FDE9: N-acetylglutamate synthase	382.5051391054
UniRef50_UPI0003B4FDE9: N-acetylglutamate synthase|unclassified	382.5051391054
UniRef50_Q3ASI6: Arginine biosynthesis bifunctional protein ArgJ	381.1093343195
UniRef50_Q3ASI6: Arginine biosynthesis bifunctional protein ArgJ|unclassified	381.1093343195
UniRef50_Q3Z731: Arginine biosynthesis bifunctional protein ArgJ	379.9600413289
UniRef50_Q3Z731: Arginine biosynthesis bifunctional protein ArgJ|unclassified	379.9600413289
UniRef50_UPI0002D44581: hypothetical protein	376.4173930873
UniRef50_UPI0002D44581: hypothetical protein|unclassified	376.4173930873
UniRef50_A3DGK6: Acetylglutamate kinase	371.8659775846
UniRef50_A3DGK6: Acetylglutamate kinase|unclassified	371.8659775846
UniRef50_Q7VAW6: Ornithine carbamoyltransferase	371.4419753409
UniRef50_Q7VAW6: Ornithine carbamoyltransferase|unclassified	371.4419753409
UniRef50_P75473: Ornithine carbamoyltransferase, catabolic	370.7430168760
UniRef50_P75473: Ornithine carbamoyltransferase, catabolic|unclassified	370.7430168760
UniRef50_UPI0002557ACB: N-acetylglutamate synthase	368.5407251801
UniRef50_UPI0002557ACB: N-acetylglutamate synthase|unclassified	368.5407251801
UniRef50_Q9ZJ10: Acetylornithine aminotransferase (Fragment)	367.8769573122
UniRef50_Q9ZJ10: Acetylornithine aminotransferase (Fragment)|unclassified	367.8769573122
UniRef50_B9JVB9: N-acetyl-gamma-glutamyl-phosphate reductase	367.7696462349
UniRef50_B9JVB9: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	367.7696462349
UniRef50_Q3YS21: Acetylglutamate kinase	365.5415671334
UniRef50_Q3YS21: Acetylglutamate kinase|unclassified	365.5415671334
UniRef50_UPI000474C292: hypothetical protein	364.8942541528
UniRef50_UPI000474C292: hypothetical protein|unclassified	364.8942541528
UniRef50_C4Z4C2: N-acetyl-gamma-glutamyl-phosphate reductase	363.3814540557
UniRef50_C4Z4C2: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	363.3814540557
UniRef50_Q0BUB7: Succinyl-diaminopimelate desuccinylase	362.4675024474
UniRef50_Q0BUB7: Succinyl-diaminopimelate desuccinylase|unclassified	362.4675024474
UniRef50_Q7VHJ0: Ornithine carbamoyltransferase	361.6564587155
UniRef50_Q7VHJ0: Ornithine carbamoyltransferase|unclassified	361.6564587155
UniRef50_A0AJ40: N-acetyl-gamma-glutamyl-phosphate reductase	361.3433519123
UniRef50_A0AJ40: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	361.3433519123
UniRef50_UPI0003B64C9D: N-acetylglutamate synthase, partial	358.3379891585
UniRef50_UPI0003B64C9D: N-acetylglutamate synthase, partial|unclassified	358.3379891585
UniRef50_UPI0004776DDA: argininosuccinate lyase	357.7065799577
UniRef50_UPI0004776DDA: argininosuccinate lyase|unclassified	357.7065799577
UniRef50_A0L3N2: Succinyl-diaminopimelate desuccinylase	357.4815108403
UniRef50_A0L3N2: Succinyl-diaminopimelate desuccinylase|unclassified	357.4815108403
UniRef50_Q7VAS9: Acetylornithine aminotransferase	356.4690090051
UniRef50_Q7VAS9: Acetylornithine aminotransferase|unclassified	356.4690090051
UniRef50_UPI00036F52C0: acetylornithine aminotransferase	355.7734159079
UniRef50_UPI00036F52C0: acetylornithine aminotransferase|unclassified	355.7734159079
UniRef50_C0Z6T1: N-acetyl-gamma-glutamyl-phosphate reductase	353.9420989832
UniRef50_C0Z6T1: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	353.9420989832
UniRef50_Q4A0N2: Ornithine aminotransferase 1	349.4019589770
UniRef50_Q4A0N2: Ornithine aminotransferase 1|unclassified	349.4019589770
UniRef50_UPI00037FA636: hypothetical protein, partial	348.1737387830
UniRef50_UPI00037FA636: hypothetical protein, partial|unclassified	348.1737387830
UniRef50_R5UT50	345.1173956178
UniRef50_R5UT50|unclassified	345.1173956178
UniRef50_UPI0003D3D821: hypothetical protein, partial	342.7242669068
UniRef50_UPI0003D3D821: hypothetical protein, partial|unclassified	342.7242669068
UniRef50_Q3KCB2: Argininosuccinate lyase 1	342.5000989448
UniRef50_Q3KCB2: Argininosuccinate lyase 1|unclassified	342.5000989448
UniRef50_Q9PIR7: Acetylornithine aminotransferase	342.4153089884
UniRef50_Q9PIR7: Acetylornithine aminotransferase|unclassified	342.4153089884
UniRef50_A9KHN3: Acetylglutamate kinase	340.8204087188
UniRef50_A9KHN3: Acetylglutamate kinase|unclassified	340.8204087188
UniRef50_B7R643	339.0272605271
UniRef50_B7R643|unclassified	339.0272605271
UniRef50_Q7VMS5: Acetylornithine aminotransferase	336.6817664022
UniRef50_Q7VMS5: Acetylornithine aminotransferase|unclassified	336.6817664022
UniRef50_U1XY72	336.5218243519
UniRef50_U1XY72|unclassified	336.5218243519
UniRef50_UPI00036B99A9: hypothetical protein	335.7042090180
UniRef50_UPI00036B99A9: hypothetical protein|unclassified	335.7042090180
UniRef50_Q75FU1: Acetylglutamate kinase	335.2617779934
UniRef50_Q75FU1: Acetylglutamate kinase|unclassified	335.2617779934
UniRef50_UPI000379ABE9: hypothetical protein	334.0367110128
UniRef50_UPI000379ABE9: hypothetical protein|unclassified	334.0367110128
UniRef50_A9KMB5: Arginine repressor	332.8745974455
UniRef50_A9KMB5: Arginine repressor|unclassified	332.8745974455
UniRef50_F2AEE8	332.5494382251
UniRef50_F2AEE8|unclassified	332.5494382251
UniRef50_UPI000474A004: acetylornithine carbamoyltransferase, partial	330.4194149272
UniRef50_UPI000474A004: acetylornithine carbamoyltransferase, partial|unclassified	330.4194149272
UniRef50_Q6L135: Ornithine carbamoyltransferase	328.4165405101
UniRef50_Q6L135: Ornithine carbamoyltransferase|unclassified	328.4165405101
UniRef50_Q9LEU8: Argininosuccinate lyase, chloroplastic	327.7096582058
UniRef50_Q9LEU8: Argininosuccinate lyase, chloroplastic|unclassified	327.7096582058
UniRef50_Q8UG00: N-acetyl-gamma-glutamyl-phosphate reductase	327.6668087081
UniRef50_Q8UG00: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	327.6668087081
UniRef50_UPI0004659DEB: acetylornithine aminotransferase, partial	326.5858244800
UniRef50_UPI0004659DEB: acetylornithine aminotransferase, partial|unclassified	326.5858244800
UniRef50_Q97C32: Ornithine carbamoyltransferase, catabolic	326.4262318841
UniRef50_Q97C32: Ornithine carbamoyltransferase, catabolic|unclassified	326.4262318841
UniRef50_A5FEC6: N-acetyl-gamma-glutamyl-phosphate reductase	325.9887699418
UniRef50_A5FEC6: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	325.9887699418
UniRef50_UPI000050FBC4: acetylornithine deacetylase	325.7385049823
UniRef50_UPI000050FBC4: acetylornithine deacetylase|unclassified	325.7385049823
UniRef50_Q5LIQ2: Acetylglutamate kinase	324.5499684604
UniRef50_Q5LIQ2: Acetylglutamate kinase|unclassified	324.5499684604
UniRef50_A0A028FB63	323.8362520954
UniRef50_A0A028FB63|unclassified	323.8362520954
UniRef50_Q7MAE6: Acetylornithine aminotransferase	323.0893727671
UniRef50_Q7MAE6: Acetylornithine aminotransferase|unclassified	323.0893727671
UniRef50_UPI00047396CA: hypothetical protein, partial	322.5815876180
UniRef50_UPI00047396CA: hypothetical protein, partial|unclassified	322.5815876180
UniRef50_Q1IXY5: N-acetyl-gamma-glutamyl-phosphate reductase	320.9069431309
UniRef50_Q1IXY5: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	320.9069431309
UniRef50_UPI0003C138DF: PREDICTED: probable carboxypeptidase ATEG_02905-like	319.7506437133
UniRef50_UPI0003C138DF: PREDICTED: probable carboxypeptidase ATEG_02905-like|unclassified	319.7506437133
UniRef50_B2A8E3: Argininosuccinate lyase	318.6914073433
UniRef50_B2A8E3: Argininosuccinate lyase|unclassified	318.6914073433
UniRef50_UPI00036A3350: hypothetical protein, partial	316.2212497560
UniRef50_UPI00036A3350: hypothetical protein, partial|unclassified	316.2212497560
UniRef50_UPI000375690E: hypothetical protein, partial	316.0621126388
UniRef50_UPI000375690E: hypothetical protein, partial|unclassified	316.0621126388
UniRef50_A5CVH0: N-acetyl-gamma-glutamyl-phosphate reductase	315.0734756396
UniRef50_A5CVH0: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	315.0734756396
UniRef50_Q058B2: Succinyl-diaminopimelate desuccinylase	312.4714209913
UniRef50_Q058B2: Succinyl-diaminopimelate desuccinylase|unclassified	312.4714209913
UniRef50_UPI0002FEFEE4: hypothetical protein	311.0824638389
UniRef50_UPI0002FEFEE4: hypothetical protein|unclassified	311.0824638389
UniRef50_B2I7K9: N-acetyl-gamma-glutamyl-phosphate reductase	309.5801362771
UniRef50_B2I7K9: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	309.5801362771
UniRef50_Q2J862: Acetylglutamate kinase	307.2343461483
UniRef50_Q2J862: Acetylglutamate kinase|unclassified	307.2343461483
UniRef50_Q9SCL7: Acetylglutamate kinase, chloroplastic	307.1753731606
UniRef50_Q9SCL7: Acetylglutamate kinase, chloroplastic|unclassified	307.1753731606
UniRef50_A9WQ89: Arginine repressor	306.6227104700
UniRef50_A9WQ89: Arginine repressor|unclassified	306.6227104700
UniRef50_Q1GMM6: Succinyl-diaminopimelate desuccinylase 2	305.6686090594
UniRef50_Q1GMM6: Succinyl-diaminopimelate desuccinylase 2|unclassified	305.6686090594
UniRef50_P68746: Ornithine carbamoyltransferase 2, phaseolotoxin-insensitive	305.2183031746
UniRef50_P68746: Ornithine carbamoyltransferase 2, phaseolotoxin-insensitive|unclassified	305.2183031746
UniRef50_Q6NHG6: Ornithine carbamoyltransferase	304.7310382411
UniRef50_Q6NHG6: Ornithine carbamoyltransferase|unclassified	304.7310382411
UniRef50_UPI0004638343: hypothetical protein, partial	301.8874465813
UniRef50_UPI0004638343: hypothetical protein, partial|unclassified	301.8874465813
UniRef50_Q28PV9: N-acetyl-gamma-glutamyl-phosphate reductase	301.1114589603
UniRef50_Q28PV9: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	301.1114589603
UniRef50_UPI0002885961: argininosuccinate lyase	300.6981134064
UniRef50_UPI0002885961: argininosuccinate lyase|unclassified	300.6981134064
UniRef50_Q8KDE2: Ornithine carbamoyltransferase	300.5135962223
UniRef50_Q8KDE2: Ornithine carbamoyltransferase|unclassified	300.5135962223
UniRef50_UPI000472FECA: hypothetical protein, partial	299.7447607245
UniRef50_UPI000472FECA: hypothetical protein, partial|unclassified	299.7447607245
UniRef50_UPI000479DD3D: acetylornithine deacetylase	298.3530729625
UniRef50_UPI000479DD3D: acetylornithine deacetylase|unclassified	298.3530729625
UniRef50_Q5ZJ23: Argininosuccinate synthase	297.7270403732
UniRef50_Q5ZJ23: Argininosuccinate synthase|unclassified	297.7270403732
UniRef50_P16460: Argininosuccinate synthase	291.1707098842
UniRef50_P16460: Argininosuccinate synthase|unclassified	291.1707098842
UniRef50_UPI0003B722EC: MULTISPECIES: argininosuccinate synthase	290.6790266827
UniRef50_UPI0003B722EC: MULTISPECIES: argininosuccinate synthase|unclassified	290.6790266827
UniRef50_Q93R93: Acetylornithine/acetyl-lysine aminotransferase	289.4050886618
UniRef50_Q93R93: Acetylornithine/acetyl-lysine aminotransferase|unclassified	289.4050886618
UniRef50_P00966: Argininosuccinate synthase	287.0594305240
UniRef50_P00966: Argininosuccinate synthase|unclassified	287.0594305240
UniRef50_UPI000379EDC0: hypothetical protein	286.7544207058
UniRef50_UPI000379EDC0: hypothetical protein|unclassified	286.7544207058
UniRef50_Q9UX31: Argininosuccinate synthase	284.8936175367
UniRef50_Q9UX31: Argininosuccinate synthase|unclassified	284.8936175367
UniRef50_R5VLJ1	284.7038612417
UniRef50_R5VLJ1|unclassified	284.7038612417
UniRef50_H1D5T7	282.8805654707
UniRef50_H1D5T7|unclassified	282.8805654707
UniRef50_UPI0002379F46: arginine repressor (partial match)	281.9229352947
UniRef50_UPI0002379F46: arginine repressor (partial match)|unclassified	281.9229352947
UniRef50_B2UML6: Ornithine carbamoyltransferase	279.8624524836
UniRef50_B2UML6: Ornithine carbamoyltransferase|unclassified	279.8624524836
UniRef50_F3CCZ9: Acetylornithine deacetylase (Fragment)	279.5689062804
UniRef50_F3CCZ9: Acetylornithine deacetylase (Fragment)|unclassified	279.5689062804
UniRef50_Q7UFW4: Argininosuccinate synthase	278.4295014571
UniRef50_Q7UFW4: Argininosuccinate synthase|unclassified	278.4295014571
UniRef50_B0TCA6: N-acetyl-gamma-glutamyl-phosphate reductase	277.1564313979
UniRef50_B0TCA6: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	277.1564313979
UniRef50_UPI0002E47F4B: carboxylate-amine ligase	275.8468772244
UniRef50_UPI0002E47F4B: carboxylate-amine ligase|unclassified	275.8468772244
UniRef50_T1BC72: Acetylornithine deacetylase (Fragment)	274.3154856590
UniRef50_T1BC72: Acetylornithine deacetylase (Fragment)|unclassified	274.3154856590
UniRef50_P62060: Arginine biosynthesis bifunctional protein ArgJ	272.5133807463
UniRef50_P62060: Arginine biosynthesis bifunctional protein ArgJ|unclassified	272.5133807463
UniRef50_UPI000289ECC0: N-acetyl-gamma-glutamyl-phosphate reductase, partial	270.6842356724
UniRef50_UPI000289ECC0: N-acetyl-gamma-glutamyl-phosphate reductase, partial|unclassified	270.6842356724
UniRef50_UPI00019133E3: bifunctional succinylornithine transaminase/acetylornithine transaminase, partial	267.9661966952
UniRef50_UPI00019133E3: bifunctional succinylornithine transaminase/acetylornithine transaminase, partial|unclassified	267.9661966952
UniRef50_A0L482: N-acetyl-gamma-glutamyl-phosphate reductase	267.2071587493
UniRef50_A0L482: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	267.2071587493
UniRef50_Q63U95: Argininosuccinate synthase	266.3456820859
UniRef50_Q63U95: Argininosuccinate synthase|unclassified	266.3456820859
UniRef50_A3DGK5: N-acetyl-gamma-glutamyl-phosphate reductase	263.9076882718
UniRef50_A3DGK5: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	263.9076882718
UniRef50_UPI00038198C2: hypothetical protein, partial	262.8734903141
UniRef50_UPI00038198C2: hypothetical protein, partial|unclassified	262.8734903141
UniRef50_Q7V436: Arginine biosynthesis bifunctional protein ArgJ	261.8832425800
UniRef50_Q7V436: Arginine biosynthesis bifunctional protein ArgJ|unclassified	261.8832425800
UniRef50_J9GJ23: Acetylornithine deacetylase	260.6622757083
UniRef50_J9GJ23: Acetylornithine deacetylase|unclassified	260.6622757083
UniRef50_I9LUR7: Aspartate/ornithine carbamoyltransferase Asp/Orn-binding region (Fragment)	260.3460925697
UniRef50_I9LUR7: Aspartate/ornithine carbamoyltransferase Asp/Orn-binding region (Fragment)|unclassified	260.3460925697
UniRef50_Q8FTN0: Arginine repressor	258.7969997367
UniRef50_Q8FTN0: Arginine repressor|unclassified	258.7969997367
UniRef50_UPI0002FF7DC2: hypothetical protein	258.7283201691
UniRef50_UPI0002FF7DC2: hypothetical protein|unclassified	258.7283201691
UniRef50_UPI0003B73BF6: acetylornithine deacetylase	257.6148786323
UniRef50_UPI0003B73BF6: acetylornithine deacetylase|unclassified	257.6148786323
UniRef50_A0Q1F0: N-acetyl-gamma-glutamyl-phosphate reductase	256.8677551317
UniRef50_A0Q1F0: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	256.8677551317
UniRef50_Q8PK26: Argininosuccinate synthase	256.3276649532
UniRef50_Q8PK26: Argininosuccinate synthase|unclassified	256.3276649532
UniRef50_A6UNM1: Ornithine carbamoyltransferase	254.8331532079
UniRef50_A6UNM1: Ornithine carbamoyltransferase|unclassified	254.8331532079
UniRef50_W6JSY3	254.7034559798
UniRef50_W6JSY3|unclassified	254.7034559798
UniRef50_P96134: Ornithine carbamoyltransferase	254.4598342485
UniRef50_P96134: Ornithine carbamoyltransferase|unclassified	254.4598342485
UniRef50_UPI000463F0E2: hypothetical protein, partial	252.8579526126
UniRef50_UPI000463F0E2: hypothetical protein, partial|unclassified	252.8579526126
UniRef50_UPI00035E479F: hypothetical protein	252.6432174925
UniRef50_UPI00035E479F: hypothetical protein|unclassified	252.6432174925
UniRef50_UPI0004640089: acetylornithine deacetylase	252.0125843942
UniRef50_UPI0004640089: acetylornithine deacetylase|unclassified	252.0125843942
UniRef50_Q92VM6: Argininosuccinate lyase 2	251.6117804414
UniRef50_Q92VM6: Argininosuccinate lyase 2|unclassified	251.6117804414
UniRef50_UPI0003B6C708: argininosuccinate lyase	250.9551039170
UniRef50_UPI0003B6C708: argininosuccinate lyase|unclassified	250.9551039170
UniRef50_Q8VL04: Arginine repressor	250.6686770108
UniRef50_Q8VL04: Arginine repressor|unclassified	250.6686770108
UniRef50_A3MWJ5: Ornithine carbamoyltransferase	250.5580629397
UniRef50_A3MWJ5: Ornithine carbamoyltransferase|unclassified	250.5580629397
UniRef50_H9KJW8	249.0133347302
UniRef50_H9KJW8|unclassified	249.0133347302
UniRef50_UPI0003A00FBC: hypothetical protein	247.2245681257
UniRef50_UPI0003A00FBC: hypothetical protein|unclassified	247.2245681257
UniRef50_P54894: N-acetyl-gamma-glutamyl-phosphate reductase 2	244.2216178822
UniRef50_P54894: N-acetyl-gamma-glutamyl-phosphate reductase 2|unclassified	244.2216178822
UniRef50_UPI00047D101A: acetylornithine aminotransferase	244.1544027842
UniRef50_UPI00047D101A: acetylornithine aminotransferase|unclassified	244.1544027842
UniRef50_UPI00030D58DC: succinyl-diaminopimelate desuccinylase	242.8406542253
UniRef50_UPI00030D58DC: succinyl-diaminopimelate desuccinylase|unclassified	242.8406542253
UniRef50_UPI0003C7E085: acetylornithine aminotransferase	242.6164855838
UniRef50_UPI0003C7E085: acetylornithine aminotransferase|unclassified	242.6164855838
UniRef50_A1W038: Succinyl-diaminopimelate desuccinylase	241.5806373311
UniRef50_A1W038: Succinyl-diaminopimelate desuccinylase|unclassified	241.5806373311
UniRef50_UPI0003C390E5: PREDICTED: argininosuccinate synthase-like, partial	241.5433010608
UniRef50_UPI0003C390E5: PREDICTED: argininosuccinate synthase-like, partial|unclassified	241.5433010608
UniRef50_O50039: Ornithine carbamoyltransferase, chloroplastic	241.3963456841
UniRef50_O50039: Ornithine carbamoyltransferase, chloroplastic|unclassified	241.3963456841
UniRef50_UPI0003782F56: hypothetical protein	241.1029879530
UniRef50_UPI0003782F56: hypothetical protein|unclassified	241.1029879530
UniRef50_Q93EJ3: Arginine biosynthesis bifunctional protein ArgJ	240.0907035525
UniRef50_Q93EJ3: Arginine biosynthesis bifunctional protein ArgJ|unclassified	240.0907035525
UniRef50_UPI000050FBC5: putative acetylornithine deacetylase	239.6202168813
UniRef50_UPI000050FBC5: putative acetylornithine deacetylase|unclassified	239.6202168813
UniRef50_UPI00047B8AE5: acetylornithine aminotransferase	239.3801128595
UniRef50_UPI00047B8AE5: acetylornithine aminotransferase|unclassified	239.3801128595
UniRef50_Q7M7U1: N-acetyl-gamma-glutamyl-phosphate reductase	238.5343233677
UniRef50_Q7M7U1: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	238.5343233677
UniRef50_B6JHG4: N-acetyl-gamma-glutamyl-phosphate reductase	238.4691385571
UniRef50_B6JHG4: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	238.4691385571
UniRef50_UPI00047679E0: acetylornithine aminotransferase	238.2049341603
UniRef50_UPI00047679E0: acetylornithine aminotransferase|unclassified	238.2049341603
UniRef50_W9U1B4	237.4428445852
UniRef50_W9U1B4|unclassified	237.4428445852
UniRef50_UPI00037BE953: hypothetical protein	236.2818664232
