# Gene Family	SampleCysteine_Biosynthesis_Abundance-RPKs
UniRef50_UPI00029ACA9C: sulfate transporter|unclassified	193.0229910799
UniRef50_K1P5D4: Cysteine synthase	192.4542599208
UniRef50_K1P5D4: Cysteine synthase|unclassified	192.4542599208
UniRef50_UPI0004789A27: NodQ bifunctional enzyme	191.8357164352
UniRef50_UPI0004789A27: NodQ bifunctional enzyme|unclassified	191.8357164352
UniRef50_J5KH59: Putative sulfate transport protein CysZ	191.7925374182
UniRef50_J5KH59: Putative sulfate transport protein CysZ|unclassified	191.7925374182
UniRef50_T1CPN2: Cysteine synthase B (Fragment)	191.2860020232
UniRef50_T1CPN2: Cysteine synthase B (Fragment)|unclassified	191.2860020232
UniRef50_Q84JF0: Adenylyl-sulfate kinase 4, chloroplastic	190.0212996493
UniRef50_Q84JF0: Adenylyl-sulfate kinase 4, chloroplastic|unclassified	190.0212996493
UniRef50_UPI000367676A: hypothetical protein	189.9976279719
UniRef50_UPI000367676A: hypothetical protein|unclassified	189.9976279719
UniRef50_D6LS30: Predicted protein	189.3801997656
UniRef50_D6LS30: Predicted protein|unclassified	189.3801997656
UniRef50_UPI0004694366: transporter	188.9718145793
UniRef50_UPI0004694366: transporter|unclassified	188.9718145793
UniRef50_UPI00047245A3: adenylylsulfate kinase	188.0829786790
UniRef50_UPI00047245A3: adenylylsulfate kinase|unclassified	188.0829786790
UniRef50_UPI0003B7276C: adenylylsulfate kinase	186.4205222026
UniRef50_UPI0003B7276C: adenylylsulfate kinase|unclassified	186.4205222026
UniRef50_UPI00037B990A: hypothetical protein	186.3007675047
UniRef50_UPI00037B990A: hypothetical protein|unclassified	186.3007675047
UniRef50_A4MVP6: Putative sulfate transport protein CysZ	185.9581914192
UniRef50_A4MVP6: Putative sulfate transport protein CysZ|unclassified	185.9581914192
UniRef50_K1CNB3	181.5379650116
UniRef50_K1CNB3|unclassified	181.5379650116
UniRef50_UPI0004642565: hypothetical protein, partial	180.3137615038
UniRef50_UPI0004642565: hypothetical protein, partial|unclassified	180.3137615038
UniRef50_C6MA56	179.4945581832
UniRef50_C6MA56|unclassified	179.4945581832
UniRef50_Q2S5G4: Phosphoadenosine phosphosulfate reductase	179.1977596318
UniRef50_Q2S5G4: Phosphoadenosine phosphosulfate reductase|unclassified	179.1977596318
UniRef50_Q13ZJ7: Adenylyl-sulfate kinase	177.2524626278
UniRef50_Q13ZJ7: Adenylyl-sulfate kinase|unclassified	177.2524626278
UniRef50_X0XW11: Marine sediment metagenome DNA, contig: S01H1_S36886 (Fragment)	176.0608635237
UniRef50_X0XW11: Marine sediment metagenome DNA, contig: S01H1_S36886 (Fragment)|unclassified	176.0608635237
UniRef50_UPI0003C14E57: PREDICTED: putative pyridoxal-phosphate dependent protein F13B12.4-like	175.6922109952
UniRef50_UPI0003C14E57: PREDICTED: putative pyridoxal-phosphate dependent protein F13B12.4-like|unclassified	175.6922109952
UniRef50_Q9RBV3	175.3676789264
UniRef50_Q9RBV3|unclassified	175.3676789264
UniRef50_P92979: 5'-adenylylsulfate reductase 1, chloroplastic	173.3389299016
UniRef50_P92979: 5'-adenylylsulfate reductase 1, chloroplastic|unclassified	173.3389299016
UniRef50_E2NT67	172.9590986320
UniRef50_E2NT67|unclassified	172.9590986320
UniRef50_B9LKC1: Adenylyl-sulfate kinase	172.7903342354
UniRef50_B9LKC1: Adenylyl-sulfate kinase|unclassified	172.7903342354
UniRef50_J9CYD0: Na+/sulfate symporter	171.8579703898
UniRef50_J9CYD0: Na+/sulfate symporter|unclassified	171.8579703898
UniRef50_P56861: Adenylyl-sulfate kinase	171.7028705096
UniRef50_P56861: Adenylyl-sulfate kinase|unclassified	171.7028705096
UniRef50_Q7UQW3: Adenylyl-sulfate kinase	171.3978525408
UniRef50_Q7UQW3: Adenylyl-sulfate kinase|unclassified	171.3978525408
UniRef50_O49196: Adenylyl-sulfate kinase 2, chloroplastic	170.5757235379
UniRef50_O49196: Adenylyl-sulfate kinase 2, chloroplastic|unclassified	170.5757235379
UniRef50_UPI00037E04B7: hypothetical protein	169.6241762537
UniRef50_UPI00037E04B7: hypothetical protein|unclassified	169.6241762537
UniRef50_UPI0004626374: hypothetical protein, partial	163.4121404421
UniRef50_UPI0004626374: hypothetical protein, partial|unclassified	163.4121404421
UniRef50_B9U2M3: Sulfate ABC transporter	162.8479059589
UniRef50_B9U2M3: Sulfate ABC transporter|unclassified	162.8479059589
UniRef50_W9TWN2	162.5279484768
UniRef50_W9TWN2|unclassified	162.5279484768
UniRef50_W7WME0	161.4434510162
UniRef50_W7WME0|unclassified	161.4434510162
UniRef50_A3GSL9: Sulfate permease family protein	161.2214833042
UniRef50_A3GSL9: Sulfate permease family protein|unclassified	161.2214833042
UniRef50_X1F5P1: Marine sediment metagenome DNA, contig: S01H4_S19137 (Fragment)	159.2549405698
UniRef50_X1F5P1: Marine sediment metagenome DNA, contig: S01H4_S19137 (Fragment)|unclassified	159.2549405698
UniRef50_H7SUY4: TrkA-C domain protein	154.5272518347
UniRef50_H7SUY4: TrkA-C domain protein|unclassified	154.5272518347
UniRef50_UPI00038F5CC6: Sulfate/thiosulfate import ATP-binding protein CysA	153.7188365571
UniRef50_UPI00038F5CC6: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	153.7188365571
UniRef50_UPI00042B90D8: Adenosine-5''-phosphosulfate (APS) kinase 3	152.8945166683
UniRef50_UPI00042B90D8: Adenosine-5''-phosphosulfate (APS) kinase 3|unclassified	152.8945166683
UniRef50_A0A024QBM2: Putative iron-regulated membrane protein	152.6814901079
UniRef50_A0A024QBM2: Putative iron-regulated membrane protein|unclassified	152.6814901079
UniRef50_F7U0V8: Spermidine/putrescine import ATP-binding protein PotA	152.4160385651
UniRef50_F7U0V8: Spermidine/putrescine import ATP-binding protein PotA|unclassified	152.4160385651
UniRef50_UPI0001DD0A55: sulfite reductase (NADPH) flavoprotein, alpha chain	148.5720157797
UniRef50_UPI0001DD0A55: sulfite reductase (NADPH) flavoprotein, alpha chain|unclassified	148.5720157797
UniRef50_Q8RKZ9	148.2138740505
UniRef50_Q8RKZ9|unclassified	148.2138740505
UniRef50_UPI0004706CD0: hypothetical protein, partial	148.2109677023
UniRef50_UPI0004706CD0: hypothetical protein, partial|unclassified	148.2109677023
UniRef50_F7MK57: Sulfate permease family protein	147.1226995745
UniRef50_F7MK57: Sulfate permease family protein|unclassified	147.1226995745
UniRef50_UPI0003623532: hypothetical protein	146.6613324141
UniRef50_UPI0003623532: hypothetical protein|unclassified	146.6613324141
UniRef50_UPI00034A5877: hypothetical protein	145.8947301686
UniRef50_UPI00034A5877: hypothetical protein|unclassified	145.8947301686
UniRef50_F3WZJ5: Pyridoxal-phosphate dependent enzyme family protein	145.1856344032
UniRef50_F3WZJ5: Pyridoxal-phosphate dependent enzyme family protein|unclassified	145.1856344032
UniRef50_L8UKS5	143.5864617143
UniRef50_L8UKS5|unclassified	143.5864617143
UniRef50_B1HW26	141.5929693045
UniRef50_B1HW26|unclassified	141.5929693045
UniRef50_N6V3N6: Sulfate transporter	140.8452168975
UniRef50_N6V3N6: Sulfate transporter|unclassified	140.8452168975
UniRef50_X3ERU1	139.8945579503
UniRef50_X3ERU1|unclassified	139.8945579503
UniRef50_UPI0004668643: hypothetical protein, partial	139.7474691580
UniRef50_UPI0004668643: hypothetical protein, partial|unclassified	139.7474691580
UniRef50_Q4I1N3: Sulfate adenylyltransferase	139.6541420205
UniRef50_Q4I1N3: Sulfate adenylyltransferase|unclassified	139.6541420205
UniRef50_I4VI37: Pyridoxal-5'-phosphate-dependent protein subunit beta	139.6301980565
UniRef50_I4VI37: Pyridoxal-5'-phosphate-dependent protein subunit beta|unclassified	139.6301980565
UniRef50_X0W5F2: Marine sediment metagenome DNA, contig: S01H1_S24629 (Fragment)	139.2684247758
UniRef50_X0W5F2: Marine sediment metagenome DNA, contig: S01H1_S24629 (Fragment)|unclassified	139.2684247758
UniRef50_Q1D6P1: Adenylyl-sulfate kinase	139.1506084908
UniRef50_Q1D6P1: Adenylyl-sulfate kinase|unclassified	139.1506084908
UniRef50_B1JH59: Pyridoxal-phosphate dependent protein	139.1234703770
UniRef50_B1JH59: Pyridoxal-phosphate dependent protein|unclassified	139.1234703770
UniRef50_UPI0002DA1C47: hypothetical protein	138.4532579708
UniRef50_UPI0002DA1C47: hypothetical protein|unclassified	138.4532579708
UniRef50_R7ILA0: Sulfate permease family protein	138.3174661694
UniRef50_R7ILA0: Sulfate permease family protein|unclassified	138.3174661694
UniRef50_W5XBH9: Protein kinase/transcriptional regulator	137.2229459000
UniRef50_W5XBH9: Protein kinase/transcriptional regulator|unclassified	137.2229459000
UniRef50_S6B5C8	136.8886238856
UniRef50_S6B5C8|unclassified	136.8886238856
UniRef50_O32978: O-acetylserine sulfhydrylase	136.5140310167
UniRef50_O32978: O-acetylserine sulfhydrylase|unclassified	136.5140310167
UniRef50_X8E434: O-phosphoserine sulfhydrylase	135.4583320626
UniRef50_X8E434: O-phosphoserine sulfhydrylase|unclassified	135.4583320626
UniRef50_UPI00046D3F50: hypothetical protein	135.0088037779
UniRef50_UPI00046D3F50: hypothetical protein|unclassified	135.0088037779
UniRef50_G8T3T4: Oxidoreductase FAD-binding protein	134.3274399411
UniRef50_G8T3T4: Oxidoreductase FAD-binding protein|unclassified	134.3274399411
UniRef50_P78937: Sulfate adenylyltransferase	128.0307276337
UniRef50_P78937: Sulfate adenylyltransferase|unclassified	128.0307276337
UniRef50_Q4WWN8: Sulfate adenylyltransferase	126.9383154616
UniRef50_Q4WWN8: Sulfate adenylyltransferase|unclassified	126.9383154616
UniRef50_UPI0004701F48: hypothetical protein, partial	124.7381450576
UniRef50_UPI0004701F48: hypothetical protein, partial|unclassified	124.7381450576
UniRef50_Q1V8X5: Putative sulfate transport protein CysZ	123.2015286643
UniRef50_Q1V8X5: Putative sulfate transport protein CysZ|unclassified	123.2015286643
UniRef50_UPI000382DAAE: hypothetical protein, partial	122.4447373388
UniRef50_UPI000382DAAE: hypothetical protein, partial|unclassified	122.4447373388
UniRef50_UPI000368C7E1: hypothetical protein	121.2526646300
UniRef50_UPI000368C7E1: hypothetical protein|unclassified	121.2526646300
UniRef50_UPI00035F5B95: hypothetical protein, partial	121.2419066654
UniRef50_UPI00035F5B95: hypothetical protein, partial|unclassified	121.2419066654
UniRef50_P0CN05: Sulfate adenylyltransferase	119.8161564336
UniRef50_P0CN05: Sulfate adenylyltransferase|unclassified	119.8161564336
UniRef50_W1S6E3: Cysteine synthase	119.5283665684
UniRef50_W1S6E3: Cysteine synthase|unclassified	119.5283665684
UniRef50_Q0RUZ4: Probable sulfate transporter	118.2576179957
UniRef50_Q0RUZ4: Probable sulfate transporter|unclassified	118.2576179957
UniRef50_C7RBE1	116.2203435710
UniRef50_C7RBE1|unclassified	116.2203435710
UniRef50_A0A024QCJ7: Putative iron-regulated membrane protein	115.6145158523
UniRef50_A0A024QCJ7: Putative iron-regulated membrane protein|unclassified	115.6145158523
UniRef50_C6MA55	115.1151671655
UniRef50_C6MA55|unclassified	115.1151671655
UniRef50_P52674: Sulfite reductase [NADPH] flavoprotein alpha-component	114.7658926051
UniRef50_P52674: Sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	114.7658926051
UniRef50_UPI0004650767: hypothetical protein, partial	114.7347035182
UniRef50_UPI0004650767: hypothetical protein, partial|unclassified	114.7347035182
UniRef50_UPI0002487FB5: high affinity sulfate transporter (SulP), partial	114.0840147735
UniRef50_UPI0002487FB5: high affinity sulfate transporter (SulP), partial|unclassified	114.0840147735
UniRef50_F0KUF6: Sulphate transporter	113.4854821730
UniRef50_F0KUF6: Sulphate transporter|unclassified	113.4854821730
UniRef50_J1FB93	112.2603587205
UniRef50_J1FB93|unclassified	112.2603587205
UniRef50_H5TAA4: CysZ protein	112.1791103737
UniRef50_H5TAA4: CysZ protein|unclassified	112.1791103737
UniRef50_A0A018QQN1: Pyridoxal-5'-phosphate-dependent enzyme beta subunit	111.9856102650
UniRef50_A0A018QQN1: Pyridoxal-5'-phosphate-dependent enzyme beta subunit|unclassified	111.9856102650
UniRef50_R5URQ3	111.7697103666
UniRef50_R5URQ3|unclassified	111.7697103666
UniRef50_C0XQT2	111.2862173368
UniRef50_C0XQT2|unclassified	111.2862173368
UniRef50_UPI00046742AC: hypothetical protein	110.9768561124
UniRef50_UPI00046742AC: hypothetical protein|unclassified	110.9768561124
UniRef50_C3A2J3: Sulphate transport system permease protein 1	110.9175996355
UniRef50_C3A2J3: Sulphate transport system permease protein 1|unclassified	110.9175996355
UniRef50_K8CK96: Sulfate permease	110.3280754138
UniRef50_K8CK96: Sulfate permease|unclassified	110.3280754138
UniRef50_C3XR46	109.9675193959
UniRef50_C3XR46|unclassified	109.9675193959
UniRef50_UPI0003B63337: sulfate transporter	109.3648830669
UniRef50_UPI0003B63337: sulfate transporter|unclassified	109.3648830669
UniRef50_L8ULG3	109.2076826505
UniRef50_L8ULG3|unclassified	109.2076826505
UniRef50_C4LAQ4	107.8587200337
UniRef50_C4LAQ4|unclassified	107.8587200337
UniRef50_UPI0004712CCE: hypothetical protein	107.3191904220
UniRef50_UPI0004712CCE: hypothetical protein|unclassified	107.3191904220
UniRef50_R9NU01: Pyridoxal-5'-phosphate-dependent protein subunit beta	107.2803891086
UniRef50_R9NU01: Pyridoxal-5'-phosphate-dependent protein subunit beta|unclassified	107.2803891086
UniRef50_X8C2M3: Pyridoxal-phosphate dependent enzyme family protein	106.1811765360
UniRef50_X8C2M3: Pyridoxal-phosphate dependent enzyme family protein|unclassified	106.1811765360
UniRef50_W5XJZ6: Sugar kinase, ribokinase	104.8291405811
UniRef50_W5XJZ6: Sugar kinase, ribokinase|unclassified	104.8291405811
UniRef50_N7PG81	104.7499139486
UniRef50_N7PG81|unclassified	104.7499139486
UniRef50_UPI000369170B: hypothetical protein	104.5575390758
UniRef50_UPI000369170B: hypothetical protein|unclassified	104.5575390758
UniRef50_UPI000471E251: hypothetical protein	103.7974306233
UniRef50_UPI000471E251: hypothetical protein|unclassified	103.7974306233
UniRef50_UPI00036F988D: hypothetical protein	102.2941277700
UniRef50_UPI00036F988D: hypothetical protein|unclassified	102.2941277700
UniRef50_UPI0003456F68: hypothetical protein	101.9321064978
UniRef50_UPI0003456F68: hypothetical protein|unclassified	101.9321064978
UniRef50_UPI000465E1CF: cysteine biosynthesis protein CysZ	100.5832807432
UniRef50_UPI000465E1CF: cysteine biosynthesis protein CysZ|unclassified	100.5832807432
UniRef50_UPI00035C292F: hypothetical protein	99.5222595270
UniRef50_UPI00035C292F: hypothetical protein|unclassified	99.5222595270
UniRef50_X1UV07: Marine sediment metagenome DNA, contig: S12H4_S19759	98.9677906762
UniRef50_X1UV07: Marine sediment metagenome DNA, contig: S12H4_S19759|unclassified	98.9677906762
UniRef50_UPI00046D4B77: elongation factor Tu	98.8951272284
UniRef50_UPI00046D4B77: elongation factor Tu|unclassified	98.8951272284
UniRef50_UPI000288E019: sulfate ABC transporter membrane protein	98.8777261209
UniRef50_UPI000288E019: sulfate ABC transporter membrane protein|unclassified	98.8777261209
UniRef50_UPI0004708F1B: hypothetical protein, partial	98.3692499276
UniRef50_UPI0004708F1B: hypothetical protein, partial|unclassified	98.3692499276
UniRef50_K9DLZ7	98.0520958848
UniRef50_K9DLZ7|unclassified	98.0520958848
UniRef50_X0Y875: Marine sediment metagenome DNA, contig: S01H1_S43089 (Fragment)	96.3644789486
UniRef50_X0Y875: Marine sediment metagenome DNA, contig: S01H1_S43089 (Fragment)|unclassified	96.3644789486
UniRef50_UPI00047EEB19: hypothetical protein	96.0698579739
UniRef50_UPI00047EEB19: hypothetical protein|unclassified	96.0698579739
UniRef50_UPI0003651545: hypothetical protein	95.9024549366
UniRef50_UPI0003651545: hypothetical protein|unclassified	95.9024549366
UniRef50_UPI00047032C6: hypothetical protein	95.7712261811
UniRef50_UPI00047032C6: hypothetical protein|unclassified	95.7712261811
UniRef50_D2Z027: O-ureido-L-serine synthase	95.5871659163
UniRef50_D2Z027: O-ureido-L-serine synthase|unclassified	95.5871659163
UniRef50_W1JYS3	94.2560182533
UniRef50_W1JYS3|unclassified	94.2560182533
UniRef50_R6NHM2	93.3987582482
UniRef50_R6NHM2|unclassified	93.3987582482
UniRef50_O81155: Cysteine synthase, chloroplastic/chromoplastic	93.3279179986
UniRef50_O81155: Cysteine synthase, chloroplastic/chromoplastic|unclassified	93.3279179986
UniRef50_T0HF39	93.2606581772
UniRef50_T0HF39|unclassified	93.2606581772
UniRef50_G7G6B8: CysZ protein	92.4274688443
UniRef50_G7G6B8: CysZ protein|unclassified	92.4274688443
UniRef50_J2IF05	91.3477858369
UniRef50_J2IF05|unclassified	91.3477858369
UniRef50_UPI000364ACE5: hypothetical protein	91.1512867831
UniRef50_UPI000364ACE5: hypothetical protein|unclassified	91.1512867831
UniRef50_UPI00047CBFD0: hypothetical protein	90.5822574938
UniRef50_UPI00047CBFD0: hypothetical protein|unclassified	90.5822574938
UniRef50_Q2BQK9: CysZ protein	90.3929487287
UniRef50_Q2BQK9: CysZ protein|unclassified	90.3929487287
UniRef50_UPI0002B9D806: hypothetical protein	89.1800658039
UniRef50_UPI0002B9D806: hypothetical protein|unclassified	89.1800658039
UniRef50_M1FCV9	88.2773956900
UniRef50_M1FCV9|unclassified	88.2773956900
UniRef50_W7X3C6	87.1300211830
UniRef50_W7X3C6|unclassified	87.1300211830
UniRef50_B2GHM4: Cysteine synthase	87.0977591741
UniRef50_B2GHM4: Cysteine synthase|unclassified	87.0977591741
UniRef50_T3HSU3	87.0750942216
UniRef50_T3HSU3|unclassified	87.0750942216
UniRef50_UPI00047D863E: hypothetical protein	86.9159047634
UniRef50_UPI00047D863E: hypothetical protein|unclassified	86.9159047634
UniRef50_P38076: Cysteine synthase	86.0959744902
UniRef50_P38076: Cysteine synthase|unclassified	86.0959744902
UniRef50_UPI000470C3EE: adenylylsulfate kinase	85.6884565387
UniRef50_UPI000470C3EE: adenylylsulfate kinase|unclassified	85.6884565387
UniRef50_UPI0004644F15: hypothetical protein	85.6595212142
UniRef50_UPI0004644F15: hypothetical protein|unclassified	85.6595212142
UniRef50_E1EA19: Sulfate permease family protein	85.5758054139
UniRef50_E1EA19: Sulfate permease family protein|unclassified	85.5758054139
UniRef50_T0LZ32	84.9097636371
UniRef50_T0LZ32|unclassified	84.9097636371
UniRef50_K2AJ87: Sulfate permease subfamily (Fragment)	84.7151920448
UniRef50_K2AJ87: Sulfate permease subfamily (Fragment)|unclassified	84.7151920448
UniRef50_Q7DDL5: Cysteine synthase	84.5297730123
UniRef50_Q7DDL5: Cysteine synthase|unclassified	84.5297730123
UniRef50_X1J9W9: Marine sediment metagenome DNA, contig: S03H2_S11649 (Fragment)	83.3985549851
UniRef50_X1J9W9: Marine sediment metagenome DNA, contig: S03H2_S11649 (Fragment)|unclassified	83.3985549851
UniRef50_A1U6R6	83.3776014558
UniRef50_A1U6R6|unclassified	83.3776014558
UniRef50_UPI000416D15E: hypothetical protein	83.0189176380
UniRef50_UPI000416D15E: hypothetical protein|unclassified	83.0189176380
UniRef50_UPI00037DA92D: hypothetical protein, partial	82.7233086313
UniRef50_UPI00037DA92D: hypothetical protein, partial|unclassified	82.7233086313
UniRef50_UPI000369DA75: hypothetical protein	81.1502917202
UniRef50_UPI000369DA75: hypothetical protein|unclassified	81.1502917202
UniRef50_UPI0004024188: hypothetical protein	81.1247223676
UniRef50_UPI0004024188: hypothetical protein|unclassified	81.1247223676
UniRef50_UPI00036069BB: hypothetical protein	81.1244577422
UniRef50_UPI00036069BB: hypothetical protein|unclassified	81.1244577422
UniRef50_UPI0003768CB1: hypothetical protein	81.0868873705
UniRef50_UPI0003768CB1: hypothetical protein|unclassified	81.0868873705
UniRef50_H9UV24: CysZ protein	80.9147452946
UniRef50_H9UV24: CysZ protein|unclassified	80.9147452946
UniRef50_O67507: Cysteine synthase	80.6768581248
UniRef50_O67507: Cysteine synthase|unclassified	80.6768581248
UniRef50_UPI00016C3B85: putative sulfite reductase hemoprotein beta-component, partial	79.9406450143
UniRef50_UPI00016C3B85: putative sulfite reductase hemoprotein beta-component, partial|unclassified	79.9406450143
UniRef50_U3U0G8: Pyridoxal-5'-phosphate-dependent protein subunit beta	79.7440712383
UniRef50_U3U0G8: Pyridoxal-5'-phosphate-dependent protein subunit beta|unclassified	79.7440712383
UniRef50_X8C3X1: O-phosphoserine sulfhydrylase	79.6645312576
UniRef50_X8C3X1: O-phosphoserine sulfhydrylase|unclassified	79.6645312576
UniRef50_UPI00041970B8: molybdate ABC transporter permease	78.9556186772
UniRef50_UPI00041970B8: molybdate ABC transporter permease|unclassified	78.9556186772
UniRef50_C5TN57	78.5560937536
UniRef50_C5TN57|unclassified	78.5560937536
UniRef50_S9R3N9: Sulfate permease	78.2722306520
UniRef50_S9R3N9: Sulfate permease|unclassified	78.2722306520
UniRef50_UPI000404F64D: sulfite reductase	77.8888663668
UniRef50_UPI000404F64D: sulfite reductase|unclassified	77.8888663668
UniRef50_Q6BSU5: Sulfate adenylyltransferase	76.3914202118
UniRef50_Q6BSU5: Sulfate adenylyltransferase|unclassified	76.3914202118
UniRef50_K6GI83: AAA domain protein	76.2926052468
UniRef50_K6GI83: AAA domain protein|unclassified	76.2926052468
UniRef50_L8BCZ8: Sulfate transporter, CysZ-type	75.5531988877
UniRef50_L8BCZ8: Sulfate transporter, CysZ-type|unclassified	75.5531988877
UniRef50_UPI0004731D91: hypothetical protein, partial	74.9526321460
UniRef50_UPI0004731D91: hypothetical protein, partial|unclassified	74.9526321460
UniRef50_UPI000463E58D: adenylyltransferase, partial	72.9711429652
UniRef50_UPI000463E58D: adenylyltransferase, partial|unclassified	72.9711429652
UniRef50_A0A011NUK4	72.9672928185
UniRef50_A0A011NUK4|unclassified	72.9672928185
UniRef50_UPI00037F7F4C: hypothetical protein	72.9573691185
UniRef50_UPI00037F7F4C: hypothetical protein|unclassified	72.9573691185
UniRef50_V8DNY0	72.8288936268
UniRef50_V8DNY0|unclassified	72.8288936268
UniRef50_M0VBS3	72.5445253724
UniRef50_M0VBS3|unclassified	72.5445253724
UniRef50_R6F3N5: Cysteine synthase	70.9521295371
UniRef50_R6F3N5: Cysteine synthase|unclassified	70.9521295371
UniRef50_UPI00046A3685: sulfate permease	69.8172116099
UniRef50_UPI00046A3685: sulfate permease|unclassified	69.8172116099
UniRef50_Q43725: Cysteine synthase, mitochondrial	69.4146977145
UniRef50_Q43725: Cysteine synthase, mitochondrial|unclassified	69.4146977145
UniRef50_UPI0003B65350: adenylylsulfate kinase	69.3125418889
UniRef50_UPI0003B65350: adenylylsulfate kinase|unclassified	69.3125418889
UniRef50_UPI00037C93EA: hypothetical protein	69.1799201745
UniRef50_UPI00037C93EA: hypothetical protein|unclassified	69.1799201745
UniRef50_UPI0003B76C26: MFS transporter	69.1285521925
UniRef50_UPI0003B76C26: MFS transporter|unclassified	69.1285521925
UniRef50_P47999: Cysteine synthase, chloroplastic/chromoplastic	68.9806657195
UniRef50_P47999: Cysteine synthase, chloroplastic/chromoplastic|unclassified	68.9806657195
UniRef50_UPI0003732821: hypothetical protein	68.0244553777
UniRef50_UPI0003732821: hypothetical protein|unclassified	68.0244553777
UniRef50_UPI00037ACA67: hypothetical protein	67.7077336945
UniRef50_UPI00037ACA67: hypothetical protein|unclassified	67.7077336945
UniRef50_UPI00016C4CC1: sulfite reductase	67.0138956837
UniRef50_UPI00016C4CC1: sulfite reductase|unclassified	67.0138956837
UniRef50_F9KW03	65.1277153921
UniRef50_F9KW03|unclassified	65.1277153921
UniRef50_UPI000474DB83: hypothetical protein	65.0821839139
UniRef50_UPI000474DB83: hypothetical protein|unclassified	65.0821839139
UniRef50_UPI000289DBC8: MFS transporter	64.6604346902
UniRef50_UPI000289DBC8: MFS transporter|unclassified	64.6604346902
UniRef50_W2T8G3: Pyridoxal-phosphate dependent protein	64.1148196200
UniRef50_W2T8G3: Pyridoxal-phosphate dependent protein|unclassified	64.1148196200
UniRef50_W1U7M1: Sulfate permease family protein (Fragment)	64.0478353328
UniRef50_W1U7M1: Sulfate permease family protein (Fragment)|unclassified	64.0478353328
UniRef50_M5VZJ0	63.7076725528
UniRef50_M5VZJ0|unclassified	63.7076725528
UniRef50_Z5XBF8	62.9347837966
UniRef50_Z5XBF8|unclassified	62.9347837966
UniRef50_B5WCM7: Sulfate permease and related transporter (MFS superfamily)-like protein	62.7548211492
UniRef50_B5WCM7: Sulfate permease and related transporter (MFS superfamily)-like protein|unclassified	62.7548211492
UniRef50_Q8KA48: Cysteine synthase	62.7220531438
UniRef50_Q8KA48: Cysteine synthase|unclassified	62.7220531438
UniRef50_UPI00037C63D7: hypothetical protein	62.5936547818
UniRef50_UPI00037C63D7: hypothetical protein|unclassified	62.5936547818
UniRef50_D0N3C1: Cysteine synthase, putative	61.7852211805
UniRef50_D0N3C1: Cysteine synthase, putative|unclassified	61.7852211805
UniRef50_I5BRL1: Phosphoadenosine phosphosulfate reductase	61.6375098019
UniRef50_I5BRL1: Phosphoadenosine phosphosulfate reductase|unclassified	61.6375098019
UniRef50_UPI0003066F6E: hypothetical protein	61.2672924862
UniRef50_UPI0003066F6E: hypothetical protein|unclassified	61.2672924862
UniRef50_UPI00037E0178: hypothetical protein	61.2301186951
UniRef50_UPI00037E0178: hypothetical protein|unclassified	61.2301186951
UniRef50_C3BFZ1: Sulphate transporter	60.6639523538
UniRef50_C3BFZ1: Sulphate transporter|unclassified	60.6639523538
UniRef50_UPI000470976D: hypothetical protein, partial	60.2945600281
UniRef50_UPI000470976D: hypothetical protein, partial|unclassified	60.2945600281
UniRef50_UPI000288CD36: putative transporter, partial	59.3877988772
UniRef50_UPI000288CD36: putative transporter, partial|unclassified	59.3877988772
UniRef50_W9UNF4	58.5262078209
UniRef50_W9UNF4|unclassified	58.5262078209
UniRef50_UPI0003F529A8: sulfite reductase	58.2592496787
UniRef50_UPI0003F529A8: sulfite reductase|unclassified	58.2592496787
UniRef50_R7UAM8	57.2537085952
UniRef50_R7UAM8|unclassified	57.2537085952
UniRef50_Q92UV5: Fe(3+) ions import ATP-binding protein FbpC 2	56.6179242522
UniRef50_Q92UV5: Fe(3+) ions import ATP-binding protein FbpC 2|unclassified	56.6179242522
UniRef50_Q59966: Cysteine synthase, plasmid	56.5533134317
UniRef50_Q59966: Cysteine synthase, plasmid|unclassified	56.5533134317
UniRef50_K8CRK8	56.0659118537
UniRef50_K8CRK8|unclassified	56.0659118537
UniRef50_UPI000380C865: hypothetical protein	55.9640660783
UniRef50_UPI000380C865: hypothetical protein|unclassified	55.9640660783
UniRef50_UPI0002D8E5AE: cysteine synthase	55.9215314479
UniRef50_UPI0002D8E5AE: cysteine synthase|unclassified	55.9215314479
UniRef50_G8R2Z5: Cysteine synthase	55.5859269411
UniRef50_G8R2Z5: Cysteine synthase|unclassified	55.5859269411
UniRef50_L8EJV9: Pyridoxal-5'-phosphate-dependent protein subunit beta	54.7701440687
UniRef50_L8EJV9: Pyridoxal-5'-phosphate-dependent protein subunit beta|unclassified	54.7701440687
UniRef50_UPI0002D680E7: sulfite reductase subunit alpha	54.5036376298
UniRef50_UPI0002D680E7: sulfite reductase subunit alpha|unclassified	54.5036376298
UniRef50_D1A8C6: Pyridoxal-5'-phosphate-dependent protein beta subunit	53.9973988136
UniRef50_D1A8C6: Pyridoxal-5'-phosphate-dependent protein beta subunit|unclassified	53.9973988136
UniRef50_R5GU06: STAS domain protein	53.8491109456
UniRef50_R5GU06: STAS domain protein|unclassified	53.8491109456
UniRef50_UPI000368BEAB: hypothetical protein	53.8314699276
UniRef50_UPI000368BEAB: hypothetical protein|unclassified	53.8314699276
UniRef50_A0A011ND95: Cysteine synthase A	53.8054469187
