# Gene Family	SampleCysteine_Biosynthesis_Abundance-CPM
UniRef50_UPI0003630163: hypothetical protein	1158.29
UniRef50_UPI0003630163: hypothetical protein|unclassified	1158.29
UniRef50_A5L8R9: Putative sulfate transport protein CysZ (Fragment)	1154.86
UniRef50_A5L8R9: Putative sulfate transport protein CysZ (Fragment)|unclassified	1154.86
UniRef50_Q9TKX3: Sulfate/thiosulfate import ATP-binding protein CysA	1146.86
UniRef50_Q9TKX3: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	1146.86
UniRef50_UPI000471886D: hypothetical protein, partial	1139.98
UniRef50_UPI000471886D: hypothetical protein, partial|unclassified	1139.98
UniRef50_UPI000402F945: hypothetical protein	1135.91
UniRef50_UPI000402F945: hypothetical protein|unclassified	1135.91
UniRef50_S3R758	1134.64
UniRef50_S3R758|unclassified	1134.64
UniRef50_UPI000473D5B2: hypothetical protein, partial	1129.09
UniRef50_UPI000473D5B2: hypothetical protein, partial|unclassified	1129.09
UniRef50_R6PB07	1125.62
UniRef50_R6PB07|unclassified	1125.62
UniRef50_UPI00037371E1: hypothetical protein, partial	1118.99
UniRef50_UPI00037371E1: hypothetical protein, partial|unclassified	1118.99
UniRef50_H2FT10: Protein CysZ	1114.3
UniRef50_H2FT10: Protein CysZ|unclassified	1114.3
UniRef50_UPI00016AAA30: Oxidoreductase NAD-binding/FAD-binding protein, partial	1113.56
UniRef50_UPI00016AAA30: Oxidoreductase NAD-binding/FAD-binding protein, partial|unclassified	1113.56
UniRef50_UPI00038251CA: hypothetical protein	1107.63
UniRef50_UPI00038251CA: hypothetical protein|unclassified	1107.63
UniRef50_P56891: Phosphoadenosine phosphosulfate reductase	1105.29
UniRef50_P56891: Phosphoadenosine phosphosulfate reductase|unclassified	1105.29
UniRef50_UPI00046EB286: Bicarbonate transporter BicA, partial	1097.38
UniRef50_UPI00046EB286: Bicarbonate transporter BicA, partial|unclassified	1097.38
UniRef50_H6CMG5: Sulfate transporter ychM (Fragment)	1082.52
UniRef50_H6CMG5: Sulfate transporter ychM (Fragment)|unclassified	1082.52
UniRef50_R5Q3B1: Sulfate transporter sulfate permease (SulP) family	1067.51
UniRef50_R5Q3B1: Sulfate transporter sulfate permease (SulP) family|unclassified	1067.51
UniRef50_P56344: Probable sulfate/thiosulfate import ATP-binding protein CysA	1065.76
UniRef50_P56344: Probable sulfate/thiosulfate import ATP-binding protein CysA|unclassified	1065.76
UniRef50_V8FLK8: Sulfate transporter (Fragment)	1064.06
UniRef50_V8FLK8: Sulfate transporter (Fragment)|unclassified	1064.06
UniRef50_X8C2X9	1050.29
UniRef50_X8C2X9|unclassified	1050.29
UniRef50_P57702: Adenylyl-sulfate kinase	1049.3
UniRef50_P57702: Adenylyl-sulfate kinase|unclassified	1049.3
UniRef50_UPI000469FC5D: adenylyltransferase	1042.86
UniRef50_UPI000469FC5D: adenylyltransferase|unclassified	1042.86
UniRef50_UPI00016B1F4B: sulfate adenylyltransferase subunit 2, partial	1042.29
UniRef50_UPI00016B1F4B: sulfate adenylyltransferase subunit 2, partial|unclassified	1042.29
UniRef50_Q9MUN1: Sulfate/thiosulfate import ATP-binding protein CysA	1038.14
UniRef50_Q9MUN1: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	1038.14
UniRef50_UPI00037004CF: bicarbonate transporter, partial	1032.97
UniRef50_UPI00037004CF: bicarbonate transporter, partial|unclassified	1032.97
UniRef50_UPI00046FB445: hypothetical protein, partial	1022.87
UniRef50_UPI00046FB445: hypothetical protein, partial|unclassified	1022.87
UniRef50_A0A056QLJ4: Cysteine synthase B CysM	1021.79
UniRef50_A0A056QLJ4: Cysteine synthase B CysM|unclassified	1021.79
UniRef50_UPI0004286494: adenylylsulfate kinase	1017.39
UniRef50_UPI0004286494: adenylylsulfate kinase|unclassified	1017.39
UniRef50_UPI000411C550: N-acetylglucosamine transferase	1017.26
UniRef50_UPI000411C550: N-acetylglucosamine transferase|unclassified	1017.26
UniRef50_UPI0004674582: hypothetical protein	1015.78
UniRef50_UPI0004674582: hypothetical protein|unclassified	1015.78
UniRef50_K9WHG2	1009.59
UniRef50_K9WHG2|unclassified	1009.59
UniRef50_UPI000374A249: hypothetical protein	1007.39
UniRef50_UPI000374A249: hypothetical protein|unclassified	1007.39
UniRef50_UPI0003B67B3C: hypothetical protein, partial	1003.65
UniRef50_UPI0003B67B3C: hypothetical protein, partial|unclassified	1003.65
UniRef50_UPI0003722299: hypothetical protein	994.016
UniRef50_UPI0003722299: hypothetical protein|unclassified	994.016
UniRef50_Z5RM96	992.438
UniRef50_Z5RM96|unclassified	992.438
UniRef50_W1MCV7	985.096
UniRef50_W1MCV7|unclassified	985.096
UniRef50_A6BAY9: Sulfate permease family protein (Fragment)	964.468
UniRef50_A6BAY9: Sulfate permease family protein (Fragment)|unclassified	964.468
UniRef50_J2XCX6	964.138
UniRef50_J2XCX6|unclassified	964.138
UniRef50_P50867: Cysteine synthase	955.939
UniRef50_P50867: Cysteine synthase|unclassified	955.939
UniRef50_A0A059MLE5: Cysteine synthase	952.289
UniRef50_A0A059MLE5: Cysteine synthase|unclassified	952.289
UniRef50_Q4X8M5	937.214
UniRef50_Q4X8M5|unclassified	937.214
UniRef50_A0A011Q8I4	932.105
UniRef50_A0A011Q8I4|unclassified	932.105
UniRef50_UPI000380B759: hypothetical protein	925.404
UniRef50_UPI000380B759: hypothetical protein|unclassified	925.404
UniRef50_W7WHS5	924.237
UniRef50_W7WHS5|unclassified	924.237
UniRef50_UPI00037636B3: hypothetical protein	921.069
UniRef50_UPI00037636B3: hypothetical protein|unclassified	921.069
UniRef50_T1AAK3: Pyridoxal-5'-phosphate-dependent enzyme, beta subunit (Fragment)	911.077
UniRef50_T1AAK3: Pyridoxal-5'-phosphate-dependent enzyme, beta subunit (Fragment)|unclassified	911.077
UniRef50_W1DPU9: Sulfate permease	904.721
UniRef50_W1DPU9: Sulfate permease|unclassified	904.721
UniRef50_Q8K9D3: Sulfite reductase [NADPH] flavoprotein alpha-component	899.02
UniRef50_Q8K9D3: Sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	899.02
UniRef50_E2NTA3	886.273
UniRef50_E2NTA3|unclassified	886.273
UniRef50_UPI00036D185B: hypothetical protein	884.015
UniRef50_UPI00036D185B: hypothetical protein|unclassified	884.015
UniRef50_UPI000464D5EE: hypothetical protein, partial	880.629
UniRef50_UPI000464D5EE: hypothetical protein, partial|unclassified	880.629
UniRef50_B7K5B1: Adenylyl-sulfate kinase	875.434
UniRef50_B7K5B1: Adenylyl-sulfate kinase|unclassified	875.434
UniRef50_UPI000373BD8F: hypothetical protein	863.978
UniRef50_UPI000373BD8F: hypothetical protein|unclassified	863.978
UniRef50_V0FPR8: Sulfate transport protein CysZ	862.286
UniRef50_V0FPR8: Sulfate transport protein CysZ|unclassified	862.286
UniRef50_Q9SRW7: Adenylyl-sulfate kinase 3	861.181
UniRef50_Q9SRW7: Adenylyl-sulfate kinase 3|unclassified	861.181
UniRef50_UPI00016AAA2F: Oxidoreductase NAD-binding/FAD-binding protein, partial	857.315
UniRef50_UPI00016AAA2F: Oxidoreductase NAD-binding/FAD-binding protein, partial|unclassified	857.315
UniRef50_R6F379	851.306
UniRef50_R6F379|unclassified	851.306
UniRef50_I4VXF0: Pyridoxal-5'-phosphate-dependent protein subunit beta	836.243
UniRef50_I4VXF0: Pyridoxal-5'-phosphate-dependent protein subunit beta|unclassified	836.243
UniRef50_W2TMT5	836.126
UniRef50_W2TMT5|unclassified	836.126
UniRef50_F0PIR3: Sulfate permease family protein	827.996
UniRef50_F0PIR3: Sulfate permease family protein|unclassified	827.996
UniRef50_S6UID1: Sulfate permease family protein	823.246
UniRef50_S6UID1: Sulfate permease family protein|unclassified	823.246
UniRef50_UPI00035E801B: hypothetical protein	819.363
UniRef50_UPI00035E801B: hypothetical protein|unclassified	819.363
UniRef50_UPI000301C3F2: hypothetical protein	817.334
UniRef50_UPI000301C3F2: hypothetical protein|unclassified	817.334
UniRef50_T1B0G5: Cysteine synthase A (Fragment)	809.379
UniRef50_T1B0G5: Cysteine synthase A (Fragment)|unclassified	809.379
UniRef50_UPI00036D6454: hypothetical protein	809.185
UniRef50_UPI00036D6454: hypothetical protein|unclassified	809.185
UniRef50_UPI00028915C0: putative sulfite reductase, partial	804.567
UniRef50_UPI00028915C0: putative sulfite reductase, partial|unclassified	804.567
UniRef50_Q7VMX5: Cysteine synthetase	802.796
UniRef50_Q7VMX5: Cysteine synthetase|unclassified	802.796
UniRef50_UPI00036EF09E: hypothetical protein	798.814
UniRef50_UPI00036EF09E: hypothetical protein|unclassified	798.814
UniRef50_UPI00037513D4: hypothetical protein	789.858
UniRef50_UPI00037513D4: hypothetical protein|unclassified	789.858
UniRef50_B8D0S4: Adenylyl-sulfate kinase	789.582
UniRef50_B8D0S4: Adenylyl-sulfate kinase|unclassified	789.582
UniRef50_E8KIP2: STAS domain protein	782.512
UniRef50_E8KIP2: STAS domain protein|unclassified	782.512
UniRef50_A5WM20: Cysteine synthase B cysM	768.936
UniRef50_A5WM20: Cysteine synthase B cysM|unclassified	768.936
UniRef50_UPI000470A6BF: hypothetical protein, partial	766.875
UniRef50_UPI000470A6BF: hypothetical protein, partial|unclassified	766.875
UniRef50_UPI00039FD2F3: phosphoadenosine phosphosulfate reductase	755.371
UniRef50_UPI00039FD2F3: phosphoadenosine phosphosulfate reductase|unclassified	755.371
UniRef50_K2CUT0	751.601
UniRef50_K2CUT0|unclassified	751.601
UniRef50_UPI0003C13C72: PREDICTED: NADPH oxidoreductase A-like	750.471
UniRef50_UPI0003C13C72: PREDICTED: NADPH oxidoreductase A-like|unclassified	750.471
UniRef50_UPI00004C881D: ATP sulfurylase/adenylylsulfate kinase	750.214
UniRef50_UPI00004C881D: ATP sulfurylase/adenylylsulfate kinase|unclassified	750.214
UniRef50_UPI0003731A0D: phosphoadenylylsulfate reductase	746.943
UniRef50_UPI0003731A0D: phosphoadenylylsulfate reductase|unclassified	746.943
UniRef50_UPI00036AB117: hypothetical protein	738.039
UniRef50_UPI00036AB117: hypothetical protein|unclassified	738.039
UniRef50_J3CRB2: Cysteine synthase	734.09
UniRef50_J3CRB2: Cysteine synthase|unclassified	734.09
UniRef50_T1I8J2	730.057
UniRef50_T1I8J2|unclassified	730.057
UniRef50_UPI000441158E: sulphite reductase hemo protein, beta subunit	727.021
UniRef50_UPI000441158E: sulphite reductase hemo protein, beta subunit|unclassified	727.021
UniRef50_W4RP05: Sulfate permease	722.795
UniRef50_W4RP05: Sulfate permease|unclassified	722.795
UniRef50_F9P7B4: Sulfate permease family protein	719.496
UniRef50_F9P7B4: Sulfate permease family protein|unclassified	719.496
UniRef50_UPI000255810D: cysteine synthase A, partial	712.973
UniRef50_UPI000255810D: cysteine synthase A, partial|unclassified	712.973
UniRef50_A6KXG9: Adenylyl-sulfate kinase	710.91
UniRef50_A6KXG9: Adenylyl-sulfate kinase|unclassified	710.91
UniRef50_UPI00016A40B2: adenylylsulfate kinase, partial	708.738
UniRef50_UPI00016A40B2: adenylylsulfate kinase, partial|unclassified	708.738
UniRef50_UPI00020039DB: sulfate adenylyltransferase subunit 1, partial	706.536
UniRef50_UPI00020039DB: sulfate adenylyltransferase subunit 1, partial|unclassified	706.536
UniRef50_Z9JL17	703.235
UniRef50_Z9JL17|unclassified	703.235
UniRef50_G9Z4A5	700.924
UniRef50_G9Z4A5|unclassified	700.924
UniRef50_UPI00047988D4: hypothetical protein	698.069
UniRef50_UPI00047988D4: hypothetical protein|unclassified	698.069
UniRef50_UPI000476572E: adenylylsulfate kinase	692.042
UniRef50_UPI000476572E: adenylylsulfate kinase|unclassified	692.042
UniRef50_UPI0004740531: hypothetical protein, partial	690.884
UniRef50_UPI0004740531: hypothetical protein, partial|unclassified	690.884
UniRef50_UPI000476F457: sulfite reductase subunit alpha	688.037
UniRef50_UPI000476F457: sulfite reductase subunit alpha|unclassified	688.037
UniRef50_X2H565: Sulfate transporter, CysZ-type	687.579
UniRef50_X2H565: Sulfate transporter, CysZ-type|unclassified	687.579
UniRef50_V0I499: Pyridoxal-5'-phosphate-dependent enzyme, beta subunit	682.897
UniRef50_V0I499: Pyridoxal-5'-phosphate-dependent enzyme, beta subunit|unclassified	682.897
UniRef50_UPI0004721E97: hypothetical protein	678.515
UniRef50_UPI0004721E97: hypothetical protein|unclassified	678.515
UniRef50_I1E1R5: CysZ protein	676.766
UniRef50_I1E1R5: CysZ protein|unclassified	676.766
UniRef50_UPI000372BFD5: hypothetical protein	672.831
UniRef50_UPI000372BFD5: hypothetical protein|unclassified	672.831
UniRef50_N8S203	666.125
UniRef50_N8S203|unclassified	666.125
UniRef50_B1ZHY8: Pyridoxal-5'-phosphate-dependent protein beta subunit	661.608
UniRef50_B1ZHY8: Pyridoxal-5'-phosphate-dependent protein beta subunit|unclassified	661.608
UniRef50_A1UW19: Sulfite reductase, alpha subunit	659.888
UniRef50_A1UW19: Sulfite reductase, alpha subunit|unclassified	659.888
UniRef50_UPI00047AFA4E: phosphoadenosine phosphosulfate reductase	657.347
UniRef50_UPI00047AFA4E: phosphoadenosine phosphosulfate reductase|unclassified	657.347
UniRef50_D3A715	653.742
UniRef50_D3A715|unclassified	653.742
UniRef50_C6XPP0: Pyridoxal-5'-phosphate-dependent protein beta subunit	653.585
UniRef50_C6XPP0: Pyridoxal-5'-phosphate-dependent protein beta subunit|unclassified	653.585
UniRef50_A0A011MND4	652.89
UniRef50_A0A011MND4|unclassified	652.89
UniRef50_UPI00036B90F0: hypothetical protein	644.583
UniRef50_UPI00036B90F0: hypothetical protein|unclassified	644.583
UniRef50_UPI0001744C2B: hypothetical protein	643.513
UniRef50_UPI0001744C2B: hypothetical protein|unclassified	643.513
UniRef50_M4ULI1	631.646
UniRef50_M4ULI1|unclassified	631.646
UniRef50_UPI0003EA9A6B: PREDICTED: probable 5''''-adenylylsulfate reductase 1, chloroplastic-like	628.045
UniRef50_UPI0003EA9A6B: PREDICTED: probable 5''''-adenylylsulfate reductase 1, chloroplastic-like|unclassified	628.045
UniRef50_Q5QUJ8	621.44
UniRef50_Q5QUJ8|unclassified	621.44
UniRef50_P56860: Phosphoadenosine phosphosulfate reductase	621.211
UniRef50_P56860: Phosphoadenosine phosphosulfate reductase|unclassified	621.211
UniRef50_V7ZH64: Cysteine synthase	620.025
UniRef50_V7ZH64: Cysteine synthase|unclassified	620.025
UniRef50_Q2IVH4: Pyridoxal-5'-phosphate-dependent enzyme, beta subunit	619.868
UniRef50_Q2IVH4: Pyridoxal-5'-phosphate-dependent enzyme, beta subunit|unclassified	619.868
UniRef50_UPI000365ECAE: hypothetical protein, partial	604.43
UniRef50_UPI000365ECAE: hypothetical protein, partial|unclassified	604.43
UniRef50_C2WHY8: Antisigma-factor antagonist, STAS	601.628
UniRef50_C2WHY8: Antisigma-factor antagonist, STAS|unclassified	601.628
UniRef50_R5ZZV9	599.787
UniRef50_R5ZZV9|unclassified	599.787
UniRef50_UPI000462C392: MFS transporter, partial	597.73
UniRef50_UPI000462C392: MFS transporter, partial|unclassified	597.73
UniRef50_UPI000376622D: hypothetical protein	591.276
UniRef50_UPI000376622D: hypothetical protein|unclassified	591.276
UniRef50_UPI00035E5E43: phosphoadenosine phosphosulfate reductase	590.951
UniRef50_UPI00035E5E43: phosphoadenosine phosphosulfate reductase|unclassified	590.951
UniRef50_UPI00038204DC: hypothetical protein	589.309
UniRef50_UPI00038204DC: hypothetical protein|unclassified	589.309
UniRef50_UPI000366C56B: hypothetical protein	589.008
UniRef50_UPI000366C56B: hypothetical protein|unclassified	589.008
UniRef50_UPI00046986F8: hypothetical protein, partial	586.925
UniRef50_UPI00046986F8: hypothetical protein, partial|unclassified	586.925
UniRef50_Q59447: Cysteine synthase	584.091
UniRef50_Q59447: Cysteine synthase|unclassified	584.091
UniRef50_UPI000299FCE7: sulfite reductase	579.918
UniRef50_UPI000299FCE7: sulfite reductase|unclassified	579.918
UniRef50_Q5XAQ3: Cysteine synthase	578.734
UniRef50_Q5XAQ3: Cysteine synthase|unclassified	578.734
UniRef50_W6SDK6	569.086
UniRef50_W6SDK6|unclassified	569.086
UniRef50_UPI00047502F1: hypothetical protein	568.459
UniRef50_UPI00047502F1: hypothetical protein|unclassified	568.459
UniRef50_UPI00029ACA9C: sulfate transporter	568.214
UniRef50_UPI00029ACA9C: sulfate transporter|unclassified	568.214
UniRef50_K1P5D4: Cysteine synthase	566.54
UniRef50_K1P5D4: Cysteine synthase|unclassified	566.54
UniRef50_UPI0004789A27: NodQ bifunctional enzyme	564.719
UniRef50_UPI0004789A27: NodQ bifunctional enzyme|unclassified	564.719
UniRef50_J5KH59: Putative sulfate transport protein CysZ	564.592
UniRef50_J5KH59: Putative sulfate transport protein CysZ|unclassified	564.592
UniRef50_T1CPN2: Cysteine synthase B (Fragment)	563.101
UniRef50_T1CPN2: Cysteine synthase B (Fragment)|unclassified	563.101
UniRef50_Q84JF0: Adenylyl-sulfate kinase 4, chloroplastic	559.378
UniRef50_Q84JF0: Adenylyl-sulfate kinase 4, chloroplastic|unclassified	559.378
UniRef50_UPI000367676A: hypothetical protein	559.308
UniRef50_UPI000367676A: hypothetical protein|unclassified	559.308
UniRef50_D6LS30: Predicted protein	557.49
UniRef50_D6LS30: Predicted protein|unclassified	557.49
UniRef50_UPI0004694366: transporter	556.288
UniRef50_UPI0004694366: transporter|unclassified	556.288
UniRef50_UPI00047245A3: adenylylsulfate kinase	553.672
UniRef50_UPI00047245A3: adenylylsulfate kinase|unclassified	553.672
UniRef50_UPI0003B7276C: adenylylsulfate kinase	548.778
UniRef50_UPI0003B7276C: adenylylsulfate kinase|unclassified	548.778
UniRef50_UPI00037B990A: hypothetical protein	548.425
UniRef50_UPI00037B990A: hypothetical protein|unclassified	548.425
UniRef50_A4MVP6: Putative sulfate transport protein CysZ	547.417
UniRef50_A4MVP6: Putative sulfate transport protein CysZ|unclassified	547.417
UniRef50_K1CNB3	534.405
UniRef50_K1CNB3|unclassified	534.405
UniRef50_UPI0004642565: hypothetical protein, partial	530.801
UniRef50_UPI0004642565: hypothetical protein, partial|unclassified	530.801
UniRef50_C6MA56	528.39
UniRef50_C6MA56|unclassified	528.39
UniRef50_Q2S5G4: Phosphoadenosine phosphosulfate reductase	527.516
UniRef50_Q2S5G4: Phosphoadenosine phosphosulfate reductase|unclassified	527.516
UniRef50_Q13ZJ7: Adenylyl-sulfate kinase	521.789
UniRef50_Q13ZJ7: Adenylyl-sulfate kinase|unclassified	521.789
UniRef50_X0XW11: Marine sediment metagenome DNA, contig: S01H1_S36886 (Fragment)	518.282
UniRef50_X0XW11: Marine sediment metagenome DNA, contig: S01H1_S36886 (Fragment)|unclassified	518.282
UniRef50_UPI0003C14E57: PREDICTED: putative pyridoxal-phosphate dependent protein F13B12.4-like	517.196
UniRef50_UPI0003C14E57: PREDICTED: putative pyridoxal-phosphate dependent protein F13B12.4-like|unclassified	517.196
UniRef50_Q9RBV3	516.241
UniRef50_Q9RBV3|unclassified	516.241
UniRef50_P92979: 5'-adenylylsulfate reductase 1, chloroplastic	510.269
UniRef50_P92979: 5'-adenylylsulfate reductase 1, chloroplastic|unclassified	510.269
UniRef50_E2NT67	509.151
UniRef50_E2NT67|unclassified	509.151
UniRef50_B9LKC1: Adenylyl-sulfate kinase	508.654
UniRef50_B9LKC1: Adenylyl-sulfate kinase|unclassified	508.654
UniRef50_J9CYD0: Na+/sulfate symporter	505.909
UniRef50_J9CYD0: Na+/sulfate symporter|unclassified	505.909
UniRef50_P56861: Adenylyl-sulfate kinase	505.453
UniRef50_P56861: Adenylyl-sulfate kinase|unclassified	505.453
UniRef50_Q7UQW3: Adenylyl-sulfate kinase	504.555
UniRef50_Q7UQW3: Adenylyl-sulfate kinase|unclassified	504.555
UniRef50_O49196: Adenylyl-sulfate kinase 2, chloroplastic	502.135
UniRef50_O49196: Adenylyl-sulfate kinase 2, chloroplastic|unclassified	502.135
UniRef50_UPI00037E04B7: hypothetical protein	499.333
UniRef50_UPI00037E04B7: hypothetical protein|unclassified	499.333
UniRef50_UPI0004626374: hypothetical protein, partial	481.047
UniRef50_UPI0004626374: hypothetical protein, partial|unclassified	481.047
UniRef50_B9U2M3: Sulfate ABC transporter	479.386
UniRef50_B9U2M3: Sulfate ABC transporter|unclassified	479.386
UniRef50_W9TWN2	478.444
UniRef50_W9TWN2|unclassified	478.444
UniRef50_W7WME0	475.251
UniRef50_W7WME0|unclassified	475.251
UniRef50_A3GSL9: Sulfate permease family protein	474.598
UniRef50_A3GSL9: Sulfate permease family protein|unclassified	474.598
UniRef50_X1F5P1: Marine sediment metagenome DNA, contig: S01H4_S19137 (Fragment)	468.809
UniRef50_X1F5P1: Marine sediment metagenome DNA, contig: S01H4_S19137 (Fragment)|unclassified	468.809
UniRef50_H7SUY4: TrkA-C domain protein	454.892
UniRef50_H7SUY4: TrkA-C domain protein|unclassified	454.892
UniRef50_UPI00038F5CC6: Sulfate/thiosulfate import ATP-binding protein CysA	452.512
UniRef50_UPI00038F5CC6: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	452.512
UniRef50_UPI00042B90D8: Adenosine-5''-phosphosulfate (APS) kinase 3	450.085
UniRef50_UPI00042B90D8: Adenosine-5''-phosphosulfate (APS) kinase 3|unclassified	450.085
UniRef50_A0A024QBM2: Putative iron-regulated membrane protein	449.458
UniRef50_A0A024QBM2: Putative iron-regulated membrane protein|unclassified	449.458
UniRef50_F7U0V8: Spermidine/putrescine import ATP-binding protein PotA	448.677
UniRef50_F7U0V8: Spermidine/putrescine import ATP-binding protein PotA|unclassified	448.677
UniRef50_UPI0001DD0A55: sulfite reductase (NADPH) flavoprotein, alpha chain	437.361
UniRef50_UPI0001DD0A55: sulfite reductase (NADPH) flavoprotein, alpha chain|unclassified	437.361
UniRef50_Q8RKZ9	436.307
UniRef50_Q8RKZ9|unclassified	436.307
UniRef50_UPI0004706CD0: hypothetical protein, partial	436.298
UniRef50_UPI0004706CD0: hypothetical protein, partial|unclassified	436.298
UniRef50_F7MK57: Sulfate permease family protein	433.094
UniRef50_F7MK57: Sulfate permease family protein|unclassified	433.094
UniRef50_UPI0003623532: hypothetical protein	431.736
UniRef50_UPI0003623532: hypothetical protein|unclassified	431.736
UniRef50_UPI00034A5877: hypothetical protein	429.48
UniRef50_UPI00034A5877: hypothetical protein|unclassified	429.48
UniRef50_F3WZJ5: Pyridoxal-phosphate dependent enzyme family protein	427.392
UniRef50_F3WZJ5: Pyridoxal-phosphate dependent enzyme family protein|unclassified	427.392
UniRef50_L8UKS5	422.685
UniRef50_L8UKS5|unclassified	422.685
UniRef50_B1HW26	416.816
UniRef50_B1HW26|unclassified	416.816
UniRef50_N6V3N6: Sulfate transporter	414.615
UniRef50_N6V3N6: Sulfate transporter|unclassified	414.615
UniRef50_X3ERU1	411.816
UniRef50_X3ERU1|unclassified	411.816
UniRef50_UPI0004668643: hypothetical protein, partial	411.383
UniRef50_UPI0004668643: hypothetical protein, partial|unclassified	411.383
UniRef50_Q4I1N3: Sulfate adenylyltransferase	411.109
UniRef50_Q4I1N3: Sulfate adenylyltransferase|unclassified	411.109
UniRef50_I4VI37: Pyridoxal-5'-phosphate-dependent protein subunit beta	411.038
UniRef50_I4VI37: Pyridoxal-5'-phosphate-dependent protein subunit beta|unclassified	411.038
UniRef50_X0W5F2: Marine sediment metagenome DNA, contig: S01H1_S24629 (Fragment)	409.973
UniRef50_X0W5F2: Marine sediment metagenome DNA, contig: S01H1_S24629 (Fragment)|unclassified	409.973
UniRef50_Q1D6P1: Adenylyl-sulfate kinase	409.626
UniRef50_Q1D6P1: Adenylyl-sulfate kinase|unclassified	409.626
UniRef50_B1JH59: Pyridoxal-phosphate dependent protein	409.547
UniRef50_B1JH59: Pyridoxal-phosphate dependent protein|unclassified	409.547
UniRef50_UPI0002DA1C47: hypothetical protein	407.574
UniRef50_UPI0002DA1C47: hypothetical protein|unclassified	407.574
UniRef50_R7ILA0: Sulfate permease family protein	407.174
UniRef50_R7ILA0: Sulfate permease family protein|unclassified	407.174
UniRef50_W5XBH9: Protein kinase/transcriptional regulator	403.952
UniRef50_W5XBH9: Protein kinase/transcriptional regulator|unclassified	403.952
UniRef50_S6B5C8	402.968
UniRef50_S6B5C8|unclassified	402.968
UniRef50_O32978: O-acetylserine sulfhydrylase	401.865
UniRef50_O32978: O-acetylserine sulfhydrylase|unclassified	401.865
UniRef50_X8E434: O-phosphoserine sulfhydrylase	398.757
UniRef50_X8E434: O-phosphoserine sulfhydrylase|unclassified	398.757
UniRef50_UPI00046D3F50: hypothetical protein	397.434
UniRef50_UPI00046D3F50: hypothetical protein|unclassified	397.434
UniRef50_G8T3T4: Oxidoreductase FAD-binding protein	395.428
UniRef50_G8T3T4: Oxidoreductase FAD-binding protein|unclassified	395.428
UniRef50_P78937: Sulfate adenylyltransferase	376.892
UniRef50_P78937: Sulfate adenylyltransferase|unclassified	376.892
UniRef50_Q4WWN8: Sulfate adenylyltransferase	373.676
UniRef50_Q4WWN8: Sulfate adenylyltransferase|unclassified	373.676
UniRef50_UPI0004701F48: hypothetical protein, partial	367.2
UniRef50_UPI0004701F48: hypothetical protein, partial|unclassified	367.2
UniRef50_Q1V8X5: Putative sulfate transport protein CysZ	362.676
UniRef50_Q1V8X5: Putative sulfate transport protein CysZ|unclassified	362.676
UniRef50_UPI000382DAAE: hypothetical protein, partial	360.448
UniRef50_UPI000382DAAE: hypothetical protein, partial|unclassified	360.448
UniRef50_UPI000368C7E1: hypothetical protein	356.939
UniRef50_UPI000368C7E1: hypothetical protein|unclassified	356.939
UniRef50_UPI00035F5B95: hypothetical protein, partial	356.907
UniRef50_UPI00035F5B95: hypothetical protein, partial|unclassified	356.907
UniRef50_P0CN05: Sulfate adenylyltransferase	352.71
UniRef50_P0CN05: Sulfate adenylyltransferase|unclassified	352.71
UniRef50_W1S6E3: Cysteine synthase	351.863
UniRef50_W1S6E3: Cysteine synthase|unclassified	351.863
UniRef50_Q0RUZ4: Probable sulfate transporter	348.122
UniRef50_Q0RUZ4: Probable sulfate transporter|unclassified	348.122
UniRef50_C7RBE1	342.125
UniRef50_C7RBE1|unclassified	342.125
UniRef50_A0A024QCJ7: Putative iron-regulated membrane protein	340.342
UniRef50_A0A024QCJ7: Putative iron-regulated membrane protein|unclassified	340.342
UniRef50_C6MA55	338.872
UniRef50_C6MA55|unclassified	338.872
UniRef50_P52674: Sulfite reductase [NADPH] flavoprotein alpha-component	337.844
UniRef50_P52674: Sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	337.844
UniRef50_UPI0004650767: hypothetical protein, partial	337.752
UniRef50_UPI0004650767: hypothetical protein, partial|unclassified	337.752
UniRef50_UPI0002487FB5: high affinity sulfate transporter (SulP), partial	335.836
UniRef50_UPI0002487FB5: high affinity sulfate transporter (SulP), partial|unclassified	335.836
UniRef50_F0KUF6: Sulphate transporter	334.074
UniRef50_F0KUF6: Sulphate transporter|unclassified	334.074
UniRef50_J1FB93	330.468
UniRef50_J1FB93|unclassified	330.468
UniRef50_H5TAA4: CysZ protein	330.229
UniRef50_H5TAA4: CysZ protein|unclassified	330.229
UniRef50_A0A018QQN1: Pyridoxal-5'-phosphate-dependent enzyme beta subunit	329.659
UniRef50_A0A018QQN1: Pyridoxal-5'-phosphate-dependent enzyme beta subunit|unclassified	329.659
UniRef50_R5URQ3	329.024
UniRef50_R5URQ3|unclassified	329.024
UniRef50_C0XQT2	327.6
UniRef50_C0XQT2|unclassified	327.6
UniRef50_UPI00046742AC: hypothetical protein	326.69
UniRef50_UPI00046742AC: hypothetical protein|unclassified	326.69
UniRef50_C3A2J3: Sulphate transport system permease protein 1	326.515
