# Gene Family	SamplecAMP_signaling_in_bacteria_Abundance-RPKs
UniRef50_UPI0002FE34A3: hypothetical protein	115.6619519539
UniRef50_UPI0002FE34A3: hypothetical protein|unclassified	115.6619519539
UniRef50_X8F2G0: AAA ATPase domain protein	114.8655897853
UniRef50_X8F2G0: AAA ATPase domain protein|unclassified	114.8655897853
UniRef50_D1NCN2	114.5841447226
UniRef50_D1NCN2|unclassified	114.5841447226
UniRef50_UPI0003D2D281: amidase	114.3907853326
UniRef50_UPI0003D2D281: amidase|unclassified	114.3907853326
UniRef50_S6QH28: Adenylate cyclase (Fragment)	114.2430978600
UniRef50_S6QH28: Adenylate cyclase (Fragment)|unclassified	114.2430978600
UniRef50_UPI000479CC46: adenylate cyclase	114.1118803882
UniRef50_UPI000479CC46: adenylate cyclase|unclassified	114.1118803882
UniRef50_X1ELE2: Marine sediment metagenome DNA, contig: S03H2_L02850 (Fragment)	113.9930261320
UniRef50_X1ELE2: Marine sediment metagenome DNA, contig: S03H2_L02850 (Fragment)|unclassified	113.9930261320
UniRef50_D8JEZ3: Adenylate cyclase	113.4296745818
UniRef50_D8JEZ3: Adenylate cyclase|unclassified	113.4296745818
UniRef50_UPI0003C7FDE8: ArsR family transcriptional regulator	113.2837287393
UniRef50_UPI0003C7FDE8: ArsR family transcriptional regulator|unclassified	113.2837287393
UniRef50_S6JR38: C component of insecticidal toxin complex (Tc)	112.9728804547
UniRef50_S6JR38: C component of insecticidal toxin complex (Tc)|unclassified	112.9728804547
UniRef50_X0X902: Marine sediment metagenome DNA, contig: S01H1_S33238 (Fragment)	111.8213455713
UniRef50_X0X902: Marine sediment metagenome DNA, contig: S01H1_S33238 (Fragment)|unclassified	111.8213455713
UniRef50_I1WJ16	111.4286240132
UniRef50_I1WJ16|unclassified	111.4286240132
UniRef50_UPI0003690414: hypothetical protein	111.3522079387
UniRef50_UPI0003690414: hypothetical protein|unclassified	111.3522079387
UniRef50_UPI000467229A: ArsR family transcriptional regulator	110.5584068781
UniRef50_UPI000467229A: ArsR family transcriptional regulator|unclassified	110.5584068781
UniRef50_UPI0003FABD44: hypothetical protein	109.7919596474
UniRef50_UPI0003FABD44: hypothetical protein|unclassified	109.7919596474
UniRef50_UPI000476806A: ArsR family transcriptional regulator	109.6204629069
UniRef50_UPI000476806A: ArsR family transcriptional regulator|unclassified	109.6204629069
UniRef50_UPI00034BB2D0: hypothetical protein	109.2237333215
UniRef50_UPI00034BB2D0: hypothetical protein|unclassified	109.2237333215
UniRef50_H2FVE5: Adenylate cyclase family protein	108.7419161488
UniRef50_H2FVE5: Adenylate cyclase family protein|unclassified	108.7419161488
UniRef50_A5GLK1: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	108.5649386875
UniRef50_A5GLK1: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	108.5649386875
UniRef50_S6VP98: Transcriptional regulator	108.3621572716
UniRef50_S6VP98: Transcriptional regulator|unclassified	108.3621572716
UniRef50_A0A010H5W0: CHAD domain protein	107.5498981923
UniRef50_A0A010H5W0: CHAD domain protein|unclassified	107.5498981923
UniRef50_UPI00037E73A4: hypothetical protein	107.4810598994
UniRef50_UPI00037E73A4: hypothetical protein|unclassified	107.4810598994
UniRef50_UPI00046A95B0: cardiolipin synthase	106.9112456992
UniRef50_UPI00046A95B0: cardiolipin synthase|unclassified	106.9112456992
UniRef50_UPI0002379FA6: guanylate cyclase	106.8310285138
UniRef50_UPI0002379FA6: guanylate cyclase|unclassified	106.8310285138
UniRef50_UPI0004771B08: regulatory protein	106.8243156818
UniRef50_UPI0004771B08: regulatory protein|unclassified	106.8243156818
UniRef50_UPI00016A5C40: protein kinase domain protein, partial	106.7193154507
UniRef50_UPI00016A5C40: protein kinase domain protein, partial|unclassified	106.7193154507
UniRef50_F2A366	106.3542906229
UniRef50_F2A366|unclassified	106.3542906229
UniRef50_R4LV12: ArsR family transcriptional regulator	106.2777711221
UniRef50_R4LV12: ArsR family transcriptional regulator|unclassified	106.2777711221
UniRef50_UPI0004690D5B: diguanylate cyclase, partial	105.9613644493
UniRef50_UPI0004690D5B: diguanylate cyclase, partial|unclassified	105.9613644493
UniRef50_UPI0000510153: ArsR family transcriptional regulator	105.4470865540
UniRef50_UPI0000510153: ArsR family transcriptional regulator|unclassified	105.4470865540
UniRef50_UPI000361AF24: hypothetical protein	104.7600567447
UniRef50_UPI000361AF24: hypothetical protein|unclassified	104.7600567447
UniRef50_UPI00016A87BD: protein kinase domain protein, partial	102.7667509844
UniRef50_UPI00016A87BD: protein kinase domain protein, partial|unclassified	102.7667509844
UniRef50_UPI0003B6E7FA: ArsR family transcriptional regulator	102.4118307858
UniRef50_UPI0003B6E7FA: ArsR family transcriptional regulator|unclassified	102.4118307858
UniRef50_P0DKX6: Cyclolysin secretion/processing ATP-binding protein CyaB	102.3955439065
UniRef50_P0DKX6: Cyclolysin secretion/processing ATP-binding protein CyaB|unclassified	102.3955439065
UniRef50_UPI000255F88B: ArsR family transcriptional regulator	102.1111705939
UniRef50_UPI000255F88B: ArsR family transcriptional regulator|unclassified	102.1111705939
UniRef50_P19485: Adenylate cyclase 1	102.0547114423
UniRef50_P19485: Adenylate cyclase 1|unclassified	102.0547114423
UniRef50_UPI000363F2A7: hypothetical protein	101.6900782177
UniRef50_UPI000363F2A7: hypothetical protein|unclassified	101.6900782177
UniRef50_Q725J0: Peptidase, M23/M37 family	101.5666181679
UniRef50_Q725J0: Peptidase, M23/M37 family|unclassified	101.5666181679
UniRef50_S5XUA7: Transcriptional regulator, ArsR family	100.6713668445
UniRef50_S5XUA7: Transcriptional regulator, ArsR family|unclassified	100.6713668445
UniRef50_UPI00046FA202: hypothetical protein	100.3380872701
UniRef50_UPI00046FA202: hypothetical protein|unclassified	100.3380872701
UniRef50_UPI00036AC05E: hypothetical protein	100.3114819221
UniRef50_UPI00036AC05E: hypothetical protein|unclassified	100.3114819221
UniRef50_UPI000382062A: hypothetical protein	100.0389556159
UniRef50_UPI000382062A: hypothetical protein|unclassified	100.0389556159
UniRef50_UPI0004783AD9: ArsR family transcriptional regulator	99.9528235411
UniRef50_UPI0004783AD9: ArsR family transcriptional regulator|unclassified	99.9528235411
UniRef50_UPI0003B4ACAB: hypothetical protein, partial	99.8339970546
UniRef50_UPI0003B4ACAB: hypothetical protein, partial|unclassified	99.8339970546
UniRef50_UPI00035D51F1: hypothetical protein	99.8012914230
UniRef50_UPI00035D51F1: hypothetical protein|unclassified	99.8012914230
UniRef50_UPI00047005E9: hypothetical protein	99.5597929521
UniRef50_UPI00047005E9: hypothetical protein|unclassified	99.5597929521
UniRef50_UPI0004270B42: hypothetical protein	99.4875070491
UniRef50_UPI0004270B42: hypothetical protein|unclassified	99.4875070491
UniRef50_I2DUX0: Lipoprotein NlpD	99.3501278905
UniRef50_I2DUX0: Lipoprotein NlpD|unclassified	99.3501278905
UniRef50_UPI00047C6299: ArsR family transcriptional regulator	98.8132607470
UniRef50_UPI00047C6299: ArsR family transcriptional regulator|unclassified	98.8132607470
UniRef50_V2Q564	98.3428892550
UniRef50_V2Q564|unclassified	98.3428892550
UniRef50_UPI000372AD84: hypothetical protein	97.4484391926
UniRef50_UPI000372AD84: hypothetical protein|unclassified	97.4484391926
UniRef50_UPI0002377035: putative ArsR family transcriptional regulator	97.1596174332
UniRef50_UPI0002377035: putative ArsR family transcriptional regulator|unclassified	97.1596174332
UniRef50_UPI0004744AF6: hypothetical protein	97.0201216314
UniRef50_UPI0004744AF6: hypothetical protein|unclassified	97.0201216314
UniRef50_X7ULX3: AAA ATPase domain protein	97.0093446199
UniRef50_X7ULX3: AAA ATPase domain protein|unclassified	97.0093446199
UniRef50_Q58542: Putative arsenical pump-driving ATPase	95.7714351388
UniRef50_Q58542: Putative arsenical pump-driving ATPase|unclassified	95.7714351388
UniRef50_W7LEY0: Peptidase M23	95.3360521571
UniRef50_W7LEY0: Peptidase M23|unclassified	95.3360521571
UniRef50_S7PMH4: Adenylate cyclase	95.3091864280
UniRef50_S7PMH4: Adenylate cyclase|unclassified	95.3091864280
UniRef50_A0A011PFE2: Cardiolipin synthase	95.2763199515
UniRef50_A0A011PFE2: Cardiolipin synthase|unclassified	95.2763199515
UniRef50_U3ADT0: Membrane proteins related to metalloendopeptidases	94.7853757152
UniRef50_U3ADT0: Membrane proteins related to metalloendopeptidases|unclassified	94.7853757152
UniRef50_UPI000415BDB9: hypothetical protein	94.3233534927
UniRef50_UPI000415BDB9: hypothetical protein|unclassified	94.3233534927
UniRef50_P40137: Adenylate cyclase 1	93.8938157174
UniRef50_P40137: Adenylate cyclase 1|unclassified	93.8938157174
UniRef50_X1ITH4: Marine sediment metagenome DNA, contig: S03H2_S17450 (Fragment)	93.7429188440
UniRef50_X1ITH4: Marine sediment metagenome DNA, contig: S03H2_S17450 (Fragment)|unclassified	93.7429188440
UniRef50_C4U303: Phosphodiesterase	93.1318256670
UniRef50_C4U303: Phosphodiesterase|unclassified	93.1318256670
UniRef50_UPI00036DD510: hypothetical protein	92.3004314551
UniRef50_UPI00036DD510: hypothetical protein|unclassified	92.3004314551
UniRef50_UPI00037D108B: ArsR family transcriptional regulator	92.0286312894
UniRef50_UPI00037D108B: ArsR family transcriptional regulator|unclassified	92.0286312894
UniRef50_W5XB16: 2'-5' RNA ligase	91.5277496950
UniRef50_W5XB16: 2'-5' RNA ligase|unclassified	91.5277496950
UniRef50_UPI00035CFB4A: hypothetical protein	91.3842040297
UniRef50_UPI00035CFB4A: hypothetical protein|unclassified	91.3842040297
UniRef50_UPI00016ABA8B: protein kinase domain protein, partial	90.8622284931
UniRef50_UPI00016ABA8B: protein kinase domain protein, partial|unclassified	90.8622284931
UniRef50_UPI000373AAAA: hypothetical protein	90.7334661613
UniRef50_UPI000373AAAA: hypothetical protein|unclassified	90.7334661613
UniRef50_A3N0M4	90.4916255182
UniRef50_A3N0M4|unclassified	90.4916255182
UniRef50_UPI00039B4E18: hypothetical protein	90.3450996369
UniRef50_UPI00039B4E18: hypothetical protein|unclassified	90.3450996369
UniRef50_X5QAD7	89.6621034283
UniRef50_X5QAD7|unclassified	89.6621034283
UniRef50_UPI000477D718: ArsR family transcriptional regulator	89.5117354435
UniRef50_UPI000477D718: ArsR family transcriptional regulator|unclassified	89.5117354435
UniRef50_E3YZV4: Peptidase S14, ClpP	89.5017834664
UniRef50_E3YZV4: Peptidase S14, ClpP|unclassified	89.5017834664
UniRef50_F3Z728	89.3149649042
UniRef50_F3Z728|unclassified	89.3149649042
UniRef50_UPI000368AAAC: peptidase, partial	89.3104367646
UniRef50_UPI000368AAAC: peptidase, partial|unclassified	89.3104367646
UniRef50_UPI000471F0FC: hypothetical protein	89.2002752347
UniRef50_UPI000471F0FC: hypothetical protein|unclassified	89.2002752347
UniRef50_Q3JTJ0	89.1623760987
UniRef50_Q3JTJ0|unclassified	89.1623760987
UniRef50_K0VJW2: Adenylate/guanylate cyclase (Fragment)	89.1081507907
UniRef50_K0VJW2: Adenylate/guanylate cyclase (Fragment)|unclassified	89.1081507907
UniRef50_UPI0003B56F64: hypothetical protein	88.9838196832
UniRef50_UPI0003B56F64: hypothetical protein|unclassified	88.9838196832
UniRef50_UPI0004734C3F: peptidase, partial	88.6980893009
UniRef50_UPI0004734C3F: peptidase, partial|unclassified	88.6980893009
UniRef50_M4XL98: Adenylate cyclase	88.5530272076
UniRef50_M4XL98: Adenylate cyclase|unclassified	88.5530272076
UniRef50_C5CTP6: Peptidase M23	88.4702321175
UniRef50_C5CTP6: Peptidase M23|unclassified	88.4702321175
UniRef50_UPI0001816FA8: putative adenylate cyclase protein	88.1968718089
UniRef50_UPI0001816FA8: putative adenylate cyclase protein|unclassified	88.1968718089
UniRef50_B2IYE3	88.1473462998
UniRef50_B2IYE3|unclassified	88.1473462998
UniRef50_A4MY37	88.0188991414
UniRef50_A4MY37|unclassified	88.0188991414
UniRef50_M6HFU2: CHASE2 domain protein	87.9697775961
UniRef50_M6HFU2: CHASE2 domain protein|unclassified	87.9697775961
UniRef50_UPI0003770044: hypothetical protein	87.8344983081
UniRef50_UPI0003770044: hypothetical protein|unclassified	87.8344983081
UniRef50_UPI00035CF788: metallophosphoesterase	87.5242198569
UniRef50_UPI00035CF788: metallophosphoesterase|unclassified	87.5242198569
UniRef50_Q6NAG3	87.2744181914
UniRef50_Q6NAG3|unclassified	87.2744181914
UniRef50_UPI000370E91F: hypothetical protein	87.2121779931
UniRef50_UPI000370E91F: hypothetical protein|unclassified	87.2121779931
UniRef50_Q3J0V1	87.0733685463
UniRef50_Q3J0V1|unclassified	87.0733685463
UniRef50_UPI000288823F: hypothetical protein	86.9178478978
UniRef50_UPI000288823F: hypothetical protein|unclassified	86.9178478978
UniRef50_X7X491: Putative cyclase-related protein	86.8962772416
UniRef50_X7X491: Putative cyclase-related protein|unclassified	86.8962772416
UniRef50_UPI000348074C: hypothetical protein	86.8565515514
UniRef50_UPI000348074C: hypothetical protein|unclassified	86.8565515514
UniRef50_UPI000468231A: hypothetical protein	86.6942197939
UniRef50_UPI000468231A: hypothetical protein|unclassified	86.6942197939
UniRef50_UPI0003622297: cyclase	86.6889259033
UniRef50_UPI0003622297: cyclase|unclassified	86.6889259033
UniRef50_UPI000469D7D2: guanylate cyclase	86.5335096494
UniRef50_UPI000469D7D2: guanylate cyclase|unclassified	86.5335096494
UniRef50_UPI0002893E7A: toxin protein	86.4968014091
UniRef50_UPI0002893E7A: toxin protein|unclassified	86.4968014091
UniRef50_Q0I3K6	86.3525068737
UniRef50_Q0I3K6|unclassified	86.3525068737
UniRef50_A0P1Z4: Adenylate/guanylate cyclase (Fragment)	86.0771357211
UniRef50_A0P1Z4: Adenylate/guanylate cyclase (Fragment)|unclassified	86.0771357211
UniRef50_B1WPM5: DUF928-containing protein	85.8694939111
UniRef50_B1WPM5: DUF928-containing protein|unclassified	85.8694939111
UniRef50_UPI0003813EDA: hypothetical protein	85.7988697822
UniRef50_UPI0003813EDA: hypothetical protein|unclassified	85.7988697822
UniRef50_UPI00034D0E5E: regulatory protein	85.7437216580
UniRef50_UPI00034D0E5E: regulatory protein|unclassified	85.7437216580
UniRef50_Q2T5A2: Lipoprotein NlpD, putative	85.6178264884
UniRef50_Q2T5A2: Lipoprotein NlpD, putative|unclassified	85.6178264884
UniRef50_H3CB11	85.4477699805
UniRef50_H3CB11|unclassified	85.4477699805
UniRef50_UPI0003683767: peptidase M24	85.3571595999
UniRef50_UPI0003683767: peptidase M24|unclassified	85.3571595999
UniRef50_UPI00016C5295: hypothetical protein	85.1369080578
UniRef50_UPI00016C5295: hypothetical protein|unclassified	85.1369080578
UniRef50_UPI0003B5CC6D: adenylyl cyclase	84.9056176824
UniRef50_UPI0003B5CC6D: adenylyl cyclase|unclassified	84.9056176824
UniRef50_V0TWQ8	84.8420404245
UniRef50_V0TWQ8|unclassified	84.8420404245
UniRef50_W1BB29: Putative Heme-regulated two-component response regulator	84.3415252412
UniRef50_W1BB29: Putative Heme-regulated two-component response regulator|unclassified	84.3415252412
UniRef50_UPI00037ABA18: hypothetical protein	83.7426197671
UniRef50_UPI00037ABA18: hypothetical protein|unclassified	83.7426197671
UniRef50_F9QBA8: Peptidase, M23 family	83.7296501840
UniRef50_F9QBA8: Peptidase, M23 family|unclassified	83.7296501840
UniRef50_UPI000382D529: guanylate cyclase, partial	83.7034537226
UniRef50_UPI000382D529: guanylate cyclase, partial|unclassified	83.7034537226
UniRef50_K8BN80	83.5383175445
UniRef50_K8BN80|unclassified	83.5383175445
UniRef50_B3XE90: SepC	83.4844520051
UniRef50_B3XE90: SepC|unclassified	83.4844520051
UniRef50_UPI00031A36BF: peptidase	83.4115394288
UniRef50_UPI00031A36BF: peptidase|unclassified	83.4115394288
UniRef50_R4Y5H8: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome	83.1466554443
UniRef50_R4Y5H8: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome|unclassified	83.1466554443
UniRef50_B2UCW8: Peptidase M23	83.1321355774
UniRef50_B2UCW8: Peptidase M23|unclassified	83.1321355774
UniRef50_X8FAP0: AAA ATPase domain protein	83.1192183454
UniRef50_X8FAP0: AAA ATPase domain protein|unclassified	83.1192183454
UniRef50_U3QZU6	82.7547625716
UniRef50_U3QZU6|unclassified	82.7547625716
UniRef50_UPI000472E203: hypothetical protein	82.6732124846
UniRef50_UPI000472E203: hypothetical protein|unclassified	82.6732124846
UniRef50_UPI00029AAD82: ArsR family transcriptional regulator	82.4268025010
UniRef50_UPI00029AAD82: ArsR family transcriptional regulator|unclassified	82.4268025010
UniRef50_UPI0003696FFF: hypothetical protein	82.3283064528
UniRef50_UPI0003696FFF: hypothetical protein|unclassified	82.3283064528
UniRef50_UPI000363455D: peptidase M23	82.1445553507
UniRef50_UPI000363455D: peptidase M23|unclassified	82.1445553507
UniRef50_UPI000262778C: adenylate/guanylate cyclase	81.8172920572
UniRef50_UPI000262778C: adenylate/guanylate cyclase|unclassified	81.8172920572
UniRef50_UPI000363998F: hypothetical protein	81.3492746940
UniRef50_UPI000363998F: hypothetical protein|unclassified	81.3492746940
UniRef50_UPI00047587F9: adenylyl cyclase	80.8290705946
UniRef50_UPI00047587F9: adenylyl cyclase|unclassified	80.8290705946
UniRef50_X6D3T9	80.7376992208
UniRef50_X6D3T9|unclassified	80.7376992208
UniRef50_UPI0003663470: hypothetical protein	80.6884209917
UniRef50_UPI0003663470: hypothetical protein|unclassified	80.6884209917
UniRef50_UPI0004692A16: hypothetical protein	80.6662145260
UniRef50_UPI0004692A16: hypothetical protein|unclassified	80.6662145260
UniRef50_X8AXR7	80.6545035529
UniRef50_X8AXR7|unclassified	80.6545035529
UniRef50_W1JJJ8	80.5215746417
UniRef50_W1JJJ8|unclassified	80.5215746417
UniRef50_UPI0004647DC5: hypothetical protein	80.3492806116
UniRef50_UPI0004647DC5: hypothetical protein|unclassified	80.3492806116
UniRef50_Q5P7N3	80.2158328185
UniRef50_Q5P7N3|unclassified	80.2158328185
UniRef50_A6LHP3	80.1462963931
UniRef50_A6LHP3|unclassified	80.1462963931
UniRef50_UPI00046FFF53: guanylate cyclase, partial	80.0530443890
UniRef50_UPI00046FFF53: guanylate cyclase, partial|unclassified	80.0530443890
UniRef50_UPI00031544A1: hypothetical protein	80.0021016255
UniRef50_UPI00031544A1: hypothetical protein|unclassified	80.0021016255
UniRef50_D7AF52: Zinc metalloendopeptidase, M23 family	79.7288250348
UniRef50_D7AF52: Zinc metalloendopeptidase, M23 family|unclassified	79.7288250348
UniRef50_UPI00026C6FD3: ArsR transcriptional regulator	79.6179001753
UniRef50_UPI00026C6FD3: ArsR transcriptional regulator|unclassified	79.6179001753
UniRef50_K9PIK9: CHAD domain containing protein	79.5792072658
UniRef50_K9PIK9: CHAD domain containing protein|unclassified	79.5792072658
UniRef50_UPI00045E9100: ArsR family transcriptional regulator	79.2819587803
UniRef50_UPI00045E9100: ArsR family transcriptional regulator|unclassified	79.2819587803
UniRef50_Q5QY17	79.0882930904
UniRef50_Q5QY17|unclassified	79.0882930904
UniRef50_UPI00036F1151: hypothetical protein	79.0283252089
UniRef50_UPI00036F1151: hypothetical protein|unclassified	79.0283252089
UniRef50_A7NF54: Peptidase M23B	79.0167255448
UniRef50_A7NF54: Peptidase M23B|unclassified	79.0167255448
UniRef50_E3IR85: Peptidase S14 ClpP	78.9536550509
UniRef50_E3IR85: Peptidase S14 ClpP|unclassified	78.9536550509
UniRef50_UPI00035ECF18: peptidase, partial	78.8985079144
UniRef50_UPI00035ECF18: peptidase, partial|unclassified	78.8985079144
UniRef50_UPI0003816682: hypothetical protein	78.4213402805
UniRef50_UPI0003816682: hypothetical protein|unclassified	78.4213402805
UniRef50_UPI000476F23C: ArsR family transcriptional regulator	78.0298669941
UniRef50_UPI000476F23C: ArsR family transcriptional regulator|unclassified	78.0298669941
UniRef50_D7B8X4: FHA domain containing protein	77.9773811658
UniRef50_D7B8X4: FHA domain containing protein|unclassified	77.9773811658
UniRef50_UPI00046C8D8E: hypothetical protein	77.9612706966
UniRef50_UPI00046C8D8E: hypothetical protein|unclassified	77.9612706966
UniRef50_M6BUP5	77.7073926125
UniRef50_M6BUP5|unclassified	77.7073926125
UniRef50_UPI00040D7CDE: ArsR family transcriptional regulator	76.9676839944
UniRef50_UPI00040D7CDE: ArsR family transcriptional regulator|unclassified	76.9676839944
UniRef50_F0BLB4	76.7825228775
UniRef50_F0BLB4|unclassified	76.7825228775
UniRef50_UPI00046EF86A: peptidase S14	76.7584221953
UniRef50_UPI00046EF86A: peptidase S14|unclassified	76.7584221953
UniRef50_UPI0003B41E09: cytochrome C	76.7298579557
UniRef50_UPI0003B41E09: cytochrome C|unclassified	76.7298579557
UniRef50_UPI000262779A: adenylate/guanylate cyclase	76.4938303002
UniRef50_UPI000262779A: adenylate/guanylate cyclase|unclassified	76.4938303002
UniRef50_UPI0002260336: isochorismatase hydrolase	76.4066965664
UniRef50_UPI0002260336: isochorismatase hydrolase|unclassified	76.4066965664
UniRef50_UPI0003A110AE: ArsR family transcriptional regulator	76.2944897889
UniRef50_UPI0003A110AE: ArsR family transcriptional regulator|unclassified	76.2944897889
UniRef50_UPI000370F571: hypothetical protein	75.9725520129
UniRef50_UPI000370F571: hypothetical protein|unclassified	75.9725520129
UniRef50_UPI00046AB5E4: hypothetical protein	75.9125707947
UniRef50_UPI00046AB5E4: hypothetical protein|unclassified	75.9125707947
UniRef50_M6TEE5	75.8148121107
UniRef50_M6TEE5|unclassified	75.8148121107
UniRef50_U1YI13	75.6892733033
UniRef50_U1YI13|unclassified	75.6892733033
UniRef50_C7BNH6: Insecticidal toxin complex protein tccc3	75.5412016414
UniRef50_C7BNH6: Insecticidal toxin complex protein tccc3|unclassified	75.5412016414
UniRef50_Q39HL0: Peptidase M23B	75.5214308223
UniRef50_Q39HL0: Peptidase M23B|unclassified	75.5214308223
UniRef50_A3K1Z7	75.1980842126
UniRef50_A3K1Z7|unclassified	75.1980842126
UniRef50_UPI00035FF84F: guanylyl cyclase, partial	75.1501294826
UniRef50_UPI00035FF84F: guanylyl cyclase, partial|unclassified	75.1501294826
UniRef50_A7C7P1	75.0648952285
UniRef50_A7C7P1|unclassified	75.0648952285
UniRef50_UPI000366C2B5: hypothetical protein	75.0306697584
UniRef50_UPI000366C2B5: hypothetical protein|unclassified	75.0306697584
UniRef50_B9JT09	74.7053539762
UniRef50_B9JT09|unclassified	74.7053539762
UniRef50_UPI0003F9BB01: hypothetical protein	74.5859282660
UniRef50_UPI0003F9BB01: hypothetical protein|unclassified	74.5859282660
UniRef50_G4B986: NlpD protein	74.5616646357
UniRef50_G4B986: NlpD protein|unclassified	74.5616646357
UniRef50_UPI0002DBAB86: hypothetical protein	74.5485859165
UniRef50_UPI0002DBAB86: hypothetical protein|unclassified	74.5485859165
UniRef50_I9ML82: Arsenical pump-driving ATPase ArsA (Fragment)	74.3593721507
UniRef50_I9ML82: Arsenical pump-driving ATPase ArsA (Fragment)|unclassified	74.3593721507
UniRef50_UPI0004683933: hypothetical protein	74.1212187392
UniRef50_UPI0004683933: hypothetical protein|unclassified	74.1212187392
UniRef50_M3HLU6	74.0177719691
UniRef50_M3HLU6|unclassified	74.0177719691
UniRef50_UPI00040FFC39: hypothetical protein	73.9923005545
UniRef50_UPI00040FFC39: hypothetical protein|unclassified	73.9923005545
UniRef50_X8EZJ6	73.3904045498
UniRef50_X8EZJ6|unclassified	73.3904045498
UniRef50_B5EJ97: Adenylate cyclase	73.3224728846
UniRef50_B5EJ97: Adenylate cyclase|unclassified	73.3224728846
UniRef50_X8AZI0: Adenylate and Guanylate cyclase catalytic domain protein	73.2861970219
UniRef50_X8AZI0: Adenylate and Guanylate cyclase catalytic domain protein|unclassified	73.2861970219
UniRef50_H5TFI3	72.7173717946
UniRef50_H5TFI3|unclassified	72.7173717946
UniRef50_UPI000360E6D7: hypothetical protein	72.6199850289
UniRef50_UPI000360E6D7: hypothetical protein|unclassified	72.6199850289
UniRef50_Q4FQ25: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	72.5067198678
UniRef50_Q4FQ25: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	72.5067198678
UniRef50_UPI00045EAF29: hypothetical protein	72.2871297760
UniRef50_UPI00045EAF29: hypothetical protein|unclassified	72.2871297760
UniRef50_N6V937: ArsR family transcriptional regulator	72.2518524604
UniRef50_N6V937: ArsR family transcriptional regulator|unclassified	72.2518524604
UniRef50_UPI00034D2293: hypothetical protein	72.2079097766
UniRef50_UPI00034D2293: hypothetical protein|unclassified	72.2079097766
UniRef50_UPI0003785C73: hypothetical protein	72.1752369413
UniRef50_UPI0003785C73: hypothetical protein|unclassified	72.1752369413
UniRef50_UPI000237A0A0: adenylate/guanylate cyclase	72.1684073524
UniRef50_UPI000237A0A0: adenylate/guanylate cyclase|unclassified	72.1684073524
UniRef50_A0A011PKM9: Alpha-hemolysin translocation ATP-binding protein HlyB	71.8242163578
UniRef50_A0A011PKM9: Alpha-hemolysin translocation ATP-binding protein HlyB|unclassified	71.8242163578
UniRef50_UPI00036A8B77: MULTISPECIES: hypothetical protein	71.8140174124
UniRef50_UPI00036A8B77: MULTISPECIES: hypothetical protein|unclassified	71.8140174124
UniRef50_UPI000476B3F1: hypothetical protein	71.7401339516
UniRef50_UPI000476B3F1: hypothetical protein|unclassified	71.7401339516
UniRef50_UPI00036AC6FD: MULTISPECIES: hypothetical protein	71.7276174562
UniRef50_UPI00036AC6FD: MULTISPECIES: hypothetical protein|unclassified	71.7276174562
UniRef50_A0A052IES3: Peptidase, M23 family	71.7108007459
UniRef50_A0A052IES3: Peptidase, M23 family|unclassified	71.7108007459
UniRef50_UPI000373755D: hypothetical protein	71.7087936638
UniRef50_UPI000373755D: hypothetical protein|unclassified	71.7087936638
UniRef50_UPI000470487A: hypothetical protein, partial	71.6576440076
UniRef50_UPI000470487A: hypothetical protein, partial|unclassified	71.6576440076
UniRef50_S6T268: Regulatory protein ArsR (Fragment)	71.5886520057
UniRef50_S6T268: Regulatory protein ArsR (Fragment)|unclassified	71.5886520057
UniRef50_F4GXZ1: Peptidase S14	71.4628922185
UniRef50_F4GXZ1: Peptidase S14|unclassified	71.4628922185
UniRef50_UPI00036272CF: hypothetical protein	71.2908074437
UniRef50_UPI00036272CF: hypothetical protein|unclassified	71.2908074437
UniRef50_UPI00047ECEFA: adenylate cyclase, partial	71.1621387200
UniRef50_UPI00047ECEFA: adenylate cyclase, partial|unclassified	71.1621387200
UniRef50_M4W2F6: Membrane protein related to metalloendopeptidase	71.0685111469
UniRef50_M4W2F6: Membrane protein related to metalloendopeptidase|unclassified	71.0685111469
UniRef50_UPI0004119CE0: histidine kinase	70.9695695482
UniRef50_UPI0004119CE0: histidine kinase|unclassified	70.9695695482
UniRef50_UPI00037B3B30: hypothetical protein	70.7760122362
UniRef50_UPI00037B3B30: hypothetical protein|unclassified	70.7760122362
UniRef50_UPI0004756E90: hypothetical protein	70.2822831993
UniRef50_UPI0004756E90: hypothetical protein|unclassified	70.2822831993
UniRef50_A0A013SCY9: Bacterial regulatory of the arsR family domain protein	70.2317514354
UniRef50_A0A013SCY9: Bacterial regulatory of the arsR family domain protein|unclassified	70.2317514354
UniRef50_Q3J8J5: Adenylate cyclase	69.8060665187
UniRef50_Q3J8J5: Adenylate cyclase|unclassified	69.8060665187
UniRef50_L0NC47: Putative GAF sensor protein	69.6286346036
UniRef50_L0NC47: Putative GAF sensor protein|unclassified	69.6286346036
UniRef50_UPI0003734DC2: hypothetical protein, partial	69.6275920951
UniRef50_UPI0003734DC2: hypothetical protein, partial|unclassified	69.6275920951
UniRef50_UPI0004649DA4: hypothetical protein	69.5593271437
