# Gene Family	SamplecAMP_signaling_in_bacteria_Abundance-CPM
UniRef50_UPI0003F6AD5C: ATPase|unclassified	133.246
UniRef50_UPI00036A8B2F: hypothetical protein	133.187
UniRef50_UPI00036A8B2F: hypothetical protein|unclassified	133.187
UniRef50_UPI00047ECE9A: hypothetical protein	133.162
UniRef50_UPI00047ECE9A: hypothetical protein|unclassified	133.162
UniRef50_B8FI89: Peptidase M23	132.912
UniRef50_B8FI89: Peptidase M23|unclassified	132.912
UniRef50_A8M686: Peptidase M23B	132.754
UniRef50_A8M686: Peptidase M23B|unclassified	132.754
UniRef50_Q1I8K3	132.69
UniRef50_Q1I8K3|unclassified	132.69
UniRef50_T1A483: Cardiolipin synthetase	132.621
UniRef50_T1A483: Cardiolipin synthetase|unclassified	132.621
UniRef50_X0SQ27: Marine sediment metagenome DNA, contig: S01H1_C00832 (Fragment)	132.41
UniRef50_X0SQ27: Marine sediment metagenome DNA, contig: S01H1_C00832 (Fragment)|unclassified	132.41
UniRef50_A3XN78: RNA-binding region RNP-1 (RNA recognition motif):Adenylate cyclase	132.305
UniRef50_A3XN78: RNA-binding region RNP-1 (RNA recognition motif):Adenylate cyclase|unclassified	132.305
UniRef50_X8FCT2: Adenylate cyclase domain protein	132.261
UniRef50_X8FCT2: Adenylate cyclase domain protein|unclassified	132.261
UniRef50_A4F6J3	132.177
UniRef50_A4F6J3|unclassified	132.177
UniRef50_M6X2L0	132.077
UniRef50_M6X2L0|unclassified	132.077
UniRef50_UPI000361C66D: hypothetical protein	131.884
UniRef50_UPI000361C66D: hypothetical protein|unclassified	131.884
UniRef50_X8DNV9: Peptidase M23 family protein	131.739
UniRef50_X8DNV9: Peptidase M23 family protein|unclassified	131.739
UniRef50_Q01RD6	131.727
UniRef50_Q01RD6|unclassified	131.727
UniRef50_A7HGS4: Peptidase M23B	131.656
UniRef50_A7HGS4: Peptidase M23B|unclassified	131.656
UniRef50_H7GGT7	131.627
UniRef50_H7GGT7|unclassified	131.627
UniRef50_V5UEN5: Adenylate cyclase	131.494
UniRef50_V5UEN5: Adenylate cyclase|unclassified	131.494
UniRef50_Q0AUA9: Peptidase M23B	131.408
UniRef50_Q0AUA9: Peptidase M23B|unclassified	131.408
UniRef50_UPI00036A4F99: hypothetical protein	131.04
UniRef50_UPI00036A4F99: hypothetical protein|unclassified	131.04
UniRef50_UPI0002D97036: hypothetical protein	131.013
UniRef50_UPI0002D97036: hypothetical protein|unclassified	131.013
UniRef50_E3FQA0: Anion-transporting ATPase family protein	130.99
UniRef50_E3FQA0: Anion-transporting ATPase family protein|unclassified	130.99
UniRef50_D2UES4: Putative membrane metalloendopeptidase protein	130.946
UniRef50_D2UES4: Putative membrane metalloendopeptidase protein|unclassified	130.946
UniRef50_U5U2F0: Phosphoesterase 52 (Fragment)	130.871
UniRef50_U5U2F0: Phosphoesterase 52 (Fragment)|unclassified	130.871
UniRef50_UPI00036529B8: hypothetical protein	130.752
UniRef50_UPI00036529B8: hypothetical protein|unclassified	130.752
UniRef50_UPI00046572E6: hypothetical protein	130.684
UniRef50_UPI00046572E6: hypothetical protein|unclassified	130.684
UniRef50_U1DFI1	130.519
UniRef50_U1DFI1|unclassified	130.519
UniRef50_A4BPH3	130.433
UniRef50_A4BPH3|unclassified	130.433
UniRef50_UPI0004644D93: hypothetical protein, partial	130.356
UniRef50_UPI0004644D93: hypothetical protein, partial|unclassified	130.356
UniRef50_UPI0003B4A2B2: ATPase	130.167
UniRef50_UPI0003B4A2B2: ATPase|unclassified	130.167
UniRef50_P10089: Alpha-hemolysin translocation ATP-binding protein HlyB	130.118
UniRef50_P10089: Alpha-hemolysin translocation ATP-binding protein HlyB|unclassified	130.118
UniRef50_U7G2I2	130.077
UniRef50_U7G2I2|unclassified	130.077
UniRef50_UPI00037FCDD8: hypothetical protein	129.99
UniRef50_UPI00037FCDD8: hypothetical protein|unclassified	129.99
UniRef50_UPI00036D5E9D: hypothetical protein	129.942
UniRef50_UPI00036D5E9D: hypothetical protein|unclassified	129.942
UniRef50_UPI0003B68173: ArsR family transcriptional regulator	129.815
UniRef50_UPI0003B68173: ArsR family transcriptional regulator|unclassified	129.815
UniRef50_UPI0003736B65: hypothetical protein	129.732
UniRef50_UPI0003736B65: hypothetical protein|unclassified	129.732
UniRef50_UPI0003B3BE15: 3'''',5''''-cyclic-nucleotide phosphodiesterase	129.675
UniRef50_UPI0003B3BE15: 3'''',5''''-cyclic-nucleotide phosphodiesterase|unclassified	129.675
UniRef50_UPI0004157784: adenylate cyclase	129.55
UniRef50_UPI0004157784: adenylate cyclase|unclassified	129.55
UniRef50_E0UDZ2	129.474
UniRef50_E0UDZ2|unclassified	129.474
UniRef50_Q1GXS8	129.401
UniRef50_Q1GXS8|unclassified	129.401
UniRef50_Q01PZ1	129.317
UniRef50_Q01PZ1|unclassified	129.317
UniRef50_UPI0003487BD4: hypothetical protein	129.268
UniRef50_UPI0003487BD4: hypothetical protein|unclassified	129.268
UniRef50_B2HED2	129.161
UniRef50_B2HED2|unclassified	129.161
UniRef50_D1TYL4	129.108
UniRef50_D1TYL4|unclassified	129.108
UniRef50_B8ETS0: CHAD domain containing protein	129.033
UniRef50_B8ETS0: CHAD domain containing protein|unclassified	129.033
UniRef50_A3IXS2	129.019
UniRef50_A3IXS2|unclassified	129.019
UniRef50_C1DK51: Peptidase M23B family protein	128.91
UniRef50_C1DK51: Peptidase M23B family protein|unclassified	128.91
UniRef50_UPI000467CE4F: hypothetical protein	128.568
UniRef50_UPI000467CE4F: hypothetical protein|unclassified	128.568
UniRef50_Q4BZY7	128.44
UniRef50_Q4BZY7|unclassified	128.44
UniRef50_K8H467	128.373
UniRef50_K8H467|unclassified	128.373
UniRef50_Q119H5	128.369
UniRef50_Q119H5|unclassified	128.369
UniRef50_UPI000467498F: hypothetical protein, partial	128.277
UniRef50_UPI000467498F: hypothetical protein, partial|unclassified	128.277
UniRef50_UPI00046A701E: hypothetical protein	128.276
UniRef50_UPI00046A701E: hypothetical protein|unclassified	128.276
UniRef50_A0AWZ2: Peptidase M23B	128.251
UniRef50_A0AWZ2: Peptidase M23B|unclassified	128.251
UniRef50_UPI00045EBD09: hypothetical protein	128.231
UniRef50_UPI00045EBD09: hypothetical protein|unclassified	128.231
UniRef50_UPI0003B63C97: ATPase	128.122
UniRef50_UPI0003B63C97: ATPase|unclassified	128.122
UniRef50_UPI00035E3E35: hypothetical protein	128.11
UniRef50_UPI00035E3E35: hypothetical protein|unclassified	128.11
UniRef50_Q2W0F4: Membrane protein related to metalloendopeptidase	127.985
UniRef50_Q2W0F4: Membrane protein related to metalloendopeptidase|unclassified	127.985
UniRef50_A8ZRT0: TPR repeat-containing protein	127.95
UniRef50_A8ZRT0: TPR repeat-containing protein|unclassified	127.95
UniRef50_K1VP93	127.852
UniRef50_K1VP93|unclassified	127.852
UniRef50_B2JAT1	127.746
UniRef50_B2JAT1|unclassified	127.746
UniRef50_UPI00036E9C6F: hypothetical protein	127.735
UniRef50_UPI00036E9C6F: hypothetical protein|unclassified	127.735
UniRef50_Q3B463	127.731
UniRef50_Q3B463|unclassified	127.731
UniRef50_B2KC28: Tetratricopeptide domain protein	127.61
UniRef50_B2KC28: Tetratricopeptide domain protein|unclassified	127.61
UniRef50_Q4MV79: Putative ADP-ribosyltransferase Certhrax	127.596
UniRef50_Q4MV79: Putative ADP-ribosyltransferase Certhrax|unclassified	127.596
UniRef50_D0J5H9: Diguanylate cyclase	127.592
UniRef50_D0J5H9: Diguanylate cyclase|unclassified	127.592
UniRef50_UPI000367A985: hypothetical protein	127.522
UniRef50_UPI000367A985: hypothetical protein|unclassified	127.522
UniRef50_C7PZA6: FHA domain containing protein	127.122
UniRef50_C7PZA6: FHA domain containing protein|unclassified	127.122
UniRef50_Q01NB6	126.996
UniRef50_Q01NB6|unclassified	126.996
UniRef50_B2KBQ4: Metalloendopeptidase-like membrane protein	126.944
UniRef50_B2KBQ4: Metalloendopeptidase-like membrane protein|unclassified	126.944
UniRef50_X1CWU0: Marine sediment metagenome DNA, contig: S01H4_S18771 (Fragment)	126.902
UniRef50_X1CWU0: Marine sediment metagenome DNA, contig: S01H4_S18771 (Fragment)|unclassified	126.902
UniRef50_UPI00028915C2: ArsR family transcriptional regulator	126.852
UniRef50_UPI00028915C2: ArsR family transcriptional regulator|unclassified	126.852
UniRef50_A0A038G249	126.75
UniRef50_A0A038G249|unclassified	126.75
UniRef50_F9ZJ55: Peptidase M23	126.701
UniRef50_F9ZJ55: Peptidase M23|unclassified	126.701
UniRef50_B8KPN2: TPR repeat-containing protein	126.468
UniRef50_B8KPN2: TPR repeat-containing protein|unclassified	126.468
UniRef50_UPI00047BD258: hypothetical protein	126.323
UniRef50_UPI00047BD258: hypothetical protein|unclassified	126.323
UniRef50_UPI0004639EBF: hypothetical protein, partial	126.295
UniRef50_UPI0004639EBF: hypothetical protein, partial|unclassified	126.295
UniRef50_A1S852: GGDEF domain-like protein	126.177
UniRef50_A1S852: GGDEF domain-like protein|unclassified	126.177
UniRef50_UPI0002E88786: hypothetical protein	126.095
UniRef50_UPI0002E88786: hypothetical protein|unclassified	126.095
UniRef50_UPI00036C8D0C: hypothetical protein	126.02
UniRef50_UPI00036C8D0C: hypothetical protein|unclassified	126.02
UniRef50_C7R7M7: Adenylate cyclase	125.907
UniRef50_C7R7M7: Adenylate cyclase|unclassified	125.907
UniRef50_UPI00021976A3: Clp protease	125.872
UniRef50_UPI00021976A3: Clp protease|unclassified	125.872
UniRef50_B8HTM6	125.832
UniRef50_B8HTM6|unclassified	125.832
UniRef50_UPI0004669786: hypothetical protein, partial	125.716
UniRef50_UPI0004669786: hypothetical protein, partial|unclassified	125.716
UniRef50_A0A011PQ63	125.696
UniRef50_A0A011PQ63|unclassified	125.696
UniRef50_UPI000374E17D: hypothetical protein	125.618
UniRef50_UPI000374E17D: hypothetical protein|unclassified	125.618
UniRef50_UPI000469B330: hypothetical protein	125.452
UniRef50_UPI000469B330: hypothetical protein|unclassified	125.452
UniRef50_B3EJ31: CHAD domain containing protein	125.452
UniRef50_B3EJ31: CHAD domain containing protein|unclassified	125.452
UniRef50_V6UGX9	125.417
UniRef50_V6UGX9|unclassified	125.417
UniRef50_A2BJH3: Adenylate cyclase, class 2	125.384
UniRef50_A2BJH3: Adenylate cyclase, class 2|unclassified	125.384
UniRef50_K9X578: Membrane-bound metallopeptidase	125.355
UniRef50_K9X578: Membrane-bound metallopeptidase|unclassified	125.355
UniRef50_Q1QZN7: Adenylate cyclase	125.301
UniRef50_Q1QZN7: Adenylate cyclase|unclassified	125.301
UniRef50_Q0A5X4: CHAD domain containing protein	125.148
UniRef50_Q0A5X4: CHAD domain containing protein|unclassified	125.148
UniRef50_B0T1Y3: Adenylate cyclase	125.119
UniRef50_B0T1Y3: Adenylate cyclase|unclassified	125.119
UniRef50_B1I133: Peptidase M23B	124.992
UniRef50_B1I133: Peptidase M23B|unclassified	124.992
UniRef50_Q022Z0	124.871
UniRef50_Q022Z0|unclassified	124.871
UniRef50_R7X734: Transcriptional regulator, ArsR family protein	124.776
UniRef50_R7X734: Transcriptional regulator, ArsR family protein|unclassified	124.776
UniRef50_UPI0002E522EF: hypothetical protein	124.703
UniRef50_UPI0002E522EF: hypothetical protein|unclassified	124.703
UniRef50_UPI0004694FC7: hypothetical protein	124.172
UniRef50_UPI0004694FC7: hypothetical protein|unclassified	124.172
UniRef50_Q0B0A6: Peptidase M23B	124.11
UniRef50_Q0B0A6: Peptidase M23B|unclassified	124.11
UniRef50_S6EEQ9: Putative Adenylate cyclase	124.062
UniRef50_S6EEQ9: Putative Adenylate cyclase|unclassified	124.062
UniRef50_D7AXL0: Adenylate cyclase	123.948
UniRef50_D7AXL0: Adenylate cyclase|unclassified	123.948
UniRef50_A0A011MK33: Adenylate cyclase 1	123.92
UniRef50_A0A011MK33: Adenylate cyclase 1|unclassified	123.92
UniRef50_Z5XH59	123.709
UniRef50_Z5XH59|unclassified	123.709
UniRef50_Q024L9	123.584
UniRef50_Q024L9|unclassified	123.584
UniRef50_A4SEL2: CHAD domain containing protein	123.447
UniRef50_A4SEL2: CHAD domain containing protein|unclassified	123.447
UniRef50_A3TIB7	123.349
UniRef50_A3TIB7|unclassified	123.349
UniRef50_O52027: Putative arsenical pump-driving ATPase	123.322
UniRef50_O52027: Putative arsenical pump-driving ATPase|unclassified	123.322
UniRef50_B1X2M7	123.227
UniRef50_B1X2M7|unclassified	123.227
UniRef50_Q020G8	123.211
UniRef50_Q020G8|unclassified	123.211
UniRef50_UPI0003F96E76: hypothetical protein	123.209
UniRef50_UPI0003F96E76: hypothetical protein|unclassified	123.209
UniRef50_A0R7P5: Peptidase M23B	123.207
UniRef50_A0R7P5: Peptidase M23B|unclassified	123.207
UniRef50_UPI000475C02C: cyclase	123.025
UniRef50_UPI000475C02C: cyclase|unclassified	123.025
UniRef50_Q982E5: Mll9114 protein	122.949
UniRef50_Q982E5: Mll9114 protein|unclassified	122.949
UniRef50_C3L4W0: Anthrax toxin expression trans-acting positive regulator	122.933
UniRef50_C3L4W0: Anthrax toxin expression trans-acting positive regulator|unclassified	122.933
UniRef50_A0A038FY10	122.86
UniRef50_A0A038FY10|unclassified	122.86
UniRef50_UPI0003721CEA: hypothetical protein	122.713
UniRef50_UPI0003721CEA: hypothetical protein|unclassified	122.713
UniRef50_Q47EA8: Forkhead-associated	122.686
UniRef50_Q47EA8: Forkhead-associated|unclassified	122.686
UniRef50_UPI000374CFF7: hypothetical protein	122.678
UniRef50_UPI000374CFF7: hypothetical protein|unclassified	122.678
UniRef50_D4H744: CHAD domain containing protein	122.422
UniRef50_D4H744: CHAD domain containing protein|unclassified	122.422
UniRef50_A8PLR1: Adenylate cyclase	122.092
UniRef50_A8PLR1: Adenylate cyclase|unclassified	122.092
UniRef50_Q82UJ1	121.84
UniRef50_Q82UJ1|unclassified	121.84
UniRef50_D0J3Z5: Diguanylate cyclase	121.792
UniRef50_D0J3Z5: Diguanylate cyclase|unclassified	121.792
UniRef50_A0L4U0: Adenylate cyclase	121.557
UniRef50_A0L4U0: Adenylate cyclase|unclassified	121.557
UniRef50_UPI0004279A83: MULTISPECIES: arsenic ABC transporter ATPase	121.464
UniRef50_UPI0004279A83: MULTISPECIES: arsenic ABC transporter ATPase|unclassified	121.464
UniRef50_M6ZXF7	121.46
UniRef50_M6ZXF7|unclassified	121.46
UniRef50_UPI0004285AF6: ATPase	121.449
UniRef50_UPI0004285AF6: ATPase|unclassified	121.449
UniRef50_UPI00035EDD9F: hypothetical protein	121.424
UniRef50_UPI00035EDD9F: hypothetical protein|unclassified	121.424
UniRef50_UPI0004709816: hypothetical protein	121.322
UniRef50_UPI0004709816: hypothetical protein|unclassified	121.322
UniRef50_UPI00037CEAFF: hypothetical protein	121.118
UniRef50_UPI00037CEAFF: hypothetical protein|unclassified	121.118
UniRef50_B8HY23	120.981
UniRef50_B8HY23|unclassified	120.981
UniRef50_B1YJ26	120.959
UniRef50_B1YJ26|unclassified	120.959
UniRef50_UPI000300ABC3: hypothetical protein	120.945
UniRef50_UPI000300ABC3: hypothetical protein|unclassified	120.945
UniRef50_C7QEG3: CHAD domain containing protein	120.832
UniRef50_C7QEG3: CHAD domain containing protein|unclassified	120.832
UniRef50_UPI00036CEB13: hypothetical protein	120.819
UniRef50_UPI00036CEB13: hypothetical protein|unclassified	120.819
UniRef50_N6XTJ0: 7TM diverse intracellular signaling domain protein	120.796
UniRef50_N6XTJ0: 7TM diverse intracellular signaling domain protein|unclassified	120.796
UniRef50_UPI00037746A6: hypothetical protein	120.771
UniRef50_UPI00037746A6: hypothetical protein|unclassified	120.771
UniRef50_F5XHM4	120.667
UniRef50_F5XHM4|unclassified	120.667
UniRef50_B2J0V3	120.499
UniRef50_B2J0V3|unclassified	120.499
UniRef50_D7AJR7: Zinc metalloendopeptidase, M23 family	120.23
UniRef50_D7AJR7: Zinc metalloendopeptidase, M23 family|unclassified	120.23
UniRef50_UPI00035FB6F7: ArsR family transcriptional regulator	120.135
UniRef50_UPI00035FB6F7: ArsR family transcriptional regulator|unclassified	120.135
UniRef50_E8YTE4: Peptidase M23	119.851
UniRef50_E8YTE4: Peptidase M23|unclassified	119.851
UniRef50_X0UB16: Marine sediment metagenome DNA, contig: S01H1_S02638 (Fragment)	119.846
UniRef50_X0UB16: Marine sediment metagenome DNA, contig: S01H1_S02638 (Fragment)|unclassified	119.846
UniRef50_Q3SJW0	119.839
UniRef50_Q3SJW0|unclassified	119.839
UniRef50_G2TEM9: Adenylate cyclase	119.631
UniRef50_G2TEM9: Adenylate cyclase|unclassified	119.631
UniRef50_G8PIM9: Adenylate cyclase CyaB	119.482
UniRef50_G8PIM9: Adenylate cyclase CyaB|unclassified	119.482
UniRef50_UPI000363C217: hypothetical protein	119.45
UniRef50_UPI000363C217: hypothetical protein|unclassified	119.45
UniRef50_Q02CK5	119.369
UniRef50_Q02CK5|unclassified	119.369
UniRef50_D5X6T7: CHAD domain containing protein	119.141
UniRef50_D5X6T7: CHAD domain containing protein|unclassified	119.141
UniRef50_Q022N6	119.071
UniRef50_Q022N6|unclassified	119.071
UniRef50_S9QN98: Transcriptional regulator, ArsR family	119.067
UniRef50_S9QN98: Transcriptional regulator, ArsR family|unclassified	119.067
UniRef50_UPI00037EF636: hypothetical protein	118.983
UniRef50_UPI00037EF636: hypothetical protein|unclassified	118.983
UniRef50_UPI0004794D2E: peptidase	118.899
UniRef50_UPI0004794D2E: peptidase|unclassified	118.899
UniRef50_Q5YS60	118.623
UniRef50_Q5YS60|unclassified	118.623
UniRef50_D9XMF8: FHA domain-containing protein	118.381
UniRef50_D9XMF8: FHA domain-containing protein|unclassified	118.381
UniRef50_K9TL76	118.368
UniRef50_K9TL76|unclassified	118.368
UniRef50_UPI000423D947: hypothetical protein	118.353
UniRef50_UPI000423D947: hypothetical protein|unclassified	118.353
UniRef50_G4A445: NlpD protein	118.33
UniRef50_G4A445: NlpD protein|unclassified	118.33
UniRef50_Q4MV81	118.296
UniRef50_Q4MV81|unclassified	118.296
UniRef50_A1B2T1: CHAD domain containing protein	118.261
UniRef50_A1B2T1: CHAD domain containing protein|unclassified	118.261
UniRef50_Q7NM71: Gll0897 protein	118.058
UniRef50_Q7NM71: Gll0897 protein|unclassified	118.058
UniRef50_B6YV72: Adenylate cyclase	118.032
UniRef50_B6YV72: Adenylate cyclase|unclassified	118.032
UniRef50_Q1IQY8	117.936
UniRef50_Q1IQY8|unclassified	117.936
UniRef50_R9SJS7: Adenylate cyclase CyaA	117.906
UniRef50_R9SJS7: Adenylate cyclase CyaA|unclassified	117.906
UniRef50_Q129G0: Adenylate cyclase	117.883
UniRef50_Q129G0: Adenylate cyclase|unclassified	117.883
UniRef50_UPI0002377A56: adenylate cyclase, partial	117.763
UniRef50_UPI0002377A56: adenylate cyclase, partial|unclassified	117.763
UniRef50_E4MZG7	117.668
UniRef50_E4MZG7|unclassified	117.668
UniRef50_Q1D4J2: CHASE2 domain protein	117.585
UniRef50_Q1D4J2: CHASE2 domain protein|unclassified	117.585
UniRef50_UPI0003452AC1: hypothetical protein	117.394
UniRef50_UPI0003452AC1: hypothetical protein|unclassified	117.394
UniRef50_Q46AX1: Transcriptional regulator, ArsR family	117.366
UniRef50_Q46AX1: Transcriptional regulator, ArsR family|unclassified	117.366
UniRef50_B3PE85: Putative membrane protein	117.344
UniRef50_B3PE85: Putative membrane protein|unclassified	117.344
UniRef50_Q3JTJ1: Subfamily M23B unassigned peptidase	117.337
UniRef50_Q3JTJ1: Subfamily M23B unassigned peptidase|unclassified	117.337
UniRef50_H9UAF8: Metalloendopeptidase-like membrane protein	117.183
UniRef50_H9UAF8: Metalloendopeptidase-like membrane protein|unclassified	117.183
UniRef50_UPI00026C69BD: ArsR family transcriptional regulator	117.144
UniRef50_UPI00026C69BD: ArsR family transcriptional regulator|unclassified	117.144
UniRef50_UPI000262B9C1: ArsR family transcriptional regulator	116.857
UniRef50_UPI000262B9C1: ArsR family transcriptional regulator|unclassified	116.857
UniRef50_B1Y126: Tetratricopeptide TPR_2 repeat protein	116.829
UniRef50_B1Y126: Tetratricopeptide TPR_2 repeat protein|unclassified	116.829
UniRef50_G7FEH8	116.772
UniRef50_G7FEH8|unclassified	116.772
UniRef50_U7QGX5: CHASE2 domain protein	116.572
UniRef50_U7QGX5: CHASE2 domain protein|unclassified	116.572
UniRef50_A9C2G6: Diguanylate cyclase	116.54
UniRef50_A9C2G6: Diguanylate cyclase|unclassified	116.54
UniRef50_UPI00031C36CE: hypothetical protein	116.419
UniRef50_UPI00031C36CE: hypothetical protein|unclassified	116.419
UniRef50_UPI0003B40FAE: guanylate cyclase	116.366
UniRef50_UPI0003B40FAE: guanylate cyclase|unclassified	116.366
UniRef50_UPI000237DCDB: diguanylate cyclase (GGDEF)/phosphodiesterase (EAL) with PAS and GAF domains, partial	116.313
UniRef50_UPI000237DCDB: diguanylate cyclase (GGDEF)/phosphodiesterase (EAL) with PAS and GAF domains, partial|unclassified	116.313
UniRef50_UPI0003FBE78C: MULTISPECIES: ATPase	116.291
UniRef50_UPI0003FBE78C: MULTISPECIES: ATPase|unclassified	116.291
UniRef50_Q1QPH0: CHAD protein	116.177
UniRef50_Q1QPH0: CHAD protein|unclassified	116.177
UniRef50_UPI000347A7B9: hypothetical protein	116.032
UniRef50_UPI000347A7B9: hypothetical protein|unclassified	116.032
UniRef50_A3WDR1	115.964
UniRef50_A3WDR1|unclassified	115.964
UniRef50_U7I6E7	115.927
UniRef50_U7I6E7|unclassified	115.927
UniRef50_F3LVQ7: Adenylate cyclase	115.911
UniRef50_F3LVQ7: Adenylate cyclase|unclassified	115.911
UniRef50_V2H985: Toxin (Fragment)	115.833
UniRef50_V2H985: Toxin (Fragment)|unclassified	115.833
UniRef50_A4ABU0: Putative integral membrane protein	115.722
UniRef50_A4ABU0: Putative integral membrane protein|unclassified	115.722
UniRef50_A1APM2: Peptidase M23B	115.492
UniRef50_A1APM2: Peptidase M23B|unclassified	115.492
UniRef50_Q020J3	115.233
UniRef50_Q020J3|unclassified	115.233
UniRef50_Q3ARY5	115.116
UniRef50_Q3ARY5|unclassified	115.116
UniRef50_Q18K33: MarR family transcription regulator	114.695
UniRef50_Q18K33: MarR family transcription regulator|unclassified	114.695
UniRef50_UPI00041B4E49: hypothetical protein	114.363
UniRef50_UPI00041B4E49: hypothetical protein|unclassified	114.363
UniRef50_C7M7I3: Cyclic nucleotide-binding protein	114.12
UniRef50_C7M7I3: Cyclic nucleotide-binding protein|unclassified	114.12
UniRef50_A7H8V5: Tetratricopeptide TPR_4	113.898
UniRef50_A7H8V5: Tetratricopeptide TPR_4|unclassified	113.898
UniRef50_A4SGS7: Peptidase M23B	113.83
UniRef50_A4SGS7: Peptidase M23B|unclassified	113.83
UniRef50_UPI00047C2B26: hypothetical protein	113.821
UniRef50_UPI00047C2B26: hypothetical protein|unclassified	113.821
UniRef50_Q0A937: Diguanylate cyclase	113.789
UniRef50_Q0A937: Diguanylate cyclase|unclassified	113.789
UniRef50_Q26I71	113.625
UniRef50_Q26I71|unclassified	113.625
UniRef50_X0UVW1: Marine sediment metagenome DNA, contig: S01H1_L09858 (Fragment)	113.601
UniRef50_X0UVW1: Marine sediment metagenome DNA, contig: S01H1_L09858 (Fragment)|unclassified	113.601
UniRef50_A5VEN0: CHAD domain containing protein	113.574
UniRef50_A5VEN0: CHAD domain containing protein|unclassified	113.574
UniRef50_M3HTG3: 7TM diverse intracellular signaling	113.566
UniRef50_M3HTG3: 7TM diverse intracellular signaling|unclassified	113.566
UniRef50_C7R3C3: Peptidase M23	113.442
UniRef50_C7R3C3: Peptidase M23|unclassified	113.442
UniRef50_B1I6P4: Peptidase M23B	113.279
UniRef50_B1I6P4: Peptidase M23B|unclassified	113.279
UniRef50_Q21WV4: Adenylate cyclase	113.094
UniRef50_Q21WV4: Adenylate cyclase|unclassified	113.094
UniRef50_V5V7T5: Metalloendopeptidase-like membrane protein	113.039
UniRef50_V5V7T5: Metalloendopeptidase-like membrane protein|unclassified	113.039
UniRef50_B2IT15: Putative Chase2 sensor protein	112.942
UniRef50_B2IT15: Putative Chase2 sensor protein|unclassified	112.942
UniRef50_F2AR22: Adenylate cyclase 1	112.814
UniRef50_F2AR22: Adenylate cyclase 1|unclassified	112.814
UniRef50_B2TDX8	112.755
UniRef50_B2TDX8|unclassified	112.755
UniRef50_UPI0003815D95: hypothetical protein	112.728
UniRef50_UPI0003815D95: hypothetical protein|unclassified	112.728
UniRef50_H8HW45	112.684
UniRef50_H8HW45|unclassified	112.684
UniRef50_UPI000225F651: regulatory protein ArsR	112.66
UniRef50_UPI000225F651: regulatory protein ArsR|unclassified	112.66
UniRef50_UPI000364163E: hypothetical protein	112.659
UniRef50_UPI000364163E: hypothetical protein|unclassified	112.659
UniRef50_UPI00047B1737: hypothetical protein	112.621
UniRef50_UPI00047B1737: hypothetical protein|unclassified	112.621
UniRef50_D5CS18: CHAD domain containing protein	112.59
UniRef50_D5CS18: CHAD domain containing protein|unclassified	112.59
UniRef50_UPI00037B8310: hypothetical protein	112.478
UniRef50_UPI00037B8310: hypothetical protein|unclassified	112.478
UniRef50_W8HBM0	112.389
UniRef50_W8HBM0|unclassified	112.389
UniRef50_UPI00036F036A: hypothetical protein, partial	112.358
UniRef50_UPI00036F036A: hypothetical protein, partial|unclassified	112.358
UniRef50_Q6MGZ5: Membrane protein related to metalloendopeptidases	112.297
UniRef50_Q6MGZ5: Membrane protein related to metalloendopeptidases|unclassified	112.297
UniRef50_E4B0V1: FHA domain protein	112.275
UniRef50_E4B0V1: FHA domain protein|unclassified	112.275
UniRef50_UPI00036470A8: hypothetical protein	112.162
UniRef50_UPI00036470A8: hypothetical protein|unclassified	112.162
UniRef50_X5PWQ6: Adenylate cyclase	111.836
UniRef50_X5PWQ6: Adenylate cyclase|unclassified	111.836
UniRef50_A4J2N3: Peptidase M23B	111.73
UniRef50_A4J2N3: Peptidase M23B|unclassified	111.73
UniRef50_Q0ASW0: Integral membrane protein-like protein	111.718
UniRef50_Q0ASW0: Integral membrane protein-like protein|unclassified	111.718
UniRef50_UPI00046A31A3: hypothetical protein	111.69
UniRef50_UPI00046A31A3: hypothetical protein|unclassified	111.69
UniRef50_E8WUN6: Peptidase M23	111.642
UniRef50_E8WUN6: Peptidase M23|unclassified	111.642
UniRef50_Q0ATV2: Metalloendopeptidase-like membrane protein	111.587
UniRef50_Q0ATV2: Metalloendopeptidase-like membrane protein|unclassified	111.587
UniRef50_X0UEN7: Marine sediment metagenome DNA, contig: S01H1_S13300 (Fragment)	111.516
UniRef50_X0UEN7: Marine sediment metagenome DNA, contig: S01H1_S13300 (Fragment)|unclassified	111.516
UniRef50_Q0BTQ6: Putative adenylate cyclase family	111.485
UniRef50_Q0BTQ6: Putative adenylate cyclase family|unclassified	111.485
UniRef50_W7VGF8: LigA protein (Fragment)	111.286
UniRef50_W7VGF8: LigA protein (Fragment)|unclassified	111.286
UniRef50_UPI00036A1651: hypothetical protein	111.104
UniRef50_UPI00036A1651: hypothetical protein|unclassified	111.104
UniRef50_Q0APN8: Integral membrane protein-like protein	110.945
UniRef50_Q0APN8: Integral membrane protein-like protein|unclassified	110.945
UniRef50_UPI000380FF19: chemotaxis protein CheY, partial	110.912
UniRef50_UPI000380FF19: chemotaxis protein CheY, partial|unclassified	110.912
UniRef50_UPI0003600427: hypothetical protein	110.858
UniRef50_UPI0003600427: hypothetical protein|unclassified	110.858
UniRef50_W5X9I1	110.756
UniRef50_W5X9I1|unclassified	110.756
UniRef50_Q47WJ3: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	110.715
