# Gene Family	SampleDNA_repair._bacterial_Abundance-RPKs
UniRef50_UPI000255DCA8: DNA repair protein RecN	148.2791315797
UniRef50_UPI000255DCA8: DNA repair protein RecN|unclassified	148.2791315797
UniRef50_UPI0002F98C03: hypothetical protein	147.4595486442
UniRef50_UPI0002F98C03: hypothetical protein|unclassified	147.4595486442
UniRef50_UPI00016A57F8: DNA repair protein RadC, partial	147.3766458573
UniRef50_UPI00016A57F8: DNA repair protein RadC, partial|unclassified	147.3766458573
UniRef50_UPI0004750310: hypothetical protein	147.0610111787
UniRef50_UPI0004750310: hypothetical protein|unclassified	147.0610111787
UniRef50_UPI0003669ACE: hypothetical protein	146.8300951574
UniRef50_UPI0003669ACE: hypothetical protein|unclassified	146.8300951574
UniRef50_E5ZJL6: A/G-specific adenine glycosylase domain protein	146.5049921887
UniRef50_E5ZJL6: A/G-specific adenine glycosylase domain protein|unclassified	146.5049921887
UniRef50_Q18B66: Exodeoxyribonuclease 7 large subunit	146.1994119290
UniRef50_Q18B66: Exodeoxyribonuclease 7 large subunit|unclassified	146.1994119290
UniRef50_UPI0002F4F40A: hypothetical protein	146.1298345025
UniRef50_UPI0002F4F40A: hypothetical protein|unclassified	146.1298345025
UniRef50_UPI00016A4AE1: hypothetical protein, partial	145.8820436491
UniRef50_UPI00016A4AE1: hypothetical protein, partial|unclassified	145.8820436491
UniRef50_UPI00035CCC10: hypothetical protein	145.3996144983
UniRef50_UPI00035CCC10: hypothetical protein|unclassified	145.3996144983
UniRef50_UPI0004743856: hypothetical protein	145.2922028635
UniRef50_UPI0004743856: hypothetical protein|unclassified	145.2922028635
UniRef50_UPI0001B44848: exodeoxyribonuclease VII large subunit, partial	144.9923976829
UniRef50_UPI0001B44848: exodeoxyribonuclease VII large subunit, partial|unclassified	144.9923976829
UniRef50_Q0A5M1: Endonuclease V	144.6867607464
UniRef50_Q0A5M1: Endonuclease V|unclassified	144.6867607464
UniRef50_UPI0002377E07: DNA repair protein RecN, partial	144.2020593441
UniRef50_UPI0002377E07: DNA repair protein RecN, partial|unclassified	144.2020593441
UniRef50_UPI00035F0E04: hypothetical protein	144.1997665025
UniRef50_UPI00035F0E04: hypothetical protein|unclassified	144.1997665025
UniRef50_UPI00021973B2: methylated DNA-protein cysteine methyltransferase	143.4653661859
UniRef50_UPI00021973B2: methylated DNA-protein cysteine methyltransferase|unclassified	143.4653661859
UniRef50_UPI0002E97B8B: hypothetical protein	143.3150647897
UniRef50_UPI0002E97B8B: hypothetical protein|unclassified	143.3150647897
UniRef50_Q4JU84: Exodeoxyribonuclease 7 large subunit	143.3091836062
UniRef50_Q4JU84: Exodeoxyribonuclease 7 large subunit|unclassified	143.3091836062
UniRef50_UPI000344C751: AraC family transcriptional regulator	143.2896295719
UniRef50_UPI000344C751: AraC family transcriptional regulator|unclassified	143.2896295719
UniRef50_F0GJ77	143.2203591868
UniRef50_F0GJ77|unclassified	143.2203591868
UniRef50_Z2E6U5: RmuC family protein (Fragment)	143.1866723107
UniRef50_Z2E6U5: RmuC family protein (Fragment)|unclassified	143.1866723107
UniRef50_UPI0002E2CCD0: hypothetical protein	142.7752869298
UniRef50_UPI0002E2CCD0: hypothetical protein|unclassified	142.7752869298
UniRef50_UPI00047A28E5: hypothetical protein	142.7528280175
UniRef50_UPI00047A28E5: hypothetical protein|unclassified	142.7528280175
UniRef50_W8KH20: DNA repair protein RadC	142.3719409683
UniRef50_W8KH20: DNA repair protein RadC|unclassified	142.3719409683
UniRef50_UPI00036C444A: hypothetical protein	142.0346519822
UniRef50_UPI00036C444A: hypothetical protein|unclassified	142.0346519822
UniRef50_UPI00021977F6: DNA repair ATPase	141.9080205825
UniRef50_UPI00021977F6: DNA repair ATPase|unclassified	141.9080205825
UniRef50_UPI00046A8455: recombinase RdgC	141.8572282685
UniRef50_UPI00046A8455: recombinase RdgC|unclassified	141.8572282685
UniRef50_UPI00040F7BEB: DNA recombination protein RecN	141.6685142953
UniRef50_UPI00040F7BEB: DNA recombination protein RecN|unclassified	141.6685142953
UniRef50_Q6KH96: Probable endonuclease 4	141.4499589512
UniRef50_Q6KH96: Probable endonuclease 4|unclassified	141.4499589512
UniRef50_Q4ZX12: Exodeoxyribonuclease 7 large subunit	141.0248712425
UniRef50_Q4ZX12: Exodeoxyribonuclease 7 large subunit|unclassified	141.0248712425
UniRef50_UPI00046881F8: hypothetical protein	140.9624755435
UniRef50_UPI00046881F8: hypothetical protein|unclassified	140.9624755435
UniRef50_U1EKN7	140.6891938856
UniRef50_U1EKN7|unclassified	140.6891938856
UniRef50_W1FFD5: Alkylated DNA repair protein AlkB	140.3122851988
UniRef50_W1FFD5: Alkylated DNA repair protein AlkB|unclassified	140.3122851988
UniRef50_UPI000255AF32: adenine glycosylase	140.0663870551
UniRef50_UPI000255AF32: adenine glycosylase|unclassified	140.0663870551
UniRef50_K2FT25	139.8643581098
UniRef50_K2FT25|unclassified	139.8643581098
UniRef50_Q6YQC1: Probable endonuclease 4	139.6658647867
UniRef50_Q6YQC1: Probable endonuclease 4|unclassified	139.6658647867
UniRef50_C3DQS3: DNA repair protein radC	139.6417608126
UniRef50_C3DQS3: DNA repair protein radC|unclassified	139.6417608126
UniRef50_Q82VC2: Exodeoxyribonuclease 7 large subunit	138.7944612038
UniRef50_Q82VC2: Exodeoxyribonuclease 7 large subunit|unclassified	138.7944612038
UniRef50_A0A017XQV6: Nuclease sbcCD subunit C	138.6107746920
UniRef50_A0A017XQV6: Nuclease sbcCD subunit C|unclassified	138.6107746920
UniRef50_L8E3V5: Nuclease sbcCD subunit D	138.6036733658
UniRef50_L8E3V5: Nuclease sbcCD subunit D|unclassified	138.6036733658
UniRef50_Q2N6Q7: Exodeoxyribonuclease 7 large subunit	137.4978473501
UniRef50_Q2N6Q7: Exodeoxyribonuclease 7 large subunit|unclassified	137.4978473501
UniRef50_C0ZC06: Exodeoxyribonuclease 7 large subunit	137.1842298325
UniRef50_C0ZC06: Exodeoxyribonuclease 7 large subunit|unclassified	137.1842298325
UniRef50_UPI00037A3ACF: hypothetical protein	137.0035925407
UniRef50_UPI00037A3ACF: hypothetical protein|unclassified	137.0035925407
UniRef50_UPI000478A6AD: adenine glycosylase	136.9784761982
UniRef50_UPI000478A6AD: adenine glycosylase|unclassified	136.9784761982
UniRef50_UPI000469ABB2: hypothetical protein	136.7468165974
UniRef50_UPI000469ABB2: hypothetical protein|unclassified	136.7468165974
UniRef50_A0A011P6I6: A/G-specific adenine glycosylase	136.5823928131
UniRef50_A0A011P6I6: A/G-specific adenine glycosylase|unclassified	136.5823928131
UniRef50_D4TMH2: DNA repair protein radC-like protein	136.3012677932
UniRef50_D4TMH2: DNA repair protein radC-like protein|unclassified	136.3012677932
UniRef50_W1Y460: Nuclease sbcCD subunit C (Fragment)	136.1516367051
UniRef50_W1Y460: Nuclease sbcCD subunit C (Fragment)|unclassified	136.1516367051
UniRef50_Z5X9T2	136.1459106694
UniRef50_Z5X9T2|unclassified	136.1459106694
UniRef50_UPI0002E902D5: nucleotidyltransferase	135.6824419417
UniRef50_UPI0002E902D5: nucleotidyltransferase|unclassified	135.6824419417
UniRef50_R2MH84: DNA repair protein RadC	135.6726240543
UniRef50_R2MH84: DNA repair protein RadC|unclassified	135.6726240543
UniRef50_UPI0004732E2B: hypothetical protein, partial	134.8903793805
UniRef50_UPI0004732E2B: hypothetical protein, partial|unclassified	134.8903793805
UniRef50_Q8EWT2: Probable endonuclease 4	134.0830932001
UniRef50_Q8EWT2: Probable endonuclease 4|unclassified	134.0830932001
UniRef50_UPI00046CA967: hypothetical protein	134.0622962317
UniRef50_UPI00046CA967: hypothetical protein|unclassified	134.0622962317
UniRef50_UPI00046E80FA: hypothetical protein	133.5493290441
UniRef50_UPI00046E80FA: hypothetical protein|unclassified	133.5493290441
UniRef50_UPI0003B4ED06: endonuclease	133.4987067107
UniRef50_UPI0003B4ED06: endonuclease|unclassified	133.4987067107
UniRef50_UPI00035FD915: nuclease SbcCD subunit D, partial	133.4962517109
UniRef50_UPI00035FD915: nuclease SbcCD subunit D, partial|unclassified	133.4962517109
UniRef50_R6GI30	133.3622416740
UniRef50_R6GI30|unclassified	133.3622416740
UniRef50_E1P3E4: Identified by MetaGeneAnnotator	133.2510371188
UniRef50_E1P3E4: Identified by MetaGeneAnnotator|unclassified	133.2510371188
UniRef50_UPI0003B354C3: adenine glycosylase	132.7570481971
UniRef50_UPI0003B354C3: adenine glycosylase|unclassified	132.7570481971
UniRef50_Q6F7Z8: UPF0758 protein ACIAD3126	132.1283556909
UniRef50_Q6F7Z8: UPF0758 protein ACIAD3126|unclassified	132.1283556909
UniRef50_UPI00029A297A: methylated-DNA--protein-cysteine methyltransferase	131.9508132515
UniRef50_UPI00029A297A: methylated-DNA--protein-cysteine methyltransferase|unclassified	131.9508132515
UniRef50_UPI0004795CA6: 6-O-methylguanine DNA methyltransferase	131.6892821022
UniRef50_UPI0004795CA6: 6-O-methylguanine DNA methyltransferase|unclassified	131.6892821022
UniRef50_F0E2C0	131.5769830539
UniRef50_F0E2C0|unclassified	131.5769830539
UniRef50_Q3JV52: UPF0758 protein BURPS1710b_1139	131.5683211044
UniRef50_Q3JV52: UPF0758 protein BURPS1710b_1139|unclassified	131.5683211044
UniRef50_UPI0001D2E4CC: methylated-DNA/protein-cysteine methyltransferase	131.5500370793
UniRef50_UPI0001D2E4CC: methylated-DNA/protein-cysteine methyltransferase|unclassified	131.5500370793
UniRef50_B5EI10: Exodeoxyribonuclease 7 large subunit	131.3375703648
UniRef50_B5EI10: Exodeoxyribonuclease 7 large subunit|unclassified	131.3375703648
UniRef50_UPI0003B7210A: exodeoxyribonuclease VII large subunit	131.1088683357
UniRef50_UPI0003B7210A: exodeoxyribonuclease VII large subunit|unclassified	131.1088683357
UniRef50_UPI000464A350: DNA polymerase IV	130.6170709512
UniRef50_UPI000464A350: DNA polymerase IV|unclassified	130.6170709512
UniRef50_UPI000262CFD5: A/G-specific adenine glycosylase	130.4336554682
UniRef50_UPI000262CFD5: A/G-specific adenine glycosylase|unclassified	130.4336554682
UniRef50_A0A037Y3L2	130.1636309719
UniRef50_A0A037Y3L2|unclassified	130.1636309719
UniRef50_UPI0003C7F70A: DNA repair protein RecN	130.1009812739
UniRef50_UPI0003C7F70A: DNA repair protein RecN|unclassified	130.1009812739
UniRef50_UPI000374D2D5: hypothetical protein	130.0712923148
UniRef50_UPI000374D2D5: hypothetical protein|unclassified	130.0712923148
UniRef50_Q12EY8: UPF0758 protein Bpro_0948	129.9221109630
UniRef50_Q12EY8: UPF0758 protein Bpro_0948|unclassified	129.9221109630
UniRef50_UPI00031D0E89: hypothetical protein	129.2715831357
UniRef50_UPI00031D0E89: hypothetical protein|unclassified	129.2715831357
UniRef50_W6WHH1: RmuC-domain protein	128.4150119826
UniRef50_W6WHH1: RmuC-domain protein|unclassified	128.4150119826
UniRef50_UPI00047B3718: hypothetical protein	128.1193520398
UniRef50_UPI00047B3718: hypothetical protein|unclassified	128.1193520398
UniRef50_UPI0003694E59: hypothetical protein	127.9743025367
UniRef50_UPI0003694E59: hypothetical protein|unclassified	127.9743025367
UniRef50_UPI0003705EC4: hypothetical protein	127.9607211948
UniRef50_UPI0003705EC4: hypothetical protein|unclassified	127.9607211948
UniRef50_UPI000361BEB5: hypothetical protein	127.8993893406
UniRef50_UPI000361BEB5: hypothetical protein|unclassified	127.8993893406
UniRef50_Q8REB0: DNA polymerase IV	127.8305985991
UniRef50_Q8REB0: DNA polymerase IV|unclassified	127.8305985991
UniRef50_UPI000471D57F: hypothetical protein	127.5403933766
UniRef50_UPI000471D57F: hypothetical protein|unclassified	127.5403933766
UniRef50_UPI0004018E2E: hypothetical protein	126.9170559285
UniRef50_UPI0004018E2E: hypothetical protein|unclassified	126.9170559285
UniRef50_UPI0003B6FB3E: adenine glycosylase	126.4696940804
UniRef50_UPI0003B6FB3E: adenine glycosylase|unclassified	126.4696940804
UniRef50_UPI0004685E79: hypothetical protein	126.3343818800
UniRef50_UPI0004685E79: hypothetical protein|unclassified	126.3343818800
UniRef50_UPI0002FCB0F1: hypothetical protein	126.2061740614
UniRef50_UPI0002FCB0F1: hypothetical protein|unclassified	126.2061740614
UniRef50_UPI00035A0138: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like isoform X2	126.1629765070
UniRef50_UPI00035A0138: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like isoform X2|unclassified	126.1629765070
UniRef50_B9ZX06: Lipoprotein, putative	125.8273017305
UniRef50_B9ZX06: Lipoprotein, putative|unclassified	125.8273017305
UniRef50_UPI00016A3C2C: DNA repair protein RadC, partial	125.6842629366
UniRef50_UPI00016A3C2C: DNA repair protein RadC, partial|unclassified	125.6842629366
UniRef50_Q10002: DNA-(apurinic or apyrimidinic site) lyase	125.4450201934
UniRef50_Q10002: DNA-(apurinic or apyrimidinic site) lyase|unclassified	125.4450201934
UniRef50_B2FJW1: UPF0758 protein Smlt0399	125.3483440694
UniRef50_B2FJW1: UPF0758 protein Smlt0399|unclassified	125.3483440694
UniRef50_E5DNG3: DNA repair protein RadC	124.6735399462
UniRef50_E5DNG3: DNA repair protein RadC|unclassified	124.6735399462
UniRef50_Q7VVB6: Exodeoxyribonuclease 7 large subunit	124.6502741842
UniRef50_Q7VVB6: Exodeoxyribonuclease 7 large subunit|unclassified	124.6502741842
UniRef50_UPI0003B349DB: exodeoxyribonuclease I, partial	124.4872975690
UniRef50_UPI0003B349DB: exodeoxyribonuclease I, partial|unclassified	124.4872975690
UniRef50_UPI000469F3EF: hypothetical protein	124.3754984346
UniRef50_UPI000469F3EF: hypothetical protein|unclassified	124.3754984346
UniRef50_F5ZHX4: DNA repair protein RadC	124.3629570469
UniRef50_F5ZHX4: DNA repair protein RadC|unclassified	124.3629570469
UniRef50_UPI0003A67ED0: cysteine methyltransferase	124.1915004351
UniRef50_UPI0003A67ED0: cysteine methyltransferase|unclassified	124.1915004351
UniRef50_UPI00038203A9: hypothetical protein	124.0220228240
UniRef50_UPI00038203A9: hypothetical protein|unclassified	124.0220228240
UniRef50_UPI0003780575: hypothetical protein	123.8485913681
UniRef50_UPI0003780575: hypothetical protein|unclassified	123.8485913681
UniRef50_Q5R1A1: DNA recombination protein RmuC	123.3766895477
UniRef50_Q5R1A1: DNA recombination protein RmuC|unclassified	123.3766895477
UniRef50_UPI00029A721E: DNA adenine methylase	123.3184717443
UniRef50_UPI00029A721E: DNA adenine methylase|unclassified	123.3184717443
UniRef50_S9TE01	123.1733012176
UniRef50_S9TE01|unclassified	123.1733012176
UniRef50_UPI0003764CAA: hypothetical protein	121.3807178120
UniRef50_UPI0003764CAA: hypothetical protein|unclassified	121.3807178120
UniRef50_A4SFD1: UPF0758 protein Cvib_1178	121.3806146945
UniRef50_A4SFD1: UPF0758 protein Cvib_1178|unclassified	121.3806146945
UniRef50_UPI00047D2D47: cysteine methyltransferase	121.3197149597
UniRef50_UPI00047D2D47: cysteine methyltransferase|unclassified	121.3197149597
UniRef50_Q1QR26: DNA repair protein RadC	120.9205281988
UniRef50_Q1QR26: DNA repair protein RadC|unclassified	120.9205281988
UniRef50_S6ETM3: Putative DNA repair protein radc	120.8625787865
UniRef50_S6ETM3: Putative DNA repair protein radc|unclassified	120.8625787865
UniRef50_Q3A3Z3: Exodeoxyribonuclease 7 large subunit	120.8367171857
UniRef50_Q3A3Z3: Exodeoxyribonuclease 7 large subunit|unclassified	120.8367171857
UniRef50_Q98D51: Mlr4857 protein	120.6779106723
UniRef50_Q98D51: Mlr4857 protein|unclassified	120.6779106723
UniRef50_B8I3A9: Exodeoxyribonuclease 7 large subunit	120.6029678487
UniRef50_B8I3A9: Exodeoxyribonuclease 7 large subunit|unclassified	120.6029678487
UniRef50_B3CV24: Exodeoxyribonuclease III	120.1307791890
UniRef50_B3CV24: Exodeoxyribonuclease III|unclassified	120.1307791890
UniRef50_UPI0003771E2E: Ada, partial	119.7928134456
UniRef50_UPI0003771E2E: Ada, partial|unclassified	119.7928134456
UniRef50_UPI0004698144: recombinase RecT	119.6621860504
UniRef50_UPI0004698144: recombinase RecT|unclassified	119.6621860504
UniRef50_Q48AG2: DNA repair protein RadC, n-terminal	119.4705814089
UniRef50_Q48AG2: DNA repair protein RadC, n-terminal|unclassified	119.4705814089
UniRef50_Q8REN3: Exodeoxyribonuclease 7 large subunit	119.3335786951
UniRef50_Q8REN3: Exodeoxyribonuclease 7 large subunit|unclassified	119.3335786951
UniRef50_UPI0003B5D9C5: exodeoxyribonuclease VII large subunit	119.1808076701
UniRef50_UPI0003B5D9C5: exodeoxyribonuclease VII large subunit|unclassified	119.1808076701
UniRef50_UPI00046F3CAD: hypothetical protein	119.0217273843
UniRef50_UPI00046F3CAD: hypothetical protein|unclassified	119.0217273843
UniRef50_UPI0003816658: hypothetical protein	118.7070350836
UniRef50_UPI0003816658: hypothetical protein|unclassified	118.7070350836
UniRef50_UPI00036FACF4: hypothetical protein	118.4927389777
UniRef50_UPI00036FACF4: hypothetical protein|unclassified	118.4927389777
UniRef50_B2IJK8: Exodeoxyribonuclease 7 large subunit	117.9031932488
UniRef50_B2IJK8: Exodeoxyribonuclease 7 large subunit|unclassified	117.9031932488
UniRef50_D0W9C4	117.8532072337
UniRef50_D0W9C4|unclassified	117.8532072337
UniRef50_V7NB46: DNA polymerase	117.7907437622
UniRef50_V7NB46: DNA polymerase|unclassified	117.7907437622
UniRef50_UPI00047CBBDE: hypothetical protein	117.6148057533
UniRef50_UPI00047CBBDE: hypothetical protein|unclassified	117.6148057533
UniRef50_Q5WY82: Exodeoxyribonuclease 7 large subunit	117.5497322837
UniRef50_Q5WY82: Exodeoxyribonuclease 7 large subunit|unclassified	117.5497322837
UniRef50_UPI00046EA197: adenine glycosylase	116.5984826794
UniRef50_UPI00046EA197: adenine glycosylase|unclassified	116.5984826794
UniRef50_E4T6J8: DNA repair protein RadC	116.4469077430
UniRef50_E4T6J8: DNA repair protein RadC|unclassified	116.4469077430
UniRef50_R4MLM5	116.1620429033
UniRef50_R4MLM5|unclassified	116.1620429033
UniRef50_Q7USY7: DNA polymerase IV	116.1131787554
UniRef50_Q7USY7: DNA polymerase IV|unclassified	116.1131787554
UniRef50_UPI0003B7BBDC: DNA repair protein RecN	115.9778065188
UniRef50_UPI0003B7BBDC: DNA repair protein RecN|unclassified	115.9778065188
UniRef50_UPI00046CEA3C: hypothetical protein	115.8930425485
UniRef50_UPI00046CEA3C: hypothetical protein|unclassified	115.8930425485
UniRef50_UPI0004762925: DNA repair protein RadC	115.8759735128
UniRef50_UPI0004762925: DNA repair protein RadC|unclassified	115.8759735128
UniRef50_UPI0003FEE734: hypothetical protein	115.8095587381
UniRef50_UPI0003FEE734: hypothetical protein|unclassified	115.8095587381
UniRef50_P36434: HpaII very short patch repair endonuclease	115.7481031868
UniRef50_P36434: HpaII very short patch repair endonuclease|unclassified	115.7481031868
UniRef50_UPI00037EC727: hypothetical protein	115.7420203083
UniRef50_UPI00037EC727: hypothetical protein|unclassified	115.7420203083
UniRef50_B3WEY3: Exodeoxyribonuclease 7 large subunit	115.5320978118
UniRef50_B3WEY3: Exodeoxyribonuclease 7 large subunit|unclassified	115.5320978118
UniRef50_J4A168	115.5101882442
UniRef50_J4A168|unclassified	115.5101882442
UniRef50_UPI00046294C0: hypothetical protein	115.3060524225
UniRef50_UPI00046294C0: hypothetical protein|unclassified	115.3060524225
UniRef50_UPI00047A51B8: adenine glycosylase	114.7392661735
UniRef50_UPI00047A51B8: adenine glycosylase|unclassified	114.7392661735
UniRef50_UPI0001E894BC: methylated-DNA--protein-cysteine methyltransferase	114.5142898229
UniRef50_UPI0001E894BC: methylated-DNA--protein-cysteine methyltransferase|unclassified	114.5142898229
UniRef50_UPI000371B8DB: hypothetical protein	114.1274738101
UniRef50_UPI000371B8DB: hypothetical protein|unclassified	114.1274738101
UniRef50_UPI0002F06438: nuclease SbcCD subunit D	113.8826773543
UniRef50_UPI0002F06438: nuclease SbcCD subunit D|unclassified	113.8826773543
UniRef50_UPI000225AFBA: exodeoxyribonuclease VII large subunit	113.8457477821
UniRef50_UPI000225AFBA: exodeoxyribonuclease VII large subunit|unclassified	113.8457477821
UniRef50_UPI0003B708C3: DNA glycosylase, partial	113.7525849870
UniRef50_UPI0003B708C3: DNA glycosylase, partial|unclassified	113.7525849870
UniRef50_I0TV93: Nuclease sbcCD subunit C family protein	113.5179190982
UniRef50_I0TV93: Nuclease sbcCD subunit C family protein|unclassified	113.5179190982
UniRef50_Q3KM31: Exodeoxyribonuclease 7 large subunit	113.3411299222
UniRef50_Q3KM31: Exodeoxyribonuclease 7 large subunit|unclassified	113.3411299222
UniRef50_Q3ZWY7: Endonuclease V	113.0964221753
UniRef50_Q3ZWY7: Endonuclease V|unclassified	113.0964221753
UniRef50_X6ETX5: DNA recombinase	112.8424017409
UniRef50_X6ETX5: DNA recombinase|unclassified	112.8424017409
UniRef50_UPI000262CDFD: recombination and repair protein	112.5392461241
UniRef50_UPI000262CDFD: recombination and repair protein|unclassified	112.5392461241
UniRef50_J3IEI5	112.1286949334
UniRef50_J3IEI5|unclassified	112.1286949334
UniRef50_B8FBE8: DNA polymerase IV	111.9719526716
UniRef50_B8FBE8: DNA polymerase IV|unclassified	111.9719526716
UniRef50_UPI00036980E2: hypothetical protein	111.7718382334
UniRef50_UPI00036980E2: hypothetical protein|unclassified	111.7718382334
UniRef50_UPI0004725E01: hypothetical protein	111.4306878648
UniRef50_UPI0004725E01: hypothetical protein|unclassified	111.4306878648
UniRef50_UPI0004710136: hypothetical protein, partial	111.1456967636
UniRef50_UPI0004710136: hypothetical protein, partial|unclassified	111.1456967636
UniRef50_UPI0003600BB4: MULTISPECIES: hypothetical protein	110.7428010168
UniRef50_UPI0003600BB4: MULTISPECIES: hypothetical protein|unclassified	110.7428010168
UniRef50_M4U1F2	110.7387961098
UniRef50_M4U1F2|unclassified	110.7387961098
UniRef50_Q1WUJ2: Exodeoxyribonuclease 7 large subunit	110.5039164547
UniRef50_Q1WUJ2: Exodeoxyribonuclease 7 large subunit|unclassified	110.5039164547
UniRef50_Q7NDJ2: Endonuclease V	110.4968287599
UniRef50_Q7NDJ2: Endonuclease V|unclassified	110.4968287599
UniRef50_Q24V00: Exodeoxyribonuclease 7 large subunit	110.4914127122
UniRef50_Q24V00: Exodeoxyribonuclease 7 large subunit|unclassified	110.4914127122
UniRef50_D2ZE67	110.4164486423
UniRef50_D2ZE67|unclassified	110.4164486423
UniRef50_UPI0004788A87: hypothetical protein	109.9398670273
UniRef50_UPI0004788A87: hypothetical protein|unclassified	109.9398670273
UniRef50_F3J2W2: AsmA family protein (Fragment)	109.8846019638
UniRef50_F3J2W2: AsmA family protein (Fragment)|unclassified	109.8846019638
UniRef50_UPI00035C656F: hypothetical protein	109.8808676138
UniRef50_UPI00035C656F: hypothetical protein|unclassified	109.8808676138
UniRef50_UPI00035F3FC8: hypothetical protein	109.8442996085
UniRef50_UPI00035F3FC8: hypothetical protein|unclassified	109.8442996085
UniRef50_UPI00040AF6C9: hypothetical protein	109.7971640080
UniRef50_UPI00040AF6C9: hypothetical protein|unclassified	109.7971640080
UniRef50_B8CW79: Probable endonuclease 4	109.5736603832
UniRef50_B8CW79: Probable endonuclease 4|unclassified	109.5736603832
UniRef50_UPI00046AA1A1: DNA polymerase IV	109.3885482508
UniRef50_UPI00046AA1A1: DNA polymerase IV|unclassified	109.3885482508
UniRef50_UPI00047D3778: hypothetical protein	109.3713405511
UniRef50_UPI00047D3778: hypothetical protein|unclassified	109.3713405511
UniRef50_UPI000262730A: exodeoxyribonuclease III	109.3429494320
UniRef50_UPI000262730A: exodeoxyribonuclease III|unclassified	109.3429494320
UniRef50_Q18B06: UPF0758 protein CD630_11440	109.0081040785
UniRef50_Q18B06: UPF0758 protein CD630_11440|unclassified	109.0081040785
UniRef50_UPI0004042166: hypothetical protein	108.4491551131
UniRef50_UPI0004042166: hypothetical protein|unclassified	108.4491551131
UniRef50_UPI000363D896: hypothetical protein	108.3359921949
UniRef50_UPI000363D896: hypothetical protein|unclassified	108.3359921949
UniRef50_UPI0003B486F4: DNA polymerase IV	108.0052505136
UniRef50_UPI0003B486F4: DNA polymerase IV|unclassified	108.0052505136
UniRef50_F7QG72: DNA recombination protein RmuC	107.9941463112
UniRef50_F7QG72: DNA recombination protein RmuC|unclassified	107.9941463112
UniRef50_UPI0003B473BF: adenine glycosylase	107.9194399383
UniRef50_UPI0003B473BF: adenine glycosylase|unclassified	107.9194399383
UniRef50_UPI00029A79DF: methylated-DNA--protein-cysteine methyltransferase	107.8379598972
UniRef50_UPI00029A79DF: methylated-DNA--protein-cysteine methyltransferase|unclassified	107.8379598972
UniRef50_UPI0003779978: hypothetical protein	107.8264221223
UniRef50_UPI0003779978: hypothetical protein|unclassified	107.8264221223
UniRef50_UPI000315DE88: hypothetical protein	107.7572322672
UniRef50_UPI000315DE88: hypothetical protein|unclassified	107.7572322672
UniRef50_C7DEC1: DNA repair protein RadC	107.0184195307
UniRef50_C7DEC1: DNA repair protein RadC|unclassified	107.0184195307
UniRef50_UPI000366AFAF: hypothetical protein	106.7572968693
UniRef50_UPI000366AFAF: hypothetical protein|unclassified	106.7572968693
UniRef50_UPI000464379E: DNA mismatch repair protein Vsr	106.6180144025
UniRef50_UPI000464379E: DNA mismatch repair protein Vsr|unclassified	106.6180144025
UniRef50_UPI0003B32E0C: exodeoxyribonuclease VII large subunit, partial	106.6056473201
UniRef50_UPI0003B32E0C: exodeoxyribonuclease VII large subunit, partial|unclassified	106.6056473201
UniRef50_UPI0002193B89: DNA repair protein RecN, partial	106.5149151860
UniRef50_UPI0002193B89: DNA repair protein RecN, partial|unclassified	106.5149151860
UniRef50_B8GYM1: Exodeoxyribonuclease 7 large subunit	106.3704269277
UniRef50_B8GYM1: Exodeoxyribonuclease 7 large subunit|unclassified	106.3704269277
UniRef50_UPI00036FC229: hypothetical protein	105.9514428219
UniRef50_UPI00036FC229: hypothetical protein|unclassified	105.9514428219
UniRef50_UPI00047EEA8D: hypothetical protein	105.6849671865
UniRef50_UPI00047EEA8D: hypothetical protein|unclassified	105.6849671865
UniRef50_B0TZE2: RmuC family protein	105.5748238350
UniRef50_B0TZE2: RmuC family protein|unclassified	105.5748238350
UniRef50_Q98JM5: DNA polymerase IV 2	105.2849603119
UniRef50_Q98JM5: DNA polymerase IV 2|unclassified	105.2849603119
UniRef50_UPI0003693A42: hypothetical protein	105.2414728758
UniRef50_UPI0003693A42: hypothetical protein|unclassified	105.2414728758
UniRef50_B1IMN8: Exodeoxyribonuclease 7 large subunit	105.1813588007
UniRef50_B1IMN8: Exodeoxyribonuclease 7 large subunit|unclassified	105.1813588007
UniRef50_UPI00047E4D7E: adenine glycosylase	104.9369143736
UniRef50_UPI00047E4D7E: adenine glycosylase|unclassified	104.9369143736
UniRef50_F3GJ11	104.8937316648
UniRef50_F3GJ11|unclassified	104.8937316648
UniRef50_X6L593: DNA recombination protein RmuC (Fragment)	104.8347808415
UniRef50_X6L593: DNA recombination protein RmuC (Fragment)|unclassified	104.8347808415
UniRef50_UPI00047BB79B: cysteine methyltransferase	104.6551022728
UniRef50_UPI00047BB79B: cysteine methyltransferase|unclassified	104.6551022728
UniRef50_UPI000331837A: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like, partial	104.5874614089
UniRef50_UPI000331837A: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like, partial|unclassified	104.5874614089
UniRef50_UPI0001850BD6: methylated-DNA--protein-cysteine methyltransferase	104.5588819353
UniRef50_UPI0001850BD6: methylated-DNA--protein-cysteine methyltransferase|unclassified	104.5588819353
UniRef50_C0KGN5: Exodeoxyribonuclease III Xth	104.5583725217
