# Gene Family	SampleDNA_repair._bacterial_Abundance-CPM
UniRef50_UPI00047CD755: hypothetical protein	216.538
UniRef50_UPI00047CD755: hypothetical protein|unclassified	216.538
UniRef50_UPI000362B26E: hypothetical protein	216.387
UniRef50_UPI000362B26E: hypothetical protein|unclassified	216.387
UniRef50_UPI000375B028: hypothetical protein	215.991
UniRef50_UPI000375B028: hypothetical protein|unclassified	215.991
UniRef50_S1MT06	215.899
UniRef50_S1MT06|unclassified	215.899
UniRef50_D3HIT9: RmuC family protein	215.792
UniRef50_D3HIT9: RmuC family protein|unclassified	215.792
UniRef50_UPI0003B78A81: AraC family transcriptional regulator	215.638
UniRef50_UPI0003B78A81: AraC family transcriptional regulator|unclassified	215.638
UniRef50_UPI0003812254: exodeoxyribonuclease VII large subunit	215.557
UniRef50_UPI0003812254: exodeoxyribonuclease VII large subunit|unclassified	215.557
UniRef50_Q042N7: DNA repair protein	215.522
UniRef50_Q042N7: DNA repair protein|unclassified	215.522
UniRef50_UPI000376D2C4: hypothetical protein	215.495
UniRef50_UPI000376D2C4: hypothetical protein|unclassified	215.495
UniRef50_U7P8G4	215.115
UniRef50_U7P8G4|unclassified	215.115
UniRef50_UPI00016C44E1: endonuclease V (deoxyinosine 3''''endoduclease)	215.006
UniRef50_UPI00016C44E1: endonuclease V (deoxyinosine 3''''endoduclease)|unclassified	215.006
UniRef50_H2D745: Putative DNA repair protein RadC	214.785
UniRef50_H2D745: Putative DNA repair protein RadC|unclassified	214.785
UniRef50_UPI0004211D61: hypothetical protein	214.591
UniRef50_UPI0004211D61: hypothetical protein|unclassified	214.591
UniRef50_S9S9U7: DNA polymerase-like protein	214.432
UniRef50_S9S9U7: DNA polymerase-like protein|unclassified	214.432
UniRef50_S4MSZ7: Putative DNA repair protein RecN	214.402
UniRef50_S4MSZ7: Putative DNA repair protein RecN|unclassified	214.402
UniRef50_UPI00036BB5D9: hypothetical protein	214.339
UniRef50_UPI00036BB5D9: hypothetical protein|unclassified	214.339
UniRef50_M4PVM4: Type III effector NopBT	213.933
UniRef50_M4PVM4: Type III effector NopBT|unclassified	213.933
UniRef50_UPI00036D36C7: hypothetical protein	213.158
UniRef50_UPI00036D36C7: hypothetical protein|unclassified	213.158
UniRef50_C7JGI6: DNA repair protein RadC	213.115
UniRef50_C7JGI6: DNA repair protein RadC|unclassified	213.115
UniRef50_UPI0003B53A67: DNA repair protein RecN	213.103
UniRef50_UPI0003B53A67: DNA repair protein RecN|unclassified	213.103
UniRef50_UPI00047C4AAB: cysteine methyltransferase	212.899
UniRef50_UPI00047C4AAB: cysteine methyltransferase|unclassified	212.899
UniRef50_UPI0001E89C10: DNA repair exonuclease family protein	212.598
UniRef50_UPI0001E89C10: DNA repair exonuclease family protein|unclassified	212.598
UniRef50_G8AJ12: DNA repair protein RadC homolog	212.114
UniRef50_G8AJ12: DNA repair protein RadC homolog|unclassified	212.114
UniRef50_UPI0001850B9E: hypothetical protein	212.05
UniRef50_UPI0001850B9E: hypothetical protein|unclassified	212.05
UniRef50_UPI00035D82C8: DNA glycosylase	211.959
UniRef50_UPI00035D82C8: DNA glycosylase|unclassified	211.959
UniRef50_W1FCI5: DNA repair protein RadC	211.762
UniRef50_W1FCI5: DNA repair protein RadC|unclassified	211.762
UniRef50_G8NBX6	211.345
UniRef50_G8NBX6|unclassified	211.345
UniRef50_UPI0002490265: metallophosphoesterase	211.29
UniRef50_UPI0002490265: metallophosphoesterase|unclassified	211.29
UniRef50_B6J0C9: AsmA	210.628
UniRef50_B6J0C9: AsmA|unclassified	210.628
UniRef50_UPI00046EEA1B: MULTISPECIES: DNA polymerase IV	210.505
UniRef50_UPI00046EEA1B: MULTISPECIES: DNA polymerase IV|unclassified	210.505
UniRef50_UPI0004771DCC: endonuclease IV	209.906
UniRef50_UPI0004771DCC: endonuclease IV|unclassified	209.906
UniRef50_Z2DRY1	209.301
UniRef50_Z2DRY1|unclassified	209.301
UniRef50_L0EJP0: DNA repair protein	209.254
UniRef50_L0EJP0: DNA repair protein|unclassified	209.254
UniRef50_G5Q9N3: DNA repair protein RadC	209.211
UniRef50_G5Q9N3: DNA repair protein RadC|unclassified	209.211
UniRef50_UPI000379F23B: hypothetical protein	208.586
UniRef50_UPI000379F23B: hypothetical protein|unclassified	208.586
UniRef50_A3JME5: DNA repair protein RadC	208.28
UniRef50_A3JME5: DNA repair protein RadC|unclassified	208.28
UniRef50_UPI000366898F: hypothetical protein	207.728
UniRef50_UPI000366898F: hypothetical protein|unclassified	207.728
UniRef50_S2R6H8: DNA repair ATPase	207.393
UniRef50_S2R6H8: DNA repair ATPase|unclassified	207.393
UniRef50_UPI000367B912: hypothetical protein	207.233
UniRef50_UPI000367B912: hypothetical protein|unclassified	207.233
UniRef50_A5URD0: UPF0758 protein RoseRS_0767	207.14
UniRef50_A5URD0: UPF0758 protein RoseRS_0767|unclassified	207.14
UniRef50_W1VB71	206.457
UniRef50_W1VB71|unclassified	206.457
UniRef50_UPI0004168E33: hypothetical protein	206.311
UniRef50_UPI0004168E33: hypothetical protein|unclassified	206.311
UniRef50_Q4FQM6: UPF0758 protein Psyc_1834	206.269
UniRef50_Q4FQM6: UPF0758 protein Psyc_1834|unclassified	206.269
UniRef50_UPI00045605E7: hypothetical protein PFL1_00302	205.439
UniRef50_UPI00045605E7: hypothetical protein PFL1_00302|unclassified	205.439
UniRef50_UPI00036F84F9: hypothetical protein	205.37
UniRef50_UPI00036F84F9: hypothetical protein|unclassified	205.37
UniRef50_A0A037UWN4	205.159
UniRef50_A0A037UWN4|unclassified	205.159
UniRef50_UPI0003649743: hypothetical protein	204.081
UniRef50_UPI0003649743: hypothetical protein|unclassified	204.081
UniRef50_UPI00039D2FB5: hypothetical protein	203.873
UniRef50_UPI00039D2FB5: hypothetical protein|unclassified	203.873
UniRef50_UPI0003652DAC: hypothetical protein, partial	203.571
UniRef50_UPI0003652DAC: hypothetical protein, partial|unclassified	203.571
UniRef50_UPI00037E8514: hypothetical protein	203.194
UniRef50_UPI00037E8514: hypothetical protein|unclassified	203.194
UniRef50_D3SI69: DNA repair protein RadC	202.894
UniRef50_D3SI69: DNA repair protein RadC|unclassified	202.894
UniRef50_UPI0003B439B6: adenine glycosylase	202.488
UniRef50_UPI0003B439B6: adenine glycosylase|unclassified	202.488
UniRef50_G8PSE9: RmuC domain protein	202.391
UniRef50_G8PSE9: RmuC domain protein|unclassified	202.391
UniRef50_W9F0N0	202.278
UniRef50_W9F0N0|unclassified	202.278
UniRef50_UPI0004776790: exodeoxyribonuclease I	201.759
UniRef50_UPI0004776790: exodeoxyribonuclease I|unclassified	201.759
UniRef50_UPI0003B76A16: DNA-3-methyladenine glycosylase	201.559
UniRef50_UPI0003B76A16: DNA-3-methyladenine glycosylase|unclassified	201.559
UniRef50_Y9HCA3: UPF0758 protein	201.251
UniRef50_Y9HCA3: UPF0758 protein|unclassified	201.251
UniRef50_UPI000050FCA3: DNA repair protein RecN	201.159
UniRef50_UPI000050FCA3: DNA repair protein RecN|unclassified	201.159
UniRef50_I8T665: Exonuclease sbcc, putative (Fragment)	201.098
UniRef50_I8T665: Exonuclease sbcc, putative (Fragment)|unclassified	201.098
UniRef50_B3CQE7: DNA recombination protein RmuC homolog	200.974
UniRef50_B3CQE7: DNA recombination protein RmuC homolog|unclassified	200.974
UniRef50_P52140: UPF0758 protein YfjY	200.694
UniRef50_P52140: UPF0758 protein YfjY|unclassified	200.694
UniRef50_F3GVD1	200.648
UniRef50_F3GVD1|unclassified	200.648
UniRef50_A0A024FAA0: Lipoprotein' 255 255	200.224
UniRef50_A0A024FAA0: Lipoprotein' 255 255|unclassified	200.224
UniRef50_Q65R62: RadC protein	199.516
UniRef50_Q65R62: RadC protein|unclassified	199.516
UniRef50_UPI000379B86A: DNA glycosylase	199.278
UniRef50_UPI000379B86A: DNA glycosylase|unclassified	199.278
UniRef50_UPI0004661391: hypothetical protein	198.427
UniRef50_UPI0004661391: hypothetical protein|unclassified	198.427
UniRef50_UPI000361D1A1: DNA recombinase	198.348
UniRef50_UPI000361D1A1: DNA recombinase|unclassified	198.348
UniRef50_UPI00046D31AE: hypothetical protein	198.073
UniRef50_UPI00046D31AE: hypothetical protein|unclassified	198.073
UniRef50_D6S4C3: DNA repair protein RadC	198.005
UniRef50_D6S4C3: DNA repair protein RadC|unclassified	198.005
UniRef50_UPI00047B19DB: hypothetical protein, partial	197.745
UniRef50_UPI00047B19DB: hypothetical protein, partial|unclassified	197.745
UniRef50_I2JME8	197.732
UniRef50_I2JME8|unclassified	197.732
UniRef50_H1QFM2: ADA-like regulatory protein (Fragment)	197.663
UniRef50_H1QFM2: ADA-like regulatory protein (Fragment)|unclassified	197.663
UniRef50_E3NVL4	197.538
UniRef50_E3NVL4|unclassified	197.538
UniRef50_W9SX24: DNA recombination protein rmuC-like protein	197.197
UniRef50_W9SX24: DNA recombination protein rmuC-like protein|unclassified	197.197
UniRef50_UPI00046D479A: hypothetical protein	197.14
UniRef50_UPI00046D479A: hypothetical protein|unclassified	197.14
UniRef50_W9T8X2: AsmA family protein	196.871
UniRef50_W9T8X2: AsmA family protein|unclassified	196.871
UniRef50_UPI000469C61F: exodeoxyribonuclease VII large subunit	196.826
UniRef50_UPI000469C61F: exodeoxyribonuclease VII large subunit|unclassified	196.826
UniRef50_G4SWP9: DNA recombination protein rmuC homolog	196.807
UniRef50_G4SWP9: DNA recombination protein rmuC homolog|unclassified	196.807
UniRef50_V6URL6: Cell envelope biogenesis protein AsmA (Fragment)	196.488
UniRef50_V6URL6: Cell envelope biogenesis protein AsmA (Fragment)|unclassified	196.488
UniRef50_U3U374	196.235
UniRef50_U3U374|unclassified	196.235
UniRef50_C0ERI4: RmuC domain protein	195.913
UniRef50_C0ERI4: RmuC domain protein|unclassified	195.913
UniRef50_UPI0002627345: methylated-DNA--protein-cysteine methyltransferase	195.717
UniRef50_UPI0002627345: methylated-DNA--protein-cysteine methyltransferase|unclassified	195.717
UniRef50_UPI0003B5B981: methylated-DNA--protein-cysteine methyltransferase	194.999
UniRef50_UPI0003B5B981: methylated-DNA--protein-cysteine methyltransferase|unclassified	194.999
UniRef50_B7S0L8: DNA repair protein RadC	194.771
UniRef50_B7S0L8: DNA repair protein RadC|unclassified	194.771
UniRef50_UPI00038127F3: hypothetical protein	194.592
UniRef50_UPI00038127F3: hypothetical protein|unclassified	194.592
UniRef50_UPI0003B56055: DNA polymerase IV	193.758
UniRef50_UPI0003B56055: DNA polymerase IV|unclassified	193.758
UniRef50_UPI000262B24F: AraC family transcriptional regulator, partial	193.725
UniRef50_UPI000262B24F: AraC family transcriptional regulator, partial|unclassified	193.725
UniRef50_B8H0Z9: DNA repair protein RadC	193.607
UniRef50_B8H0Z9: DNA repair protein RadC|unclassified	193.607
UniRef50_J0ZR42	193.56
UniRef50_J0ZR42|unclassified	193.56
UniRef50_U2PPN3	193.162
UniRef50_U2PPN3|unclassified	193.162
UniRef50_UPI000299EA8A: DNA mismatch endonuclease Vsr	192.847
UniRef50_UPI000299EA8A: DNA mismatch endonuclease Vsr|unclassified	192.847
UniRef50_UPI00046F854C: hypothetical protein	192.724
UniRef50_UPI00046F854C: hypothetical protein|unclassified	192.724
UniRef50_UPI0004636AB4: hypothetical protein	192.67
UniRef50_UPI0004636AB4: hypothetical protein|unclassified	192.67
UniRef50_W5XB80	192.593
UniRef50_W5XB80|unclassified	192.593
UniRef50_UPI0003633216: hypothetical protein	192.547
UniRef50_UPI0003633216: hypothetical protein|unclassified	192.547
UniRef50_UPI0002ECAEDD: hypothetical protein	191.889
UniRef50_UPI0002ECAEDD: hypothetical protein|unclassified	191.889
UniRef50_A9IJV1	191.549
UniRef50_A9IJV1|unclassified	191.549
UniRef50_UPI00031C4A87: hypothetical protein	191.488
UniRef50_UPI00031C4A87: hypothetical protein|unclassified	191.488
UniRef50_UPI0002626732: A/G-specific adenine glycosylase	190.975
UniRef50_UPI0002626732: A/G-specific adenine glycosylase|unclassified	190.975
UniRef50_UPI00046606FB: hypothetical protein	190.526
UniRef50_UPI00046606FB: hypothetical protein|unclassified	190.526
UniRef50_UPI00016B0C96: hypothetical protein, partial	190.488
UniRef50_UPI00016B0C96: hypothetical protein, partial|unclassified	190.488
UniRef50_Q21WG3	189.93
UniRef50_Q21WG3|unclassified	189.93
UniRef50_D5WBR7: DNA repair protein RadC	189.334
UniRef50_D5WBR7: DNA repair protein RadC|unclassified	189.334
UniRef50_I0ANL3	188.875
UniRef50_I0ANL3|unclassified	188.875
UniRef50_UPI0002D79742: hypothetical protein	188.663
UniRef50_UPI0002D79742: hypothetical protein|unclassified	188.663
UniRef50_UPI0003B456E4: exodeoxyribonuclease VII large subunit	188.595
UniRef50_UPI0003B456E4: exodeoxyribonuclease VII large subunit|unclassified	188.595
UniRef50_C4RLK0: UMUC domain-containing protein DNA-repair protein (Fragment)	188.52
UniRef50_C4RLK0: UMUC domain-containing protein DNA-repair protein (Fragment)|unclassified	188.52
UniRef50_UPI0003776A9B: hypothetical protein	188.477
UniRef50_UPI0003776A9B: hypothetical protein|unclassified	188.477
UniRef50_UPI000475AE92: endonuclease III	188.384
UniRef50_UPI000475AE92: endonuclease III|unclassified	188.384
UniRef50_UPI00047823D3: DNA polymerase V	187.725
UniRef50_UPI00047823D3: DNA polymerase V|unclassified	187.725
UniRef50_UPI000373163C: hypothetical protein, partial	187.688
UniRef50_UPI000373163C: hypothetical protein, partial|unclassified	187.688
UniRef50_S2KY46	187.438
UniRef50_S2KY46|unclassified	187.438
UniRef50_A0A031ML92: DNA repair protein	187.336
UniRef50_A0A031ML92: DNA repair protein|unclassified	187.336
UniRef50_UPI00041E4142: endonuclease V	186.704
UniRef50_UPI00041E4142: endonuclease V|unclassified	186.704
UniRef50_C4LDH2: DNA repair protein RadC	186.525
UniRef50_C4LDH2: DNA repair protein RadC|unclassified	186.525
UniRef50_UPI0003620414: hypothetical protein	186.332
UniRef50_UPI0003620414: hypothetical protein|unclassified	186.332
UniRef50_V7Z6L3	186.195
UniRef50_V7Z6L3|unclassified	186.195
UniRef50_E4U0B8	185.72
UniRef50_E4U0B8|unclassified	185.72
UniRef50_R9PQ16: DNA recombination protein RmuC	185.537
UniRef50_R9PQ16: DNA recombination protein RmuC|unclassified	185.537
UniRef50_X1I3Y6: Marine sediment metagenome DNA, contig: S03H2_S25218 (Fragment)	185.481
UniRef50_X1I3Y6: Marine sediment metagenome DNA, contig: S03H2_S25218 (Fragment)|unclassified	185.481
UniRef50_N5ZUU8: Nuclease sbcCD subunit C	185.253
UniRef50_N5ZUU8: Nuclease sbcCD subunit C|unclassified	185.253
UniRef50_F3KEW9: DNA repair protein RadC	185.126
UniRef50_F3KEW9: DNA repair protein RadC|unclassified	185.126
UniRef50_Q2W5I9: DNA repair protein	185.04
UniRef50_Q2W5I9: DNA repair protein|unclassified	185.04
UniRef50_U4PAZ6	184.987
UniRef50_U4PAZ6|unclassified	184.987
UniRef50_F3R2T7	184.843
UniRef50_F3R2T7|unclassified	184.843
UniRef50_K5YE30: DNA recombination protein RmuC family protein	184.759
UniRef50_K5YE30: DNA recombination protein RmuC family protein|unclassified	184.759
UniRef50_G0LPP4	184.158
UniRef50_G0LPP4|unclassified	184.158
UniRef50_A0B8N3: Endonuclease V	184.058
UniRef50_A0B8N3: Endonuclease V|unclassified	184.058
UniRef50_D5X566	183.93
UniRef50_D5X566|unclassified	183.93
UniRef50_UPI000375B399: hypothetical protein	183.692
UniRef50_UPI000375B399: hypothetical protein|unclassified	183.692
UniRef50_UPI0003A8135E: hypothetical protein	183.528
UniRef50_UPI0003A8135E: hypothetical protein|unclassified	183.528
UniRef50_UPI000421AB06: hypothetical protein	183.429
UniRef50_UPI000421AB06: hypothetical protein|unclassified	183.429
UniRef50_R5UWW9	183.172
UniRef50_R5UWW9|unclassified	183.172
UniRef50_B0S196: Probable endonuclease 4	183.003
UniRef50_B0S196: Probable endonuclease 4|unclassified	183.003
UniRef50_F3SNZ2: Nuclease sbcCD subunit C family protein	182.825
UniRef50_F3SNZ2: Nuclease sbcCD subunit C family protein|unclassified	182.825
UniRef50_Q6MDK2: Endonuclease V	182.768
UniRef50_Q6MDK2: Endonuclease V|unclassified	182.768
UniRef50_UPI00036BD36A: Fis family transcriptional regulator	182.703
UniRef50_UPI00036BD36A: Fis family transcriptional regulator|unclassified	182.703
UniRef50_UPI000381F644: hypothetical protein	182.541
UniRef50_UPI000381F644: hypothetical protein|unclassified	182.541
UniRef50_T1AIE5: RmuC domain-containing protein (Fragment)	182.359
UniRef50_T1AIE5: RmuC domain-containing protein (Fragment)|unclassified	182.359
UniRef50_UPI000379D132: hypothetical protein	182.213
UniRef50_UPI000379D132: hypothetical protein|unclassified	182.213
UniRef50_Q2VZP7: DNA recombination protein rmuC homolog	181.849
UniRef50_Q2VZP7: DNA recombination protein rmuC homolog|unclassified	181.849
UniRef50_T0UWF4	181.594
UniRef50_T0UWF4|unclassified	181.594
UniRef50_A0RMM6: Exodeoxyribonuclease 7 large subunit	181.025
UniRef50_A0RMM6: Exodeoxyribonuclease 7 large subunit|unclassified	181.025
UniRef50_UPI0004767254: hypothetical protein	180.901
UniRef50_UPI0004767254: hypothetical protein|unclassified	180.901
UniRef50_X5JF58: DNA repair protein RadC	180.712
UniRef50_X5JF58: DNA repair protein RadC|unclassified	180.712
UniRef50_UPI0003722D1E: hypothetical protein	180.598
UniRef50_UPI0003722D1E: hypothetical protein|unclassified	180.598
UniRef50_H2ES59: DNA repair protein RadC	180.136
UniRef50_H2ES59: DNA repair protein RadC|unclassified	180.136
UniRef50_UPI0003088C86: hypothetical protein	179.902
UniRef50_UPI0003088C86: hypothetical protein|unclassified	179.902
UniRef50_W4SY52	179.55
UniRef50_W4SY52|unclassified	179.55
UniRef50_UPI000425621A: hypothetical protein	179.242
UniRef50_UPI000425621A: hypothetical protein|unclassified	179.242
UniRef50_T1DH07: Metallophosphoesterase (Fragment)	179.126
UniRef50_T1DH07: Metallophosphoesterase (Fragment)|unclassified	179.126
UniRef50_F7MRF3: DNA repair protein RecN	178.953
UniRef50_F7MRF3: DNA repair protein RecN|unclassified	178.953
UniRef50_UPI000225A8DA: DNA repair ATPase	178.625
UniRef50_UPI000225A8DA: DNA repair ATPase|unclassified	178.625
UniRef50_UPI00035CD19F: hypothetical protein	178.471
UniRef50_UPI00035CD19F: hypothetical protein|unclassified	178.471
UniRef50_C6DYC6	178.117
UniRef50_C6DYC6|unclassified	178.117
UniRef50_Q0AWG3: UPF0758 protein Swol_1642	177.813
UniRef50_Q0AWG3: UPF0758 protein Swol_1642|unclassified	177.813
UniRef50_UPI00047DF2B3: hypothetical protein	176.778
UniRef50_UPI00047DF2B3: hypothetical protein|unclassified	176.778
UniRef50_D3I930: DNA repair protein RadC	176.673
UniRef50_D3I930: DNA repair protein RadC|unclassified	176.673
UniRef50_UPI000237ECD7: protein ImuB	176.54
UniRef50_UPI000237ECD7: protein ImuB|unclassified	176.54
UniRef50_F3K9H7: AsmA family protein (Fragment)	176.453
UniRef50_F3K9H7: AsmA family protein (Fragment)|unclassified	176.453
UniRef50_UPI00016C4021: A/G-specific adenine glycosylase	176.405
UniRef50_UPI00016C4021: A/G-specific adenine glycosylase|unclassified	176.405
UniRef50_D5RJB5: DNA repair protein RadC	176.385
UniRef50_D5RJB5: DNA repair protein RadC|unclassified	176.385
UniRef50_A1WJL3	176.254
UniRef50_A1WJL3|unclassified	176.254
UniRef50_UPI000470E039: MULTISPECIES: DNA repair protein	176.253
UniRef50_UPI000470E039: MULTISPECIES: DNA repair protein|unclassified	176.253
UniRef50_A6Q232: Exodeoxyribonuclease 7 large subunit	176.184
UniRef50_A6Q232: Exodeoxyribonuclease 7 large subunit|unclassified	176.184
UniRef50_B3WZC7: Recombination protein bet	176.057
UniRef50_B3WZC7: Recombination protein bet|unclassified	176.057
UniRef50_UPI0003672025: hypothetical protein	175.601
UniRef50_UPI0003672025: hypothetical protein|unclassified	175.601
UniRef50_UPI000370C6AA: hypothetical protein	175.496
UniRef50_UPI000370C6AA: hypothetical protein|unclassified	175.496
UniRef50_F7S0D1: DNA repair protein radc	175.343
UniRef50_F7S0D1: DNA repair protein radc|unclassified	175.343
UniRef50_UPI00037FD74A: hypothetical protein	173.647
UniRef50_UPI00037FD74A: hypothetical protein|unclassified	173.647
UniRef50_UPI00028987A5: DNA repair protein RecN	173.111
UniRef50_UPI00028987A5: DNA repair protein RecN|unclassified	173.111
UniRef50_C6E4Z0: DNA repair protein RadC	173.108
UniRef50_C6E4Z0: DNA repair protein RadC|unclassified	173.108
UniRef50_Q2SCG4	172.97
UniRef50_Q2SCG4|unclassified	172.97
UniRef50_W8RQ96: DNA recombination protein RmuC	172.617
UniRef50_W8RQ96: DNA recombination protein RmuC|unclassified	172.617
UniRef50_W9TB12: AsmA family protein	172.594
UniRef50_W9TB12: AsmA family protein|unclassified	172.594
UniRef50_X7YJP2	171.954
UniRef50_X7YJP2|unclassified	171.954
UniRef50_UPI000473D2FE: hypothetical protein, partial	171.897
UniRef50_UPI000473D2FE: hypothetical protein, partial|unclassified	171.897
UniRef50_UPI000255C546: nuclease SbcCD subunit D, partial	171.548
UniRef50_UPI000255C546: nuclease SbcCD subunit D, partial|unclassified	171.548
UniRef50_K8WYP6: Associated with replication fork, DNA repair protein	171.287
UniRef50_K8WYP6: Associated with replication fork, DNA repair protein|unclassified	171.287
UniRef50_X1QVD1: Marine sediment metagenome DNA, contig: S12H4_C02602 (Fragment)	170.939
UniRef50_X1QVD1: Marine sediment metagenome DNA, contig: S12H4_C02602 (Fragment)|unclassified	170.939
UniRef50_S2PZ63: DNA repair ATPase	170.14
UniRef50_S2PZ63: DNA repair ATPase|unclassified	170.14
UniRef50_UPI00031E37E2: hypothetical protein	169.606
UniRef50_UPI00031E37E2: hypothetical protein|unclassified	169.606
UniRef50_P21324	169.547
UniRef50_P21324|unclassified	169.547
UniRef50_L0H3Y4: DNA repair protein	169.301
UniRef50_L0H3Y4: DNA repair protein|unclassified	169.301
UniRef50_Q128Q1	168.607
UniRef50_Q128Q1|unclassified	168.607
UniRef50_UPI00046F7CCB: hypothetical protein	168.565
UniRef50_UPI00046F7CCB: hypothetical protein|unclassified	168.565
UniRef50_UPI0004763230: hypothetical protein	168.416
UniRef50_UPI0004763230: hypothetical protein|unclassified	168.416
UniRef50_M7F6E3	168.168
UniRef50_M7F6E3|unclassified	168.168
UniRef50_UPI000463F226: cysteine methyltransferase	168.132
UniRef50_UPI000463F226: cysteine methyltransferase|unclassified	168.132
UniRef50_UPI00035CF4CC: hypothetical protein	167.403
UniRef50_UPI00035CF4CC: hypothetical protein|unclassified	167.403
UniRef50_S6EYV8: Putative DNA recombination protein RmuC-like protein	167.299
UniRef50_S6EYV8: Putative DNA recombination protein RmuC-like protein|unclassified	167.299
UniRef50_UPI0004651746: hypothetical protein	167.029
UniRef50_UPI0004651746: hypothetical protein|unclassified	167.029
UniRef50_Q83HE6: Exodeoxyribonuclease 7 large subunit	166.09
UniRef50_Q83HE6: Exodeoxyribonuclease 7 large subunit|unclassified	166.09
UniRef50_H8FW63: DNA recombination protein rmuC homolog	165.969
UniRef50_H8FW63: DNA recombination protein rmuC homolog|unclassified	165.969
UniRef50_UPI000262A537: exodeoxyribonuclease VII large subunit	165.332
UniRef50_UPI000262A537: exodeoxyribonuclease VII large subunit|unclassified	165.332
UniRef50_Q1JYL9	165.262
UniRef50_Q1JYL9|unclassified	165.262
UniRef50_Q0G6U8	165.199
UniRef50_Q0G6U8|unclassified	165.199
UniRef50_UPI000363B642: hypothetical protein, partial	165.167
UniRef50_UPI000363B642: hypothetical protein, partial|unclassified	165.167
UniRef50_UPI00047EC483: hypothetical protein	165.104
UniRef50_UPI00047EC483: hypothetical protein|unclassified	165.104
UniRef50_U1D792	165.097
UniRef50_U1D792|unclassified	165.097
UniRef50_F3ZRZ4: UPF0758 protein yicR	164.653
UniRef50_F3ZRZ4: UPF0758 protein yicR|unclassified	164.653
UniRef50_Q8F3P5: Exodeoxyribonuclease 7 large subunit	164.508
UniRef50_Q8F3P5: Exodeoxyribonuclease 7 large subunit|unclassified	164.508
UniRef50_C0AYW7	164.325
UniRef50_C0AYW7|unclassified	164.325
UniRef50_R7CF96: A/G-specific DNA glycosylase	164.309
UniRef50_R7CF96: A/G-specific DNA glycosylase|unclassified	164.309
UniRef50_W0LA12	164.269
UniRef50_W0LA12|unclassified	164.269
UniRef50_L8DTX5: Nuclease sbcCD subunit D	163.949
UniRef50_L8DTX5: Nuclease sbcCD subunit D|unclassified	163.949
UniRef50_A5GD74: Endonuclease V	163.949
UniRef50_A5GD74: Endonuclease V|unclassified	163.949
UniRef50_UPI00041EA273: hypothetical protein	163.946
UniRef50_UPI00041EA273: hypothetical protein|unclassified	163.946
UniRef50_F6CVB6: RmuC-domain protein	163.671
UniRef50_F6CVB6: RmuC-domain protein|unclassified	163.671
UniRef50_UPI000372887F: hypothetical protein	163.657
UniRef50_UPI000372887F: hypothetical protein|unclassified	163.657
UniRef50_UPI0004135F6F: hypothetical protein	163.611
UniRef50_UPI0004135F6F: hypothetical protein|unclassified	163.611
UniRef50_UPI0002BAF7D8: exodeoxyribonuclease VII large subunit, partial	163.497
UniRef50_UPI0002BAF7D8: exodeoxyribonuclease VII large subunit, partial|unclassified	163.497
UniRef50_F1WER2: Nuclease SbcCD subunit D	163.424
UniRef50_F1WER2: Nuclease SbcCD subunit D|unclassified	163.424
UniRef50_C6XEK3	163.369
UniRef50_C6XEK3|unclassified	163.369
UniRef50_UPI000381C550: hypothetical protein, partial	163.136
UniRef50_UPI000381C550: hypothetical protein, partial|unclassified	163.136
UniRef50_UPI0003828378: exodeoxyribonuclease VII large subunit	162.899
UniRef50_UPI0003828378: exodeoxyribonuclease VII large subunit|unclassified	162.899
UniRef50_A6LNA6: Endonuclease V	162.349
UniRef50_A6LNA6: Endonuclease V|unclassified	162.349
UniRef50_S5A4K7: DNA repair protein RadC	162.005
UniRef50_S5A4K7: DNA repair protein RadC|unclassified	162.005
UniRef50_D1GUI5: DNA repair protein RadC	161.815
UniRef50_D1GUI5: DNA repair protein RadC|unclassified	161.815
UniRef50_UPI00047B9845: recombinase RmuC	161.791
UniRef50_UPI00047B9845: recombinase RmuC|unclassified	161.791
UniRef50_UPI000225B300: exonuclease, SbcC family protein	161.658
UniRef50_UPI000225B300: exonuclease, SbcC family protein|unclassified	161.658
UniRef50_F3CAN1	161.572
UniRef50_F3CAN1|unclassified	161.572
UniRef50_A0A010JP41: DNA repair , associated with replication forks domain protein	161.511
UniRef50_A0A010JP41: DNA repair , associated with replication forks domain protein|unclassified	161.511
UniRef50_M1X4G8: DNA repair protein RecN	161.368
UniRef50_M1X4G8: DNA repair protein RecN|unclassified	161.368
UniRef50_UPI000382BA5B: DNA glycosylase	160.988
UniRef50_UPI000382BA5B: DNA glycosylase|unclassified	160.988
UniRef50_E1RP56	160.876
UniRef50_E1RP56|unclassified	160.876
UniRef50_UPI0004794D10: hypothetical protein	160.799
UniRef50_UPI0004794D10: hypothetical protein|unclassified	160.799
UniRef50_Q8PT42: DNA polymerase IV 2	160.766
UniRef50_Q8PT42: DNA polymerase IV 2|unclassified	160.766
UniRef50_W8TPZ9: Damage-inducible protein I	160.666
UniRef50_W8TPZ9: Damage-inducible protein I|unclassified	160.666
UniRef50_UPI000225A90C: methylated-DNA--(protein)-cysteine S-methyltransferase	160.496
UniRef50_UPI000225A90C: methylated-DNA--(protein)-cysteine S-methyltransferase|unclassified	160.496
UniRef50_UPI0003745BEF: hypothetical protein, partial	159.506
UniRef50_UPI0003745BEF: hypothetical protein, partial|unclassified	159.506
UniRef50_UPI00037E7290: hypothetical protein	159.39
