# Gene Family	SampleDNA-replication_Abundance-CPM
UniRef50_A0LXS4: Holliday junction ATP-dependent DNA helicase RuvA	532.681
UniRef50_A0LXS4: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	532.681
UniRef50_UPI00047574B5: DNA polymerase III subunit alpha	532.17
UniRef50_UPI00047574B5: DNA polymerase III subunit alpha|unclassified	532.17
UniRef50_UPI0001BCF4D4: replicative DNA helicase, partial	530.126
UniRef50_UPI0001BCF4D4: replicative DNA helicase, partial|unclassified	530.126
UniRef50_UPI00047A9DE5: hypothetical protein	529.579
UniRef50_UPI00047A9DE5: hypothetical protein|unclassified	529.579
UniRef50_UPI00037C80E9: DNA polymerase III subunit epsilon	526.021
UniRef50_UPI00037C80E9: DNA polymerase III subunit epsilon|unclassified	526.021
UniRef50_Q9XDH5: DNA polymerase III subunit alpha	525.996
UniRef50_Q9XDH5: DNA polymerase III subunit alpha|unclassified	525.996
UniRef50_O25916: Replicative DNA helicase	522.164
UniRef50_O25916: Replicative DNA helicase|unclassified	522.164
UniRef50_UPI00037D3C44: hypothetical protein	521.934
UniRef50_UPI00037D3C44: hypothetical protein|unclassified	521.934
UniRef50_UPI0002556505: primosome assembly protein PriA	521.903
UniRef50_UPI0002556505: primosome assembly protein PriA|unclassified	521.903
UniRef50_W1YG09: Primosomal protein N (Fragment)	519.518
UniRef50_W1YG09: Primosomal protein N (Fragment)|unclassified	519.518
UniRef50_Q9S1N4: DNA primase	518.724
UniRef50_Q9S1N4: DNA primase|unclassified	518.724
UniRef50_UPI00046F333D: hypothetical protein	517.585
UniRef50_UPI00046F333D: hypothetical protein|unclassified	517.585
UniRef50_UPI0003B6D968: primosomal protein DnaI	515.888
UniRef50_UPI0003B6D968: primosomal protein DnaI|unclassified	515.888
UniRef50_A8MHI5: Crossover junction endodeoxyribonuclease RuvC	515.502
UniRef50_A8MHI5: Crossover junction endodeoxyribonuclease RuvC|unclassified	515.502
UniRef50_UPI0000F2F4E4: DNA polymerase III subunit chi	512.817
UniRef50_UPI0000F2F4E4: DNA polymerase III subunit chi|unclassified	512.817
UniRef50_UPI00016C5758: primosomal protein N	512.441
UniRef50_UPI00016C5758: primosomal protein N|unclassified	512.441
UniRef50_UPI0004664CE0: hypothetical protein	511.718
UniRef50_UPI0004664CE0: hypothetical protein|unclassified	511.718
UniRef50_W4UYQ5: DNA polymerase III	511.65
UniRef50_W4UYQ5: DNA polymerase III|unclassified	511.65
UniRef50_A7FKB1	510.355
UniRef50_A7FKB1|unclassified	510.355
UniRef50_X1KXY0: Marine sediment metagenome DNA, contig: S03H2_S20878 (Fragment)	509.688
UniRef50_X1KXY0: Marine sediment metagenome DNA, contig: S03H2_S20878 (Fragment)|unclassified	509.688
UniRef50_UPI00037D6CA9: hypothetical protein	508.441
UniRef50_UPI00037D6CA9: hypothetical protein|unclassified	508.441
UniRef50_UPI0002EF2062: hypothetical protein	506.532
UniRef50_UPI0002EF2062: hypothetical protein|unclassified	506.532
UniRef50_G6NAX4: DnaG protein	500.646
UniRef50_G6NAX4: DnaG protein|unclassified	500.646
UniRef50_UPI000477BF1B: DNA polymerase III subunit delta	499.747
UniRef50_UPI000477BF1B: DNA polymerase III subunit delta|unclassified	499.747
UniRef50_UPI000366BDE9: hypothetical protein	499.678
UniRef50_UPI000366BDE9: hypothetical protein|unclassified	499.678
UniRef50_C5BQT5: Holliday junction ATP-dependent DNA helicase RuvA	495.692
UniRef50_C5BQT5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	495.692
UniRef50_UPI00047AA7B2: chromosomal replication initiation protein	493.884
UniRef50_UPI00047AA7B2: chromosomal replication initiation protein|unclassified	493.884
UniRef50_UPI00035FFFB9: DNA replication protein DnaC, partial	493.089
UniRef50_UPI00035FFFB9: DNA replication protein DnaC, partial|unclassified	493.089
UniRef50_UPI00024904B3: DNA polymerase III subunit delta''''	492.236
UniRef50_UPI00024904B3: DNA polymerase III subunit delta''''|unclassified	492.236
UniRef50_UPI00041F781A: chromosomal replication initiator protein DnaA	490.353
UniRef50_UPI00041F781A: chromosomal replication initiator protein DnaA|unclassified	490.353
UniRef50_UPI0003601C0B: hypothetical protein	489.048
UniRef50_UPI0003601C0B: hypothetical protein|unclassified	489.048
UniRef50_UPI00037C1A57: hypothetical protein	487.603
UniRef50_UPI00037C1A57: hypothetical protein|unclassified	487.603
UniRef50_UPI0004717B10: hypothetical protein, partial	487.568
UniRef50_UPI0004717B10: hypothetical protein, partial|unclassified	487.568
UniRef50_W5X5Q4: ExsB protein	485.057
UniRef50_W5X5Q4: ExsB protein|unclassified	485.057
UniRef50_Q0BT56: Crossover junction endodeoxyribonuclease RuvC	484.886
UniRef50_Q0BT56: Crossover junction endodeoxyribonuclease RuvC|unclassified	484.886
UniRef50_Q8REJ7: Holliday junction ATP-dependent DNA helicase RuvA	483.909
UniRef50_Q8REJ7: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	483.909
UniRef50_UPI000185081E: DNA polymerase III subunit delta	480.56
UniRef50_UPI000185081E: DNA polymerase III subunit delta|unclassified	480.56
UniRef50_UPI0003B61CAA: DNA polymerase III subunit alpha	480.037
UniRef50_UPI0003B61CAA: DNA polymerase III subunit alpha|unclassified	480.037
UniRef50_UPI00038F9E6F: DNA polymerase III subunit alpha, partial	479.593
UniRef50_UPI00038F9E6F: DNA polymerase III subunit alpha, partial|unclassified	479.593
UniRef50_UPI00037696BA: hypothetical protein	479.137
UniRef50_UPI00037696BA: hypothetical protein|unclassified	479.137
UniRef50_UPI00035F2FB4: hypothetical protein	477.67
UniRef50_UPI00035F2FB4: hypothetical protein|unclassified	477.67
UniRef50_UPI00036AFD75: hypothetical protein	476.291
UniRef50_UPI00036AFD75: hypothetical protein|unclassified	476.291
UniRef50_Q183P3: Crossover junction endodeoxyribonuclease RuvC	476.234
UniRef50_Q183P3: Crossover junction endodeoxyribonuclease RuvC|unclassified	476.234
UniRef50_UPI0004655D5B: hypothetical protein	475.568
UniRef50_UPI0004655D5B: hypothetical protein|unclassified	475.568
UniRef50_C1F130: Crossover junction endodeoxyribonuclease RuvC	474.024
UniRef50_C1F130: Crossover junction endodeoxyribonuclease RuvC|unclassified	474.024
UniRef50_UPI000262CF6C: primosomal protein N''''	473.629
UniRef50_UPI000262CF6C: primosomal protein N''''|unclassified	473.629
UniRef50_UPI000472B231: hypothetical protein, partial	472.056
UniRef50_UPI000472B231: hypothetical protein, partial|unclassified	472.056
UniRef50_D0X4G3: Primosomal replication protein N	471.109
UniRef50_D0X4G3: Primosomal replication protein N|unclassified	471.109
UniRef50_UPI000380D147: replicative DNA helicase	468.76
UniRef50_UPI000380D147: replicative DNA helicase|unclassified	468.76
UniRef50_Q3ATE5: Holliday junction ATP-dependent DNA helicase RuvA	468.132
UniRef50_Q3ATE5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	468.132
UniRef50_UPI00037E096F: hypothetical protein	465.114
UniRef50_UPI00037E096F: hypothetical protein|unclassified	465.114
UniRef50_Q9ZKW9: Holliday junction ATP-dependent DNA helicase RuvA	464.652
UniRef50_Q9ZKW9: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	464.652
UniRef50_Q9ZN49: DNA primase	462.208
UniRef50_Q9ZN49: DNA primase|unclassified	462.208
UniRef50_UPI00047CC8EB: DNA helicase	461.772
UniRef50_UPI00047CC8EB: DNA helicase|unclassified	461.772
UniRef50_Q8RAN4: Crossover junction endodeoxyribonuclease RuvC	460.943
UniRef50_Q8RAN4: Crossover junction endodeoxyribonuclease RuvC|unclassified	460.943
UniRef50_UPI0002F5109C: DNA polymerase III subunit alpha	457.253
UniRef50_UPI0002F5109C: DNA polymerase III subunit alpha|unclassified	457.253
UniRef50_UPI000255AC0C: primosomal protein N'''', partial	457.009
UniRef50_UPI000255AC0C: primosomal protein N'''', partial|unclassified	457.009
UniRef50_W7E2M2: Primosome assembly protein PriA	456.477
UniRef50_W7E2M2: Primosome assembly protein PriA|unclassified	456.477
UniRef50_X1DWT8: Marine sediment metagenome DNA, contig: S01H4_S18803 (Fragment)	455.888
UniRef50_X1DWT8: Marine sediment metagenome DNA, contig: S01H4_S18803 (Fragment)|unclassified	455.888
UniRef50_UPI000372EAA0: hypothetical protein	455.668
UniRef50_UPI000372EAA0: hypothetical protein|unclassified	455.668
UniRef50_N8LLW0	454.116
UniRef50_N8LLW0|unclassified	454.116
UniRef50_B1W3G2: Crossover junction endodeoxyribonuclease RuvC	453.678
UniRef50_B1W3G2: Crossover junction endodeoxyribonuclease RuvC|unclassified	453.678
UniRef50_UPI0003708F11: hypothetical protein	452.588
UniRef50_UPI0003708F11: hypothetical protein|unclassified	452.588
UniRef50_UPI00047182C1: hypothetical protein, partial	452.491
UniRef50_UPI00047182C1: hypothetical protein, partial|unclassified	452.491
UniRef50_Q10YI3: Crossover junction endodeoxyribonuclease RuvC	450.802
UniRef50_Q10YI3: Crossover junction endodeoxyribonuclease RuvC|unclassified	450.802
UniRef50_C9XSF1: DNA polymerase III, delta subunit	450.405
UniRef50_C9XSF1: DNA polymerase III, delta subunit|unclassified	450.405
UniRef50_I5XWE4: Primosomal protein I	449.345
UniRef50_I5XWE4: Primosomal protein I|unclassified	449.345
UniRef50_B7MV15	445.992
UniRef50_B7MV15|unclassified	445.992
UniRef50_UPI000375B637: hypothetical protein	443.521
UniRef50_UPI000375B637: hypothetical protein|unclassified	443.521
UniRef50_B7J3G2: Holliday junction ATP-dependent DNA helicase RuvA	443.513
UniRef50_B7J3G2: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	443.513
UniRef50_B8EJI5: Holliday junction ATP-dependent DNA helicase RuvA	442.259
UniRef50_B8EJI5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	442.259
UniRef50_UPI00047DBC0E: hypothetical protein	439.654
UniRef50_UPI00047DBC0E: hypothetical protein|unclassified	439.654
UniRef50_R7L6N1: DNA polymerase III polC-type	439.593
UniRef50_R7L6N1: DNA polymerase III polC-type|unclassified	439.593
UniRef50_O67125: DNA polymerase III subunit alpha	439.079
UniRef50_O67125: DNA polymerase III subunit alpha|unclassified	439.079
UniRef50_W4UX81: DNA polymerase III	438.289
UniRef50_W4UX81: DNA polymerase III|unclassified	438.289
UniRef50_F0TIR1: DNA polymerase III, delta subunit	435.209
UniRef50_F0TIR1: DNA polymerase III, delta subunit|unclassified	435.209
UniRef50_UPI00046D57F4: hypothetical protein	434.674
UniRef50_UPI00046D57F4: hypothetical protein|unclassified	434.674
UniRef50_H3UJR5	434.272
UniRef50_H3UJR5|unclassified	434.272
UniRef50_UPI0004736031: hypothetical protein, partial	433.549
UniRef50_UPI0004736031: hypothetical protein, partial|unclassified	433.549
UniRef50_UPI00047748F9: hypothetical protein	433.268
UniRef50_UPI00047748F9: hypothetical protein|unclassified	433.268
UniRef50_UPI000473B1A8: DNA polymerase III subunit alpha, partial	430.33
UniRef50_UPI000473B1A8: DNA polymerase III subunit alpha, partial|unclassified	430.33
UniRef50_UPI000307F191: hypothetical protein	429.804
UniRef50_UPI000307F191: hypothetical protein|unclassified	429.804
UniRef50_UPI0003B6A42C: DNA helicase	428.427
UniRef50_UPI0003B6A42C: DNA helicase|unclassified	428.427
UniRef50_UPI0004738870: crossover junction endodeoxyribonuclease RuvC, partial	427.814
UniRef50_UPI0004738870: crossover junction endodeoxyribonuclease RuvC, partial|unclassified	427.814
UniRef50_V6FKB4	426.451
UniRef50_V6FKB4|unclassified	426.451
UniRef50_UPI0002192A06: chromosomal replication initiation protein, partial	425.212
UniRef50_UPI0002192A06: chromosomal replication initiation protein, partial|unclassified	425.212
UniRef50_F9Q0H2: DNA polymerase III PolC-type N-terminal domain protein	424.587
UniRef50_F9Q0H2: DNA polymerase III PolC-type N-terminal domain protein|unclassified	424.587
UniRef50_UPI000470E1C2: hypothetical protein	424.472
UniRef50_UPI000470E1C2: hypothetical protein|unclassified	424.472
UniRef50_UPI00047A0255: hypothetical protein	423.699
UniRef50_UPI00047A0255: hypothetical protein|unclassified	423.699
UniRef50_UPI0003768554: hypothetical protein	422.912
UniRef50_UPI0003768554: hypothetical protein|unclassified	422.912
UniRef50_UPI00016B102E: DNA primase	422.343
UniRef50_UPI00016B102E: DNA primase|unclassified	422.343
UniRef50_UPI00024917EA: DNA polymerase III subunit epsilon	418.572
UniRef50_UPI00024917EA: DNA polymerase III subunit epsilon|unclassified	418.572
UniRef50_B5Z350: Phage O protein	417.862
UniRef50_B5Z350: Phage O protein|unclassified	417.862
UniRef50_UPI000288608B: DNA polymerase III, alpha subunit, partial	415.85
UniRef50_UPI000288608B: DNA polymerase III, alpha subunit, partial|unclassified	415.85
UniRef50_R7G541: DNA polymerase III polC-type	415.486
UniRef50_R7G541: DNA polymerase III polC-type|unclassified	415.486
UniRef50_A0A027H2F6: N-terminal phage replisome organizer family protein (Fragment)	415.067
UniRef50_A0A027H2F6: N-terminal phage replisome organizer family protein (Fragment)|unclassified	415.067
UniRef50_K8CTC1	410.839
UniRef50_K8CTC1|unclassified	410.839
UniRef50_R8USI2	410.7
UniRef50_R8USI2|unclassified	410.7
UniRef50_UPI0003632775: hypothetical protein	409.423
UniRef50_UPI0003632775: hypothetical protein|unclassified	409.423
UniRef50_C0ZAN2: Crossover junction endodeoxyribonuclease RuvC	408.825
UniRef50_C0ZAN2: Crossover junction endodeoxyribonuclease RuvC|unclassified	408.825
UniRef50_A0A028PFS3	408.225
UniRef50_A0A028PFS3|unclassified	408.225
UniRef50_UPI000382038E: hypothetical protein	407.382
UniRef50_UPI000382038E: hypothetical protein|unclassified	407.382
UniRef50_R5PWI0	406.828
UniRef50_R5PWI0|unclassified	406.828
UniRef50_T0F0I3: Primosomal protein N' domain protein	404.575
UniRef50_T0F0I3: Primosomal protein N' domain protein|unclassified	404.575
UniRef50_J9F505: Primosomal protein N (Fragment)	403.902
UniRef50_J9F505: Primosomal protein N (Fragment)|unclassified	403.902
UniRef50_T4Y7G4: Putative primosomal protein N	399.88
UniRef50_T4Y7G4: Putative primosomal protein N|unclassified	399.88
UniRef50_Q9CI70: DNA polymerase III subunit alpha	399.447
UniRef50_Q9CI70: DNA polymerase III subunit alpha|unclassified	399.447
UniRef50_UPI00045EAD33: MULTISPECIES: hypothetical protein	399.294
UniRef50_UPI00045EAD33: MULTISPECIES: hypothetical protein|unclassified	399.294
UniRef50_R7NN76	399.004
UniRef50_R7NN76|unclassified	399.004
UniRef50_Q9ZHF6: DNA polymerase III PolC-type	398.691
UniRef50_Q9ZHF6: DNA polymerase III PolC-type|unclassified	398.691
UniRef50_P32000: DNA primase	398.519
UniRef50_P32000: DNA primase|unclassified	398.519
UniRef50_UPI0003EF18C9: hypothetical protein, partial	398.265
UniRef50_UPI0003EF18C9: hypothetical protein, partial|unclassified	398.265
UniRef50_UPI0004647336: hypothetical protein	398.015
UniRef50_UPI0004647336: hypothetical protein|unclassified	398.015
UniRef50_X1R416: Marine sediment metagenome DNA, contig: S12H4_C00265 (Fragment)	397.633
UniRef50_X1R416: Marine sediment metagenome DNA, contig: S12H4_C00265 (Fragment)|unclassified	397.633
UniRef50_D5W4F8: Truncated DNA polymerase III DnaE	397.572
UniRef50_D5W4F8: Truncated DNA polymerase III DnaE|unclassified	397.572
UniRef50_Q92I89: Holliday junction ATP-dependent DNA helicase RuvA	397.363
UniRef50_Q92I89: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	397.363
UniRef50_Q55506: Crossover junction endodeoxyribonuclease RuvC	397.125
UniRef50_Q55506: Crossover junction endodeoxyribonuclease RuvC|unclassified	397.125
UniRef50_UPI0002FA45CA: DNA helicase	396.608
UniRef50_UPI0002FA45CA: DNA helicase|unclassified	396.608
UniRef50_W7Z5X4: DNA polymerase III alpha subunit	396.201
UniRef50_W7Z5X4: DNA polymerase III alpha subunit|unclassified	396.201
UniRef50_A5WFC8: Holliday junction ATP-dependent DNA helicase RuvA	395.767
UniRef50_A5WFC8: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	395.767
UniRef50_Q9L290: Holliday junction ATP-dependent DNA helicase RuvA	395.24
UniRef50_Q9L290: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	395.24
UniRef50_X0UTC0: Marine sediment metagenome DNA, contig: S01H1_S11093 (Fragment)	395.163
UniRef50_X0UTC0: Marine sediment metagenome DNA, contig: S01H1_S11093 (Fragment)|unclassified	395.163
UniRef50_E1P0L8: Identified by MetaGeneAnnotator	394.966
UniRef50_E1P0L8: Identified by MetaGeneAnnotator|unclassified	394.966
UniRef50_UPI000468900B: hypothetical protein	394.942
UniRef50_UPI000468900B: hypothetical protein|unclassified	394.942
UniRef50_Q2W2A3: Holliday junction ATP-dependent DNA helicase RuvA	394.91
UniRef50_Q2W2A3: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	394.91
UniRef50_X0ZDE5: Marine sediment metagenome DNA, contig: S01H4_C02754 (Fragment)	394.775
UniRef50_X0ZDE5: Marine sediment metagenome DNA, contig: S01H4_C02754 (Fragment)|unclassified	394.775
UniRef50_A0A027YWY2: DNA primase (Fragment)	394.667
UniRef50_A0A027YWY2: DNA primase (Fragment)|unclassified	394.667
UniRef50_UPI0003B2E5DA: ATP-dependent DNA helicase RuvA	393.837
UniRef50_UPI0003B2E5DA: ATP-dependent DNA helicase RuvA|unclassified	393.837
UniRef50_B0BXC2: Holliday junction ATP-dependent DNA helicase RuvA	392.182
UniRef50_B0BXC2: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	392.182
UniRef50_X1CIS1: Marine sediment metagenome DNA, contig: S01H4_S13891 (Fragment)	391.466
UniRef50_X1CIS1: Marine sediment metagenome DNA, contig: S01H4_S13891 (Fragment)|unclassified	391.466
UniRef50_Q9K838: DNA polymerase III subunit alpha	389.044
UniRef50_Q9K838: DNA polymerase III subunit alpha|unclassified	389.044
UniRef50_UPI000361D523: hypothetical protein, partial	389.035
UniRef50_UPI000361D523: hypothetical protein, partial|unclassified	389.035
UniRef50_UPI000473E17A: hypothetical protein, partial	388.879
UniRef50_UPI000473E17A: hypothetical protein, partial|unclassified	388.879
UniRef50_UPI00046E216D: hypothetical protein, partial	387.712
UniRef50_UPI00046E216D: hypothetical protein, partial|unclassified	387.712
UniRef50_Q5FQC5: Holliday junction ATP-dependent DNA helicase RuvA	387.526
UniRef50_Q5FQC5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	387.526
UniRef50_B7NB14	387.195
UniRef50_B7NB14|unclassified	387.195
UniRef50_Q4URQ7: DNA polymerase III delta' subunit	385.19
UniRef50_Q4URQ7: DNA polymerase III delta' subunit|unclassified	385.19
UniRef50_UPI00035F626B: hypothetical protein, partial	384.601
UniRef50_UPI00035F626B: hypothetical protein, partial|unclassified	384.601
UniRef50_T1AYF2: Primosomal protein N (Fragment)	384.574
UniRef50_T1AYF2: Primosomal protein N (Fragment)|unclassified	384.574
UniRef50_S6SSF7: Primosome assembly protein PriA	383.459
UniRef50_S6SSF7: Primosome assembly protein PriA|unclassified	383.459
UniRef50_B1LZP2: Crossover junction endodeoxyribonuclease RuvC	382.932
UniRef50_B1LZP2: Crossover junction endodeoxyribonuclease RuvC|unclassified	382.932
UniRef50_UPI00039E3804: DNA polymerase III subunit chi	382.483
UniRef50_UPI00039E3804: DNA polymerase III subunit chi|unclassified	382.483
UniRef50_UPI0001BF690A: hypothetical protein SMAC_10967	381.913
UniRef50_UPI0001BF690A: hypothetical protein SMAC_10967|unclassified	381.913
UniRef50_UPI00025562DE: Holliday junction resolvase, partial	380.876
UniRef50_UPI00025562DE: Holliday junction resolvase, partial|unclassified	380.876
UniRef50_A3PLU4: Holliday junction ATP-dependent DNA helicase RuvA	378.416
UniRef50_A3PLU4: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	378.416
UniRef50_UPI0003B2F81F: DNA polymerase III subunit delta	378.216
UniRef50_UPI0003B2F81F: DNA polymerase III subunit delta|unclassified	378.216
UniRef50_Q67Q99: Crossover junction endodeoxyribonuclease RuvC	377.924
UniRef50_Q67Q99: Crossover junction endodeoxyribonuclease RuvC|unclassified	377.924
UniRef50_A0A028G4G6	376.558
UniRef50_A0A028G4G6|unclassified	376.558
UniRef50_O83675: DNA polymerase III subunit alpha	376.495
UniRef50_O83675: DNA polymerase III subunit alpha|unclassified	376.495
UniRef50_UPI0003B47659: DNA helicase	376.326
UniRef50_UPI0003B47659: DNA helicase|unclassified	376.326
UniRef50_UPI0002487699: replicative DNA helicase, partial	375.201
UniRef50_UPI0002487699: replicative DNA helicase, partial|unclassified	375.201
UniRef50_UPI00030D3907: hypothetical protein	374.298
UniRef50_UPI00030D3907: hypothetical protein|unclassified	374.298
UniRef50_F7QU93: DNA polymerase III, delta' subunit	374.067
UniRef50_F7QU93: DNA polymerase III, delta' subunit|unclassified	374.067
UniRef50_A5V1E5: Crossover junction endodeoxyribonuclease RuvC	372.447
UniRef50_A5V1E5: Crossover junction endodeoxyribonuclease RuvC|unclassified	372.447
UniRef50_J5NDC0: Primosome assembly protein PriA (Fragment)	371.85
UniRef50_J5NDC0: Primosome assembly protein PriA (Fragment)|unclassified	371.85
UniRef50_B7GR16: Crossover junction endodeoxyribonuclease RuvC	371.774
UniRef50_B7GR16: Crossover junction endodeoxyribonuclease RuvC|unclassified	371.774
UniRef50_UPI000262D120: Holliday junction resolvase	371.097
UniRef50_UPI000262D120: Holliday junction resolvase|unclassified	371.097
UniRef50_Q97GT0: Holliday junction ATP-dependent DNA helicase RuvA	370.737
UniRef50_Q97GT0: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	370.737
UniRef50_B1FQ67: DNA polymerase III, delta prime subunit	370.605
UniRef50_B1FQ67: DNA polymerase III, delta prime subunit|unclassified	370.605
UniRef50_W4TPT6: Chromosomal replication initiator protein DnaA	370.148
UniRef50_W4TPT6: Chromosomal replication initiator protein DnaA|unclassified	370.148
UniRef50_B2N6N0	369.006
UniRef50_B2N6N0|unclassified	369.006
UniRef50_C0AYL0: Primosomal replication protein priB and priC	368.676
UniRef50_C0AYL0: Primosomal replication protein priB and priC|unclassified	368.676
UniRef50_D2BUL0: Primosomal replication priB and priC	368.586
UniRef50_D2BUL0: Primosomal replication priB and priC|unclassified	368.586
UniRef50_UPI0002F8F47D: hypothetical protein	368.24
UniRef50_UPI0002F8F47D: hypothetical protein|unclassified	368.24
UniRef50_H7DGV9: DNA polymerase III polC-type	368.11
UniRef50_H7DGV9: DNA polymerase III polC-type|unclassified	368.11
UniRef50_UPI0003691FF5: DNA helicase	368.055
UniRef50_UPI0003691FF5: DNA helicase|unclassified	368.055
UniRef50_X1AMK2: Marine sediment metagenome DNA, contig: S01H4_L06918 (Fragment)	367.444
UniRef50_X1AMK2: Marine sediment metagenome DNA, contig: S01H4_L06918 (Fragment)|unclassified	367.444
UniRef50_UPI000479ABB2: DNA primase	367.317
UniRef50_UPI000479ABB2: DNA primase|unclassified	367.317
UniRef50_UPI00047293BE: DNA polymerase III subunit alpha, partial	366.384
UniRef50_UPI00047293BE: DNA polymerase III subunit alpha, partial|unclassified	366.384
UniRef50_UPI00016B1621: inner membrane protein, partial	365.82
UniRef50_UPI00016B1621: inner membrane protein, partial|unclassified	365.82
UniRef50_Q8RGS0: Crossover junction endodeoxyribonuclease RuvC	365.697
UniRef50_Q8RGS0: Crossover junction endodeoxyribonuclease RuvC|unclassified	365.697
UniRef50_UPI0002D91E7F: primosome assembly protein PriA	365.489
UniRef50_UPI0002D91E7F: primosome assembly protein PriA|unclassified	365.489
UniRef50_K1TBZ1: DNA polymerase III, alpha subunit (Fragment)	365.047
UniRef50_K1TBZ1: DNA polymerase III, alpha subunit (Fragment)|unclassified	365.047
UniRef50_U7QQH3	363.144
UniRef50_U7QQH3|unclassified	363.144
UniRef50_A6H1G0: Holliday junction ATP-dependent DNA helicase RuvA	362.888
UniRef50_A6H1G0: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	362.888
UniRef50_UPI00037DA020: DNA helicase, partial	362.658
UniRef50_UPI00037DA020: DNA helicase, partial|unclassified	362.658
UniRef50_UPI00046F5D4A: hypothetical protein	362.468
UniRef50_UPI00046F5D4A: hypothetical protein|unclassified	362.468
UniRef50_W4VL90: DNA polymerase III delta prime subunit	362.034
UniRef50_W4VL90: DNA polymerase III delta prime subunit|unclassified	362.034
UniRef50_UPI00046657C4: DNA polymerase III subunit delta''	361.778
UniRef50_UPI00046657C4: DNA polymerase III subunit delta''|unclassified	361.778
UniRef50_O68770: DNA polymerase III subunit alpha	361.704
UniRef50_O68770: DNA polymerase III subunit alpha|unclassified	361.704
UniRef50_UPI00047179A3: DNA polymerase III subunit epsilon	361.404
UniRef50_UPI00047179A3: DNA polymerase III subunit epsilon|unclassified	361.404
UniRef50_UPI0003644A74: DNA helicase	361.313
UniRef50_UPI0003644A74: DNA helicase|unclassified	361.313
UniRef50_W4JF60	359.321
UniRef50_W4JF60|unclassified	359.321
UniRef50_F9P4G0: Primosomal protein N' domain protein	359.296
UniRef50_F9P4G0: Primosomal protein N' domain protein|unclassified	359.296
UniRef50_X1I2I7: Marine sediment metagenome DNA, contig: S03H2_S03669 (Fragment)	356.804
UniRef50_X1I2I7: Marine sediment metagenome DNA, contig: S03H2_S03669 (Fragment)|unclassified	356.804
UniRef50_Q9EZH6: DNA polymerase holoenzyme subunit (Fragment)	355.491
UniRef50_Q9EZH6: DNA polymerase holoenzyme subunit (Fragment)|unclassified	355.491
UniRef50_UPI0003702810: hypothetical protein	354.508
UniRef50_UPI0003702810: hypothetical protein|unclassified	354.508
UniRef50_UPI000363F42A: hypothetical protein	353.49
UniRef50_UPI000363F42A: hypothetical protein|unclassified	353.49
UniRef50_V6UKP0: DNA polymerase III subunit delta	351.353
UniRef50_V6UKP0: DNA polymerase III subunit delta|unclassified	351.353
UniRef50_H5AD60	351.179
UniRef50_H5AD60|unclassified	351.179
UniRef50_L8UGT5	349.504
UniRef50_L8UGT5|unclassified	349.504
UniRef50_P52851: DNA polymerase III subunit beta	348.723
UniRef50_P52851: DNA polymerase III subunit beta|unclassified	348.723
UniRef50_W4TGL4: DNA polymerase III alpha subunit	348.04
UniRef50_W4TGL4: DNA polymerase III alpha subunit|unclassified	348.04
UniRef50_UPI0004736101: hypothetical protein, partial	346.638
UniRef50_UPI0004736101: hypothetical protein, partial|unclassified	346.638
UniRef50_X1ITX1: Marine sediment metagenome DNA, contig: S03H2_S23438 (Fragment)	345.421
UniRef50_X1ITX1: Marine sediment metagenome DNA, contig: S03H2_S23438 (Fragment)|unclassified	345.421
UniRef50_R5NZX2: Primosomal protein	345.188
UniRef50_R5NZX2: Primosomal protein|unclassified	345.188
UniRef50_I2S600	344.792
UniRef50_I2S600|unclassified	344.792
UniRef50_K2GJL1: Primosomal protein N	344.743
UniRef50_K2GJL1: Primosomal protein N|unclassified	344.743
UniRef50_T4IGG0: DNA polymerase III polC-type family protein	344.521
UniRef50_T4IGG0: DNA polymerase III polC-type family protein|unclassified	344.521
UniRef50_UPI000464B799: DNA polymerase III subunit delta''	343.522
UniRef50_UPI000464B799: DNA polymerase III subunit delta''|unclassified	343.522
UniRef50_A1BME2: DnaG (Fragment)	343.282
UniRef50_A1BME2: DnaG (Fragment)|unclassified	343.282
UniRef50_UPI0003CFEE0F: hypothetical protein P148_SR1C00001G0515	342.428
UniRef50_UPI0003CFEE0F: hypothetical protein P148_SR1C00001G0515|unclassified	342.428
UniRef50_UPI0003708A3A: hypothetical protein, partial	342.365
UniRef50_UPI0003708A3A: hypothetical protein, partial|unclassified	342.365
UniRef50_UPI0003FEAED5: DNA polymerase III subunit delta	341.946
UniRef50_UPI0003FEAED5: DNA polymerase III subunit delta|unclassified	341.946
UniRef50_Q0AX14: Crossover junction endodeoxyribonuclease RuvC	341.786
