# Gene Family	SampleDNA-replication_Abundance-RPKs
UniRef50_UPI00037E096F: hypothetical protein	123.7597682695
UniRef50_UPI00037E096F: hypothetical protein|unclassified	123.7597682695
UniRef50_Q9ZKW9: Holliday junction ATP-dependent DNA helicase RuvA	123.6368606130
UniRef50_Q9ZKW9: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	123.6368606130
UniRef50_Q9ZN49: DNA primase	122.9865332006
UniRef50_Q9ZN49: DNA primase|unclassified	122.9865332006
UniRef50_UPI00047CC8EB: DNA helicase	122.8705489572
UniRef50_UPI00047CC8EB: DNA helicase|unclassified	122.8705489572
UniRef50_Q8RAN4: Crossover junction endodeoxyribonuclease RuvC	122.6499045271
UniRef50_Q8RAN4: Crossover junction endodeoxyribonuclease RuvC|unclassified	122.6499045271
UniRef50_UPI0002F5109C: DNA polymerase III subunit alpha	121.6679820370
UniRef50_UPI0002F5109C: DNA polymerase III subunit alpha|unclassified	121.6679820370
UniRef50_UPI000255AC0C: primosomal protein N'''', partial	121.6030888479
UniRef50_UPI000255AC0C: primosomal protein N'''', partial|unclassified	121.6030888479
UniRef50_W7E2M2: Primosome assembly protein PriA	121.4614743741
UniRef50_W7E2M2: Primosome assembly protein PriA|unclassified	121.4614743741
UniRef50_X1DWT8: Marine sediment metagenome DNA, contig: S01H4_S18803 (Fragment)	121.3048405711
UniRef50_X1DWT8: Marine sediment metagenome DNA, contig: S01H4_S18803 (Fragment)|unclassified	121.3048405711
UniRef50_UPI000372EAA0: hypothetical protein	121.2461906972
UniRef50_UPI000372EAA0: hypothetical protein|unclassified	121.2461906972
UniRef50_N8LLW0	120.8332518065
UniRef50_N8LLW0|unclassified	120.8332518065
UniRef50_B1W3G2: Crossover junction endodeoxyribonuclease RuvC	120.7168538323
UniRef50_B1W3G2: Crossover junction endodeoxyribonuclease RuvC|unclassified	120.7168538323
UniRef50_UPI0003708F11: hypothetical protein	120.4267150701
UniRef50_UPI0003708F11: hypothetical protein|unclassified	120.4267150701
UniRef50_UPI00047182C1: hypothetical protein, partial	120.4008531236
UniRef50_UPI00047182C1: hypothetical protein, partial|unclassified	120.4008531236
UniRef50_Q10YI3: Crossover junction endodeoxyribonuclease RuvC	119.9515039703
UniRef50_Q10YI3: Crossover junction endodeoxyribonuclease RuvC|unclassified	119.9515039703
UniRef50_C9XSF1: DNA polymerase III, delta subunit	119.8457478729
UniRef50_C9XSF1: DNA polymerase III, delta subunit|unclassified	119.8457478729
UniRef50_I5XWE4: Primosomal protein I	119.5638355041
UniRef50_I5XWE4: Primosomal protein I|unclassified	119.5638355041
UniRef50_B7MV15	118.6715714761
UniRef50_B7MV15|unclassified	118.6715714761
UniRef50_UPI000375B637: hypothetical protein	118.0141905489
UniRef50_UPI000375B637: hypothetical protein|unclassified	118.0141905489
UniRef50_B7J3G2: Holliday junction ATP-dependent DNA helicase RuvA	118.0119904725
UniRef50_B7J3G2: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	118.0119904725
UniRef50_B8EJI5: Holliday junction ATP-dependent DNA helicase RuvA	117.6783468093
UniRef50_B8EJI5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	117.6783468093
UniRef50_UPI00047DBC0E: hypothetical protein	116.9851865859
UniRef50_UPI00047DBC0E: hypothetical protein|unclassified	116.9851865859
UniRef50_R7L6N1: DNA polymerase III polC-type	116.9689684917
UniRef50_R7L6N1: DNA polymerase III polC-type|unclassified	116.9689684917
UniRef50_O67125: DNA polymerase III subunit alpha	116.8323106503
UniRef50_O67125: DNA polymerase III subunit alpha|unclassified	116.8323106503
UniRef50_W4UX81: DNA polymerase III	116.6220738647
UniRef50_W4UX81: DNA polymerase III|unclassified	116.6220738647
UniRef50_F0TIR1: DNA polymerase III, delta subunit	115.8025256706
UniRef50_F0TIR1: DNA polymerase III, delta subunit|unclassified	115.8025256706
UniRef50_UPI00046D57F4: hypothetical protein	115.6601359311
UniRef50_UPI00046D57F4: hypothetical protein|unclassified	115.6601359311
UniRef50_H3UJR5	115.5531794734
UniRef50_H3UJR5|unclassified	115.5531794734
UniRef50_UPI0004736031: hypothetical protein, partial	115.3606371014
UniRef50_UPI0004736031: hypothetical protein, partial|unclassified	115.3606371014
UniRef50_UPI00047748F9: hypothetical protein	115.2860679607
UniRef50_UPI00047748F9: hypothetical protein|unclassified	115.2860679607
UniRef50_UPI000473B1A8: DNA polymerase III subunit alpha, partial	114.5043390245
UniRef50_UPI000473B1A8: DNA polymerase III subunit alpha, partial|unclassified	114.5043390245
UniRef50_UPI000307F191: hypothetical protein	114.3643378281
UniRef50_UPI000307F191: hypothetical protein|unclassified	114.3643378281
UniRef50_UPI0003B6A42C: DNA helicase	113.9978580322
UniRef50_UPI0003B6A42C: DNA helicase|unclassified	113.9978580322
UniRef50_UPI0004738870: crossover junction endodeoxyribonuclease RuvC, partial	113.8347022836
UniRef50_UPI0004738870: crossover junction endodeoxyribonuclease RuvC, partial|unclassified	113.8347022836
UniRef50_V6FKB4	113.4721165893
UniRef50_V6FKB4|unclassified	113.4721165893
UniRef50_UPI0002192A06: chromosomal replication initiation protein, partial	113.1424596193
UniRef50_UPI0002192A06: chromosomal replication initiation protein, partial|unclassified	113.1424596193
UniRef50_F9Q0H2: DNA polymerase III PolC-type N-terminal domain protein	112.9759763014
UniRef50_F9Q0H2: DNA polymerase III PolC-type N-terminal domain protein|unclassified	112.9759763014
UniRef50_UPI000470E1C2: hypothetical protein	112.9455131567
UniRef50_UPI000470E1C2: hypothetical protein|unclassified	112.9455131567
UniRef50_UPI00047A0255: hypothetical protein	112.7398547658
UniRef50_UPI00047A0255: hypothetical protein|unclassified	112.7398547658
UniRef50_UPI0003768554: hypothetical protein	112.5303179871
UniRef50_UPI0003768554: hypothetical protein|unclassified	112.5303179871
UniRef50_UPI00016B102E: DNA primase	112.3790739566
UniRef50_UPI00016B102E: DNA primase|unclassified	112.3790739566
UniRef50_UPI00024917EA: DNA polymerase III subunit epsilon	111.3756396376
UniRef50_UPI00024917EA: DNA polymerase III subunit epsilon|unclassified	111.3756396376
UniRef50_B5Z350: Phage O protein	111.1866924508
UniRef50_B5Z350: Phage O protein|unclassified	111.1866924508
UniRef50_UPI000288608B: DNA polymerase III, alpha subunit, partial	110.6513850218
UniRef50_UPI000288608B: DNA polymerase III, alpha subunit, partial|unclassified	110.6513850218
UniRef50_R7G541: DNA polymerase III polC-type	110.5544283249
UniRef50_R7G541: DNA polymerase III polC-type|unclassified	110.5544283249
UniRef50_A0A027H2F6: N-terminal phage replisome organizer family protein (Fragment)	110.4428660303
UniRef50_A0A027H2F6: N-terminal phage replisome organizer family protein (Fragment)|unclassified	110.4428660303
UniRef50_K8CTC1	109.3179974382
UniRef50_K8CTC1|unclassified	109.3179974382
UniRef50_R8USI2	109.2810646562
UniRef50_R8USI2|unclassified	109.2810646562
UniRef50_UPI0003632775: hypothetical protein	108.9411829888
UniRef50_UPI0003632775: hypothetical protein|unclassified	108.9411829888
UniRef50_C0ZAN2: Crossover junction endodeoxyribonuclease RuvC	108.7819854347
UniRef50_C0ZAN2: Crossover junction endodeoxyribonuclease RuvC|unclassified	108.7819854347
UniRef50_A0A028PFS3	108.6224022522
UniRef50_A0A028PFS3|unclassified	108.6224022522
UniRef50_UPI000382038E: hypothetical protein	108.3980572100
UniRef50_UPI000382038E: hypothetical protein|unclassified	108.3980572100
UniRef50_R5PWI0	108.2506338420
UniRef50_R5PWI0|unclassified	108.2506338420
UniRef50_T0F0I3: Primosomal protein N' domain protein	107.6511778350
UniRef50_T0F0I3: Primosomal protein N' domain protein|unclassified	107.6511778350
UniRef50_J9F505: Primosomal protein N (Fragment)	107.4720621118
UniRef50_J9F505: Primosomal protein N (Fragment)|unclassified	107.4720621118
UniRef50_T4Y7G4: Putative primosomal protein N	106.4018416066
UniRef50_T4Y7G4: Putative primosomal protein N|unclassified	106.4018416066
UniRef50_Q9CI70: DNA polymerase III subunit alpha	106.2865943873
UniRef50_Q9CI70: DNA polymerase III subunit alpha|unclassified	106.2865943873
UniRef50_UPI00045EAD33: MULTISPECIES: hypothetical protein	106.2459487896
UniRef50_UPI00045EAD33: MULTISPECIES: hypothetical protein|unclassified	106.2459487896
UniRef50_R7NN76	106.1689482447
UniRef50_R7NN76|unclassified	106.1689482447
UniRef50_Q9ZHF6: DNA polymerase III PolC-type	106.0856547292
UniRef50_Q9ZHF6: DNA polymerase III PolC-type|unclassified	106.0856547292
UniRef50_P32000: DNA primase	106.0398426949
UniRef50_P32000: DNA primase|unclassified	106.0398426949
UniRef50_UPI0003EF18C9: hypothetical protein, partial	105.9722982594
UniRef50_UPI0003EF18C9: hypothetical protein, partial|unclassified	105.9722982594
UniRef50_UPI0004647336: hypothetical protein	105.9056385855
UniRef50_UPI0004647336: hypothetical protein|unclassified	105.9056385855
UniRef50_X1R416: Marine sediment metagenome DNA, contig: S12H4_C00265 (Fragment)	105.8040666805
UniRef50_X1R416: Marine sediment metagenome DNA, contig: S12H4_C00265 (Fragment)|unclassified	105.8040666805
UniRef50_D5W4F8: Truncated DNA polymerase III DnaE	105.7879130423
UniRef50_D5W4F8: Truncated DNA polymerase III DnaE|unclassified	105.7879130423
UniRef50_Q92I89: Holliday junction ATP-dependent DNA helicase RuvA	105.7321078922
UniRef50_Q92I89: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	105.7321078922
UniRef50_Q55506: Crossover junction endodeoxyribonuclease RuvC	105.6688963191
UniRef50_Q55506: Crossover junction endodeoxyribonuclease RuvC|unclassified	105.6688963191
UniRef50_UPI0002FA45CA: DNA helicase	105.5313242306
UniRef50_UPI0002FA45CA: DNA helicase|unclassified	105.5313242306
UniRef50_W7Z5X4: DNA polymerase III alpha subunit	105.4228914431
UniRef50_W7Z5X4: DNA polymerase III alpha subunit|unclassified	105.4228914431
UniRef50_A5WFC8: Holliday junction ATP-dependent DNA helicase RuvA	105.3076296473
UniRef50_A5WFC8: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	105.3076296473
UniRef50_Q9L290: Holliday junction ATP-dependent DNA helicase RuvA	105.1673802532
UniRef50_Q9L290: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	105.1673802532
UniRef50_X0UTC0: Marine sediment metagenome DNA, contig: S01H1_S11093 (Fragment)	105.1467531746
UniRef50_X0UTC0: Marine sediment metagenome DNA, contig: S01H1_S11093 (Fragment)|unclassified	105.1467531746
UniRef50_E1P0L8: Identified by MetaGeneAnnotator	105.0944965372
UniRef50_E1P0L8: Identified by MetaGeneAnnotator|unclassified	105.0944965372
UniRef50_UPI000468900B: hypothetical protein	105.0879051938
UniRef50_UPI000468900B: hypothetical protein|unclassified	105.0879051938
UniRef50_Q2W2A3: Holliday junction ATP-dependent DNA helicase RuvA	105.0794617852
UniRef50_Q2W2A3: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	105.0794617852
UniRef50_X0ZDE5: Marine sediment metagenome DNA, contig: S01H4_C02754 (Fragment)	105.0435378023
UniRef50_X0ZDE5: Marine sediment metagenome DNA, contig: S01H4_C02754 (Fragment)|unclassified	105.0435378023
UniRef50_A0A027YWY2: DNA primase (Fragment)	105.0148976825
UniRef50_A0A027YWY2: DNA primase (Fragment)|unclassified	105.0148976825
UniRef50_UPI0003B2E5DA: ATP-dependent DNA helicase RuvA	104.7939934025
UniRef50_UPI0003B2E5DA: ATP-dependent DNA helicase RuvA|unclassified	104.7939934025
UniRef50_B0BXC2: Holliday junction ATP-dependent DNA helicase RuvA	104.3535918367
UniRef50_B0BXC2: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	104.3535918367
UniRef50_X1CIS1: Marine sediment metagenome DNA, contig: S01H4_S13891 (Fragment)	104.1632073581
UniRef50_X1CIS1: Marine sediment metagenome DNA, contig: S01H4_S13891 (Fragment)|unclassified	104.1632073581
UniRef50_Q9K838: DNA polymerase III subunit alpha	103.5185347343
UniRef50_Q9K838: DNA polymerase III subunit alpha|unclassified	103.5185347343
UniRef50_UPI000361D523: hypothetical protein, partial	103.5161145743
UniRef50_UPI000361D523: hypothetical protein, partial|unclassified	103.5161145743
UniRef50_UPI000473E17A: hypothetical protein, partial	103.4748012848
UniRef50_UPI000473E17A: hypothetical protein, partial|unclassified	103.4748012848
UniRef50_UPI00046E216D: hypothetical protein, partial	103.1642941239
UniRef50_UPI00046E216D: hypothetical protein, partial|unclassified	103.1642941239
UniRef50_Q5FQC5: Holliday junction ATP-dependent DNA helicase RuvA	103.1148313532
UniRef50_Q5FQC5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	103.1148313532
UniRef50_B7NB14	103.0267545262
UniRef50_B7NB14|unclassified	103.0267545262
UniRef50_Q4URQ7: DNA polymerase III delta' subunit	102.4931264257
UniRef50_Q4URQ7: DNA polymerase III delta' subunit|unclassified	102.4931264257
UniRef50_UPI00035F626B: hypothetical protein, partial	102.3363064549
UniRef50_UPI00035F626B: hypothetical protein, partial|unclassified	102.3363064549
UniRef50_T1AYF2: Primosomal protein N (Fragment)	102.3291303958
UniRef50_T1AYF2: Primosomal protein N (Fragment)|unclassified	102.3291303958
UniRef50_S6SSF7: Primosome assembly protein PriA	102.0325914639
UniRef50_S6SSF7: Primosome assembly protein PriA|unclassified	102.0325914639
UniRef50_B1LZP2: Crossover junction endodeoxyribonuclease RuvC	101.8924338806
UniRef50_B1LZP2: Crossover junction endodeoxyribonuclease RuvC|unclassified	101.8924338806
UniRef50_UPI00039E3804: DNA polymerase III subunit chi	101.7727901828
UniRef50_UPI00039E3804: DNA polymerase III subunit chi|unclassified	101.7727901828
UniRef50_UPI0001BF690A: hypothetical protein SMAC_10967	101.6211190703
UniRef50_UPI0001BF690A: hypothetical protein SMAC_10967|unclassified	101.6211190703
UniRef50_UPI00025562DE: Holliday junction resolvase, partial	101.3451267834
UniRef50_UPI00025562DE: Holliday junction resolvase, partial|unclassified	101.3451267834
UniRef50_A3PLU4: Holliday junction ATP-dependent DNA helicase RuvA	100.6906073862
UniRef50_A3PLU4: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	100.6906073862
UniRef50_UPI0003B2F81F: DNA polymerase III subunit delta	100.6374080201
UniRef50_UPI0003B2F81F: DNA polymerase III subunit delta|unclassified	100.6374080201
UniRef50_Q67Q99: Crossover junction endodeoxyribonuclease RuvC	100.5597344284
UniRef50_Q67Q99: Crossover junction endodeoxyribonuclease RuvC|unclassified	100.5597344284
UniRef50_A0A028G4G6	100.1962205176
UniRef50_A0A028G4G6|unclassified	100.1962205176
UniRef50_O83675: DNA polymerase III subunit alpha	100.1795719214
UniRef50_O83675: DNA polymerase III subunit alpha|unclassified	100.1795719214
UniRef50_UPI0003B47659: DNA helicase	100.1346159077
UniRef50_UPI0003B47659: DNA helicase|unclassified	100.1346159077
UniRef50_UPI0002487699: replicative DNA helicase, partial	99.8351911217
UniRef50_UPI0002487699: replicative DNA helicase, partial|unclassified	99.8351911217
UniRef50_UPI00030D3907: hypothetical protein	99.5950497682
UniRef50_UPI00030D3907: hypothetical protein|unclassified	99.5950497682
UniRef50_F7QU93: DNA polymerase III, delta' subunit	99.5333836964
UniRef50_F7QU93: DNA polymerase III, delta' subunit|unclassified	99.5333836964
UniRef50_A5V1E5: Crossover junction endodeoxyribonuclease RuvC	99.1023525747
UniRef50_A5V1E5: Crossover junction endodeoxyribonuclease RuvC|unclassified	99.1023525747
UniRef50_J5NDC0: Primosome assembly protein PriA (Fragment)	98.9437058036
UniRef50_J5NDC0: Primosome assembly protein PriA (Fragment)|unclassified	98.9437058036
UniRef50_B7GR16: Crossover junction endodeoxyribonuclease RuvC	98.9234870941
UniRef50_B7GR16: Crossover junction endodeoxyribonuclease RuvC|unclassified	98.9234870941
UniRef50_UPI000262D120: Holliday junction resolvase	98.7430867607
UniRef50_UPI000262D120: Holliday junction resolvase|unclassified	98.7430867607
UniRef50_Q97GT0: Holliday junction ATP-dependent DNA helicase RuvA	98.6474522265
UniRef50_Q97GT0: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	98.6474522265
UniRef50_B1FQ67: DNA polymerase III, delta prime subunit	98.6123162432
UniRef50_B1FQ67: DNA polymerase III, delta prime subunit|unclassified	98.6123162432
UniRef50_W4TPT6: Chromosomal replication initiator protein DnaA	98.4907323758
UniRef50_W4TPT6: Chromosomal replication initiator protein DnaA|unclassified	98.4907323758
UniRef50_B2N6N0	98.1867320500
UniRef50_B2N6N0|unclassified	98.1867320500
UniRef50_C0AYL0: Primosomal replication protein priB and priC	98.0990031434
UniRef50_C0AYL0: Primosomal replication protein priB and priC|unclassified	98.0990031434
UniRef50_D2BUL0: Primosomal replication priB and priC	98.0750816263
UniRef50_D2BUL0: Primosomal replication priB and priC|unclassified	98.0750816263
UniRef50_UPI0002F8F47D: hypothetical protein	97.9830224483
UniRef50_UPI0002F8F47D: hypothetical protein|unclassified	97.9830224483
UniRef50_H7DGV9: DNA polymerase III polC-type	97.9484436632
UniRef50_H7DGV9: DNA polymerase III polC-type|unclassified	97.9484436632
UniRef50_UPI0003691FF5: DNA helicase	97.9336566114
UniRef50_UPI0003691FF5: DNA helicase|unclassified	97.9336566114
UniRef50_X1AMK2: Marine sediment metagenome DNA, contig: S01H4_L06918 (Fragment)	97.7710769789
UniRef50_X1AMK2: Marine sediment metagenome DNA, contig: S01H4_L06918 (Fragment)|unclassified	97.7710769789
UniRef50_UPI000479ABB2: DNA primase	97.7374834418
UniRef50_UPI000479ABB2: DNA primase|unclassified	97.7374834418
UniRef50_UPI00047293BE: DNA polymerase III subunit alpha, partial	97.4891063816
UniRef50_UPI00047293BE: DNA polymerase III subunit alpha, partial|unclassified	97.4891063816
UniRef50_UPI00016B1621: inner membrane protein, partial	97.3390411140
UniRef50_UPI00016B1621: inner membrane protein, partial|unclassified	97.3390411140
UniRef50_Q8RGS0: Crossover junction endodeoxyribonuclease RuvC	97.3063529099
UniRef50_Q8RGS0: Crossover junction endodeoxyribonuclease RuvC|unclassified	97.3063529099
UniRef50_UPI0002D91E7F: primosome assembly protein PriA	97.2511111962
UniRef50_UPI0002D91E7F: primosome assembly protein PriA|unclassified	97.2511111962
UniRef50_K1TBZ1: DNA polymerase III, alpha subunit (Fragment)	97.1334350537
UniRef50_K1TBZ1: DNA polymerase III, alpha subunit (Fragment)|unclassified	97.1334350537
UniRef50_U7QQH3	96.6271193219
UniRef50_U7QQH3|unclassified	96.6271193219
UniRef50_A6H1G0: Holliday junction ATP-dependent DNA helicase RuvA	96.5589266092
UniRef50_A6H1G0: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	96.5589266092
UniRef50_UPI00037DA020: DNA helicase, partial	96.4978038564
UniRef50_UPI00037DA020: DNA helicase, partial|unclassified	96.4978038564
UniRef50_UPI00046F5D4A: hypothetical protein	96.4472807536
UniRef50_UPI00046F5D4A: hypothetical protein|unclassified	96.4472807536
UniRef50_W4VL90: DNA polymerase III delta prime subunit	96.3318085972
UniRef50_W4VL90: DNA polymerase III delta prime subunit|unclassified	96.3318085972
UniRef50_UPI00046657C4: DNA polymerase III subunit delta''	96.2634896277
UniRef50_UPI00046657C4: DNA polymerase III subunit delta''|unclassified	96.2634896277
UniRef50_O68770: DNA polymerase III subunit alpha	96.2439825186
UniRef50_O68770: DNA polymerase III subunit alpha|unclassified	96.2439825186
UniRef50_UPI00047179A3: DNA polymerase III subunit epsilon	96.1640636999
UniRef50_UPI00047179A3: DNA polymerase III subunit epsilon|unclassified	96.1640636999
UniRef50_UPI0003644A74: DNA helicase	96.1397281252
UniRef50_UPI0003644A74: DNA helicase|unclassified	96.1397281252
UniRef50_W4JF60	95.6097967795
UniRef50_W4JF60|unclassified	95.6097967795
UniRef50_F9P4G0: Primosomal protein N' domain protein	95.6031420081
UniRef50_F9P4G0: Primosomal protein N' domain protein|unclassified	95.6031420081
UniRef50_X1I2I7: Marine sediment metagenome DNA, contig: S03H2_S03669 (Fragment)	94.9400544290
UniRef50_X1I2I7: Marine sediment metagenome DNA, contig: S03H2_S03669 (Fragment)|unclassified	94.9400544290
UniRef50_Q9EZH6: DNA polymerase holoenzyme subunit (Fragment)	94.5907063357
UniRef50_Q9EZH6: DNA polymerase holoenzyme subunit (Fragment)|unclassified	94.5907063357
UniRef50_UPI0003702810: hypothetical protein	94.3290503691
UniRef50_UPI0003702810: hypothetical protein|unclassified	94.3290503691
UniRef50_UPI000363F42A: hypothetical protein	94.0583649957
UniRef50_UPI000363F42A: hypothetical protein|unclassified	94.0583649957
UniRef50_V6UKP0: DNA polymerase III subunit delta	93.4897275296
UniRef50_V6UKP0: DNA polymerase III subunit delta|unclassified	93.4897275296
UniRef50_H5AD60	93.4432771325
UniRef50_H5AD60|unclassified	93.4432771325
UniRef50_L8UGT5	92.9977588370
UniRef50_L8UGT5|unclassified	92.9977588370
UniRef50_P52851: DNA polymerase III subunit beta	92.7897710611
UniRef50_P52851: DNA polymerase III subunit beta|unclassified	92.7897710611
UniRef50_W4TGL4: DNA polymerase III alpha subunit	92.6080964557
UniRef50_W4TGL4: DNA polymerase III alpha subunit|unclassified	92.6080964557
UniRef50_UPI0004736101: hypothetical protein, partial	92.2349894410
UniRef50_UPI0004736101: hypothetical protein, partial|unclassified	92.2349894410
UniRef50_X1ITX1: Marine sediment metagenome DNA, contig: S03H2_S23438 (Fragment)	91.9111206073
UniRef50_X1ITX1: Marine sediment metagenome DNA, contig: S03H2_S23438 (Fragment)|unclassified	91.9111206073
UniRef50_R5NZX2: Primosomal protein	91.8492099323
UniRef50_R5NZX2: Primosomal protein|unclassified	91.8492099323
UniRef50_I2S600	91.7437824785
UniRef50_I2S600|unclassified	91.7437824785
UniRef50_K2GJL1: Primosomal protein N	91.7307402252
UniRef50_K2GJL1: Primosomal protein N|unclassified	91.7307402252
UniRef50_T4IGG0: DNA polymerase III polC-type family protein	91.6717638410
UniRef50_T4IGG0: DNA polymerase III polC-type family protein|unclassified	91.6717638410
UniRef50_UPI000464B799: DNA polymerase III subunit delta''	91.4059548372
UniRef50_UPI000464B799: DNA polymerase III subunit delta''|unclassified	91.4059548372
UniRef50_A1BME2: DnaG (Fragment)	91.3421883559
UniRef50_A1BME2: DnaG (Fragment)|unclassified	91.3421883559
UniRef50_UPI0003CFEE0F: hypothetical protein P148_SR1C00001G0515	91.1147883379
UniRef50_UPI0003CFEE0F: hypothetical protein P148_SR1C00001G0515|unclassified	91.1147883379
UniRef50_UPI0003708A3A: hypothetical protein, partial	91.0979919591
UniRef50_UPI0003708A3A: hypothetical protein, partial|unclassified	91.0979919591
UniRef50_UPI0003FEAED5: DNA polymerase III subunit delta	90.9865908189
UniRef50_UPI0003FEAED5: DNA polymerase III subunit delta|unclassified	90.9865908189
UniRef50_Q0AX14: Crossover junction endodeoxyribonuclease RuvC	90.9440061540
UniRef50_Q0AX14: Crossover junction endodeoxyribonuclease RuvC|unclassified	90.9440061540
UniRef50_UPI000472212C: hypothetical protein, partial	90.8150474521
UniRef50_UPI000472212C: hypothetical protein, partial|unclassified	90.8150474521
UniRef50_A4YRD9: Error-prone DNA polymerase	90.5461782055
UniRef50_A4YRD9: Error-prone DNA polymerase|unclassified	90.5461782055
UniRef50_UPI00019130A5: hypothetical protein, partial	90.2716116612
UniRef50_UPI00019130A5: hypothetical protein, partial|unclassified	90.2716116612
UniRef50_Q5LVN0: Error-prone DNA polymerase	90.2524773937
UniRef50_Q5LVN0: Error-prone DNA polymerase|unclassified	90.2524773937
UniRef50_R7JRF2	90.0811426944
UniRef50_R7JRF2|unclassified	90.0811426944
UniRef50_D8MP15: Primosomal replication protein N	90.0219438198
UniRef50_D8MP15: Primosomal replication protein N|unclassified	90.0219438198
UniRef50_W4UZ28: DNA polymerase III	90.0043378158
UniRef50_W4UZ28: DNA polymerase III|unclassified	90.0043378158
UniRef50_UPI00037734EB: hypothetical protein	89.6486192396
UniRef50_UPI00037734EB: hypothetical protein|unclassified	89.6486192396
UniRef50_Q47N41: Crossover junction endodeoxyribonuclease RuvC	89.5673926962
UniRef50_Q47N41: Crossover junction endodeoxyribonuclease RuvC|unclassified	89.5673926962
UniRef50_UPI00035C9564: hypothetical protein	89.5005503603
UniRef50_UPI00035C9564: hypothetical protein|unclassified	89.5005503603
UniRef50_F2P6K6: Primosomal replication priB and priC family protein	89.4270971597
UniRef50_F2P6K6: Primosomal replication priB and priC family protein|unclassified	89.4270971597
UniRef50_UPI00046F4F65: DNA polymerase III subunit alpha	89.1392158191
UniRef50_UPI00046F4F65: DNA polymerase III subunit alpha|unclassified	89.1392158191
UniRef50_UPI0002F1C476: DNA helicase	89.0911658947
UniRef50_UPI0002F1C476: DNA helicase|unclassified	89.0911658947
UniRef50_UPI00047892F1: primosomal protein N''	88.7561067938
UniRef50_UPI00047892F1: primosomal protein N''|unclassified	88.7561067938
UniRef50_Q9RCA1: DNA polymerase III subunit beta	88.7376890737
UniRef50_Q9RCA1: DNA polymerase III subunit beta|unclassified	88.7376890737
UniRef50_Q6N8V0: Error-prone DNA polymerase	88.3193018083
UniRef50_Q6N8V0: Error-prone DNA polymerase|unclassified	88.3193018083
UniRef50_X1UZZ2: Marine sediment metagenome DNA, contig: S12H4_S24097 (Fragment)	88.1857117006
UniRef50_X1UZZ2: Marine sediment metagenome DNA, contig: S12H4_S24097 (Fragment)|unclassified	88.1857117006
UniRef50_B4UFY0: Holliday junction ATP-dependent DNA helicase RuvA	88.1430201279
UniRef50_B4UFY0: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	88.1430201279
UniRef50_W4U1Z7: DNA polymerase III alpha subunit	87.8488934180
UniRef50_W4U1Z7: DNA polymerase III alpha subunit|unclassified	87.8488934180
UniRef50_UPI000255C66E: DNA polymerase III subunit delta''''	87.3511156171
UniRef50_UPI000255C66E: DNA polymerase III subunit delta''''|unclassified	87.3511156171
UniRef50_A1A1K1: Crossover junction endodeoxyribonuclease RuvC	87.3110990331
UniRef50_A1A1K1: Crossover junction endodeoxyribonuclease RuvC|unclassified	87.3110990331
UniRef50_Q7V7T9: Holliday junction ATP-dependent DNA helicase RuvA	87.2858840423
UniRef50_Q7V7T9: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	87.2858840423
UniRef50_P9WNU0: DNA polymerase III subunit beta	87.1283900359
UniRef50_P9WNU0: DNA polymerase III subunit beta|unclassified	87.1283900359
UniRef50_A0A011R450	87.0565586007
UniRef50_A0A011R450|unclassified	87.0565586007
UniRef50_UPI0003B37141: DNA helicase	86.8370918173
UniRef50_UPI0003B37141: DNA helicase|unclassified	86.8370918173
UniRef50_V4ZNJ1: Titin	86.7943915260
UniRef50_V4ZNJ1: Titin|unclassified	86.7943915260
UniRef50_UPI0003B5D661: DNA polymerase III subunit alpha	86.7614213971
UniRef50_UPI0003B5D661: DNA polymerase III subunit alpha|unclassified	86.7614213971
UniRef50_Q2RZ65: Crossover junction endodeoxyribonuclease RuvC	86.7158471948
UniRef50_Q2RZ65: Crossover junction endodeoxyribonuclease RuvC|unclassified	86.7158471948
UniRef50_UPI00018164F9: putative primosomal protein n'''' (replication factor y) (rtial sequence n terminus)	86.4233997859
UniRef50_UPI00018164F9: putative primosomal protein n'''' (replication factor y) (rtial sequence n terminus)|unclassified	86.4233997859
UniRef50_UPI00036F767C: hypothetical protein	86.3335997537
UniRef50_UPI00036F767C: hypothetical protein|unclassified	86.3335997537
UniRef50_V5U023: Primosomal protein 1	86.1263988228
UniRef50_V5U023: Primosomal protein 1|unclassified	86.1263988228
UniRef50_UPI00041E49D3: DNA primase	85.9578391488
UniRef50_UPI00041E49D3: DNA primase|unclassified	85.9578391488
UniRef50_UPI000464B866: DNA polymerase III subunit delta''	85.2734350591
UniRef50_UPI000464B866: DNA polymerase III subunit delta''|unclassified	85.2734350591
UniRef50_Q5WWU8	85.2144838800
