# Gene Family	SampleAmmonia_assimilation_Abundance-RPKs
UniRef50_R7C3Q6: Glutamate synthase (NADH) small subunit	267.5051804256
UniRef50_R7C3Q6: Glutamate synthase (NADH) small subunit|unclassified	267.5051804256
UniRef50_Q3KHB4: Bifunctional uridylyltransferase/uridylyl-removing enzyme	266.4694669334
UniRef50_Q3KHB4: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	266.4694669334
UniRef50_UPI00037FF0A4: hypothetical protein	266.0907861346
UniRef50_UPI00037FF0A4: hypothetical protein|unclassified	266.0907861346
UniRef50_K1SAU9: Glutamate synthase (NADPH) GltB1 subunit (Fragment)	264.0415695561
UniRef50_K1SAU9: Glutamate synthase (NADPH) GltB1 subunit (Fragment)|unclassified	264.0415695561
UniRef50_X0ZFX6: Marine sediment metagenome DNA, contig: S01H1_S42174 (Fragment)	261.5042406214
UniRef50_X0ZFX6: Marine sediment metagenome DNA, contig: S01H1_S42174 (Fragment)|unclassified	261.5042406214
UniRef50_UPI0004712067: hypothetical protein	260.7854798833
UniRef50_UPI0004712067: hypothetical protein|unclassified	260.7854798833
UniRef50_UPI0003B6C545: PII uridylyl-transferase, partial	260.5256869649
UniRef50_UPI0003B6C545: PII uridylyl-transferase, partial|unclassified	260.5256869649
UniRef50_UPI000381B803: hypothetical protein	260.0734706201
UniRef50_UPI000381B803: hypothetical protein|unclassified	260.0734706201
UniRef50_UPI00045E7AD4: 2-polyprenylphenol hydroxylase	259.8279222353
UniRef50_UPI00045E7AD4: 2-polyprenylphenol hydroxylase|unclassified	259.8279222353
UniRef50_X7NLX9	258.5739033761
UniRef50_X7NLX9|unclassified	258.5739033761
UniRef50_R5KHK1	252.7821456698
UniRef50_R5KHK1|unclassified	252.7821456698
UniRef50_UPI00039BBF2C: hypothetical protein	250.0119828748
UniRef50_UPI00039BBF2C: hypothetical protein|unclassified	250.0119828748
UniRef50_H1XLP3	248.7020590794
UniRef50_H1XLP3|unclassified	248.7020590794
UniRef50_W1YRL4: FAD-dependent pyridine nucleotide-disulfide oxidoreductase (Fragment)	247.3169680294
UniRef50_W1YRL4: FAD-dependent pyridine nucleotide-disulfide oxidoreductase (Fragment)|unclassified	247.3169680294
UniRef50_Q08258: Ferredoxin-dependent glutamate synthase (Fragment)	245.1919308537
UniRef50_Q08258: Ferredoxin-dependent glutamate synthase (Fragment)|unclassified	245.1919308537
UniRef50_U6HSW1: Glutamate synthase	241.6387916009
UniRef50_U6HSW1: Glutamate synthase|unclassified	241.6387916009
UniRef50_Q7WA62: Bifunctional uridylyltransferase/uridylyl-removing enzyme	241.4432737793
UniRef50_Q7WA62: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	241.4432737793
UniRef50_Q9CNQ2: Glutamate-ammonia-ligase adenylyltransferase	240.5144959707
UniRef50_Q9CNQ2: Glutamate-ammonia-ligase adenylyltransferase|unclassified	240.5144959707
UniRef50_Q3JQK1	240.1689078436
UniRef50_Q3JQK1|unclassified	240.1689078436
UniRef50_UPI0002897EC0: ammonium transporter	238.4833447934
UniRef50_UPI0002897EC0: ammonium transporter|unclassified	238.4833447934
UniRef50_R8DPH1	238.3679545070
UniRef50_R8DPH1|unclassified	238.3679545070
UniRef50_D0PN60: Predicted protein	236.8705915618
UniRef50_D0PN60: Predicted protein|unclassified	236.8705915618
UniRef50_G6EBS3	235.1334150345
UniRef50_G6EBS3|unclassified	235.1334150345
UniRef50_Q81ZW1: Glutamate-ammonia-ligase adenylyltransferase	233.5179381515
UniRef50_Q81ZW1: Glutamate-ammonia-ligase adenylyltransferase|unclassified	233.5179381515
UniRef50_Q6FEI9: Glutamate-ammonia-ligase adenylyltransferase	233.4346416997
UniRef50_Q6FEI9: Glutamate-ammonia-ligase adenylyltransferase|unclassified	233.4346416997
UniRef50_UPI00036AC7B4: hypothetical protein	233.3826168950
UniRef50_UPI00036AC7B4: hypothetical protein|unclassified	233.3826168950
UniRef50_B1FPA2	233.0259926263
UniRef50_B1FPA2|unclassified	233.0259926263
UniRef50_UPI0003064869: hypothetical protein	231.9410129812
UniRef50_UPI0003064869: hypothetical protein|unclassified	231.9410129812
UniRef50_UPI0002651756: PREDICTED: putative glutamate synthase [NADPH]-like	230.4661918947
UniRef50_UPI0002651756: PREDICTED: putative glutamate synthase [NADPH]-like|unclassified	230.4661918947
UniRef50_Q6FAM5: Bifunctional uridylyltransferase/uridylyl-removing enzyme	230.1607018301
UniRef50_Q6FAM5: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	230.1607018301
UniRef50_UPI0003700B78: hypothetical protein	225.6399501660
UniRef50_UPI0003700B78: hypothetical protein|unclassified	225.6399501660
UniRef50_UPI0003761AFD: hypothetical protein, partial	225.2704147894
UniRef50_UPI0003761AFD: hypothetical protein, partial|unclassified	225.2704147894
UniRef50_UPI000378D1C1: hypothetical protein	220.8251849176
UniRef50_UPI000378D1C1: hypothetical protein|unclassified	220.8251849176
UniRef50_D8R2R5	219.6096203672
UniRef50_D8R2R5|unclassified	219.6096203672
UniRef50_X3V7Z9	218.8709362799
UniRef50_X3V7Z9|unclassified	218.8709362799
UniRef50_R6MYW6	218.6660858624
UniRef50_R6MYW6|unclassified	218.6660858624
UniRef50_UPI00037C7A0E: hypothetical protein, partial	217.9424142726
UniRef50_UPI00037C7A0E: hypothetical protein, partial|unclassified	217.9424142726
UniRef50_X1THZ3: Marine sediment metagenome DNA, contig: S12H4_L00239 (Fragment)	211.0339171697
UniRef50_X1THZ3: Marine sediment metagenome DNA, contig: S12H4_L00239 (Fragment)|unclassified	211.0339171697
UniRef50_Q47147: Putative glutamine amidotransferase YafJ	210.3197919166
UniRef50_Q47147: Putative glutamine amidotransferase YafJ|unclassified	210.3197919166
UniRef50_Q5GU84: PilL protein	209.6985636513
UniRef50_Q5GU84: PilL protein|unclassified	209.6985636513
UniRef50_X1KMN7: Marine sediment metagenome DNA, contig: S06H3_C03534	209.5955729960
UniRef50_X1KMN7: Marine sediment metagenome DNA, contig: S06H3_C03534|unclassified	209.5955729960
UniRef50_A1SRE0: Glutamate-ammonia-ligase adenylyltransferase	207.8171831375
UniRef50_A1SRE0: Glutamate-ammonia-ligase adenylyltransferase|unclassified	207.8171831375
UniRef50_UPI00047B51A4: hypothetical protein	207.2008033834
UniRef50_UPI00047B51A4: hypothetical protein|unclassified	207.2008033834
UniRef50_UPI00035F2F1B: hypothetical protein	206.9318944998
UniRef50_UPI00035F2F1B: hypothetical protein|unclassified	206.9318944998
UniRef50_W4YKE7	206.2770871817
UniRef50_W4YKE7|unclassified	206.2770871817
UniRef50_UPI0003B6E261: glutamate synthase	205.8228281611
UniRef50_UPI0003B6E261: glutamate synthase|unclassified	205.8228281611
UniRef50_UPI00037EC181: hypothetical protein	205.4006739149
UniRef50_UPI00037EC181: hypothetical protein|unclassified	205.4006739149
UniRef50_Q8UGQ4: Glutamate-ammonia-ligase adenylyltransferase	202.6799842961
UniRef50_Q8UGQ4: Glutamate-ammonia-ligase adenylyltransferase|unclassified	202.6799842961
UniRef50_UPI000255C009: ammonium transporter, partial	202.6272017969
UniRef50_UPI000255C009: ammonium transporter, partial|unclassified	202.6272017969
UniRef50_Q8G654: Glutamate-ammonia-ligase adenylyltransferase	201.4006109949
UniRef50_Q8G654: Glutamate-ammonia-ligase adenylyltransferase|unclassified	201.4006109949
UniRef50_UPI00016A2CA7: sigma-54 dependent DNA-binding transcriptional regulator	199.5893066730
UniRef50_UPI00016A2CA7: sigma-54 dependent DNA-binding transcriptional regulator|unclassified	199.5893066730
UniRef50_UPI0003B5FD64: PII uridylyl-transferase, partial	199.3967722987
UniRef50_UPI0003B5FD64: PII uridylyl-transferase, partial|unclassified	199.3967722987
UniRef50_Q3IIZ7: Bifunctional uridylyltransferase/uridylyl-removing enzyme	195.8760948341
UniRef50_Q3IIZ7: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	195.8760948341
UniRef50_Q3JES8: Glutamate-ammonia-ligase adenylyltransferase	195.8368741528
UniRef50_Q3JES8: Glutamate-ammonia-ligase adenylyltransferase|unclassified	195.8368741528
UniRef50_UPI0000F2F9F5: histidine kinase	195.1269934484
UniRef50_UPI0000F2F9F5: histidine kinase|unclassified	195.1269934484
UniRef50_Q65SZ8: Bifunctional uridylyltransferase/uridylyl-removing enzyme	193.1653213430
UniRef50_Q65SZ8: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	193.1653213430
UniRef50_E7C7W2	189.9941009400
UniRef50_E7C7W2|unclassified	189.9941009400
UniRef50_B8GL43: Glutamate-ammonia-ligase adenylyltransferase	189.4559324813
UniRef50_B8GL43: Glutamate-ammonia-ligase adenylyltransferase|unclassified	189.4559324813
UniRef50_X8FCS5: HD domain protein	189.3748657945
UniRef50_X8FCS5: HD domain protein|unclassified	189.3748657945
UniRef50_H1XLP2	188.2193636619
UniRef50_H1XLP2|unclassified	188.2193636619
UniRef50_Q92R86: Glutamate-ammonia-ligase adenylyltransferase	187.3221118018
UniRef50_Q92R86: Glutamate-ammonia-ligase adenylyltransferase|unclassified	187.3221118018
UniRef50_UPI00036E7619: hypothetical protein	186.6750644643
UniRef50_UPI00036E7619: hypothetical protein|unclassified	186.6750644643
UniRef50_Q2SN48: Glutamate-ammonia-ligase adenylyltransferase	186.4113689014
UniRef50_Q2SN48: Glutamate-ammonia-ligase adenylyltransferase|unclassified	186.4113689014
UniRef50_Q3JCX7: Bifunctional uridylyltransferase/uridylyl-removing enzyme	185.2545048699
UniRef50_Q3JCX7: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	185.2545048699
UniRef50_X6SHD3	183.6265596659
UniRef50_X6SHD3|unclassified	183.6265596659
UniRef50_Q5QXT0: Bifunctional uridylyltransferase/uridylyl-removing enzyme	182.9848205138
UniRef50_Q5QXT0: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	182.9848205138
UniRef50_UPI0002D99E5C: hypothetical protein	182.2935959733
UniRef50_UPI0002D99E5C: hypothetical protein|unclassified	182.2935959733
UniRef50_UPI0003469D05: glutamine-synthetase adenylyltransferase	180.4576909616
UniRef50_UPI0003469D05: glutamine-synthetase adenylyltransferase|unclassified	180.4576909616
UniRef50_UPI0004733570: pyridine nucleotide-disulfide oxidoreductase	179.4011172248
UniRef50_UPI0004733570: pyridine nucleotide-disulfide oxidoreductase|unclassified	179.4011172248
UniRef50_UPI000475B006: hypothetical protein	178.2545190396
UniRef50_UPI000475B006: hypothetical protein|unclassified	178.2545190396
UniRef50_UPI0003724D90: hypothetical protein, partial	178.1405887153
UniRef50_UPI0003724D90: hypothetical protein, partial|unclassified	178.1405887153
UniRef50_H0TRF6: PilL (Modular protein)	176.5086051434
UniRef50_H0TRF6: PilL (Modular protein)|unclassified	176.5086051434
UniRef50_R7L798	175.6102851413
UniRef50_R7L798|unclassified	175.6102851413
UniRef50_X1DKL1: Marine sediment metagenome DNA, contig: S01H4_S21938 (Fragment)	174.8090304196
UniRef50_X1DKL1: Marine sediment metagenome DNA, contig: S01H4_S21938 (Fragment)|unclassified	174.8090304196
UniRef50_UPI0002F526B0: hypothetical protein	174.4134903825
UniRef50_UPI0002F526B0: hypothetical protein|unclassified	174.4134903825
UniRef50_X1BFA3: Marine sediment metagenome DNA, contig: S01H4_S01394 (Fragment)	172.8559200649
UniRef50_X1BFA3: Marine sediment metagenome DNA, contig: S01H4_S01394 (Fragment)|unclassified	172.8559200649
UniRef50_R5PAP0	172.3416010537
UniRef50_R5PAP0|unclassified	172.3416010537
UniRef50_UPI00034A00AB: hypothetical protein	171.7129407816
UniRef50_UPI00034A00AB: hypothetical protein|unclassified	171.7129407816
UniRef50_W1XWD8	171.3976772291
UniRef50_W1XWD8|unclassified	171.3976772291
UniRef50_D1F1R0	171.0834214521
UniRef50_D1F1R0|unclassified	171.0834214521
UniRef50_W7BHC6	168.8330006521
UniRef50_W7BHC6|unclassified	168.8330006521
UniRef50_W7IRT5	167.4744709106
UniRef50_W7IRT5|unclassified	167.4744709106
UniRef50_L8DWF8: Ferredoxin-dependent glutamate synthase 1	166.8828658610
UniRef50_L8DWF8: Ferredoxin-dependent glutamate synthase 1|unclassified	166.8828658610
UniRef50_UPI00037344AD: hypothetical protein	165.8135268580
UniRef50_UPI00037344AD: hypothetical protein|unclassified	165.8135268580
UniRef50_F1VVA9	165.7535872751
UniRef50_F1VVA9|unclassified	165.7535872751
UniRef50_K1ZU83: Glutamate synthase [NADPH] small chain, (NADPH-GOGAT) (Fragment)	164.9680144949
UniRef50_K1ZU83: Glutamate synthase [NADPH] small chain, (NADPH-GOGAT) (Fragment)|unclassified	164.9680144949
UniRef50_Q9ZED7	164.7096191803
UniRef50_Q9ZED7|unclassified	164.7096191803
UniRef50_UPI0001E2FB69: dihydropyrimidine dehydrogenase subunit A	163.7653322622
UniRef50_UPI0001E2FB69: dihydropyrimidine dehydrogenase subunit A|unclassified	163.7653322622
UniRef50_Q5P7S1: Glutamate-ammonia-ligase adenylyltransferase	163.2077549569
UniRef50_Q5P7S1: Glutamate-ammonia-ligase adenylyltransferase|unclassified	163.2077549569
UniRef50_J9UR85: Glutamate synthase GltD	162.8848963982
UniRef50_J9UR85: Glutamate synthase GltD|unclassified	162.8848963982
UniRef50_A0A024M6R0	162.4850854185
UniRef50_A0A024M6R0|unclassified	162.4850854185
UniRef50_UPI0004737985: hypothetical protein	162.4176293936
UniRef50_UPI0004737985: hypothetical protein|unclassified	162.4176293936
UniRef50_UPI0004642D55: hypothetical protein	160.7944297047
UniRef50_UPI0004642D55: hypothetical protein|unclassified	160.7944297047
UniRef50_Q60BB2: Bifunctional uridylyltransferase/uridylyl-removing enzyme	160.5548635400
UniRef50_Q60BB2: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	160.5548635400
UniRef50_Q485H4: Bifunctional uridylyltransferase/uridylyl-removing enzyme	160.2701274892
UniRef50_Q485H4: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	160.2701274892
UniRef50_A0A011MWM0: Bifunctional uridylyltransferase/uridylyl-removing enzyme	160.0726107347
UniRef50_A0A011MWM0: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	160.0726107347
UniRef50_Q8XW19: Glutamate-ammonia-ligase adenylyltransferase	158.8450337601
UniRef50_Q8XW19: Glutamate-ammonia-ligase adenylyltransferase|unclassified	158.8450337601
UniRef50_UPI0003786CA7: hypothetical protein	158.5103185496
UniRef50_UPI0003786CA7: hypothetical protein|unclassified	158.5103185496
UniRef50_Q5QY18: Glutamate-ammonia-ligase adenylyltransferase	158.2819616175
UniRef50_Q5QY18: Glutamate-ammonia-ligase adenylyltransferase|unclassified	158.2819616175
UniRef50_X1TK89: Marine sediment metagenome DNA, contig: S12H4_S17354 (Fragment)	157.8166945357
UniRef50_X1TK89: Marine sediment metagenome DNA, contig: S12H4_S17354 (Fragment)|unclassified	157.8166945357
UniRef50_UPI00036A570F: hypothetical protein	156.9550535600
UniRef50_UPI00036A570F: hypothetical protein|unclassified	156.9550535600
UniRef50_Q89QJ5: Glutamate-ammonia-ligase adenylyltransferase	156.7179062822
UniRef50_Q89QJ5: Glutamate-ammonia-ligase adenylyltransferase|unclassified	156.7179062822
UniRef50_Q2N784: Bifunctional uridylyltransferase/uridylyl-removing enzyme	154.4110219533
UniRef50_Q2N784: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	154.4110219533
UniRef50_R6I6X5	154.2892942662
UniRef50_R6I6X5|unclassified	154.2892942662
UniRef50_UPI000377A87E: hypothetical protein, partial	153.6810315709
UniRef50_UPI000377A87E: hypothetical protein, partial|unclassified	153.6810315709
UniRef50_T1CDK2: Glutamate synthase (Ferredoxin) (Fragment)	153.6330910164
UniRef50_T1CDK2: Glutamate synthase (Ferredoxin) (Fragment)|unclassified	153.6330910164
UniRef50_X0TZ47: Marine sediment metagenome DNA, contig: S01H1_L11276 (Fragment)	149.6893801929
UniRef50_X0TZ47: Marine sediment metagenome DNA, contig: S01H1_L11276 (Fragment)|unclassified	149.6893801929
UniRef50_W1W5L3: Oxidoreductase, pyridine nucleotide-disulfide family (Fragment)	149.4792392044
UniRef50_W1W5L3: Oxidoreductase, pyridine nucleotide-disulfide family (Fragment)|unclassified	149.4792392044
UniRef50_UPI00036F97FC: hypothetical protein	149.1147907077
UniRef50_UPI00036F97FC: hypothetical protein|unclassified	149.1147907077
UniRef50_A0A011NKQ6	147.7196437173
UniRef50_A0A011NKQ6|unclassified	147.7196437173
UniRef50_UPI00046F03A6: histidine kinase	146.5181626758
UniRef50_UPI00046F03A6: histidine kinase|unclassified	146.5181626758
UniRef50_A3TLL1	146.0875196401
UniRef50_A3TLL1|unclassified	146.0875196401
UniRef50_UPI000174583E: nitrogen regulation protein NR(I)	145.7623947366
UniRef50_UPI000174583E: nitrogen regulation protein NR(I)|unclassified	145.7623947366
UniRef50_A1K7V2	145.5192569956
UniRef50_A1K7V2|unclassified	145.5192569956
UniRef50_W7X4J4	145.4071738350
UniRef50_W7X4J4|unclassified	145.4071738350
UniRef50_UPI0001B41616: hypothetical protein	144.6517557029
UniRef50_UPI0001B41616: hypothetical protein|unclassified	144.6517557029
UniRef50_UPI0000E0E665: nitrogen regulation protein NR(II)	143.6958001093
UniRef50_UPI0000E0E665: nitrogen regulation protein NR(II)|unclassified	143.6958001093
UniRef50_UPI0001CC0B33: PII uridylyl-transferase, partial	143.2240462617
UniRef50_UPI0001CC0B33: PII uridylyl-transferase, partial|unclassified	143.2240462617
UniRef50_UPI00047DC1D7: ammonium transporter	141.0868186535
UniRef50_UPI00047DC1D7: ammonium transporter|unclassified	141.0868186535
UniRef50_UPI0002555F8C: bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase	140.4768262956
UniRef50_UPI0002555F8C: bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase|unclassified	140.4768262956
UniRef50_UPI000464440F: effector protein	140.1010876389
UniRef50_UPI000464440F: effector protein|unclassified	140.1010876389
UniRef50_M4V6I3	140.0707330853
UniRef50_M4V6I3|unclassified	140.0707330853
UniRef50_O69873: Bifunctional uridylyltransferase/uridylyl-removing enzyme	140.0268709386
UniRef50_O69873: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	140.0268709386
UniRef50_UPI00037E35A9: hypothetical protein	139.6459160654
UniRef50_UPI00037E35A9: hypothetical protein|unclassified	139.6459160654
UniRef50_B5YBJ3	139.5550355532
UniRef50_B5YBJ3|unclassified	139.5550355532
UniRef50_A0A011Q6H3	139.4163313854
UniRef50_A0A011Q6H3|unclassified	139.4163313854
UniRef50_A0A059CJK8	138.2191896685
UniRef50_A0A059CJK8|unclassified	138.2191896685
UniRef50_X0W6C2: Marine sediment metagenome DNA, contig: S01H1_S18045 (Fragment)	136.9389679854
UniRef50_X0W6C2: Marine sediment metagenome DNA, contig: S01H1_S18045 (Fragment)|unclassified	136.9389679854
UniRef50_UPI00034C16D2: formate dehydrogenase	136.5627783429
UniRef50_UPI00034C16D2: formate dehydrogenase|unclassified	136.5627783429
UniRef50_UPI000362C9DB: hypothetical protein, partial	135.8794596336
UniRef50_UPI000362C9DB: hypothetical protein, partial|unclassified	135.8794596336
UniRef50_T0CJ48	135.1644648573
UniRef50_T0CJ48|unclassified	135.1644648573
UniRef50_Q5X4J1: Bifunctional uridylyltransferase/uridylyl-removing enzyme	134.4602322081
UniRef50_Q5X4J1: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	134.4602322081
UniRef50_UPI0003611BBE: hypothetical protein, partial	133.6644496878
UniRef50_UPI0003611BBE: hypothetical protein, partial|unclassified	133.6644496878
UniRef50_Q2RNG2: Bifunctional uridylyltransferase/uridylyl-removing enzyme	133.3869372793
UniRef50_Q2RNG2: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	133.3869372793
UniRef50_UPI00029A1727: glutamate synthase (NADPH) large subunit, partial	132.4109864132
UniRef50_UPI00029A1727: glutamate synthase (NADPH) large subunit, partial|unclassified	132.4109864132
UniRef50_UPI0003471B1E: hypothetical protein	130.2814575112
UniRef50_UPI0003471B1E: hypothetical protein|unclassified	130.2814575112
UniRef50_UPI00046A0B7B: glutamate synthase	128.7896255037
UniRef50_UPI00046A0B7B: glutamate synthase|unclassified	128.7896255037
UniRef50_UPI000473C0E6: glutamate-ammonia-ligase adenylyltransferase, partial	127.3834650415
UniRef50_UPI000473C0E6: glutamate-ammonia-ligase adenylyltransferase, partial|unclassified	127.3834650415
UniRef50_Q2NY41: Glutamate-ammonia-ligase adenylyltransferase	127.3298985916
UniRef50_Q2NY41: Glutamate-ammonia-ligase adenylyltransferase|unclassified	127.3298985916
UniRef50_P45670: Nitrogen regulation protein NtrB	126.7726906326
UniRef50_P45670: Nitrogen regulation protein NtrB|unclassified	126.7726906326
UniRef50_R9QYY4: Small chain glutamate synthase (Fragment)	126.3598600036
UniRef50_R9QYY4: Small chain glutamate synthase (Fragment)|unclassified	126.3598600036
UniRef50_UPI00036FD865: hypothetical protein	126.1452745799
UniRef50_UPI00036FD865: hypothetical protein|unclassified	126.1452745799
UniRef50_T1AUT9: Glutamate synthase small subunit (Fragment)	125.8581471795
UniRef50_T1AUT9: Glutamate synthase small subunit (Fragment)|unclassified	125.8581471795
UniRef50_F2AE12	125.7699144567
UniRef50_F2AE12|unclassified	125.7699144567
UniRef50_X1K4A9: Marine sediment metagenome DNA, contig: S06H3_C01986 (Fragment)	125.5461310726
UniRef50_X1K4A9: Marine sediment metagenome DNA, contig: S06H3_C01986 (Fragment)|unclassified	125.5461310726
UniRef50_UPI0001B41083: sigma-54 dependent transcriptional regulator	125.5198787094
UniRef50_UPI0001B41083: sigma-54 dependent transcriptional regulator|unclassified	125.5198787094
UniRef50_UPI000475FB47: protein-PII uridylyltransferase	125.0659471426
UniRef50_UPI000475FB47: protein-PII uridylyltransferase|unclassified	125.0659471426
UniRef50_UPI0003753A01: glutamate-ammonia ligase adenylyltransferase	124.9587738215
UniRef50_UPI0003753A01: glutamate-ammonia ligase adenylyltransferase|unclassified	124.9587738215
UniRef50_UPI000375CE7A: hypothetical protein	124.9262968814
UniRef50_UPI000375CE7A: hypothetical protein|unclassified	124.9262968814
UniRef50_Q2Y5Q1: Bifunctional uridylyltransferase/uridylyl-removing enzyme	124.7512647380
UniRef50_Q2Y5Q1: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	124.7512647380
UniRef50_C9SQA6: Glutamate synthase small chain	124.3838457564
UniRef50_C9SQA6: Glutamate synthase small chain|unclassified	124.3838457564
UniRef50_UPI00034BC013: hypothetical protein	124.3604610229
UniRef50_UPI00034BC013: hypothetical protein|unclassified	124.3604610229
UniRef50_T1BD36: Glutamate synthase small subunit	123.7144356451
UniRef50_T1BD36: Glutamate synthase small subunit|unclassified	123.7144356451
UniRef50_V4R3K8	123.6842372406
UniRef50_V4R3K8|unclassified	123.6842372406
UniRef50_P44098: Putative glutamine amidotransferase HI_1037	123.3093639097
UniRef50_P44098: Putative glutamine amidotransferase HI_1037|unclassified	123.3093639097
UniRef50_Q2P497: Bifunctional uridylyltransferase/uridylyl-removing enzyme	122.9778994459
UniRef50_Q2P497: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	122.9778994459
UniRef50_Q6NG61: Glutamate-ammonia-ligase adenylyltransferase	121.9908955876
UniRef50_Q6NG61: Glutamate-ammonia-ligase adenylyltransferase|unclassified	121.9908955876
UniRef50_UPI0003654A50: hypothetical protein, partial	120.2296427813
UniRef50_UPI0003654A50: hypothetical protein, partial|unclassified	120.2296427813
UniRef50_UPI0001816779: probable glutamate-ammonia-ligase adenylyltransferase (partial sequence c terminus) protein	120.1951769809
UniRef50_UPI0001816779: probable glutamate-ammonia-ligase adenylyltransferase (partial sequence c terminus) protein|unclassified	120.1951769809
UniRef50_UPI0003795F7D: hypothetical protein	119.9758997701
UniRef50_UPI0003795F7D: hypothetical protein|unclassified	119.9758997701
UniRef50_UPI00047A9D4F: Fis family transcriptional regulator, partial	117.3890275424
UniRef50_UPI00047A9D4F: Fis family transcriptional regulator, partial|unclassified	117.3890275424
UniRef50_UPI0003762133: hypothetical protein, partial	116.4934294565
UniRef50_UPI0003762133: hypothetical protein, partial|unclassified	116.4934294565
UniRef50_Q81ZZ7: Glutamate-ammonia-ligase adenylyltransferase	113.3850556215
UniRef50_Q81ZZ7: Glutamate-ammonia-ligase adenylyltransferase|unclassified	113.3850556215
UniRef50_UPI00037BC975: hypothetical protein	112.4072652024
UniRef50_UPI00037BC975: hypothetical protein|unclassified	112.4072652024
UniRef50_B8GWX0: Bifunctional uridylyltransferase/uridylyl-removing enzyme	111.5768911565
UniRef50_B8GWX0: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	111.5768911565
UniRef50_UPI0003B2F532: glutamine-synthetase adenylyltransferase	111.3733871376
UniRef50_UPI0003B2F532: glutamine-synthetase adenylyltransferase|unclassified	111.3733871376
UniRef50_UPI0002377691: (glutamate--ammonia-ligase) adenylyltransferase, partial	110.0323390862
UniRef50_UPI0002377691: (glutamate--ammonia-ligase) adenylyltransferase, partial|unclassified	110.0323390862
UniRef50_UPI0004724030: protein-PII uridylyltransferase	109.8469883430
UniRef50_UPI0004724030: protein-PII uridylyltransferase|unclassified	109.8469883430
UniRef50_X4FKH7	109.6494475671
UniRef50_X4FKH7|unclassified	109.6494475671
UniRef50_UPI00046FA264: hypothetical protein, partial	109.4963647366
UniRef50_UPI00046FA264: hypothetical protein, partial|unclassified	109.4963647366
UniRef50_UPI00036E0C31: hypothetical protein	108.9821209754
UniRef50_UPI00036E0C31: hypothetical protein|unclassified	108.9821209754
UniRef50_Q3JQ27	108.9386168490
UniRef50_Q3JQ27|unclassified	108.9386168490
UniRef50_UPI000376F2B5: hypothetical protein	108.6246399810
UniRef50_UPI000376F2B5: hypothetical protein|unclassified	108.6246399810
UniRef50_UPI000467771F: hypothetical protein	108.1975022576
UniRef50_UPI000467771F: hypothetical protein|unclassified	108.1975022576
UniRef50_X1RSY8: Marine sediment metagenome DNA, contig: S06H3_S19872 (Fragment)	107.5508054981
UniRef50_X1RSY8: Marine sediment metagenome DNA, contig: S06H3_S19872 (Fragment)|unclassified	107.5508054981
UniRef50_UPI00037D86B2: hypothetical protein	107.5223816005
UniRef50_UPI00037D86B2: hypothetical protein|unclassified	107.5223816005
UniRef50_K2DXQ3	107.3501833168
UniRef50_K2DXQ3|unclassified	107.3501833168
UniRef50_UPI0003637E36: hypothetical protein	107.2303214148
UniRef50_UPI0003637E36: hypothetical protein|unclassified	107.2303214148
UniRef50_X8ASH1	107.0836120190
UniRef50_X8ASH1|unclassified	107.0836120190
UniRef50_UPI0004640341: hypothetical protein, partial	106.8758882208
UniRef50_UPI0004640341: hypothetical protein, partial|unclassified	106.8758882208
UniRef50_O65053: Probable NADH-glutamate synthase (Fragment)	106.7181464043
UniRef50_O65053: Probable NADH-glutamate synthase (Fragment)|unclassified	106.7181464043
UniRef50_Q6A9Z4: Glutamate-ammonia-ligase adenylyltransferase	106.5702335193
UniRef50_Q6A9Z4: Glutamate-ammonia-ligase adenylyltransferase|unclassified	106.5702335193
UniRef50_UPI00046F8DDC: hypothetical protein	106.4944418234
UniRef50_UPI00046F8DDC: hypothetical protein|unclassified	106.4944418234
UniRef50_K1RPX8: Glutamate synthase subunit beta	105.1424352110
UniRef50_K1RPX8: Glutamate synthase subunit beta|unclassified	105.1424352110
UniRef50_UPI000255C1E1: ammonium transporter, partial	104.3827457017
UniRef50_UPI000255C1E1: ammonium transporter, partial|unclassified	104.3827457017
UniRef50_UPI0003A3D041: glutamine-synthetase adenylyltransferase	104.3561542885
UniRef50_UPI0003A3D041: glutamine-synthetase adenylyltransferase|unclassified	104.3561542885
