# Gene Family	SampleDNA_Repair_Base_Excision_Abundance-CPM
UniRef50_Q829C5: Putative 3-methyladenine DNA glycosylase|unclassified	612.68
UniRef50_B7GPV4: DNA ligase	611.733
UniRef50_B7GPV4: DNA ligase|unclassified	611.733
UniRef50_UPI000378F8EE: hypothetical protein	609.677
UniRef50_UPI000378F8EE: hypothetical protein|unclassified	609.677
UniRef50_UPI000472E858: hypothetical protein	608.695
UniRef50_UPI000472E858: hypothetical protein|unclassified	608.695
UniRef50_UPI0000E0E98F: exodeoxyribonuclease I	608.423
UniRef50_UPI0000E0E98F: exodeoxyribonuclease I|unclassified	608.423
UniRef50_Q5WGN4: Putative 3-methyladenine DNA glycosylase	604.852
UniRef50_Q5WGN4: Putative 3-methyladenine DNA glycosylase|unclassified	604.852
UniRef50_Q4E741	600.734
UniRef50_Q4E741|unclassified	600.734
UniRef50_G5HHD9	600.377
UniRef50_G5HHD9|unclassified	600.377
UniRef50_UPI00047E88E4: single-stranded DNA exonuclease	599.931
UniRef50_UPI00047E88E4: single-stranded DNA exonuclease|unclassified	599.931
UniRef50_UPI000368EC00: hypothetical protein	597.661
UniRef50_UPI000368EC00: hypothetical protein|unclassified	597.661
UniRef50_UPI00037464B1: MULTISPECIES: hypothetical protein	596.909
UniRef50_UPI00037464B1: MULTISPECIES: hypothetical protein|unclassified	596.909
UniRef50_Q9S208: Putative 3-methyladenine DNA glycosylase	595.983
UniRef50_Q9S208: Putative 3-methyladenine DNA glycosylase|unclassified	595.983
UniRef50_A0A011S3P9	595.562
UniRef50_A0A011S3P9|unclassified	595.562
UniRef50_UPI0003B6298D: DNA polymerase I	592.321
UniRef50_UPI0003B6298D: DNA polymerase I|unclassified	592.321
UniRef50_Q214R5: Putative 3-methyladenine DNA glycosylase	592.078
UniRef50_Q214R5: Putative 3-methyladenine DNA glycosylase|unclassified	592.078
UniRef50_Q2N7Y8: Formamidopyrimidine-DNA glycosylase	589.165
UniRef50_Q2N7Y8: Formamidopyrimidine-DNA glycosylase|unclassified	589.165
UniRef50_UPI0002490945: single-stranded-DNA-specific exonuclease RecJ	586.453
UniRef50_UPI0002490945: single-stranded-DNA-specific exonuclease RecJ|unclassified	586.453
UniRef50_UPI00035F6B88: hypothetical protein	585.573
UniRef50_UPI00035F6B88: hypothetical protein|unclassified	585.573
UniRef50_A6LPI2: Putative 3-methyladenine DNA glycosylase	584.891
UniRef50_A6LPI2: Putative 3-methyladenine DNA glycosylase|unclassified	584.891
UniRef50_Q2SRE1: DNA ligase	584.856
UniRef50_Q2SRE1: DNA ligase|unclassified	584.856
UniRef50_Z5XI99	584.124
UniRef50_Z5XI99|unclassified	584.124
UniRef50_UPI0003FB70C6: hypothetical protein	584.096
UniRef50_UPI0003FB70C6: hypothetical protein|unclassified	584.096
UniRef50_UPI0003901BFD: 5''''-3'''' exonuclease	583.427
UniRef50_UPI0003901BFD: 5''''-3'''' exonuclease|unclassified	583.427
UniRef50_UPI0003C13169: PREDICTED: DNA-3-methyladenine glycosylase 1-like	583.425
UniRef50_UPI0003C13169: PREDICTED: DNA-3-methyladenine glycosylase 1-like|unclassified	583.425
UniRef50_Q9Z847: Putative 3-methyladenine DNA glycosylase	583.134
UniRef50_Q9Z847: Putative 3-methyladenine DNA glycosylase|unclassified	583.134
UniRef50_A3CTY6: Putative 3-methyladenine DNA glycosylase	580.935
UniRef50_A3CTY6: Putative 3-methyladenine DNA glycosylase|unclassified	580.935
UniRef50_UPI0003C1ADBB	580.699
UniRef50_UPI0003C1ADBB|unclassified	580.699
UniRef50_A0A031GLP8	580.278
UniRef50_A0A031GLP8|unclassified	580.278
UniRef50_UPI000225AEF4: formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase	576.732
UniRef50_UPI000225AEF4: formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase|unclassified	576.732
UniRef50_UPI00038224DC: hypothetical protein	576.213
UniRef50_UPI00038224DC: hypothetical protein|unclassified	576.213
UniRef50_UPI000376712E: hypothetical protein	575.292
UniRef50_UPI000376712E: hypothetical protein|unclassified	575.292
UniRef50_Q9ZD40	573.856
UniRef50_Q9ZD40|unclassified	573.856
UniRef50_Q72BM7: DNA ligase	570.597
UniRef50_Q72BM7: DNA ligase|unclassified	570.597
UniRef50_UPI00047D31A2: ATP-dependent DNA ligase	570.085
UniRef50_UPI00047D31A2: ATP-dependent DNA ligase|unclassified	570.085
UniRef50_UPI0001F8584C: single-strand DNA-specific exonuclease-like protein	570.008
UniRef50_UPI0001F8584C: single-strand DNA-specific exonuclease-like protein|unclassified	570.008
UniRef50_UPI0004250A64: formamidopyrimidine-DNA glycosylase	569.017
UniRef50_UPI0004250A64: formamidopyrimidine-DNA glycosylase|unclassified	569.017
UniRef50_A7NQM8: Formamidopyrimidine-DNA glycosylase	568.44
UniRef50_A7NQM8: Formamidopyrimidine-DNA glycosylase|unclassified	568.44
UniRef50_UPI00034DC1F6: hypothetical protein	568.129
UniRef50_UPI00034DC1F6: hypothetical protein|unclassified	568.129
UniRef50_J2DIE9	565.659
UniRef50_J2DIE9|unclassified	565.659
UniRef50_UPI000366C6CF: hypothetical protein	565.455
UniRef50_UPI000366C6CF: hypothetical protein|unclassified	565.455
UniRef50_UPI0003B3F13D: single-stranded DNA exonuclease RecJ	563.96
UniRef50_UPI0003B3F13D: single-stranded DNA exonuclease RecJ|unclassified	563.96
UniRef50_K8DB76	562.986
UniRef50_K8DB76|unclassified	562.986
UniRef50_UPI0003B79BBC: NAD-dependent DNA ligase LigA	562.961
UniRef50_UPI0003B79BBC: NAD-dependent DNA ligase LigA|unclassified	562.961
UniRef50_UPI00029AD1B5: DNA ligase, NAD-dependent	558.79
UniRef50_UPI00029AD1B5: DNA ligase, NAD-dependent|unclassified	558.79
UniRef50_Q7X3I7	558.464
UniRef50_Q7X3I7|unclassified	558.464
UniRef50_UPI0003620879: hypothetical protein	557.482
UniRef50_UPI0003620879: hypothetical protein|unclassified	557.482
UniRef50_UPI000381B99E: ATP-dependent DNA ligase	553.877
UniRef50_UPI000381B99E: ATP-dependent DNA ligase|unclassified	553.877
UniRef50_Q8K9D0: 5'-3' exonuclease	551.808
UniRef50_Q8K9D0: 5'-3' exonuclease|unclassified	551.808
UniRef50_A4Y4Y4: Flap endonuclease Xni	550.204
UniRef50_A4Y4Y4: Flap endonuclease Xni|unclassified	550.204
UniRef50_UPI00037F0210: hypothetical protein	547.243
UniRef50_UPI00037F0210: hypothetical protein|unclassified	547.243
UniRef50_UPI0001C39608: DNA ligase, NAD-dependent, partial	545.955
UniRef50_UPI0001C39608: DNA ligase, NAD-dependent, partial|unclassified	545.955
UniRef50_UPI00037C3519: hypothetical protein	541.553
UniRef50_UPI00037C3519: hypothetical protein|unclassified	541.553
UniRef50_O66880: DNA ligase	541.113
UniRef50_O66880: DNA ligase|unclassified	541.113
UniRef50_E2PHR0	535.11
UniRef50_E2PHR0|unclassified	535.11
UniRef50_UPI00037B944A: hypothetical protein	533.854
UniRef50_UPI00037B944A: hypothetical protein|unclassified	533.854
UniRef50_C1F7S7: DNA ligase	533.535
UniRef50_C1F7S7: DNA ligase|unclassified	533.535
UniRef50_Q8ETG4: Putative 3-methyladenine DNA glycosylase	531.694
UniRef50_Q8ETG4: Putative 3-methyladenine DNA glycosylase|unclassified	531.694
UniRef50_UPI00047254ED: hypothetical protein, partial	531.318
UniRef50_UPI00047254ED: hypothetical protein, partial|unclassified	531.318
UniRef50_Q8PJT1: Putative 3-methyladenine DNA glycosylase	531.306
UniRef50_Q8PJT1: Putative 3-methyladenine DNA glycosylase|unclassified	531.306
UniRef50_A0LI67: DNA ligase	526.458
UniRef50_A0LI67: DNA ligase|unclassified	526.458
UniRef50_B3EM49: DNA ligase	519.584
UniRef50_B3EM49: DNA ligase|unclassified	519.584
UniRef50_UPI00047E2D6D: hypothetical protein	519.174
UniRef50_UPI00047E2D6D: hypothetical protein|unclassified	519.174
UniRef50_UPI000466B149: DNA repair protein	517.535
UniRef50_UPI000466B149: DNA repair protein|unclassified	517.535
UniRef50_UPI0003B64FE0: recombinase RecJ	516.837
UniRef50_UPI0003B64FE0: recombinase RecJ|unclassified	516.837
UniRef50_UPI00047CE178: NAD-dependent DNA ligase LigA	509.174
UniRef50_UPI00047CE178: NAD-dependent DNA ligase LigA|unclassified	509.174
UniRef50_UPI0003C14597	508.892
UniRef50_UPI0003C14597|unclassified	508.892
UniRef50_Q89A43: Exodeoxyribonuclease I	504.791
UniRef50_Q89A43: Exodeoxyribonuclease I|unclassified	504.791
UniRef50_UPI00016B1B06: DNA ligase, ATP-dependent, partial	504.633
UniRef50_UPI00016B1B06: DNA ligase, ATP-dependent, partial|unclassified	504.633
UniRef50_UPI0003630C3D: hypothetical protein	504.6
UniRef50_UPI0003630C3D: hypothetical protein|unclassified	504.6
UniRef50_UPI000473C590: hypothetical protein, partial	504.364
UniRef50_UPI000473C590: hypothetical protein, partial|unclassified	504.364
UniRef50_X1ANK1: Marine sediment metagenome DNA, contig: S01H4_S02847 (Fragment)	501.327
UniRef50_X1ANK1: Marine sediment metagenome DNA, contig: S01H4_S02847 (Fragment)|unclassified	501.327
UniRef50_UPI00037BCF8E: hypothetical protein, partial	500.318
UniRef50_UPI00037BCF8E: hypothetical protein, partial|unclassified	500.318
UniRef50_B1W1Y7: Putative 3-methyladenine DNA glycosylase	499.093
UniRef50_B1W1Y7: Putative 3-methyladenine DNA glycosylase|unclassified	499.093
UniRef50_UPI0003812BD6: hypothetical protein	498.15
UniRef50_UPI0003812BD6: hypothetical protein|unclassified	498.15
UniRef50_UPI00035E6E6C: hypothetical protein	496.974
UniRef50_UPI00035E6E6C: hypothetical protein|unclassified	496.974
UniRef50_UPI0004258884: DNA helicase	496.275
UniRef50_UPI0004258884: DNA helicase|unclassified	496.275
UniRef50_UPI0002BB5F08: hypothetical protein	494.637
UniRef50_UPI0002BB5F08: hypothetical protein|unclassified	494.637
UniRef50_UPI00035ECC31: hypothetical protein	493.984
UniRef50_UPI00035ECC31: hypothetical protein|unclassified	493.984
UniRef50_UPI00046F02F1: hypothetical protein, partial	492.524
UniRef50_UPI00046F02F1: hypothetical protein, partial|unclassified	492.524
UniRef50_UPI00026C7A12: hypothetical DNA-binding protein	491.402
UniRef50_UPI00026C7A12: hypothetical DNA-binding protein|unclassified	491.402
UniRef50_UPI0004753D07: single-stranded DNA exonuclease RecJ	490.282
UniRef50_UPI0004753D07: single-stranded DNA exonuclease RecJ|unclassified	490.282
UniRef50_UPI00036FA395: hypothetical protein, partial	488.174
UniRef50_UPI00036FA395: hypothetical protein, partial|unclassified	488.174
UniRef50_UPI0004737233: hypothetical protein, partial	486.754
UniRef50_UPI0004737233: hypothetical protein, partial|unclassified	486.754
UniRef50_UPI00015B45A4	485.687
UniRef50_UPI00015B45A4|unclassified	485.687
UniRef50_UPI000371AE83: hypothetical protein	484.647
UniRef50_UPI000371AE83: hypothetical protein|unclassified	484.647
UniRef50_Q13NQ1: Putative 3-methyladenine DNA glycosylase	484.064
UniRef50_Q13NQ1: Putative 3-methyladenine DNA glycosylase|unclassified	484.064
UniRef50_Q5X6N6: Putative 3-methyladenine DNA glycosylase	482.104
UniRef50_Q5X6N6: Putative 3-methyladenine DNA glycosylase|unclassified	482.104
UniRef50_UPI00034C6036: hypothetical protein	479.6
UniRef50_UPI00034C6036: hypothetical protein|unclassified	479.6
UniRef50_P37878: DNA-3-methyladenine glycosylase	478.751
UniRef50_P37878: DNA-3-methyladenine glycosylase|unclassified	478.751
UniRef50_UPI0002BAA957: hypothetical protein, partial	478.648
UniRef50_UPI0002BAA957: hypothetical protein, partial|unclassified	478.648
UniRef50_B5YIF8: DNA ligase	476.805
UniRef50_B5YIF8: DNA ligase|unclassified	476.805
UniRef50_UPI000464393B: recombinase RecJ	474.375
UniRef50_UPI000464393B: recombinase RecJ|unclassified	474.375
UniRef50_Q6NGH4: Formamidopyrimidine-DNA glycosylase	472.635
UniRef50_Q6NGH4: Formamidopyrimidine-DNA glycosylase|unclassified	472.635
UniRef50_UPI000362CEE2: hypothetical protein	471.16
UniRef50_UPI000362CEE2: hypothetical protein|unclassified	471.16
UniRef50_UPI00047AD68F: hypothetical protein	470.625
UniRef50_UPI00047AD68F: hypothetical protein|unclassified	470.625
UniRef50_S6X0W1	470.513
UniRef50_S6X0W1|unclassified	470.513
UniRef50_UPI00038F8170: DNA ligase	469.978
UniRef50_UPI00038F8170: DNA ligase|unclassified	469.978
UniRef50_Q2ESS7: RecJ (Fragment)	469.429
UniRef50_Q2ESS7: RecJ (Fragment)|unclassified	469.429
UniRef50_UPI00030E0145: hypothetical protein	468.223
UniRef50_UPI00030E0145: hypothetical protein|unclassified	468.223
UniRef50_UPI00037E30EF: hypothetical protein	465.972
UniRef50_UPI00037E30EF: hypothetical protein|unclassified	465.972
UniRef50_N0B3Q2: DNA polymerase LigD, polymerase domain-containing protein	465.473
UniRef50_N0B3Q2: DNA polymerase LigD, polymerase domain-containing protein|unclassified	465.473
UniRef50_UPI000474B6E2: ATP-dependent DNA ligase	464.441
UniRef50_UPI000474B6E2: ATP-dependent DNA ligase|unclassified	464.441
UniRef50_A0A011PB54: Endonuclease III	463.673
UniRef50_A0A011PB54: Endonuclease III|unclassified	463.673
UniRef50_UPI00035D7F72: hypothetical protein, partial	463.436
UniRef50_UPI00035D7F72: hypothetical protein, partial|unclassified	463.436
UniRef50_A4J4X3: Formamidopyrimidine-DNA glycosylase	460.303
UniRef50_A4J4X3: Formamidopyrimidine-DNA glycosylase|unclassified	460.303
UniRef50_Q68X22: Putative 3-methyladenine DNA glycosylase	460.19
UniRef50_Q68X22: Putative 3-methyladenine DNA glycosylase|unclassified	460.19
UniRef50_UPI00036ED30A: hypothetical protein	459.832
UniRef50_UPI00036ED30A: hypothetical protein|unclassified	459.832
UniRef50_A5FRL4: DNA ligase	458.389
UniRef50_A5FRL4: DNA ligase|unclassified	458.389
UniRef50_UPI000368AD99: hypothetical protein	457.405
UniRef50_UPI000368AD99: hypothetical protein|unclassified	457.405
UniRef50_UPI000372E285: hypothetical protein	456.558
UniRef50_UPI000372E285: hypothetical protein|unclassified	456.558
UniRef50_UPI00047E0E0B: endonuclease	455.867
UniRef50_UPI00047E0E0B: endonuclease|unclassified	455.867
UniRef50_X7ZAV1	455.195
UniRef50_X7ZAV1|unclassified	455.195
UniRef50_UPI0003B69696: NAD-dependent DNA ligase LigA	454.144
UniRef50_UPI0003B69696: NAD-dependent DNA ligase LigA|unclassified	454.144
UniRef50_R6H988	454.01
UniRef50_R6H988|unclassified	454.01
UniRef50_UPI0003A248D0: recombination protein RecJ	452.096
UniRef50_UPI0003A248D0: recombination protein RecJ|unclassified	452.096
UniRef50_K8C1B4	450.006
UniRef50_K8C1B4|unclassified	450.006
UniRef50_UPI000369CE93: hypothetical protein, partial	449.014
UniRef50_UPI000369CE93: hypothetical protein, partial|unclassified	449.014
UniRef50_UPI00036EE733: hypothetical protein	448.992
UniRef50_UPI00036EE733: hypothetical protein|unclassified	448.992
UniRef50_UPI0003482622: DNA glycosylase	448.41
UniRef50_UPI0003482622: DNA glycosylase|unclassified	448.41
UniRef50_A9NHW0: DNA ligase	445.071
UniRef50_A9NHW0: DNA ligase|unclassified	445.071
UniRef50_Q0SI65: Putative 3-methyladenine DNA glycosylase	444.7
UniRef50_Q0SI65: Putative 3-methyladenine DNA glycosylase|unclassified	444.7
UniRef50_UPI00040198F4: recombinase RecJ	441.775
UniRef50_UPI00040198F4: recombinase RecJ|unclassified	441.775
UniRef50_UPI000181707B: probable dna ligase (polydeoxyribonucleotide synthase [nad+]) (partial sequencecentral part) protein	441.221
UniRef50_UPI000181707B: probable dna ligase (polydeoxyribonucleotide synthase [nad+]) (partial sequencecentral part) protein|unclassified	441.221
UniRef50_B4U8X0: DNA ligase	441.105
UniRef50_B4U8X0: DNA ligase|unclassified	441.105
UniRef50_A7H8A2: DNA ligase	437.319
UniRef50_A7H8A2: DNA ligase|unclassified	437.319
UniRef50_UPI00037B9576: hypothetical protein	436.301
UniRef50_UPI00037B9576: hypothetical protein|unclassified	436.301
UniRef50_X1B8K4: Marine sediment metagenome DNA, contig: S01H4_C05622 (Fragment)	434.486
UniRef50_X1B8K4: Marine sediment metagenome DNA, contig: S01H4_C05622 (Fragment)|unclassified	434.486
UniRef50_Q4LBY8: Putative 3-methyladenine DNA glycosylase	433.118
UniRef50_Q4LBY8: Putative 3-methyladenine DNA glycosylase|unclassified	433.118
UniRef50_UPI0003A8338C: hypothetical protein	432.493
UniRef50_UPI0003A8338C: hypothetical protein|unclassified	432.493
UniRef50_UPI0004661843: hypothetical protein	432.009
UniRef50_UPI0004661843: hypothetical protein|unclassified	432.009
UniRef50_A5CQU5: DNA ligase	431.616
UniRef50_A5CQU5: DNA ligase|unclassified	431.616
UniRef50_UPI00036D4A98: hypothetical protein	430.232
UniRef50_UPI00036D4A98: hypothetical protein|unclassified	430.232
UniRef50_X1CWT3: Marine sediment metagenome DNA, contig: S01H4_S11351 (Fragment)	429.571
UniRef50_X1CWT3: Marine sediment metagenome DNA, contig: S01H4_S11351 (Fragment)|unclassified	429.571
UniRef50_UPI000478FDC2: formamidopyrimidine-DNA glycosylase	429.549
UniRef50_UPI000478FDC2: formamidopyrimidine-DNA glycosylase|unclassified	429.549
UniRef50_UPI000255627F: NAD-dependent DNA ligase LigA	428.141
UniRef50_UPI000255627F: NAD-dependent DNA ligase LigA|unclassified	428.141
UniRef50_P52027: DNA polymerase I	424.448
UniRef50_P52027: DNA polymerase I|unclassified	424.448
UniRef50_E1NRX1	424.272
UniRef50_E1NRX1|unclassified	424.272
UniRef50_UPI00047AC2FC: DNA-3-methyladenine glycosylase	423.55
UniRef50_UPI00047AC2FC: DNA-3-methyladenine glycosylase|unclassified	423.55
UniRef50_W6RIZ7	423.195
UniRef50_W6RIZ7|unclassified	423.195
UniRef50_UPI00021955C3: 3-methyladenine DNA glycosylase	422.552
UniRef50_UPI00021955C3: 3-methyladenine DNA glycosylase|unclassified	422.552
UniRef50_X0U9C0: Marine sediment metagenome DNA, contig: S01H1_S03795 (Fragment)	422.494
UniRef50_X0U9C0: Marine sediment metagenome DNA, contig: S01H1_S03795 (Fragment)|unclassified	422.494
UniRef50_W5X933: DNA ligase	420.027
UniRef50_W5X933: DNA ligase|unclassified	420.027
UniRef50_UPI00037B4B6C: hypothetical protein	417.754
UniRef50_UPI00037B4B6C: hypothetical protein|unclassified	417.754
UniRef50_R6FIY6	417.689
UniRef50_R6FIY6|unclassified	417.689
UniRef50_UPI000372A054: hypothetical protein	415.599
UniRef50_UPI000372A054: hypothetical protein|unclassified	415.599
UniRef50_P55825: Formamidopyrimidine-DNA glycosylase	415.543
UniRef50_P55825: Formamidopyrimidine-DNA glycosylase|unclassified	415.543
UniRef50_F9XXB7	415.541
UniRef50_F9XXB7|unclassified	415.541
UniRef50_UPI0003738572: hypothetical protein	414.341
UniRef50_UPI0003738572: hypothetical protein|unclassified	414.341
UniRef50_Q8KBD5: Putative 3-methyladenine DNA glycosylase	414.307
UniRef50_Q8KBD5: Putative 3-methyladenine DNA glycosylase|unclassified	414.307
UniRef50_UPI000473CDA1: ATP-dependent DNA ligase, partial	411.465
UniRef50_UPI000473CDA1: ATP-dependent DNA ligase, partial|unclassified	411.465
UniRef50_T0EBK0: DHH family protein	410.929
UniRef50_T0EBK0: DHH family protein|unclassified	410.929
UniRef50_UPI00047C3086: 5''-3'' exonuclease	410.874
UniRef50_UPI00047C3086: 5''-3'' exonuclease|unclassified	410.874
UniRef50_UPI000262CCCA: DNA ligase, ATP-dependent	410.531
UniRef50_UPI000262CCCA: DNA ligase, ATP-dependent|unclassified	410.531
UniRef50_UPI0003B3C1FE: NAD-dependent DNA ligase LigA	410.254
UniRef50_UPI0003B3C1FE: NAD-dependent DNA ligase LigA|unclassified	410.254
UniRef50_UPI000473474B: formamidopyrimidine-DNA glycosylase, partial	410.134
UniRef50_UPI000473474B: formamidopyrimidine-DNA glycosylase, partial|unclassified	410.134
UniRef50_UPI0004227BD1: hypothetical protein	408.785
UniRef50_UPI0004227BD1: hypothetical protein|unclassified	408.785
UniRef50_UPI00037CB268: hypothetical protein	408.549
UniRef50_UPI00037CB268: hypothetical protein|unclassified	408.549
UniRef50_O51383: Putative 3-methyladenine DNA glycosylase	408.229
UniRef50_O51383: Putative 3-methyladenine DNA glycosylase|unclassified	408.229
UniRef50_Q93IZ8: DNA ligase 2	408.208
UniRef50_Q93IZ8: DNA ligase 2|unclassified	408.208
UniRef50_UPI0002E80A9E: hypothetical protein	407.142
UniRef50_UPI0002E80A9E: hypothetical protein|unclassified	407.142
UniRef50_UPI0003753AC2: hypothetical protein	406.651
UniRef50_UPI0003753AC2: hypothetical protein|unclassified	406.651
UniRef50_UPI000375DA9C: hypothetical protein	406.321
UniRef50_UPI000375DA9C: hypothetical protein|unclassified	406.321
UniRef50_P9WNU2: 5'-3' exonuclease	404.181
UniRef50_P9WNU2: 5'-3' exonuclease|unclassified	404.181
UniRef50_K1XW56	402.579
UniRef50_K1XW56|unclassified	402.579
UniRef50_G2NSR8: DNA polymerase LigD, polymerase domain protein	400.224
UniRef50_G2NSR8: DNA polymerase LigD, polymerase domain protein|unclassified	400.224
UniRef50_UPI0003712033: hypothetical protein	399.452
UniRef50_UPI0003712033: hypothetical protein|unclassified	399.452
UniRef50_X0Y9H0: Marine sediment metagenome DNA, contig: S01H1_S34711 (Fragment)	398.177
UniRef50_X0Y9H0: Marine sediment metagenome DNA, contig: S01H1_S34711 (Fragment)|unclassified	398.177
UniRef50_UPI00041598D1: DNA repair protein	395.836
UniRef50_UPI00041598D1: DNA repair protein|unclassified	395.836
UniRef50_A4VRF3: DNA ligase B	394.889
UniRef50_A4VRF3: DNA ligase B|unclassified	394.889
UniRef50_A1QZY4: DNA ligase	394.366
UniRef50_A1QZY4: DNA ligase|unclassified	394.366
UniRef50_UPI0003B68CA8: endonuclease III	393.18
UniRef50_UPI0003B68CA8: endonuclease III|unclassified	393.18
UniRef50_UPI000287C1AC: hypothetical protein	392.576
UniRef50_UPI000287C1AC: hypothetical protein|unclassified	392.576
UniRef50_UPI0003698B91: hypothetical protein	391.92
UniRef50_UPI0003698B91: hypothetical protein|unclassified	391.92
UniRef50_Q40IQ7	391.538
UniRef50_Q40IQ7|unclassified	391.538
UniRef50_UPI00021959FE: single-stranded DNA exonuclease	391.019
UniRef50_UPI00021959FE: single-stranded DNA exonuclease|unclassified	391.019
UniRef50_T4FK11: DHH family protein	390.664
UniRef50_T4FK11: DHH family protein|unclassified	390.664
UniRef50_UPI0003A8604F: DNA polymerase I	390.061
UniRef50_UPI0003A8604F: DNA polymerase I|unclassified	390.061
UniRef50_Q8FUA2: Putative 3-methyladenine DNA glycosylase	388.943
UniRef50_Q8FUA2: Putative 3-methyladenine DNA glycosylase|unclassified	388.943
UniRef50_Q73G53: Putative 3-methyladenine DNA glycosylase	388.789
UniRef50_Q73G53: Putative 3-methyladenine DNA glycosylase|unclassified	388.789
UniRef50_A2C5E6: DNA ligase	387.678
UniRef50_A2C5E6: DNA ligase|unclassified	387.678
UniRef50_A5D0T6: Formamidopyrimidine-DNA glycosylase	386.763
UniRef50_A5D0T6: Formamidopyrimidine-DNA glycosylase|unclassified	386.763
UniRef50_UPI000473F0F9: MULTISPECIES: hypothetical protein	385.623
UniRef50_UPI000473F0F9: MULTISPECIES: hypothetical protein|unclassified	385.623
UniRef50_F0GHV4: DNA-3-methyladenine glycosylase II (Fragment)	385.096
UniRef50_F0GHV4: DNA-3-methyladenine glycosylase II (Fragment)|unclassified	385.096
UniRef50_UPI0003B6BAD3: DNA-3-methyladenine glycosylase	384.795
UniRef50_UPI0003B6BAD3: DNA-3-methyladenine glycosylase|unclassified	384.795
UniRef50_Q1CYD8: Putative 3-methyladenine DNA glycosylase	382.083
UniRef50_Q1CYD8: Putative 3-methyladenine DNA glycosylase|unclassified	382.083
UniRef50_B9DWM9: DNA ligase	382.058
UniRef50_B9DWM9: DNA ligase|unclassified	382.058
UniRef50_W9TJN8	381.606
UniRef50_W9TJN8|unclassified	381.606
UniRef50_UPI0003654E00: hypothetical protein	381.336
UniRef50_UPI0003654E00: hypothetical protein|unclassified	381.336
UniRef50_W7RF25: DNA-3-methyladenine glycosylase (Fragment)	380.829
UniRef50_W7RF25: DNA-3-methyladenine glycosylase (Fragment)|unclassified	380.829
UniRef50_UPI00046EB7D9: ATP-dependent DNA ligase, partial	380.141
UniRef50_UPI00046EB7D9: ATP-dependent DNA ligase, partial|unclassified	380.141
UniRef50_A0A038FY88	379.037
UniRef50_A0A038FY88|unclassified	379.037
UniRef50_Q2GLI8: DNA ligase	377.977
UniRef50_Q2GLI8: DNA ligase|unclassified	377.977
UniRef50_W0YS40	377.937
UniRef50_W0YS40|unclassified	377.937
UniRef50_V5SB92: DNA polymerase	377.622
UniRef50_V5SB92: DNA polymerase|unclassified	377.622
UniRef50_C0QJ86: DNA ligase	375.827
UniRef50_C0QJ86: DNA ligase|unclassified	375.827
UniRef50_Q0W5C8: Putative 3-methyladenine DNA glycosylase	375.365
UniRef50_Q0W5C8: Putative 3-methyladenine DNA glycosylase|unclassified	375.365
UniRef50_B5RMA6: DNA ligase	375.351
UniRef50_B5RMA6: DNA ligase|unclassified	375.351
UniRef50_UPI000366ED8D: DNA polymerase I	374.824
UniRef50_UPI000366ED8D: DNA polymerase I|unclassified	374.824
UniRef50_UPI00036514C7: NAD-dependent DNA ligase LigB, partial	373.445
UniRef50_UPI00036514C7: NAD-dependent DNA ligase LigB, partial|unclassified	373.445
UniRef50_UPI00025564E2: DNA polymerase I	373.172
UniRef50_UPI00025564E2: DNA polymerase I|unclassified	373.172
UniRef50_UPI0003B34FD3: NAD-dependent DNA ligase LigA	372.883
UniRef50_UPI0003B34FD3: NAD-dependent DNA ligase LigA|unclassified	372.883
UniRef50_UPI0002880B8B: NAD-dependent DNA ligase LigA	372.733
UniRef50_UPI0002880B8B: NAD-dependent DNA ligase LigA|unclassified	372.733
UniRef50_W5XDD5: DNA polymerase	372.601
UniRef50_W5XDD5: DNA polymerase|unclassified	372.601
UniRef50_X1U188: Marine sediment metagenome DNA, contig: S12H4_L03975 (Fragment)	368.985
UniRef50_X1U188: Marine sediment metagenome DNA, contig: S12H4_L03975 (Fragment)|unclassified	368.985
UniRef50_UPI000288C547: hypothetical protein	368.922
UniRef50_UPI000288C547: hypothetical protein|unclassified	368.922
UniRef50_R6T682	368.399
UniRef50_R6T682|unclassified	368.399
UniRef50_X0SA61: Marine sediment metagenome DNA, contig: S01H1_L06202 (Fragment)	367.028
UniRef50_X0SA61: Marine sediment metagenome DNA, contig: S01H1_L06202 (Fragment)|unclassified	367.028
UniRef50_Q2S459: DNA ligase	364.105
UniRef50_Q2S459: DNA ligase|unclassified	364.105
UniRef50_UPI00029A263F: single-stranded-DNA-specific exonuclease	363.264
UniRef50_UPI00029A263F: single-stranded-DNA-specific exonuclease|unclassified	363.264
UniRef50_Q4UVR0: Putative 3-methyladenine DNA glycosylase	362.693
UniRef50_Q4UVR0: Putative 3-methyladenine DNA glycosylase|unclassified	362.693
UniRef50_UPI000400E971: DNA ligase	362.347
UniRef50_UPI000400E971: DNA ligase|unclassified	362.347
UniRef50_F4BWI7	361.955
UniRef50_F4BWI7|unclassified	361.955
UniRef50_X0X8A5: Marine sediment metagenome DNA, contig: S01H1_S33925 (Fragment)	361.424
UniRef50_X0X8A5: Marine sediment metagenome DNA, contig: S01H1_S33925 (Fragment)|unclassified	361.424
UniRef50_Q11IE7: Putative 3-methyladenine DNA glycosylase	360.494
UniRef50_Q11IE7: Putative 3-methyladenine DNA glycosylase|unclassified	360.494
