# Gene Family	SampleDNA_Repair_Base_Excision_Abundance-RPKs
UniRef50_UPI00036BCA0F: hypothetical protein	157.2393549247
UniRef50_UPI00036BCA0F: hypothetical protein|unclassified	157.2393549247
UniRef50_UPI000472A755: hypothetical protein, partial	155.3899114366
UniRef50_UPI000472A755: hypothetical protein, partial|unclassified	155.3899114366
UniRef50_B8GAC1: DNA ligase	155.3437420788
UniRef50_B8GAC1: DNA ligase|unclassified	155.3437420788
UniRef50_UPI000366F3A5: hypothetical protein	154.7232200094
UniRef50_UPI000366F3A5: hypothetical protein|unclassified	154.7232200094
UniRef50_Q5GS47: Formamidopyrimidine-DNA glycosylase	154.3129438282
UniRef50_Q5GS47: Formamidopyrimidine-DNA glycosylase|unclassified	154.3129438282
UniRef50_B9L8R4: DNA ligase	153.5604021634
UniRef50_B9L8R4: DNA ligase|unclassified	153.5604021634
UniRef50_Q98KC4: DNA ligase	153.4604599983
UniRef50_Q98KC4: DNA ligase|unclassified	153.4604599983
UniRef50_T3PRD9: DHH family protein	152.9281989010
UniRef50_T3PRD9: DHH family protein|unclassified	152.9281989010
UniRef50_A0LDY1: DNA ligase	152.6767907675
UniRef50_A0LDY1: DNA ligase|unclassified	152.6767907675
UniRef50_A0JUH2: DNA ligase	152.3024188049
UniRef50_A0JUH2: DNA ligase|unclassified	152.3024188049
UniRef50_T2WDB8: DHH family protein	152.2713313391
UniRef50_T2WDB8: DHH family protein|unclassified	152.2713313391
UniRef50_UPI0003B3B05F: DNA polymerase I	152.2271182444
UniRef50_UPI0003B3B05F: DNA polymerase I|unclassified	152.2271182444
UniRef50_UPI00029B4937: DNA polymerase I	152.2122538478
UniRef50_UPI00029B4937: DNA polymerase I|unclassified	152.2122538478
UniRef50_W4JBX4	152.1630659103
UniRef50_W4JBX4|unclassified	152.1630659103
UniRef50_UPI00047D45C5: hypothetical protein, partial	151.9867487259
UniRef50_UPI00047D45C5: hypothetical protein, partial|unclassified	151.9867487259
UniRef50_Q2N9V6: DNA ligase	151.6455892739
UniRef50_Q2N9V6: DNA ligase|unclassified	151.6455892739
UniRef50_UPI00046E7B17: hypothetical protein	151.3697228443
UniRef50_UPI00046E7B17: hypothetical protein|unclassified	151.3697228443
UniRef50_UPI0002D7B27F: hypothetical protein	150.6167439328
UniRef50_UPI0002D7B27F: hypothetical protein|unclassified	150.6167439328
UniRef50_Q6AFJ3: Formamidopyrimidine-DNA glycosylase	149.2935623764
UniRef50_Q6AFJ3: Formamidopyrimidine-DNA glycosylase|unclassified	149.2935623764
UniRef50_UPI000369C6F6: hypothetical protein	148.5207037605
UniRef50_UPI000369C6F6: hypothetical protein|unclassified	148.5207037605
UniRef50_X9H0Y6	148.3882200852
UniRef50_X9H0Y6|unclassified	148.3882200852
UniRef50_UPI00031393C6: ATP-dependent DNA ligase	148.2704989213
UniRef50_UPI00031393C6: ATP-dependent DNA ligase|unclassified	148.2704989213
UniRef50_UPI0004768634: hypothetical protein	147.5612868649
UniRef50_UPI0004768634: hypothetical protein|unclassified	147.5612868649
UniRef50_A5V1U3: DNA ligase	147.5355792524
UniRef50_A5V1U3: DNA ligase|unclassified	147.5355792524
UniRef50_UPI000407B29F: 5''-3'' exonuclease	147.3164393124
UniRef50_UPI000407B29F: 5''-3'' exonuclease|unclassified	147.3164393124
UniRef50_UPI0003C104A0	146.6559747523
UniRef50_UPI0003C104A0|unclassified	146.6559747523
UniRef50_A6Q433: DNA ligase	146.5948770988
UniRef50_A6Q433: DNA ligase|unclassified	146.5948770988
UniRef50_UPI000347C768: DNA ligase	145.8151568345
UniRef50_UPI000347C768: DNA ligase|unclassified	145.8151568345
UniRef50_X1ICS1: Marine sediment metagenome DNA, contig: S03H2_S01910 (Fragment)	145.3278225576
UniRef50_X1ICS1: Marine sediment metagenome DNA, contig: S03H2_S01910 (Fragment)|unclassified	145.3278225576
UniRef50_C1FL61: BRCT domain protein	145.2808296170
UniRef50_C1FL61: BRCT domain protein|unclassified	145.2808296170
UniRef50_A1A200: DNA ligase	144.9316513121
UniRef50_A1A200: DNA ligase|unclassified	144.9316513121
UniRef50_Q8FPZ7: DNA ligase	144.3478753155
UniRef50_Q8FPZ7: DNA ligase|unclassified	144.3478753155
UniRef50_X8CHU6	144.0803720633
UniRef50_X8CHU6|unclassified	144.0803720633
UniRef50_X1UDE5: Marine sediment metagenome DNA, contig: S12H4_S14361 (Fragment)	143.2861401385
UniRef50_X1UDE5: Marine sediment metagenome DNA, contig: S12H4_S14361 (Fragment)|unclassified	143.2861401385
UniRef50_C3PNJ9	143.0829770790
UniRef50_C3PNJ9|unclassified	143.0829770790
UniRef50_Q4FUU7: Formamidopyrimidine-DNA glycosylase	143.0605097899
UniRef50_Q4FUU7: Formamidopyrimidine-DNA glycosylase|unclassified	143.0605097899
UniRef50_UPI00035C3D80: hypothetical protein	142.9428157694
UniRef50_UPI00035C3D80: hypothetical protein|unclassified	142.9428157694
UniRef50_B6YRR9: DNA ligase	142.7506259445
UniRef50_B6YRR9: DNA ligase|unclassified	142.7506259445
UniRef50_UPI00036179A8: hypothetical protein, partial	142.4617407731
UniRef50_UPI00036179A8: hypothetical protein, partial|unclassified	142.4617407731
UniRef50_UPI00038101C9: hypothetical protein, partial	142.1008407349
UniRef50_UPI00038101C9: hypothetical protein, partial|unclassified	142.1008407349
UniRef50_Q829C5: Putative 3-methyladenine DNA glycosylase	141.7841192932
UniRef50_Q829C5: Putative 3-methyladenine DNA glycosylase|unclassified	141.7841192932
UniRef50_B7GPV4: DNA ligase	141.5649586847
UniRef50_B7GPV4: DNA ligase|unclassified	141.5649586847
UniRef50_UPI000378F8EE: hypothetical protein	141.0891960018
UniRef50_UPI000378F8EE: hypothetical protein|unclassified	141.0891960018
UniRef50_UPI000472E858: hypothetical protein	140.8618758599
UniRef50_UPI000472E858: hypothetical protein|unclassified	140.8618758599
UniRef50_UPI0000E0E98F: exodeoxyribonuclease I	140.7988361458
UniRef50_UPI0000E0E98F: exodeoxyribonuclease I|unclassified	140.7988361458
UniRef50_Q5WGN4: Putative 3-methyladenine DNA glycosylase	139.9725380192
UniRef50_Q5WGN4: Putative 3-methyladenine DNA glycosylase|unclassified	139.9725380192
UniRef50_Q4E741	139.0195703867
UniRef50_Q4E741|unclassified	139.0195703867
UniRef50_G5HHD9	138.9369822222
UniRef50_G5HHD9|unclassified	138.9369822222
UniRef50_UPI00047E88E4: single-stranded DNA exonuclease	138.8336534983
UniRef50_UPI00047E88E4: single-stranded DNA exonuclease|unclassified	138.8336534983
UniRef50_UPI000368EC00: hypothetical protein	138.3084838479
UniRef50_UPI000368EC00: hypothetical protein|unclassified	138.3084838479
UniRef50_UPI00037464B1: MULTISPECIES: hypothetical protein	138.1344037089
UniRef50_UPI00037464B1: MULTISPECIES: hypothetical protein|unclassified	138.1344037089
UniRef50_Q9S208: Putative 3-methyladenine DNA glycosylase	137.9200501439
UniRef50_Q9S208: Putative 3-methyladenine DNA glycosylase|unclassified	137.9200501439
UniRef50_A0A011S3P9	137.8225511503
UniRef50_A0A011S3P9|unclassified	137.8225511503
UniRef50_UPI0003B6298D: DNA polymerase I	137.0725413500
UniRef50_UPI0003B6298D: DNA polymerase I|unclassified	137.0725413500
UniRef50_Q214R5: Putative 3-methyladenine DNA glycosylase	137.0163440487
UniRef50_Q214R5: Putative 3-methyladenine DNA glycosylase|unclassified	137.0163440487
UniRef50_Q2N7Y8: Formamidopyrimidine-DNA glycosylase	136.3421895559
UniRef50_Q2N7Y8: Formamidopyrimidine-DNA glycosylase|unclassified	136.3421895559
UniRef50_UPI0002490945: single-stranded-DNA-specific exonuclease RecJ	135.7145714861
UniRef50_UPI0002490945: single-stranded-DNA-specific exonuclease RecJ|unclassified	135.7145714861
UniRef50_UPI00035F6B88: hypothetical protein	135.5109464699
UniRef50_UPI00035F6B88: hypothetical protein|unclassified	135.5109464699
UniRef50_A6LPI2: Putative 3-methyladenine DNA glycosylase	135.3532095410
UniRef50_A6LPI2: Putative 3-methyladenine DNA glycosylase|unclassified	135.3532095410
UniRef50_Q2SRE1: DNA ligase	135.3450037070
UniRef50_Q2SRE1: DNA ligase|unclassified	135.3450037070
UniRef50_Z5XI99	135.1757652255
UniRef50_Z5XI99|unclassified	135.1757652255
UniRef50_UPI0003FB70C6: hypothetical protein	135.1691742973
UniRef50_UPI0003FB70C6: hypothetical protein|unclassified	135.1691742973
UniRef50_UPI0003901BFD: 5''''-3'''' exonuclease	135.0144256141
UniRef50_UPI0003901BFD: 5''''-3'''' exonuclease|unclassified	135.0144256141
UniRef50_UPI0003C13169: PREDICTED: DNA-3-methyladenine glycosylase 1-like	135.0139664291
UniRef50_UPI0003C13169: PREDICTED: DNA-3-methyladenine glycosylase 1-like|unclassified	135.0139664291
UniRef50_Q9Z847: Putative 3-methyladenine DNA glycosylase	134.9466632853
UniRef50_Q9Z847: Putative 3-methyladenine DNA glycosylase|unclassified	134.9466632853
UniRef50_A3CTY6: Putative 3-methyladenine DNA glycosylase	134.4377977449
UniRef50_A3CTY6: Putative 3-methyladenine DNA glycosylase|unclassified	134.4377977449
UniRef50_UPI0003C1ADBB	134.3830032930
UniRef50_UPI0003C1ADBB|unclassified	134.3830032930
UniRef50_A0A031GLP8	134.2856720791
UniRef50_A0A031GLP8|unclassified	134.2856720791
UniRef50_UPI000225AEF4: formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase	133.4649738433
UniRef50_UPI000225AEF4: formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase|unclassified	133.4649738433
UniRef50_UPI00038224DC: hypothetical protein	133.3448754600
UniRef50_UPI00038224DC: hypothetical protein|unclassified	133.3448754600
UniRef50_UPI000376712E: hypothetical protein	133.1317375498
UniRef50_UPI000376712E: hypothetical protein|unclassified	133.1317375498
UniRef50_Q9ZD40	132.7994199196
UniRef50_Q9ZD40|unclassified	132.7994199196
UniRef50_Q72BM7: DNA ligase	132.0453996720
UniRef50_Q72BM7: DNA ligase|unclassified	132.0453996720
UniRef50_UPI00047D31A2: ATP-dependent DNA ligase	131.9268007788
UniRef50_UPI00047D31A2: ATP-dependent DNA ligase|unclassified	131.9268007788
UniRef50_UPI0001F8584C: single-strand DNA-specific exonuclease-like protein	131.9089996605
UniRef50_UPI0001F8584C: single-strand DNA-specific exonuclease-like protein|unclassified	131.9089996605
UniRef50_UPI0004250A64: formamidopyrimidine-DNA glycosylase	131.6797206164
UniRef50_UPI0004250A64: formamidopyrimidine-DNA glycosylase|unclassified	131.6797206164
UniRef50_A7NQM8: Formamidopyrimidine-DNA glycosylase	131.5460987956
UniRef50_A7NQM8: Formamidopyrimidine-DNA glycosylase|unclassified	131.5460987956
UniRef50_UPI00034DC1F6: hypothetical protein	131.4741130049
UniRef50_UPI00034DC1F6: hypothetical protein|unclassified	131.4741130049
UniRef50_J2DIE9	130.9026591274
UniRef50_J2DIE9|unclassified	130.9026591274
UniRef50_UPI000366C6CF: hypothetical protein	130.8554368111
UniRef50_UPI000366C6CF: hypothetical protein|unclassified	130.8554368111
UniRef50_UPI0003B3F13D: single-stranded DNA exonuclease RecJ	130.5093208042
UniRef50_UPI0003B3F13D: single-stranded DNA exonuclease RecJ|unclassified	130.5093208042
UniRef50_K8DB76	130.2841101597
UniRef50_K8DB76|unclassified	130.2841101597
UniRef50_UPI0003B79BBC: NAD-dependent DNA ligase LigA	130.2782761686
UniRef50_UPI0003B79BBC: NAD-dependent DNA ligase LigA|unclassified	130.2782761686
UniRef50_UPI00029AD1B5: DNA ligase, NAD-dependent	129.3130752214
UniRef50_UPI00029AD1B5: DNA ligase, NAD-dependent|unclassified	129.3130752214
UniRef50_Q7X3I7	129.2375413111
UniRef50_Q7X3I7|unclassified	129.2375413111
UniRef50_UPI0003620879: hypothetical protein	129.0103724777
UniRef50_UPI0003620879: hypothetical protein|unclassified	129.0103724777
UniRef50_UPI000381B99E: ATP-dependent DNA ligase	128.1759557415
UniRef50_UPI000381B99E: ATP-dependent DNA ligase|unclassified	128.1759557415
UniRef50_Q8K9D0: 5'-3' exonuclease	127.6973413042
UniRef50_Q8K9D0: 5'-3' exonuclease|unclassified	127.6973413042
UniRef50_A4Y4Y4: Flap endonuclease Xni	127.3261699529
UniRef50_A4Y4Y4: Flap endonuclease Xni|unclassified	127.3261699529
UniRef50_UPI00037F0210: hypothetical protein	126.6407931009
UniRef50_UPI00037F0210: hypothetical protein|unclassified	126.6407931009
UniRef50_UPI0001C39608: DNA ligase, NAD-dependent, partial	126.3427049184
UniRef50_UPI0001C39608: DNA ligase, NAD-dependent, partial|unclassified	126.3427049184
UniRef50_UPI00037C3519: hypothetical protein	125.3240353517
UniRef50_UPI00037C3519: hypothetical protein|unclassified	125.3240353517
UniRef50_O66880: DNA ligase	125.2223807577
UniRef50_O66880: DNA ligase|unclassified	125.2223807577
UniRef50_E2PHR0	123.8330365435
UniRef50_E2PHR0|unclassified	123.8330365435
UniRef50_UPI00037B944A: hypothetical protein	123.5424223891
UniRef50_UPI00037B944A: hypothetical protein|unclassified	123.5424223891
UniRef50_C1F7S7: DNA ligase	123.4686115523
UniRef50_C1F7S7: DNA ligase|unclassified	123.4686115523
UniRef50_Q8ETG4: Putative 3-methyladenine DNA glycosylase	123.0426354858
UniRef50_Q8ETG4: Putative 3-methyladenine DNA glycosylase|unclassified	123.0426354858
UniRef50_UPI00047254ED: hypothetical protein, partial	122.9554629719
UniRef50_UPI00047254ED: hypothetical protein, partial|unclassified	122.9554629719
UniRef50_Q8PJT1: Putative 3-methyladenine DNA glycosylase	122.9528409426
UniRef50_Q8PJT1: Putative 3-methyladenine DNA glycosylase|unclassified	122.9528409426
UniRef50_A0LI67: DNA ligase	121.8309279765
UniRef50_A0LI67: DNA ligase|unclassified	121.8309279765
UniRef50_B3EM49: DNA ligase	120.2400774682
UniRef50_B3EM49: DNA ligase|unclassified	120.2400774682
UniRef50_UPI00047E2D6D: hypothetical protein	120.1451609077
UniRef50_UPI00047E2D6D: hypothetical protein|unclassified	120.1451609077
UniRef50_UPI000466B149: DNA repair protein	119.7659029775
UniRef50_UPI000466B149: DNA repair protein|unclassified	119.7659029775
UniRef50_UPI0003B64FE0: recombinase RecJ	119.6045214658
UniRef50_UPI0003B64FE0: recombinase RecJ|unclassified	119.6045214658
UniRef50_UPI00047CE178: NAD-dependent DNA ligase LigA	117.8311035716
UniRef50_UPI00047CE178: NAD-dependent DNA ligase LigA|unclassified	117.8311035716
UniRef50_UPI0003C14597	117.7658810870
UniRef50_UPI0003C14597|unclassified	117.7658810870
UniRef50_Q89A43: Exodeoxyribonuclease I	116.8167303906
UniRef50_Q89A43: Exodeoxyribonuclease I|unclassified	116.8167303906
UniRef50_UPI00016B1B06: DNA ligase, ATP-dependent, partial	116.7801242960
UniRef50_UPI00016B1B06: DNA ligase, ATP-dependent, partial|unclassified	116.7801242960
UniRef50_UPI0003630C3D: hypothetical protein	116.7726467080
UniRef50_UPI0003630C3D: hypothetical protein|unclassified	116.7726467080
UniRef50_UPI000473C590: hypothetical protein, partial	116.7180528131
UniRef50_UPI000473C590: hypothetical protein, partial|unclassified	116.7180528131
UniRef50_X1ANK1: Marine sediment metagenome DNA, contig: S01H4_S02847 (Fragment)	116.0151081760
UniRef50_X1ANK1: Marine sediment metagenome DNA, contig: S01H4_S02847 (Fragment)|unclassified	116.0151081760
UniRef50_UPI00037BCF8E: hypothetical protein, partial	115.7815553453
UniRef50_UPI00037BCF8E: hypothetical protein, partial|unclassified	115.7815553453
UniRef50_B1W1Y7: Putative 3-methyladenine DNA glycosylase	115.4981167565
UniRef50_B1W1Y7: Putative 3-methyladenine DNA glycosylase|unclassified	115.4981167565
UniRef50_UPI0003812BD6: hypothetical protein	115.2799194963
UniRef50_UPI0003812BD6: hypothetical protein|unclassified	115.2799194963
UniRef50_UPI00035E6E6C: hypothetical protein	115.0078956306
UniRef50_UPI00035E6E6C: hypothetical protein|unclassified	115.0078956306
UniRef50_UPI0004258884: DNA helicase	114.8460137693
UniRef50_UPI0004258884: DNA helicase|unclassified	114.8460137693
UniRef50_UPI0002BB5F08: hypothetical protein	114.4670786438
UniRef50_UPI0002BB5F08: hypothetical protein|unclassified	114.4670786438
UniRef50_UPI00035ECC31: hypothetical protein	114.3157816867
UniRef50_UPI00035ECC31: hypothetical protein|unclassified	114.3157816867
UniRef50_UPI00046F02F1: hypothetical protein, partial	113.9778768895
UniRef50_UPI00046F02F1: hypothetical protein, partial|unclassified	113.9778768895
UniRef50_UPI00026C7A12: hypothetical DNA-binding protein	113.7183411617
UniRef50_UPI00026C7A12: hypothetical DNA-binding protein|unclassified	113.7183411617
UniRef50_UPI0004753D07: single-stranded DNA exonuclease RecJ	113.4591686687
UniRef50_UPI0004753D07: single-stranded DNA exonuclease RecJ|unclassified	113.4591686687
UniRef50_UPI00036FA395: hypothetical protein, partial	112.9713845605
UniRef50_UPI00036FA395: hypothetical protein, partial|unclassified	112.9713845605
UniRef50_UPI0004737233: hypothetical protein, partial	112.6427511588
UniRef50_UPI0004737233: hypothetical protein, partial|unclassified	112.6427511588
UniRef50_UPI00015B45A4	112.3957409278
UniRef50_UPI00015B45A4|unclassified	112.3957409278
UniRef50_UPI000371AE83: hypothetical protein	112.1552347427
UniRef50_UPI000371AE83: hypothetical protein|unclassified	112.1552347427
UniRef50_Q13NQ1: Putative 3-methyladenine DNA glycosylase	112.0202426838
UniRef50_Q13NQ1: Putative 3-methyladenine DNA glycosylase|unclassified	112.0202426838
UniRef50_Q5X6N6: Putative 3-methyladenine DNA glycosylase	111.5666084066
UniRef50_Q5X6N6: Putative 3-methyladenine DNA glycosylase|unclassified	111.5666084066
UniRef50_UPI00034C6036: hypothetical protein	110.9871795356
UniRef50_UPI00034C6036: hypothetical protein|unclassified	110.9871795356
UniRef50_P37878: DNA-3-methyladenine glycosylase	110.7906442657
UniRef50_P37878: DNA-3-methyladenine glycosylase|unclassified	110.7906442657
UniRef50_UPI0002BAA957: hypothetical protein, partial	110.7667656053
UniRef50_UPI0002BAA957: hypothetical protein, partial|unclassified	110.7667656053
UniRef50_B5YIF8: DNA ligase	110.3404331814
UniRef50_B5YIF8: DNA ligase|unclassified	110.3404331814
UniRef50_UPI000464393B: recombinase RecJ	109.7780892692
UniRef50_UPI000464393B: recombinase RecJ|unclassified	109.7780892692
UniRef50_Q6NGH4: Formamidopyrimidine-DNA glycosylase	109.3753574672
UniRef50_Q6NGH4: Formamidopyrimidine-DNA glycosylase|unclassified	109.3753574672
UniRef50_UPI000362CEE2: hypothetical protein	109.0339618729
UniRef50_UPI000362CEE2: hypothetical protein|unclassified	109.0339618729
UniRef50_UPI00047AD68F: hypothetical protein	108.9101115328
UniRef50_UPI00047AD68F: hypothetical protein|unclassified	108.9101115328
UniRef50_S6X0W1	108.8842518147
UniRef50_S6X0W1|unclassified	108.8842518147
UniRef50_UPI00038F8170: DNA ligase	108.7604484467
UniRef50_UPI00038F8170: DNA ligase|unclassified	108.7604484467
UniRef50_Q2ESS7: RecJ (Fragment)	108.6333855827
UniRef50_Q2ESS7: RecJ (Fragment)|unclassified	108.6333855827
UniRef50_UPI00030E0145: hypothetical protein	108.3543834955
UniRef50_UPI00030E0145: hypothetical protein|unclassified	108.3543834955
UniRef50_UPI00037E30EF: hypothetical protein	107.8333480397
UniRef50_UPI00037E30EF: hypothetical protein|unclassified	107.8333480397
UniRef50_N0B3Q2: DNA polymerase LigD, polymerase domain-containing protein	107.7180191161
UniRef50_N0B3Q2: DNA polymerase LigD, polymerase domain-containing protein|unclassified	107.7180191161
UniRef50_UPI000474B6E2: ATP-dependent DNA ligase	107.4791396829
UniRef50_UPI000474B6E2: ATP-dependent DNA ligase|unclassified	107.4791396829
UniRef50_A0A011PB54: Endonuclease III	107.3014730628
UniRef50_A0A011PB54: Endonuclease III|unclassified	107.3014730628
UniRef50_UPI00035D7F72: hypothetical protein, partial	107.2465807413
UniRef50_UPI00035D7F72: hypothetical protein, partial|unclassified	107.2465807413
UniRef50_A4J4X3: Formamidopyrimidine-DNA glycosylase	106.5214589763
UniRef50_A4J4X3: Formamidopyrimidine-DNA glycosylase|unclassified	106.5214589763
UniRef50_Q68X22: Putative 3-methyladenine DNA glycosylase	106.4952921646
UniRef50_Q68X22: Putative 3-methyladenine DNA glycosylase|unclassified	106.4952921646
UniRef50_UPI00036ED30A: hypothetical protein	106.4125893325
UniRef50_UPI00036ED30A: hypothetical protein|unclassified	106.4125893325
UniRef50_A5FRL4: DNA ligase	106.0786331897
UniRef50_A5FRL4: DNA ligase|unclassified	106.0786331897
UniRef50_UPI000368AD99: hypothetical protein	105.8509562720
UniRef50_UPI000368AD99: hypothetical protein|unclassified	105.8509562720
UniRef50_UPI000372E285: hypothetical protein	105.6548448042
UniRef50_UPI000372E285: hypothetical protein|unclassified	105.6548448042
UniRef50_UPI00047E0E0B: endonuclease	105.4950602530
UniRef50_UPI00047E0E0B: endonuclease|unclassified	105.4950602530
UniRef50_X7ZAV1	105.3393490045
UniRef50_X7ZAV1|unclassified	105.3393490045
UniRef50_UPI0003B69696: NAD-dependent DNA ligase LigA	105.0961342465
UniRef50_UPI0003B69696: NAD-dependent DNA ligase LigA|unclassified	105.0961342465
UniRef50_R6H988	105.0651750807
UniRef50_R6H988|unclassified	105.0651750807
UniRef50_UPI0003A248D0: recombination protein RecJ	104.6224013106
UniRef50_UPI0003A248D0: recombination protein RecJ|unclassified	104.6224013106
UniRef50_K8C1B4	104.1385988846
UniRef50_K8C1B4|unclassified	104.1385988846
UniRef50_UPI000369CE93: hypothetical protein, partial	103.9090949523
UniRef50_UPI000369CE93: hypothetical protein, partial|unclassified	103.9090949523
UniRef50_UPI00036EE733: hypothetical protein	103.9040454380
UniRef50_UPI00036EE733: hypothetical protein|unclassified	103.9040454380
UniRef50_UPI0003482622: DNA glycosylase	103.7691871194
UniRef50_UPI0003482622: DNA glycosylase|unclassified	103.7691871194
UniRef50_A9NHW0: DNA ligase	102.9965588037
UniRef50_A9NHW0: DNA ligase|unclassified	102.9965588037
UniRef50_Q0SI65: Putative 3-methyladenine DNA glycosylase	102.9106907622
UniRef50_Q0SI65: Putative 3-methyladenine DNA glycosylase|unclassified	102.9106907622
UniRef50_UPI00040198F4: recombinase RecJ	102.2338032592
UniRef50_UPI00040198F4: recombinase RecJ|unclassified	102.2338032592
UniRef50_UPI000181707B: probable dna ligase (polydeoxyribonucleotide synthase [nad+]) (partial sequencecentral part) protein	102.1056496275
UniRef50_UPI000181707B: probable dna ligase (polydeoxyribonucleotide synthase [nad+]) (partial sequencecentral part) protein|unclassified	102.1056496275
UniRef50_B4U8X0: DNA ligase	102.0787342671
UniRef50_B4U8X0: DNA ligase|unclassified	102.0787342671
UniRef50_A7H8A2: DNA ligase	101.2026993575
UniRef50_A7H8A2: DNA ligase|unclassified	101.2026993575
UniRef50_UPI00037B9576: hypothetical protein	100.9670433487
UniRef50_UPI00037B9576: hypothetical protein|unclassified	100.9670433487
UniRef50_X1B8K4: Marine sediment metagenome DNA, contig: S01H4_C05622 (Fragment)	100.5470397651
UniRef50_X1B8K4: Marine sediment metagenome DNA, contig: S01H4_C05622 (Fragment)|unclassified	100.5470397651
UniRef50_Q4LBY8: Putative 3-methyladenine DNA glycosylase	100.2305689728
UniRef50_Q4LBY8: Putative 3-methyladenine DNA glycosylase|unclassified	100.2305689728
UniRef50_UPI0003A8338C: hypothetical protein	100.0858828958
UniRef50_UPI0003A8338C: hypothetical protein|unclassified	100.0858828958
UniRef50_UPI0004661843: hypothetical protein	99.9738194366
UniRef50_UPI0004661843: hypothetical protein|unclassified	99.9738194366
UniRef50_A5CQU5: DNA ligase	99.8829486941
UniRef50_A5CQU5: DNA ligase|unclassified	99.8829486941
UniRef50_UPI00036D4A98: hypothetical protein	99.5625531797
UniRef50_UPI00036D4A98: hypothetical protein|unclassified	99.5625531797
UniRef50_X1CWT3: Marine sediment metagenome DNA, contig: S01H4_S11351 (Fragment)	99.4097316306
UniRef50_X1CWT3: Marine sediment metagenome DNA, contig: S01H4_S11351 (Fragment)|unclassified	99.4097316306
UniRef50_UPI000478FDC2: formamidopyrimidine-DNA glycosylase	99.4046575453
UniRef50_UPI000478FDC2: formamidopyrimidine-DNA glycosylase|unclassified	99.4046575453
UniRef50_UPI000255627F: NAD-dependent DNA ligase LigA	99.0786540249
UniRef50_UPI000255627F: NAD-dependent DNA ligase LigA|unclassified	99.0786540249
UniRef50_P52027: DNA polymerase I	98.2241600520
UniRef50_P52027: DNA polymerase I|unclassified	98.2241600520
UniRef50_E1NRX1	98.1834355988
UniRef50_E1NRX1|unclassified	98.1834355988
UniRef50_UPI00047AC2FC: DNA-3-methyladenine glycosylase	98.0164088396
UniRef50_UPI00047AC2FC: DNA-3-methyladenine glycosylase|unclassified	98.0164088396
UniRef50_W6RIZ7	97.9341352172
UniRef50_W6RIZ7|unclassified	97.9341352172
UniRef50_UPI00021955C3: 3-methyladenine DNA glycosylase	97.7853961244
UniRef50_UPI00021955C3: 3-methyladenine DNA glycosylase|unclassified	97.7853961244
UniRef50_X0U9C0: Marine sediment metagenome DNA, contig: S01H1_S03795 (Fragment)	97.7719794389
UniRef50_X0U9C0: Marine sediment metagenome DNA, contig: S01H1_S03795 (Fragment)|unclassified	97.7719794389
UniRef50_W5X933: DNA ligase	97.2011267397
UniRef50_W5X933: DNA ligase|unclassified	97.2011267397
UniRef50_UPI00037B4B6C: hypothetical protein	96.6749675509
UniRef50_UPI00037B4B6C: hypothetical protein|unclassified	96.6749675509
UniRef50_R6FIY6	96.6598890783
UniRef50_R6FIY6|unclassified	96.6598890783
UniRef50_UPI000372A054: hypothetical protein	96.1762471579
UniRef50_UPI000372A054: hypothetical protein|unclassified	96.1762471579
UniRef50_P55825: Formamidopyrimidine-DNA glycosylase	96.1632583904
UniRef50_P55825: Formamidopyrimidine-DNA glycosylase|unclassified	96.1632583904
UniRef50_F9XXB7	96.1629040116
UniRef50_F9XXB7|unclassified	96.1629040116
UniRef50_UPI0003738572: hypothetical protein	95.8851443982
UniRef50_UPI0003738572: hypothetical protein|unclassified	95.8851443982
UniRef50_Q8KBD5: Putative 3-methyladenine DNA glycosylase	95.8773663170
UniRef50_Q8KBD5: Putative 3-methyladenine DNA glycosylase|unclassified	95.8773663170
UniRef50_UPI000473CDA1: ATP-dependent DNA ligase, partial	95.2195266143
UniRef50_UPI000473CDA1: ATP-dependent DNA ligase, partial|unclassified	95.2195266143
UniRef50_T0EBK0: DHH family protein	95.0955576643
UniRef50_T0EBK0: DHH family protein|unclassified	95.0955576643
UniRef50_UPI00047C3086: 5''-3'' exonuclease	95.0828824287
UniRef50_UPI00047C3086: 5''-3'' exonuclease|unclassified	95.0828824287
UniRef50_UPI000262CCCA: DNA ligase, ATP-dependent	95.0034048200
UniRef50_UPI000262CCCA: DNA ligase, ATP-dependent|unclassified	95.0034048200
UniRef50_UPI0003B3C1FE: NAD-dependent DNA ligase LigA	94.9394128267
UniRef50_UPI0003B3C1FE: NAD-dependent DNA ligase LigA|unclassified	94.9394128267
UniRef50_UPI000473474B: formamidopyrimidine-DNA glycosylase, partial	94.9115602979
UniRef50_UPI000473474B: formamidopyrimidine-DNA glycosylase, partial|unclassified	94.9115602979
UniRef50_UPI0004227BD1: hypothetical protein	94.5993790367
UniRef50_UPI0004227BD1: hypothetical protein|unclassified	94.5993790367
UniRef50_UPI00037CB268: hypothetical protein	94.5447237542
UniRef50_UPI00037CB268: hypothetical protein|unclassified	94.5447237542
UniRef50_O51383: Putative 3-methyladenine DNA glycosylase	94.4708525438
UniRef50_O51383: Putative 3-methyladenine DNA glycosylase|unclassified	94.4708525438
UniRef50_Q93IZ8: DNA ligase 2	94.4659551555
