# Gene Family	SampleEntner-Doudoroff_Pathway_Abundance-CPM
UniRef50_UPI000470DC90: hypothetical protein|unclassified	269.016
UniRef50_UPI0002376CE5: hydroxypyruvate reductase, partial	268.962
UniRef50_UPI0002376CE5: hydroxypyruvate reductase, partial|unclassified	268.962
UniRef50_UPI00034514A1: aldehyde dehydrogenase	266.635
UniRef50_UPI00034514A1: aldehyde dehydrogenase|unclassified	266.635
UniRef50_UPI000379BE3C: hypothetical protein	266.527
UniRef50_UPI000379BE3C: hypothetical protein|unclassified	266.527
UniRef50_UPI0002628F35: mannonate dehydratase, partial	265.693
UniRef50_UPI0002628F35: mannonate dehydratase, partial|unclassified	265.693
UniRef50_UPI00047ED46B: hypothetical protein	265.347
UniRef50_UPI00047ED46B: hypothetical protein|unclassified	265.347
UniRef50_R0DJ62: Hydroxypyruvate reductase (Fragment)	265.26
UniRef50_R0DJ62: Hydroxypyruvate reductase (Fragment)|unclassified	265.26
UniRef50_H1XSQ9: ROK family protein	265.044
UniRef50_H1XSQ9: ROK family protein|unclassified	265.044
UniRef50_UPI0003793A13: hypothetical protein	262.699
UniRef50_UPI0003793A13: hypothetical protein|unclassified	262.699
UniRef50_G0AB19: Gluconolactonase	262.45
UniRef50_G0AB19: Gluconolactonase|unclassified	262.45
UniRef50_UPI00036F9F5F: hypothetical protein	259.7
UniRef50_UPI00036F9F5F: hypothetical protein|unclassified	259.7
UniRef50_UPI0003669BE6: hypothetical protein	259.311
UniRef50_UPI0003669BE6: hypothetical protein|unclassified	259.311
UniRef50_Q46QB2: Glucokinase	259.053
UniRef50_Q46QB2: Glucokinase|unclassified	259.053
UniRef50_UPI00029DC2E4: PREDICTED: aldose 1-epimerase	258.101
UniRef50_UPI00029DC2E4: PREDICTED: aldose 1-epimerase|unclassified	258.101
UniRef50_UPI0003784122: aldehyde dehydrogenase, partial	257.32
UniRef50_UPI0003784122: aldehyde dehydrogenase, partial|unclassified	257.32
UniRef50_UPI0003B78714: aldehyde dehydrogenase	256.66
UniRef50_UPI0003B78714: aldehyde dehydrogenase|unclassified	256.66
UniRef50_UPI000369F110: hypothetical protein	256.451
UniRef50_UPI000369F110: hypothetical protein|unclassified	256.451
UniRef50_UPI0003784E70: hypothetical protein	255.542
UniRef50_UPI0003784E70: hypothetical protein|unclassified	255.542
UniRef50_UPI000471E857: aldehyde dehydrogenase	254.393
UniRef50_UPI000471E857: aldehyde dehydrogenase|unclassified	254.393
UniRef50_UPI00035A2281: PREDICTED: aldehyde dehydrogenase, mitochondrial-like	253.359
UniRef50_UPI00035A2281: PREDICTED: aldehyde dehydrogenase, mitochondrial-like|unclassified	253.359
UniRef50_P42269: 5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase	252.369
UniRef50_P42269: 5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase|unclassified	252.369
UniRef50_V3MPF9	250.382
UniRef50_V3MPF9|unclassified	250.382
UniRef50_UPI00036933D0: hypothetical protein	248.574
UniRef50_UPI00036933D0: hypothetical protein|unclassified	248.574
UniRef50_UPI0002ADB95E: PREDICTED: aldehyde dehydrogenase, mitochondrial-like, partial	248.368
UniRef50_UPI0002ADB95E: PREDICTED: aldehyde dehydrogenase, mitochondrial-like, partial|unclassified	248.368
UniRef50_UPI0003655CF9: polyphosphate glucokinase	247.351
UniRef50_UPI0003655CF9: polyphosphate glucokinase|unclassified	247.351
UniRef50_X0Y5N5: Marine sediment metagenome DNA, contig: S01H1_S40481 (Fragment)	247.294
UniRef50_X0Y5N5: Marine sediment metagenome DNA, contig: S01H1_S40481 (Fragment)|unclassified	247.294
UniRef50_UPI00036C8B81: hypothetical protein	245.719
UniRef50_UPI00036C8B81: hypothetical protein|unclassified	245.719
UniRef50_UPI0004625430: PREDICTED: alpha-enolase-like, partial	245.255
UniRef50_UPI0004625430: PREDICTED: alpha-enolase-like, partial|unclassified	245.255
UniRef50_UPI0003812DEC: hypothetical protein	242.416
UniRef50_UPI0003812DEC: hypothetical protein|unclassified	242.416
UniRef50_P08967: Phosphoglycerate kinase, glycosomal	241.874
UniRef50_P08967: Phosphoglycerate kinase, glycosomal|unclassified	241.874
UniRef50_S5VK53	241.865
UniRef50_S5VK53|unclassified	241.865
UniRef50_UPI00037B373A: hypothetical protein	241.763
UniRef50_UPI00037B373A: hypothetical protein|unclassified	241.763
UniRef50_UPI000465A560: hypothetical protein	240.686
UniRef50_UPI000465A560: hypothetical protein|unclassified	240.686
UniRef50_UPI0003B61BD6: gluconolactonase	240.389
UniRef50_UPI0003B61BD6: gluconolactonase|unclassified	240.389
UniRef50_Q7RVA8: Pyruvate kinase	239.481
UniRef50_Q7RVA8: Pyruvate kinase|unclassified	239.481
UniRef50_UPI000371C9F8: hypothetical protein	239.197
UniRef50_UPI000371C9F8: hypothetical protein|unclassified	239.197
UniRef50_B1ZL24: Major royal jelly protein	239.133
UniRef50_B1ZL24: Major royal jelly protein|unclassified	239.133
UniRef50_UPI0004752E35: aldehyde dehydrogenase, partial	238.809
UniRef50_UPI0004752E35: aldehyde dehydrogenase, partial|unclassified	238.809
UniRef50_UPI000289A687: glucokinase	238.524
UniRef50_UPI000289A687: glucokinase|unclassified	238.524
UniRef50_UPI00046FD0FC: succinate-semialdehyde dehydrogenase	238.176
UniRef50_UPI00046FD0FC: succinate-semialdehyde dehydrogenase|unclassified	238.176
UniRef50_UPI0003F69469: aldehyde dehydrogenase	236.721
UniRef50_UPI0003F69469: aldehyde dehydrogenase|unclassified	236.721
UniRef50_K1RUQ9: PfkB domain protein	235.285
UniRef50_K1RUQ9: PfkB domain protein|unclassified	235.285
UniRef50_Q0W8C9: Enolase	234.841
UniRef50_Q0W8C9: Enolase|unclassified	234.841
UniRef50_UPI0001851281: aldehyde dehydrogenase	234.475
UniRef50_UPI0001851281: aldehyde dehydrogenase|unclassified	234.475
UniRef50_Z5X869	234.428
UniRef50_Z5X869|unclassified	234.428
UniRef50_Q56198: Glucokinase	233.631
UniRef50_Q56198: Glucokinase|unclassified	233.631
UniRef50_Q4UYN4: NAD/NADP-dependent betaine aldehyde dehydrogenase	232.963
UniRef50_Q4UYN4: NAD/NADP-dependent betaine aldehyde dehydrogenase|unclassified	232.963
UniRef50_UPI0003729A13: hypothetical protein	232.682
UniRef50_UPI0003729A13: hypothetical protein|unclassified	232.682
UniRef50_K3X5U2	232.588
UniRef50_K3X5U2|unclassified	232.588
UniRef50_X1TQ39: Marine sediment metagenome DNA, contig: S12H4_S16181 (Fragment)	231.882
UniRef50_X1TQ39: Marine sediment metagenome DNA, contig: S12H4_S16181 (Fragment)|unclassified	231.882
UniRef50_UPI00036506D6: hypothetical protein	231.751
UniRef50_UPI00036506D6: hypothetical protein|unclassified	231.751
UniRef50_UPI0003B4A397: hypothetical protein, partial	231.545
UniRef50_UPI0003B4A397: hypothetical protein, partial|unclassified	231.545
UniRef50_Q9STS1: Betaine aldehyde dehydrogenase 2, mitochondrial	231.199
UniRef50_Q9STS1: Betaine aldehyde dehydrogenase 2, mitochondrial|unclassified	231.199
UniRef50_B1LVG3: SMP-30/Gluconolaconase/LRE domain protein	230.703
UniRef50_B1LVG3: SMP-30/Gluconolaconase/LRE domain protein|unclassified	230.703
UniRef50_P32872: Aldehyde dehydrogenase 2, mitochondrial	230.421
UniRef50_P32872: Aldehyde dehydrogenase 2, mitochondrial|unclassified	230.421
UniRef50_W4LMK8	229.012
UniRef50_W4LMK8|unclassified	229.012
UniRef50_Q8EUV2: Phosphoglycerate kinase	228.989
UniRef50_Q8EUV2: Phosphoglycerate kinase|unclassified	228.989
UniRef50_UPI000289C2D9: aldehyde dehydrogenase, partial	228.212
UniRef50_UPI000289C2D9: aldehyde dehydrogenase, partial|unclassified	228.212
UniRef50_UPI00047A6510: aldehyde dehydrogenase, partial	227.979
UniRef50_UPI00047A6510: aldehyde dehydrogenase, partial|unclassified	227.979
UniRef50_X1V404: Marine sediment metagenome DNA, contig: S12H4_S23026 (Fragment)	227.858
UniRef50_X1V404: Marine sediment metagenome DNA, contig: S12H4_S23026 (Fragment)|unclassified	227.858
UniRef50_B5HQY1: OpcA protein	226.724
UniRef50_B5HQY1: OpcA protein|unclassified	226.724
UniRef50_D5SRR9: ROK family protein	226.282
UniRef50_D5SRR9: ROK family protein|unclassified	226.282
UniRef50_UPI000370A33C: hypothetical protein, partial	225.663
UniRef50_UPI000370A33C: hypothetical protein, partial|unclassified	225.663
UniRef50_UPI00035D2CAF: hypothetical protein	225.451
UniRef50_UPI00035D2CAF: hypothetical protein|unclassified	225.451
UniRef50_UPI0001CBEF6A: gluconolactonase	224.821
UniRef50_UPI0001CBEF6A: gluconolactonase|unclassified	224.821
UniRef50_Q15SN0: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	224.686
UniRef50_Q15SN0: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	224.686
UniRef50_UPI0003C13108: PREDICTED: aldehyde dehydrogenase, mitochondrial-like	224.407
UniRef50_UPI0003C13108: PREDICTED: aldehyde dehydrogenase, mitochondrial-like|unclassified	224.407
UniRef50_UPI00021A5E44: PREDICTED: pyruvate kinase isozymes M1/M2-like	223.932
UniRef50_UPI00021A5E44: PREDICTED: pyruvate kinase isozymes M1/M2-like|unclassified	223.932
UniRef50_Q8MIF7: Phosphoglycerate kinase 2	223.065
UniRef50_Q8MIF7: Phosphoglycerate kinase 2|unclassified	223.065
UniRef50_UPI00036F43D2: hypothetical protein	222.49
UniRef50_UPI00036F43D2: hypothetical protein|unclassified	222.49
UniRef50_UPI00042C08BB: PREDICTED: aldehyde dehydrogenase family 16 member A1-like, partial	222.102
UniRef50_UPI00042C08BB: PREDICTED: aldehyde dehydrogenase family 16 member A1-like, partial|unclassified	222.102
UniRef50_P12693: Aldehyde dehydrogenase	222.056
UniRef50_P12693: Aldehyde dehydrogenase|unclassified	222.056
UniRef50_UPI000478CFC4: hypothetical protein	221.983
UniRef50_UPI000478CFC4: hypothetical protein|unclassified	221.983
UniRef50_UPI00047D7A7D: D-mannonate oxidoreductase	221.903
UniRef50_UPI00047D7A7D: D-mannonate oxidoreductase|unclassified	221.903
UniRef50_UPI000368D5FA: hypothetical protein	221.272
UniRef50_UPI000368D5FA: hypothetical protein|unclassified	221.272
UniRef50_UPI0002DCA912: hypothetical protein	221.261
UniRef50_UPI0002DCA912: hypothetical protein|unclassified	221.261
UniRef50_UPI0003EC0FF7: PREDICTED: retinal dehydrogenase 1-like	221.174
UniRef50_UPI0003EC0FF7: PREDICTED: retinal dehydrogenase 1-like|unclassified	221.174
UniRef50_UPI00035C7317: hypothetical protein	221.075
UniRef50_UPI00035C7317: hypothetical protein|unclassified	221.075
UniRef50_R5CA82	221.058
UniRef50_R5CA82|unclassified	221.058
UniRef50_Q979Z9: Enolase	220.512
UniRef50_Q979Z9: Enolase|unclassified	220.512
UniRef50_Q4UTT4: Regucalcin	220.024
UniRef50_Q4UTT4: Regucalcin|unclassified	220.024
UniRef50_Q74L45: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 2	219.403
UniRef50_Q74L45: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 2|unclassified	219.403
UniRef50_Q29491: Aldehyde dehydrogenase, cytosolic 2 (Fragment)	218.531
UniRef50_Q29491: Aldehyde dehydrogenase, cytosolic 2 (Fragment)|unclassified	218.531
UniRef50_UPI0003642D67: hypothetical protein	218.369
UniRef50_UPI0003642D67: hypothetical protein|unclassified	218.369
UniRef50_UPI0002FC7EA0: hypothetical protein	215.936
UniRef50_UPI0002FC7EA0: hypothetical protein|unclassified	215.936
UniRef50_F0CBF4: Gluconolactonase	215.201
UniRef50_F0CBF4: Gluconolactonase|unclassified	215.201
UniRef50_UPI000273B328: PREDICTED: glyceraldehyde-3-phosphate dehydrogenase-like	215.051
UniRef50_UPI000273B328: PREDICTED: glyceraldehyde-3-phosphate dehydrogenase-like|unclassified	215.051
UniRef50_F3GP02: Gluconolactonase (Fragment)	214.97
UniRef50_F3GP02: Gluconolactonase (Fragment)|unclassified	214.97
UniRef50_UPI00036C82EC: hypothetical protein	213.922
UniRef50_UPI00036C82EC: hypothetical protein|unclassified	213.922
UniRef50_Q27788: Pyruvate kinase	213.83
UniRef50_Q27788: Pyruvate kinase|unclassified	213.83
UniRef50_UPI00036B9B06: hypothetical protein	213.638
UniRef50_UPI00036B9B06: hypothetical protein|unclassified	213.638
UniRef50_U6HXK3: Phosphoglycerate mutase	213.52
UniRef50_U6HXK3: Phosphoglycerate mutase|unclassified	213.52
UniRef50_U4TRZ7	213.312
UniRef50_U4TRZ7|unclassified	213.312
UniRef50_K2F573: CarR	213.104
UniRef50_K2F573: CarR|unclassified	213.104
UniRef50_UPI0002E133C5: hypothetical protein	211.617
UniRef50_UPI0002E133C5: hypothetical protein|unclassified	211.617
UniRef50_I0QNH3: Gluconolactonase (Gnl)	211.233
UniRef50_I0QNH3: Gluconolactonase (Gnl)|unclassified	211.233
UniRef50_UPI0003B36672: aldehyde dehydrogenase	211.133
UniRef50_UPI0003B36672: aldehyde dehydrogenase|unclassified	211.133
UniRef50_W4S4K8: Gluconolactonase	210.897
UniRef50_W4S4K8: Gluconolactonase|unclassified	210.897
UniRef50_C6BDS0: SMP-30/Gluconolaconase/LRE domain protein	210.534
UniRef50_C6BDS0: SMP-30/Gluconolaconase/LRE domain protein|unclassified	210.534
UniRef50_UPI0003831061: hypothetical protein M271_02155	207.802
UniRef50_UPI0003831061: hypothetical protein M271_02155|unclassified	207.802
UniRef50_A9W781: SMP-30/Gluconolaconase/LRE domain protein	207.372
UniRef50_A9W781: SMP-30/Gluconolaconase/LRE domain protein|unclassified	207.372
UniRef50_UPI000164B256: hypothetical protein	206.87
UniRef50_UPI000164B256: hypothetical protein|unclassified	206.87
UniRef50_F6C879: ROK family protein	206.483
UniRef50_F6C879: ROK family protein|unclassified	206.483
UniRef50_P46329: Probable aldehyde dehydrogenase AldX	206.17
UniRef50_P46329: Probable aldehyde dehydrogenase AldX|unclassified	206.17
UniRef50_UPI00036A03DE: hypothetical protein	206.063
UniRef50_UPI00036A03DE: hypothetical protein|unclassified	206.063
UniRef50_W4U5X0: D-mannonate oxidoreductase	205.631
UniRef50_W4U5X0: D-mannonate oxidoreductase|unclassified	205.631
UniRef50_Q2NG02: Enolase	205.474
UniRef50_Q2NG02: Enolase|unclassified	205.474
UniRef50_D9Y0V8: Oxppcycle protein OpcA (Fragment)	205.442
UniRef50_D9Y0V8: Oxppcycle protein OpcA (Fragment)|unclassified	205.442
UniRef50_UPI00045E8A17: mannitol dehydrogenase	205.425
UniRef50_UPI00045E8A17: mannitol dehydrogenase|unclassified	205.425
UniRef50_UPI00035EFD2A: hypothetical protein, partial	204.848
UniRef50_UPI00035EFD2A: hypothetical protein, partial|unclassified	204.848
UniRef50_UPI000255DBFF: aldose 1-epimerase	204.079
UniRef50_UPI000255DBFF: aldose 1-epimerase|unclassified	204.079
UniRef50_UPI000346A3C4: hypothetical protein	203.632
UniRef50_UPI000346A3C4: hypothetical protein|unclassified	203.632
UniRef50_UPI0003B49A92: glyceraldehyde-3-phosphate dehydrogenase	203.251
UniRef50_UPI0003B49A92: glyceraldehyde-3-phosphate dehydrogenase|unclassified	203.251
UniRef50_UPI0004422EE7: PREDICTED: aldehyde dehydrogenase family 16 member A1 isoform X3	203.048
UniRef50_UPI0004422EE7: PREDICTED: aldehyde dehydrogenase family 16 member A1 isoform X3|unclassified	203.048
UniRef50_P63339: 6-phosphogluconolactonase	203.005
UniRef50_P63339: 6-phosphogluconolactonase|unclassified	203.005
UniRef50_UPI00037F1559: hypothetical protein	202.586
UniRef50_UPI00037F1559: hypothetical protein|unclassified	202.586
UniRef50_Q2JX85: OpcA protein	202.398
UniRef50_Q2JX85: OpcA protein|unclassified	202.398
UniRef50_G9WVD7	202.321
UniRef50_G9WVD7|unclassified	202.321
UniRef50_G8MHI9	201.991
UniRef50_G8MHI9|unclassified	201.991
UniRef50_L0DMU2: Gluconolactonase	201.736
UniRef50_L0DMU2: Gluconolactonase|unclassified	201.736
UniRef50_UPI0000E48FF4: PREDICTED: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1-like	201.535
UniRef50_UPI0000E48FF4: PREDICTED: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1-like|unclassified	201.535
UniRef50_UPI00046801A7: pyruvate kinase	201.382
UniRef50_UPI00046801A7: pyruvate kinase|unclassified	201.382
UniRef50_UPI0002D51FEF: hypothetical protein	201.31
UniRef50_UPI0002D51FEF: hypothetical protein|unclassified	201.31
UniRef50_F5Y3C8	201.207
UniRef50_F5Y3C8|unclassified	201.207
UniRef50_O34940: Putative sugar lactone lactonase YvrE	200.502
UniRef50_O34940: Putative sugar lactone lactonase YvrE|unclassified	200.502
UniRef50_UPI000382A1A7: hypothetical protein	200.158
UniRef50_UPI000382A1A7: hypothetical protein|unclassified	200.158
UniRef50_UPI000372BEA9: hypothetical protein	199.262
UniRef50_UPI000372BEA9: hypothetical protein|unclassified	199.262
UniRef50_UPI0003B3F71C: aldose 1-epimerase	199.064
UniRef50_UPI0003B3F71C: aldose 1-epimerase|unclassified	199.064
UniRef50_UPI00031499D5: aldehyde dehydrogenase	198.626
UniRef50_UPI00031499D5: aldehyde dehydrogenase|unclassified	198.626
UniRef50_M0F6B7: Hydroxypyruvate reductase	198.345
UniRef50_M0F6B7: Hydroxypyruvate reductase|unclassified	198.345
UniRef50_X1KLH6: Marine sediment metagenome DNA, contig: S06H3_L03027 (Fragment)	198.198
UniRef50_X1KLH6: Marine sediment metagenome DNA, contig: S06H3_L03027 (Fragment)|unclassified	198.198
UniRef50_UPI00039B0547: polyphosphate glucokinase	198.138
UniRef50_UPI00039B0547: polyphosphate glucokinase|unclassified	198.138
UniRef50_UPI0002B9AD98: hypothetical protein	198.116
UniRef50_UPI0002B9AD98: hypothetical protein|unclassified	198.116
UniRef50_UPI000380B069: hypothetical protein, partial	197.889
UniRef50_UPI000380B069: hypothetical protein, partial|unclassified	197.889
UniRef50_UPI0003789CFA: hypothetical protein, partial	197.538
UniRef50_UPI0003789CFA: hypothetical protein, partial|unclassified	197.538
UniRef50_UPI00036F0C0E: hypothetical protein	197.019
UniRef50_UPI00036F0C0E: hypothetical protein|unclassified	197.019
UniRef50_UPI0003B3C826: aldose 1-epimerase	196.963
UniRef50_UPI0003B3C826: aldose 1-epimerase|unclassified	196.963
UniRef50_B0B7Q0: Pyruvate kinase	196.879
UniRef50_B0B7Q0: Pyruvate kinase|unclassified	196.879
UniRef50_UPI0003B44BD6: aldehyde dehydrogenase	196.006
UniRef50_UPI0003B44BD6: aldehyde dehydrogenase|unclassified	196.006
UniRef50_G8N9R6: Hydroxypyruvate reductase	195.798
UniRef50_G8N9R6: Hydroxypyruvate reductase|unclassified	195.798
UniRef50_UPI0002E5558A: hypothetical protein	195.098
UniRef50_UPI0002E5558A: hypothetical protein|unclassified	195.098
UniRef50_UPI00037C5312: hypothetical protein	194.677
UniRef50_UPI00037C5312: hypothetical protein|unclassified	194.677
UniRef50_Q72VB8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	194.548
UniRef50_Q72VB8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	194.548
UniRef50_Q9A6N1: 6-phosphogluconolactonase	193.664
UniRef50_Q9A6N1: 6-phosphogluconolactonase|unclassified	193.664
UniRef50_C9YY81	193.597
UniRef50_C9YY81|unclassified	193.597
UniRef50_D2NF82: Truncated altronate dehydratase	193.175
UniRef50_D2NF82: Truncated altronate dehydratase|unclassified	193.175
UniRef50_UPI00041D43A5: hypothetical protein	192.46
UniRef50_UPI00041D43A5: hypothetical protein|unclassified	192.46
UniRef50_I3UEC5: Gluconolactonase	192.432
UniRef50_I3UEC5: Gluconolactonase|unclassified	192.432
UniRef50_UPI00041A1C68: 6-phosphogluconolactonase	192.328
UniRef50_UPI00041A1C68: 6-phosphogluconolactonase|unclassified	192.328
UniRef50_UPI0004665CC5: betaine-aldehyde dehydrogenase	192.189
UniRef50_UPI0004665CC5: betaine-aldehyde dehydrogenase|unclassified	192.189
UniRef50_K2ADL5	192.005
UniRef50_K2ADL5|unclassified	192.005
UniRef50_UPI0001FFE20F: mannitol dehydrogenase, partial	191.702
UniRef50_UPI0001FFE20F: mannitol dehydrogenase, partial|unclassified	191.702
UniRef50_UPI0003747A07: hypothetical protein	191.633
UniRef50_UPI0003747A07: hypothetical protein|unclassified	191.633
UniRef50_Q5ZZU2: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	190.84
UniRef50_Q5ZZU2: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	190.84
UniRef50_A8TK67: Gluconolactonase	190.696
UniRef50_A8TK67: Gluconolactonase|unclassified	190.696
UniRef50_X6JES8	190.342
UniRef50_X6JES8|unclassified	190.342
UniRef50_UPI00040A4A10: betaine-aldehyde dehydrogenase	189.885
UniRef50_UPI00040A4A10: betaine-aldehyde dehydrogenase|unclassified	189.885
UniRef50_Q5L748: Phosphoglycerate kinase	189.72
UniRef50_Q5L748: Phosphoglycerate kinase|unclassified	189.72
UniRef50_UPI00036639B0: hypothetical protein	188.899
UniRef50_UPI00036639B0: hypothetical protein|unclassified	188.899
UniRef50_UPI000378CABF: hypothetical protein	188.878
UniRef50_UPI000378CABF: hypothetical protein|unclassified	188.878
UniRef50_M5EHA4	188.667
UniRef50_M5EHA4|unclassified	188.667
UniRef50_UPI00042BB2C5: PREDICTED: glyceraldehyde-3-phosphate dehydrogenase-like	188.423
UniRef50_UPI00042BB2C5: PREDICTED: glyceraldehyde-3-phosphate dehydrogenase-like|unclassified	188.423
UniRef50_UPI00046E53CD: hypothetical protein, partial	188.256
UniRef50_UPI00046E53CD: hypothetical protein, partial|unclassified	188.256
UniRef50_P39829: D-galactarate dehydratase	188.081
UniRef50_P39829: D-galactarate dehydratase|unclassified	188.081
UniRef50_UPI00037DF5B2: hypothetical protein	188.026
UniRef50_UPI00037DF5B2: hypothetical protein|unclassified	188.026
UniRef50_UPI0004771957: pyruvate kinase	187.966
UniRef50_UPI0004771957: pyruvate kinase|unclassified	187.966
UniRef50_UPI00036E6CAE: hypothetical protein	187.457
UniRef50_UPI00036E6CAE: hypothetical protein|unclassified	187.457
UniRef50_UPI0003FEDC86: glucokinase	187.403
UniRef50_UPI0003FEDC86: glucokinase|unclassified	187.403
UniRef50_UPI0003138663: hypothetical protein	187.246
UniRef50_UPI0003138663: hypothetical protein|unclassified	187.246
UniRef50_O59808: Probable betaine aldehyde dehydrogenase	187.119
UniRef50_O59808: Probable betaine aldehyde dehydrogenase|unclassified	187.119
UniRef50_I4B4M9: ROK family protein	186.987
UniRef50_I4B4M9: ROK family protein|unclassified	186.987
UniRef50_UPI0003B432A5: 6-phosphogluconolactonase	186.585
UniRef50_UPI0003B432A5: 6-phosphogluconolactonase|unclassified	186.585
UniRef50_Q49700: 6-phosphogluconolactonase	186.585
UniRef50_Q49700: 6-phosphogluconolactonase|unclassified	186.585
UniRef50_UPI000408956F: hypothetical protein	186.399
UniRef50_UPI000408956F: hypothetical protein|unclassified	186.399
UniRef50_UPI00035E4C28: hypothetical protein	186.386
UniRef50_UPI00035E4C28: hypothetical protein|unclassified	186.386
UniRef50_UPI000406B82B: 2-dehydro-3-deoxygluconokinase	186.181
UniRef50_UPI000406B82B: 2-dehydro-3-deoxygluconokinase|unclassified	186.181
UniRef50_U6I3M3: Phosphoglycerate kinase	185.812
UniRef50_U6I3M3: Phosphoglycerate kinase|unclassified	185.812
UniRef50_UPI000363D319: hypothetical protein	185.771
UniRef50_UPI000363D319: hypothetical protein|unclassified	185.771
UniRef50_UPI000471CA8D: glucose 6-phosphate dehydrogenase	184.869
UniRef50_UPI000471CA8D: glucose 6-phosphate dehydrogenase|unclassified	184.869
UniRef50_U6ICK2: Aldehyde dehydrogenase, mitochondrial	184.821
UniRef50_U6ICK2: Aldehyde dehydrogenase, mitochondrial|unclassified	184.821
UniRef50_Q49988: Polyphosphate glucokinase	183.073
UniRef50_Q49988: Polyphosphate glucokinase|unclassified	183.073
UniRef50_UPI00040A4C07: glucokinase	182.989
UniRef50_UPI00040A4C07: glucokinase|unclassified	182.989
UniRef50_UPI0003B35BAC: aldehyde dehydrogenase	182.964
UniRef50_UPI0003B35BAC: aldehyde dehydrogenase|unclassified	182.964
UniRef50_UPI000406DA8B: aldehyde dehydrogenase	182.727
UniRef50_UPI000406DA8B: aldehyde dehydrogenase|unclassified	182.727
UniRef50_UPI000472D28E: hypothetical protein	181.949
UniRef50_UPI000472D28E: hypothetical protein|unclassified	181.949
UniRef50_UPI000474150A: glucokinase, partial	181.795
UniRef50_UPI000474150A: glucokinase, partial|unclassified	181.795
UniRef50_UPI000377F438: hypothetical protein	181.387
UniRef50_UPI000377F438: hypothetical protein|unclassified	181.387
UniRef50_UPI000374A862: aldehyde dehydrogenase, partial	181.275
UniRef50_UPI000374A862: aldehyde dehydrogenase, partial|unclassified	181.275
UniRef50_P0CD78: Phosphoglycerate kinase	181.095
UniRef50_P0CD78: Phosphoglycerate kinase|unclassified	181.095
UniRef50_UPI000370682B: aldehyde dehydrogenase, partial	180.974
UniRef50_UPI000370682B: aldehyde dehydrogenase, partial|unclassified	180.974
UniRef50_UPI00036DE708: hypothetical protein	180.889
UniRef50_UPI00036DE708: hypothetical protein|unclassified	180.889
UniRef50_Z5XAD0: Aldehyde dehydrogenase	180.398
UniRef50_Z5XAD0: Aldehyde dehydrogenase|unclassified	180.398
UniRef50_D7D633: SAF domain protein	179.574
UniRef50_D7D633: SAF domain protein|unclassified	179.574
UniRef50_UPI0000164CE6: hydroxypyruvate reductase, putative	178.222
UniRef50_UPI0000164CE6: hydroxypyruvate reductase, putative|unclassified	178.222
UniRef50_UPI0003B6FD8C: MULTISPECIES: phosphoglyceromutase	177.91
UniRef50_UPI0003B6FD8C: MULTISPECIES: phosphoglyceromutase|unclassified	177.91
UniRef50_I7DCH3	177.502
UniRef50_I7DCH3|unclassified	177.502
UniRef50_UPI0003FE46E6: 2-dehydro-3-deoxygluconokinase	177.316
UniRef50_UPI0003FE46E6: 2-dehydro-3-deoxygluconokinase|unclassified	177.316
UniRef50_I0H1F0	177.041
UniRef50_I0H1F0|unclassified	177.041
UniRef50_UPI0002E41A9A: hypothetical protein	176.921
UniRef50_UPI0002E41A9A: hypothetical protein|unclassified	176.921
UniRef50_Q31N23: Phosphoglycerate mutase	176.213
UniRef50_Q31N23: Phosphoglycerate mutase|unclassified	176.213
UniRef50_UPI0004652242: hypothetical protein	176.178
UniRef50_UPI0004652242: hypothetical protein|unclassified	176.178
UniRef50_UPI000477CD42: hypothetical protein	175.39
UniRef50_UPI000477CD42: hypothetical protein|unclassified	175.39
UniRef50_A9C0N1	175.086
UniRef50_A9C0N1|unclassified	175.086
UniRef50_P07205: Phosphoglycerate kinase 2	175.052
UniRef50_P07205: Phosphoglycerate kinase 2|unclassified	175.052
UniRef50_UPI00040B120B: hypothetical protein	174.823
UniRef50_UPI00040B120B: hypothetical protein|unclassified	174.823
UniRef50_UPI0003B3343E: mannitol 2-dehydrogenase	174.79
UniRef50_UPI0003B3343E: mannitol 2-dehydrogenase|unclassified	174.79
UniRef50_UPI0003627323: hypothetical protein, partial	174.712
UniRef50_UPI0003627323: hypothetical protein, partial|unclassified	174.712
UniRef50_C6XUN8: ROK family protein	174.076
UniRef50_C6XUN8: ROK family protein|unclassified	174.076
UniRef50_A0A022GKT3: Glucokinase	173.669
UniRef50_A0A022GKT3: Glucokinase|unclassified	173.669
UniRef50_UPI0003012BBA: hypothetical protein	173.13
UniRef50_UPI0003012BBA: hypothetical protein|unclassified	173.13
UniRef50_UPI000378B943: hypothetical protein	172.82
