# Gene Family	SampleEntner-Doudoroff_Pathway_Abundance-RPKs
UniRef50_B1ZL24: Major royal jelly protein	69.6110416516
UniRef50_B1ZL24: Major royal jelly protein|unclassified	69.6110416516
UniRef50_UPI0004752E35: aldehyde dehydrogenase, partial	69.5165354992
UniRef50_UPI0004752E35: aldehyde dehydrogenase, partial|unclassified	69.5165354992
UniRef50_UPI000289A687: glucokinase	69.4338159059
UniRef50_UPI000289A687: glucokinase|unclassified	69.4338159059
UniRef50_UPI00046FD0FC: succinate-semialdehyde dehydrogenase	69.3323414897
UniRef50_UPI00046FD0FC: succinate-semialdehyde dehydrogenase|unclassified	69.3323414897
UniRef50_UPI0003F69469: aldehyde dehydrogenase	68.9087722342
UniRef50_UPI0003F69469: aldehyde dehydrogenase|unclassified	68.9087722342
UniRef50_K1RUQ9: PfkB domain protein	68.4907647431
UniRef50_K1RUQ9: PfkB domain protein|unclassified	68.4907647431
UniRef50_Q0W8C9: Enolase	68.3616203013
UniRef50_Q0W8C9: Enolase|unclassified	68.3616203013
UniRef50_UPI0001851281: aldehyde dehydrogenase	68.2550244734
UniRef50_UPI0001851281: aldehyde dehydrogenase|unclassified	68.2550244734
UniRef50_Z5X869	68.2414564529
UniRef50_Z5X869|unclassified	68.2414564529
UniRef50_Q56198: Glucokinase	68.0094305861
UniRef50_Q56198: Glucokinase|unclassified	68.0094305861
UniRef50_Q4UYN4: NAD/NADP-dependent betaine aldehyde dehydrogenase	67.8148959494
UniRef50_Q4UYN4: NAD/NADP-dependent betaine aldehyde dehydrogenase|unclassified	67.8148959494
UniRef50_UPI0003729A13: hypothetical protein	67.7332105600
UniRef50_UPI0003729A13: hypothetical protein|unclassified	67.7332105600
UniRef50_K3X5U2	67.7056093948
UniRef50_K3X5U2|unclassified	67.7056093948
UniRef50_X1TQ39: Marine sediment metagenome DNA, contig: S12H4_S16181 (Fragment)	67.5001059685
UniRef50_X1TQ39: Marine sediment metagenome DNA, contig: S12H4_S16181 (Fragment)|unclassified	67.5001059685
UniRef50_UPI00036506D6: hypothetical protein	67.4621191161
UniRef50_UPI00036506D6: hypothetical protein|unclassified	67.4621191161
UniRef50_UPI0003B4A397: hypothetical protein, partial	67.4021993740
UniRef50_UPI0003B4A397: hypothetical protein, partial|unclassified	67.4021993740
UniRef50_Q9STS1: Betaine aldehyde dehydrogenase 2, mitochondrial	67.3014456155
UniRef50_Q9STS1: Betaine aldehyde dehydrogenase 2, mitochondrial|unclassified	67.3014456155
UniRef50_B1LVG3: SMP-30/Gluconolaconase/LRE domain protein	67.1570062651
UniRef50_B1LVG3: SMP-30/Gluconolaconase/LRE domain protein|unclassified	67.1570062651
UniRef50_P32872: Aldehyde dehydrogenase 2, mitochondrial	67.0748883788
UniRef50_P32872: Aldehyde dehydrogenase 2, mitochondrial|unclassified	67.0748883788
UniRef50_W4LMK8	66.6648082341
UniRef50_W4LMK8|unclassified	66.6648082341
UniRef50_Q8EUV2: Phosphoglycerate kinase	66.6581165031
UniRef50_Q8EUV2: Phosphoglycerate kinase|unclassified	66.6581165031
UniRef50_UPI000289C2D9: aldehyde dehydrogenase, partial	66.4319752536
UniRef50_UPI000289C2D9: aldehyde dehydrogenase, partial|unclassified	66.4319752536
UniRef50_UPI00047A6510: aldehyde dehydrogenase, partial	66.3640742237
UniRef50_UPI00047A6510: aldehyde dehydrogenase, partial|unclassified	66.3640742237
UniRef50_X1V404: Marine sediment metagenome DNA, contig: S12H4_S23026 (Fragment)	66.3288172307
UniRef50_X1V404: Marine sediment metagenome DNA, contig: S12H4_S23026 (Fragment)|unclassified	66.3288172307
UniRef50_B5HQY1: OpcA protein	65.9987771932
UniRef50_B5HQY1: OpcA protein|unclassified	65.9987771932
UniRef50_D5SRR9: ROK family protein	65.8701304755
UniRef50_D5SRR9: ROK family protein|unclassified	65.8701304755
UniRef50_UPI000370A33C: hypothetical protein, partial	65.6898245206
UniRef50_UPI000370A33C: hypothetical protein, partial|unclassified	65.6898245206
UniRef50_UPI00035D2CAF: hypothetical protein	65.6280817052
UniRef50_UPI00035D2CAF: hypothetical protein|unclassified	65.6280817052
UniRef50_UPI0001CBEF6A: gluconolactonase	65.4448129036
UniRef50_UPI0001CBEF6A: gluconolactonase|unclassified	65.4448129036
UniRef50_Q15SN0: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	65.4054880515
UniRef50_Q15SN0: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	65.4054880515
UniRef50_UPI0003C13108: PREDICTED: aldehyde dehydrogenase, mitochondrial-like	65.3243018217
UniRef50_UPI0003C13108: PREDICTED: aldehyde dehydrogenase, mitochondrial-like|unclassified	65.3243018217
UniRef50_UPI00021A5E44: PREDICTED: pyruvate kinase isozymes M1/M2-like	65.1858881746
UniRef50_UPI00021A5E44: PREDICTED: pyruvate kinase isozymes M1/M2-like|unclassified	65.1858881746
UniRef50_Q8MIF7: Phosphoglycerate kinase 2	64.9335428781
UniRef50_Q8MIF7: Phosphoglycerate kinase 2|unclassified	64.9335428781
UniRef50_UPI00036F43D2: hypothetical protein	64.7663420087
UniRef50_UPI00036F43D2: hypothetical protein|unclassified	64.7663420087
UniRef50_UPI00042C08BB: PREDICTED: aldehyde dehydrogenase family 16 member A1-like, partial	64.6531811510
UniRef50_UPI00042C08BB: PREDICTED: aldehyde dehydrogenase family 16 member A1-like, partial|unclassified	64.6531811510
UniRef50_P12693: Aldehyde dehydrogenase	64.6399426896
UniRef50_P12693: Aldehyde dehydrogenase|unclassified	64.6399426896
UniRef50_UPI000478CFC4: hypothetical protein	64.6185133104
UniRef50_UPI000478CFC4: hypothetical protein|unclassified	64.6185133104
UniRef50_UPI00047D7A7D: D-mannonate oxidoreductase	64.5953093279
UniRef50_UPI00047D7A7D: D-mannonate oxidoreductase|unclassified	64.5953093279
UniRef50_UPI000368D5FA: hypothetical protein	64.4117736787
UniRef50_UPI000368D5FA: hypothetical protein|unclassified	64.4117736787
UniRef50_UPI0002DCA912: hypothetical protein	64.4083782724
UniRef50_UPI0002DCA912: hypothetical protein|unclassified	64.4083782724
UniRef50_UPI0003EC0FF7: PREDICTED: retinal dehydrogenase 1-like	64.3830368479
UniRef50_UPI0003EC0FF7: PREDICTED: retinal dehydrogenase 1-like|unclassified	64.3830368479
UniRef50_UPI00035C7317: hypothetical protein	64.3543013406
UniRef50_UPI00035C7317: hypothetical protein|unclassified	64.3543013406
UniRef50_R5CA82	64.3493846519
UniRef50_R5CA82|unclassified	64.3493846519
UniRef50_Q979Z9: Enolase	64.1903479693
UniRef50_Q979Z9: Enolase|unclassified	64.1903479693
UniRef50_Q4UTT4: Regucalcin	64.0482817734
UniRef50_Q4UTT4: Regucalcin|unclassified	64.0482817734
UniRef50_Q74L45: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 2	63.8676278322
UniRef50_Q74L45: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 2|unclassified	63.8676278322
UniRef50_Q29491: Aldehyde dehydrogenase, cytosolic 2 (Fragment)	63.6136981419
UniRef50_Q29491: Aldehyde dehydrogenase, cytosolic 2 (Fragment)|unclassified	63.6136981419
UniRef50_UPI0003642D67: hypothetical protein	63.5667063751
UniRef50_UPI0003642D67: hypothetical protein|unclassified	63.5667063751
UniRef50_UPI0002FC7EA0: hypothetical protein	62.8582920785
UniRef50_UPI0002FC7EA0: hypothetical protein|unclassified	62.8582920785
UniRef50_F0CBF4: Gluconolactonase	62.6443025064
UniRef50_F0CBF4: Gluconolactonase|unclassified	62.6443025064
UniRef50_UPI000273B328: PREDICTED: glyceraldehyde-3-phosphate dehydrogenase-like	62.6008965827
UniRef50_UPI000273B328: PREDICTED: glyceraldehyde-3-phosphate dehydrogenase-like|unclassified	62.6008965827
UniRef50_F3GP02: Gluconolactonase (Fragment)	62.5772564835
UniRef50_F3GP02: Gluconolactonase (Fragment)|unclassified	62.5772564835
UniRef50_UPI00036C82EC: hypothetical protein	62.2721218384
UniRef50_UPI00036C82EC: hypothetical protein|unclassified	62.2721218384
UniRef50_Q27788: Pyruvate kinase	62.2452832978
UniRef50_Q27788: Pyruvate kinase|unclassified	62.2452832978
UniRef50_UPI00036B9B06: hypothetical protein	62.1893935780
UniRef50_UPI00036B9B06: hypothetical protein|unclassified	62.1893935780
UniRef50_U6HXK3: Phosphoglycerate mutase	62.1551892178
UniRef50_U6HXK3: Phosphoglycerate mutase|unclassified	62.1551892178
UniRef50_U4TRZ7	62.0944196964
UniRef50_U4TRZ7|unclassified	62.0944196964
UniRef50_K2F573: CarR	62.0339625271
UniRef50_K2F573: CarR|unclassified	62.0339625271
UniRef50_UPI0002E133C5: hypothetical protein	61.6010640956
UniRef50_UPI0002E133C5: hypothetical protein|unclassified	61.6010640956
UniRef50_I0QNH3: Gluconolactonase (Gnl)	61.4892890722
UniRef50_I0QNH3: Gluconolactonase (Gnl)|unclassified	61.4892890722
UniRef50_UPI0003B36672: aldehyde dehydrogenase	61.4603287185
UniRef50_UPI0003B36672: aldehyde dehydrogenase|unclassified	61.4603287185
UniRef50_W4S4K8: Gluconolactonase	61.3914544978
UniRef50_W4S4K8: Gluconolactonase|unclassified	61.3914544978
UniRef50_C6BDS0: SMP-30/Gluconolaconase/LRE domain protein	61.2858148536
UniRef50_C6BDS0: SMP-30/Gluconolaconase/LRE domain protein|unclassified	61.2858148536
UniRef50_UPI0003831061: hypothetical protein M271_02155	60.4904862666
UniRef50_UPI0003831061: hypothetical protein M271_02155|unclassified	60.4904862666
UniRef50_A9W781: SMP-30/Gluconolaconase/LRE domain protein	60.3655592423
UniRef50_A9W781: SMP-30/Gluconolaconase/LRE domain protein|unclassified	60.3655592423
UniRef50_UPI000164B256: hypothetical protein	60.2193913251
UniRef50_UPI000164B256: hypothetical protein|unclassified	60.2193913251
UniRef50_F6C879: ROK family protein	60.1065337934
UniRef50_F6C879: ROK family protein|unclassified	60.1065337934
UniRef50_P46329: Probable aldehyde dehydrogenase AldX	60.0155219724
UniRef50_P46329: Probable aldehyde dehydrogenase AldX|unclassified	60.0155219724
UniRef50_UPI00036A03DE: hypothetical protein	59.9844257447
UniRef50_UPI00036A03DE: hypothetical protein|unclassified	59.9844257447
UniRef50_W4U5X0: D-mannonate oxidoreductase	59.8585503219
UniRef50_W4U5X0: D-mannonate oxidoreductase|unclassified	59.8585503219
UniRef50_Q2NG02: Enolase	59.8128482095
UniRef50_Q2NG02: Enolase|unclassified	59.8128482095
UniRef50_D9Y0V8: Oxppcycle protein OpcA (Fragment)	59.8036102363
UniRef50_D9Y0V8: Oxppcycle protein OpcA (Fragment)|unclassified	59.8036102363
UniRef50_UPI00045E8A17: mannitol dehydrogenase	59.7987352019
UniRef50_UPI00045E8A17: mannitol dehydrogenase|unclassified	59.7987352019
UniRef50_UPI00035EFD2A: hypothetical protein, partial	59.6307508694
UniRef50_UPI00035EFD2A: hypothetical protein, partial|unclassified	59.6307508694
UniRef50_UPI000255DBFF: aldose 1-epimerase	59.4069873870
UniRef50_UPI000255DBFF: aldose 1-epimerase|unclassified	59.4069873870
UniRef50_UPI000346A3C4: hypothetical protein	59.2767349296
UniRef50_UPI000346A3C4: hypothetical protein|unclassified	59.2767349296
UniRef50_UPI0003B49A92: glyceraldehyde-3-phosphate dehydrogenase	59.1659291366
UniRef50_UPI0003B49A92: glyceraldehyde-3-phosphate dehydrogenase|unclassified	59.1659291366
UniRef50_UPI0004422EE7: PREDICTED: aldehyde dehydrogenase family 16 member A1 isoform X3	59.1066677052
UniRef50_UPI0004422EE7: PREDICTED: aldehyde dehydrogenase family 16 member A1 isoform X3|unclassified	59.1066677052
UniRef50_P63339: 6-phosphogluconolactonase	59.0942020052
UniRef50_P63339: 6-phosphogluconolactonase|unclassified	59.0942020052
UniRef50_UPI00037F1559: hypothetical protein	58.9721721789
UniRef50_UPI00037F1559: hypothetical protein|unclassified	58.9721721789
UniRef50_Q2JX85: OpcA protein	58.9173971917
UniRef50_Q2JX85: OpcA protein|unclassified	58.9173971917
UniRef50_G9WVD7	58.8950019549
UniRef50_G9WVD7|unclassified	58.8950019549
UniRef50_G8MHI9	58.7990138787
UniRef50_G8MHI9|unclassified	58.7990138787
UniRef50_L0DMU2: Gluconolactonase	58.7247012459
UniRef50_L0DMU2: Gluconolactonase|unclassified	58.7247012459
UniRef50_UPI0000E48FF4: PREDICTED: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1-like	58.6663593957
UniRef50_UPI0000E48FF4: PREDICTED: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1-like|unclassified	58.6663593957
UniRef50_UPI00046801A7: pyruvate kinase	58.6216737914
UniRef50_UPI00046801A7: pyruvate kinase|unclassified	58.6216737914
UniRef50_UPI0002D51FEF: hypothetical protein	58.6007241867
UniRef50_UPI0002D51FEF: hypothetical protein|unclassified	58.6007241867
UniRef50_F5Y3C8	58.5707709095
UniRef50_F5Y3C8|unclassified	58.5707709095
UniRef50_O34940: Putative sugar lactone lactonase YvrE	58.3656002109
UniRef50_O34940: Putative sugar lactone lactonase YvrE|unclassified	58.3656002109
UniRef50_UPI000382A1A7: hypothetical protein	58.2655414579
UniRef50_UPI000382A1A7: hypothetical protein|unclassified	58.2655414579
UniRef50_UPI000372BEA9: hypothetical protein	58.0047420574
UniRef50_UPI000372BEA9: hypothetical protein|unclassified	58.0047420574
UniRef50_UPI0003B3F71C: aldose 1-epimerase	57.9468733903
UniRef50_UPI0003B3F71C: aldose 1-epimerase|unclassified	57.9468733903
UniRef50_UPI00031499D5: aldehyde dehydrogenase	57.8196213080
UniRef50_UPI00031499D5: aldehyde dehydrogenase|unclassified	57.8196213080
UniRef50_M0F6B7: Hydroxypyruvate reductase	57.7376718322
UniRef50_M0F6B7: Hydroxypyruvate reductase|unclassified	57.7376718322
UniRef50_X1KLH6: Marine sediment metagenome DNA, contig: S06H3_L03027 (Fragment)	57.6947713115
UniRef50_X1KLH6: Marine sediment metagenome DNA, contig: S06H3_L03027 (Fragment)|unclassified	57.6947713115
UniRef50_UPI00039B0547: polyphosphate glucokinase	57.6774343613
UniRef50_UPI00039B0547: polyphosphate glucokinase|unclassified	57.6774343613
UniRef50_UPI0002B9AD98: hypothetical protein	57.6709786706
UniRef50_UPI0002B9AD98: hypothetical protein|unclassified	57.6709786706
UniRef50_UPI000380B069: hypothetical protein, partial	57.6049938777
UniRef50_UPI000380B069: hypothetical protein, partial|unclassified	57.6049938777
UniRef50_UPI0003789CFA: hypothetical protein, partial	57.5028045920
UniRef50_UPI0003789CFA: hypothetical protein, partial|unclassified	57.5028045920
UniRef50_UPI00036F0C0E: hypothetical protein	57.3518141500
UniRef50_UPI00036F0C0E: hypothetical protein|unclassified	57.3518141500
UniRef50_UPI0003B3C826: aldose 1-epimerase	57.3353170732
UniRef50_UPI0003B3C826: aldose 1-epimerase|unclassified	57.3353170732
UniRef50_B0B7Q0: Pyruvate kinase	57.3108361530
UniRef50_B0B7Q0: Pyruvate kinase|unclassified	57.3108361530
UniRef50_UPI0003B44BD6: aldehyde dehydrogenase	57.0568492716
UniRef50_UPI0003B44BD6: aldehyde dehydrogenase|unclassified	57.0568492716
UniRef50_G8N9R6: Hydroxypyruvate reductase	56.9961738244
UniRef50_G8N9R6: Hydroxypyruvate reductase|unclassified	56.9961738244
UniRef50_UPI0002E5558A: hypothetical protein	56.7925714013
UniRef50_UPI0002E5558A: hypothetical protein|unclassified	56.7925714013
UniRef50_UPI00037C5312: hypothetical protein	56.6699292074
UniRef50_UPI00037C5312: hypothetical protein|unclassified	56.6699292074
UniRef50_Q72VB8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	56.6324313880
UniRef50_Q72VB8: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	56.6324313880
UniRef50_Q9A6N1: 6-phosphogluconolactonase	56.3749336832
UniRef50_Q9A6N1: 6-phosphogluconolactonase|unclassified	56.3749336832
UniRef50_C9YY81	56.3554686166
UniRef50_C9YY81|unclassified	56.3554686166
UniRef50_D2NF82: Truncated altronate dehydratase	56.2326577093
UniRef50_D2NF82: Truncated altronate dehydratase|unclassified	56.2326577093
UniRef50_UPI00041D43A5: hypothetical protein	56.0246857213
UniRef50_UPI00041D43A5: hypothetical protein|unclassified	56.0246857213
UniRef50_I3UEC5: Gluconolactonase	56.0163487859
UniRef50_I3UEC5: Gluconolactonase|unclassified	56.0163487859
UniRef50_UPI00041A1C68: 6-phosphogluconolactonase	55.9862509691
UniRef50_UPI00041A1C68: 6-phosphogluconolactonase|unclassified	55.9862509691
UniRef50_UPI0004665CC5: betaine-aldehyde dehydrogenase	55.9457593037
UniRef50_UPI0004665CC5: betaine-aldehyde dehydrogenase|unclassified	55.9457593037
UniRef50_K2ADL5	55.8920790619
UniRef50_K2ADL5|unclassified	55.8920790619
UniRef50_UPI0001FFE20F: mannitol dehydrogenase, partial	55.8040685039
UniRef50_UPI0001FFE20F: mannitol dehydrogenase, partial|unclassified	55.8040685039
UniRef50_UPI0003747A07: hypothetical protein	55.7839017940
UniRef50_UPI0003747A07: hypothetical protein|unclassified	55.7839017940
UniRef50_Q5ZZU2: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	55.5528718392
UniRef50_Q5ZZU2: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	55.5528718392
UniRef50_A8TK67: Gluconolactonase	55.5111648788
UniRef50_A8TK67: Gluconolactonase|unclassified	55.5111648788
UniRef50_X6JES8	55.4080551614
UniRef50_X6JES8|unclassified	55.4080551614
UniRef50_UPI00040A4A10: betaine-aldehyde dehydrogenase	55.2751195657
UniRef50_UPI00040A4A10: betaine-aldehyde dehydrogenase|unclassified	55.2751195657
UniRef50_Q5L748: Phosphoglycerate kinase	55.2270364176
UniRef50_Q5L748: Phosphoglycerate kinase|unclassified	55.2270364176
UniRef50_UPI00036639B0: hypothetical protein	54.9880931809
UniRef50_UPI00036639B0: hypothetical protein|unclassified	54.9880931809
UniRef50_UPI000378CABF: hypothetical protein	54.9818723548
UniRef50_UPI000378CABF: hypothetical protein|unclassified	54.9818723548
UniRef50_M5EHA4	54.9204422021
UniRef50_M5EHA4|unclassified	54.9204422021
UniRef50_UPI00042BB2C5: PREDICTED: glyceraldehyde-3-phosphate dehydrogenase-like	54.8495152922
UniRef50_UPI00042BB2C5: PREDICTED: glyceraldehyde-3-phosphate dehydrogenase-like|unclassified	54.8495152922
UniRef50_UPI00046E53CD: hypothetical protein, partial	54.8009367242
UniRef50_UPI00046E53CD: hypothetical protein, partial|unclassified	54.8009367242
UniRef50_P39829: D-galactarate dehydratase	54.7498956778
UniRef50_P39829: D-galactarate dehydratase|unclassified	54.7498956778
UniRef50_UPI00037DF5B2: hypothetical protein	54.7339071687
UniRef50_UPI00037DF5B2: hypothetical protein|unclassified	54.7339071687
UniRef50_UPI0004771957: pyruvate kinase	54.7164949636
UniRef50_UPI0004771957: pyruvate kinase|unclassified	54.7164949636
UniRef50_UPI00036E6CAE: hypothetical protein	54.5681550621
UniRef50_UPI00036E6CAE: hypothetical protein|unclassified	54.5681550621
UniRef50_UPI0003FEDC86: glucokinase	54.5525834377
UniRef50_UPI0003FEDC86: glucokinase|unclassified	54.5525834377
UniRef50_UPI0003138663: hypothetical protein	54.5068022547
UniRef50_UPI0003138663: hypothetical protein|unclassified	54.5068022547
UniRef50_O59808: Probable betaine aldehyde dehydrogenase	54.4697098841
UniRef50_O59808: Probable betaine aldehyde dehydrogenase|unclassified	54.4697098841
UniRef50_I4B4M9: ROK family protein	54.4314510847
UniRef50_I4B4M9: ROK family protein|unclassified	54.4314510847
UniRef50_UPI0003B432A5: 6-phosphogluconolactonase	54.3144291407
UniRef50_UPI0003B432A5: 6-phosphogluconolactonase|unclassified	54.3144291407
UniRef50_Q49700: 6-phosphogluconolactonase	54.3143097673
UniRef50_Q49700: 6-phosphogluconolactonase|unclassified	54.3143097673
UniRef50_UPI000408956F: hypothetical protein	54.2601813874
UniRef50_UPI000408956F: hypothetical protein|unclassified	54.2601813874
UniRef50_UPI00035E4C28: hypothetical protein	54.2563915393
UniRef50_UPI00035E4C28: hypothetical protein|unclassified	54.2563915393
UniRef50_UPI000406B82B: 2-dehydro-3-deoxygluconokinase	54.1967577341
UniRef50_UPI000406B82B: 2-dehydro-3-deoxygluconokinase|unclassified	54.1967577341
UniRef50_U6I3M3: Phosphoglycerate kinase	54.0894794357
UniRef50_U6I3M3: Phosphoglycerate kinase|unclassified	54.0894794357
UniRef50_UPI000363D319: hypothetical protein	54.0774456385
UniRef50_UPI000363D319: hypothetical protein|unclassified	54.0774456385
UniRef50_UPI000471CA8D: glucose 6-phosphate dehydrogenase	53.8148363381
UniRef50_UPI000471CA8D: glucose 6-phosphate dehydrogenase|unclassified	53.8148363381
UniRef50_U6ICK2: Aldehyde dehydrogenase, mitochondrial	53.8007674301
UniRef50_U6ICK2: Aldehyde dehydrogenase, mitochondrial|unclassified	53.8007674301
UniRef50_Q49988: Polyphosphate glucokinase	53.2919766750
UniRef50_Q49988: Polyphosphate glucokinase|unclassified	53.2919766750
UniRef50_UPI00040A4C07: glucokinase	53.2677138077
UniRef50_UPI00040A4C07: glucokinase|unclassified	53.2677138077
UniRef50_UPI0003B35BAC: aldehyde dehydrogenase	53.2603925013
UniRef50_UPI0003B35BAC: aldehyde dehydrogenase|unclassified	53.2603925013
UniRef50_UPI000406DA8B: aldehyde dehydrogenase	53.1913226665
UniRef50_UPI000406DA8B: aldehyde dehydrogenase|unclassified	53.1913226665
UniRef50_UPI000472D28E: hypothetical protein	52.9649806027
UniRef50_UPI000472D28E: hypothetical protein|unclassified	52.9649806027
UniRef50_UPI000474150A: glucokinase, partial	52.9200898864
UniRef50_UPI000474150A: glucokinase, partial|unclassified	52.9200898864
UniRef50_UPI000377F438: hypothetical protein	52.8013422688
UniRef50_UPI000377F438: hypothetical protein|unclassified	52.8013422688
UniRef50_UPI000374A862: aldehyde dehydrogenase, partial	52.7686716665
UniRef50_UPI000374A862: aldehyde dehydrogenase, partial|unclassified	52.7686716665
UniRef50_P0CD78: Phosphoglycerate kinase	52.7162859307
UniRef50_P0CD78: Phosphoglycerate kinase|unclassified	52.7162859307
UniRef50_UPI000370682B: aldehyde dehydrogenase, partial	52.6809374800
UniRef50_UPI000370682B: aldehyde dehydrogenase, partial|unclassified	52.6809374800
UniRef50_UPI00036DE708: hypothetical protein	52.6563797421
UniRef50_UPI00036DE708: hypothetical protein|unclassified	52.6563797421
UniRef50_Z5XAD0: Aldehyde dehydrogenase	52.5133349075
UniRef50_Z5XAD0: Aldehyde dehydrogenase|unclassified	52.5133349075
UniRef50_D7D633: SAF domain protein	52.2734304241
UniRef50_D7D633: SAF domain protein|unclassified	52.2734304241
UniRef50_UPI0000164CE6: hydroxypyruvate reductase, putative	51.8799260111
UniRef50_UPI0000164CE6: hydroxypyruvate reductase, putative|unclassified	51.8799260111
UniRef50_UPI0003B6FD8C: MULTISPECIES: phosphoglyceromutase	51.7890072605
UniRef50_UPI0003B6FD8C: MULTISPECIES: phosphoglyceromutase|unclassified	51.7890072605
UniRef50_I7DCH3	51.6703724210
UniRef50_I7DCH3|unclassified	51.6703724210
UniRef50_UPI0003FE46E6: 2-dehydro-3-deoxygluconokinase	51.6162251495
UniRef50_UPI0003FE46E6: 2-dehydro-3-deoxygluconokinase|unclassified	51.6162251495
UniRef50_I0H1F0	51.5362458774
UniRef50_I0H1F0|unclassified	51.5362458774
UniRef50_UPI0002E41A9A: hypothetical protein	51.5012731715
UniRef50_UPI0002E41A9A: hypothetical protein|unclassified	51.5012731715
UniRef50_Q31N23: Phosphoglycerate mutase	51.2950500166
UniRef50_Q31N23: Phosphoglycerate mutase|unclassified	51.2950500166
UniRef50_UPI0004652242: hypothetical protein	51.2848316350
UniRef50_UPI0004652242: hypothetical protein|unclassified	51.2848316350
UniRef50_UPI000477CD42: hypothetical protein	51.0556893961
UniRef50_UPI000477CD42: hypothetical protein|unclassified	51.0556893961
UniRef50_A9C0N1	50.9671997667
UniRef50_A9C0N1|unclassified	50.9671997667
UniRef50_P07205: Phosphoglycerate kinase 2	50.9570814395
UniRef50_P07205: Phosphoglycerate kinase 2|unclassified	50.9570814395
UniRef50_UPI00040B120B: hypothetical protein	50.8903785255
UniRef50_UPI00040B120B: hypothetical protein|unclassified	50.8903785255
UniRef50_UPI0003B3343E: mannitol 2-dehydrogenase	50.8808761419
UniRef50_UPI0003B3343E: mannitol 2-dehydrogenase|unclassified	50.8808761419
UniRef50_UPI0003627323: hypothetical protein, partial	50.8583114271
UniRef50_UPI0003627323: hypothetical protein, partial|unclassified	50.8583114271
UniRef50_C6XUN8: ROK family protein	50.6731985790
UniRef50_C6XUN8: ROK family protein|unclassified	50.6731985790
UniRef50_A0A022GKT3: Glucokinase	50.5545419769
UniRef50_A0A022GKT3: Glucokinase|unclassified	50.5545419769
UniRef50_UPI0003012BBA: hypothetical protein	50.3977160753
UniRef50_UPI0003012BBA: hypothetical protein|unclassified	50.3977160753
UniRef50_UPI000378B943: hypothetical protein	50.3074105355
UniRef50_UPI000378B943: hypothetical protein|unclassified	50.3074105355
UniRef50_UPI0003609D12: hypothetical protein	50.0749013133
UniRef50_UPI0003609D12: hypothetical protein|unclassified	50.0749013133
UniRef50_UPI00037F2CF7: hypothetical protein	49.8241199760
UniRef50_UPI00037F2CF7: hypothetical protein|unclassified	49.8241199760
UniRef50_Q9ZW34: Cytosolic enolase 3	49.8187420877
UniRef50_Q9ZW34: Cytosolic enolase 3|unclassified	49.8187420877
UniRef50_UPI00037641C7: hypothetical protein, partial	49.2740694974
UniRef50_UPI00037641C7: hypothetical protein, partial|unclassified	49.2740694974
UniRef50_UPI000360BA23: hypothetical protein	49.0465190108
UniRef50_UPI000360BA23: hypothetical protein|unclassified	49.0465190108
UniRef50_C0W4K1	48.9947782021
UniRef50_C0W4K1|unclassified	48.9947782021
UniRef50_UPI00036D10DB: aldehyde dehydrogenase, partial	48.9751767889
UniRef50_UPI00036D10DB: aldehyde dehydrogenase, partial|unclassified	48.9751767889
UniRef50_UPI00037C4724: hypothetical protein, partial	48.9582435564
UniRef50_UPI00037C4724: hypothetical protein, partial|unclassified	48.9582435564
UniRef50_X1GML3: Marine sediment metagenome DNA, contig: S03H2_S08789 (Fragment)	48.9389204936
UniRef50_X1GML3: Marine sediment metagenome DNA, contig: S03H2_S08789 (Fragment)|unclassified	48.9389204936
UniRef50_P54115: Magnesium-activated aldehyde dehydrogenase, cytosolic	48.8727326057
UniRef50_P54115: Magnesium-activated aldehyde dehydrogenase, cytosolic|unclassified	48.8727326057
UniRef50_UPI0002036836: PREDICTED: aldehyde dehydrogenase, mitochondrial-like	48.8581477949
UniRef50_UPI0002036836: PREDICTED: aldehyde dehydrogenase, mitochondrial-like|unclassified	48.8581477949
UniRef50_D9PKB4: Hydroxypyruvate reductase	48.8410044662
UniRef50_D9PKB4: Hydroxypyruvate reductase|unclassified	48.8410044662
UniRef50_C1F1S4: ROK family protein	48.6667973111
UniRef50_C1F1S4: ROK family protein|unclassified	48.6667973111
UniRef50_UPI0003701881: hypothetical protein	48.6293741045
UniRef50_UPI0003701881: hypothetical protein|unclassified	48.6293741045
UniRef50_UPI0003701F17: aldehyde dehydrogenase, partial	48.4793050215
UniRef50_UPI0003701F17: aldehyde dehydrogenase, partial|unclassified	48.4793050215
UniRef50_UPI00047549C1: oxidoreductase, partial	48.4542960031
UniRef50_UPI00047549C1: oxidoreductase, partial|unclassified	48.4542960031
UniRef50_B9LSK0: Phosphoglycerate kinase	48.3570587732
UniRef50_B9LSK0: Phosphoglycerate kinase|unclassified	48.3570587732
UniRef50_A0A011PIS7: Coniferyl aldehyde dehydrogenase	48.2541938294
