# Gene Family	SampleBacterial_Cytoskeleton_Abundance-RPKs
UniRef50_X8AWJ3: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	114.5179522258
UniRef50_UPI00047C4DC0: rod shape-determining protein MreC	114.4176007726
UniRef50_UPI00047C4DC0: rod shape-determining protein MreC|unclassified	114.4176007726
UniRef50_S1SDR1: Chromosome (Plasmid) partitioning protein ParA / Sporulation initiation inhibitor protein Soj	114.0946237120
UniRef50_S1SDR1: Chromosome (Plasmid) partitioning protein ParA / Sporulation initiation inhibitor protein Soj|unclassified	114.0946237120
UniRef50_UPI0002000160: integral membrane cell-cycle protein	113.9213080835
UniRef50_UPI0002000160: integral membrane cell-cycle protein|unclassified	113.9213080835
UniRef50_B2A466: Chromosome segregation ATPase	113.8444000965
UniRef50_B2A466: Chromosome segregation ATPase|unclassified	113.8444000965
UniRef50_UPI0003737B3F: hypothetical protein, partial	113.5043770825
UniRef50_UPI0003737B3F: hypothetical protein, partial|unclassified	113.5043770825
UniRef50_UPI0002FA030F: hypothetical protein	112.6170232821
UniRef50_UPI0002FA030F: hypothetical protein|unclassified	112.6170232821
UniRef50_UPI00035EB0A5: hypothetical protein	112.4069976495
UniRef50_UPI00035EB0A5: hypothetical protein|unclassified	112.4069976495
UniRef50_T0P762	110.4822622740
UniRef50_T0P762|unclassified	110.4822622740
UniRef50_Z2EKQ1	110.1456223412
UniRef50_Z2EKQ1|unclassified	110.1456223412
UniRef50_UPI000306D9E2: hypothetical protein	109.8161521639
UniRef50_UPI000306D9E2: hypothetical protein|unclassified	109.8161521639
UniRef50_UPI00035F7AC2: MULTISPECIES: hypothetical protein	109.3094956536
UniRef50_UPI00035F7AC2: MULTISPECIES: hypothetical protein|unclassified	109.3094956536
UniRef50_UPI00021A5773: PREDICTED: cell division protein ftsW-like	109.0992130891
UniRef50_UPI00021A5773: PREDICTED: cell division protein ftsW-like|unclassified	109.0992130891
UniRef50_UPI00045EA25B: cell division protein	108.1776752143
UniRef50_UPI00045EA25B: cell division protein|unclassified	108.1776752143
UniRef50_UPI0002376863: rod shape-determining protein mrec, partial	108.0997829189
UniRef50_UPI0002376863: rod shape-determining protein mrec, partial|unclassified	108.0997829189
UniRef50_UPI0002627C9E: stage III sporulation protein E	107.7505703017
UniRef50_UPI0002627C9E: stage III sporulation protein E|unclassified	107.7505703017
UniRef50_UPI00037462B3: hypothetical protein, partial	107.4892159585
UniRef50_UPI00037462B3: hypothetical protein, partial|unclassified	107.4892159585
UniRef50_K2EH82	107.0815422414
UniRef50_K2EH82|unclassified	107.0815422414
UniRef50_F2AAD1	106.7893487933
UniRef50_F2AAD1|unclassified	106.7893487933
UniRef50_UPI000475A780: rod shape-determining protein MreC	106.6711751291
UniRef50_UPI000475A780: rod shape-determining protein MreC|unclassified	106.6711751291
UniRef50_UPI0004662368: hypothetical protein	106.3365077115
UniRef50_UPI0004662368: hypothetical protein|unclassified	106.3365077115
UniRef50_R6B6J1	105.3142304220
UniRef50_R6B6J1|unclassified	105.3142304220
UniRef50_B9TIV5	105.2267915032
UniRef50_B9TIV5|unclassified	105.2267915032
UniRef50_UPI00040BF1F1: rod shape-determining protein MreC	105.1981908837
UniRef50_UPI00040BF1F1: rod shape-determining protein MreC|unclassified	105.1981908837
UniRef50_UPI000289BCBF: cell division protein FtsZ	104.9460972494
UniRef50_UPI000289BCBF: cell division protein FtsZ|unclassified	104.9460972494
UniRef50_L6YIB4: DNA translocase FtsK (Fragment)	104.8454013539
UniRef50_L6YIB4: DNA translocase FtsK (Fragment)|unclassified	104.8454013539
UniRef50_J9G9M0	104.7548207999
UniRef50_J9G9M0|unclassified	104.7548207999
UniRef50_UPI0003663675: hypothetical protein, partial	104.5869971932
UniRef50_UPI0003663675: hypothetical protein, partial|unclassified	104.5869971932
UniRef50_UPI00031605EC: hypothetical protein	104.2500854332
UniRef50_UPI00031605EC: hypothetical protein|unclassified	104.2500854332
UniRef50_UPI000473B3F7: hypothetical protein, partial	103.1934912724
UniRef50_UPI000473B3F7: hypothetical protein, partial|unclassified	103.1934912724
UniRef50_K2HVM5: Chromosome partitioning protein ParA	102.3845540972
UniRef50_K2HVM5: Chromosome partitioning protein ParA|unclassified	102.3845540972
UniRef50_N0GGZ6: DNA translocase ftsK	102.3696136203
UniRef50_N0GGZ6: DNA translocase ftsK|unclassified	102.3696136203
UniRef50_X3F1E3	102.1691856748
UniRef50_X3F1E3|unclassified	102.1691856748
UniRef50_UPI0002888D23: stage 0 sporulation protein J	101.3129100057
UniRef50_UPI0002888D23: stage 0 sporulation protein J|unclassified	101.3129100057
UniRef50_A7FVW2: Conserved domain protein	100.8869992304
UniRef50_A7FVW2: Conserved domain protein|unclassified	100.8869992304
UniRef50_UPI0003B4AFC4: cell division protein FtsZ, partial	100.7996480095
UniRef50_UPI0003B4AFC4: cell division protein FtsZ, partial|unclassified	100.7996480095
UniRef50_UPI0003B6DB43: cell division protein FtsW	100.6611651786
UniRef50_UPI0003B6DB43: cell division protein FtsW|unclassified	100.6611651786
UniRef50_UPI000315DDA7: hypothetical protein	100.3541106206
UniRef50_UPI000315DDA7: hypothetical protein|unclassified	100.3541106206
UniRef50_UPI0002891F7A: selenocysteine lyase	100.3484593902
UniRef50_UPI0002891F7A: selenocysteine lyase|unclassified	100.3484593902
UniRef50_UPI000372CB1C: hypothetical protein	99.1574540835
UniRef50_UPI000372CB1C: hypothetical protein|unclassified	99.1574540835
UniRef50_UPI0003B7096B: cell division protein FtsQ	98.2960651456
UniRef50_UPI0003B7096B: cell division protein FtsQ|unclassified	98.2960651456
UniRef50_UPI00047A7F83: hypothetical protein	98.2704638786
UniRef50_UPI00047A7F83: hypothetical protein|unclassified	98.2704638786
UniRef50_W7WGK1	98.1079436521
UniRef50_W7WGK1|unclassified	98.1079436521
UniRef50_W1VHW8: Putative stage III sporulation DNA translocase E (Fragment)	97.7696805528
UniRef50_W1VHW8: Putative stage III sporulation DNA translocase E (Fragment)|unclassified	97.7696805528
UniRef50_UPI00036CDC75: hypothetical protein	97.2250481942
UniRef50_UPI00036CDC75: hypothetical protein|unclassified	97.2250481942
UniRef50_UPI0003B74573: cell division protein FtsK	97.2082904205
UniRef50_UPI0003B74573: cell division protein FtsK|unclassified	97.2082904205
UniRef50_UPI000367BCB1: hypothetical protein	96.9285656976
UniRef50_UPI000367BCB1: hypothetical protein|unclassified	96.9285656976
UniRef50_UPI0002556498: cell division protein FtsZ	96.7108911982
UniRef50_UPI0002556498: cell division protein FtsZ|unclassified	96.7108911982
UniRef50_UPI0003671DAD: hypothetical protein, partial	96.6502773978
UniRef50_UPI0003671DAD: hypothetical protein, partial|unclassified	96.6502773978
UniRef50_UPI0003B5C4DB: cell division protein MraZ	96.5847865750
UniRef50_UPI0003B5C4DB: cell division protein MraZ|unclassified	96.5847865750
UniRef50_UPI00045E6976: maf protein	96.5803256256
UniRef50_UPI00045E6976: maf protein|unclassified	96.5803256256
UniRef50_UPI000473DD5E: cell division protein FtsW, partial	96.3294080460
UniRef50_UPI000473DD5E: cell division protein FtsW, partial|unclassified	96.3294080460
UniRef50_UPI000372E4D6: hypothetical protein	95.5139490625
UniRef50_UPI000372E4D6: hypothetical protein|unclassified	95.5139490625
UniRef50_S3DK84	95.2744173638
UniRef50_S3DK84|unclassified	95.2744173638
UniRef50_UPI0001C4F4CB: glucose-inhibited division protein B gid	95.2213761758
UniRef50_UPI0001C4F4CB: glucose-inhibited division protein B gid|unclassified	95.2213761758
UniRef50_X2LYM7	94.9939082364
UniRef50_X2LYM7|unclassified	94.9939082364
UniRef50_K2DTF3	94.6332624671
UniRef50_K2DTF3|unclassified	94.6332624671
UniRef50_S5RHR6	94.4930139663
UniRef50_S5RHR6|unclassified	94.4930139663
UniRef50_UPI00034BD0E4: hypothetical protein	94.1628349588
UniRef50_UPI00034BD0E4: hypothetical protein|unclassified	94.1628349588
UniRef50_UPI0003B76CAF: rod shape-determining protein MreC, partial	93.5791121239
UniRef50_UPI0003B76CAF: rod shape-determining protein MreC, partial|unclassified	93.5791121239
UniRef50_E3ENU9: Chromosome partitioning protein	92.9039888210
UniRef50_E3ENU9: Chromosome partitioning protein|unclassified	92.9039888210
UniRef50_UPI00047D4A47: hypothetical protein	92.6619937682
UniRef50_UPI00047D4A47: hypothetical protein|unclassified	92.6619937682
UniRef50_UPI00047BADF6: cell division protein FtsK	92.3400462568
UniRef50_UPI00047BADF6: cell division protein FtsK|unclassified	92.3400462568
UniRef50_UPI00036AB9DA: hypothetical protein	92.1264065639
UniRef50_UPI00036AB9DA: hypothetical protein|unclassified	92.1264065639
UniRef50_UPI0003630717: hypothetical protein	91.6005609530
UniRef50_UPI0003630717: hypothetical protein|unclassified	91.6005609530
UniRef50_UPI00041F9AF9: rod shape-determining protein MreD	91.3542023831
UniRef50_UPI00041F9AF9: rod shape-determining protein MreD|unclassified	91.3542023831
UniRef50_UPI00040A246D: hypothetical protein	91.3177707861
UniRef50_UPI00040A246D: hypothetical protein|unclassified	91.3177707861
UniRef50_C2P7N5	90.7784534018
UniRef50_C2P7N5|unclassified	90.7784534018
UniRef50_UPI000262CF3D: septum formation inhibitor Maf	90.6479070996
UniRef50_UPI000262CF3D: septum formation inhibitor Maf|unclassified	90.6479070996
UniRef50_UPI0004740101: septum site-determining protein MinC, partial	90.4343266885
UniRef50_UPI0004740101: septum site-determining protein MinC, partial|unclassified	90.4343266885
UniRef50_X0UMF4: Marine sediment metagenome DNA, contig: S01H1_S11737	90.3516903905
UniRef50_X0UMF4: Marine sediment metagenome DNA, contig: S01H1_S11737|unclassified	90.3516903905
UniRef50_X8CMX6: Putative chromosome partitioning	90.0401316374
UniRef50_X8CMX6: Putative chromosome partitioning|unclassified	90.0401316374
UniRef50_Q4BUI5: Pilus assembly protein, membrane protein, required for motility	89.5595145855
UniRef50_Q4BUI5: Pilus assembly protein, membrane protein, required for motility|unclassified	89.5595145855
UniRef50_W2UX71	89.5279211730
UniRef50_W2UX71|unclassified	89.5279211730
UniRef50_UPI0001B46553: cell division protein FtsQ	89.2697172450
UniRef50_UPI0001B46553: cell division protein FtsQ|unclassified	89.2697172450
UniRef50_UPI000477F7F4: septum formation inhibitor Maf	88.9969740416
UniRef50_UPI000477F7F4: septum formation inhibitor Maf|unclassified	88.9969740416
UniRef50_P70808: ATP binding protein (Fragment)	88.8835063854
UniRef50_P70808: ATP binding protein (Fragment)|unclassified	88.8835063854
UniRef50_UPI000364ED49: hypothetical protein	88.8181416321
UniRef50_UPI000364ED49: hypothetical protein|unclassified	88.8181416321
UniRef50_P9WKX6	88.8089883707
UniRef50_P9WKX6|unclassified	88.8089883707
UniRef50_UPI00021970F5: cell division protein FtsW	88.4099015687
UniRef50_UPI00021970F5: cell division protein FtsW|unclassified	88.4099015687
UniRef50_A0K2M1: Chromosome segregation ATPase	88.2605784134
UniRef50_A0K2M1: Chromosome segregation ATPase|unclassified	88.2605784134
UniRef50_A0A038CQX5	88.1768079676
UniRef50_A0A038CQX5|unclassified	88.1768079676
UniRef50_K1EQL5	87.9457986739
UniRef50_K1EQL5|unclassified	87.9457986739
UniRef50_D1YHZ1	87.9054449731
UniRef50_D1YHZ1|unclassified	87.9054449731
UniRef50_E8S6A2: Cobyrinic acid ac-diamide synthase	87.5437972805
UniRef50_E8S6A2: Cobyrinic acid ac-diamide synthase|unclassified	87.5437972805
UniRef50_R7BS91: Site-determining protein	87.3142029630
UniRef50_R7BS91: Site-determining protein|unclassified	87.3142029630
UniRef50_L1MQU4	87.1470676921
UniRef50_L1MQU4|unclassified	87.1470676921
UniRef50_UPI0003B2F384: stage V sporulation protein E, partial	87.0928939078
UniRef50_UPI0003B2F384: stage V sporulation protein E, partial|unclassified	87.0928939078
UniRef50_UPI0003B30B37: cell division protein FtsK, partial	87.0407811541
UniRef50_UPI0003B30B37: cell division protein FtsK, partial|unclassified	87.0407811541
UniRef50_S6W1U3: Rod shape-determining protein MreC (Fragment)	86.9733137806
UniRef50_S6W1U3: Rod shape-determining protein MreC (Fragment)|unclassified	86.9733137806
UniRef50_D3R3N4	86.8829210562
UniRef50_D3R3N4|unclassified	86.8829210562
UniRef50_UPI000468BC56: cell division protein	86.8780827957
UniRef50_UPI000468BC56: cell division protein|unclassified	86.8780827957
UniRef50_UPI000317D899: hypothetical protein	86.7285105184
UniRef50_UPI000317D899: hypothetical protein|unclassified	86.7285105184
UniRef50_T2XN86: DNA FtsK/SpoIIIE translocase domain protein	86.4486700676
UniRef50_T2XN86: DNA FtsK/SpoIIIE translocase domain protein|unclassified	86.4486700676
UniRef50_UPI0003B6B493: cell division protein FtsK	86.3859113390
UniRef50_UPI0003B6B493: cell division protein FtsK|unclassified	86.3859113390
UniRef50_A8L8V5: Cobyrinic acid ac-diamide synthase	86.3807852058
UniRef50_A8L8V5: Cobyrinic acid ac-diamide synthase|unclassified	86.3807852058
UniRef50_UPI00037D88F3: hypothetical protein, partial	86.3573307690
UniRef50_UPI00037D88F3: hypothetical protein, partial|unclassified	86.3573307690
UniRef50_E6QG81: Protein mraZ	85.7463400140
UniRef50_E6QG81: Protein mraZ|unclassified	85.7463400140
UniRef50_S7IJR5: PBP2-transglycosylase/transpeptidase domain protein (Fragment)	85.6884875129
UniRef50_S7IJR5: PBP2-transglycosylase/transpeptidase domain protein (Fragment)|unclassified	85.6884875129
UniRef50_UPI0003B40C03: cell division protein FtsK	85.6062413227
UniRef50_UPI0003B40C03: cell division protein FtsK|unclassified	85.6062413227
UniRef50_X8CNJ4: Putative septum site determining protein	85.5153079832
UniRef50_X8CNJ4: Putative septum site determining protein|unclassified	85.5153079832
UniRef50_UPI00047205DF: hypothetical protein, partial	84.9153780506
UniRef50_UPI00047205DF: hypothetical protein, partial|unclassified	84.9153780506
UniRef50_C4SVX6: DNA translocase ftsK (Fragment)	84.9113207798
UniRef50_C4SVX6: DNA translocase ftsK (Fragment)|unclassified	84.9113207798
UniRef50_UPI0003744821: hypothetical protein	84.8384290902
UniRef50_UPI0003744821: hypothetical protein|unclassified	84.8384290902
UniRef50_UPI0003A43004: cell division protein FtsA	84.8149840154
UniRef50_UPI0003A43004: cell division protein FtsA|unclassified	84.8149840154
UniRef50_UPI00034D4D37: hypothetical protein	84.7312729897
UniRef50_UPI00034D4D37: hypothetical protein|unclassified	84.7312729897
UniRef50_U4ZE85	84.5622906278
UniRef50_U4ZE85|unclassified	84.5622906278
UniRef50_UPI0003B3BBAF: chromosome partitioning protein ParB	84.5524639774
UniRef50_UPI0003B3BBAF: chromosome partitioning protein ParB|unclassified	84.5524639774
UniRef50_I4ANY7: ATPase involved in chromosome partitioning	84.0279047992
UniRef50_I4ANY7: ATPase involved in chromosome partitioning|unclassified	84.0279047992
UniRef50_UPI00047BB1F9: hypothetical protein	83.8012542497
UniRef50_UPI00047BB1F9: hypothetical protein|unclassified	83.8012542497
UniRef50_UPI0003B5DD80: septum formation protein Maf	83.7351393526
UniRef50_UPI0003B5DD80: septum formation protein Maf|unclassified	83.7351393526
UniRef50_R7IBM9: Cobyrinic acid ac-diamide synthase	83.1912726292
UniRef50_R7IBM9: Cobyrinic acid ac-diamide synthase|unclassified	83.1912726292
UniRef50_UPI00035F4903: hypothetical protein	82.8181869382
UniRef50_UPI00035F4903: hypothetical protein|unclassified	82.8181869382
UniRef50_UPI0002893752: rod shape-determining protein	82.4634050799
UniRef50_UPI0002893752: rod shape-determining protein|unclassified	82.4634050799
UniRef50_UPI00046CAEE2: hypothetical protein	82.1859115634
UniRef50_UPI00046CAEE2: hypothetical protein|unclassified	82.1859115634
UniRef50_UPI0003670641: hypothetical protein	81.9676327219
UniRef50_UPI0003670641: hypothetical protein|unclassified	81.9676327219
UniRef50_UPI000467120E: hypothetical protein	81.5380633613
UniRef50_UPI000467120E: hypothetical protein|unclassified	81.5380633613
UniRef50_F4ACU0: Chromosome partitioning protein ParA	81.4774893235
UniRef50_F4ACU0: Chromosome partitioning protein ParA|unclassified	81.4774893235
UniRef50_U9WHR4	81.4583065631
UniRef50_U9WHR4|unclassified	81.4583065631
UniRef50_UPI000288CD8D: DNA translocase FtsK, partial	81.3663197784
UniRef50_UPI000288CD8D: DNA translocase FtsK, partial|unclassified	81.3663197784
UniRef50_UPI00026272FC: cell division protein FtsW	81.2822630663
UniRef50_UPI00026272FC: cell division protein FtsW|unclassified	81.2822630663
UniRef50_UPI0003B390C8: cell division protein FtsW	81.1673942101
UniRef50_UPI0003B390C8: cell division protein FtsW|unclassified	81.1673942101
UniRef50_UPI00036F4D48: hypothetical protein, partial	81.0443844957
UniRef50_UPI00036F4D48: hypothetical protein, partial|unclassified	81.0443844957
UniRef50_UPI0003EB4B9E: hypothetical protein, partial	80.3296869378
UniRef50_UPI0003EB4B9E: hypothetical protein, partial|unclassified	80.3296869378
UniRef50_UPI00036A9F14: hypothetical protein	80.1949038518
UniRef50_UPI00036A9F14: hypothetical protein|unclassified	80.1949038518
UniRef50_W6TN81: Rod shape-determining protein mreD	80.0691016111
UniRef50_W6TN81: Rod shape-determining protein mreD|unclassified	80.0691016111
UniRef50_UPI00046F27BA: hypothetical protein, partial	79.8791922633
UniRef50_UPI00046F27BA: hypothetical protein, partial|unclassified	79.8791922633
UniRef50_UPI0004631900: hypothetical protein, partial	79.4416836794
UniRef50_UPI0004631900: hypothetical protein, partial|unclassified	79.4416836794
UniRef50_B1SY05: Cobyrinic acid ac-diamide synthase	79.1827009743
UniRef50_B1SY05: Cobyrinic acid ac-diamide synthase|unclassified	79.1827009743
UniRef50_J9BUT6: ParB-like partition protein	79.0558643220
UniRef50_J9BUT6: ParB-like partition protein|unclassified	79.0558643220
UniRef50_E3EBR9	78.4490585930
UniRef50_E3EBR9|unclassified	78.4490585930
UniRef50_UPI000467DBCD: chromosome partitioning protein ParB	78.1926141804
UniRef50_UPI000467DBCD: chromosome partitioning protein ParB|unclassified	78.1926141804
UniRef50_X7F4V9	78.1796065893
UniRef50_X7F4V9|unclassified	78.1796065893
UniRef50_UPI00047010A2: hypothetical protein, partial	78.0969218903
UniRef50_UPI00047010A2: hypothetical protein, partial|unclassified	78.0969218903
UniRef50_S5VB17: ParB family chromosome partitioning protein	77.8199879791
UniRef50_S5VB17: ParB family chromosome partitioning protein|unclassified	77.8199879791
UniRef50_X1UBG7: Marine sediment metagenome DNA, contig: S12H4_S08205	77.7826096725
UniRef50_X1UBG7: Marine sediment metagenome DNA, contig: S12H4_S08205|unclassified	77.7826096725
UniRef50_UPI0004756DAB: chromosome partitioning protein	77.4358080436
UniRef50_UPI0004756DAB: chromosome partitioning protein|unclassified	77.4358080436
UniRef50_UPI00046F59B9: hypothetical protein	77.2516134640
UniRef50_UPI00046F59B9: hypothetical protein|unclassified	77.2516134640
UniRef50_UPI00047A69B8: hypothetical protein	77.1595846043
UniRef50_UPI00047A69B8: hypothetical protein|unclassified	77.1595846043
UniRef50_W1YNI6: Cobyrinic acid ac-diamide synthase (Fragment)	77.0957374481
UniRef50_W1YNI6: Cobyrinic acid ac-diamide synthase (Fragment)|unclassified	77.0957374481
UniRef50_UPI00046D7D7C: hypothetical protein	77.0334484074
UniRef50_UPI00046D7D7C: hypothetical protein|unclassified	77.0334484074
UniRef50_UPI0003804921: hypothetical protein	76.9231658139
UniRef50_UPI0003804921: hypothetical protein|unclassified	76.9231658139
UniRef50_UPI000477B5B2: septum site-determining protein MinC	76.6928319126
UniRef50_UPI000477B5B2: septum site-determining protein MinC|unclassified	76.6928319126
UniRef50_UPI00036854FC: hypothetical protein, partial	76.6291658163
UniRef50_UPI00036854FC: hypothetical protein, partial|unclassified	76.6291658163
UniRef50_UPI000467654D: septum formation protein Maf	76.3540863526
UniRef50_UPI000467654D: septum formation protein Maf|unclassified	76.3540863526
UniRef50_X8F5R8	76.1120390262
UniRef50_X8F5R8|unclassified	76.1120390262
UniRef50_R5BBQ6	76.0712071914
UniRef50_R5BBQ6|unclassified	76.0712071914
UniRef50_UPI00037C4909: hypothetical protein	75.6085813757
UniRef50_UPI00037C4909: hypothetical protein|unclassified	75.6085813757
UniRef50_UPI0003FBA1E0: cell division protein FtsW	75.5884881354
UniRef50_UPI0003FBA1E0: cell division protein FtsW|unclassified	75.5884881354
UniRef50_UPI00036329AD: chromosome partitioning protein ParB	75.0235767950
UniRef50_UPI00036329AD: chromosome partitioning protein ParB|unclassified	75.0235767950
UniRef50_UPI0003812D39: hypothetical protein, partial	74.9723944804
UniRef50_UPI0003812D39: hypothetical protein, partial|unclassified	74.9723944804
UniRef50_UPI0004131DD1: hypothetical protein	74.9668964841
UniRef50_UPI0004131DD1: hypothetical protein|unclassified	74.9668964841
UniRef50_J0ILQ2: Septum formation domain protein	74.8985966317
UniRef50_J0ILQ2: Septum formation domain protein|unclassified	74.8985966317
UniRef50_UPI0004726DBA: hypothetical protein, partial	74.7057731801
UniRef50_UPI0004726DBA: hypothetical protein, partial|unclassified	74.7057731801
UniRef50_UPI0003B32626: septation inhibitor protein	74.5584380039
UniRef50_UPI0003B32626: septation inhibitor protein|unclassified	74.5584380039
UniRef50_UPI00042B5C55: Bacterial cytokinesis Z-ring protein FTSZ 1-1, putative	74.3087933265
UniRef50_UPI00042B5C55: Bacterial cytokinesis Z-ring protein FTSZ 1-1, putative|unclassified	74.3087933265
UniRef50_UPI000363341A: hypothetical protein	73.9693836647
UniRef50_UPI000363341A: hypothetical protein|unclassified	73.9693836647
UniRef50_X2MSU4: Regulatory protein	73.9103316810
UniRef50_X2MSU4: Regulatory protein|unclassified	73.9103316810
UniRef50_H8MEL9: ParA family protein	73.8646323423
UniRef50_H8MEL9: ParA family protein|unclassified	73.8646323423
UniRef50_C7NH75: Chromosome segregation ATPase	73.7847815959
UniRef50_C7NH75: Chromosome segregation ATPase|unclassified	73.7847815959
UniRef50_UPI0004677BBE: hypothetical protein	73.6400239647
UniRef50_UPI0004677BBE: hypothetical protein|unclassified	73.6400239647
UniRef50_UPI0003617488: hypothetical protein	73.4795359661
UniRef50_UPI0003617488: hypothetical protein|unclassified	73.4795359661
UniRef50_UPI0004094E50: cell division protein FtsK	73.4234034445
UniRef50_UPI0004094E50: cell division protein FtsK|unclassified	73.4234034445
UniRef50_UPI000288CBB8: cell division protein FtsW	73.0842356849
UniRef50_UPI000288CBB8: cell division protein FtsW|unclassified	73.0842356849
UniRef50_J9FYT8: ParB-like partition protein	72.9384989923
UniRef50_J9FYT8: ParB-like partition protein|unclassified	72.9384989923
UniRef50_S9YWQ0	72.7753239633
UniRef50_S9YWQ0|unclassified	72.7753239633
UniRef50_UPI00046FE003: hypothetical protein	72.4320677574
UniRef50_UPI00046FE003: hypothetical protein|unclassified	72.4320677574
UniRef50_S3E006: ParA	72.1764785290
UniRef50_S3E006: ParA|unclassified	72.1764785290
UniRef50_X0Y9M8: Marine sediment metagenome DNA, contig: S01H1_S36174 (Fragment)	72.1459626747
UniRef50_X0Y9M8: Marine sediment metagenome DNA, contig: S01H1_S36174 (Fragment)|unclassified	72.1459626747
UniRef50_UPI000474AAB4: septum formation inhibitor Maf	71.9202505100
UniRef50_UPI000474AAB4: septum formation inhibitor Maf|unclassified	71.9202505100
UniRef50_UPI0003096367: hypothetical protein	71.7718806362
UniRef50_UPI0003096367: hypothetical protein|unclassified	71.7718806362
UniRef50_UPI00039F9119: hypothetical protein	71.2675880333
UniRef50_UPI00039F9119: hypothetical protein|unclassified	71.2675880333
UniRef50_F8WWY3	70.9714819809
UniRef50_F8WWY3|unclassified	70.9714819809
UniRef50_UPI0002BA9213: hypothetical protein	70.9520590458
UniRef50_UPI0002BA9213: hypothetical protein|unclassified	70.9520590458
UniRef50_UPI00046F4EE0: hypothetical protein	70.8014516129
UniRef50_UPI00046F4EE0: hypothetical protein|unclassified	70.8014516129
UniRef50_A0A014NST6	70.4238924462
UniRef50_A0A014NST6|unclassified	70.4238924462
UniRef50_UPI0003699C21: MULTISPECIES: hypothetical protein	70.2617974940
UniRef50_UPI0003699C21: MULTISPECIES: hypothetical protein|unclassified	70.2617974940
UniRef50_W4S2R2: DNA translocase FtsK	69.6615223429
UniRef50_W4S2R2: DNA translocase FtsK|unclassified	69.6615223429
UniRef50_H3VT45	69.3224838201
UniRef50_H3VT45|unclassified	69.3224838201
UniRef50_W5X9T1: Capsule biosynthesis protein, putative	69.2152533841
UniRef50_W5X9T1: Capsule biosynthesis protein, putative|unclassified	69.2152533841
UniRef50_UPI0003B570ED: plasmid stablization protein ParB	69.0041616587
UniRef50_UPI0003B570ED: plasmid stablization protein ParB|unclassified	69.0041616587
UniRef50_X1UVY5: Marine sediment metagenome DNA, contig: S12H4_S02513 (Fragment)	68.6739760390
UniRef50_X1UVY5: Marine sediment metagenome DNA, contig: S12H4_S02513 (Fragment)|unclassified	68.6739760390
UniRef50_UPI00047400BC: cell division septal protein, partial	68.5164927645
UniRef50_UPI00047400BC: cell division septal protein, partial|unclassified	68.5164927645
UniRef50_UPI000408715A: septum formation protein Maf	68.3649340434
UniRef50_UPI000408715A: septum formation protein Maf|unclassified	68.3649340434
UniRef50_A6NWY5	68.2781975362
UniRef50_A6NWY5|unclassified	68.2781975362
UniRef50_C5C6N2: Cobyrinic acid ac-diamide synthase	68.1081971826
UniRef50_C5C6N2: Cobyrinic acid ac-diamide synthase|unclassified	68.1081971826
UniRef50_A9KLX3: Cobyrinic acid ac-diamide synthase	67.4418296049
UniRef50_A9KLX3: Cobyrinic acid ac-diamide synthase|unclassified	67.4418296049
UniRef50_UPI00047187BD: hypothetical protein	66.7164315760
UniRef50_UPI00047187BD: hypothetical protein|unclassified	66.7164315760
UniRef50_UPI0003828C8C: chromosome partitioning protein ParB, partial	66.7001851614
UniRef50_UPI0003828C8C: chromosome partitioning protein ParB, partial|unclassified	66.7001851614
UniRef50_UPI000476E064: hypothetical protein	66.5715106460
UniRef50_UPI000476E064: hypothetical protein|unclassified	66.5715106460
UniRef50_UPI0001A44C0D: cell division protein, partial	66.5392954520
UniRef50_UPI0001A44C0D: cell division protein, partial|unclassified	66.5392954520
UniRef50_K2BF11	66.4184560480
UniRef50_K2BF11|unclassified	66.4184560480
UniRef50_W4QTN1: Rod shape-determining protein MreC	66.3466243827
UniRef50_W4QTN1: Rod shape-determining protein MreC|unclassified	66.3466243827
UniRef50_UPI00041AB9A9: hypothetical protein	66.3289931462
UniRef50_UPI00041AB9A9: hypothetical protein|unclassified	66.3289931462
UniRef50_UPI000379B900: hypothetical protein	66.1884806104
UniRef50_UPI000379B900: hypothetical protein|unclassified	66.1884806104
UniRef50_A6WGM7: Cobyrinic acid ac-diamide synthase	66.1587048607
UniRef50_A6WGM7: Cobyrinic acid ac-diamide synthase|unclassified	66.1587048607
UniRef50_UPI000362AB32: hypothetical protein	66.0567437889
UniRef50_UPI000362AB32: hypothetical protein|unclassified	66.0567437889
UniRef50_UPI000426B8AC: plasmid stablization protein ParB	65.7783114770
UniRef50_UPI000426B8AC: plasmid stablization protein ParB|unclassified	65.7783114770
UniRef50_UPI00040136F9: rod shape-determining protein MreD	65.7696523491
UniRef50_UPI00040136F9: rod shape-determining protein MreD|unclassified	65.7696523491
UniRef50_W7DQU2: Cell-division initiation protein DivIVA	65.7006775693
UniRef50_W7DQU2: Cell-division initiation protein DivIVA|unclassified	65.7006775693
UniRef50_B4UFV7: Cobyrinic acid ac-diamide synthase	65.6922558190
UniRef50_B4UFV7: Cobyrinic acid ac-diamide synthase|unclassified	65.6922558190
UniRef50_X8CE49	65.6886082635
UniRef50_X8CE49|unclassified	65.6886082635
UniRef50_UPI000248C612: septum formation protein Maf	65.4722628867
UniRef50_UPI000248C612: septum formation protein Maf|unclassified	65.4722628867
UniRef50_W4D177	65.1532373123
UniRef50_W4D177|unclassified	65.1532373123
UniRef50_UPI00047EAC70: cell division protein FtsA	65.1302210282
