# Gene Family	SampleBacterial_Cytoskeleton_Abundance-CPM
UniRef50_J9FYT8: ParB-like partition protein	258.45
UniRef50_J9FYT8: ParB-like partition protein|unclassified	258.45
UniRef50_S9YWQ0	257.872
UniRef50_S9YWQ0|unclassified	257.872
UniRef50_UPI00046FE003: hypothetical protein	256.655
UniRef50_UPI00046FE003: hypothetical protein|unclassified	256.655
UniRef50_S3E006: ParA	255.75
UniRef50_S3E006: ParA|unclassified	255.75
UniRef50_X0Y9M8: Marine sediment metagenome DNA, contig: S01H1_S36174 (Fragment)	255.642
UniRef50_X0Y9M8: Marine sediment metagenome DNA, contig: S01H1_S36174 (Fragment)|unclassified	255.642
UniRef50_UPI000474AAB4: septum formation inhibitor Maf	254.842
UniRef50_UPI000474AAB4: septum formation inhibitor Maf|unclassified	254.842
UniRef50_UPI0003096367: hypothetical protein	254.316
UniRef50_UPI0003096367: hypothetical protein|unclassified	254.316
UniRef50_UPI00039F9119: hypothetical protein	252.529
UniRef50_UPI00039F9119: hypothetical protein|unclassified	252.529
UniRef50_F8WWY3	251.48
UniRef50_F8WWY3|unclassified	251.48
UniRef50_UPI0002BA9213: hypothetical protein	251.411
UniRef50_UPI0002BA9213: hypothetical protein|unclassified	251.411
UniRef50_UPI00046F4EE0: hypothetical protein	250.878
UniRef50_UPI00046F4EE0: hypothetical protein|unclassified	250.878
UniRef50_A0A014NST6	249.54
UniRef50_A0A014NST6|unclassified	249.54
UniRef50_UPI0003699C21: MULTISPECIES: hypothetical protein	248.965
UniRef50_UPI0003699C21: MULTISPECIES: hypothetical protein|unclassified	248.965
UniRef50_W4S2R2: DNA translocase FtsK	246.838
UniRef50_W4S2R2: DNA translocase FtsK|unclassified	246.838
UniRef50_H3VT45	245.637
UniRef50_H3VT45|unclassified	245.637
UniRef50_W5X9T1: Capsule biosynthesis protein, putative	245.257
UniRef50_W5X9T1: Capsule biosynthesis protein, putative|unclassified	245.257
UniRef50_UPI0003B570ED: plasmid stablization protein ParB	244.509
UniRef50_UPI0003B570ED: plasmid stablization protein ParB|unclassified	244.509
UniRef50_X1UVY5: Marine sediment metagenome DNA, contig: S12H4_S02513 (Fragment)	243.339
UniRef50_X1UVY5: Marine sediment metagenome DNA, contig: S12H4_S02513 (Fragment)|unclassified	243.339
UniRef50_UPI00047400BC: cell division septal protein, partial	242.781
UniRef50_UPI00047400BC: cell division septal protein, partial|unclassified	242.781
UniRef50_UPI000408715A: septum formation protein Maf	242.244
UniRef50_UPI000408715A: septum formation protein Maf|unclassified	242.244
UniRef50_A6NWY5	241.937
UniRef50_A6NWY5|unclassified	241.937
UniRef50_C5C6N2: Cobyrinic acid ac-diamide synthase	241.334
UniRef50_C5C6N2: Cobyrinic acid ac-diamide synthase|unclassified	241.334
UniRef50_A9KLX3: Cobyrinic acid ac-diamide synthase	238.973
UniRef50_A9KLX3: Cobyrinic acid ac-diamide synthase|unclassified	238.973
UniRef50_UPI00047187BD: hypothetical protein	236.403
UniRef50_UPI00047187BD: hypothetical protein|unclassified	236.403
UniRef50_UPI0003828C8C: chromosome partitioning protein ParB, partial	236.345
UniRef50_UPI0003828C8C: chromosome partitioning protein ParB, partial|unclassified	236.345
UniRef50_UPI000476E064: hypothetical protein	235.889
UniRef50_UPI000476E064: hypothetical protein|unclassified	235.889
UniRef50_UPI0001A44C0D: cell division protein, partial	235.775
UniRef50_UPI0001A44C0D: cell division protein, partial|unclassified	235.775
UniRef50_K2BF11	235.347
UniRef50_K2BF11|unclassified	235.347
UniRef50_W4QTN1: Rod shape-determining protein MreC	235.092
UniRef50_W4QTN1: Rod shape-determining protein MreC|unclassified	235.092
UniRef50_UPI00041AB9A9: hypothetical protein	235.03
UniRef50_UPI00041AB9A9: hypothetical protein|unclassified	235.03
UniRef50_UPI000379B900: hypothetical protein	234.532
UniRef50_UPI000379B900: hypothetical protein|unclassified	234.532
UniRef50_A6WGM7: Cobyrinic acid ac-diamide synthase	234.426
UniRef50_A6WGM7: Cobyrinic acid ac-diamide synthase|unclassified	234.426
UniRef50_UPI000362AB32: hypothetical protein	234.065
UniRef50_UPI000362AB32: hypothetical protein|unclassified	234.065
UniRef50_UPI000426B8AC: plasmid stablization protein ParB	233.079
UniRef50_UPI000426B8AC: plasmid stablization protein ParB|unclassified	233.079
UniRef50_UPI00040136F9: rod shape-determining protein MreD	233.048
UniRef50_UPI00040136F9: rod shape-determining protein MreD|unclassified	233.048
UniRef50_W7DQU2: Cell-division initiation protein DivIVA	232.803
UniRef50_W7DQU2: Cell-division initiation protein DivIVA|unclassified	232.803
UniRef50_B4UFV7: Cobyrinic acid ac-diamide synthase	232.774
UniRef50_B4UFV7: Cobyrinic acid ac-diamide synthase|unclassified	232.774
UniRef50_X8CE49	232.761
UniRef50_X8CE49|unclassified	232.761
UniRef50_UPI000248C612: septum formation protein Maf	231.994
UniRef50_UPI000248C612: septum formation protein Maf|unclassified	231.994
UniRef50_W4D177	230.864
UniRef50_W4D177|unclassified	230.864
UniRef50_UPI00047EAC70: cell division protein FtsA	230.782
UniRef50_UPI00047EAC70: cell division protein FtsA|unclassified	230.782
UniRef50_UPI000347EC3A: cell division protein FtsW	230.659
UniRef50_UPI000347EC3A: cell division protein FtsW|unclassified	230.659
UniRef50_A7N814: Chromosome partitioning protein ParA	230.629
UniRef50_A7N814: Chromosome partitioning protein ParA|unclassified	230.629
UniRef50_UPI000255907C: cell division protein FtsQ	229.808
UniRef50_UPI000255907C: cell division protein FtsQ|unclassified	229.808
UniRef50_UPI000255BCBD: rod shape-determining protein MreC	228.97
UniRef50_UPI000255BCBD: rod shape-determining protein MreC|unclassified	228.97
UniRef50_UPI0000E105FB: Maf	228.83
UniRef50_UPI0000E105FB: Maf|unclassified	228.83
UniRef50_UPI0003A7DD2B: septum site-determining protein MinC	228.231
UniRef50_UPI0003A7DD2B: septum site-determining protein MinC|unclassified	228.231
UniRef50_UPI00037C2E2E: hypothetical protein, partial	228.198
UniRef50_UPI00037C2E2E: hypothetical protein, partial|unclassified	228.198
UniRef50_R5FLK7: Sporulation initiation inhibitor protein Soj	228.03
UniRef50_R5FLK7: Sporulation initiation inhibitor protein Soj|unclassified	228.03
UniRef50_G7JDP9: Plastid division regulator MinD (Fragment)	227.955
UniRef50_G7JDP9: Plastid division regulator MinD (Fragment)|unclassified	227.955
UniRef50_UPI00047B7D80: cell division protein	226.619
UniRef50_UPI00047B7D80: cell division protein|unclassified	226.619
UniRef50_K9XHW6: Type IV pilus assembly protein PilM	226.025
UniRef50_K9XHW6: Type IV pilus assembly protein PilM|unclassified	226.025
UniRef50_UPI00046A00FD: hypothetical protein	225.689
UniRef50_UPI00046A00FD: hypothetical protein|unclassified	225.689
UniRef50_UPI000474C0B7: cell cycle protein	225.47
UniRef50_UPI000474C0B7: cell cycle protein|unclassified	225.47
UniRef50_UPI00046EEFAA: rod shape-determining protein MreC, partial	225.392
UniRef50_UPI00046EEFAA: rod shape-determining protein MreC, partial|unclassified	225.392
UniRef50_K2AN26	223.428
UniRef50_K2AN26|unclassified	223.428
UniRef50_W0EHK7: Plasmid stablization protein ParB	223.119
UniRef50_W0EHK7: Plasmid stablization protein ParB|unclassified	223.119
UniRef50_UPI00016C01B1: stage V sporulation protein E	220.492
UniRef50_UPI00016C01B1: stage V sporulation protein E|unclassified	220.492
UniRef50_K2M608: DNA translocase (Fragment)	220.483
UniRef50_K2M608: DNA translocase (Fragment)|unclassified	220.483
UniRef50_UPI0003B4D6A8: hypothetical protein	220.276
UniRef50_UPI0003B4D6A8: hypothetical protein|unclassified	220.276
UniRef50_UPI00036028E8: hypothetical protein	220.175
UniRef50_UPI00036028E8: hypothetical protein|unclassified	220.175
UniRef50_H7F7Y4: Partition protein, ParA family (Fragment)	218.582
UniRef50_H7F7Y4: Partition protein, ParA family (Fragment)|unclassified	218.582
UniRef50_UPI0002F1574C: hypothetical protein	217.594
UniRef50_UPI0002F1574C: hypothetical protein|unclassified	217.594
UniRef50_UPI0004640A73: septum formation inhibitor Maf, partial	217.041
UniRef50_UPI0004640A73: septum formation inhibitor Maf, partial|unclassified	217.041
UniRef50_UPI00047AFA7C: rod shape-determining protein RodA	217.016
UniRef50_UPI00047AFA7C: rod shape-determining protein RodA|unclassified	217.016
UniRef50_UPI0003B5E9D3: chromosome partitioning protein ParB	215.136
UniRef50_UPI0003B5E9D3: chromosome partitioning protein ParB|unclassified	215.136
UniRef50_UPI000472EF87: cell division protein MraZ, partial	214.761
UniRef50_UPI000472EF87: cell division protein MraZ, partial|unclassified	214.761
UniRef50_M4RIQ4: Mrp ATPase family protein	214.481
UniRef50_M4RIQ4: Mrp ATPase family protein|unclassified	214.481
UniRef50_D2NU50	214.155
UniRef50_D2NU50|unclassified	214.155
UniRef50_UPI00035CB307: hypothetical protein	213.564
UniRef50_UPI00035CB307: hypothetical protein|unclassified	213.564
UniRef50_UPI0003F7E462: hypothetical protein	213.502
UniRef50_UPI0003F7E462: hypothetical protein|unclassified	213.502
UniRef50_E0UF41: Polypeptide-transport-associated domain protein FtsQ-type	212.41
UniRef50_E0UF41: Polypeptide-transport-associated domain protein FtsQ-type|unclassified	212.41
UniRef50_R6KUE4	212.212
UniRef50_R6KUE4|unclassified	212.212
UniRef50_UPI0003B6306E: rod shape-determining protein MreC	209.504
UniRef50_UPI0003B6306E: rod shape-determining protein MreC|unclassified	209.504
UniRef50_W1XW02: Rod shape-determining protein MreD (Fragment)	208.243
UniRef50_W1XW02: Rod shape-determining protein MreD (Fragment)|unclassified	208.243
UniRef50_UPI0003761C02: hypothetical protein	207.348
UniRef50_UPI0003761C02: hypothetical protein|unclassified	207.348
UniRef50_UPI00047E871D: rod shape-determining protein MreD	206.676
UniRef50_UPI00047E871D: rod shape-determining protein MreD|unclassified	206.676
UniRef50_UPI00041C4C34: hypothetical protein	205.943
UniRef50_UPI00041C4C34: hypothetical protein|unclassified	205.943
UniRef50_X1KTF8: Marine sediment metagenome DNA, contig: S03H2_S30721 (Fragment)	205.138
UniRef50_X1KTF8: Marine sediment metagenome DNA, contig: S03H2_S30721 (Fragment)|unclassified	205.138
UniRef50_UPI0003454E67: hypothetical protein	204.653
UniRef50_UPI0003454E67: hypothetical protein|unclassified	204.653
UniRef50_UPI000262CF3F: rod shape-determining protein MreC	203.731
UniRef50_UPI000262CF3F: rod shape-determining protein MreC|unclassified	203.731
UniRef50_UPI00046D5525: hypothetical protein	203.561
UniRef50_UPI00046D5525: hypothetical protein|unclassified	203.561
UniRef50_X1FAY9: Marine sediment metagenome DNA, contig: S03H2_C00270	203.417
UniRef50_X1FAY9: Marine sediment metagenome DNA, contig: S03H2_C00270|unclassified	203.417
UniRef50_UPI0003B74D27: rod shape-determining protein MreD	203.223
UniRef50_UPI0003B74D27: rod shape-determining protein MreD|unclassified	203.223
UniRef50_B3QYM5: Cobyrinic acid ac-diamide synthase	202.796
UniRef50_B3QYM5: Cobyrinic acid ac-diamide synthase|unclassified	202.796
UniRef50_R6ZWH1	202.791
UniRef50_R6ZWH1|unclassified	202.791
UniRef50_E1QXM2: Chromosome segregation ATPase	202.608
UniRef50_E1QXM2: Chromosome segregation ATPase|unclassified	202.608
UniRef50_R6VN60: ATPase involved in chromosome partitioning	202.02
UniRef50_R6VN60: ATPase involved in chromosome partitioning|unclassified	202.02
UniRef50_R6YQS3	201.126
UniRef50_R6YQS3|unclassified	201.126
UniRef50_X1JHI8: Marine sediment metagenome DNA, contig: S03H2_S25326 (Fragment)	200.971
UniRef50_X1JHI8: Marine sediment metagenome DNA, contig: S03H2_S25326 (Fragment)|unclassified	200.971
UniRef50_H7F9H2: Partition protein, ParA family (Fragment)	200.075
UniRef50_H7F9H2: Partition protein, ParA family (Fragment)|unclassified	200.075
UniRef50_X1USF3: Marine sediment metagenome DNA, contig: S12H4_S19564	199.171
UniRef50_X1USF3: Marine sediment metagenome DNA, contig: S12H4_S19564|unclassified	199.171
UniRef50_UPI0004676F28: penicillin-binding protein, partial	198.577
UniRef50_UPI0004676F28: penicillin-binding protein, partial|unclassified	198.577
UniRef50_A0A011PZK9: Putative chromosome-partitioning protein ParB	197.981
UniRef50_A0A011PZK9: Putative chromosome-partitioning protein ParB|unclassified	197.981
UniRef50_UPI00047C0F95: septum formation inhibitor Maf	197.218
UniRef50_UPI00047C0F95: septum formation inhibitor Maf|unclassified	197.218
UniRef50_UPI0003689666: chromosome partitioning protein ParA	197.009
UniRef50_UPI0003689666: chromosome partitioning protein ParA|unclassified	197.009
UniRef50_B9XXY4	196.458
UniRef50_B9XXY4|unclassified	196.458
UniRef50_UPI00047D3464: rod shape-determining protein MreC	196.312
UniRef50_UPI00047D3464: rod shape-determining protein MreC|unclassified	196.312
UniRef50_UPI000463E882: cell division protein FtsW	195.374
UniRef50_UPI000463E882: cell division protein FtsW|unclassified	195.374
UniRef50_UPI0003737507: hypothetical protein	194.963
UniRef50_UPI0003737507: hypothetical protein|unclassified	194.963
UniRef50_UPI0003B638F7: septum formation inhibitor Maf	194.796
UniRef50_UPI0003B638F7: septum formation inhibitor Maf|unclassified	194.796
UniRef50_UPI00046AA409: cell division protein DivIVA	194.568
UniRef50_UPI00046AA409: cell division protein DivIVA|unclassified	194.568
UniRef50_M6T579	193.927
UniRef50_M6T579|unclassified	193.927
UniRef50_UPI0002EB061A: hypothetical protein	193.468
UniRef50_UPI0002EB061A: hypothetical protein|unclassified	193.468
UniRef50_F9IU12: DNA segregation ATPase FtsK/SpoIIIE protein	193.383
UniRef50_F9IU12: DNA segregation ATPase FtsK/SpoIIIE protein|unclassified	193.383
UniRef50_UPI000375F790: hypothetical protein	193.276
UniRef50_UPI000375F790: hypothetical protein|unclassified	193.276
UniRef50_J9XII9: DNA translocase ftsK domain protein	192.983
UniRef50_J9XII9: DNA translocase ftsK domain protein|unclassified	192.983
UniRef50_UPI00036588E1: chromosome partitioning protein ParA	192.196
UniRef50_UPI00036588E1: chromosome partitioning protein ParA|unclassified	192.196
UniRef50_UPI00036C6A99: hypothetical protein	190.54
UniRef50_UPI00036C6A99: hypothetical protein|unclassified	190.54
UniRef50_E3B8X8: CobQ/CobB/MinD/ParA nucleotide binding domain protein	190.091
UniRef50_E3B8X8: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	190.091
UniRef50_UPI0004774F7F: cell division protein FtsQ	189.985
UniRef50_UPI0004774F7F: cell division protein FtsQ|unclassified	189.985
UniRef50_UPI000478162F: septum formation inhibitor Maf	189.843
UniRef50_UPI000478162F: septum formation inhibitor Maf|unclassified	189.843
UniRef50_UPI00036D99CF: hypothetical protein	189.543
UniRef50_UPI00036D99CF: hypothetical protein|unclassified	189.543
UniRef50_Q4C9X5: Pilus assembly protein, membrane protein, required for motility	188.2
UniRef50_Q4C9X5: Pilus assembly protein, membrane protein, required for motility|unclassified	188.2
UniRef50_UPI00047856FC: hypothetical protein	187.883
UniRef50_UPI00047856FC: hypothetical protein|unclassified	187.883
UniRef50_UPI000368DD1D: hypothetical protein	187.849
UniRef50_UPI000368DD1D: hypothetical protein|unclassified	187.849
UniRef50_UPI000288A48F: cell division protein FtsW	187.653
UniRef50_UPI000288A48F: cell division protein FtsW|unclassified	187.653
UniRef50_X1L397: Marine sediment metagenome DNA, contig: S03H2_S19782	187.408
UniRef50_X1L397: Marine sediment metagenome DNA, contig: S03H2_S19782|unclassified	187.408
UniRef50_UPI0004052105: cell division protein FtsQ	187.056
UniRef50_UPI0004052105: cell division protein FtsQ|unclassified	187.056
UniRef50_UPI000237CDF1: septum formation protein Maf	186.383
UniRef50_UPI000237CDF1: septum formation protein Maf|unclassified	186.383
UniRef50_S4LIY2: Chromosome partitioning ATPase domain protein	185.852
UniRef50_S4LIY2: Chromosome partitioning ATPase domain protein|unclassified	185.852
UniRef50_Q7V8M1	184.767
UniRef50_Q7V8M1|unclassified	184.767
UniRef50_B9EB59: Cell-division initiation protein homolog	184.725
UniRef50_B9EB59: Cell-division initiation protein homolog|unclassified	184.725
UniRef50_UPI000477C62F: hypothetical protein	184.635
UniRef50_UPI000477C62F: hypothetical protein|unclassified	184.635
UniRef50_R6AQW7	184.607
UniRef50_R6AQW7|unclassified	184.607
UniRef50_Q3AQ18: FtsK/SpoIIIE family protein	183.781
UniRef50_Q3AQ18: FtsK/SpoIIIE family protein|unclassified	183.781
UniRef50_R4YW23: Chromosome partitioning protein transcriptional regulator	183.577
UniRef50_R4YW23: Chromosome partitioning protein transcriptional regulator|unclassified	183.577
UniRef50_K2CLV1	183.575
UniRef50_K2CLV1|unclassified	183.575
UniRef50_K2AF92	183.161
UniRef50_K2AF92|unclassified	183.161
UniRef50_UPI000478864C: cell division protein FtsW	182.979
UniRef50_UPI000478864C: cell division protein FtsW|unclassified	182.979
UniRef50_UPI00037C1F67: hypothetical protein	182.73
UniRef50_UPI00037C1F67: hypothetical protein|unclassified	182.73
UniRef50_UPI0003AAD06E: cell shape-determining protein MreC	181.812
UniRef50_UPI0003AAD06E: cell shape-determining protein MreC|unclassified	181.812
UniRef50_UPI0003B7467B: cell division protein FtsW	181.503
UniRef50_UPI0003B7467B: cell division protein FtsW|unclassified	181.503
UniRef50_UPI000039340F: COG0772: Bacterial cell division membrane protein	181.377
UniRef50_UPI000039340F: COG0772: Bacterial cell division membrane protein|unclassified	181.377
UniRef50_W4VKV0: Chromosome (Plasmid) partitioning protein ParA	181.271
UniRef50_W4VKV0: Chromosome (Plasmid) partitioning protein ParA|unclassified	181.271
UniRef50_UPI00036002FE: hypothetical protein	180.902
UniRef50_UPI00036002FE: hypothetical protein|unclassified	180.902
UniRef50_UPI00046FFB12: hypothetical protein	180.551
UniRef50_UPI00046FFB12: hypothetical protein|unclassified	180.551
UniRef50_UPI0003798F8D: hypothetical protein	180.538
UniRef50_UPI0003798F8D: hypothetical protein|unclassified	180.538
UniRef50_X8AS30	180.012
UniRef50_X8AS30|unclassified	180.012
UniRef50_UPI00035F7004: hypothetical protein	179.954
UniRef50_UPI00035F7004: hypothetical protein|unclassified	179.954
UniRef50_K4IR01: Cobyrinic acid a,c-diamide synthase	179.826
UniRef50_K4IR01: Cobyrinic acid a,c-diamide synthase|unclassified	179.826
UniRef50_X1N4A1: Marine sediment metagenome DNA, contig: S06H3_L07612 (Fragment)	179.805
UniRef50_X1N4A1: Marine sediment metagenome DNA, contig: S06H3_L07612 (Fragment)|unclassified	179.805
UniRef50_M3QM79	179.368
UniRef50_M3QM79|unclassified	179.368
UniRef50_M9WYH9: GTP/ATP binding protein, putative	178.5
UniRef50_M9WYH9: GTP/ATP binding protein, putative|unclassified	178.5
UniRef50_UPI00034B2C94: hypothetical protein	178.442
UniRef50_UPI00034B2C94: hypothetical protein|unclassified	178.442
UniRef50_D2Q557: Cobyrinic acid ac-diamide synthase	178.279
UniRef50_D2Q557: Cobyrinic acid ac-diamide synthase|unclassified	178.279
UniRef50_E1NS19	177.994
UniRef50_E1NS19|unclassified	177.994
UniRef50_R6TVR1: CobQ/CobB/MinD/ParA nucleotide binding domain protein	177.44
UniRef50_R6TVR1: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	177.44
UniRef50_UPI00035FC451: hypothetical protein	176.419
UniRef50_UPI00035FC451: hypothetical protein|unclassified	176.419
UniRef50_UPI0003B45FF5: cell division protein FtsZ	175.463
UniRef50_UPI0003B45FF5: cell division protein FtsZ|unclassified	175.463
UniRef50_C7REY3: Cobyrinic acid ac-diamide synthase	175.207
UniRef50_C7REY3: Cobyrinic acid ac-diamide synthase|unclassified	175.207
UniRef50_B1T4H8	175.137
UniRef50_B1T4H8|unclassified	175.137
UniRef50_UPI0003653F30: hypothetical protein	174.929
UniRef50_UPI0003653F30: hypothetical protein|unclassified	174.929
UniRef50_UPI0003FD72FD: hypothetical protein	173.025
UniRef50_UPI0003FD72FD: hypothetical protein|unclassified	173.025
UniRef50_UPI000474DA0C: hypothetical protein, partial	172.789
UniRef50_UPI000474DA0C: hypothetical protein, partial|unclassified	172.789
UniRef50_UPI00042083C0: cell division protein FtsQ	172.766
UniRef50_UPI00042083C0: cell division protein FtsQ|unclassified	172.766
UniRef50_UPI0004764CB9: cell division protein FtsZ	172.605
UniRef50_UPI0004764CB9: cell division protein FtsZ|unclassified	172.605
UniRef50_W4TNY5: Chromosome (Plasmid) partitioning protein ParA	172.448
UniRef50_W4TNY5: Chromosome (Plasmid) partitioning protein ParA|unclassified	172.448
UniRef50_UPI0003771C95: hypothetical protein, partial	171.621
UniRef50_UPI0003771C95: hypothetical protein, partial|unclassified	171.621
UniRef50_R6GCJ8	171.238
UniRef50_R6GCJ8|unclassified	171.238
UniRef50_S4MN35: Putative DNA translocase FtsK	170.147
UniRef50_S4MN35: Putative DNA translocase FtsK|unclassified	170.147
UniRef50_N2L4X9: DNA translocase ftsK domain protein (Fragment)	169.627
UniRef50_N2L4X9: DNA translocase ftsK domain protein (Fragment)|unclassified	169.627
UniRef50_UPI000225BB24: cell division protein FtsA	169.492
UniRef50_UPI000225BB24: cell division protein FtsA|unclassified	169.492
UniRef50_V5Z6Z7: DNA translocase ftsK	169.405
UniRef50_V5Z6Z7: DNA translocase ftsK|unclassified	169.405
UniRef50_UPI0003A99B66: cell division protein FtsK	169.094
UniRef50_UPI0003A99B66: cell division protein FtsK|unclassified	169.094
UniRef50_B1WWJ9	168.849
UniRef50_B1WWJ9|unclassified	168.849
UniRef50_C4LGJ2: Chromosome partitioning protein ParA	168.585
UniRef50_C4LGJ2: Chromosome partitioning protein ParA|unclassified	168.585
UniRef50_R5NXT0	168.382
UniRef50_R5NXT0|unclassified	168.382
UniRef50_UPI00047B5191: rod shape-determining protein MreC	168.143
UniRef50_UPI00047B5191: rod shape-determining protein MreC|unclassified	168.143
UniRef50_I3U3B4: Membrane protein	167.851
UniRef50_I3U3B4: Membrane protein|unclassified	167.851
UniRef50_R0U0X0	167.062
UniRef50_R0U0X0|unclassified	167.062
UniRef50_Q3JUJ7	167.028
UniRef50_Q3JUJ7|unclassified	167.028
UniRef50_M3IKR4	167.013
UniRef50_M3IKR4|unclassified	167.013
UniRef50_UPI000415C150: chromosome partitioning protein	165.795
UniRef50_UPI000415C150: chromosome partitioning protein|unclassified	165.795
UniRef50_UPI000362274B: septum formation inhibitor Maf	165.451
UniRef50_UPI000362274B: septum formation inhibitor Maf|unclassified	165.451
UniRef50_UPI00046A8C76: hypothetical protein	165.412
UniRef50_UPI00046A8C76: hypothetical protein|unclassified	165.412
UniRef50_UPI0004794A8D: hypothetical protein	165.156
UniRef50_UPI0004794A8D: hypothetical protein|unclassified	165.156
UniRef50_UPI00047324AA: hypothetical protein, partial	164.851
UniRef50_UPI00047324AA: hypothetical protein, partial|unclassified	164.851
UniRef50_UPI0003784DFA: hypothetical protein, partial	164.629
UniRef50_UPI0003784DFA: hypothetical protein, partial|unclassified	164.629
UniRef50_UPI0001E8EA12: FtsK/SpoIIIE family protein	164.374
UniRef50_UPI0001E8EA12: FtsK/SpoIIIE family protein|unclassified	164.374
UniRef50_X2NCP3	164.246
UniRef50_X2NCP3|unclassified	164.246
UniRef50_UPI00047C8FD3: hypothetical protein	163.606
UniRef50_UPI00047C8FD3: hypothetical protein|unclassified	163.606
UniRef50_UPI000407A1B0: hypothetical protein	163.196
UniRef50_UPI000407A1B0: hypothetical protein|unclassified	163.196
UniRef50_UPI0004726487: hypothetical protein	162.665
UniRef50_UPI0004726487: hypothetical protein|unclassified	162.665
UniRef50_W1YEK1: Putative stage III sporulation DNA translocase E (Fragment)	162.664
UniRef50_W1YEK1: Putative stage III sporulation DNA translocase E (Fragment)|unclassified	162.664
UniRef50_M5IYB0: Chromosome partitioning protein	162.368
UniRef50_M5IYB0: Chromosome partitioning protein|unclassified	162.368
UniRef50_M6FTS0: AAA domain protein	162.364
UniRef50_M6FTS0: AAA domain protein|unclassified	162.364
UniRef50_UPI000225C163: chromosome partitioning protein ParB	162.304
UniRef50_UPI000225C163: chromosome partitioning protein ParB|unclassified	162.304
UniRef50_N1Z9H9	162.213
UniRef50_N1Z9H9|unclassified	162.213
UniRef50_I4CF79: ATPase involved in chromosome partitioning	161.936
UniRef50_I4CF79: ATPase involved in chromosome partitioning|unclassified	161.936
UniRef50_UPI00037F50FD: hypothetical protein	161.508
UniRef50_UPI00037F50FD: hypothetical protein|unclassified	161.508
UniRef50_S5N2L9	161.228
UniRef50_S5N2L9|unclassified	161.228
UniRef50_V6KE19	160.68
UniRef50_V6KE19|unclassified	160.68
UniRef50_R6P1V6	159.768
UniRef50_R6P1V6|unclassified	159.768
UniRef50_UPI000262D186: parB-like partition protein	159.725
UniRef50_UPI000262D186: parB-like partition protein|unclassified	159.725
UniRef50_W8M445	159.712
UniRef50_W8M445|unclassified	159.712
UniRef50_UPI0003B7B84A: cell division protein FtsA	159.652
UniRef50_UPI0003B7B84A: cell division protein FtsA|unclassified	159.652
UniRef50_T0T3X2: Septum site-determining protein MinD	159.17
UniRef50_T0T3X2: Septum site-determining protein MinD|unclassified	159.17
UniRef50_A2PRD3: ParA family protein (Fragment)	159.094
UniRef50_A2PRD3: ParA family protein (Fragment)|unclassified	159.094
UniRef50_A0A011Q1R4	158.641
UniRef50_A0A011Q1R4|unclassified	158.641
UniRef50_UPI000378043A: hypothetical protein	158.155
UniRef50_UPI000378043A: hypothetical protein|unclassified	158.155
UniRef50_UPI0003B6BFE1: cell division protein FtsW	158.09
UniRef50_UPI0003B6BFE1: cell division protein FtsW|unclassified	158.09
UniRef50_V2TXC4	158.022
UniRef50_V2TXC4|unclassified	158.022
UniRef50_UPI000374D55A: MULTISPECIES: hypothetical protein	157.25
UniRef50_UPI000374D55A: MULTISPECIES: hypothetical protein|unclassified	157.25
UniRef50_UPI0003B6B72A: cell division protein FtsK	156.465
UniRef50_UPI0003B6B72A: cell division protein FtsK|unclassified	156.465
UniRef50_W1W416	156.33
UniRef50_W1W416|unclassified	156.33
UniRef50_UPI0003AABD77: hypothetical protein	155.581
UniRef50_UPI0003AABD77: hypothetical protein|unclassified	155.581
UniRef50_R0DMK0: DNA translocase FtsK (Fragment)	155.289
UniRef50_R0DMK0: DNA translocase FtsK (Fragment)|unclassified	155.289
UniRef50_UPI000403E058: ATP-binding protein	155.023
UniRef50_UPI000403E058: ATP-binding protein|unclassified	155.023
UniRef50_H3VVW1	154.688
UniRef50_H3VVW1|unclassified	154.688
UniRef50_UPI0003B6FA52: septum formation inhibitor Maf	154.608
UniRef50_UPI0003B6FA52: septum formation inhibitor Maf|unclassified	154.608
UniRef50_UPI00047D5EA6: cell cycle protein	154.371
UniRef50_UPI00047D5EA6: cell cycle protein|unclassified	154.371
UniRef50_UPI000470F578: chromosome partitioning protein ParB	154.334
UniRef50_UPI000470F578: chromosome partitioning protein ParB|unclassified	154.334
UniRef50_UPI000479D04F: chromosome partitioning protein ParB	154.207
UniRef50_UPI000479D04F: chromosome partitioning protein ParB|unclassified	154.207
UniRef50_UPI0003956F01: cell division protein FtsQ	154.049
UniRef50_UPI0003956F01: cell division protein FtsQ|unclassified	154.049
UniRef50_W1WBA1: FtsK/SpoIIIE family protein (Fragment)	153.611
UniRef50_W1WBA1: FtsK/SpoIIIE family protein (Fragment)|unclassified	153.611
UniRef50_UPI0001CBF613: hypothetical protein, partial	153.492
UniRef50_UPI0001CBF613: hypothetical protein, partial|unclassified	153.492
UniRef50_UPI00047A4DFA: septum site-determining protein MinC	152.743
UniRef50_UPI00047A4DFA: septum site-determining protein MinC|unclassified	152.743
UniRef50_UPI0004780C74: hypothetical protein	152.077
UniRef50_UPI0004780C74: hypothetical protein|unclassified	152.077
UniRef50_UPI000301D4F2: cell division protein	151.856
UniRef50_UPI000301D4F2: cell division protein|unclassified	151.856
UniRef50_UPI00041B1CC2: cell cycle protein	151.434
