# Gene Family	SampleDe_Novo_Pyrimidine_Synthesis_Abundance-RPKs
UniRef50_Q21RX7: Orotidine 5'-phosphate decarboxylase	272.5904355054
UniRef50_Q21RX7: Orotidine 5'-phosphate decarboxylase|unclassified	272.5904355054
UniRef50_B1XXP1: Orotidine 5'-phosphate decarboxylase	269.9603640152
UniRef50_B1XXP1: Orotidine 5'-phosphate decarboxylase|unclassified	269.9603640152
UniRef50_UPI0002557988: dihydroorotate dehydrogenase 2, partial	268.7035751122
UniRef50_UPI0002557988: dihydroorotate dehydrogenase 2, partial|unclassified	268.7035751122
UniRef50_UPI00046E3421: hypothetical protein, partial	268.5880434539
UniRef50_UPI00046E3421: hypothetical protein, partial|unclassified	268.5880434539
UniRef50_UPI00026CCB87: carbamoyl phosphate synthase small subunit, partial	267.7831093846
UniRef50_UPI00026CCB87: carbamoyl phosphate synthase small subunit, partial|unclassified	267.7831093846
UniRef50_A5GW48: Aspartate carbamoyltransferase	266.9625150229
UniRef50_A5GW48: Aspartate carbamoyltransferase|unclassified	266.9625150229
UniRef50_K1TVM0: Carbamoyl phosphate synthase large subunit (Fragment)	266.8907819775
UniRef50_K1TVM0: Carbamoyl phosphate synthase large subunit (Fragment)|unclassified	266.8907819775
UniRef50_UPI000470EA3B: orotidine 5''-phosphate decarboxylase, partial	265.6659186035
UniRef50_UPI000470EA3B: orotidine 5''-phosphate decarboxylase, partial|unclassified	265.6659186035
UniRef50_Q6MS86: Uracil phosphoribosyltransferase	265.4162808388
UniRef50_Q6MS86: Uracil phosphoribosyltransferase|unclassified	265.4162808388
UniRef50_X1KD36: Marine sediment metagenome DNA, contig: S06H3_L01449	265.2540892754
UniRef50_X1KD36: Marine sediment metagenome DNA, contig: S06H3_L01449|unclassified	265.2540892754
UniRef50_W4JJ90: Carbamoyl phosphate synthase small subunit	263.9787574555
UniRef50_W4JJ90: Carbamoyl phosphate synthase small subunit|unclassified	263.9787574555
UniRef50_Q119B9: Orotidine 5'-phosphate decarboxylase	263.6299971147
UniRef50_Q119B9: Orotidine 5'-phosphate decarboxylase|unclassified	263.6299971147
UniRef50_A5EV79: Dihydroorotate dehydrogenase (quinone)	262.9617624268
UniRef50_A5EV79: Dihydroorotate dehydrogenase (quinone)|unclassified	262.9617624268
UniRef50_UPI00047C64C3: hypothetical protein	262.6791012795
UniRef50_UPI00047C64C3: hypothetical protein|unclassified	262.6791012795
UniRef50_A5E8J8: Orotidine 5'-phosphate decarboxylase	262.4032587036
UniRef50_A5E8J8: Orotidine 5'-phosphate decarboxylase|unclassified	262.4032587036
UniRef50_UPI00046725A5: hypothetical protein, partial	260.8568716986
UniRef50_UPI00046725A5: hypothetical protein, partial|unclassified	260.8568716986
UniRef50_X7ZLJ2: Putative dihydroorotase	260.8086242541
UniRef50_X7ZLJ2: Putative dihydroorotase|unclassified	260.8086242541
UniRef50_Q9K9W0: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	260.6818859040
UniRef50_Q9K9W0: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit|unclassified	260.6818859040
UniRef50_Q97FS6: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	260.4288366261
UniRef50_Q97FS6: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit|unclassified	260.4288366261
UniRef50_Q8FT43: Orotidine 5'-phosphate decarboxylase	259.5803278157
UniRef50_Q8FT43: Orotidine 5'-phosphate decarboxylase|unclassified	259.5803278157
UniRef50_R7AGQ4: Carbamoyl-phosphate synthase small chain	259.4253861972
UniRef50_R7AGQ4: Carbamoyl-phosphate synthase small chain|unclassified	259.4253861972
UniRef50_R7PH19	257.6859205531
UniRef50_R7PH19|unclassified	257.6859205531
UniRef50_UPI0003B75B7A: orotidine 5''''-phosphate decarboxylase, partial	257.2717419180
UniRef50_UPI0003B75B7A: orotidine 5''''-phosphate decarboxylase, partial|unclassified	257.2717419180
UniRef50_A5N2L5: Orotidine 5'-phosphate decarboxylase	256.3122630696
UniRef50_A5N2L5: Orotidine 5'-phosphate decarboxylase|unclassified	256.3122630696
UniRef50_UPI0002880C9A: dihydroorotase, partial	256.1696973607
UniRef50_UPI0002880C9A: dihydroorotase, partial|unclassified	256.1696973607
UniRef50_Q7U3U2: Dihydroorotate dehydrogenase (quinone)	255.1698488583
UniRef50_Q7U3U2: Dihydroorotate dehydrogenase (quinone)|unclassified	255.1698488583
UniRef50_UPI0002194549: aspartate carbamoyltransferase catalytic subunit	254.1515228389
UniRef50_UPI0002194549: aspartate carbamoyltransferase catalytic subunit|unclassified	254.1515228389
UniRef50_Q97LN7: Dihydroorotase	254.1417802613
UniRef50_Q97LN7: Dihydroorotase|unclassified	254.1417802613
UniRef50_UPI0003F5A256: orotate phosphoribosyltransferase	254.0122596312
UniRef50_UPI0003F5A256: orotate phosphoribosyltransferase|unclassified	254.0122596312
UniRef50_Q9HHN4: Aspartate carbamoyltransferase	253.5928777006
UniRef50_Q9HHN4: Aspartate carbamoyltransferase|unclassified	253.5928777006
UniRef50_A0A011PBF4: Bifunctional protein PyrR	253.1969289010
UniRef50_A0A011PBF4: Bifunctional protein PyrR|unclassified	253.1969289010
UniRef50_C0ELH8	252.3303778059
UniRef50_C0ELH8|unclassified	252.3303778059
UniRef50_UPI00024921EC: dihydroorotase	251.9027954073
UniRef50_UPI00024921EC: dihydroorotase|unclassified	251.9027954073
UniRef50_W0BGV9: Carbamoylphosphate synthase small subunit	250.4716602927
UniRef50_W0BGV9: Carbamoylphosphate synthase small subunit|unclassified	250.4716602927
UniRef50_Q3JE54: Bifunctional protein PyrR	250.3892064789
UniRef50_Q3JE54: Bifunctional protein PyrR|unclassified	250.3892064789
UniRef50_B2ULR3: Aspartate carbamoyltransferase	249.6710795747
UniRef50_B2ULR3: Aspartate carbamoyltransferase|unclassified	249.6710795747
UniRef50_UPI00046A1E7A: nitrate reductase, partial	248.5945375942
UniRef50_UPI00046A1E7A: nitrate reductase, partial|unclassified	248.5945375942
UniRef50_A2SRK7: Aspartate carbamoyltransferase	247.1793811223
UniRef50_A2SRK7: Aspartate carbamoyltransferase|unclassified	247.1793811223
UniRef50_B0KA35: Dihydroorotase	246.4053612760
UniRef50_B0KA35: Dihydroorotase|unclassified	246.4053612760
UniRef50_UPI00038F6325: Orotate phosphoribosyltransferase	244.6834362015
UniRef50_UPI00038F6325: Orotate phosphoribosyltransferase|unclassified	244.6834362015
UniRef50_A3DE07: Dihydroorotase	243.6567561958
UniRef50_A3DE07: Dihydroorotase|unclassified	243.6567561958
UniRef50_B3CN77: Orotidine 5'-phosphate decarboxylase	243.3053916484
UniRef50_B3CN77: Orotidine 5'-phosphate decarboxylase|unclassified	243.3053916484
UniRef50_Q72NJ5: Aspartate carbamoyltransferase	242.8512651866
UniRef50_Q72NJ5: Aspartate carbamoyltransferase|unclassified	242.8512651866
UniRef50_UPI0003814692: hypothetical protein	242.3429105147
UniRef50_UPI0003814692: hypothetical protein|unclassified	242.3429105147
UniRef50_B2RIV3: Uracil phosphoribosyltransferase	242.2348807471
UniRef50_B2RIV3: Uracil phosphoribosyltransferase|unclassified	242.2348807471
UniRef50_A2CCL7: Orotate phosphoribosyltransferase	242.1430497630
UniRef50_A2CCL7: Orotate phosphoribosyltransferase|unclassified	242.1430497630
UniRef50_B8D8C3: Orotate phosphoribosyltransferase	242.0001324626
UniRef50_B8D8C3: Orotate phosphoribosyltransferase|unclassified	242.0001324626
UniRef50_Q8EUY3: Orotidine 5'-phosphate decarboxylase	241.4128419928
UniRef50_Q8EUY3: Orotidine 5'-phosphate decarboxylase|unclassified	241.4128419928
UniRef50_G2DDB6	241.3455629267
UniRef50_G2DDB6|unclassified	241.3455629267
UniRef50_UPI000370048F: hypothetical protein	240.6432014908
UniRef50_UPI000370048F: hypothetical protein|unclassified	240.6432014908
UniRef50_K1Z534	238.7294261897
UniRef50_K1Z534|unclassified	238.7294261897
UniRef50_UPI0003B47D24: nitrate reductase, partial	238.0492492657
UniRef50_UPI0003B47D24: nitrate reductase, partial|unclassified	238.0492492657
UniRef50_UPI00047ACFFA: hypothetical protein	237.8698123166
UniRef50_UPI00047ACFFA: hypothetical protein|unclassified	237.8698123166
UniRef50_Q8K9L2: Dihydroorotase	237.7690965284
UniRef50_Q8K9L2: Dihydroorotase|unclassified	237.7690965284
UniRef50_Q97FT2: Carbamoyl-phosphate synthase small chain	235.8587049018
UniRef50_Q97FT2: Carbamoyl-phosphate synthase small chain|unclassified	235.8587049018
UniRef50_Q1IWN0: Carbamoyl-phosphate synthase small chain	231.6727460931
UniRef50_Q1IWN0: Carbamoyl-phosphate synthase small chain|unclassified	231.6727460931
UniRef50_UPI0003651B36: hypothetical protein	231.4775932405
UniRef50_UPI0003651B36: hypothetical protein|unclassified	231.4775932405
UniRef50_A6H0L5: Dihydroorotate dehydrogenase (quinone)	231.3647671978
UniRef50_A6H0L5: Dihydroorotate dehydrogenase (quinone)|unclassified	231.3647671978
UniRef50_A0LK22: Dihydroorotase	231.0985431393
UniRef50_A0LK22: Dihydroorotase|unclassified	231.0985431393
UniRef50_A5UMP0: Aspartate carbamoyltransferase	231.0375932442
UniRef50_A5UMP0: Aspartate carbamoyltransferase|unclassified	231.0375932442
UniRef50_B8ID11: Dihydroorotate dehydrogenase (quinone)	230.9378463792
UniRef50_B8ID11: Dihydroorotate dehydrogenase (quinone)|unclassified	230.9378463792
UniRef50_UPI000470ECE4: dihydroorotate dehydrogenase, partial	230.5567066567
UniRef50_UPI000470ECE4: dihydroorotate dehydrogenase, partial|unclassified	230.5567066567
UniRef50_UPI0003B3DEF8: carbamoyl phosphate synthase small subunit	230.0589332933
UniRef50_UPI0003B3DEF8: carbamoyl phosphate synthase small subunit|unclassified	230.0589332933
UniRef50_V7YYR1: Carbamoyl-phosphate synthase small subunit	229.9138763891
UniRef50_V7YYR1: Carbamoyl-phosphate synthase small subunit|unclassified	229.9138763891
UniRef50_UPI00029B56F4: dihydroorotate dehydrogenase	228.5875986523
UniRef50_UPI00029B56F4: dihydroorotate dehydrogenase|unclassified	228.5875986523
UniRef50_UPI000405D22F: dihydroorotase	227.8095920022
UniRef50_UPI000405D22F: dihydroorotase|unclassified	227.8095920022
UniRef50_R0VLK8	227.3046508773
UniRef50_R0VLK8|unclassified	227.3046508773
UniRef50_Q5HBA3: Aspartate carbamoyltransferase	226.5074633384
UniRef50_Q5HBA3: Aspartate carbamoyltransferase|unclassified	226.5074633384
UniRef50_Q5WFJ3: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	225.3964872372
UniRef50_Q5WFJ3: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit|unclassified	225.3964872372
UniRef50_P58884: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	223.5959025654
UniRef50_P58884: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit|unclassified	223.5959025654
UniRef50_Q7UNR3: Aspartate carbamoyltransferase	222.6053439113
UniRef50_Q7UNR3: Aspartate carbamoyltransferase|unclassified	222.6053439113
UniRef50_UPI000474BBBF: hypothetical protein	221.9458889710
UniRef50_UPI000474BBBF: hypothetical protein|unclassified	221.9458889710
UniRef50_UPI000307F2F4: hypothetical protein	221.2410191532
UniRef50_UPI000307F2F4: hypothetical protein|unclassified	221.2410191532
UniRef50_B1GYY9: Bifunctional protein PyrR	220.5899023787
UniRef50_B1GYY9: Bifunctional protein PyrR|unclassified	220.5899023787
UniRef50_F9Y9C1	220.4403016272
UniRef50_F9Y9C1|unclassified	220.4403016272
UniRef50_B5Z6I2: Dihydroorotate dehydrogenase (quinone)	220.4010452746
UniRef50_B5Z6I2: Dihydroorotate dehydrogenase (quinone)|unclassified	220.4010452746
UniRef50_T3V9K5: Carbamoyl-phosphate synthase small chain, CPSase domain protein	219.7864993452
UniRef50_T3V9K5: Carbamoyl-phosphate synthase small chain, CPSase domain protein|unclassified	219.7864993452
UniRef50_C6C0A9: Carbamoyl-phosphate synthase small chain	218.6996160252
UniRef50_C6C0A9: Carbamoyl-phosphate synthase small chain|unclassified	218.6996160252
UniRef50_UPI000416282A: dihydroorotase	217.4685935112
UniRef50_UPI000416282A: dihydroorotase|unclassified	217.4685935112
UniRef50_UPI0004757D50: hypothetical protein, partial	216.4008497637
UniRef50_UPI0004757D50: hypothetical protein, partial|unclassified	216.4008497637
UniRef50_O94331: Orotate phosphoribosyltransferase	215.6369533251
UniRef50_O94331: Orotate phosphoribosyltransferase|unclassified	215.6369533251
UniRef50_Q3AC06: Orotidine 5'-phosphate decarboxylase	215.5883656934
UniRef50_Q3AC06: Orotidine 5'-phosphate decarboxylase|unclassified	215.5883656934
UniRef50_Q3AC05: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	214.8788336938
UniRef50_Q3AC05: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	214.8788336938
UniRef50_R6J2Q1	214.6545457428
UniRef50_R6J2Q1|unclassified	214.6545457428
UniRef50_UPI000237BF20: carbamoyl phosphate synthase large subunit	214.2061188563
UniRef50_UPI000237BF20: carbamoyl phosphate synthase large subunit|unclassified	214.2061188563
UniRef50_P58883: Orotidine 5'-phosphate decarboxylase	214.1931547297
UniRef50_P58883: Orotidine 5'-phosphate decarboxylase|unclassified	214.1931547297
UniRef50_R5E9E2	214.0186702326
UniRef50_R5E9E2|unclassified	214.0186702326
UniRef50_C0QJ54: Dihydroorotase	213.5726164990
UniRef50_C0QJ54: Dihydroorotase|unclassified	213.5726164990
UniRef50_UPI0004764319: PyrR protein	212.2770740253
UniRef50_UPI0004764319: PyrR protein|unclassified	212.2770740253
UniRef50_Q01YA2: Putative dihydroorotate dehydrogenase A (fumarate)	212.2061242078
UniRef50_Q01YA2: Putative dihydroorotate dehydrogenase A (fumarate)|unclassified	212.2061242078
UniRef50_C0QVX1: Aspartate carbamoyltransferase	211.0663694822
UniRef50_C0QVX1: Aspartate carbamoyltransferase|unclassified	211.0663694822
UniRef50_Q4D3W2: Dihydroorotate dehydrogenase (fumarate)	210.9350185439
UniRef50_Q4D3W2: Dihydroorotate dehydrogenase (fumarate)|unclassified	210.9350185439
UniRef50_Q7U8P3: Orotidine 5'-phosphate decarboxylase	210.9070814288
UniRef50_Q7U8P3: Orotidine 5'-phosphate decarboxylase|unclassified	210.9070814288
UniRef50_A6LJP2: Orotate phosphoribosyltransferase	210.5220421153
UniRef50_A6LJP2: Orotate phosphoribosyltransferase|unclassified	210.5220421153
UniRef50_X1VK58: Marine sediment metagenome DNA, contig: S12H4_S13119	209.4650881708
UniRef50_X1VK58: Marine sediment metagenome DNA, contig: S12H4_S13119|unclassified	209.4650881708
UniRef50_UPI0004736E5E: dihydroorotate dehydrogenase	208.8164642738
UniRef50_UPI0004736E5E: dihydroorotate dehydrogenase|unclassified	208.8164642738
UniRef50_F2EGF2: Predicted protein (Fragment)	208.6167570650
UniRef50_F2EGF2: Predicted protein (Fragment)|unclassified	208.6167570650
UniRef50_B8ZUL5: Orotidine 5'-phosphate decarboxylase	208.2767135155
UniRef50_B8ZUL5: Orotidine 5'-phosphate decarboxylase|unclassified	208.2767135155
UniRef50_Q17VI1: Carbamoyl-phosphate synthase small chain	207.1508391893
UniRef50_Q17VI1: Carbamoyl-phosphate synthase small chain|unclassified	207.1508391893
UniRef50_Q8XL63: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	206.4568278771
UniRef50_Q8XL63: Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit|unclassified	206.4568278771
UniRef50_P13298: Orotate phosphoribosyltransferase 1	205.9775857691
UniRef50_P13298: Orotate phosphoribosyltransferase 1|unclassified	205.9775857691
UniRef50_UPI00039FD8E4: dihydroorotase	205.4424592747
UniRef50_UPI00039FD8E4: dihydroorotase|unclassified	205.4424592747
UniRef50_Q17XN9: Aspartate carbamoyltransferase	202.4780928637
UniRef50_Q17XN9: Aspartate carbamoyltransferase|unclassified	202.4780928637
UniRef50_UPI0004725D10: aspartate carbamoyltransferase	202.0825212914
UniRef50_UPI0004725D10: aspartate carbamoyltransferase|unclassified	202.0825212914
UniRef50_UPI00039A8909: orotate phosphoribosyltransferase	201.8441191285
UniRef50_UPI00039A8909: orotate phosphoribosyltransferase|unclassified	201.8441191285
UniRef50_U1S0V9: Putative carbamoyl-phosphate synthase, small subunit (Fragment)	201.7064958419
UniRef50_U1S0V9: Putative carbamoyl-phosphate synthase, small subunit (Fragment)|unclassified	201.7064958419
UniRef50_R0VHN3	201.4070973284
UniRef50_R0VHN3|unclassified	201.4070973284
UniRef50_W1WBA9: Carbamoyl-phosphate synthase large chain (Fragment)	200.7495235218
UniRef50_W1WBA9: Carbamoyl-phosphate synthase large chain (Fragment)|unclassified	200.7495235218
UniRef50_UPI00037C5663: hypothetical protein, partial	199.5767519717
UniRef50_UPI00037C5663: hypothetical protein, partial|unclassified	199.5767519717
UniRef50_Q49WX9: Bifunctional protein PyrR	199.3391225028
UniRef50_Q49WX9: Bifunctional protein PyrR|unclassified	199.3391225028
UniRef50_Q8KDK5: Dihydroorotase	198.7189909725
UniRef50_Q8KDK5: Dihydroorotase|unclassified	198.7189909725
UniRef50_UPI000427D94C: hypothetical protein	198.3532895623
UniRef50_UPI000427D94C: hypothetical protein|unclassified	198.3532895623
UniRef50_K1YSK2	196.6744552535
UniRef50_K1YSK2|unclassified	196.6744552535
UniRef50_UPI000219454A: dihydroorotase	196.6036197617
UniRef50_UPI000219454A: dihydroorotase|unclassified	196.6036197617
UniRef50_UPI00046F7D71: hypothetical protein, partial	196.5242800519
UniRef50_UPI00046F7D71: hypothetical protein, partial|unclassified	196.5242800519
UniRef50_F3KDY3: Carbamoyl-phosphate synthase large chain	196.1588783675
UniRef50_F3KDY3: Carbamoyl-phosphate synthase large chain|unclassified	196.1588783675
UniRef50_F7LZM2	195.3298562773
UniRef50_F7LZM2|unclassified	195.3298562773
UniRef50_UPI0003F64F8B: hypothetical protein	194.6519782026
UniRef50_UPI0003F64F8B: hypothetical protein|unclassified	194.6519782026
UniRef50_UPI0003614682: hypothetical protein	194.1377881796
UniRef50_UPI0003614682: hypothetical protein|unclassified	194.1377881796
UniRef50_B2ULR4: Bifunctional protein PyrR	192.9363616273
UniRef50_B2ULR4: Bifunctional protein PyrR|unclassified	192.9363616273
UniRef50_U2CLI2: Putative carbamoyl-phosphate synthase, small subunit (Fragment)	192.6792804276
UniRef50_U2CLI2: Putative carbamoyl-phosphate synthase, small subunit (Fragment)|unclassified	192.6792804276
UniRef50_W4V8W3: Carbamoyl-phosphate synthase	192.4092613302
UniRef50_W4V8W3: Carbamoyl-phosphate synthase|unclassified	192.4092613302
UniRef50_Q72PK5: Carbamoyl-phosphate synthase small chain	192.2489323564
UniRef50_Q72PK5: Carbamoyl-phosphate synthase small chain|unclassified	192.2489323564
UniRef50_UPI00036C038C: hypothetical protein	191.7686348714
UniRef50_UPI00036C038C: hypothetical protein|unclassified	191.7686348714
UniRef50_A0A011MKE1: Carbamoyl-phosphate synthase large chain	191.4367838644
UniRef50_A0A011MKE1: Carbamoyl-phosphate synthase large chain|unclassified	191.4367838644
UniRef50_UPI00047C6D96: diguanylate cyclase, partial	191.3731768357
UniRef50_UPI00047C6D96: diguanylate cyclase, partial|unclassified	191.3731768357
UniRef50_A5UX75: Dihydroorotate dehydrogenase (quinone)	191.0631884661
UniRef50_A5UX75: Dihydroorotate dehydrogenase (quinone)|unclassified	191.0631884661
UniRef50_T3ZAE2: MGS-like domain protein	188.9806011631
UniRef50_T3ZAE2: MGS-like domain protein|unclassified	188.9806011631
UniRef50_UPI0004776C9C: uracil phosphoribosyltransferase	188.8221215845
UniRef50_UPI0004776C9C: uracil phosphoribosyltransferase|unclassified	188.8221215845
UniRef50_Q9LVW7: Carbamoyl-phosphate synthase small chain, chloroplastic	188.5529193478
UniRef50_Q9LVW7: Carbamoyl-phosphate synthase small chain, chloroplastic|unclassified	188.5529193478
UniRef50_D7EQH4: Carbamoyl-phosphate synthase small chain	187.0484210384
UniRef50_D7EQH4: Carbamoyl-phosphate synthase small chain|unclassified	187.0484210384
UniRef50_B1GYY7: Dihydroorotase	186.7495169908
UniRef50_B1GYY7: Dihydroorotase|unclassified	186.7495169908
UniRef50_B5EQ26: Orotate phosphoribosyltransferase	186.5880618338
UniRef50_B5EQ26: Orotate phosphoribosyltransferase|unclassified	186.5880618338
UniRef50_Q9CLL7: Bifunctional protein PyrR	186.1028144047
UniRef50_Q9CLL7: Bifunctional protein PyrR|unclassified	186.1028144047
UniRef50_R6BYM9	184.9267278341
UniRef50_R6BYM9|unclassified	184.9267278341
UniRef50_Q3AC01: Dihydroorotase	184.4806420951
UniRef50_Q3AC01: Dihydroorotase|unclassified	184.4806420951
UniRef50_Q9WZ28: Carbamoyl-phosphate synthase small chain	184.4277549429
UniRef50_Q9WZ28: Carbamoyl-phosphate synthase small chain|unclassified	184.4277549429
UniRef50_L2Q944	183.3063903966
UniRef50_L2Q944|unclassified	183.3063903966
UniRef50_UPI00037E1F8A: MULTISPECIES: hypothetical protein	182.4684645157
UniRef50_UPI00037E1F8A: MULTISPECIES: hypothetical protein|unclassified	182.4684645157
UniRef50_Q8TY15: Carbamoyl-phosphate synthase small chain	181.9730069589
UniRef50_Q8TY15: Carbamoyl-phosphate synthase small chain|unclassified	181.9730069589
UniRef50_UPI0003B710BC: hypothetical protein	181.2810554882
UniRef50_UPI0003B710BC: hypothetical protein|unclassified	181.2810554882
UniRef50_X1IRC4: Marine sediment metagenome DNA, contig: S03H2_S26008 (Fragment)	181.1445685342
UniRef50_X1IRC4: Marine sediment metagenome DNA, contig: S03H2_S26008 (Fragment)|unclassified	181.1445685342
UniRef50_UPI00037A85FA: hypothetical protein, partial	180.5778218645
UniRef50_UPI00037A85FA: hypothetical protein, partial|unclassified	180.5778218645
UniRef50_P0CQ41: Orotate phosphoribosyltransferase	180.4468358779
UniRef50_P0CQ41: Orotate phosphoribosyltransferase|unclassified	180.4468358779
UniRef50_B9EB64: Bifunctional protein PyrR	180.3901392920
UniRef50_B9EB64: Bifunctional protein PyrR|unclassified	180.3901392920
UniRef50_UPI000363DBD9: MULTISPECIES: hypothetical protein	179.8788699047
UniRef50_UPI000363DBD9: MULTISPECIES: hypothetical protein|unclassified	179.8788699047
UniRef50_UPI000262CD24: dihydroorotate dehydrogenase 2	179.3225444445
UniRef50_UPI000262CD24: dihydroorotate dehydrogenase 2|unclassified	179.3225444445
UniRef50_UPI0003B59C0B: dihydroorotase	178.5917863959
UniRef50_UPI0003B59C0B: dihydroorotase|unclassified	178.5917863959
UniRef50_W5X534: Aspartate carbamoyltransferase	178.4687027325
UniRef50_W5X534: Aspartate carbamoyltransferase|unclassified	178.4687027325
UniRef50_X1BPY3: Marine sediment metagenome DNA, contig: S01H4_S04302 (Fragment)	178.4117998464
UniRef50_X1BPY3: Marine sediment metagenome DNA, contig: S01H4_S04302 (Fragment)|unclassified	178.4117998464
UniRef50_UPI00034C4021: hypothetical protein	178.4042783362
UniRef50_UPI00034C4021: hypothetical protein|unclassified	178.4042783362
UniRef50_UPI0003764F6C: hypothetical protein	178.1711835672
UniRef50_UPI0003764F6C: hypothetical protein|unclassified	178.1711835672
UniRef50_Q1MPN3: Carbamoyl-phosphate synthase small chain	178.0494888007
UniRef50_Q1MPN3: Carbamoyl-phosphate synthase small chain|unclassified	178.0494888007
UniRef50_Q01V55: Dihydroorotase	177.5981436603
UniRef50_Q01V55: Dihydroorotase|unclassified	177.5981436603
UniRef50_UPI00046F3DE1: hypothetical protein, partial	177.3590733031
UniRef50_UPI00046F3DE1: hypothetical protein, partial|unclassified	177.3590733031
UniRef50_X0V3Z0: Marine sediment metagenome DNA, contig: S01H1_S03741 (Fragment)	177.2631212589
UniRef50_X0V3Z0: Marine sediment metagenome DNA, contig: S01H1_S03741 (Fragment)|unclassified	177.2631212589
UniRef50_W7WXP2	176.5318087445
UniRef50_W7WXP2|unclassified	176.5318087445
UniRef50_UPI00046D5D0D: Orotidine 5''-phosphate decarboxylase	176.4714896052
UniRef50_UPI00046D5D0D: Orotidine 5''-phosphate decarboxylase|unclassified	176.4714896052
UniRef50_UPI00031D36ED: hypothetical protein	175.6364504706
UniRef50_UPI00031D36ED: hypothetical protein|unclassified	175.6364504706
UniRef50_UPI0004765AD1: uracil phosphoribosyltransferase	171.7266013412
UniRef50_UPI0004765AD1: uracil phosphoribosyltransferase|unclassified	171.7266013412
UniRef50_R7G7D8: Carbamoyl-phosphate synthase small chain	171.3489620349
UniRef50_R7G7D8: Carbamoyl-phosphate synthase small chain|unclassified	171.3489620349
UniRef50_R5I6D0: Carbamoyl-phosphate synthase large chain	170.7828191225
UniRef50_R5I6D0: Carbamoyl-phosphate synthase large chain|unclassified	170.7828191225
UniRef50_T4Q683: Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B family protein	170.4016070482
UniRef50_T4Q683: Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B family protein|unclassified	170.4016070482
UniRef50_UPI000288C8A0: dihydroorotate dehydrogenase 2, partial	170.2589571574
UniRef50_UPI000288C8A0: dihydroorotate dehydrogenase 2, partial|unclassified	170.2589571574
UniRef50_Q9PJJ6: Uracil phosphoribosyltransferase	168.5513108707
UniRef50_Q9PJJ6: Uracil phosphoribosyltransferase|unclassified	168.5513108707
UniRef50_UPI00046AA0BD: hypothetical protein	167.5334513528
UniRef50_UPI00046AA0BD: hypothetical protein|unclassified	167.5334513528
UniRef50_E5WE76: Carbamoyl-phosphate synthase small subunit	165.9300614487
UniRef50_E5WE76: Carbamoyl-phosphate synthase small subunit|unclassified	165.9300614487
UniRef50_K1SE17: Carbamoyl-phosphate synthase, large subunit (Fragment)	164.9034029920
UniRef50_K1SE17: Carbamoyl-phosphate synthase, large subunit (Fragment)|unclassified	164.9034029920
UniRef50_UPI00047359F4: aspartate carbamoyltransferase, partial	163.0765015738
UniRef50_UPI00047359F4: aspartate carbamoyltransferase, partial|unclassified	163.0765015738
UniRef50_A4XKT2: Dihydroorotase	163.0640602317
UniRef50_A4XKT2: Dihydroorotase|unclassified	163.0640602317
UniRef50_Q9RX14: Dihydroorotate dehydrogenase (quinone)	162.1947252679
UniRef50_Q9RX14: Dihydroorotate dehydrogenase (quinone)|unclassified	162.1947252679
UniRef50_UPI000381B2CE: hypothetical protein	161.8575248747
UniRef50_UPI000381B2CE: hypothetical protein|unclassified	161.8575248747
UniRef50_UPI0003FE2A19: dihydroorotase	160.4020632257
UniRef50_UPI0003FE2A19: dihydroorotase|unclassified	160.4020632257
UniRef50_Q8FRQ5: Uracil phosphoribosyltransferase	158.4826062125
UniRef50_Q8FRQ5: Uracil phosphoribosyltransferase|unclassified	158.4826062125
UniRef50_T3D7G3: MGS-like domain protein (Fragment)	158.3977281573
UniRef50_T3D7G3: MGS-like domain protein (Fragment)|unclassified	158.3977281573
UniRef50_Q3ZAI1: Orotidine 5'-phosphate decarboxylase	158.3622146757
UniRef50_Q3ZAI1: Orotidine 5'-phosphate decarboxylase|unclassified	158.3622146757
UniRef50_B6J3V8: Aspartate carbamoyltransferase	158.1884968339
UniRef50_B6J3V8: Aspartate carbamoyltransferase|unclassified	158.1884968339
UniRef50_B2KCN5: Dihydroorotase	157.5654108466
UniRef50_B2KCN5: Dihydroorotase|unclassified	157.5654108466
UniRef50_Q2LQ82: Orotidine 5'-phosphate decarboxylase	157.0443191874
UniRef50_Q2LQ82: Orotidine 5'-phosphate decarboxylase|unclassified	157.0443191874
UniRef50_Q8PW56: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	156.8901431440
UniRef50_Q8PW56: Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit|unclassified	156.8901431440
UniRef50_K5CLP3	156.7830984913
