# Gene Family	SampleBiotin_biosynthesis_Abundance-RPKs
UniRef50_Q7TTR2: Long-chain-fatty-acid--AMP ligase FadD32	63.5445085028
UniRef50_Q7TTR2: Long-chain-fatty-acid--AMP ligase FadD32|unclassified	63.5445085028
UniRef50_W4HSW7	63.3283608426
UniRef50_W4HSW7|unclassified	63.3283608426
UniRef50_I1XRD5: Dithiobiotin synthetase	63.0999537554
UniRef50_I1XRD5: Dithiobiotin synthetase|unclassified	63.0999537554
UniRef50_UPI0004741630: hypothetical protein, partial	62.8176991801
UniRef50_UPI0004741630: hypothetical protein, partial|unclassified	62.8176991801
UniRef50_UPI00046D4A4A: hypothetical protein	62.7031392408
UniRef50_UPI00046D4A4A: hypothetical protein|unclassified	62.7031392408
UniRef50_UPI00037EA370: hypothetical protein	62.6955293851
UniRef50_UPI00037EA370: hypothetical protein|unclassified	62.6955293851
UniRef50_A0A011MUE2: Long-chain-fatty-acid--CoA ligase FadD15	62.6593266096
UniRef50_A0A011MUE2: Long-chain-fatty-acid--CoA ligase FadD15|unclassified	62.6593266096
UniRef50_UPI00035C45C0: hypothetical protein, partial	62.4240162195
UniRef50_UPI00035C45C0: hypothetical protein, partial|unclassified	62.4240162195
UniRef50_UPI00047402E2: hypothetical protein, partial	62.3541022207
UniRef50_UPI00047402E2: hypothetical protein, partial|unclassified	62.3541022207
UniRef50_UPI0003C165C5: PREDICTED: 2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial-like, partial	62.2921295361
UniRef50_UPI0003C165C5: PREDICTED: 2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial-like, partial|unclassified	62.2921295361
UniRef50_B9KDR3	62.2545361000
UniRef50_B9KDR3|unclassified	62.2545361000
UniRef50_UPI00045E776D: AMP-dependent synthetase	62.2150513822
UniRef50_UPI00045E776D: AMP-dependent synthetase|unclassified	62.2150513822
UniRef50_B7I795: Biotin biosynthesis protein BioH	62.1159882575
UniRef50_B7I795: Biotin biosynthesis protein BioH|unclassified	62.1159882575
UniRef50_UPI00036BF63A: hypothetical protein, partial	61.8363709536
UniRef50_UPI00036BF63A: hypothetical protein, partial|unclassified	61.8363709536
UniRef50_UPI000362C7A0: hypothetical protein	61.8343466844
UniRef50_UPI000362C7A0: hypothetical protein|unclassified	61.8343466844
UniRef50_UPI0004692682: aminotransferase	61.7107001249
UniRef50_UPI0004692682: aminotransferase|unclassified	61.7107001249
UniRef50_F3XNZ5: Putative 8-amino-7-oxononanoate synthase	61.6489350546
UniRef50_F3XNZ5: Putative 8-amino-7-oxononanoate synthase|unclassified	61.6489350546
UniRef50_UPI00047818F8: AMP-dependent synthetase	61.6248870207
UniRef50_UPI00047818F8: AMP-dependent synthetase|unclassified	61.6248870207
UniRef50_B9M8U4: Alpha/beta hydrolase fold protein	61.5636364000
UniRef50_B9M8U4: Alpha/beta hydrolase fold protein|unclassified	61.5636364000
UniRef50_A3Q145: ATP-dependent dethiobiotin synthetase BioD	61.5264213917
UniRef50_A3Q145: ATP-dependent dethiobiotin synthetase BioD|unclassified	61.5264213917
UniRef50_P55084: Trifunctional enzyme subunit beta, mitochondrial	61.4826451033
UniRef50_P55084: Trifunctional enzyme subunit beta, mitochondrial|unclassified	61.4826451033
UniRef50_UPI00031C0F14: hypothetical protein	61.3628545300
UniRef50_UPI00031C0F14: hypothetical protein|unclassified	61.3628545300
UniRef50_A0A011NDA6	61.2343832309
UniRef50_A0A011NDA6|unclassified	61.2343832309
UniRef50_UPI00035F4D47: hypothetical protein	61.0370933852
UniRef50_UPI00035F4D47: hypothetical protein|unclassified	61.0370933852
UniRef50_B4UKM8: ATP-dependent dethiobiotin synthetase BioD	60.7482032442
UniRef50_B4UKM8: ATP-dependent dethiobiotin synthetase BioD|unclassified	60.7482032442
UniRef50_A4J1M3: Biotin synthase	60.6355853329
UniRef50_A4J1M3: Biotin synthase|unclassified	60.6355853329
UniRef50_UPI0001B457D0: acyl-CoA synthetase, partial	60.5876952605
UniRef50_UPI0001B457D0: acyl-CoA synthetase, partial|unclassified	60.5876952605
UniRef50_UPI0000F2F3C7: hydrolase	60.5803670473
UniRef50_UPI0000F2F3C7: hydrolase|unclassified	60.5803670473
UniRef50_UPI0002557D32: long-chain-fatty-acid--CoA ligase	60.4394194080
UniRef50_UPI0002557D32: long-chain-fatty-acid--CoA ligase|unclassified	60.4394194080
UniRef50_O66832: ATP-dependent dethiobiotin synthetase BioD	60.4058493211
UniRef50_O66832: ATP-dependent dethiobiotin synthetase BioD|unclassified	60.4058493211
UniRef50_W6F2J3	60.1556771468
UniRef50_W6F2J3|unclassified	60.1556771468
UniRef50_A8FDG9: 8-amino-7-oxononanoate synthase	59.9607780643
UniRef50_A8FDG9: 8-amino-7-oxononanoate synthase|unclassified	59.9607780643
UniRef50_UPI000470DD25: hypothetical protein	59.9559224091
UniRef50_UPI000470DD25: hypothetical protein|unclassified	59.9559224091
UniRef50_UPI0001BF7AAE: hypothetical protein SMAC_11437, partial	59.5662020877
UniRef50_UPI0001BF7AAE: hypothetical protein SMAC_11437, partial|unclassified	59.5662020877
UniRef50_UPI0003B6C426: acetyl-CoA acetyltransferase	59.5052489538
UniRef50_UPI0003B6C426: acetyl-CoA acetyltransferase|unclassified	59.5052489538
UniRef50_UPI0004766737: biotin	59.3588937767
UniRef50_UPI0004766737: biotin|unclassified	59.3588937767
UniRef50_UPI0003815F79: MULTISPECIES: malonyl-CoA O-methyltransferase	59.3138293128
UniRef50_UPI0003815F79: MULTISPECIES: malonyl-CoA O-methyltransferase|unclassified	59.3138293128
UniRef50_L1QL75: Putative biotin operon repressor	59.1448002499
UniRef50_L1QL75: Putative biotin operon repressor|unclassified	59.1448002499
UniRef50_UPI0003AD6D6B: hypothetical protein	59.1378778985
UniRef50_UPI0003AD6D6B: hypothetical protein|unclassified	59.1378778985
UniRef50_Q8F498: Biotin synthase	58.9933200557
UniRef50_Q8F498: Biotin synthase|unclassified	58.9933200557
UniRef50_UPI0002990BD5: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial-like	58.9357257393
UniRef50_UPI0002990BD5: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial-like|unclassified	58.9357257393
UniRef50_UPI00036FE7DE: hypothetical protein	58.9324714806
UniRef50_UPI00036FE7DE: hypothetical protein|unclassified	58.9324714806
UniRef50_UPI00027378D5: AMP-dependent synthetase and ligase	58.7809724968
UniRef50_UPI00027378D5: AMP-dependent synthetase and ligase|unclassified	58.7809724968
UniRef50_UPI00047DDE25: hypothetical protein	58.5652398733
UniRef50_UPI00047DDE25: hypothetical protein|unclassified	58.5652398733
UniRef50_UPI000289BC52: AMP-dependent synthetase and ligase, partial	58.5237422615
UniRef50_UPI000289BC52: AMP-dependent synthetase and ligase, partial|unclassified	58.5237422615
UniRef50_UPI00036E29AE: hypothetical protein	58.5209264706
UniRef50_UPI00036E29AE: hypothetical protein|unclassified	58.5209264706
UniRef50_A0A015S1T8	58.2516806295
UniRef50_A0A015S1T8|unclassified	58.2516806295
UniRef50_R9R9U6	58.2108065213
UniRef50_R9R9U6|unclassified	58.2108065213
UniRef50_Q11QU6: ATP-dependent dethiobiotin synthetase BioD	58.1696299732
UniRef50_Q11QU6: ATP-dependent dethiobiotin synthetase BioD|unclassified	58.1696299732
UniRef50_UPI00036FBD0B: hypothetical protein, partial	58.0450506031
UniRef50_UPI00036FBD0B: hypothetical protein, partial|unclassified	58.0450506031
UniRef50_UPI00037AD4A7: hypothetical protein	58.0363633771
UniRef50_UPI00037AD4A7: hypothetical protein|unclassified	58.0363633771
UniRef50_UPI0003EC04D4: PREDICTED: acetyl-CoA acetyltransferase, mitochondrial-like	57.9697713940
UniRef50_UPI0003EC04D4: PREDICTED: acetyl-CoA acetyltransferase, mitochondrial-like|unclassified	57.9697713940
UniRef50_UPI00036A6545: hypothetical protein	57.8271158158
UniRef50_UPI00036A6545: hypothetical protein|unclassified	57.8271158158
UniRef50_UPI0003A3661E: AMP-dependent synthetase	57.7565878342
UniRef50_UPI0003A3661E: AMP-dependent synthetase|unclassified	57.7565878342
UniRef50_UPI000478D0CE: hypothetical protein	57.7274142036
UniRef50_UPI000478D0CE: hypothetical protein|unclassified	57.7274142036
UniRef50_UPI000376DF89: hypothetical protein	57.6987028707
UniRef50_UPI000376DF89: hypothetical protein|unclassified	57.6987028707
UniRef50_B5YK85: Biotin synthase	57.5454580766
UniRef50_B5YK85: Biotin synthase|unclassified	57.5454580766
UniRef50_UPI0003EC4AA2: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial-like	57.5393136109
UniRef50_UPI0003EC4AA2: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial-like|unclassified	57.5393136109
UniRef50_M6TI79: AMP-binding enzyme domain protein	57.4511581181
UniRef50_M6TI79: AMP-binding enzyme domain protein|unclassified	57.4511581181
UniRef50_UPI000473847A: hypothetical protein, partial	57.2509766957
UniRef50_UPI000473847A: hypothetical protein, partial|unclassified	57.2509766957
UniRef50_UPI0003608013: hypothetical protein	56.8116016164
UniRef50_UPI0003608013: hypothetical protein|unclassified	56.8116016164
UniRef50_I7F267	56.7675867949
UniRef50_I7F267|unclassified	56.7675867949
UniRef50_UPI0004788D8B: hypothetical protein	56.6720431578
UniRef50_UPI0004788D8B: hypothetical protein|unclassified	56.6720431578
UniRef50_X8C3Q7: AMP-binding enzyme family protein	56.5655273965
UniRef50_X8C3Q7: AMP-binding enzyme family protein|unclassified	56.5655273965
UniRef50_B9T9T6	56.3535184822
UniRef50_B9T9T6|unclassified	56.3535184822
UniRef50_UPI000395B717: biotin--acetyl-CoA-carboxylase ligase, partial	56.3512079174
UniRef50_UPI000395B717: biotin--acetyl-CoA-carboxylase ligase, partial|unclassified	56.3512079174
UniRef50_UPI00029A5C96: AMP-dependent synthetase and ligase	56.0956396335
UniRef50_UPI00029A5C96: AMP-dependent synthetase and ligase|unclassified	56.0956396335
UniRef50_X1NHB9: Marine sediment metagenome DNA, contig: S06H3_S16057 (Fragment)	56.0869012239
UniRef50_X1NHB9: Marine sediment metagenome DNA, contig: S06H3_S16057 (Fragment)|unclassified	56.0869012239
UniRef50_UPI0001FFE9B3: long-chain-fatty-acid--CoA ligase	56.0307198636
UniRef50_UPI0001FFE9B3: long-chain-fatty-acid--CoA ligase|unclassified	56.0307198636
UniRef50_UPI00036EA1BC: hypothetical protein	55.9871519699
UniRef50_UPI00036EA1BC: hypothetical protein|unclassified	55.9871519699
UniRef50_UPI00026595F6: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial-like	55.9012414345
UniRef50_UPI00026595F6: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial-like|unclassified	55.9012414345
UniRef50_UPI00037204D3: hypothetical protein, partial	55.8988664741
UniRef50_UPI00037204D3: hypothetical protein, partial|unclassified	55.8988664741
UniRef50_UPI000478BD6F: biotin synthase	55.8628344129
UniRef50_UPI000478BD6F: biotin synthase|unclassified	55.8628344129
UniRef50_C4LA13: Pimeloyl-[acyl-carrier protein] methyl ester esterase	55.8559360831
UniRef50_C4LA13: Pimeloyl-[acyl-carrier protein] methyl ester esterase|unclassified	55.8559360831
UniRef50_UPI0003687DA1: hypothetical protein	55.8521797213
UniRef50_UPI0003687DA1: hypothetical protein|unclassified	55.8521797213
UniRef50_A1T8U7: ATP-dependent dethiobiotin synthetase BioD	55.8133612824
UniRef50_A1T8U7: ATP-dependent dethiobiotin synthetase BioD|unclassified	55.8133612824
UniRef50_V5XJQ0	55.8125226096
UniRef50_V5XJQ0|unclassified	55.8125226096
UniRef50_Q58695: ATP-dependent dethiobiotin synthetase BioD	55.7829838530
UniRef50_Q58695: ATP-dependent dethiobiotin synthetase BioD|unclassified	55.7829838530
UniRef50_UPI00030358A2: hypothetical protein	55.7584413475
UniRef50_UPI00030358A2: hypothetical protein|unclassified	55.7584413475
UniRef50_UPI00037B32BA: MULTISPECIES: hypothetical protein	55.7485482139
UniRef50_UPI00037B32BA: MULTISPECIES: hypothetical protein|unclassified	55.7485482139
UniRef50_D6B733: Dithiobiotin synthetase (Fragment)	55.4840078404
UniRef50_D6B733: Dithiobiotin synthetase (Fragment)|unclassified	55.4840078404
UniRef50_Q5YYS5: ATP-dependent dethiobiotin synthetase BioD	55.4377841939
UniRef50_Q5YYS5: ATP-dependent dethiobiotin synthetase BioD|unclassified	55.4377841939
UniRef50_R1ID79	55.4012398959
UniRef50_R1ID79|unclassified	55.4012398959
UniRef50_UPI00047BE4AE: hypothetical protein	55.3040854546
UniRef50_UPI00047BE4AE: hypothetical protein|unclassified	55.3040854546
UniRef50_UPI00037CB723: hypothetical protein	55.1755502906
UniRef50_UPI00037CB723: hypothetical protein|unclassified	55.1755502906
UniRef50_UPI00039FBBBC: long-chain acyl-CoA synthetase	55.1096346108
UniRef50_UPI00039FBBBC: long-chain acyl-CoA synthetase|unclassified	55.1096346108
UniRef50_Q1MR97: ATP-dependent dethiobiotin synthetase BioD	54.9875762106
UniRef50_Q1MR97: ATP-dependent dethiobiotin synthetase BioD|unclassified	54.9875762106
UniRef50_UPI000375AABB: hypothetical protein	54.8868152381
UniRef50_UPI000375AABB: hypothetical protein|unclassified	54.8868152381
UniRef50_UPI00037D4062: biotin--protein ligase, partial	54.8749641324
UniRef50_UPI00037D4062: biotin--protein ligase, partial|unclassified	54.8749641324
UniRef50_UPI0003A3D179: AMP-dependent synthetase	54.7990158301
UniRef50_UPI0003A3D179: AMP-dependent synthetase|unclassified	54.7990158301
UniRef50_UPI0003636BB5: hypothetical protein	54.7900394872
UniRef50_UPI0003636BB5: hypothetical protein|unclassified	54.7900394872
UniRef50_UPI0003200000: AMP-dependent synthetase	54.7752352596
UniRef50_UPI0003200000: AMP-dependent synthetase|unclassified	54.7752352596
UniRef50_UPI00041350EF: AMP-binding protein	54.6158208842
UniRef50_UPI00041350EF: AMP-binding protein|unclassified	54.6158208842
UniRef50_UPI00036586C6: hypothetical protein	54.5479395366
UniRef50_UPI00036586C6: hypothetical protein|unclassified	54.5479395366
UniRef50_UPI000366CC54: hypothetical protein	54.4812054248
UniRef50_UPI000366CC54: hypothetical protein|unclassified	54.4812054248
UniRef50_UPI00038315D7: hypothetical protein M271_00795	54.4638990307
UniRef50_UPI00038315D7: hypothetical protein M271_00795|unclassified	54.4638990307
UniRef50_UPI0003B69B2D: acetyl-CoA acetyltransferase	54.3943889036
UniRef50_UPI0003B69B2D: acetyl-CoA acetyltransferase|unclassified	54.3943889036
UniRef50_UPI0000E10DF2: putative bioH protein	54.3780589543
UniRef50_UPI0000E10DF2: putative bioH protein|unclassified	54.3780589543
UniRef50_UPI000376633B: AMP-dependent synthetase	54.3010550049
UniRef50_UPI000376633B: AMP-dependent synthetase|unclassified	54.3010550049
UniRef50_UPI0003607747: hypothetical protein	54.2825267313
UniRef50_UPI0003607747: hypothetical protein|unclassified	54.2825267313
UniRef50_UPI00047298D1: hypothetical protein	54.2688346771
UniRef50_UPI00047298D1: hypothetical protein|unclassified	54.2688346771
UniRef50_UPI0004226256: acetyl-CoA acyltransferase	54.1899586192
UniRef50_UPI0004226256: acetyl-CoA acyltransferase|unclassified	54.1899586192
UniRef50_UPI00047E7393: hypothetical protein	54.0817869213
UniRef50_UPI00047E7393: hypothetical protein|unclassified	54.0817869213
UniRef50_F5VKW3: Biotin biosynthesis protein BioC	54.0249387090
UniRef50_F5VKW3: Biotin biosynthesis protein BioC|unclassified	54.0249387090
UniRef50_UPI000372307D: hypothetical protein	53.9759589291
UniRef50_UPI000372307D: hypothetical protein|unclassified	53.9759589291
UniRef50_UPI00035DCEDC: hypothetical protein	53.9574891490
UniRef50_UPI00035DCEDC: hypothetical protein|unclassified	53.9574891490
UniRef50_B8J3V0: Putative 8-amino-7-oxononanoate synthase	53.7967184584
UniRef50_B8J3V0: Putative 8-amino-7-oxononanoate synthase|unclassified	53.7967184584
UniRef50_B1GYW9: Biotin synthase	53.6961462925
UniRef50_B1GYW9: Biotin synthase|unclassified	53.6961462925
UniRef50_UPI0003B43450: biotin--protein ligase	53.6693267219
UniRef50_UPI0003B43450: biotin--protein ligase|unclassified	53.6693267219
UniRef50_UPI00037E2D66: hypothetical protein	53.6003901168
UniRef50_UPI00037E2D66: hypothetical protein|unclassified	53.6003901168
UniRef50_UPI00035EDCDE: hypothetical protein	53.5579413084
UniRef50_UPI00035EDCDE: hypothetical protein|unclassified	53.5579413084
UniRef50_X3X062	53.5383317795
UniRef50_X3X062|unclassified	53.5383317795
UniRef50_UPI00025578B1: long-chain-fatty-acid--CoA ligase	53.4036111601
UniRef50_UPI00025578B1: long-chain-fatty-acid--CoA ligase|unclassified	53.4036111601
UniRef50_Q4L3Q0: Putative long chain fatty acid-CoA ligase VraA	53.3811088360
UniRef50_Q4L3Q0: Putative long chain fatty acid-CoA ligase VraA|unclassified	53.3811088360
UniRef50_UPI0003ACD9E3: hypothetical protein	53.3760799607
UniRef50_UPI0003ACD9E3: hypothetical protein|unclassified	53.3760799607
UniRef50_Q7NPW5: Pimeloyl-[acyl-carrier protein] methyl ester esterase	53.1059709941
UniRef50_Q7NPW5: Pimeloyl-[acyl-carrier protein] methyl ester esterase|unclassified	53.1059709941
UniRef50_UPI0002192FD6: acyl-CoA synthetase, partial	52.9809816000
UniRef50_UPI0002192FD6: acyl-CoA synthetase, partial|unclassified	52.9809816000
UniRef50_A0A023DXM5: ATP-dependent dethiobiotin synthetase BioD	52.9101853389
UniRef50_A0A023DXM5: ATP-dependent dethiobiotin synthetase BioD|unclassified	52.9101853389
UniRef50_UPI0003FED5F7: AMP-dependent synthetase	52.8873672878
UniRef50_UPI0003FED5F7: AMP-dependent synthetase|unclassified	52.8873672878
UniRef50_V8DYY2	52.8004902309
UniRef50_V8DYY2|unclassified	52.8004902309
UniRef50_A6UWX3: Putative 8-amino-7-oxononanoate synthase	52.7300919214
UniRef50_A6UWX3: Putative 8-amino-7-oxononanoate synthase|unclassified	52.7300919214
UniRef50_UPI00047A48E5: hypothetical protein	52.6711818983
UniRef50_UPI00047A48E5: hypothetical protein|unclassified	52.6711818983
UniRef50_UPI000362BC05: hypothetical protein	52.6423730870
UniRef50_UPI000362BC05: hypothetical protein|unclassified	52.6423730870
UniRef50_UPI00036E866C: hypothetical protein	52.5829083662
UniRef50_UPI00036E866C: hypothetical protein|unclassified	52.5829083662
UniRef50_UPI00047D3239: hypothetical protein	52.4896528678
UniRef50_UPI00047D3239: hypothetical protein|unclassified	52.4896528678
UniRef50_A0A013L2Q9: Long-chain fatty acid transport 6 domain protein	52.4056502842
UniRef50_A0A013L2Q9: Long-chain fatty acid transport 6 domain protein|unclassified	52.4056502842
UniRef50_C7J1Y8: Os04g0683750 protein	52.3795971467
UniRef50_C7J1Y8: Os04g0683750 protein|unclassified	52.3795971467
UniRef50_P9WQ36: Long-chain-fatty-acid--CoA ligase FadD13	52.3700799414
UniRef50_P9WQ36: Long-chain-fatty-acid--CoA ligase FadD13|unclassified	52.3700799414
UniRef50_Q609U9: Malonyl-[acyl-carrier protein] O-methyltransferase	52.3393873092
UniRef50_Q609U9: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	52.3393873092
UniRef50_UPI0003B6199B: long-chain fatty acid--CoA ligase	52.2832232166
UniRef50_UPI0003B6199B: long-chain fatty acid--CoA ligase|unclassified	52.2832232166
UniRef50_UPI000349EBE0: hypothetical protein	52.2601859403
UniRef50_UPI000349EBE0: hypothetical protein|unclassified	52.2601859403
UniRef50_UPI0003800C12: hypothetical protein	52.1872934851
UniRef50_UPI0003800C12: hypothetical protein|unclassified	52.1872934851
UniRef50_A9A5K6: Biotin synthase	52.1629381911
UniRef50_A9A5K6: Biotin synthase|unclassified	52.1629381911
UniRef50_UPI000348FE18: hypothetical protein	52.0841927539
UniRef50_UPI000348FE18: hypothetical protein|unclassified	52.0841927539
UniRef50_UPI000474D4B4: hypothetical protein	51.9831444946
UniRef50_UPI000474D4B4: hypothetical protein|unclassified	51.9831444946
UniRef50_A0A024JDG3: Similar to Saccharomyces cerevisiae YLR153C ACS2 Acetyl-coA synthetase isoform which, along with Acs1p, is the nuclear source of acetyl-coA for histone acetylation	51.9828396885
UniRef50_A0A024JDG3: Similar to Saccharomyces cerevisiae YLR153C ACS2 Acetyl-coA synthetase isoform which, along with Acs1p, is the nuclear source of acetyl-coA for histone acetylation|unclassified	51.9828396885
UniRef50_UPI0003826E10: hypothetical protein	51.8221228231
UniRef50_UPI0003826E10: hypothetical protein|unclassified	51.8221228231
UniRef50_UPI0002BB2B3C: hypothetical protein	51.7602391644
UniRef50_UPI0002BB2B3C: hypothetical protein|unclassified	51.7602391644
UniRef50_UPI00046F5784: hypothetical protein	51.7535891238
UniRef50_UPI00046F5784: hypothetical protein|unclassified	51.7535891238
UniRef50_UPI00030BB900: hypothetical protein	51.6105502218
UniRef50_UPI00030BB900: hypothetical protein|unclassified	51.6105502218
UniRef50_C0ENJ8	51.5523461382
UniRef50_C0ENJ8|unclassified	51.5523461382
UniRef50_D1BMT0: 6-carboxyhexanoate--CoA ligase	51.5456028405
UniRef50_D1BMT0: 6-carboxyhexanoate--CoA ligase|unclassified	51.5456028405
UniRef50_B1YMC6: 8-amino-7-oxononanoate synthase	51.5363219546
UniRef50_B1YMC6: 8-amino-7-oxononanoate synthase|unclassified	51.5363219546
UniRef50_Z5X6F2: AMP-dependent synthetase	51.4510150102
UniRef50_Z5X6F2: AMP-dependent synthetase|unclassified	51.4510150102
UniRef50_UPI000443133C: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial	51.3353120734
UniRef50_UPI000443133C: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial|unclassified	51.3353120734
UniRef50_UPI00037C02B5: hypothetical protein	51.0862614535
UniRef50_UPI00037C02B5: hypothetical protein|unclassified	51.0862614535
UniRef50_UPI00035E2351: hypothetical protein	50.8510895387
UniRef50_UPI00035E2351: hypothetical protein|unclassified	50.8510895387
UniRef50_UPI0003136653: hypothetical protein	50.6513693531
UniRef50_UPI0003136653: hypothetical protein|unclassified	50.6513693531
UniRef50_UPI00041587FD: acyl-CoA synthase	50.5406104084
UniRef50_UPI00041587FD: acyl-CoA synthase|unclassified	50.5406104084
UniRef50_UPI00036BBA86: hypothetical protein	50.1455199579
UniRef50_UPI00036BBA86: hypothetical protein|unclassified	50.1455199579
UniRef50_E6SRF9: Malonyl-[acyl-carrier protein] O-methyltransferase	50.1158724162
UniRef50_E6SRF9: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	50.1158724162
UniRef50_B9E076: ATP-dependent dethiobiotin synthetase BioD	49.9536478645
UniRef50_B9E076: ATP-dependent dethiobiotin synthetase BioD|unclassified	49.9536478645
UniRef50_UPI0002E69744: hypothetical protein	49.9390540195
UniRef50_UPI0002E69744: hypothetical protein|unclassified	49.9390540195
UniRef50_A6QBZ9: ATP-dependent dethiobiotin synthetase BioD	49.8906034065
UniRef50_A6QBZ9: ATP-dependent dethiobiotin synthetase BioD|unclassified	49.8906034065
UniRef50_UPI00046556FE: hypothetical protein	49.6605323088
UniRef50_UPI00046556FE: hypothetical protein|unclassified	49.6605323088
UniRef50_UPI00035EC7F6: long-chain acyl-CoA synthetase, partial	49.5121791343
UniRef50_UPI00035EC7F6: long-chain acyl-CoA synthetase, partial|unclassified	49.5121791343
UniRef50_D4T265: Acyl-CoA synthase	49.4135059073
UniRef50_D4T265: Acyl-CoA synthase|unclassified	49.4135059073
UniRef50_UPI0002B46C9F: PREDICTED: non-specific lipid-transfer protein-like, partial	49.4038909273
UniRef50_UPI0002B46C9F: PREDICTED: non-specific lipid-transfer protein-like, partial|unclassified	49.4038909273
UniRef50_UPI00029B1CCC: 8-amino-7-oxononanoate synthase	49.3437826467
UniRef50_UPI00029B1CCC: 8-amino-7-oxononanoate synthase|unclassified	49.3437826467
UniRef50_A0A013SX59: Putative bifunctional domain protein	49.2961813754
UniRef50_A0A013SX59: Putative bifunctional domain protein|unclassified	49.2961813754
UniRef50_UPI00036FBEB9: hypothetical protein	49.2824526541
UniRef50_UPI00036FBEB9: hypothetical protein|unclassified	49.2824526541
UniRef50_Q165B2	49.1826605385
UniRef50_Q165B2|unclassified	49.1826605385
UniRef50_Q5SHZ8: 8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase	49.1269554598
UniRef50_Q5SHZ8: 8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase|unclassified	49.1269554598
UniRef50_UPI000375AF30: hypothetical protein, partial	49.1113147991
UniRef50_UPI000375AF30: hypothetical protein, partial|unclassified	49.1113147991
UniRef50_UPI000471FCE1: hypothetical protein	49.0269283545
UniRef50_UPI000471FCE1: hypothetical protein|unclassified	49.0269283545
UniRef50_UPI000465C2E9: AMP-dependent synthetase, partial	48.8764104631
UniRef50_UPI000465C2E9: AMP-dependent synthetase, partial|unclassified	48.8764104631
UniRef50_UPI0002DAA5CE: hypothetical protein	48.8424198435
UniRef50_UPI0002DAA5CE: hypothetical protein|unclassified	48.8424198435
UniRef50_K1GG33	48.7215067982
UniRef50_K1GG33|unclassified	48.7215067982
UniRef50_UPI0002E098E6: hypothetical protein	48.6374544899
UniRef50_UPI0002E098E6: hypothetical protein|unclassified	48.6374544899
UniRef50_B9MP50: Biotin synthase	48.6131371048
UniRef50_B9MP50: Biotin synthase|unclassified	48.6131371048
UniRef50_UPI00046CFEF0: hypothetical protein	48.6117138300
UniRef50_UPI00046CFEF0: hypothetical protein|unclassified	48.6117138300
UniRef50_UPI00037ACE27: hypothetical protein	48.4784191028
UniRef50_UPI00037ACE27: hypothetical protein|unclassified	48.4784191028
UniRef50_UPI000304E7EC: hypothetical protein	48.4459857960
UniRef50_UPI000304E7EC: hypothetical protein|unclassified	48.4459857960
UniRef50_UPI00036AFFFC: hypothetical protein, partial	48.3085716418
UniRef50_UPI00036AFFFC: hypothetical protein, partial|unclassified	48.3085716418
UniRef50_UPI000310B3C9: hypothetical protein	48.2874146796
UniRef50_UPI000310B3C9: hypothetical protein|unclassified	48.2874146796
UniRef50_UPI000376AC5F: hypothetical protein	48.2849266170
UniRef50_UPI000376AC5F: hypothetical protein|unclassified	48.2849266170
UniRef50_A4CR33	48.1209049859
UniRef50_A4CR33|unclassified	48.1209049859
UniRef50_UPI00045E652F: acetyl-CoA synthetase	48.1110151315
UniRef50_UPI00045E652F: acetyl-CoA synthetase|unclassified	48.1110151315
UniRef50_A0L3M0: Biotin synthase	48.0695286933
UniRef50_A0L3M0: Biotin synthase|unclassified	48.0695286933
UniRef50_G4AHB9: Dethiobiotin synthase	48.0502392763
UniRef50_G4AHB9: Dethiobiotin synthase|unclassified	48.0502392763
UniRef50_UPI0003FFFFC4: hypothetical protein	47.8427883616
UniRef50_UPI0003FFFFC4: hypothetical protein|unclassified	47.8427883616
UniRef50_UPI000462A41E: hypothetical protein, partial	47.8173533010
UniRef50_UPI000462A41E: hypothetical protein, partial|unclassified	47.8173533010
UniRef50_UPI00016AD066: AMP-binding protein	47.7628138160
UniRef50_UPI00016AD066: AMP-binding protein|unclassified	47.7628138160
UniRef50_UPI00042644E0: hypothetical protein	47.7305531430
UniRef50_UPI00042644E0: hypothetical protein|unclassified	47.7305531430
UniRef50_UPI0003620AB7: hypothetical protein	47.4686779929
UniRef50_UPI0003620AB7: hypothetical protein|unclassified	47.4686779929
UniRef50_UPI00047EC11B: hypothetical protein	47.3623246503
UniRef50_UPI00047EC11B: hypothetical protein|unclassified	47.3623246503
UniRef50_UPI0003698209: hypothetical protein, partial	47.3033920220
UniRef50_UPI0003698209: hypothetical protein, partial|unclassified	47.3033920220
UniRef50_W1YF07: Dethiobiotin synthase (Fragment)	47.2922198302
UniRef50_W1YF07: Dethiobiotin synthase (Fragment)|unclassified	47.2922198302
