# Gene Family	SampleBiotin_biosynthesis_Abundance-CPM
UniRef50_UPI00035E67C2: hypothetical protein	370.091
UniRef50_UPI00035E67C2: hypothetical protein|unclassified	370.091
UniRef50_UPI000376376B: hypothetical protein	369.851
UniRef50_UPI000376376B: hypothetical protein|unclassified	369.851
UniRef50_UPI0003676C10: hypothetical protein	369.62
UniRef50_UPI0003676C10: hypothetical protein|unclassified	369.62
UniRef50_UPI00016AF1AB: AMP-binding domain protein, partial	369.432
UniRef50_UPI00016AF1AB: AMP-binding domain protein, partial|unclassified	369.432
UniRef50_Q0TQ60: ATP-dependent dethiobiotin synthetase BioD	369.391
UniRef50_Q0TQ60: ATP-dependent dethiobiotin synthetase BioD|unclassified	369.391
UniRef50_UPI0003ACC20D: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial isoform X4	368.986
UniRef50_UPI0003ACC20D: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial isoform X4|unclassified	368.986
UniRef50_A0A031GPM3: AMP-binding enzyme	368.741
UniRef50_A0A031GPM3: AMP-binding enzyme|unclassified	368.741
UniRef50_UPI0004130691: MULTISPECIES: 8-amino-7-oxononanoate synthase	367.13
UniRef50_UPI0004130691: MULTISPECIES: 8-amino-7-oxononanoate synthase|unclassified	367.13
UniRef50_UPI00036E77D9: hypothetical protein	367.02
UniRef50_UPI00036E77D9: hypothetical protein|unclassified	367.02
UniRef50_C1D5S5: Malonyl-[acyl-carrier protein] O-methyltransferase	366.459
UniRef50_C1D5S5: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	366.459
UniRef50_UPI00046FC072: AMP-dependent synthetase	365.039
UniRef50_UPI00046FC072: AMP-dependent synthetase|unclassified	365.039
UniRef50_UPI000382EC5D: hypothetical protein, partial	364.83
UniRef50_UPI000382EC5D: hypothetical protein, partial|unclassified	364.83
UniRef50_U6IK89: Acetyl coenzyme A acetyltransferase, cytosolic	364.62
UniRef50_U6IK89: Acetyl coenzyme A acetyltransferase, cytosolic|unclassified	364.62
UniRef50_UPI0004697E5E: 8-amino-7-oxononanoate synthase	363.662
UniRef50_UPI0004697E5E: 8-amino-7-oxononanoate synthase|unclassified	363.662
UniRef50_UPI00036772B3: hypothetical protein, partial	363.11
UniRef50_UPI00036772B3: hypothetical protein, partial|unclassified	363.11
UniRef50_UPI0004696C05: hypothetical protein	363.067
UniRef50_UPI0004696C05: hypothetical protein|unclassified	363.067
UniRef50_K2WZR8: Long-chain acyl-CoA synthetase	362.943
UniRef50_K2WZR8: Long-chain acyl-CoA synthetase|unclassified	362.943
UniRef50_UPI00037585B3: hypothetical protein	362.873
UniRef50_UPI00037585B3: hypothetical protein|unclassified	362.873
UniRef50_UPI0003B4905C: acetyl-CoA acetyltransferase	362.798
UniRef50_UPI0003B4905C: acetyl-CoA acetyltransferase|unclassified	362.798
UniRef50_C0QVL9: ATP-dependent dethiobiotin synthetase BioD	361.592
UniRef50_C0QVL9: ATP-dependent dethiobiotin synthetase BioD|unclassified	361.592
UniRef50_UPI00040BFE02: acyl-CoA synthetase	361.354
UniRef50_UPI00040BFE02: acyl-CoA synthetase|unclassified	361.354
UniRef50_UPI00046632A0: long-chain fatty acid--CoA ligase	361.032
UniRef50_UPI00046632A0: long-chain fatty acid--CoA ligase|unclassified	361.032
UniRef50_UPI000408C022: acyl-CoA synthetase	360.424
UniRef50_UPI000408C022: acyl-CoA synthetase|unclassified	360.424
UniRef50_UPI000400ECE8: hypothetical protein	357.45
UniRef50_UPI000400ECE8: hypothetical protein|unclassified	357.45
UniRef50_W7WP48	357.131
UniRef50_W7WP48|unclassified	357.131
UniRef50_A1U4A9: ATP-dependent dethiobiotin synthetase BioD	356.517
UniRef50_A1U4A9: ATP-dependent dethiobiotin synthetase BioD|unclassified	356.517
UniRef50_UPI00035CC102: hypothetical protein	355.74
UniRef50_UPI00035CC102: hypothetical protein|unclassified	355.74
UniRef50_UPI0004766FBC: 8-amino-7-oxononanoate synthase	354.984
UniRef50_UPI0004766FBC: 8-amino-7-oxononanoate synthase|unclassified	354.984
UniRef50_Q3K2Q5: Biotin synthase	354.846
UniRef50_Q3K2Q5: Biotin synthase|unclassified	354.846
UniRef50_UPI00036F0FF6: acyl-CoA synthetase	353.614
UniRef50_UPI00036F0FF6: acyl-CoA synthetase|unclassified	353.614
UniRef50_B8ERL9: 8-amino-7-oxononanoate synthase	353.44
UniRef50_B8ERL9: 8-amino-7-oxononanoate synthase|unclassified	353.44
UniRef50_UPI000472FEA9: hypothetical protein, partial	352.557
UniRef50_UPI000472FEA9: hypothetical protein, partial|unclassified	352.557
UniRef50_Q83CU8: Malonyl-[acyl-carrier protein] O-methyltransferase 2	352.159
UniRef50_Q83CU8: Malonyl-[acyl-carrier protein] O-methyltransferase 2|unclassified	352.159
UniRef50_Q2Y9Y5: ATP-dependent dethiobiotin synthetase BioD	352.136
UniRef50_Q2Y9Y5: ATP-dependent dethiobiotin synthetase BioD|unclassified	352.136
UniRef50_UPI000366C9EA: hypothetical protein	350.377
UniRef50_UPI000366C9EA: hypothetical protein|unclassified	350.377
UniRef50_UPI0003C78A32: acetyl-CoA acetyltransferase	349.959
UniRef50_UPI0003C78A32: acetyl-CoA acetyltransferase|unclassified	349.959
UniRef50_UPI0004752CAC: hypothetical protein	348.902
UniRef50_UPI0004752CAC: hypothetical protein|unclassified	348.902
UniRef50_UPI000467A374: hypothetical protein	347.292
UniRef50_UPI000467A374: hypothetical protein|unclassified	347.292
UniRef50_UPI00030833A1: hypothetical protein	345.834
UniRef50_UPI00030833A1: hypothetical protein|unclassified	345.834
UniRef50_B1I4G4: Biotin synthase	345.314
UniRef50_B1I4G4: Biotin synthase|unclassified	345.314
UniRef50_Q83E64: Malonyl-[acyl-carrier protein] O-methyltransferase 1	345.18
UniRef50_Q83E64: Malonyl-[acyl-carrier protein] O-methyltransferase 1|unclassified	345.18
UniRef50_UPI00047522F8: dethiobiotin synthetase	344.833
UniRef50_UPI00047522F8: dethiobiotin synthetase|unclassified	344.833
UniRef50_R7DS25	344.306
UniRef50_R7DS25|unclassified	344.306
UniRef50_UPI000476B839: biotin--acetyl-CoA carboxylase ligase	344.163
UniRef50_UPI000476B839: biotin--acetyl-CoA carboxylase ligase|unclassified	344.163
UniRef50_UPI000473571C: hypothetical protein, partial	344.029
UniRef50_UPI000473571C: hypothetical protein, partial|unclassified	344.029
UniRef50_UPI0000E1106B: 8-amino-7-oxononanoate synthase	343.609
UniRef50_UPI0000E1106B: 8-amino-7-oxononanoate synthase|unclassified	343.609
UniRef50_UPI0003665C52: hypothetical protein	343.209
UniRef50_UPI0003665C52: hypothetical protein|unclassified	343.209
UniRef50_I6Y5R1: 2-succinylbenzoate--CoA ligase	343.144
UniRef50_I6Y5R1: 2-succinylbenzoate--CoA ligase|unclassified	343.144
UniRef50_UPI00031F831A: hypothetical protein	343.023
UniRef50_UPI00031F831A: hypothetical protein|unclassified	343.023
UniRef50_B0U3W7: ATP-dependent dethiobiotin synthetase BioD	342.759
UniRef50_B0U3W7: ATP-dependent dethiobiotin synthetase BioD|unclassified	342.759
UniRef50_UPI0004659867: MULTISPECIES: biotin	342.686
UniRef50_UPI0004659867: MULTISPECIES: biotin|unclassified	342.686
UniRef50_UPI000365AFBB: hypothetical protein, partial	341.87
UniRef50_UPI000365AFBB: hypothetical protein, partial|unclassified	341.87
UniRef50_UPI00037717F9: hypothetical protein	341.752
UniRef50_UPI00037717F9: hypothetical protein|unclassified	341.752
UniRef50_UPI00046F7B18: hypothetical protein	340.798
UniRef50_UPI00046F7B18: hypothetical protein|unclassified	340.798
UniRef50_A0A014FB44: AMP-binding enzyme family protein	339.838
UniRef50_A0A014FB44: AMP-binding enzyme family protein|unclassified	339.838
UniRef50_A3DBD7: Malonyl-[acyl-carrier protein] O-methyltransferase	339.41
UniRef50_A3DBD7: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	339.41
UniRef50_UPI000377A03F: hypothetical protein, partial	339.33
UniRef50_UPI000377A03F: hypothetical protein, partial|unclassified	339.33
UniRef50_Q64VX6: Malonyl-[acyl-carrier protein] O-methyltransferase	339.09
UniRef50_Q64VX6: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	339.09
UniRef50_UPI0003AD49EB: hypothetical protein	338.349
UniRef50_UPI0003AD49EB: hypothetical protein|unclassified	338.349
UniRef50_D7I606: Biotin synthesis protein bioH	338.329
UniRef50_D7I606: Biotin synthesis protein bioH|unclassified	338.329
UniRef50_UPI0003B484C8: adenosylmethionine-8-amino-7-oxononanoate aminotransferase	337.739
UniRef50_UPI0003B484C8: adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	337.739
UniRef50_P45362: Acetyl-CoA acetyltransferase (Fragment)	337.701
UniRef50_P45362: Acetyl-CoA acetyltransferase (Fragment)|unclassified	337.701
UniRef50_B4S0P6: ATP-dependent dethiobiotin synthetase BioD	337.217
UniRef50_B4S0P6: ATP-dependent dethiobiotin synthetase BioD|unclassified	337.217
UniRef50_UPI000360AF80: hypothetical protein, partial	336.84
UniRef50_UPI000360AF80: hypothetical protein, partial|unclassified	336.84
UniRef50_UPI0003B69599: 8-amino-7-oxononanoate synthase, partial	336.574
UniRef50_UPI0003B69599: 8-amino-7-oxononanoate synthase, partial|unclassified	336.574
UniRef50_UPI0003605467: hypothetical protein	336.507
UniRef50_UPI0003605467: hypothetical protein|unclassified	336.507
UniRef50_B7J3Y7: 8-amino-7-oxononanoate synthase	335.716
UniRef50_B7J3Y7: 8-amino-7-oxononanoate synthase|unclassified	335.716
UniRef50_UPI00037FD8F2: hypothetical protein	335.466
UniRef50_UPI00037FD8F2: hypothetical protein|unclassified	335.466
UniRef50_T1JMP4	334.762
UniRef50_T1JMP4|unclassified	334.762
UniRef50_UPI00036E5760: dithiobiotin synthetase	334.307
UniRef50_UPI00036E5760: dithiobiotin synthetase|unclassified	334.307
UniRef50_UPI000370526D: hypothetical protein, partial	333.875
UniRef50_UPI000370526D: hypothetical protein, partial|unclassified	333.875
UniRef50_UPI00047DEFE5: acyl-CoA synthetase	333.822
UniRef50_UPI00047DEFE5: acyl-CoA synthetase|unclassified	333.822
UniRef50_Q99JY0: Trifunctional enzyme subunit beta, mitochondrial	333.454
UniRef50_Q99JY0: Trifunctional enzyme subunit beta, mitochondrial|unclassified	333.454
UniRef50_UPI0002B99AB2: hypothetical protein	333.418
UniRef50_UPI0002B99AB2: hypothetical protein|unclassified	333.418
UniRef50_W7VXZ7	333.044
UniRef50_W7VXZ7|unclassified	333.044
UniRef50_UPI00040C6C34: hypothetical protein	332.996
UniRef50_UPI00040C6C34: hypothetical protein|unclassified	332.996
UniRef50_UPI00047B6408: hypothetical protein	332.494
UniRef50_UPI00047B6408: hypothetical protein|unclassified	332.494
UniRef50_UPI0003EDCB7F: PREDICTED: acetyl-CoA acetyltransferase, mitochondrial	330.937
UniRef50_UPI0003EDCB7F: PREDICTED: acetyl-CoA acetyltransferase, mitochondrial|unclassified	330.937
UniRef50_UPI00035F8661: hypothetical protein	330.889
UniRef50_UPI00035F8661: hypothetical protein|unclassified	330.889
UniRef50_UPI00047BB705: pimelyl-ACP methyl ester esterase	330.772
UniRef50_UPI00047BB705: pimelyl-ACP methyl ester esterase|unclassified	330.772
UniRef50_UPI000474DB84: acyl-CoA synthetase, partial	330.123
UniRef50_UPI000474DB84: acyl-CoA synthetase, partial|unclassified	330.123
UniRef50_UPI00046E5B78: hypothetical protein	329.222
UniRef50_UPI00046E5B78: hypothetical protein|unclassified	329.222
UniRef50_UPI000477D747: hypothetical protein	329.175
UniRef50_UPI000477D747: hypothetical protein|unclassified	329.175
UniRef50_UPI00025597AC: 8-amino-7-oxononanoate synthase	328.889
UniRef50_UPI00025597AC: 8-amino-7-oxononanoate synthase|unclassified	328.889
UniRef50_UPI0003B42B35: long-chain acyl-CoA synthetase	328.494
UniRef50_UPI0003B42B35: long-chain acyl-CoA synthetase|unclassified	328.494
UniRef50_UPI00047C5203: hypothetical protein	327.148
UniRef50_UPI00047C5203: hypothetical protein|unclassified	327.148
UniRef50_Q7VL11: Malonyl-[acyl-carrier protein] O-methyltransferase	327.067
UniRef50_Q7VL11: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	327.067
UniRef50_Q7NNL4: Putative 8-amino-7-oxononanoate synthase	326.269
UniRef50_Q7NNL4: Putative 8-amino-7-oxononanoate synthase|unclassified	326.269
UniRef50_D5DIV9: Malonyl-[acyl-carrier protein] O-methyltransferase	325.792
UniRef50_D5DIV9: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	325.792
UniRef50_UPI0004798F46: hypothetical protein	325.74
UniRef50_UPI0004798F46: hypothetical protein|unclassified	325.74
UniRef50_X8BIS0: AMP-binding enzyme family protein	325.544
UniRef50_X8BIS0: AMP-binding enzyme family protein|unclassified	325.544
UniRef50_UPI0003785AB4: hypothetical protein	325.531
UniRef50_UPI0003785AB4: hypothetical protein|unclassified	325.531
UniRef50_C6NW38: 2-amino-3-ketobutyrate coenzyme A ligase	325.043
UniRef50_C6NW38: 2-amino-3-ketobutyrate coenzyme A ligase|unclassified	325.043
UniRef50_UPI000367DCDD: hypothetical protein	324.388
UniRef50_UPI000367DCDD: hypothetical protein|unclassified	324.388
UniRef50_X7WYV1: AMP-binding enzyme family protein	323.356
UniRef50_X7WYV1: AMP-binding enzyme family protein|unclassified	323.356
UniRef50_UPI0003B6ACCC: acyl-CoA synthetase	322.333
UniRef50_UPI0003B6ACCC: acyl-CoA synthetase|unclassified	322.333
UniRef50_Q6GJ93: Putative acetyl-CoA C-acetyltransferase VraB	321.968
UniRef50_Q6GJ93: Putative acetyl-CoA C-acetyltransferase VraB|unclassified	321.968
UniRef50_B6J076: Carboxylesterase	319.471
UniRef50_B6J076: Carboxylesterase|unclassified	319.471
UniRef50_B3E599: Biotin synthase	319.43
UniRef50_B3E599: Biotin synthase|unclassified	319.43
UniRef50_UPI0004779AFD: long-chain fatty acid--CoA ligase	318.287
UniRef50_UPI0004779AFD: long-chain fatty acid--CoA ligase|unclassified	318.287
UniRef50_UPI0003B2E98B: acyl-CoA synthetase	317.776
UniRef50_UPI0003B2E98B: acyl-CoA synthetase|unclassified	317.776
UniRef50_J8V3T1: Carboxylesterase	317.529
UniRef50_J8V3T1: Carboxylesterase|unclassified	317.529
UniRef50_UPI000289D268: AMP-dependent synthetase	316.761
UniRef50_UPI000289D268: AMP-dependent synthetase|unclassified	316.761
UniRef50_UPI00046E5813: hypothetical protein, partial	316.388
UniRef50_UPI00046E5813: hypothetical protein, partial|unclassified	316.388
UniRef50_UPI000472E706: hypothetical protein	315.394
UniRef50_UPI000472E706: hypothetical protein|unclassified	315.394
UniRef50_UPI0002558EEB: biotin--acetyl-CoA-carboxylase ligase	314.935
UniRef50_UPI0002558EEB: biotin--acetyl-CoA-carboxylase ligase|unclassified	314.935
UniRef50_O66875: Putative 8-amino-7-oxononanoate synthase	314.659
UniRef50_O66875: Putative 8-amino-7-oxononanoate synthase|unclassified	314.659
UniRef50_A0A009HMG0: AMP-binding enzyme family protein	314.357
UniRef50_A0A009HMG0: AMP-binding enzyme family protein|unclassified	314.357
UniRef50_UPI00046EDB3A: dethiobiotin synthase	313.748
UniRef50_UPI00046EDB3A: dethiobiotin synthase|unclassified	313.748
UniRef50_Q826T4: ATP-dependent dethiobiotin synthetase BioD	313.143
UniRef50_Q826T4: ATP-dependent dethiobiotin synthetase BioD|unclassified	313.143
UniRef50_UPI000468E9E2: AMP-dependent synthetase	312.606
UniRef50_UPI000468E9E2: AMP-dependent synthetase|unclassified	312.606
UniRef50_E8VHU4: 6-carboxyhexanoate--CoA ligase	311.321
UniRef50_E8VHU4: 6-carboxyhexanoate--CoA ligase|unclassified	311.321
UniRef50_UPI0001850B50: 2-amino-3-ketobutyrate CoA ligase	311.289
UniRef50_UPI0001850B50: 2-amino-3-ketobutyrate CoA ligase|unclassified	311.289
UniRef50_Q5HRH4: Putative long chain fatty acid-CoA ligase VraA	311.242
UniRef50_Q5HRH4: Putative long chain fatty acid-CoA ligase VraA|unclassified	311.242
UniRef50_UPI000379ED82: hypothetical protein, partial	310.944
UniRef50_UPI000379ED82: hypothetical protein, partial|unclassified	310.944
UniRef50_UPI000363B64B: hypothetical protein	310.179
UniRef50_UPI000363B64B: hypothetical protein|unclassified	310.179
UniRef50_UPI00037A1AE3: hypothetical protein	308.022
UniRef50_UPI00037A1AE3: hypothetical protein|unclassified	308.022
UniRef50_UPI00037BAFBA: hypothetical protein	307.205
UniRef50_UPI00037BAFBA: hypothetical protein|unclassified	307.205
UniRef50_UPI000378755B: hypothetical protein	306.578
UniRef50_UPI000378755B: hypothetical protein|unclassified	306.578
UniRef50_UPI0000165EEF: long-chain-fatty-acid--CoA ligase	306.094
UniRef50_UPI0000165EEF: long-chain-fatty-acid--CoA ligase|unclassified	306.094
UniRef50_UPI00036F915F: hypothetical protein, partial	305.066
UniRef50_UPI00036F915F: hypothetical protein, partial|unclassified	305.066
UniRef50_UPI00023757DB: biotin--acetyl-CoA-carboxylase ligase, partial	304.87
UniRef50_UPI00023757DB: biotin--acetyl-CoA-carboxylase ligase, partial|unclassified	304.87
UniRef50_I8PCN2	303.618
UniRef50_I8PCN2|unclassified	303.618
UniRef50_B8IBW1: ATP-dependent dethiobiotin synthetase BioD	303.346
UniRef50_B8IBW1: ATP-dependent dethiobiotin synthetase BioD|unclassified	303.346
UniRef50_P53556: 8-amino-7-oxononanoate synthase 2	302.524
UniRef50_P53556: 8-amino-7-oxononanoate synthase 2|unclassified	302.524
UniRef50_UPI000331455F: PREDICTED: trifunctional enzyme subunit beta, mitochondrial-like, partial	302.368
UniRef50_UPI000331455F: PREDICTED: trifunctional enzyme subunit beta, mitochondrial-like, partial|unclassified	302.368
UniRef50_UPI0004704410: hypothetical protein, partial	302.078
UniRef50_UPI0004704410: hypothetical protein, partial|unclassified	302.078
UniRef50_P74770: Putative 8-amino-7-oxononanoate synthase	302.049
UniRef50_P74770: Putative 8-amino-7-oxononanoate synthase|unclassified	302.049
UniRef50_W7WBV9	301.845
UniRef50_W7WBV9|unclassified	301.845
UniRef50_UPI0003744899: hypothetical protein, partial	301.067
UniRef50_UPI0003744899: hypothetical protein, partial|unclassified	301.067
UniRef50_UPI000467C962: hypothetical protein	301.027
UniRef50_UPI000467C962: hypothetical protein|unclassified	301.027
UniRef50_Z5XBH8	300.498
UniRef50_Z5XBH8|unclassified	300.498
UniRef50_UPI0002EDFE25: hypothetical protein	300.462
UniRef50_UPI0002EDFE25: hypothetical protein|unclassified	300.462
UniRef50_UPI00034BAD35: hypothetical protein	300.1
UniRef50_UPI00034BAD35: hypothetical protein|unclassified	300.1
UniRef50_UPI0002890611: long-chain-fatty-acid--CoA ligase	299.772
UniRef50_UPI0002890611: long-chain-fatty-acid--CoA ligase|unclassified	299.772
UniRef50_X1LJ56: Marine sediment metagenome DNA, contig: S06H3_L05091 (Fragment)	299.556
UniRef50_X1LJ56: Marine sediment metagenome DNA, contig: S06H3_L05091 (Fragment)|unclassified	299.556
UniRef50_Q6AK48: Biotin synthase	299.541
UniRef50_Q6AK48: Biotin synthase|unclassified	299.541
UniRef50_UPI0003724245: hypothetical protein	298.43
UniRef50_UPI0003724245: hypothetical protein|unclassified	298.43
UniRef50_UPI0003809CD5: hypothetical protein	298.148
UniRef50_UPI0003809CD5: hypothetical protein|unclassified	298.148
UniRef50_Q749W5: Malonyl-[acyl-carrier protein] O-methyltransferase	297.712
UniRef50_Q749W5: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	297.712
UniRef50_UPI0003B4F896: 8-amino-7-oxononanoate synthase, partial	296.813
UniRef50_UPI0003B4F896: 8-amino-7-oxononanoate synthase, partial|unclassified	296.813
UniRef50_UPI000372BA75: hypothetical protein	296.47
UniRef50_UPI000372BA75: hypothetical protein|unclassified	296.47
UniRef50_R6DH25	296.252
UniRef50_R6DH25|unclassified	296.252
UniRef50_UPI0003B78C3F: acetyl-CoA acetyltransferase	296.087
UniRef50_UPI0003B78C3F: acetyl-CoA acetyltransferase|unclassified	296.087
UniRef50_UPI000317B1B3: hypothetical protein	295.925
UniRef50_UPI000317B1B3: hypothetical protein|unclassified	295.925
UniRef50_UPI000361D224: hypothetical protein, partial	294.979
UniRef50_UPI000361D224: hypothetical protein, partial|unclassified	294.979
UniRef50_UPI000478BB2A: hypothetical protein	294.54
UniRef50_UPI000478BB2A: hypothetical protein|unclassified	294.54
UniRef50_Q97MI6: Biotin synthase	294.297
UniRef50_Q97MI6: Biotin synthase|unclassified	294.297
UniRef50_B0CC69: Biotin synthase	294.193
UniRef50_B0CC69: Biotin synthase|unclassified	294.193
UniRef50_C0QR28: Biotin synthase	293.849
UniRef50_C0QR28: Biotin synthase|unclassified	293.849
UniRef50_X2N6R5	292.902
UniRef50_X2N6R5|unclassified	292.902
UniRef50_Q96CM8: Acyl-CoA synthetase family member 2, mitochondrial	292.144
UniRef50_Q96CM8: Acyl-CoA synthetase family member 2, mitochondrial|unclassified	292.144
UniRef50_G4BGB7: Biotin synthesis protein C	292.058
UniRef50_G4BGB7: Biotin synthesis protein C|unclassified	292.058
UniRef50_UPI00046F4D34: long-chain fatty acid--CoA ligase	291.813
UniRef50_UPI00046F4D34: long-chain fatty acid--CoA ligase|unclassified	291.813
UniRef50_UPI00047D38D7: acyl-CoA synthetase	291.59
UniRef50_UPI00047D38D7: acyl-CoA synthetase|unclassified	291.59
UniRef50_UPI0003705FC5: hypothetical protein, partial	291.414
UniRef50_UPI0003705FC5: hypothetical protein, partial|unclassified	291.414
UniRef50_B1TF06	291.367
UniRef50_B1TF06|unclassified	291.367
UniRef50_UPI000237B488: acyl-CoA synthetase	290.809
UniRef50_UPI000237B488: acyl-CoA synthetase|unclassified	290.809
UniRef50_UPI000237730A: o-succinylbenzoate--CoA ligase, partial	290.221
UniRef50_UPI000237730A: o-succinylbenzoate--CoA ligase, partial|unclassified	290.221
UniRef50_D7EWH6	288.976
UniRef50_D7EWH6|unclassified	288.976
UniRef50_UPI00036BD672: hypothetical protein	288.736
UniRef50_UPI00036BD672: hypothetical protein|unclassified	288.736
UniRef50_UPI00036455EC: hypothetical protein, partial	287.735
UniRef50_UPI00036455EC: hypothetical protein, partial|unclassified	287.735
UniRef50_A7V8X4	287.323
UniRef50_A7V8X4|unclassified	287.323
UniRef50_C6C0T2: Biotin synthase	286.167
UniRef50_C6C0T2: Biotin synthase|unclassified	286.167
UniRef50_UPI0004666044: acyl-CoA synthetase, partial	285.753
UniRef50_UPI0004666044: acyl-CoA synthetase, partial|unclassified	285.753
UniRef50_UPI00046FDA5B: AMP-dependent synthetase	285.667
UniRef50_UPI00046FDA5B: AMP-dependent synthetase|unclassified	285.667
UniRef50_J9DC36	285.276
UniRef50_J9DC36|unclassified	285.276
UniRef50_Q2Y9Y6: Malonyl-[acyl-carrier protein] O-methyltransferase	284.987
UniRef50_Q2Y9Y6: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	284.987
UniRef50_UPI00037ADBB6: hypothetical protein	284.954
UniRef50_UPI00037ADBB6: hypothetical protein|unclassified	284.954
UniRef50_UPI00036CE6B1: hypothetical protein	284.742
UniRef50_UPI00036CE6B1: hypothetical protein|unclassified	284.742
UniRef50_UPI0003B5CFE0: fatty-acid--CoA ligase	284.611
UniRef50_UPI0003B5CFE0: fatty-acid--CoA ligase|unclassified	284.611
UniRef50_K0UFT8: Acyl-CoA synthetase (Fragment)	284.407
UniRef50_K0UFT8: Acyl-CoA synthetase (Fragment)|unclassified	284.407
UniRef50_UPI00037C5CDC: hypothetical protein, partial	284.327
UniRef50_UPI00037C5CDC: hypothetical protein, partial|unclassified	284.327
UniRef50_UPI000375B9BE: hypothetical protein	283.108
UniRef50_UPI000375B9BE: hypothetical protein|unclassified	283.108
UniRef50_UPI00041088C1: 8-amino-7-oxononanoate synthase	283.084
UniRef50_UPI00041088C1: 8-amino-7-oxononanoate synthase|unclassified	283.084
UniRef50_Q0K844: Probable sulfoacetate--CoA ligase	282.638
UniRef50_Q0K844: Probable sulfoacetate--CoA ligase|unclassified	282.638
UniRef50_UPI00040AB290: hypothetical protein	281.847
UniRef50_UPI00040AB290: hypothetical protein|unclassified	281.847
UniRef50_UPI00040813DC: AMP-dependent synthetase	281.308
UniRef50_UPI00040813DC: AMP-dependent synthetase|unclassified	281.308
UniRef50_Q7V5Q7	281.203
UniRef50_Q7V5Q7|unclassified	281.203
UniRef50_UPI0003B45BBB: biotin synthase	280.17
UniRef50_UPI0003B45BBB: biotin synthase|unclassified	280.17
UniRef50_UPI000416F8F0: hypothetical protein	279.743
UniRef50_UPI000416F8F0: hypothetical protein|unclassified	279.743
UniRef50_UPI00029B01F3: crotonobetaine/carnitine-CoA ligase, partial	279.553
UniRef50_UPI00029B01F3: crotonobetaine/carnitine-CoA ligase, partial|unclassified	279.553
UniRef50_UPI00046D754A: hypothetical protein	279.395
UniRef50_UPI00046D754A: hypothetical protein|unclassified	279.395
UniRef50_Q2KXN6: Biotin biosynthesis bifunctional protein BioCD	279.212
UniRef50_Q2KXN6: Biotin biosynthesis bifunctional protein BioCD|unclassified	279.212
UniRef50_UPI00047D654A: 8-amino-7-oxononanoate synthase	278.984
UniRef50_UPI00047D654A: 8-amino-7-oxononanoate synthase|unclassified	278.984
UniRef50_UPI00036DB492: hypothetical protein	278.71
UniRef50_UPI00036DB492: hypothetical protein|unclassified	278.71
UniRef50_Q55849: ATP-dependent dethiobiotin synthetase BioD	278.431
UniRef50_Q55849: ATP-dependent dethiobiotin synthetase BioD|unclassified	278.431
UniRef50_UPI0002ADAEB1: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial-like, partial	277.687
UniRef50_UPI0002ADAEB1: PREDICTED: acyl-CoA synthetase family member 2, mitochondrial-like, partial|unclassified	277.687
UniRef50_B8DPP9: Biotin synthase	277.569
UniRef50_B8DPP9: Biotin synthase|unclassified	277.569
UniRef50_Q5SKN6: Biotin synthase	276.976
UniRef50_Q5SKN6: Biotin synthase|unclassified	276.976
UniRef50_C7JGN2	276.913
UniRef50_C7JGN2|unclassified	276.913
UniRef50_B7GHM4: ATP-dependent dethiobiotin synthetase BioD	276.881
UniRef50_B7GHM4: ATP-dependent dethiobiotin synthetase BioD|unclassified	276.881
UniRef50_UPI000365CD17: hypothetical protein	276.576
UniRef50_UPI000365CD17: hypothetical protein|unclassified	276.576
UniRef50_X0PQE8	276.557
UniRef50_X0PQE8|unclassified	276.557
UniRef50_Q2W3K9: ATP-dependent dethiobiotin synthetase BioD	276.268
UniRef50_Q2W3K9: ATP-dependent dethiobiotin synthetase BioD|unclassified	276.268
UniRef50_UPI0003727BAE: hypothetical protein	275.682
UniRef50_UPI0003727BAE: hypothetical protein|unclassified	275.682
UniRef50_R6JHZ0	275.608
UniRef50_R6JHZ0|unclassified	275.608
UniRef50_UPI00047B0044: hypothetical protein	275.307
UniRef50_UPI00047B0044: hypothetical protein|unclassified	275.307
UniRef50_UPI000373AABD: hypothetical protein	275.017
UniRef50_UPI000373AABD: hypothetical protein|unclassified	275.017
UniRef50_UPI00034C98D6: hypothetical protein	274.392
UniRef50_UPI00034C98D6: hypothetical protein|unclassified	274.392
UniRef50_UPI00016B1020: putative aminotransferase, partial	274.197
UniRef50_UPI00016B1020: putative aminotransferase, partial|unclassified	274.197
UniRef50_C4LIG1: ATP-dependent dethiobiotin synthetase BioD	272.946
UniRef50_C4LIG1: ATP-dependent dethiobiotin synthetase BioD|unclassified	272.946
UniRef50_UPI00046FF2E4: 8-amino-7-oxononanoate synthase	272.654
UniRef50_UPI00046FF2E4: 8-amino-7-oxononanoate synthase|unclassified	272.654
UniRef50_UPI0002485E01: fatty-acid--CoA ligase	272.643
